書名,書籍網站,作者,出版社,ISBN,圖片網址
色鉛筆自學聖經：8大類、45個自學要點，第一本最全面的色鉛筆繪畫技巧寶典！,https://www.kingstone.com.tw//basic/2014713528506?zone=book&lid=book_class3_odc&actid=book_class3_odc,飛樂鳥工作室,碁峰資訊  ,9789864764518,https://cdn.kingstone.com.tw/book/images/product/20147/2014713528506/2014713528506b.jpg
如何畫出《秘密花園》的美境：《秘密花園》作者親自示範，38種花園、海洋、森林圖形一次學會,https://www.kingstone.com.tw//basic/2019460028330?zone=book&lid=book_class3_odc&actid=book_class3_odc,喬漢娜．貝斯福,遠流      ,9789573290667,https://cdn.kingstone.com.tw/book/images/product/20194/2019460028330/2019460028330b.jpg
我的紙上花園：享受寧靜的色鉛筆花卉時光,https://www.kingstone.com.tw//basic/2019479544371?zone=book&lid=book_class3_odc&actid=book_class3_odc,黃彥蓁,捷徑文化  ,9789578904897,https://cdn.kingstone.com.tw/book/images/product/20194/2019479544371/2019479544371b.jpg
Sorssora的神奇色鉛筆速繪本,https://www.kingstone.com.tw//basic/2019400094463?zone=book&lid=book_class3_odc&actid=book_class3_odc,Sorssora,碁峰資訊  ,9789865023102,https://cdn.kingstone.com.tw/book/images/product/20194/2019400094463/2019400094463b.jpg
色鉛筆的練習帖365增訂版,https://www.kingstone.com.tw//basic/2019480081834?zone=book&lid=book_class3_odc&actid=book_class3_odc,河合瞳,邦聯      ,9789869175890,https://cdn.kingstone.com.tw/book/images/product/20194/2019480081834/2019480081834b.jpg
愛上和諧舒壓粉彩畫：插畫家教你11種唯美必學技法！療癒系粉彩手繪大全．從零開始！,https://www.kingstone.com.tw//basic/2019480120441?zone=book&lid=book_class3_odc&actid=book_class3_odc,立花千榮子,瑞昇文化  ,9789864014422,https://cdn.kingstone.com.tw/book/images/product/20194/2019480120441/2019480120441b.jpg
色鉛筆手繪好時光,https://www.kingstone.com.tw//basic/2019480118790?zone=book&lid=book_class3_odc&actid=book_class3_odc,zhao,漢欣文化  ,9789576867958,https://cdn.kingstone.com.tw/book/images/product/20194/2019480118790/2019480118790b.jpg
凜小花的水性色鉛筆練習帳[新版],https://www.kingstone.com.tw//basic/2019480114952?zone=book&lid=book_class3_odc&actid=book_class3_odc,凜小花,朵琳      ,9789863812081,https://cdn.kingstone.com.tw/book/images/product/20194/2019480114952/2019480114952b.jpg
色鉛筆花卉著色學習書,https://www.kingstone.com.tw//basic/2019480111326?zone=book&lid=book_class3_odc&actid=book_class3_odc,河合瞳,楓書坊文化,9789863775065,https://cdn.kingstone.com.tw/book/images/product/20194/2019480111326/2019480111326b.jpg
色鉛筆的疊加魔法：從12色開始的創作遊戲，療癒系簡筆畫+色彩心理學，帶給人怦然心動的能量,https://www.kingstone.com.tw//basic/2019480110374?zone=book&lid=book_class3_odc&actid=book_class3_odc,,楓書坊文化,9789863774693,https://cdn.kingstone.com.tw/book/images/product/20194/2019480110374/2019480110374b.jpg
色鉛筆素描技法,https://www.kingstone.com.tw//basic/2019480110084?zone=book&lid=book_class3_odc&actid=book_class3_odc,陳穎彬,三藝文化  ,9789869668507,https://cdn.kingstone.com.tw/book/images/product/20194/2019480110084/2019480110084b.jpg
色鉛筆圖繪素材集：異國暖食插畫,https://www.kingstone.com.tw//basic/2019480108463?zone=book&lid=book_class3_odc&actid=book_class3_odc,Joyce（簡文詩）,旗林文化  ,9789863830894,https://cdn.kingstone.com.tw/book/images/product/20194/2019480108463/2019480108463b.jpg
我的第一堂色鉛筆手繪課：專為初學者設計、附練習線稿，拿起筆就會畫！,https://www.kingstone.com.tw//basic/2019000115704?zone=book&lid=book_class3_odc&actid=book_class3_odc,渡辺芳子,台灣東販  ,9789864758272,https://cdn.kingstone.com.tw/book/images/product/20190/2019000115704/2019000115704b.jpg
只要會拿筆，就能學會畫畫：19種練習、25個技法說明，從零開始，一次為你打好畫畫的基礎,https://www.kingstone.com.tw//basic/2019478970850?zone=book&lid=book_class3_odc&actid=book_class3_odc,傑克．史派瑟,遠流      ,9789573282242,https://cdn.kingstone.com.tw/book/images/product/20194/2019478970850/2019478970850b.jpg
色鉛筆著色學習書,https://www.kingstone.com.tw//basic/2019480102591?zone=book&lid=book_class3_odc&actid=book_class3_odc,河合瞳,楓書坊文化,9789863773603,https://cdn.kingstone.com.tw/book/images/product/20194/2019480102591/2019480102591b.jpg
色鉛筆初級學習,https://www.kingstone.com.tw//basic/2019480021182?zone=book&lid=book_class3_odc&actid=book_class3_odc,大坤書局  ,"

立即結帳
",9789575384432,https://cdn.kingstone.com.tw/book/images/product/20194/2019480021182/2019480021182b.jpg
色鉛筆描繪的東方插畫技巧：從迷你角色開始描繪的插畫繪製過程,https://www.kingstone.com.tw//basic/2019480121943?zone=book&lid=book_class3_odc&actid=book_class3_odc,粗茶,北星      ,9789579559478,https://cdn.kingstone.com.tw/book/images/product/20194/2019480121943/2019480121943b.jpg
每一天都是色鉛筆塗鴉日（二版）：不用描草稿，直接畫輪廓、上疊色、打陰影，畫出可愛的立體圖案,https://www.kingstone.com.tw//basic/2019480120311?zone=book&lid=book_class3_odc&actid=book_class3_odc,Amily Shen,悅知文化  ,9789865101039,https://cdn.kingstone.com.tw/book/images/product/20194/2019480120311/2019480120311b.jpg
