書名,書籍網站,作者,出版社,ISBN,圖片網址
最新油畫技法入門,https://www.kingstone.com.tw//basic/2019480121523?zone=book&lid=book_class3_odg&actid=book_class3_odg,陳穎彬,優品      ,9789869963718,https://cdn.kingstone.com.tw/book/images/product/20194/2019480121523/2019480121523b.jpg
大師的油畫秘訣,https://www.kingstone.com.tw//basic/2019480027054?zone=book&lid=book_class3_odg&actid=book_class3_odg,琳達凱逑蘿,新形象出版,9789579679329,https://cdn.kingstone.com.tw/book/images/product/20194/2019480027054/2019480027054b.jpg
黎振華油畫選,https://www.kingstone.com.tw//basic/2019400099963?zone=book&lid=book_class3_odg&actid=book_class3_odg,黎振華,漢世紀數位,9781647840792,https://cdn.kingstone.com.tw/book/images/product/20194/2019400099963/2019400099963b.jpg
1 天即可完成寫實油畫基礎技法：只要６色＋白色就能描繪色彩的正宗入門書！,https://www.kingstone.com.tw//basic/2019480120281?zone=book&lid=book_class3_odg&actid=book_class3_odg,大谷尚哉,北星      ,9789579559416,https://cdn.kingstone.com.tw/book/images/product/20194/2019480120281/2019480120281b.jpg
武將油畫描繪技法：戰國‧三國志+天使,https://www.kingstone.com.tw//basic/2019479634485?zone=book&lid=book_class3_odg&actid=book_class3_odg,長野剛,北星      ,9789579559386,https://cdn.kingstone.com.tw/book/images/product/20194/2019479634485/2019479634485b.jpg
人物畫：一窺三澤寬志的油畫與水彩畫作畫全貌,https://www.kingstone.com.tw//basic/2019480108593?zone=book&lid=book_class3_odg&actid=book_class3_odg,三澤志,北星      ,9789869712347,https://cdn.kingstone.com.tw/book/images/product/20194/2019480108593/2019480108593b.jpg
版畫在臺灣,https://www.kingstone.com.tw//basic/2019400092629?zone=book&lid=book_class3_odg&actid=book_class3_odg,施筱雲,長歌藝術  ,9789868701861,https://cdn.kingstone.com.tw/book/images/product/20194/2019400092629/2019400092629b.jpg
廣重TOKYO 名所江戶百景：與浮世繪大師一同尋訪今日東京的昔日名勝,https://www.kingstone.com.tw//basic/2019370006206?zone=book&lid=book_class3_odg&actid=book_class3_odg,小池滿紀子,遠足文化  ,9789578630604,https://cdn.kingstone.com.tw/book/images/product/20193/2019370006206/2019370006206b.jpg
版頁構成與圖文編排,https://www.kingstone.com.tw//basic/2019090116728?zone=book&lid=book_class3_odg&actid=book_class3_odg,潘東坡,相對論    ,9789869601405,https://cdn.kingstone.com.tw/book/images/product/20190/2019090116728/2019090116728b.jpg
巴黎時尚百年典藏：流金歲月的女性時尚版畫精選,https://www.kingstone.com.tw//basic/2019370005834?zone=book&lid=book_class3_odg&actid=book_class3_odg,徐宗懋圖文館,商周出版  ,9789864773220,https://cdn.kingstone.com.tw/book/images/product/20193/2019370005834/2019370005834b.jpg
俄羅斯典藏晚清木板年畫,https://www.kingstone.com.tw//basic/2019690005262?zone=book&lid=book_class3_odg&actid=book_class3_odg,楊玉君,前衛      ,9789869333702,https://cdn.kingstone.com.tw/book/images/product/20196/2019690005262/2019690005262b.jpg
東洋表現主義的巨匠：東方表現的龐均,https://www.kingstone.com.tw//basic/2019480082626?zone=book&lid=book_class3_odg&actid=book_class3_odg,龐均,藝術家    ,9789862821589,https://cdn.kingstone.com.tw/book/images/product/20194/2019480082626/2019480082626b.jpg
油畫肖像經典技法,https://www.kingstone.com.tw//basic/2019400071013?zone=book&lid=book_class3_odg&actid=book_class3_odg,克麗絲，薩珀,新一代圖書,9789866142604,https://cdn.kingstone.com.tw/book/images/product/20194/2019400071013/2019400071013b.jpg
油畫技法創新論,https://www.kingstone.com.tw//basic/2019480078841?zone=book&lid=book_class3_odg&actid=book_class3_odg,龐均,藝術家    ,9789862821466,https://cdn.kingstone.com.tw/book/images/product/20194/2019480078841/2019480078841b.jpg
風說：陳淑霞的寫意油畫【風之寄作品10】,https://www.kingstone.com.tw//basic/2019480073631?zone=book&lid=book_class3_odg&actid=book_class3_odg,風之寄,秀威資訊  ,9789863262626,https://cdn.kingstone.com.tw/book/images/product/20194/2019480073631/2019480073631b.jpg
傾訴：八○後劉梅子的油畫日記,https://www.kingstone.com.tw//basic/2019480068354?zone=book&lid=book_class3_odg&actid=book_class3_odg,風之寄,秀威資訊  ,9789863261988,https://cdn.kingstone.com.tw/book/images/product/20194/2019480068354/2019480068354b.jpg
美麗的瞬間－－趙文華油畫精選【風之寄作品4】,https://www.kingstone.com.tw//basic/2019480067562?zone=book&lid=book_class3_odg&actid=book_class3_odg,風之寄,秀威資訊  ,9789863261841,https://cdn.kingstone.com.tw/book/images/product/20194/2019480067562/2019480067562b.jpg
吳丁賢2013年油畫冊,https://www.kingstone.com.tw//basic/2019400057161?zone=book&lid=book_class3_odg&actid=book_class3_odg,吳丁賢,九十九度  ,9789868497764,https://cdn.kingstone.com.tw/book/images/product/20194/2019400057161/2019400057161b.jpg
油畫的誕生：1420年至1450年的尼德蘭繪畫,https://www.kingstone.com.tw//basic/2019480050861?zone=book&lid=book_class3_odg&actid=book_class3_odg,賴瑞鎣,藝術家    ,9789866565564,https://cdn.kingstone.com.tw/book/images/product/20194/2019480050861/2019480050861b.jpg
