書名,書籍網站,作者,出版社,ISBN,圖片網址
畫出暖心手感：我的第一堂iPad人物電繪課,https://www.kingstone.com.tw//basic/2019460076881?zone=book&lid=book_class3_odz&actid=book_class3_odz,YUANCHI,創意市集  ,9789865534417,https://cdn.kingstone.com.tw/book/images/product/20194/2019460076881/2019460076881b.jpg
詳細解說！人物「上色」步驟完全剖析：CLIP STUDIO PAINT PRO電繪技法大全,https://www.kingstone.com.tw//basic/2019400101185?zone=book&lid=book_class3_odz&actid=book_class3_odz,乃樹坂くしお,台灣東販  ,9786263047891,https://cdn.kingstone.com.tw/book/images/product/20194/2019400101185/2019400101185b.jpg
蘿拉老師教你畫和諧粉彩：20分鐘輕鬆上手,https://www.kingstone.com.tw//basic/2019480100337?zone=book&lid=book_class3_odz&actid=book_class3_odz,蘿拉老師,遠流      ,9789573281788,https://cdn.kingstone.com.tw/book/images/product/20194/2019480100337/2019480100337b.jpg
手槍繪製設定資料集,https://www.kingstone.com.tw//basic/2019460083742?zone=book&lid=book_class3_odz&actid=book_class3_odz,村田峻治,楓書坊文化,9789863776949,https://cdn.kingstone.com.tw/book/images/product/20194/2019460083742/2019460083742b.jpg
用iPad & Clip Studio Paint開創漫畫之路：告別電腦與繪圖板，電繪輕鬆隨手畫！,https://www.kingstone.com.tw//basic/2013120578166?zone=book&lid=book_class3_odz&actid=book_class3_odz,青木俊直,台灣東販  ,9789865116583,https://cdn.kingstone.com.tw/book/images/product/20131/2013120578166/2013120578166b.jpg
刺青，有故事：百年刺青傳說，最任性的奇人軼事，最豐富的刺青圖案（18禁）,https://www.kingstone.com.tw//basic/2015380126439?zone=book&lid=book_class3_odz&actid=book_class3_odz,大衛．麥庫姆,原點      ,9789579072700,https://cdn.kingstone.com.tw/images/restricted.jpg
舒心流動畫：零失敗的療癒繪畫,https://www.kingstone.com.tw//basic/2019479429906?zone=book&lid=book_class3_odz&actid=book_class3_odz,王智芬,旗林文化  ,9789863831082,https://cdn.kingstone.com.tw/book/images/product/20194/2019479429906/2019479429906b.jpg
噴畫的世界,https://www.kingstone.com.tw//basic/2019480021342?zone=book&lid=book_class3_odz&actid=book_class3_odz,新形象出版,"

立即結帳
",9789578548770,https://cdn.kingstone.com.tw/book/images/product/20194/2019480021342/2019480021342b.jpg
噴畫技法123,https://www.kingstone.com.tw//basic/2019480012487?zone=book&lid=book_class3_odz&actid=book_class3_odz,何慎吾,雄獅圖書  ,9789579420266,https://cdn.kingstone.com.tw/book/images/product/20194/2019480012487/2019480012487b.jpg
輕鬆學彩繪：入門篇,https://www.kingstone.com.tw//basic/2019640062628?zone=book&lid=book_class3_odz&actid=book_class3_odz,黃彥蓁,教育之友  ,9789570359725,https://cdn.kingstone.com.tw/book/images/product/20196/2019640062628/2019640062628b.jpg
和大師學電繪藝術,https://www.kingstone.com.tw//basic/2013120578296?zone=book&lid=book_class3_odz&actid=book_class3_odz,3dtotal Publishing,楓葉社文化,9789863702580,https://cdn.kingstone.com.tw/book/images/product/20131/2013120578296/2013120578296b.jpg
日本畫技法：畫材基礎×色彩調製×工序著色，創作日式優雅又時尚的貴族氣質畫作,https://www.kingstone.com.tw//basic/2019450070851?zone=book&lid=book_class3_odz&actid=book_class3_odz,菅田友子,易博士    ,9789864801206,https://cdn.kingstone.com.tw/book/images/product/20194/2019450070851/2019450070851b.jpg
凱蒂╳故宮  手繪時光：炫彩刮畫著色組（經典收藏套組：炫彩刮畫6+療癒著色畫12+全彩寶物特典1+進,https://www.kingstone.com.tw//basic/2019000131070?zone=book&lid=book_class3_odz&actid=book_class3_odz,三采文化,三采      ,4710415386632,https://cdn.kingstone.com.tw/book/images/product/20190/2019000131070/2019000131070b.jpg
寺院佛像手繪圖鑑：從姿勢、容貌、持物理解佛像的奧祕,https://www.kingstone.com.tw//basic/2012240073766?zone=book&lid=book_class3_odz&actid=book_class3_odz,重信秀年,楓書坊文化,9789863774570,https://cdn.kingstone.com.tw/book/images/product/20122/2012240073766/2012240073766b.jpg
一線入魂 Line into the soul,https://www.kingstone.com.tw//basic/2019000113120?zone=book&lid=book_class3_odz&actid=book_class3_odz,楊青芬,宇達特文創,9789869007030,https://cdn.kingstone.com.tw/book/images/product/20190/2019000113120/2019000113120b.jpg
會畫線條就會畫：舒心多肉線繪畫,https://www.kingstone.com.tw//basic/2019400089216?zone=book&lid=book_class3_odz&actid=book_class3_odz,珮姬．迪恩,積木文化  ,9789864591411,https://cdn.kingstone.com.tw/book/images/product/20194/2019400089216/2019400089216b.jpg
跟著建築師快樂畫畫： 零基礎也能立即上手， 無壓力建構空間場景與美學概念,https://www.kingstone.com.tw//basic/2019210021918?zone=book&lid=book_class3_odz&actid=book_class3_odz,許華山,麥浩斯    ,9789864083831,https://cdn.kingstone.com.tw/book/images/product/20192/2019210021918/2019210021918b.jpg
羅曼．諾金,https://www.kingstone.com.tw//basic/2019400088844?zone=book&lid=book_class3_odz&actid=book_class3_odz,林暄涵,薪展文化  ,9789869599924,https://cdn.kingstone.com.tw/book/images/product/20194/2019400088844/2019400088844b.jpg
神秘莊園：史上最燒腦的紙上冒險！28個密室闖關遊戲，帶你進入最華麗的魔法世界,https://www.kingstone.com.tw//basic/2019970362597?zone=book&lid=book_class3_odz&actid=book_class3_odz,宋智惠,悅知文化  ,9789578787025,https://cdn.kingstone.com.tw/book/images/product/20199/2019970362597/2019970362597b.jpg
瘋刮畫：城市篇+名畫篇二合一,https://www.kingstone.com.tw//basic/2019400087502?zone=book&lid=book_class3_odz&actid=book_class3_odz,邱嘉慧,世一文化  ,4719742124139,https://cdn.kingstone.com.tw/book/images/product/20194/2019400087502/2019400087502b.jpg
刺藝任行：刺青藝術 典藏版,https://www.kingstone.com.tw//basic/2015380109791?zone=book&lid=book_class3_odz&actid=book_class3_odz,杜穎 珊杉,更生文化  ,9789869490627,https://cdn.kingstone.com.tw/book/images/product/20153/2015380109791/2015380109791b.jpg
視覺陷阱：油畫與壓克力畫的錯覺畫繪製技法與創作,https://www.kingstone.com.tw//basic/2019478571958?zone=book&lid=book_class3_odz&actid=book_class3_odz,Bruno Logan,北星      ,9789866399664,https://cdn.kingstone.com.tw/book/images/product/20194/2019478571958/2019478571958b.jpg
初心BEGINNING （KIMBERLY作品集）,https://www.kingstone.com.tw//basic/2019400082132?zone=book&lid=book_class3_odz&actid=book_class3_odz,KIMBERLY,集夢坊    ,9789869275088,https://cdn.kingstone.com.tw/book/images/product/20194/2019400082132/2019400082132b.jpg
作畫的日子：一個業餘畫家的自述,https://www.kingstone.com.tw//basic/2019478381403?zone=book&lid=book_class3_odz&actid=book_class3_odz,蘇繼光,遠景      ,9789573910107,https://cdn.kingstone.com.tw/book/images/product/20194/2019478381403/2019478381403b.jpg
風景畫的訣竅,https://www.kingstone.com.tw//basic/2019478325179?zone=book&lid=book_class3_odz&actid=book_class3_odz,特魯迪．弗蘭德,新一代圖書,9789866142765,https://cdn.kingstone.com.tw/book/images/product/20194/2019478325179/2019478325179b.jpg
動物畫的訣竅,https://www.kingstone.com.tw//basic/2019440052553?zone=book&lid=book_class3_odz&actid=book_class3_odz,特魯迪．弗蘭德,新一代圖書,9789866142734,https://cdn.kingstone.com.tw/book/images/product/20194/2019440052553/2019440052553b.jpg
100個在旅行中繪畫的技巧,https://www.kingstone.com.tw//basic/2019480090829?zone=book&lid=book_class3_odz&actid=book_class3_odz,羅安琍,太雅      ,9789863361282,https://cdn.kingstone.com.tw/book/images/product/20194/2019480090829/2019480090829b.jpg
游啊游啊到海底（世界上最長的畫畫書）,https://www.kingstone.com.tw//basic/2019400078517?zone=book&lid=book_class3_odz&actid=book_class3_odz,莎拉．尹,遠流      ,9789573277699,https://cdn.kingstone.com.tw/book/images/product/20194/2019400078517/2019400078517b.jpg
刺藝任行：東方刺青藝術,https://www.kingstone.com.tw//basic/2019400078357?zone=book&lid=book_class3_odz&actid=book_class3_odz,杜穎、珊杉,更生文化  ,9789869276924,https://cdn.kingstone.com.tw/book/images/product/20194/2019400078357/2019400078357b.jpg
畫壺談心,https://www.kingstone.com.tw//basic/2019400078227?zone=book&lid=book_class3_odz&actid=book_class3_odz,嚴文華,樂果文化  ,9789869301145,https://cdn.kingstone.com.tw/book/images/product/20194/2019400078227/2019400078227b.jpg
倫敦，邊走邊畫,https://www.kingstone.com.tw//basic/2019478120637?zone=book&lid=book_class3_odz&actid=book_class3_odz,傑森．布魯克斯,馬可孛羅  ,9789865722852,https://cdn.kingstone.com.tw/book/images/product/20194/2019478120637/2019478120637b.jpg
金色年代（典藏版酷卡）心靈療癒刮刮畫,https://www.kingstone.com.tw//basic/2015232631333?zone=book&lid=book_class3_odz&actid=book_class3_odz,雙美編輯部,雙美      ,4715006448676,https://cdn.kingstone.com.tw/book/images/product/20152/2015232631333/2015232631333b.jpg
金色年代（Taipei台北）心靈療癒刮刮畫,https://www.kingstone.com.tw//basic/2015232631463?zone=book&lid=book_class3_odz&actid=book_class3_odz,雙美編輯部,雙美      ,4715006448683,https://cdn.kingstone.com.tw/book/images/product/20152/2015232631463/2015232631463b.jpg
金色年代（Shanghai上海）心靈療癒刮刮畫,https://www.kingstone.com.tw//basic/2015232631593?zone=book&lid=book_class3_odz&actid=book_class3_odz,雙美編輯部,雙美      ,4715006448690,https://cdn.kingstone.com.tw/book/images/product/20152/2015232631593/2015232631593b.jpg
工業產品設計麥克筆表現技法,https://www.kingstone.com.tw//basic/2019640098061?zone=book&lid=book_class3_odz&actid=book_class3_odz,李遠生,北星      ,9789866399206,https://cdn.kingstone.com.tw/book/images/product/20196/2019640098061/2019640098061b.jpg
彩繪石頭,https://www.kingstone.com.tw//basic/2019990145033?zone=book&lid=book_class3_odz&actid=book_class3_odz,丹妮絲．施克露娜,四塊玉文創,9789865661359,https://cdn.kingstone.com.tw/book/images/product/20199/2019990145033/2019990145033b.jpg
一筆畫,https://www.kingstone.com.tw//basic/2019477789095?zone=book&lid=book_class3_odz&actid=book_class3_odz,吳霈媜,大塊      ,9789862135136,https://cdn.kingstone.com.tw/book/images/product/20194/2019477789095/2019477789095b.jpg
不思議繪木筆：烙出你的個人日常,https://www.kingstone.com.tw//basic/2019690003978?zone=book&lid=book_class3_odz&actid=book_class3_odz,玩創編輯小組,旗林文化  ,9789865893934,https://cdn.kingstone.com.tw/book/images/product/20196/2019690003978/2019690003978b.jpg
一枝筆，能畫也能玩：只要會畫O和×，就能玩40種圖案創意小物！,https://www.kingstone.com.tw//basic/2019477423388?zone=book&lid=book_class3_odz&actid=book_class3_odz,鄧惠敏,幸福文化  ,9789869045674,https://cdn.kingstone.com.tw/book/images/product/20194/2019477423388/2019477423388b.jpg
零失敗的繪木筆（書+DVD）,https://www.kingstone.com.tw//basic/2019690003848?zone=book&lid=book_class3_odz&actid=book_class3_odz,玩創編輯小組,旗林文化  ,9789865893903,https://cdn.kingstone.com.tw/book/images/product/20196/2019690003848/2019690003848b.jpg
壓克力彩繪專家Q&A：從入門到進階，18位名家親授，一次弄懂各種彩繪運用技巧&疑難雜症,https://www.kingstone.com.tw//basic/2019480072719?zone=book&lid=book_class3_odz&actid=book_class3_odz,器物彩繪藝術家,積木文化  ,9789865865634,https://cdn.kingstone.com.tw/book/images/product/20194/2019480072719/2019480072719b.jpg
一枝畫筆，描繪心靈之美：我的瓷繪人生,https://www.kingstone.com.tw//basic/2019380022180?zone=book&lid=book_class3_odz&actid=book_class3_odz,洪華萱,養沛文化館,9789866247972,https://cdn.kingstone.com.tw/book/images/product/20193/2019380022180/2019380022180b.jpg
時尚創作插畫經典,https://www.kingstone.com.tw//basic/2019476891669?zone=book&lid=book_class3_odz&actid=book_class3_odz,平澤伸洋,博碩文化  ,9789862017135,https://cdn.kingstone.com.tw/book/images/product/20194/2019476891669/2019476891669b.jpg
了解兒童畫,https://www.kingstone.com.tw//basic/2019400052821?zone=book&lid=book_class3_odz&actid=book_class3_odz,陳慶福,相對論    ,9789868501751,https://cdn.kingstone.com.tw/book/images/product/20194/2019400052821/2019400052821b.jpg
手繪城市：畫遍全世界,https://www.kingstone.com.tw//basic/2019476753424?zone=book&lid=book_class3_odz&actid=book_class3_odz,加百利．坎帕納里奧,積木文化  ,9789866595899,https://cdn.kingstone.com.tw/book/images/product/20194/2019476753424/2019476753424b.jpg
