書名,書籍網站,作者,出版社,ISBN,圖片網址
玩金術1金屬工藝入門,https://www.kingstone.com.tw//basic/2014720046925?zone=book&lid=book_class3_oea&actid=book_class3_oea,趙丹綺,寶之藝    ,9789868454200,https://cdn.kingstone.com.tw/book/images/product/20147/2014720046925/2014720046925b.jpg
動物雕塑解剖學,https://www.kingstone.com.tw//basic/2019010040782?zone=book&lid=book_class3_oea&actid=book_class3_oea,片桐裕司,北星      ,9789866399701,https://cdn.kingstone.com.tw/book/images/product/20190/2019010040782/2019010040782b.jpg
我在故宮修文物,https://www.kingstone.com.tw//basic/2016190003163?zone=book&lid=book_class3_oea&actid=book_class3_oea,蕭寒主編、綠妖撰稿,新經典文化,9789865824815,https://cdn.kingstone.com.tw/book/images/product/20161/2016190003163/2016190003163b.jpg
生活陶全書：涵蓋完整的陶藝基礎和進階技法，是陶藝教學與自學者必備工具書。,https://www.kingstone.com.tw//basic/2019380030413?zone=book&lid=book_class3_oea&actid=book_class3_oea,呂嘉靖,積木文化  ,9789864591794,https://cdn.kingstone.com.tw/book/images/product/20193/2019380030413/2019380030413b.jpg
釉藥手作帖：只要依配方混合 任誰都能簡單製作,https://www.kingstone.com.tw//basic/2014640012048?zone=book&lid=book_class3_oea&actid=book_class3_oea,野田耕一,北星      ,9789869692076,https://cdn.kingstone.com.tw/book/images/product/20146/2014640012048/2014640012048b.jpg
京都職人誌,https://www.kingstone.com.tw//basic/2019690006924?zone=book&lid=book_class3_oea&actid=book_class3_oea,米原有二,遠足文化  ,9789578630321,https://cdn.kingstone.com.tw/book/images/product/20196/2019690006924/2019690006924b.jpg
簡單製作獨具魅力的設計小品：透過水泥、石膏、黏土、布料、天然材料及廢物利用創造 6 種素材的反轉魅力,https://www.kingstone.com.tw//basic/2019990164225?zone=book&lid=book_class3_oea&actid=book_class3_oea,榮珠,北星      ,9789866399671,https://cdn.kingstone.com.tw/book/images/product/20199/2019990164225/2019990164225b.jpg
玩金術2：金工創作進階,https://www.kingstone.com.tw//basic/2014720049681?zone=book&lid=book_class3_oea&actid=book_class3_oea,趙丹綺,北星      ,9789868454217,https://cdn.kingstone.com.tw/book/images/product/20147/2014720049681/2014720049681b.jpg
大人小學：古文具觀察日記,https://www.kingstone.com.tw//basic/2014790025165?zone=book&lid=book_class3_oea&actid=book_class3_oea,桑德,暖暖書屋  ,9789869980821,https://cdn.kingstone.com.tw/book/images/product/20147/2014790025165/2014790025165b.jpg
尋找一抹藍：與自然共生的藍染記憶,https://www.kingstone.com.tw//basic/2019660008194?zone=book&lid=book_class3_oea&actid=book_class3_oea,鄭美淑,商周出版  ,9789864779512,https://cdn.kingstone.com.tw/book/images/product/20196/2019660008194/2019660008194b.jpg
丹麥家具設計史：百年工藝美學溯源,https://www.kingstone.com.tw//basic/2019670087806?zone=book&lid=book_class3_oea&actid=book_class3_oea,多田羅景太,台灣東販  ,9789865114534,https://cdn.kingstone.com.tw/book/images/product/20196/2019670087806/2019670087806b.jpg
