書名,書籍網站,作者,出版社,ISBN,圖片網址
從一到一：工一設計，台灣80後世代設計經營與創新實踐,https://www.kingstone.com.tw//basic/2029600073458?zone=book&lid=book_class3_ofa&actid=book_class3_ofa,工一設計,麥浩斯    ,9789864086849,https://cdn.kingstone.com.tw/book/images/product/20296/2029600073458/2029600073458b.jpg
設計的心理學：人性化的產品設計如何改變世界,https://www.kingstone.com.tw//basic/2014400131941?zone=book&lid=book_class3_ofa&actid=book_class3_ofa,Donald A. Norman,遠流      ,9789573274582,https://cdn.kingstone.com.tw/book/images/product/20144/2014400131941/2014400131941b.jpg
遊戲設計的藝術：架構世界、開發介面、創造體驗，聚焦遊戲設計與製作的手法與原理,https://www.kingstone.com.tw//basic/2013120585737?zone=book&lid=book_class3_ofa&actid=book_class3_ofa,傑西．謝爾,大家      ,9789865562076,https://cdn.kingstone.com.tw/book/images/product/20131/2013120585737/2013120585737b.jpg
圖解設計故事學：好設計，觸發愉悅、渴望、驚喜和信任感！用講故事的技術，把設計思考作成一部好劇本,https://www.kingstone.com.tw//basic/2019640113566?zone=book&lid=book_class3_ofa&actid=book_class3_ofa,艾琳．路佩登,商周出版  ,9789865482091,https://cdn.kingstone.com.tw/book/images/product/20196/2019640113566/2019640113566b.jpg
設計的實戰法則：微調就立刻加分，說服力百分百,https://www.kingstone.com.tw//basic/2019640113436?zone=book&lid=book_class3_ofa&actid=book_class3_ofa,宇治智子,如何      ,9789861365879,https://cdn.kingstone.com.tw/book/images/product/20196/2019640113436/2019640113436b.jpg
數位產品設計心理學：好介面做了什麼，讓使用者的行為改變？,https://www.kingstone.com.tw//basic/2011760345773?zone=book&lid=book_class3_ofa&actid=book_class3_ofa,艾米．布秋,大寫出版  ,9789579689601,https://cdn.kingstone.com.tw/book/images/product/20117/2011760345773/2011760345773b.jpg
極簡設計美學：經典設計，從黑白灰開始（附精美防水書衣）,https://www.kingstone.com.tw//basic/2019630030835?zone=book&lid=book_class3_ofa&actid=book_class3_ofa,善本出版有限公司,不求人文化,9789860629217,https://cdn.kingstone.com.tw/book/images/product/20196/2019630030835/2019630030835b.jpg
光．設計（全新修訂版）：視覺創作者必備光線應用全書,https://www.kingstone.com.tw//basic/2019670089350?zone=book&lid=book_class3_ofa&actid=book_class3_ofa,理查．亞特,積木文化  ,9789864592739,https://cdn.kingstone.com.tw/book/images/product/20196/2019670089350/2019670089350b.jpg
設計好味道,https://www.kingstone.com.tw//basic/2019640112224?zone=book&lid=book_class3_ofa&actid=book_class3_ofa,梅原真,行人文化  ,9789869945752,https://cdn.kingstone.com.tw/book/images/product/20196/2019640112224/2019640112224b.jpg
好作品的潛規則：培養「圖像閱讀力」就能判別好設計、名畫的構造法則，讓欣賞與創作，不再流於「憑感覺」,https://www.kingstone.com.tw//basic/2019600072193?zone=book&lid=book_class3_ofa&actid=book_class3_ofa,金持勳,奇點      ,9789869894159,https://cdn.kingstone.com.tw/book/images/product/20196/2019600072193/2019600072193b.jpg
【藝術與設計者的夢幻學校】中央聖馬丁的12堂必修課：帶你有系統地深度學習提問與創造、建立自我風格,https://www.kingstone.com.tw//basic/2019030010017?zone=book&lid=book_class3_ofa&actid=book_class3_ofa,中央聖馬丁學院,漫遊者    ,9789864893966,https://cdn.kingstone.com.tw/book/images/product/20190/2019030010017/2019030010017b.jpg
好設計，會說話：好設計的6步創作流程X設計師的6大必備工具X設計元素的4堂解剖課,https://www.kingstone.com.tw//basic/2019640111562?zone=book&lid=book_class3_ofa&actid=book_class3_ofa,紅糖美學,睿其      ,9789865520212,https://cdn.kingstone.com.tw/book/images/product/20196/2019640111562/2019640111562b.jpg
日本當代設計,https://www.kingstone.com.tw//basic/2019000134286?zone=book&lid=book_class3_ofa&actid=book_class3_ofa,娜歐蜜．波克洛,麥浩斯    ,9789864086078,https://cdn.kingstone.com.tw/book/images/product/20190/2019000134286/2019000134286b.jpg
