書名,書籍網站,作者,出版社,ISBN,圖片網址
作品集的設計學：日本30年資深創意總監，教你從概念、編輯、設計到面試技巧的實務教戰手冊（收錄台,https://www.kingstone.com.tw//basic/2019000123587?zone=book&lid=book_class3_ofb&actid=book_class3_ofb,飯田佳樹,臉譜文化  ,9789862357446,https://cdn.kingstone.com.tw/book/images/product/20190/2019000123587/2019000123587b.jpg
時尚的誕生（暢銷閃亮版）,https://www.kingstone.com.tw//basic/2014880005497?zone=book&lid=book_class3_ofb&actid=book_class3_ofb,姜旻枝,大田      ,9789861796789,https://cdn.kingstone.com.tw/book/images/product/20148/2014880005497/2014880005497b.jpg
迷路的廣告人： 認真做不正經的事，日本廣告界異類打造的街道、藝術和人生 （附作者拍攝台灣映像照片套組4張）,https://www.kingstone.com.tw//basic/2017830170092?zone=book&lid=book_class3_ofb&actid=book_class3_ofb,日下慶太,臉譜文化  ,9789862359303,https://cdn.kingstone.com.tw/book/images/product/20178/2017830170092/2017830170092b.jpg
火車上的捉迷藏,https://www.kingstone.com.tw//basic/2019000135108?zone=book&lid=book_class3_ofb&actid=book_class3_ofb,鄭星慧Star Cheng,大寬      ,9789869851534,https://cdn.kingstone.com.tw/book/images/product/20190/2019000135108/2019000135108b.jpg
台灣百人視覺設計,https://www.kingstone.com.tw//basic/2019600071011?zone=book&lid=book_class3_ofb&actid=book_class3_ofb,楊宗魁,大計文化  ,9789869177733,https://cdn.kingstone.com.tw/book/images/product/20196/2019600071011/2019600071011b.jpg
台灣百年視覺設計,https://www.kingstone.com.tw//basic/2019600071141?zone=book&lid=book_class3_ofb&actid=book_class3_ofb,楊宗魁,大計文化  ,9789869177726,https://cdn.kingstone.com.tw/book/images/product/20196/2019600071141/2019600071141b.jpg
台灣百年暨百人視覺設計套書,https://www.kingstone.com.tw//basic/2019600071271?zone=book&lid=book_class3_ofb&actid=book_class3_ofb,楊宗魁,大計文化  ,9789869177757,https://cdn.kingstone.com.tw/book/images/product/20196/2019600071271/2019600071271b.jpg
那些美麗的事物：花森安治言葉集。首次國際授權！,https://www.kingstone.com.tw//basic/2019479676607?zone=book&lid=book_class3_ofb&actid=book_class3_ofb,花森安治,悅知文化  ,9789865100766,https://cdn.kingstone.com.tw/book/images/product/20194/2019479676607/2019479676607b.jpg
花森安治的設計書：首次國際授權！《生活手帖》初代編集長，長達30年的工藝美學,https://www.kingstone.com.tw//basic/2019479676737?zone=book&lid=book_class3_ofb&actid=book_class3_ofb,花森安治,悅知文化  ,9789865100803,https://cdn.kingstone.com.tw/book/images/product/20194/2019479676737/2019479676737b.jpg
佐藤大提問中！日本設計鬼才與17組大師的非官方對談集,https://www.kingstone.com.tw//basic/2019600070229?zone=book&lid=book_class3_ofb&actid=book_class3_ofb,佐藤大,行人文化  ,9789869859240,https://cdn.kingstone.com.tw/book/images/product/20196/2019600070229/2019600070229b.jpg
設計．洪新富,https://www.kingstone.com.tw//basic/2019000131940?zone=book&lid=book_class3_ofb&actid=book_class3_ofb,洪新富,扶風文化  ,9789579980838,https://cdn.kingstone.com.tw/book/images/product/20190/2019000131940/2019000131940b.jpg
玩心設計：改變千萬人的美好體驗，工作和生活的設計都該如此有趣！,https://www.kingstone.com.tw//basic/2019640110510?zone=book&lid=book_class3_ofb&actid=book_class3_ofb,陳威帆,先覺      ,9789861343563,https://cdn.kingstone.com.tw/book/images/product/20196/2019640110510/2019640110510b.jpg
建構視覺文化的13人,https://www.kingstone.com.tw//basic/2019600068578?zone=book&lid=book_class3_ofb&actid=book_class3_ofb,Idea編輯部,臉譜文化  ,9789862357996,https://cdn.kingstone.com.tw/book/images/product/20196/2019600068578/2019600068578b.jpg
我的字體排印學之路：字體排印新浪潮之父沃夫岡.魏因加特,https://www.kingstone.com.tw//basic/2017840122609?zone=book&lid=book_class3_ofb&actid=book_class3_ofb,沃夫岡．魏因加特,臉譜文化  ,9789862357859,https://cdn.kingstone.com.tw/book/images/product/20178/2017840122609/2017840122609b.jpg
美？不美？：形象設計師胡美蘭談關於美是怎麼一回事兒？,https://www.kingstone.com.tw//basic/2011800030119?zone=book&lid=book_class3_ofb&actid=book_class3_ofb,胡美蘭,道聲出版社,9789574368259,https://cdn.kingstone.com.tw/book/images/product/20118/2011800030119/2011800030119b.jpg
設計與革新：給年輕設計師的50個備忘錄,https://www.kingstone.com.tw//basic/2019000126663?zone=book&lid=book_class3_ofb&actid=book_class3_ofb,太刀川英輔,行人文化  ,9789869782326,https://cdn.kingstone.com.tw/book/images/product/20190/2019000126663/2019000126663b.jpg
靠北真心話：室內設計師的暗黑小學堂,https://www.kingstone.com.tw//basic/2014220097922?zone=book&lid=book_class3_ofb&actid=book_class3_ofb,陳岳夫,時報文化  ,9789571377582,https://cdn.kingstone.com.tw/book/images/product/20142/2014220097922/2014220097922b.jpg
