書名,書籍網站,作者,出版社,ISBN,圖片網址
鯨魚在噴水,https://www.kingstone.com.tw//basic/2019640087782?zone=book&lid=book_class3_ofd&actid=book_class3_ofd,佐藤卓,臉譜文化  ,9789862351956,https://cdn.kingstone.com.tw/book/images/product/20196/2019640087782/2019640087782b.jpg
產品包裝一定要知道的事：撿到設計老師的BG本,https://www.kingstone.com.tw//basic/2019000137072?zone=book&lid=book_class3_ofd&actid=book_class3_ofd,王炳南,風和文創  ,9789860600643,https://cdn.kingstone.com.tw/book/images/product/20190/2019000137072/2019000137072b.jpg
設計之本：從概念到產品成形,https://www.kingstone.com.tw//basic/2019600073275?zone=book&lid=book_class3_ofd&actid=book_class3_ofd,傑哈德．休弗雷、麥可．蘭茲,龍溪國際圖,9789869831468,https://cdn.kingstone.com.tw/book/images/product/20196/2019600073275/2019600073275b.jpg
好設計！打動人心征服世界：全方位了解產品設計的入門聖經（三版）,https://www.kingstone.com.tw//basic/2019640112774?zone=book&lid=book_class3_ofd&actid=book_class3_ofd,保羅．羅傑斯、亞歷斯．彌爾頓,奇光      ,9789860626438,https://cdn.kingstone.com.tw/book/images/product/20196/2019640112774/2019640112774b.jpg
做設計的第一堂材料課：34種日常材料，百位設計師步驟示範，讓成熟商品成功上線的關鍵know－how,https://www.kingstone.com.tw//basic/2019600069650?zone=book&lid=book_class3_ofd&actid=book_class3_ofd,伊娜．阿勒西那、艾琳．路佩登,原點      ,9789579072649,https://cdn.kingstone.com.tw/book/images/product/20196/2019600069650/2019600069650b.jpg
設計師一定要懂的文具雜貨產品設計知識（暢銷增訂版）,https://www.kingstone.com.tw//basic/2013120510128?zone=book&lid=book_class3_ofd&actid=book_class3_ofd,Nikkei Design 編,旗標      ,9789863124719,https://cdn.kingstone.com.tw/book/images/product/20131/2013120510128/2013120510128b.jpg
暢銷紀念版：實用包裝設計與展示架精選 POP Packaging Design,https://www.kingstone.com.tw//basic/2019640103079?zone=book&lid=book_class3_ofd&actid=book_class3_ofd,邵連順、莊媛 編繪,博誌文化  ,9789862101704,https://cdn.kingstone.com.tw/book/images/product/20196/2019640103079/2019640103079b.jpg
設計師一定要懂的產品包裝設計知識,https://www.kingstone.com.tw//basic/2014960358079?zone=book&lid=book_class3_ofd&actid=book_class3_ofd,白尾隆太郎審訂、福井政弘著,旗標      ,9789863123446,https://cdn.kingstone.com.tw/book/images/product/20149/2014960358079/2014960358079b.jpg
這樣準備作品集（數位時代全新修訂版）：設計經紀人專業指點 × 業界精英不藏私分享,https://www.kingstone.com.tw//basic/2019640100153?zone=book&lid=book_class3_ofd&actid=book_class3_ofd,妃格．泰勒,積木文化  ,9789864590353,https://cdn.kingstone.com.tw/book/images/product/20196/2019640100153/2019640100153b.jpg
圖解經典名椅,https://www.kingstone.com.tw//basic/2019640098511?zone=book&lid=book_class3_ofd&actid=book_class3_ofd,西川榮明,台灣東販  ,9789863318446,https://cdn.kingstone.com.tw/book/images/product/20196/2019640098511/2019640098511b.jpg
品牌，極上體驗： Tim Kobe與賈伯斯一起改變世界的設計創價心法,https://www.kingstone.com.tw//basic/2029620076170?zone=book&lid=book_class3_ofd&actid=book_class3_ofd,廷畝．寇比、羅捷．雷曼,麥浩斯    ,9789864087051,https://cdn.kingstone.com.tw/book/images/product/20296/2029620076170/2029620076170b.jpg
