書名,書籍網站,作者,出版社,ISBN,圖片網址
微調有差の日系新版面設計：告別基礎&沒fu老梗，第一本聚焦「微調細節差很大」，幫你提升點閱率和接案量的設計參考書,https://www.kingstone.com.tw//basic/2019640113696?zone=book&lid=book_class3_off&actid=book_class3_off,ingectar-e,原點      ,9789860663402,https://cdn.kingstone.com.tw/book/images/product/20196/2019640113696/2019640113696b.jpg
日系版面設計升級祕技套書（二冊）：《微調有差の日系新版面設計》、《日本版面的法則》,https://www.kingstone.com.tw//basic/2019640114068?zone=book&lid=book_class3_off&actid=book_class3_off,ingectar-e、設計事務所,原點      ,9789860688290,https://cdn.kingstone.com.tw/book/images/product/20196/2019640114068/2019640114068b.jpg
版面研究所：45個設計訣竅，讓提案一次通過！,https://www.kingstone.com.tw//basic/2019640110480?zone=book&lid=book_class3_off&actid=book_class3_off,ingectar-e,三采      ,9789576583056,https://cdn.kingstone.com.tw/book/images/product/20196/2019640110480/2019640110480b.jpg
留白的設計美學,https://www.kingstone.com.tw//basic/2019640108869?zone=book&lid=book_class3_off&actid=book_class3_off,ingectar-e,睿其      ,9789578472648,https://cdn.kingstone.com.tw/book/images/product/20196/2019640108869/2019640108869b.jpg
圖解LAYOUT：33 種版面設計圖解，新手也能學會！,https://www.kingstone.com.tw//basic/2019640108029?zone=book&lid=book_class3_off&actid=book_class3_off,ARENSKI,旗標      ,9789863125839,https://cdn.kingstone.com.tw/book/images/product/20196/2019640108029/2019640108029b.jpg
版面研究所 2.心動版面學：53個讓女人下單的設計關鍵！,https://www.kingstone.com.tw//basic/2019640111432?zone=book&lid=book_class3_off&actid=book_class3_off,ingectar-e,三采      ,9789576584237,https://cdn.kingstone.com.tw/book/images/product/20196/2019640111432/2019640111432b.jpg
日本版面的法則：大師級解密，最好用的分解圖，從版型、字體、色彩、留白到配圖，帶你學好、學滿,https://www.kingstone.com.tw//basic/2019640113986?zone=book&lid=book_class3_off&actid=book_class3_off,gaatii 光體,原點      ,9789860663457,https://cdn.kingstone.com.tw/book/images/product/20196/2019640113986/2019640113986b.jpg
比稿囉！設計智囊團全員集合！,https://www.kingstone.com.tw//basic/2014970056880?zone=book&lid=book_class3_off&actid=book_class3_off,株式會社Power Design,瑞昇文化  ,9789864014705,https://cdn.kingstone.com.tw/book/images/product/20149/2014970056880/2014970056880b.jpg
平面設計研究室：100個傳單、海報精選範例詳解,https://www.kingstone.com.tw//basic/2019600071301?zone=book&lid=book_class3_off&actid=book_class3_off,BNN新社編,台灣東販  ,9789865114855,https://cdn.kingstone.com.tw/book/images/product/20196/2019600071301/2019600071301b.jpg
這樣你看得懂嗎？讓你秒懂的資訊設計 O 與 X： 平面設計、商業簡報、社群小編都要會的資訊傳達術,https://www.kingstone.com.tw//basic/2014941671784?zone=book&lid=book_class3_off&actid=book_class3_off,渡克之,旗標      ,9789863126300,https://cdn.kingstone.com.tw/book/images/product/20149/2014941671784/2014941671784b.jpg
