書名,書籍網站,作者,出版社,ISBN,圖片網址
無接痕圖樣&紋路質感素材集900 （附DVD－ROM）,https://www.kingstone.com.tw//basic/2013120261662?zone=book&lid=book_class3_ofg&actid=book_class3_ofg,江見敏宏,瑞昇文化  ,9789865957841,https://cdn.kingstone.com.tw/book/images/product/20131/2013120261662/2013120261662b.jpg
設計應用素材集：校園篇（附DVD－ROM）,https://www.kingstone.com.tw//basic/2013120261792?zone=book&lid=book_class3_ofg&actid=book_class3_ofg,ARMZ,瑞昇文化  ,9789865957872,https://cdn.kingstone.com.tw/book/images/product/20131/2013120261792/2013120261792b.jpg
咖啡館&自然風雜貨素材集,https://www.kingstone.com.tw//basic/2013120260030?zone=book&lid=book_class3_ofg&actid=book_class3_ofg,BNN,教育之友  ,9789865783051,https://cdn.kingstone.com.tw/book/images/product/20131/2013120260030/2013120260030b.jpg
紋飾理論+實務及皮鞋工藝套書（共三冊）：紋飾法則+ Pattern Design圖解圖樣設計+高級手工訂製紳士鞋,https://www.kingstone.com.tw//basic/2019000133104?zone=book&lid=book_class3_ofg&actid=book_class3_ofg,Owen Jones、藤田伸、三澤則行,易博士    ,4717702104047,https://cdn.kingstone.com.tw/book/images/product/20190/2019000133104/2019000133104b.jpg
直接使用！3D背景素材集 住宅空間篇,https://www.kingstone.com.tw//basic/2019670086724?zone=book&lid=book_class3_ofg&actid=book_class3_ofg,Threepens等,台灣東販  ,9789865112202,https://cdn.kingstone.com.tw/book/images/product/20196/2019670086724/2019670086724b.jpg
中國紋飾法則：從西方當代造形與色彩基本原則，解析中國經典裝飾工藝的設計方法,https://www.kingstone.com.tw//basic/2019600066734?zone=book&lid=book_class3_ofg&actid=book_class3_ofg,歐文．瓊斯,易博士    ,9789864800858,https://cdn.kingstone.com.tw/book/images/product/20196/2019600066734/2019600066734b.jpg
中國吉祥圖案百科,https://www.kingstone.com.tw//basic/2019610051805?zone=book&lid=book_class3_ofg&actid=book_class3_ofg,天津楊柳青畫社編著,笛藤出版圖,9789577107466,https://cdn.kingstone.com.tw/book/images/product/20196/2019610051805/2019610051805b.jpg
歸零與無限：臺灣特殊藝術金講義（增訂新版）,https://www.kingstone.com.tw//basic/2019070018295?zone=book&lid=book_class3_ofg&actid=book_class3_ofg,汪其楣 編著,聯合文學  ,9789863232735,https://cdn.kingstone.com.tw/book/images/product/20190/2019070018295/2019070018295b.jpg
印花設計學（暢銷紀念版）：從包裝、文具到織品，啟發手作人&設計師的印花設計技巧,https://www.kingstone.com.tw//basic/2019600062606?zone=book&lid=book_class3_ofg&actid=book_class3_ofg,潔西卡．斯維夫特,積木文化  ,9789864591367,https://cdn.kingstone.com.tw/book/images/product/20196/2019600062606/2019600062606b.jpg
紋飾圖樣理論+實務套書：1856年英國美術工藝運動理論經典《紋飾法則》+ 圖像設計職人實務演示《Pattern Design圖解圖樣設計》,https://www.kingstone.com.tw//basic/2019610051775?zone=book&lid=book_class3_ofg&actid=book_class3_ofg,Owen Jones、藤田伸,易博士    ,4717702903916,https://cdn.kingstone.com.tw/book/images/product/20196/2019610051775/2019610051775b.jpg
Pattern Design圖解圖樣設計,https://www.kingstone.com.tw//basic/2019600058821?zone=book&lid=book_class3_ofg&actid=book_class3_ofg,藤田伸,易博士    ,9789864800193,https://cdn.kingstone.com.tw/book/images/product/20196/2019600058821/2019600058821b.jpg
靜物圖片集：繪畫練習功力提升的工具書,https://www.kingstone.com.tw//basic/2019477883724?zone=book&lid=book_class3_ofg&actid=book_class3_ofg,林逸安,北星      ,9789866399213,https://cdn.kingstone.com.tw/book/images/product/20194/2019477883724/2019477883724b.jpg
LABEL！LABEL！LABEL！雜貨風標籤素材集[附贈DVD],https://www.kingstone.com.tw//basic/2019610049154?zone=book&lid=book_class3_ofg&actid=book_class3_ofg,deux arbres,良品文化  ,9789865724221,https://cdn.kingstone.com.tw/book/images/product/20196/2019610049154/2019610049154b.jpg
法式仿古風＆裝飾素材集：設計人＆手作人的法式經典圖集911款,https://www.kingstone.com.tw//basic/2019610048362?zone=book&lid=book_class3_ofg&actid=book_class3_ofg,吉村、川村世依子,良品文化  ,9789865724009,https://cdn.kingstone.com.tw/book/images/product/20196/2019610048362/2019610048362b.jpg
超可愛童趣手作小物素材集[KID ROOM]+DVD,https://www.kingstone.com.tw//basic/2013120270107?zone=book&lid=book_class3_ofg&actid=book_class3_ofg,Sevres+!,教育之友  ,9789865783082,https://cdn.kingstone.com.tw/book/images/product/20131/2013120270107/2013120270107b.jpg
古紙素材集：設計人&手作人最愛的古紙（附DVD－ROM）,https://www.kingstone.com.tw//basic/2019610048102?zone=book&lid=book_class3_ofg&actid=book_class3_ofg,SE編輯部,良品文化  ,9789867139931,https://cdn.kingstone.com.tw/book/images/product/20196/2019610048102/2019610048102b.jpg
動物寫真素材集（附圖庫DVD光碟）,https://www.kingstone.com.tw//basic/2013120250383?zone=book&lid=book_class3_ofg&actid=book_class3_ofg,江見敏宏,教育之友  ,9789865783013,https://cdn.kingstone.com.tw/book/images/product/20131/2013120250383/2013120250383b.jpg
手感質地素材集,https://www.kingstone.com.tw//basic/2013120241138?zone=book&lid=book_class3_ofg&actid=book_class3_ofg,橋本篤生,教育之友  ,9789866360961,https://cdn.kingstone.com.tw/book/images/product/20131/2013120241138/2013120241138b.jpg
Sweet浪漫花朵&甜點素材集（附圖庫DVD）,https://www.kingstone.com.tw//basic/2013120226524?zone=book&lid=book_class3_ofg&actid=book_class3_ofg,Sachi,教育之友  ,9789866360930,https://cdn.kingstone.com.tw/book/images/product/20131/2013120226524/2013120226524b.jpg
