書名,書籍網站,作者,出版社,ISBN,圖片網址
配色的設計美學：mt紙膠帶設計師1500款創意事典,https://www.kingstone.com.tw//basic/2019630031177?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,iyamadesign,時報文化  ,9789571392431,https://cdn.kingstone.com.tw/book/images/product/20196/2019630031177/2019630031177b.jpg
隨翻即用配色手帳,https://www.kingstone.com.tw//basic/2019630031337?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,久野尚美,三悅文化  ,9789869939287,https://cdn.kingstone.com.tw/book/images/product/20196/2019630031337/2019630031337b.jpg
一看就懂配色設計【獨家豪華收錄32頁16色基本色╳7色印刷特殊色演色表】：從色彩知識、配色規則到輸出創意，隨看即用的最強色彩指南,https://www.kingstone.com.tw//basic/2019630030675?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,ARENSKI,遠流      ,9789573289470,https://cdn.kingstone.com.tw/book/images/product/20196/2019630030675/2019630030675b.jpg
國之色：中國傳統色配色圖典,https://www.kingstone.com.tw//basic/2019640109941?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,紅糖美學,睿其      ,9789578472761,https://cdn.kingstone.com.tw/book/images/product/20196/2019640109941/2019640109941b.jpg
向大師學調色〔美國33年長銷經典〕：從配色到構圖，讓水彩畫更出色生動的31堂課,https://www.kingstone.com.tw//basic/2019630029266?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,珍．多比,遠流      ,9789573286820,https://cdn.kingstone.com.tw/book/images/product/20196/2019630029266/2019630029266b.jpg
零基礎配色學：1456組好感色範例，秒速解決你的配色困擾！,https://www.kingstone.com.tw//basic/2019630031467?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,ingectar-e,三采      ,9789576585197,https://cdn.kingstone.com.tw/book/images/product/20196/2019630031467/2019630031467b.jpg
日系設計師的CMYK色彩搭配辭典：367種優雅繽紛的傳統色，創造獨特風格的實用色彩指南,https://www.kingstone.com.tw//basic/2019630031207?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,新井美樹,積木文化  ,9789864593279,https://cdn.kingstone.com.tw/book/images/product/20196/2019630031207/2019630031207b.jpg
故宮裡的色彩美學與配色事典：24節氣、72物候、96件手繪文物、384種中華傳統色，重現古典生活之美,https://www.kingstone.com.tw//basic/2019630030705?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,郭浩、李健明,悅知文化  ,9789865101442,https://cdn.kingstone.com.tw/book/images/product/20196/2019630030705/2019630030705b.jpg
具說服力的配色Layout：完美的呈現版面色彩配置,https://www.kingstone.com.tw//basic/2019600073305?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,南雲治嘉,龍溪國際圖,9789869831444,https://cdn.kingstone.com.tw/book/images/product/20196/2019600073305/2019600073305b.jpg
好設計の配色圖鑑II：聰明的選色、吸睛的配色，激發設計的色彩搭配靈感,https://www.kingstone.com.tw//basic/2019640112194?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,Power Design Inc.,睿其      ,9789865520298,https://cdn.kingstone.com.tw/book/images/product/20196/2019640112194/2019640112194b.jpg
女子力配色圖鑑：2000個零失誤色彩最強搭配解方,https://www.kingstone.com.tw//basic/2019630030385?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,紅糖美學、全惠民,碁峰資訊  ,9789865026486,https://cdn.kingstone.com.tw/book/images/product/20196/2019630030385/2019630030385b.jpg
色彩之書：融合科學、心理學及情感意義，帶領你發現自我的真實色彩,https://www.kingstone.com.tw//basic/2011760335866?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,凱倫．海勒,悅知文化  ,9789865100834,https://cdn.kingstone.com.tw/book/images/product/20117/2011760335866/2011760335866b.jpg
速配色彩圖表  立刻上手的配色方案：基本色‧無彩色‧金銀色‧螢光色,https://www.kingstone.com.tw//basic/2019480120571?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,南雲治嘉,龍溪國際圖,9789869831413,https://cdn.kingstone.com.tw/book/images/product/20194/2019480120571/2019480120571b.jpg
配色寶典：用9大色系放膽配！,https://www.kingstone.com.tw//basic/2019630029136?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,久野尚美等,人人      ,9789864611973,https://cdn.kingstone.com.tw/book/images/product/20196/2019630029136/2019630029136b.jpg
日本傳統色名帖：京都顏料老舖‧「上羽繪」絕美和色250選,https://www.kingstone.com.tw//basic/2019630028894?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,石田結實監修,漫遊者    ,9789864893324,https://cdn.kingstone.com.tw/book/images/product/20196/2019630028894/2019630028894b.jpg
配色設計學,https://www.kingstone.com.tw//basic/2019640107947?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,紅糖美學,睿其      ,9789578472570,https://cdn.kingstone.com.tw/book/images/product/20196/2019640107947/2019640107947b.jpg
日本色彩物語：反映自然四季、歲時景色與時代風情的大和絕美傳統色160選,https://www.kingstone.com.tw//basic/2017310178082?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,長澤陽子,麥浩斯    ,9789864083046,https://cdn.kingstone.com.tw/book/images/product/20173/2017310178082/2017310178082b.jpg
色彩配色圖表2應用篇,https://www.kingstone.com.tw//basic/2019630017935?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,南雲治嘉,龍溪國際圖,9789579437639,https://cdn.kingstone.com.tw/book/images/product/20196/2019630017935/2019630017935b.jpg
色彩配色圖表,https://www.kingstone.com.tw//basic/2019630017805?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,南雲治嘉,龍溪國際圖,9789579437592,https://cdn.kingstone.com.tw/book/images/product/20196/2019630017805/2019630017805b.jpg
大師玩色彩：紐約視覺藝術學院最受歡迎的50堂配色設計課,https://www.kingstone.com.tw//basic/2029630031060?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,理查．梅爾,野人文化  ,9789863845362,https://cdn.kingstone.com.tw/book/images/product/20296/2029630031060/2029630031060b.jpg
色彩新論：從心理設計到科學應用,https://www.kingstone.com.tw//basic/2019630030965?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,中華色彩學會,五南      ,9789865227722,https://cdn.kingstone.com.tw/book/images/product/20196/2019630030965/2019630030965b.jpg
色計：極上配色關鍵技巧,https://www.kingstone.com.tw//basic/2019630030545?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,SANDU,風和文創  ,9789869877596,https://cdn.kingstone.com.tw/book/images/product/20196/2019630030545/2019630030545b.jpg
色染古韻,https://www.kingstone.com.tw//basic/2019630030415?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,曾啟雄,卓也文旅  ,9789869846622,https://cdn.kingstone.com.tw/book/images/product/20196/2019630030415/2019630030415b.jpg
最強配色選色速查圖典5000：聰明的選色、吸睛的配色，激發設計的色彩搭配靈感,https://www.kingstone.com.tw//basic/2019630030255?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,紅糖美學,睿其      ,9789865520151,https://cdn.kingstone.com.tw/book/images/product/20196/2019630030255/2019630030255b.jpg
跟一線色彩設計師學色彩&配色,https://www.kingstone.com.tw//basic/2019630030125?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,柴田亞紀子,楓書坊文化,9789863776161,https://cdn.kingstone.com.tw/book/images/product/20196/2019630030125/2019630030125b.jpg
一日、一花、一色：感受大和傳統色與花朵圖案交織之美的366日,https://www.kingstone.com.tw//basic/2019630030095?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,大野真由美,麥浩斯    ,9789864086092,https://cdn.kingstone.com.tw/book/images/product/20196/2019630030095/2019630030095b.jpg
所有人都用得上的暢銷配色學：最實用的色彩心理學，搞懂色彩味道、個性和適用產品，成功配色有方法,https://www.kingstone.com.tw//basic/2019640111012?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,SendPoints,原點      ,9789579072687,https://cdn.kingstone.com.tw/book/images/product/20196/2019640111012/2019640111012b.jpg
邊玩邊學，拆解色彩！讓你畫畫、賞畫都更精進的創意水彩練習簿（全書精選質感柔和細膩的厚磅手感紙張，供讀者動手實作時收到最佳學習效果）,https://www.kingstone.com.tw//basic/2019630029976?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,麗莎．索羅門,行路出版  ,9789869891318,https://cdn.kingstone.com.tw/book/images/product/20196/2019630029976/2019630029976b.jpg
品牌設計之色彩決定論（熱銷版）：看經典設計如何用色彩賦予品牌生命,https://www.kingstone.com.tw//basic/2019630029846?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,善本出版有限公司,上奇科技  ,9789865004606,https://cdn.kingstone.com.tw/book/images/product/20196/2019630029846/2019630029846b.jpg
色彩情感演繹與實作（附北星167色實用色票）,https://www.kingstone.com.tw//basic/2019630029716?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,郭文貴,北星      ,9789579559225,https://cdn.kingstone.com.tw/book/images/product/20196/2019630029716/2019630029716b.jpg
配色方案入門,https://www.kingstone.com.tw//basic/2019630029686?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,日本色彩設計研究所,睿其      ,9789578472891,https://cdn.kingstone.com.tw/book/images/product/20196/2019630029686/2019630029686b.jpg
和色點子手帖【完全保存版】：100個風格主題、2572種配色靈感的最強設計教科書,https://www.kingstone.com.tw//basic/2019630029556?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,櫻井輝子,悅知文化  ,9789865100476,https://cdn.kingstone.com.tw/book/images/product/20196/2019630029556/2019630029556b.jpg
色彩互動學（50週年暢銷紀念版）,https://www.kingstone.com.tw//basic/2019630029426?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,約瑟夫．亞伯斯,積木文化  ,9789864592159,https://cdn.kingstone.com.tw/book/images/product/20196/2019630029426/2019630029426b.jpg
紙版墨色工－好設計，要落地,https://www.kingstone.com.tw//basic/2019630029396?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,王炳南,全華      ,9789865032777,https://cdn.kingstone.com.tw/book/images/product/20196/2019630029396/2019630029396b.jpg
刷色彩，玩出家的個性：學會運用塗料配色攻略，輕鬆改變氛圍，創造空間層次,https://www.kingstone.com.tw//basic/2014220098554?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,得利色彩研究室,麥浩斯    ,9789864085293,https://cdn.kingstone.com.tw/book/images/product/20142/2014220098554/2014220098554b.jpg
配色點子手帖【完全保存版】：127個情境式主題、3175種設計靈感的最強色彩教科書,https://www.kingstone.com.tw//basic/2019630028924?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,櫻井輝子,悅知文化  ,9789865100087,https://cdn.kingstone.com.tw/book/images/product/20196/2019630028924/2019630028924b.jpg
52種顏色的歷史冷知識：隱藏在顏色背後的慾望與想像,https://www.kingstone.com.tw//basic/2011760319460?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,山脇惠子,楓書坊文化,9789863774907,https://cdn.kingstone.com.tw/book/images/product/20117/2011760319460/2011760319460b.jpg
好設計的配色圖鑑,https://www.kingstone.com.tw//basic/2019640108159?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,Power Design Inc.,睿其      ,9789578472617,https://cdn.kingstone.com.tw/book/images/product/20196/2019640108159/2019640108159b.jpg
設計就該這麼好玩！配色1000圖解書,https://www.kingstone.com.tw//basic/2019640107237?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,Kazue Sakurai（櫻井和枝）,悅知文化  ,9789578787681,https://cdn.kingstone.com.tw/book/images/product/20196/2019640107237/2019640107237b.jpg
日本色圖鑑,https://www.kingstone.com.tw//basic/2019460008066?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,吉田雪乃監修,台灣東販  ,9789864758852,https://cdn.kingstone.com.tw/book/images/product/20194/2019460008066/2019460008066b.jpg
玩色風格牆設計：不用裝潢，空間換個顏色，美感立即升級,https://www.kingstone.com.tw//basic/2019210022540?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,得利色彩研究室,麥浩斯    ,9789864084241,https://cdn.kingstone.com.tw/book/images/product/20192/2019210022540/2019210022540b.jpg
圖解現代色彩學,https://www.kingstone.com.tw//basic/2019630028764?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,陳鴻興,五南      ,9789571198392,https://cdn.kingstone.com.tw/book/images/product/20196/2019630028764/2019630028764b.jpg
OX學會好色計,https://www.kingstone.com.tw//basic/2019630028214?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,大里浩二,旗標      ,9789863124689,https://cdn.kingstone.com.tw/book/images/product/20196/2019630028214/2019630028214b.jpg
[完整版]色彩計畫實用色票集 （附北星167色實用色票）,https://www.kingstone.com.tw//basic/2019000111256?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,賴瓊琦,北星      ,9789866399749,https://cdn.kingstone.com.tw/book/images/product/20190/2019000111256/2019000111256b.jpg
有點色：色彩感知應用札記（附北星167色實用色票）,https://www.kingstone.com.tw//basic/2019630028184?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,陳欣如,北星      ,9789866399718,https://cdn.kingstone.com.tw/book/images/product/20196/2019630028184/2019630028184b.jpg
色彩的履歷書：從科學到風俗，75種令人神魂顛倒的色彩故事,https://www.kingstone.com.tw//basic/2019630027972?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,卡西亞．聖．克萊兒,本事出版  ,9789869450485,https://cdn.kingstone.com.tw/book/images/product/20196/2019630027972/2019630027972b.jpg
色彩計劃與實作（附北星167色實用色票）,https://www.kingstone.com.tw//basic/2019630027842?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,賴瓊琦(賴一輝),北星      ,9789866399480,https://cdn.kingstone.com.tw/book/images/product/20196/2019630027842/2019630027842b.jpg
好感空間色彩學：懂設計更要懂色彩怎麼玩,https://www.kingstone.com.tw//basic/2019670079153?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,得利色彩研究室,麥浩斯    ,9789864082063,https://cdn.kingstone.com.tw/book/images/product/20196/2019670079153/2019670079153b.jpg
百年色辭典：一次掌握色彩流行史、設計代表作、配色靈感，打造出最吸睛與富品味的美感色彩,https://www.kingstone.com.tw//basic/2019630027422?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,凱蒂．葛林伍德,漫遊者    ,9789865671969,https://cdn.kingstone.com.tw/book/images/product/20196/2019630027422/2019630027422b.jpg
北星167色實用色票,https://www.kingstone.com.tw//basic/2019000105767?zone=book&lid=book_class3_ofi&actid=book_class3_ofi,賴一輝,北星      ,9789866399350,https://cdn.kingstone.com.tw/book/images/product/20190/2019000105767/2019000105767b.jpg
