書名,書籍網站,作者,出版社,ISBN,圖片網址
從0到100的議題桌遊設計實戰,https://www.kingstone.com.tw//basic/2015216822436?zone=book&lid=book_class3_ofz&actid=book_class3_ofz,國立臺灣師範大學科學教育中心 遊中學科學團隊,五南      ,9789865224233,https://cdn.kingstone.com.tw/book/images/product/20152/2015216822436/2015216822436b.jpg
論構圖,https://www.kingstone.com.tw//basic/2019610052307?zone=book&lid=book_class3_ofz&actid=book_class3_ofz,楊椀爲,城邦印書館,9789865514365,https://cdn.kingstone.com.tw/book/images/product/20196/2019610052307/2019610052307b.jpg
大畠雅人作品集：ZBrush+造型技法書,https://www.kingstone.com.tw//basic/2013120499621?zone=book&lid=book_class3_ofz&actid=book_class3_ofz,大畠雅人,北星      ,9789869692052,https://cdn.kingstone.com.tw/book/images/product/20131/2013120499621/2013120499621b.jpg
裝幀事典：倫敦書籍藝術中心，手工裝幀創作技法全書,https://www.kingstone.com.tw//basic/2019000112628?zone=book&lid=book_class3_ofz&actid=book_class3_ofz,倫敦書籍藝術中心,麥浩斯    ,9789864083992,https://cdn.kingstone.com.tw/book/images/product/20190/2019000112628/2019000112628b.jpg
東方設計美學,https://www.kingstone.com.tw//basic/2019080012641?zone=book&lid=book_class3_ofz&actid=book_class3_ofz,楊裕富,全華      ,9789864638512,https://cdn.kingstone.com.tw/book/images/product/20190/2019080012641/2019080012641b.jpg
文字排印設計系統,https://www.kingstone.com.tw//basic/2019620074443?zone=book&lid=book_class3_ofz&actid=book_class3_ofz,金柏麗．伊蘭姆,臉譜文化  ,9789862356630,https://cdn.kingstone.com.tw/book/images/product/20196/2019620074443/2019620074443b.jpg
紋飾法則：奠定當代設計思維的37條造形與色彩基本原則,https://www.kingstone.com.tw//basic/2029600061837?zone=book&lid=book_class3_ofz&actid=book_class3_ofz,Owen Jones,易博士    ,9789864800483,https://cdn.kingstone.com.tw/book/images/product/20296/2029600061837/2029600061837b.jpg
書上設計展3.0：設計有事嗎,https://www.kingstone.com.tw//basic/2019600062026?zone=book&lid=book_class3_ofz&actid=book_class3_ofz,尼普利編輯室企劃,北星      ,9789869308021,https://cdn.kingstone.com.tw/book/images/product/20196/2019600062026/2019600062026b.jpg
有一天，我會和我的偶像一同老去（軟精裝）,https://www.kingstone.com.tw//basic/2019640088864?zone=book&lid=book_class3_ofz&actid=book_class3_ofz,蕭青陽,遠流      ,9789573270492,https://cdn.kingstone.com.tw/book/images/product/20196/2019640088864/2019640088864b.jpg
有一天，我會和我的偶像一同老去（平裝）,https://www.kingstone.com.tw//basic/2019640088994?zone=book&lid=book_class3_ofz&actid=book_class3_ofz,蕭青陽,遠流      ,9789573270744,https://cdn.kingstone.com.tw/book/images/product/20196/2019640088994/2019640088994b.jpg
普通‧美∣日常生活中的美好物件（森林綠、水泥灰雙色布面精裝封面，二種顏色封面隨機出貨）,https://www.kingstone.com.tw//basic/2029990108334?zone=book&lid=book_class3_ofz&actid=book_class3_ofz,版語空間,大藝出版  ,9789868676480,https://cdn.kingstone.com.tw/book/images/product/20299/2029990108334/2029990108334b.jpg
人體居所： 空間概念於服裝展演之設計規劃,https://www.kingstone.com.tw//basic/2019640077325?zone=book&lid=book_class3_ofz&actid=book_class3_ofz,黃莉婷,秀威資訊  ,9789862212011,https://cdn.kingstone.com.tw/book/images/product/20196/2019640077325/2019640077325b.jpg
視覺傳達藝術卷3：廣告影像,https://www.kingstone.com.tw//basic/2029090075000?zone=book&lid=book_class3_ofz&actid=book_class3_ofz,黃蕙清,藝術家    ,9789867487872,https://cdn.kingstone.com.tw/book/images/product/20290/2029090075000/2029090075000b.jpg
視覺傳達藝術卷4：形象包裝,https://www.kingstone.com.tw//basic/2029090075130?zone=book&lid=book_class3_ofz&actid=book_class3_ofz,龍冬陽,藝術家    ,9789867487889,https://cdn.kingstone.com.tw/book/images/product/20290/2029090075130/2029090075130b.jpg
節慶DIY系列（7）節慶佈置,https://www.kingstone.com.tw//basic/2019640052131?zone=book&lid=book_class3_ofz&actid=book_class3_ofz,編輯部,新形象出版,9789579679985,https://cdn.kingstone.com.tw/book/images/product/20196/2019640052131/2019640052131b.jpg
節慶DIY系列（二）聖誕饗宴2,https://www.kingstone.com.tw//basic/2019640051349?zone=book&lid=book_class3_ofz&actid=book_class3_ofz,編輯部,新形象出版,9789579679930,https://cdn.kingstone.com.tw/book/images/product/20196/2019640051349/2019640051349b.jpg
