書名,書籍網站,作者,出版社,ISBN,圖片網址
毛森江的建築工作：清水模家的質感,https://www.kingstone.com.tw//basic/2019230035759?zone=book&lid=book_class3_ogb&actid=book_class3_ogb,毛森江,三采      ,9789576585494,https://cdn.kingstone.com.tw/book/images/product/20192/2019230035759/2019230035759b.jpg
在建築中發現夢想【新版】：安藤忠雄的建築原點,https://www.kingstone.com.tw//basic/2019200056531?zone=book&lid=book_class3_ogb&actid=book_class3_ogb,安藤忠雄,如果      ,9789860652383,https://cdn.kingstone.com.tw/book/images/product/20192/2019200056531/2019200056531b.jpg
雜木林進路：廖偉立的建築,https://www.kingstone.com.tw//basic/2019200057743?zone=book&lid=book_class3_ogb&actid=book_class3_ogb,廖偉立,田園城市  ,9789869991537,https://cdn.kingstone.com.tw/book/images/product/20192/2019200057743/2019200057743b.jpg
隈研吾擬聲．擬態建築：生涯首本作品集，展現劃時代的建築新方向！,https://www.kingstone.com.tw//basic/2019230030099?zone=book&lid=book_class3_ogb&actid=book_class3_ogb,隈研吾,瑞昇文化  ,9789864011117,https://cdn.kingstone.com.tw/book/images/product/20192/2019230030099/2019230030099b.jpg
相聚於美麗的建築中,https://www.kingstone.com.tw//basic/2029200056134?zone=book&lid=book_class3_ogb&actid=book_class3_ogb,伊東豊雄,遠流      ,9789573291008,https://cdn.kingstone.com.tw/book/images/product/20292/2029200056134/2029200056134b.jpg
靈魂的場所：一個人的獨處空間讀本,https://www.kingstone.com.tw//basic/2019200041834?zone=book&lid=book_class3_ogb&actid=book_class3_ogb,李清志,大塊      ,9789862137048,https://cdn.kingstone.com.tw/book/images/product/20192/2019200041834/2019200041834b.jpg
2021年iF金質獎精選與獲獎作品,https://www.kingstone.com.tw//basic/2019670089640?zone=book&lid=book_class3_ogb&actid=book_class3_ogb,住宅美學編輯部(合著),品客國際  ,9789860607703,https://cdn.kingstone.com.tw/book/images/product/20196/2019670089640/2019670089640b.jpg
可傳承的日常：從葛羅培斯到Philipp Mainzer，一條始於包浩斯的建築路徑,https://www.kingstone.com.tw//basic/2019230036091?zone=book&lid=book_class3_ogb&actid=book_class3_ogb,徐明松、倪安宇,木馬文化  ,9789863599616,https://cdn.kingstone.com.tw/book/images/product/20192/2019230036091/2019230036091b.jpg
This is 高第（增訂新版）,https://www.kingstone.com.tw//basic/2019200055329?zone=book&lid=book_class3_ogb&actid=book_class3_ogb,莫莉．克萊普爾,天培      ,9789869930581,https://cdn.kingstone.com.tw/book/images/product/20192/2019200055329/2019200055329b.jpg
漂浮庇所：柯比意改建的混凝土船,https://www.kingstone.com.tw//basic/2019230035339?zone=book&lid=book_class3_ogb&actid=book_class3_ogb,遠藤秀平,田園城市  ,9789869991520,https://cdn.kingstone.com.tw/book/images/product/20192/2019230035339/2019230035339b.jpg
追憶似水年華的七十年代（國際版）,https://www.kingstone.com.tw//basic/2017800018591?zone=book&lid=book_class3_ogb&actid=book_class3_ogb,王國元,漢世紀數位,9781647840709,https://cdn.kingstone.com.tw/book/images/product/20178/2017800018591/2017800018591b.jpg
追憶似水年華的七十年代,https://www.kingstone.com.tw//basic/2017800018201?zone=book&lid=book_class3_ogb&actid=book_class3_ogb,王國元,漢世紀數位,9781647840501,https://cdn.kingstone.com.tw/book/images/product/20178/2017800018201/2017800018201b.jpg
追憶似水年華的七十年代（典藏版）,https://www.kingstone.com.tw//basic/2017800018331?zone=book&lid=book_class3_ogb&actid=book_class3_ogb,王國元,漢世紀數位,9781647840518,https://cdn.kingstone.com.tw/book/images/product/20178/2017800018331/2017800018331b.jpg
建築的誕生：15位傳奇大師的生命故事，161件影響世界美學的不朽作品,https://www.kingstone.com.tw//basic/2019200054117?zone=book&lid=book_class3_ogb&actid=book_class3_ogb,金弘澈,大田      ,9789861796017,https://cdn.kingstone.com.tw/book/images/product/20192/2019200054117/2019200054117b.jpg
百年貝聿銘：游弋於不同文明之間的建築大師,https://www.kingstone.com.tw//basic/2017820625304?zone=book&lid=book_class3_ogb&actid=book_class3_ogb,李菁、賈冬婷,香港中和  ,9789888694778,https://cdn.kingstone.com.tw/book/images/product/20178/2017820625304/2017820625304b.jpg
聖地牙哥．卡拉特拉瓦：關於他的手繪與建築的所思所想,https://www.kingstone.com.tw//basic/2019230034417?zone=book&lid=book_class3_ogb&actid=book_class3_ogb,克莉絲汀娜.卡西歐.德.阿爾伯諾茲,典藏      ,9789579057684,https://cdn.kingstone.com.tw/book/images/product/20192/2019230034417/2019230034417b.jpg
2020iF金獎精選與設計作品,https://www.kingstone.com.tw//basic/2019670087646?zone=book&lid=book_class3_ogb&actid=book_class3_ogb,住宅美學編輯部,品客國際  ,9789869589888,https://cdn.kingstone.com.tw/book/images/product/20196/2019670087646/2019670087646b.jpg
探索貝聿銘,https://www.kingstone.com.tw//basic/2019200052823?zone=book&lid=book_class3_ogb&actid=book_class3_ogb,黃健敏、黃承令、賴德霖、李瑞鈺,典藏      ,9789579057653,https://cdn.kingstone.com.tw/book/images/product/20192/2019200052823/2019200052823b.jpg
建築的夢想：龐畢度中心建築師理察.羅傑斯自傳,https://www.kingstone.com.tw//basic/2019200052083?zone=book&lid=book_class3_ogb&actid=book_class3_ogb,理察．羅傑斯、理察．布朗,原點      ,9789579072588,https://cdn.kingstone.com.tw/book/images/product/20192/2019200052083/2019200052083b.jpg
建築師，很有事：畫說空間的療癒與幽默，林淵源的異想世界,https://www.kingstone.com.tw//basic/2019200051741?zone=book&lid=book_class3_ogb&actid=book_class3_ogb,林淵源,麥浩斯    ,9789864085781,https://cdn.kingstone.com.tw/book/images/product/20192/2019200051741/2019200051741b.jpg
凝視.偉大時代：都市規劃界傳奇全球唯一完整傳記《凝視珍.雅各》+都市更新經典之作《偉大城市的誕生,https://www.kingstone.com.tw//basic/2019200051451?zone=book&lid=book_class3_ogb&actid=book_class3_ogb,羅伯特．卡尼格爾,聯經      ,4711132388091,https://cdn.kingstone.com.tw/book/images/product/20192/2019200051451/2019200051451b.jpg
HO！SANAA：妹島和世+西澤立衛的溫柔建築風景,https://www.kingstone.com.tw//basic/2019200050409?zone=book&lid=book_class3_ogb&actid=book_class3_ogb,謝宗哲,原點      ,9789579072533,https://cdn.kingstone.com.tw/book/images/product/20192/2019200050409/2019200050409b.jpg
現代性的魅惑：修澤蘭與她的時代,https://www.kingstone.com.tw//basic/2019200051291?zone=book&lid=book_class3_ogb&actid=book_class3_ogb,漢寶德,典藏      ,9789579057523,https://cdn.kingstone.com.tw/book/images/product/20192/2019200051291/2019200051291b.jpg
廁門中的修行：吳明修建築師公廁論文集,https://www.kingstone.com.tw//basic/2014450046387?zone=book&lid=book_class3_ogb&actid=book_class3_ogb,吳明修,田園城市  ,9789869427012,https://cdn.kingstone.com.tw/book/images/product/20144/2014450046387/2014450046387b.jpg
路易斯.康：在建築的王國中,https://www.kingstone.com.tw//basic/2019200050669?zone=book&lid=book_class3_ogb&actid=book_class3_ogb,大衛．B．布朗寧等,五南      ,9789577636416,https://cdn.kingstone.com.tw/book/images/product/20192/2019200050669/2019200050669b.jpg
建築大叔散步筆記,https://www.kingstone.com.tw//basic/2019200050249?zone=book&lid=book_class3_ogb&actid=book_class3_ogb,建築大叔,田園城市  ,9789869739252,https://cdn.kingstone.com.tw/book/images/product/20192/2019200050249/2019200050249b.jpg
我們該住在哪裡？建築師找尋宜居地的標準,https://www.kingstone.com.tw//basic/2019400093671?zone=book&lid=book_class3_ogb&actid=book_class3_ogb,俞炫準,典藏      ,9789579057400,https://cdn.kingstone.com.tw/book/images/product/20194/2019400093671/2019400093671b.jpg
藤森照信論建築：建築是什麼,https://www.kingstone.com.tw//basic/2019200049670?zone=book&lid=book_class3_ogb&actid=book_class3_ogb,藤森照信,遠流      ,9789573285489,https://cdn.kingstone.com.tw/book/images/product/20192/2019200049670/2019200049670b.jpg
城市速寫：讓阿貴建築師帶你城市漫遊,https://www.kingstone.com.tw//basic/2019210023042?zone=book&lid=book_class3_ogb&actid=book_class3_ogb,曹登貴,白象      ,9789863588009,https://cdn.kingstone.com.tw/book/images/product/20192/2019210023042/2019210023042b.jpg
看不見的設計：禪思、觀心、留白、共生，與當代庭園設計大師的65則對話,https://www.kingstone.com.tw//basic/2019290012417?zone=book&lid=book_class3_ogb&actid=book_class3_ogb,野俊明,臉譜文化  ,9789862357163,https://cdn.kingstone.com.tw/book/images/product/20192/2019290012417/2019290012417b.jpg
This is 高第,https://www.kingstone.com.tw//basic/2019200047676?zone=book&lid=book_class3_ogb&actid=book_class3_ogb,莫莉．克萊普爾,天培      ,9789869700702,https://cdn.kingstone.com.tw/book/images/product/20192/2019200047676/2019200047676b.jpg
席捲世界的日本建築家群像,https://www.kingstone.com.tw//basic/2019200046624?zone=book&lid=book_class3_ogb&actid=book_class3_ogb,五十嵐太郎,原點      ,9789579072267,https://cdn.kingstone.com.tw/book/images/product/20192/2019200046624/2019200046624b.jpg
世紀建築大師：貝聿銘,https://www.kingstone.com.tw//basic/2019260010139?zone=book&lid=book_class3_ogb&actid=book_class3_ogb,黃健敏,藝術家    ,9789862822166,https://cdn.kingstone.com.tw/book/images/product/20192/2019260010139/2019260010139b.jpg
世紀 王大閎,https://www.kingstone.com.tw//basic/2019230032413?zone=book&lid=book_class3_ogb&actid=book_class3_ogb,王大閎等十八人,典藏      ,9789869615570,https://cdn.kingstone.com.tw/book/images/product/20192/2019230032413/2019230032413b.jpg
世界知名建築師的提案策略：師法全球15大建築師事務所抓住人心的表現心法,https://www.kingstone.com.tw//basic/2019210021628?zone=book&lid=book_class3_ogb&actid=book_class3_ogb,守山久子,麥浩斯    ,9789864083596,https://cdn.kingstone.com.tw/book/images/product/20192/2019210021628/2019210021628b.jpg
