書名,書籍網站,作者,出版社,ISBN,圖片網址
住進光與影的家：從清水模出發，擁有簡約自然的好感住宅,https://www.kingstone.com.tw//basic/2019230023688?zone=book&lid=book_class3_ogd&actid=book_class3_ogd,原點編輯部,原點      ,https://cdn.kingstone.com.tw/book/images/product/20192/2019230023688/2019230023688b.jpg,9789866408380
東京名建築魅力巡禮：日劇《在名建築裡吃午餐》原作，堂堂登場！,https://www.kingstone.com.tw//basic/2019230036381?zone=book&lid=book_class3_ogd&actid=book_class3_ogd,甲斐實乃梨（Minori Kai）,悅知文化  ,https://cdn.kingstone.com.tw/book/images/product/20192/2019230036381/2019230036381b.jpg,9789865101619
蓋出好房子：日本建築師才懂的思考&設計：看圖就會蓋！日本學生正在學的關鍵結構、基地破解、照明與陰影,https://www.kingstone.com.tw//basic/2014410149912?zone=book&lid=book_class3_ogd&actid=book_class3_ogd,森清敏、川村奈津子,原點      ,https://cdn.kingstone.com.tw/book/images/product/20144/2014410149912/2014410149912b.jpg,9789865657895
圖解RC造+S造練習入門：一次精通鋼筋混凝土造+鋼骨造的基本知識、應用和計算,https://www.kingstone.com.tw//basic/2014410146966?zone=book&lid=book_class3_ogd&actid=book_class3_ogd,原口秀昭,臉譜文化  ,https://cdn.kingstone.com.tw/book/images/product/20144/2014410146966/2014410146966b.jpg,9789862355015
法國經典建築紀行,https://www.kingstone.com.tw//basic/2019230034967?zone=book&lid=book_class3_ogd&actid=book_class3_ogd,羅慶鴻,大塊      ,https://cdn.kingstone.com.tw/book/images/product/20192/2019230034967/2019230034967b.jpg,9789865549220
隱蔽的空間：寶藏巖地方故事集,https://www.kingstone.com.tw//basic/2019200054537?zone=book&lid=book_class3_ogd&actid=book_class3_ogd,林思駿,田園城市  ,https://cdn.kingstone.com.tw/book/images/product/20192/2019200054537/2019200054537b.jpg,9789869906470
建築力最新版：空間思考的10堂修練課,https://www.kingstone.com.tw//basic/2014410166520?zone=book&lid=book_class3_ogd&actid=book_class3_ogd,林煜傑,風和文創  ,https://cdn.kingstone.com.tw/book/images/product/20144/2014410166520/2014410166520b.jpg,9789869877565
新建築與流派,https://www.kingstone.com.tw//basic/2019230034547?zone=book&lid=book_class3_ogd&actid=book_class3_ogd,童寯,香港中和  ,https://cdn.kingstone.com.tw/book/images/product/20192/2019230034547/2019230034547b.jpg,9789888694570
空間設計要思考的是：人與空間、形式和機能，從思考到現場，陸希傑的極簡美學與實踐（暢銷改版）,https://www.kingstone.com.tw//basic/2019210024254?zone=book&lid=book_class3_ogd&actid=book_class3_ogd,陸希傑,麥浩斯    ,https://cdn.kingstone.com.tw/book/images/product/20192/2019210024254/2019210024254b.jpg,9789864086306
經典民居：精華濃縮的最美民居,https://www.kingstone.com.tw//basic/2019280011017?zone=book&lid=book_class3_ogd&actid=book_class3_ogd,劉干才 編著,崧燁文化  ,https://cdn.kingstone.com.tw/book/images/product/20192/2019280011017/2019280011017b.jpg,9789865161644
現代建築元素解剖書：手繪拆解建築設計之美與結構巧思，深度臥遊觸發靈思,https://www.kingstone.com.tw//basic/2019210023592?zone=book&lid=book_class3_ogd&actid=book_class3_ogd,安東尼．瑞德福、瑟倫．莫爾寇,麥浩斯    ,https://cdn.kingstone.com.tw/book/images/product/20192/2019210023592/2019210023592b.jpg,9789864085378
世界的絕美色彩建築巡禮,https://www.kingstone.com.tw//basic/2019210023622?zone=book&lid=book_class3_ogd&actid=book_class3_ogd,大田省一,睿其      ,https://cdn.kingstone.com.tw/book/images/product/20192/2019210023622/2019210023622b.jpg,9789578472754
台北建築觀察：當代城市的空間書寫,https://www.kingstone.com.tw//basic/2019000125581?zone=book&lid=book_class3_ogd&actid=book_class3_ogd,林思駿,田園城市  ,https://cdn.kingstone.com.tw/book/images/product/20190/2019000125581/2019000125581b.jpg,9789869739238
精品住宅建築,https://www.kingstone.com.tw//basic/2019280010645?zone=book&lid=book_class3_ogd&actid=book_class3_ogd,莊亦吏編,台灣建築  ,https://cdn.kingstone.com.tw/book/images/product/20192/2019280010645/2019280010645b.jpg,9789869508643
圖解辦公室空間思維（好評改版）,https://www.kingstone.com.tw//basic/2019000121583?zone=book&lid=book_class3_ogd&actid=book_class3_ogd,朱利安．凡．密爾,商周出版  ,https://cdn.kingstone.com.tw/book/images/product/20190/2019000121583/2019000121583b.jpg,4717702905910
山丘上的修道院：科比意的最後風景,https://www.kingstone.com.tw//basic/2019270006382?zone=book&lid=book_class3_ogd&actid=book_class3_ogd,范毅舜,時報文化  ,https://cdn.kingstone.com.tw/book/images/product/20192/2019270006382/2019270006382b.jpg,9789571376431
告別與重建：二十一世紀中國從哪裡來到哪裡去？,https://www.kingstone.com.tw//basic/2019210022380?zone=book&lid=book_class3_ogd&actid=book_class3_ogd,吳克立,漢世紀數位,https://cdn.kingstone.com.tw/book/images/product/20192/2019210022380/2019210022380b.jpg,9781625034632
現當代建築十五講,https://www.kingstone.com.tw//basic/2019230032673?zone=book&lid=book_class3_ogd&actid=book_class3_ogd,董豫贛,香港中和  ,https://cdn.kingstone.com.tw/book/images/product/20192/2019230032673/2019230032673b.jpg,9789888466481
以建築改變日本,https://www.kingstone.com.tw//basic/2019200046594?zone=book&lid=book_class3_ogd&actid=book_class3_ogd,伊東豊雄,五南      ,https://cdn.kingstone.com.tw/book/images/product/20192/2019200046594/2019200046594b.jpg,9789571197562
世界廣場之旅,https://www.kingstone.com.tw//basic/2019260010269?zone=book&lid=book_class3_ogd&actid=book_class3_ogd,川智、金子友美、鶴田佳子,楓書坊文化,https://cdn.kingstone.com.tw/book/images/product/20192/2019260010269/2019260010269b.jpg,9789863773733
瑜璟芳華,https://www.kingstone.com.tw//basic/2019200045962?zone=book&lid=book_class3_ogd&actid=book_class3_ogd,林定三,台灣建築  ,https://cdn.kingstone.com.tw/book/images/product/20192/2019200045962/2019200045962b.jpg,9789869607209
圖解建築結構：樣式、系統與設計（第二版全譯本）【修訂版】,https://www.kingstone.com.tw//basic/2014410155081?zone=book&lid=book_class3_ogd&actid=book_class3_ogd,Francis D. K.等,易博士    ,https://cdn.kingstone.com.tw/book/images/product/20144/2014410155081/2014410155081b.jpg,9789864800360
50計畫，蓋一棟退休幸福宅,https://www.kingstone.com.tw//basic/2014410154589?zone=book&lid=book_class3_ogd&actid=book_class3_ogd,湯山重行,麥浩斯    ,https://cdn.kingstone.com.tw/book/images/product/20144/2014410154589/2014410154589b.jpg,9789864083404
剖開世界現代建築 ：7大結構與代表建築，透視空間、人與環境的新建築之眼,https://www.kingstone.com.tw//basic/2019210021468?zone=book&lid=book_class3_ogd&actid=book_class3_ogd,保羅．路易斯、馬克．鶴卷等,原點      ,https://cdn.kingstone.com.tw/book/images/product/20192/2019210021468/2019210021468b.jpg,9789869555609
PLANTEC－跨界建築事務所,https://www.kingstone.com.tw//basic/2019230031881?zone=book&lid=book_class3_ogd&actid=book_class3_ogd,Nikkei Architecture,五南      ,https://cdn.kingstone.com.tw/book/images/product/20192/2019230031881/2019230031881b.jpg,9789571193137
堅持，進無止境：臺中國家歌劇院營造英雄幕後全紀實,https://www.kingstone.com.tw//basic/2019260009850?zone=book&lid=book_class3_ogd&actid=book_class3_ogd,吳春山、鄭育容,天下雜誌  ,https://cdn.kingstone.com.tw/book/images/product/20192/2019260009850/2019260009850b.jpg,9789863982548
尊榮華邸,https://www.kingstone.com.tw//basic/2019200044330?zone=book&lid=book_class3_ogd&actid=book_class3_ogd,莊亦吏,台灣建築  ,https://cdn.kingstone.com.tw/book/images/product/20192/2019200044330/2019200044330b.jpg,9789869508612
藝術介入空間：都會裡的藝術創作【增訂新版】,https://www.kingstone.com.tw//basic/2019200043838?zone=book&lid=book_class3_ogd&actid=book_class3_ogd,卡特琳．古特,遠流      ,https://cdn.kingstone.com.tw/book/images/product/20192/2019200043838/2019200043838b.jpg,9789573279808
鄉土景觀十講（插圖珍藏本）,https://www.kingstone.com.tw//basic/2019220021526?zone=book&lid=book_class3_ogd&actid=book_class3_ogd,樓慶西,香港中和  ,https://cdn.kingstone.com.tw/book/images/product/20192/2019220021526/2019220021526b.jpg,9789888369577
那天之後的建築：伊東豊雄的後311新建築觀,https://www.kingstone.com.tw//basic/2019200041544?zone=book&lid=book_class3_ogd&actid=book_class3_ogd,伊東豊雄,麥浩斯    ,https://cdn.kingstone.com.tw/book/images/product/20192/2019200041544/2019200041544b.jpg,9789864081493
窗：50位作家，50種觀點,https://www.kingstone.com.tw//basic/2018100091680?zone=book&lid=book_class3_ogd&actid=book_class3_ogd,馬帝歐．佩里柯利,馬可孛羅  ,https://cdn.kingstone.com.tw/book/images/product/20181/2018100091680/2018100091680b.jpg,9789865722715
紐約的窗景，我的故事,https://www.kingstone.com.tw//basic/2019290011755?zone=book&lid=book_class3_ogd&actid=book_class3_ogd,馬帝歐．佩里柯利,馬可孛羅  ,https://cdn.kingstone.com.tw/book/images/product/20192/2019290011755/2019290011755b.jpg,9789865722753
走向現代：高而潘建築的社會性思考,https://www.kingstone.com.tw//basic/2019200040332?zone=book&lid=book_class3_ogd&actid=book_class3_ogd,徐明松、劉文岱,木馬文化  ,https://cdn.kingstone.com.tw/book/images/product/20192/2019200040332/2019200040332b.jpg,9789863590514
