書名,書籍網站,作者,出版社,ISBN,圖片網址
世界極上之宿：建築師眼中的全球之最，親身體驗後才明白的超凡,https://www.kingstone.com.tw//basic/2019260009690?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,黃宏輝,原點      ,9789869440523,https://cdn.kingstone.com.tw/book/images/product/20192/2019260009690/2019260009690b.jpg
台灣公宅100年──最完整圖說，從日治、美援至今的公共住宅演化史,https://www.kingstone.com.tw//basic/2019200055459?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,沈孟穎,創意市集  ,9789865534370,https://cdn.kingstone.com.tw/book/images/product/20192/2019200055459/2019200055459b.jpg
校園公共藝術的環境美學,https://www.kingstone.com.tw//basic/2019200054667?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,施慧美,五南      ,9789869962056,https://cdn.kingstone.com.tw/book/images/product/20192/2019200054667/2019200054667b.jpg
海市蜃樓VII：台灣閒置公共設施抽樣踏查,https://www.kingstone.com.tw//basic/2015750031127?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,姚瑞中,田園城市  ,9789869739290,https://cdn.kingstone.com.tw/book/images/product/20157/2015750031127/2015750031127b.jpg
日本後現代建築巡禮：1975－1995昭和、平成名建築50選,https://www.kingstone.com.tw//basic/2019230033335?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,磯達雄等,遠流      ,9789573285472,https://cdn.kingstone.com.tw/book/images/product/20192/2019230033335/2019230033335b.jpg
建築外觀設計關鍵：看得懂的建築表情,https://www.kingstone.com.tw//basic/2019210022090?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,林祺錦,風和文創  ,9789869647526,https://cdn.kingstone.com.tw/book/images/product/20192/2019210022090/2019210022090b.jpg
海市蜃樓VI：台灣閒置公共設施抽樣踏查,https://www.kingstone.com.tw//basic/2015000036599?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,姚瑞中,田園城市  ,9789869533935,https://cdn.kingstone.com.tw/book/images/product/20150/2015000036599/2015000036599b.jpg
玩遊戲，瘋設計—澳洲精選13個經典遊戲場案例,https://www.kingstone.com.tw//basic/2019910037295?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,李怡貞,台灣建築  ,9789869508629,https://cdn.kingstone.com.tw/book/images/product/20199/2019910037295/2019910037295b.jpg
學校夢田：劉木賢建築作品集,https://www.kingstone.com.tw//basic/2019260009720?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,劉木賢,藝術家    ,9789862821992,https://cdn.kingstone.com.tw/book/images/product/20192/2019260009720/2019260009720b.jpg
屋主都說讚的收納好設計250＋：過來人告訴你早該知道居家不再亂糟糟的收納關鍵,https://www.kingstone.com.tw//basic/2014220083307?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,漂亮家居編輯部,麥浩斯    ,9789864082018,https://cdn.kingstone.com.tw/book/images/product/20142/2014220083307/2014220083307b.jpg
東京最有意思的建築物（3版）,https://www.kingstone.com.tw//basic/2019230030259?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,伍爾夫．麥耶,五南      ,9789571188027,https://cdn.kingstone.com.tw/book/images/product/20192/2019230030259/2019230030259b.jpg
襲園‧和美術館一起過生活（精裝）：把工作、飲食、季節、職人與藝術，都裝進清水模建築裡,https://www.kingstone.com.tw//basic/2019210020256?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,李靜敏,原點      ,9789865657680,https://cdn.kingstone.com.tw/book/images/product/20192/2019210020256/2019210020256b.jpg
圖解台灣近代經典公共建築：模擬現場全方位深度導覽圖解書，看見台灣近代經典建築美學,https://www.kingstone.com.tw//basic/2019260008938?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,凌宗魁,晨星      ,9789864430727,https://cdn.kingstone.com.tw/book/images/product/20192/2019260008938/2019260008938b.jpg
遇見世界十大教堂：建築師帶你閱讀神聖空間,https://www.kingstone.com.tw//basic/2019270005040?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,王裕華、蔡清徽,時報文化  ,9789571364292,https://cdn.kingstone.com.tw/book/images/product/20192/2019270005040/2019270005040b.jpg
和設計大師一起逛車站：從動線、空間到指標，每個小地方都有趣,https://www.kingstone.com.tw//basic/2019260008778?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,赤瀨達三,如何      ,9789861364377,https://cdn.kingstone.com.tw/book/images/product/20192/2019260008778/2019260008778b.jpg
新天堂美術館,https://www.kingstone.com.tw//basic/2019000102421?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,李清志,希甦文化  ,9789869158237,https://cdn.kingstone.com.tw/book/images/product/20190/2019000102421/2019000102421b.jpg
讓旅人駐足的世界車站建築,https://www.kingstone.com.tw//basic/2019200038001?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,X-Knowledge Co.- Ltd.編著,台灣東販  ,9789863315964,https://cdn.kingstone.com.tw/book/images/product/20192/2019200038001/2019200038001b.jpg
台灣公共藝術：地標篇,https://www.kingstone.com.tw//basic/2029260007909?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,游本寬,游本寬    ,9789574178650,https://cdn.kingstone.com.tw/book/images/product/20292/2029260007909/2029260007909b.jpg
公共藝術：故事漫遊,https://www.kingstone.com.tw//basic/2019200028194?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,林志銘,田園城市  ,9789866204005,https://cdn.kingstone.com.tw/book/images/product/20192/2019200028194/2019200028194b.jpg
美權至上,https://www.kingstone.com.tw//basic/2019260006514?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,中華全球城,科寶      ,9789866953224,https://cdn.kingstone.com.tw/book/images/product/20192/2019260006514/2019260006514b.jpg
帶你逛紐約無牆美術館,https://www.kingstone.com.tw//basic/2018200227569?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,何春寰,藝術家    ,9789867034151,https://cdn.kingstone.com.tw/book/images/product/20182/2018200227569/2018200227569b.jpg
紐約.藝術時區：Sometime in New York,https://www.kingstone.com.tw//basic/2019260006354?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,嚴華蘭,典藏      ,9789867519863,https://cdn.kingstone.com.tw/book/images/product/20192/2019260006354/2019260006354b.jpg
公共藝術空間新美學,https://www.kingstone.com.tw//basic/2019200020808?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,胡寶林,藝術家    ,9789867487643,https://cdn.kingstone.com.tw/book/images/product/20192/2019200020808/2019200020808b.jpg
公共藝術在波士頓,https://www.kingstone.com.tw//basic/2019260006224?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,陳昌銘,藝術家    ,9789867487605,https://cdn.kingstone.com.tw/book/images/product/20192/2019260006224/2019260006224b.jpg
感人的紀念性公共藝術,https://www.kingstone.com.tw//basic/2019260006194?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,黃承令,藝術家    ,9789867487551,https://cdn.kingstone.com.tw/book/images/product/20192/2019260006194/2019260006194b.jpg
藝術反轉：公民美學與公共藝術,https://www.kingstone.com.tw//basic/2019260005302?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,倪再沁,典藏      ,9789860008555,https://cdn.kingstone.com.tw/book/images/product/20192/2019260005302/2019260005302b.jpg
魔幻城市：科技公共藝術,https://www.kingstone.com.tw//basic/2019260005432?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,胡朝聖,典藏      ,9789860008579,https://cdn.kingstone.com.tw/book/images/product/20192/2019260005432/2019260005432b.jpg
全民書寫：常民公共藝術,https://www.kingstone.com.tw//basic/2019200019109?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,李俊賢,典藏      ,9789860010732,https://cdn.kingstone.com.tw/book/images/product/20192/2019200019109/2019200019109b.jpg
塔的故事,https://www.kingstone.com.tw//basic/2019260004640?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,陳耔伶,好讀      ,9789574557295,https://cdn.kingstone.com.tw/book/images/product/20192/2019260004640/2019260004640b.jpg
媒材篇：雕塑與公共藝術,https://www.kingstone.com.tw//basic/2029090065353?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,洪致美,藝術家    ,9789570154276,https://cdn.kingstone.com.tw/book/images/product/20290/2029090065353/2029090065353b.jpg
貝聿銘的世界,https://www.kingstone.com.tw//basic/2019260002776?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,黃健敏,藝術家    ,9789579500890,https://cdn.kingstone.com.tw/book/images/product/20192/2019260002776/2019260002776b.jpg
築光：曙光女中德思樓的重建之路,https://www.kingstone.com.tw//basic/2019260010429?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,張景堯,大埕設計  ,9789868817920,https://cdn.kingstone.com.tw/book/images/product/20192/2019260010429/2019260010429b.jpg
吸睛！裝置藝術：吸引路人眼光，將人潮變成錢潮,https://www.kingstone.com.tw//basic/2019600061494?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,善本出版有限公司,拓客（上奇,9789865001766,https://cdn.kingstone.com.tw/book/images/product/20196/2019600061494/2019600061494b.jpg
建築之間：公共空間生活,https://www.kingstone.com.tw//basic/2015450027260?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,揚．蓋爾,創詠堂文化,9789869413503,https://cdn.kingstone.com.tw/book/images/product/20154/2015450027260/2015450027260b.jpg
海市蜃樓V：台灣閒置公共設施抽樣踏查,https://www.kingstone.com.tw//basic/2015750022712?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,姚瑞中＋LSD,田園城市  ,9789869229494,https://cdn.kingstone.com.tw/book/images/product/20157/2015750022712/2015750022712b.jpg
世界絕美機場蒐藏：精致攝影構圖，盡顯品味設計，值得驚嘆珍藏！,https://www.kingstone.com.tw//basic/2019260008648?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,株式社,瑞昇文化  ,9789864010462,https://cdn.kingstone.com.tw/book/images/product/20192/2019260008648/2019260008648b.jpg
美聲涵洞：臺中國家歌劇院，應許未來,https://www.kingstone.com.tw//basic/2019260008488?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,謝宗哲,天下文化  ,9789863205968,https://cdn.kingstone.com.tw/book/images/product/20192/2019260008488/2019260008488b.jpg
海市蜃樓IV：台灣閒置公共設施抽樣踏查,https://www.kingstone.com.tw//basic/2015750019019?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,姚瑞中,田園城市  ,9789866204845,https://cdn.kingstone.com.tw/book/images/product/20157/2015750019019/2015750019019b.jpg
時尚設計潮流：文教及公共空間藝術哲學,https://www.kingstone.com.tw//basic/2019670069666?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,國際最新室內設計精選編寫組,佳魁      ,9789865764999,https://cdn.kingstone.com.tw/book/images/product/20196/2019670069666/2019670069666b.jpg
為兒童而展示：法國巴黎國立自然史博物館兒童廳計畫的創新設計與實例解析,https://www.kingstone.com.tw//basic/2019000094887?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,阿涅絲．巴杭,遠足文化  ,9789865787202,https://cdn.kingstone.com.tw/book/images/product/20190/2019000094887/2019000094887b.jpg
海市蜃樓Ⅲ：台灣閒置公共設施抽樣踏查,https://www.kingstone.com.tw//basic/2015750017305?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,姚瑞中/失落社會檔案室,田園城市  ,9789866204647,https://cdn.kingstone.com.tw/book/images/product/20157/2015750017305/2015750017305b.jpg
Wow！為什麼小便斗裡有蒼蠅？全球13設計城市╳52公共藝術現場直擊,https://www.kingstone.com.tw//basic/2019200032689?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,尹智榮,尖端      ,9789571049915,https://cdn.kingstone.com.tw/book/images/product/20192/2019200032689/2019200032689b.jpg
追尋台灣的風景圖像,https://www.kingstone.com.tw//basic/2019600039899?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,李欽賢,台灣書房  ,9789866318733,https://cdn.kingstone.com.tw/book/images/product/20196/2019600039899/2019600039899b.jpg
海市蜃樓II：台灣閒置公共設施抽樣踏查,https://www.kingstone.com.tw//basic/2015750014939?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,姚瑞中,田園城市  ,9789866204333,https://cdn.kingstone.com.tw/book/images/product/20157/2015750014939/2015750014939b.jpg
東京公共藝術之旅,https://www.kingstone.com.tw//basic/2019200029726?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,龍神欣二,流行風    ,9789863060048,https://cdn.kingstone.com.tw/book/images/product/20192/2019200029726/2019200029726b.jpg
嚮往之城：慢食者與藝術家的16座城市再生運動,https://www.kingstone.com.tw//basic/2019200029566?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,池農深,麥浩斯    ,9789866086458,https://cdn.kingstone.com.tw/book/images/product/20192/2019200029566/2019200029566b.jpg
形體的象徵與游離。空間創作論述：以公共藝術為例,https://www.kingstone.com.tw//basic/2019200029856?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,林一中,田園城市  ,9789866204197,https://cdn.kingstone.com.tw/book/images/product/20192/2019200029856/2019200029856b.jpg
搞空間,https://www.kingstone.com.tw//basic/2019060011213?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,姚瑞中、吳達坤,田園城市  ,9789866204203,https://cdn.kingstone.com.tw/book/images/product/20190/2019060011213/2019060011213b.jpg
不列顛文件,https://www.kingstone.com.tw//basic/2019260007856?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,謝統勝,典藏      ,9789866833892,https://cdn.kingstone.com.tw/book/images/product/20192/2019260007856/2019260007856b.jpg
美好的台北藝術旅行,https://www.kingstone.com.tw//basic/2019260007726?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,La Vie編輯部,麥浩斯    ,9789866322761,https://cdn.kingstone.com.tw/book/images/product/20192/2019260007726/2019260007726b.jpg
海市蜃樓：台灣閒置公共設施抽樣踏查Mirage：Disused Public Property in Taiwan,https://www.kingstone.com.tw//basic/2015750014649?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,姚瑞中+LSD,田園城市  ,9789866204067,https://cdn.kingstone.com.tw/book/images/product/20157/2015750014649/2015750014649b.jpg
遊藝高雄公共藝術,https://www.kingstone.com.tw//basic/2019260007566?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,墨刻編輯室,墨刻      ,9789866500732,https://cdn.kingstone.com.tw/book/images/product/20192/2019260007566/2019260007566b.jpg
極上之宿,https://www.kingstone.com.tw//basic/2019260006934?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,黃宏輝,麥浩斯    ,9789866555329,https://cdn.kingstone.com.tw/book/images/product/20192/2019260006934/2019260006934b.jpg
天堂美術館,https://www.kingstone.com.tw//basic/2019260006804?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,李清志,晴天出版  ,9789868458123,https://cdn.kingstone.com.tw/book/images/product/20192/2019260006804/2019260006804b.jpg
公共藝術觸擊,https://www.kingstone.com.tw//basic/2019200023434?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,倪再沁,藝術家    ,9789867034946,https://cdn.kingstone.com.tw/book/images/product/20192/2019200023434/2019200023434b.jpg
輝煌的俄羅斯公共藝術與建築,https://www.kingstone.com.tw//basic/2019200021430?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,馬曉瑛,藝術家    ,9789867034366,https://cdn.kingstone.com.tw/book/images/product/20192/2019200021430/2019200021430b.jpg
2006國家卓越建設獎,https://www.kingstone.com.tw//basic/2029200021323?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,毛麗蓉,天下文化  ,9789868303706,https://cdn.kingstone.com.tw/book/images/product/20292/2029200021323/2029200021323b.jpg
打造美樂地：社區公共藝術,https://www.kingstone.com.tw//basic/2019260005722?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,曾旭正,典藏      ,9789860008593,https://cdn.kingstone.com.tw/book/images/product/20192/2019260005722/2019260005722b.jpg
街頭美學：設施公共藝術,https://www.kingstone.com.tw//basic/2019260005852?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,林熹俊,典藏      ,9789860010749,https://cdn.kingstone.com.tw/book/images/product/20192/2019260005852/2019260005852b.jpg
玩藝學堂-學校公共藝術,https://www.kingstone.com.tw//basic/2019260005982?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,王玉齡,典藏      ,9789860010756,https://cdn.kingstone.com.tw/book/images/product/20192/2019260005982/2019260005982b.jpg
心靈門診：醫院公共藝術,https://www.kingstone.com.tw//basic/2019260006064?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,陳惠婷,典藏      ,9789860008609,https://cdn.kingstone.com.tw/book/images/product/20192/2019260006064/2019260006064b.jpg
藝術進站：捷運公共藝術,https://www.kingstone.com.tw//basic/2019260005562?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,楊子葆,典藏      ,9789860008562,https://cdn.kingstone.com.tw/book/images/product/20192/2019260005562/2019260005562b.jpg
遊戲組曲：裝置公共藝術,https://www.kingstone.com.tw//basic/2019260005692?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,朱惠芬,典藏      ,9789860008586,https://cdn.kingstone.com.tw/book/images/product/20192/2019260005692/2019260005692b.jpg
場域游走：互動公共藝術,https://www.kingstone.com.tw//basic/2019200019239?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,顏名宏,典藏      ,9789860010725,https://cdn.kingstone.com.tw/book/images/product/20192/2019200019239/2019200019239b.jpg
創意地帶：園區公共藝術,https://www.kingstone.com.tw//basic/2019200019369?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,郭瑞坤,典藏      ,9789860010763,https://cdn.kingstone.com.tw/book/images/product/20192/2019200019369/2019200019369b.jpg
自然製造：生態公共藝術,https://www.kingstone.com.tw//basic/2019200019499?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,郭瓊瑩,典藏      ,9789860010770,https://cdn.kingstone.com.tw/book/images/product/20192/2019200019499/2019200019499b.jpg
節慶公共藝術嘉年華,https://www.kingstone.com.tw//basic/2019260005272?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,黃健敏,藝術家    ,9789867487483,https://cdn.kingstone.com.tw/book/images/product/20192/2019260005272/2019260005272b.jpg
藝術，盡在街頭：美國東部城市藝術公共空間導覽,https://www.kingstone.com.tw//basic/2019260005012?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,典藏      ,停售,9789867519306,https://cdn.kingstone.com.tw/book/images/product/20192/2019260005012/2019260005012b.jpg
量繪形貌：新類型公共藝術,https://www.kingstone.com.tw//basic/2019010026670?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,Suzanne Lacy,遠流      ,9789573253396,https://cdn.kingstone.com.tw/book/images/product/20190/2019010026670/2019010026670b.jpg
大破大立：遠東-921校園建築獎,https://www.kingstone.com.tw//basic/2015270031683?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,范巽綠、黃茂德,田園城市  ,9789267705859,https://cdn.kingstone.com.tw/book/images/product/20152/2015270031683/2015270031683b.jpg
台灣建築之美,https://www.kingstone.com.tw//basic/2019260004510?zone=book&lid=book_class3_ogf&actid=book_class3_ogf,行政院文建,美兆      ,9789570144994,https://cdn.kingstone.com.tw/book/images/product/20192/2019260004510/2019260004510b.jpg
