書名,書籍網站,作者,出版社,ISBN,圖片網址
地底城市：你不知道的神秘空間、奇景、交通網絡與指揮總部,https://www.kingstone.com.tw//basic/2015450034961?zone=book&lid=book_class3_ogz&actid=book_class3_ogz,馬克．歐文登,遠流      ,9789573288510,https://cdn.kingstone.com.tw/book/images/product/20154/2015450034961/2015450034961b.jpg
步步紅樓,https://www.kingstone.com.tw//basic/2019200045382?zone=book&lid=book_class3_ogz&actid=book_class3_ogz,劉黎瓊、黃雲皓,香港中和  ,9789888466313,https://cdn.kingstone.com.tw/book/images/product/20192/2019200045382/2019200045382b.jpg
秘境小屋+小屋典藏卡（限量套組）,https://www.kingstone.com.tw//basic/2019280011437?zone=book&lid=book_class3_ogz&actid=book_class3_ogz,札克．可倫,柿子文化  ,9789757900764,https://cdn.kingstone.com.tw/book/images/product/20192/2019280011437/2019280011437b.jpg
臺灣廟宇建築與裝飾：神農大帝、保生大帝、文昌帝君、清水祖師篇,https://www.kingstone.com.tw//basic/2019270006412?zone=book&lid=book_class3_ogz&actid=book_class3_ogz,張志源,揚智文化  ,9789862983065,https://cdn.kingstone.com.tw/book/images/product/20192/2019270006412/2019270006412b.jpg
福爾摩沙的西洋建築想像,https://www.kingstone.com.tw//basic/2019010041994?zone=book&lid=book_class3_ogz&actid=book_class3_ogz,楊啟正,玉山社    ,9789862942062,https://cdn.kingstone.com.tw/book/images/product/20190/2019010041994/2019010041994b.jpg
這座社科院：臺灣大學社會科學院的伊東豊雄圖集,https://www.kingstone.com.tw//basic/2019200047706?zone=book&lid=book_class3_ogz&actid=book_class3_ogz,彭錦鵬,田園城市  ,9789866395932,https://cdn.kingstone.com.tw/book/images/product/20192/2019200047706/2019200047706b.jpg
這座社科院：臺灣大學社會科學院的伊東豊雄圖集,https://www.kingstone.com.tw//basic/2019200047836?zone=book&lid=book_class3_ogz&actid=book_class3_ogz,彭錦鵬,田園城市  ,9789866395949,https://cdn.kingstone.com.tw/book/images/product/20192/2019200047836/2019200047836b.jpg
嶺南文化十大名片：騎樓,https://www.kingstone.com.tw//basic/2019000117838?zone=book&lid=book_class3_ogz&actid=book_class3_ogz,林雄主編，葉曙明編著,昌明文化  ,9789864962112,https://cdn.kingstone.com.tw/book/images/product/20190/2019000117838/2019000117838b.jpg
探訪創作者的家,https://www.kingstone.com.tw//basic/2014220091050?zone=book&lid=book_class3_ogz&actid=book_class3_ogz,X-Knowledge Co.- Ltd.,瑞昇文化  ,9789864012046,https://cdn.kingstone.com.tw/book/images/product/20142/2014220091050/2014220091050b.jpg
土地開發與規劃設計應用（2016最新版）,https://www.kingstone.com.tw//basic/2015540091133?zone=book&lid=book_class3_ogz&actid=book_class3_ogz,黃宗源,永然文化  ,9789574854257,https://cdn.kingstone.com.tw/book/images/product/20155/2015540091133/2015540091133b.jpg
