書名,書籍網站,作者,出版社,ISBN,圖片網址
時代迴音：記憶中的台灣流行音樂,https://www.kingstone.com.tw//basic/2019100145779?zone=book&lid=book_class3_oha&actid=book_class3_oha,李明璁 統籌策劃,大塊      ,9789862136461,https://cdn.kingstone.com.tw/book/images/product/20191/2019100145779/2019100145779b.jpg
樂之本事A Road to the Classical Music,https://www.kingstone.com.tw//basic/2019100139990?zone=book&lid=book_class3_oha&actid=book_class3_oha,焦元溥,聯經      ,9789570844573,https://cdn.kingstone.com.tw/book/images/product/20191/2019100139990/2019100139990b.jpg
聲音的故事：哥倫比亞大學經典音樂講堂,https://www.kingstone.com.tw//basic/2019100182361?zone=book&lid=book_class3_oha&actid=book_class3_oha,愛德華．麥克杜威,紅桌文化  ,9789860680409,https://cdn.kingstone.com.tw/book/images/product/20191/2019100182361/2019100182361b.jpg
完全理解好音樂套書二冊：《好音樂的科學》、《好音樂的科學II》,https://www.kingstone.com.tw//basic/2019100178906?zone=book&lid=book_class3_oha&actid=book_class3_oha,約翰．包威爾,大寫出版  ,9789579689588,https://cdn.kingstone.com.tw/book/images/product/20191/2019100178906/2019100178906b.jpg
指揮家之心：為什麼音樂如此動人？指揮家帶你深入音樂表象之下的世界,https://www.kingstone.com.tw//basic/2019110048602?zone=book&lid=book_class3_oha&actid=book_class3_oha,馬克．維格斯沃,經濟新潮社,9789869868075,https://cdn.kingstone.com.tw/book/images/product/20191/2019110048602/2019110048602b.jpg
當音樂響起，你想起誰,https://www.kingstone.com.tw//basic/2019100182231?zone=book&lid=book_class3_oha&actid=book_class3_oha,吳孟樵,新銳文創  ,9789865540494,https://cdn.kingstone.com.tw/book/images/product/20191/2019100182231/2019100182231b.jpg
當代五大音樂教學法（修訂版）,https://www.kingstone.com.tw//basic/2019100177664?zone=book&lid=book_class3_oha&actid=book_class3_oha,鄭方靖,高雄復文  ,9789863762300,https://cdn.kingstone.com.tw/book/images/product/20191/2019100177664/2019100177664b.jpg
聽見音樂的靈魂：作曲家帶你聽懂西方古典音樂的演變和故事,https://www.kingstone.com.tw//basic/2019100172744?zone=book&lid=book_class3_oha&actid=book_class3_oha,揚．斯沃福德,真文化    ,9789869858830,https://cdn.kingstone.com.tw/book/images/product/20191/2019100172744/2019100172744b.jpg
從裝懂到聽懂，現代音樂簡史：爵士、藍調、民謠、搖滾、嘻哈……你一定能找到一種音樂懂自己,https://www.kingstone.com.tw//basic/2019100172164?zone=book&lid=book_class3_oha&actid=book_class3_oha,王碩,大是      ,9789579654722,https://cdn.kingstone.com.tw/book/images/product/20191/2019100172164/2019100172164b.jpg
琴弓的藝術：提琴收藏大師教你看懂琴弓的價值（全新增訂版）,https://www.kingstone.com.tw//basic/2019100171372?zone=book&lid=book_class3_oha&actid=book_class3_oha,莊仲平、鄭亞拿,華滋文化  ,9789869829731,https://cdn.kingstone.com.tw/book/images/product/20191/2019100171372/2019100171372b.jpg
第一本照著做就０失誤的音樂製作工具書,https://www.kingstone.com.tw//basic/2019100170450?zone=book&lid=book_class3_oha&actid=book_class3_oha,大禾音樂製作,城邦印書館,9789869852203,https://cdn.kingstone.com.tw/book/images/product/20191/2019100170450/2019100170450b.jpg
圖解重配和聲 樂風編曲法：八大音樂風格和弦技巧一次學起來，樂曲氛圍任你自由變化,https://www.kingstone.com.tw//basic/2019110047940?zone=book&lid=book_class3_oha&actid=book_class3_oha,杉山泰,易博士    ,9789864800926,https://cdn.kingstone.com.tw/book/images/product/20191/2019110047940/2019110047940b.jpg
音樂，不只是音樂：認識古典音樂的四十堂課（2019新版）,https://www.kingstone.com.tw//basic/2019100163919?zone=book&lid=book_class3_oha&actid=book_class3_oha,彭廣林,未來出版社,9789864796229,https://cdn.kingstone.com.tw/book/images/product/20191/2019100163919/2019100163919b.jpg
圖解流行‧搖滾音樂理論,https://www.kingstone.com.tw//basic/2019110047520?zone=book&lid=book_class3_oha&actid=book_class3_oha,いちむらまさき,易博士    ,9789864800728,https://cdn.kingstone.com.tw/book/images/product/20191/2019110047520/2019110047520b.jpg
寫給年輕人的古典音樂小史：連乖戾的貝多芬都萌得不要不要,https://www.kingstone.com.tw//basic/2019100160123?zone=book&lid=book_class3_oha&actid=book_class3_oha,洪允杓,原點      ,9789579072205,https://cdn.kingstone.com.tw/book/images/product/20191/2019100160123/2019100160123b.jpg
好音樂的科學II：從古典旋律到搖滾詩篇：看美妙樂曲如何改寫思維、療癒人心,https://www.kingstone.com.tw//basic/2019100158632?zone=book&lid=book_class3_oha&actid=book_class3_oha,約翰．包威爾,大寫出版  ,9789869553209,https://cdn.kingstone.com.tw/book/images/product/20191/2019100158632/2019100158632b.jpg
華麗舞台的深夜告白,https://www.kingstone.com.tw//basic/2019100158502?zone=book&lid=book_class3_oha&actid=book_class3_oha,林佳瑩、趙靜瑜,有樂出版  ,9789869345293,https://cdn.kingstone.com.tw/book/images/product/20191/2019100158502/2019100158502b.jpg
唐代音樂史的研究（上下冊）,https://www.kingstone.com.tw//basic/2019100154214?zone=book&lid=book_class3_oha&actid=book_class3_oha,岸邊成雄,台灣中華  ,9789869403962,https://cdn.kingstone.com.tw/book/images/product/20191/2019100154214/2019100154214b.jpg
圖解混音入門：活用推桿、等化器、壓縮器3大關鍵，瞬間音壓飽滿魄力十足,https://www.kingstone.com.tw//basic/2019170183619?zone=book&lid=book_class3_oha&actid=book_class3_oha,石田剛毅,易博士    ,9789864800032,https://cdn.kingstone.com.tw/book/images/product/20191/2019170183619/2019170183619b.jpg
好音樂的科學：破解基礎樂理和美妙旋律的音階秘密,https://www.kingstone.com.tw//basic/2019100149937?zone=book&lid=book_class3_oha&actid=book_class3_oha,約翰．包威爾,大寫出版  ,9789865695521,https://cdn.kingstone.com.tw/book/images/product/20191/2019100149937/2019100149937b.jpg
