書名,書籍網站,作者,出版社,ISBN,圖片網址
樂讀普希金（輯錄樂界名家演繹12首經典曲目，超過72分鐘的聆音盛宴）【附全體音樂人親筆簽名】,https://www.kingstone.com.tw//basic/2029100182414?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,焦元溥林慈音羅俊穎李宜錦許,聯經      ,9789570859379,https://cdn.kingstone.com.tw/book/images/product/20291/2029100182414/2029100182414b.jpg
BTS THE REVIEW當我們討論BTS：在嘻哈歌手與IDOL之間的音樂世界，專輯評論╳音樂市場分析╳跨領域專家對談，深度剖析防彈少年團,https://www.kingstone.com.tw//basic/2019130161039?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,金榮大,堡壘文化  ,9789860651355,https://cdn.kingstone.com.tw/book/images/product/20191/2019130161039/2019130161039b.jpg
細說華格納四大樂劇,https://www.kingstone.com.tw//basic/2019100162257?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,王冠之,青森文化  ,9789888490547,https://cdn.kingstone.com.tw/book/images/product/20191/2019100162257/2019100162257b.jpg
聽見蕭邦（隨書附環球古典音樂CD）,https://www.kingstone.com.tw//basic/2019100113754?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,焦元溥,聯經      ,9789570835700,https://cdn.kingstone.com.tw/book/images/product/20191/2019100113754/2019100113754b.jpg
我家也有莫札特,https://www.kingstone.com.tw//basic/2019100086928?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,吳毓嫻、黃聖彥,聯合文學  ,9789575224158,https://cdn.kingstone.com.tw/book/images/product/20191/2019100086928/2019100086928b.jpg
大指揮家與古典音樂：當代指揮大師的工作技藝、曲目觀點與後臺故事,https://www.kingstone.com.tw//basic/2019110048442?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,約翰．莫切里,大寫出版  ,9789579689458,https://cdn.kingstone.com.tw/book/images/product/20191/2019110048442/2019110048442b.jpg
來韓老師這裡學饒舌：有了這一本，讓你饒舌不走冤枉路！,https://www.kingstone.com.tw//basic/2019120013409?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,韓森,時報文化  ,9789571377155,https://cdn.kingstone.com.tw/book/images/product/20191/2019120013409/2019120013409b.jpg
嘻哈囝：台灣饒舌故事,https://www.kingstone.com.tw//basic/2019120013379?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,統籌策劃．顏社,避風港    ,9789869705103,https://cdn.kingstone.com.tw/book/images/product/20191/2019120013379/2019120013379b.jpg
舒伯特的的故事,https://www.kingstone.com.tw//basic/2019100092547?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,邵義強,文國書局  ,9789576008276,https://cdn.kingstone.com.tw/book/images/product/20191/2019100092547/2019100092547b.jpg
樂讀普希金（輯錄樂界名家演繹12首經典曲目，超過72分鐘的聆音盛宴）【典藏珍品CD書】,https://www.kingstone.com.tw//basic/2029100182674?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,焦元溥、林慈音、羅俊穎、李宜錦,聯經      ,4711132389029,https://cdn.kingstone.com.tw/book/images/product/20291/2029100182674/2029100182674b.jpg
Whos that Virgin？He is....Gawanlo—1st book album（中英日韓對照）,https://www.kingstone.com.tw//basic/2019130161169?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,Gawanlo 盧基宏,城邦印書館,9789865514587,https://cdn.kingstone.com.tw/book/images/product/20191/2019130161169/2019130161169b.jpg
我的鑽石人生：林沖回憶錄,https://www.kingstone.com.tw//basic/2017830168891?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,林沖(口述)；吳思薇、王善卿,遠流      ,9789865659387,https://cdn.kingstone.com.tw/book/images/product/20178/2017830168891/2017830168891b.jpg
Freddie Mercury：璀璨奪目的佛萊迪．墨裘瑞,https://www.kingstone.com.tw//basic/2027840125838?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,亞豐索．卡薩斯,尖端      ,9789571092904,https://cdn.kingstone.com.tw/book/images/product/20278/2027840125838/2027840125838b.jpg
艾力克．克萊普頓自傳：尋找藍調與天堂的所在,https://www.kingstone.com.tw//basic/2019100177244?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,艾瑞克．克萊普頓,大石國際  ,9789869956383,https://cdn.kingstone.com.tw/book/images/product/20191/2019100177244/2019100177244b.jpg
誰殺了約翰藍儂：搖滾神話的愛、欲望與生死,https://www.kingstone.com.tw//basic/2017840125365?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,萊斯莉－安．瓊斯,商周出版  ,9789864779529,https://cdn.kingstone.com.tw/book/images/product/20178/2017840125365/2017840125365b.jpg
約翰．凱吉：一位酷兒的禪機藝語,https://www.kingstone.com.tw//basic/2019100175820?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,彭宇薰,藝術家    ,9789862822531,https://cdn.kingstone.com.tw/book/images/product/20191/2019100175820/2019100175820b.jpg
如何演奏流行鋼琴－林宣樣老師流行鋼琴超詳細影音教學全集（共6書+5片DVD+1片MP3）,https://www.kingstone.com.tw//basic/2019100175240?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,林宣樣,酷派      ,4712954580717,https://cdn.kingstone.com.tw/book/images/product/20191/2019100175240/2019100175240b.jpg
邁爾士．戴維斯自傳：爵士巨擘的咆哮人生,https://www.kingstone.com.tw//basic/2019100174908?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,邁爾士．戴維斯、昆西．楚普,大石國際  ,9789578722972,https://cdn.kingstone.com.tw/book/images/product/20191/2019100174908/2019100174908b.jpg
至高的音樂3：古典樂天才的登峰造極,https://www.kingstone.com.tw//basic/2019100173956?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,百田尚樹,有樂出版  ,9789869647748,https://cdn.kingstone.com.tw/book/images/product/20191/2019100173956/2019100173956b.jpg
四弦一音：瓜奈里四重奏的故事,https://www.kingstone.com.tw//basic/2019100172584?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,史坦哈特,青森文化  ,9789888664313,https://cdn.kingstone.com.tw/book/images/product/20191/2019100172584/2019100172584b.jpg
哥訪的不是音樂，是人生,https://www.kingstone.com.tw//basic/2019810013139?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,崔狄安,遊讀世界  ,9789869715959,https://cdn.kingstone.com.tw/book/images/product/20198/2019810013139/2019810013139b.jpg
歌謠交響：許石創作與採編歌謠曲譜集,https://www.kingstone.com.tw//basic/2019130160087?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,黃裕元、朱英韶,蔚藍文化  ,9789865504007,https://cdn.kingstone.com.tw/book/images/product/20191/2019130160087/2019130160087b.jpg
百年追想曲：歌謠大王許石與他的時代,https://www.kingstone.com.tw//basic/2019100168969?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,黃裕元、朱英韶,蔚藍文化  ,9789869809092,https://cdn.kingstone.com.tw/book/images/product/20191/2019100168969/2019100168969b.jpg
大師的刻意練習,https://www.kingstone.com.tw//basic/2019100168709?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,詹姆斯．法蘭西斯．庫克,紅桌文化  ,9789869597586,https://cdn.kingstone.com.tw/book/images/product/20191/2019100168709/2019100168709b.jpg
吻 THE KISS,https://www.kingstone.com.tw//basic/2019150017101?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,阿蘭．蒙坦東,華滋文化  ,9789867101846,https://cdn.kingstone.com.tw/book/images/product/20191/2019150017101/2019150017101b.jpg
經典100貝多芬（全新修訂版）,https://www.kingstone.com.tw//basic/2019100164251?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,許汝紘,華滋文化  ,9789867101938,https://cdn.kingstone.com.tw/book/images/product/20191/2019100164251/2019100164251b.jpg
終點往往在他方：傳奇音樂家布列茲與神經科學家的跨域對談，關於音樂、創作與美未曾停歇的追尋,https://www.kingstone.com.tw//basic/2019100164091?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,皮耶．布列茲等,臉譜文化  ,9789862357330,https://cdn.kingstone.com.tw/book/images/product/20191/2019100164091/2019100164091b.jpg
搖滾哲思,https://www.kingstone.com.tw//basic/2019100163889?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,吳馷締、敖采渝,致出版    ,9789869682756,https://cdn.kingstone.com.tw/book/images/product/20191/2019100163889/2019100163889b.jpg
最最遙遠的路程,https://www.kingstone.com.tw//basic/2018551832542?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,胡德夫,印刻      ,9789863872702,https://cdn.kingstone.com.tw/book/images/product/20185/2018551832542/2018551832542b.jpg
早安，巴哈先生：無伴奏大提琴組曲、卡薩爾斯，與我的音樂奇幻之旅,https://www.kingstone.com.tw//basic/2019160074125?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,艾瑞克．席伯林,早安財經  ,9789868319639,https://cdn.kingstone.com.tw/book/images/product/20191/2019160074125/2019160074125b.jpg
歌唱急診室：音樂創作人田正道老師寫給你的歌唱私房密技！專治歌唱疑難雜症獨家補方！,https://www.kingstone.com.tw//basic/2019000120791?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,田正道,布克文化  ,9789579699518,https://cdn.kingstone.com.tw/book/images/product/20190/2019000120791/2019000120791b.jpg
披頭四語小詞典 萬用豆知識7,https://www.kingstone.com.tw//basic/2019120013249?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,藤本國彥,楓書坊文化,9789863774310,https://cdn.kingstone.com.tw/book/images/product/20191/2019120013249/2019120013249b.jpg
用生命歌唱：留美聲樂家蘇麗文淬煉46年的音樂美學,https://www.kingstone.com.tw//basic/2019100160833?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,蘇麗文,時報文化  ,9789571375281,https://cdn.kingstone.com.tw/book/images/product/20191/2019100160833/2019100160833b.jpg
為時間終結而作：梅湘四重奏的故事,https://www.kingstone.com.tw//basic/2019120013089?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,瑞貝卡．莉欽,啟明      ,9789869653237,https://cdn.kingstone.com.tw/book/images/product/20191/2019120013089/2019120013089b.jpg
生來奔跑：「藍領搖滾教父」布魯斯‧史普林斯汀的生命故事,https://www.kingstone.com.tw//basic/2017850125973?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,布魯斯．史普林斯汀,新經典文化,9789869641456,https://cdn.kingstone.com.tw/book/images/product/20178/2017850125973/2017850125973b.jpg
林道生的音樂生命圖像,https://www.kingstone.com.tw//basic/2019100161625?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,姜慧珍,東台研究會,9789869064538,https://cdn.kingstone.com.tw/book/images/product/20191/2019100161625/2019100161625b.jpg
戰鬥吧！漫畫‧俄羅斯音樂物語,https://www.kingstone.com.tw//basic/2019100159684?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,留守key,有樂出版  ,9789869647700,https://cdn.kingstone.com.tw/book/images/product/20191/2019100159684/2019100159684b.jpg
你的心情，古典音樂大師懂！巴哈、莫札特、貝多芬、蕭邦、德布西……100首陪你度過關鍵時刻的鉅作,https://www.kingstone.com.tw//basic/2019100159394?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,費歐娜．梅鐸,聯經      ,9789570851168,https://cdn.kingstone.com.tw/book/images/product/20191/2019100159394/2019100159394b.jpg
歌后殿軍蔡幸娟,https://www.kingstone.com.tw//basic/2017820604248?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,潘國森,心一堂香港,9789888317370,https://cdn.kingstone.com.tw/book/images/product/20178/2017820604248/2017820604248b.jpg
琴曲名家故事,https://www.kingstone.com.tw//basic/2019100157710?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,盧文雅,五南      ,9789860538403,https://cdn.kingstone.com.tw/book/images/product/20191/2019100157710/2019100157710b.jpg
殺掉我爵士樂裡的貝多芬！：范德騰的藝饗天開,https://www.kingstone.com.tw//basic/2019100156928?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,范德騰（John Vaughan）,國立中正  ,9789860535013,https://cdn.kingstone.com.tw/book/images/product/20191/2019100156928/2019100156928b.jpg
我一生的貴人,https://www.kingstone.com.tw//basic/2019100157000?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,黃輔棠,大地出版社,9789864022762,https://cdn.kingstone.com.tw/book/images/product/20191/2019100157000/2019100157000b.jpg
力抗命運叩門聲的英雄：貝多芬書信選,https://www.kingstone.com.tw//basic/2019100156768?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,貝多芬,八旗文化  ,9789869556132,https://cdn.kingstone.com.tw/book/images/product/20191/2019100156768/2019100156768b.jpg
夢‧路‧潘迪華,https://www.kingstone.com.tw//basic/2019570112004?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,潘迪華,青森文化  ,9789888437481,https://cdn.kingstone.com.tw/book/images/product/20195/2019570112004/2019570112004b.jpg
古典音樂的不古典講堂：英國BBC型男主持人歡樂開講,https://www.kingstone.com.tw//basic/2019100155976?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,蓋瑞斯．馬隆,漫遊者    ,9789864891894,https://cdn.kingstone.com.tw/book/images/product/20191/2019100155976/2019100155976b.jpg
藝人．偽人？演藝界基督徒之路,https://www.kingstone.com.tw//basic/2019100155686?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,張崇德,升出版    ,9789881505804,https://cdn.kingstone.com.tw/book/images/product/20191/2019100155686/2019100155686b.jpg
所見皆靈思的純真天才：莫札特書信選,https://www.kingstone.com.tw//basic/2019100155136?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,莫札特,八旗文化  ,9789869457286,https://cdn.kingstone.com.tw/book/images/product/20191/2019100155136/2019100155136b.jpg
至高的音樂2：這首名曲超厲害！,https://www.kingstone.com.tw//basic/2019100153392?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,百田尚樹,有樂出版  ,9789869345224,https://cdn.kingstone.com.tw/book/images/product/20191/2019100153392/2019100153392b.jpg
白鳥之歌：以音符追求政治自由的20世紀偉大大提琴家卡薩爾斯,https://www.kingstone.com.tw//basic/2019100151718?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,卡恩,木馬文化  ,9789863593133,https://cdn.kingstone.com.tw/book/images/product/20191/2019100151718/2019100151718b.jpg
蘇顯達的魔法琴緣,https://www.kingstone.com.tw//basic/2019100151848?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,蘇顯達、胡芳芳、柯幸吟,大好文化  ,9789869383509,https://cdn.kingstone.com.tw/book/images/product/20191/2019100151848/2019100151848b.jpg
無詞 姚恒璐室內樂作品選（手稿版）─20世紀90年代的創作回顧,https://www.kingstone.com.tw//basic/2019130158466?zone=book&lid=book_class3_ohb&actid=book_class3_ohb,姚恒璐,漢世紀數位,9781625033291,https://cdn.kingstone.com.tw/book/images/product/20191/2019130158466/2019130158466b.jpg
