書名,書籍網站,作者,出版社,ISBN,圖片網址
現代和聲樂理影音教學（四）2019年版（附影音教學DVD）,https://www.kingstone.com.tw//basic/2019000122535?zone=book&lid=book_class3_ohe&actid=book_class3_ohe,廖季文,酷派      ,9789869724616,https://cdn.kingstone.com.tw/book/images/product/20190/2019000122535/2019000122535b.jpg
唱出好聲音：顛覆你的歌唱思維，讓歌聲自由【增訂版】,https://www.kingstone.com.tw//basic/2019130159128?zone=book&lid=book_class3_ohe&actid=book_class3_ohe,陳威宇,原水文化  ,9789869548687,https://cdn.kingstone.com.tw/book/images/product/20191/2019130159128/2019130159128b.jpg
現代和聲樂理影音教學（二）（第二版）,https://www.kingstone.com.tw//basic/2019100153712?zone=book&lid=book_class3_ohe&actid=book_class3_ohe,廖季文,酷派      ,9789869307062,https://cdn.kingstone.com.tw/book/images/product/20191/2019100153712/2019100153712b.jpg
崑曲唱演與劇論：《聆森崑曲論集》續編,https://www.kingstone.com.tw//basic/2019150014865?zone=book&lid=book_class3_ohe&actid=book_class3_ohe,顧聆森,國家      ,9789573614623,https://cdn.kingstone.com.tw/book/images/product/20191/2019150014865/2019150014865b.jpg
唱什麼都行（書+光碟）,https://www.kingstone.com.tw//basic/2019130153966?zone=book&lid=book_class3_ohe&actid=book_class3_ohe,劉琢瑜,新銳文創  ,9789866094491,https://cdn.kingstone.com.tw/book/images/product/20191/2019130153966/2019130153966b.jpg
崑曲歌唱的口傳與與書寫氣式,https://www.kingstone.com.tw//basic/2019150011949?zone=book&lid=book_class3_ohe&actid=book_class3_ohe,張雅婷,秀威資訊  ,9789867080721,https://cdn.kingstone.com.tw/book/images/product/20191/2019150011949/2019150011949b.jpg
女人皆如此,https://www.kingstone.com.tw//basic/2019150010287?zone=book&lid=book_class3_ohe&actid=book_class3_ohe,邢子青、車炎江、邱少頤,國立中正  ,9789860039733,https://cdn.kingstone.com.tw/book/images/product/20191/2019150010287/2019150010287b.jpg
指揮手冊,https://www.kingstone.com.tw//basic/2019110039037?zone=book&lid=book_class3_ohe&actid=book_class3_ohe,Leonard Athe,揚智文化  ,9789578184176,https://cdn.kingstone.com.tw/book/images/product/20191/2019110039037/2019110039037b.jpg
中外名曲（簡用套譜）專業用1,https://www.kingstone.com.tw//basic/2019130128315?zone=book&lid=book_class3_ohe&actid=book_class3_ohe,劉清祥,中央樂譜  ,9799579883213,https://cdn.kingstone.com.tw/book/images/product/20191/2019130128315/2019130128315b.jpg
鎏金舞台：你不可不知道的歌劇發展社會史,https://www.kingstone.com.tw//basic/2015400089386?zone=book&lid=book_class3_ohe&actid=book_class3_ohe,丹尼爾．斯諾曼,華滋文化  ,9789869354899,https://cdn.kingstone.com.tw/book/images/product/20154/2015400089386/2015400089386b.jpg
唱出好聲音：顛覆你的歌唱思維，讓歌聲自由,https://www.kingstone.com.tw//basic/2019130158176?zone=book&lid=book_class3_ohe&actid=book_class3_ohe,陳威宇,原水文化  ,9789869369213,https://cdn.kingstone.com.tw/book/images/product/20191/2019130158176/2019130158176b.jpg
普契尼《杜蘭朵》選曲和聲語法之研究,https://www.kingstone.com.tw//basic/2019130158046?zone=book&lid=book_class3_ohe&actid=book_class3_ohe,張曉雯,翰蘆圖書  ,9789869351782,https://cdn.kingstone.com.tw/book/images/product/20191/2019130158046/2019130158046b.jpg
你不可不知道的100部經典歌劇(2015),https://www.kingstone.com.tw//basic/2019150014605?zone=book&lid=book_class3_ohe&actid=book_class3_ohe,許麗雯,華滋文化  ,9789865767600,https://cdn.kingstone.com.tw/book/images/product/20191/2019150014605/2019150014605b.jpg
現代和聲樂理影音教學(一)(附一片DVD),https://www.kingstone.com.tw//basic/2019100122329?zone=book&lid=book_class3_ohe&actid=book_class3_ohe,廖季文,酷派      ,9789866611513,https://cdn.kingstone.com.tw/book/images/product/20191/2019100122329/2019100122329b.jpg
黑鬚馬偕：一部歌劇的誕生,https://www.kingstone.com.tw//basic/2029150010910?zone=book&lid=book_class3_ohe&actid=book_class3_ohe,符立中,國立中正  ,9789860158298,https://cdn.kingstone.com.tw/book/images/product/20291/2029150010910/2029150010910b.jpg
