書名,書籍網站,作者,出版社,ISBN,圖片網址
日語演歌曲譜（第一集）,https://www.kingstone.com.tw//basic/2019170165349?zone=book&lid=book_class3_ohg&actid=book_class3_ohg,陳培寬,宗易      ,4719865570936,https://cdn.kingstone.com.tw/book/images/product/20191/2019170165349/2019170165349b.jpg
日語演歌曲譜（第四集）,https://www.kingstone.com.tw//basic/2019170165509?zone=book&lid=book_class3_ohg&actid=book_class3_ohg,陳培寬,宗易      ,4719865571018,https://cdn.kingstone.com.tw/book/images/product/20191/2019170165509/2019170165509b.jpg
日語演歌曲譜（第三集）,https://www.kingstone.com.tw//basic/2019170154640?zone=book&lid=book_class3_ohg&actid=book_class3_ohg,許杭,宗易      ,4719865570035,https://cdn.kingstone.com.tw/book/images/product/20191/2019170154640/2019170154640b.jpg
日語演歌曲譜（第二集）,https://www.kingstone.com.tw//basic/2019170165479?zone=book&lid=book_class3_ohg&actid=book_class3_ohg,陳培寬,宗易      ,4719865570998,https://cdn.kingstone.com.tw/book/images/product/20191/2019170165479/2019170165479b.jpg
圖解重配和聲入門：基礎到進階，和弦進行50種重配技法,https://www.kingstone.com.tw//basic/2019110048312?zone=book&lid=book_class3_ohg&actid=book_class3_ohg,梅垣ルナ,易博士    ,9789864801077,https://cdn.kingstone.com.tw/book/images/product/20191/2019110048312/2019110048312b.jpg
世界古典名曲精華（簡譜版）（五線譜與簡譜對照）,https://www.kingstone.com.tw//basic/2019170187587?zone=book&lid=book_class3_ohg&actid=book_class3_ohg,劉清祥、劉彬榕,中央樂譜  ,9789868995239,https://cdn.kingstone.com.tw/book/images/product/20191/2019170187587/2019170187587b.jpg
流行‧經典‧情歌（五線譜增訂版）,https://www.kingstone.com.tw//basic/2019170176628?zone=book&lid=book_class3_ohg&actid=book_class3_ohg,劉清祥,中央樂譜  ,9789868995222,https://cdn.kingstone.com.tw/book/images/product/20191/2019170176628/2019170176628b.jpg
懷念名歌三百首,https://www.kingstone.com.tw//basic/2019130150880?zone=book&lid=book_class3_ohg&actid=book_class3_ohg,林婉君主編,文國書局  ,9789576009600,https://cdn.kingstone.com.tw/book/images/product/20191/2019130150880/2019130150880b.jpg
民謠與金曲,https://www.kingstone.com.tw//basic/2019130150910?zone=book&lid=book_class3_ohg&actid=book_class3_ohg,高山嵐主編,文國書局  ,9789576009617,https://cdn.kingstone.com.tw/book/images/product/20191/2019130150910/2019130150910b.jpg
懷念的國語歌曲,https://www.kingstone.com.tw//basic/2019130151702?zone=book&lid=book_class3_ohg&actid=book_class3_ohg,高山嵐,文國書局  ,9789576009594,https://cdn.kingstone.com.tw/book/images/product/20191/2019130151702/2019130151702b.jpg
懷念中日歌謠卡拉OK,https://www.kingstone.com.tw//basic/2019170192154?zone=book&lid=book_class3_ohg&actid=book_class3_ohg,劉清祥,中央樂譜  ,9789868995246,https://cdn.kingstone.com.tw/book/images/product/20191/2019170192154/2019170192154b.jpg
看簡譜學古典名曲,https://www.kingstone.com.tw//basic/2019100170870?zone=book&lid=book_class3_ohg&actid=book_class3_ohg,蟻稚勻,麥書      ,9789869835138,https://cdn.kingstone.com.tw/book/images/product/20191/2019100170870/2019100170870b.jpg
英語唐詩宋詞歌譜,https://www.kingstone.com.tw//basic/2019170191492?zone=book&lid=book_class3_ohg&actid=book_class3_ohg,居曉玉,漢世紀數位,9781625035196,https://cdn.kingstone.com.tw/book/images/product/20191/2019170191492/2019170191492b.jpg
英語唐詩宋詞歌譜（簡體中文版）,https://www.kingstone.com.tw//basic/2019170191522?zone=book&lid=book_class3_ohg&actid=book_class3_ohg,居曉玉,漢世紀數位,9781625035202,https://cdn.kingstone.com.tw/book/images/product/20191/2019170191522/2019170191522b.jpg
打開歌唱的百寶盒：進階之歌唱密碼,https://www.kingstone.com.tw//basic/2019100159134?zone=book&lid=book_class3_ohg&actid=book_class3_ohg,簡英郎,漢世紀數位,9781625034335,https://cdn.kingstone.com.tw/book/images/product/20191/2019100159134/2019100159134b.jpg
精品日語演歌（第四集）－－歡唱卡拉OK學日語,https://www.kingstone.com.tw//basic/2019000109925?zone=book&lid=book_class3_ohg&actid=book_class3_ohg,韓茂昌  翻譯註解、許雅睛,宗易      ,4719865571070,https://cdn.kingstone.com.tw/book/images/product/20190/2019000109925/2019000109925b.jpg
台灣流行歌日治時代誌,https://www.kingstone.com.tw//basic/2019130157124?zone=book&lid=book_class3_ohg&actid=book_class3_ohg,林良哲,白象      ,9789863581437,https://cdn.kingstone.com.tw/book/images/product/20191/2019130157124/2019130157124b.jpg
合唱世界歌謠曲,https://www.kingstone.com.tw//basic/2019100139310?zone=book&lid=book_class3_ohg&actid=book_class3_ohg,劉清祥,中央樂譜  ,9789868995215,https://cdn.kingstone.com.tw/book/images/product/20191/2019100139310/2019100139310b.jpg
流行‧經典‧情歌（簡譜版）,https://www.kingstone.com.tw//basic/2019100134520?zone=book&lid=book_class3_ohg&actid=book_class3_ohg,劉清祥,中央樂譜  ,9789868995208,https://cdn.kingstone.com.tw/book/images/product/20191/2019100134520/2019100134520b.jpg
秀珠老師上課了！天王天后都是這樣教出來的,https://www.kingstone.com.tw//basic/2019130155380?zone=book&lid=book_class3_ohg&actid=book_class3_ohg,陳秀珠,大大創意  ,9789868866645,https://cdn.kingstone.com.tw/book/images/product/20191/2019130155380/2019130155380b.jpg
歌唱聖經 2,https://www.kingstone.com.tw//basic/2029170167786?zone=book&lid=book_class3_ohg&actid=book_class3_ohg,陳秀珠,卓著      ,4712771021745,https://cdn.kingstone.com.tw/book/images/product/20291/2029170167786/2029170167786b.jpg
日語演歌卡拉OK（第十一集）,https://www.kingstone.com.tw//basic/2019130155250?zone=book&lid=book_class3_ohg&actid=book_class3_ohg,陳培寬,宗易      ,4719865571049,https://cdn.kingstone.com.tw/book/images/product/20191/2019130155250/2019130155250b.jpg
歡唱日語（平成）歌謠卡拉OK（第4集）,https://www.kingstone.com.tw//basic/2019100130522?zone=book&lid=book_class3_ohg&actid=book_class3_ohg,劉清祥,中央樂譜  ,9789572951392,https://cdn.kingstone.com.tw/book/images/product/20191/2019100130522/2019100130522b.jpg
毒舌教練的台灣流行音樂講座,https://www.kingstone.com.tw//basic/2019100118964?zone=book&lid=book_class3_ohg&actid=book_class3_ohg,馬任重,左岸文化  ,9789866723551,https://cdn.kingstone.com.tw/book/images/product/20191/2019100118964/2019100118964b.jpg
歡唱日語（平成）歌謠卡拉OK（第3集）,https://www.kingstone.com.tw//basic/2019100118254?zone=book&lid=book_class3_ohg&actid=book_class3_ohg,劉清祥,中央樂譜  ,9789572951385,https://cdn.kingstone.com.tw/book/images/product/20191/2019100118254/2019100118254b.jpg
經典演歌賞析,https://www.kingstone.com.tw//basic/2019100118094?zone=book&lid=book_class3_ohg&actid=book_class3_ohg,鄒永仁,宗易      ,4719865570011,https://cdn.kingstone.com.tw/book/images/product/20191/2019100118094/2019100118094b.jpg
歡唱日（台）語歌謠卡拉OK（第2集）,https://www.kingstone.com.tw//basic/2019130152914?zone=book&lid=book_class3_ohg&actid=book_class3_ohg,劉清祥,中央樂譜  ,9789572951378,https://cdn.kingstone.com.tw/book/images/product/20191/2019130152914/2019130152914b.jpg
