書名,書籍網站,作者,出版社,ISBN,圖片網址
V.K克鋼琴曲集 （初階） Vol. 1,https://www.kingstone.com.tw//basic/2019100179538?zone=book&lid=book_class3_ohi&actid=book_class3_ohi,V.K克,小巨人音樂,9789869043472,https://cdn.kingstone.com.tw/book/images/product/20191/2019100179538/2019100179538b.jpg
V.K克精選鋼琴譜集 （中階）,https://www.kingstone.com.tw//basic/2019170177120?zone=book&lid=book_class3_ohi&actid=book_class3_ohi,V.K克,小巨人音樂,9789869043441,https://cdn.kingstone.com.tw/book/images/product/20191/2019170177120/2019170177120b.jpg
校園民歌精選 1,https://www.kingstone.com.tw//basic/2019170146737?zone=book&lid=book_class3_ohi&actid=book_class3_ohi,李建楨,卓著      ,4712771020939,https://cdn.kingstone.com.tw/book/images/product/20191/2019170146737/2019170146737b.jpg
爵士鋼琴入門必修超詳細影音教學套書（一）~（四）（4本書 + 4片DVD）,https://www.kingstone.com.tw//basic/2019100179248?zone=book&lid=book_class3_ohi&actid=book_class3_ohi,烏野薰(Uno),酷派      ,4712954580229,https://cdn.kingstone.com.tw/book/images/product/20191/2019100179248/2019100179248b.jpg
流行豆芽譜98.,https://www.kingstone.com.tw//basic/2019100182071?zone=book&lid=book_class3_ohi&actid=book_class3_ohi,姚逸軒,卓著      ,9789860639438,https://cdn.kingstone.com.tw/book/images/product/20191/2019100182071/2019100182071b.jpg
鋼琴動畫館2（日本動漫）,https://www.kingstone.com.tw//basic/2019100177084?zone=book&lid=book_class3_ohi&actid=book_class3_ohi,麥書文化,麥書      ,9789869962902,https://cdn.kingstone.com.tw/book/images/product/20191/2019100177084/2019100177084b.jpg
V.K克  光 無盡墜落的美麗 鋼琴譜集（書+伴奏CD）,https://www.kingstone.com.tw//basic/2019170191782?zone=book&lid=book_class3_ohi&actid=book_class3_ohi,V.K克,小巨人音樂,9789869043465,https://cdn.kingstone.com.tw/book/images/product/20191/2019170191782/2019170191782b.jpg
流行豆芽譜精選17  2017－2018,https://www.kingstone.com.tw//basic/2019100167467?zone=book&lid=book_class3_ohi&actid=book_class3_ohi,謝宛玲,卓著      ,4712771023053,https://cdn.kingstone.com.tw/book/images/product/20191/2019100167467/2019100167467b.jpg
Hit102 中文流行鋼琴百大首選,https://www.kingstone.com.tw//basic/2019100167337?zone=book&lid=book_class3_ohi&actid=book_class3_ohi,邱哲豐,麥書      ,9789869758246,https://cdn.kingstone.com.tw/book/images/product/20191/2019100167337/2019100167337b.jpg
手提電子琴彈唱教材,https://www.kingstone.com.tw//basic/2019170179674?zone=book&lid=book_class3_ohi&actid=book_class3_ohi,賴薇伊,卓著      ,9789869149822,https://cdn.kingstone.com.tw/book/images/product/20191/2019170179674/2019170179674b.jpg
流行鋼琴自學秘笈（附DVD）五版,https://www.kingstone.com.tw//basic/2019170179254?zone=book&lid=book_class3_ohi&actid=book_class3_ohi,招敏慧,麥書      ,9789865952532,https://cdn.kingstone.com.tw/book/images/product/20191/2019170179254/2019170179254b.jpg
不能說的秘密﹝電影創作琴譜﹞,https://www.kingstone.com.tw//basic/2019170136790?zone=book&lid=book_class3_ohi&actid=book_class3_ohi,周杰倫,華人版圖  ,9789868219465,https://cdn.kingstone.com.tw/book/images/product/20191/2019170136790/2019170136790b.jpg
凱文柯恩琴譜精選2.,https://www.kingstone.com.tw//basic/2019170129389?zone=book&lid=book_class3_ohi&actid=book_class3_ohi,卓著      ,"

立即結帳
",4714871098825,https://cdn.kingstone.com.tw/book/images/product/20191/2019170129389/2019170129389b.jpg
凱文柯恩琴譜精選1.,https://www.kingstone.com.tw//basic/2019170127675?zone=book&lid=book_class3_ohi&actid=book_class3_ohi,卓著      ,"

立即結帳
",4714871098818,https://cdn.kingstone.com.tw/book/images/product/20191/2019170127675/2019170127675b.jpg
爵士鋼琴入門必修超詳細影音教學（一）（三版/ 附一片DVD）,https://www.kingstone.com.tw//basic/2019100179118?zone=book&lid=book_class3_ohi&actid=book_class3_ohi,烏野薰(Uno),酷派      ,9789869724692,https://cdn.kingstone.com.tw/book/images/product/20191/2019100179118/2019100179118b.jpg
流行豆芽譜精選19.  2019－2020,https://www.kingstone.com.tw//basic/2019100178166?zone=book&lid=book_class3_ohi&actid=book_class3_ohi,姚逸軒,卓著      ,9789869977753,https://cdn.kingstone.com.tw/book/images/product/20191/2019100178166/2019100178166b.jpg
流行豆芽譜97.,https://www.kingstone.com.tw//basic/2019100178296?zone=book&lid=book_class3_ohi&actid=book_class3_ohi,姚逸軒,卓著      ,9789869977746,https://cdn.kingstone.com.tw/book/images/product/20191/2019100178296/2019100178296b.jpg
i Touch 就是愛彈琴 85.,https://www.kingstone.com.tw//basic/2019100178456?zone=book&lid=book_class3_ohi&actid=book_class3_ohi,麥書文化,麥書      ,4714871060853,https://cdn.kingstone.com.tw/book/images/product/20191/2019100178456/2019100178456b.jpg
