書名,書籍網站,作者,出版社,ISBN,圖片網址
鑼鼓節奏遊戲,https://www.kingstone.com.tw//basic/2019100181739?zone=book&lid=book_class3_ohz&actid=book_class3_ohz,邱垂堂,新式樣智權,9789869836807,https://cdn.kingstone.com.tw/book/images/product/20191/2019100181739/2019100181739b.jpg
木箱鼓完全入門24課,https://www.kingstone.com.tw//basic/2019100164961?zone=book&lid=book_class3_ohz&actid=book_class3_ohz,吳岱育,麥書      ,9789869758208,https://cdn.kingstone.com.tw/book/images/product/20191/2019100164961/2019100164961b.jpg
魔法非洲鼓手3：鼓曲篇,https://www.kingstone.com.tw//basic/2019100181289?zone=book&lid=book_class3_ohz&actid=book_class3_ohz,趙偉竣,大鴻      ,9789860632217,https://cdn.kingstone.com.tw/book/images/product/20191/2019100181289/2019100181289b.jpg
金貝小鼓手 大樹篇（三）,https://www.kingstone.com.tw//basic/2019100174618?zone=book&lid=book_class3_ohz&actid=book_class3_ohz,趙偉竣,大鴻      ,9789869857413,https://cdn.kingstone.com.tw/book/images/product/20191/2019100174618/2019100174618b.jpg
實戰爵士鼓（六版）,https://www.kingstone.com.tw//basic/2019100167047?zone=book&lid=book_class3_ohz&actid=book_class3_ohz,丁麟,麥書      ,9789869758260,https://cdn.kingstone.com.tw/book/images/product/20191/2019100167047/2019100167047b.jpg
魔法非洲鼓手2：鼓曲篇,https://www.kingstone.com.tw//basic/2019100166705?zone=book&lid=book_class3_ohz&actid=book_class3_ohz,趙偉竣,大鴻      ,9789869060172,https://cdn.kingstone.com.tw/book/images/product/20191/2019100166705/2019100166705b.jpg
金貝小鼓手 小樹篇（二）,https://www.kingstone.com.tw//basic/2019000114882?zone=book&lid=book_class3_ohz&actid=book_class3_ohz,趙偉竣,大鴻      ,9789869060165,https://cdn.kingstone.com.tw/book/images/product/20190/2019000114882/2019000114882b.jpg
ANDERSEN給長笛的二十四首大練習曲，作品第15號,https://www.kingstone.com.tw//basic/2019000113700?zone=book&lid=book_class3_ohz&actid=book_class3_ohz,黃善聖、許珮娟編輯,原笙國際  ,9789869610742,https://cdn.kingstone.com.tw/book/images/product/20190/2019000113700/2019000113700b.jpg
金貝小鼓手幼苗篇（一）,https://www.kingstone.com.tw//basic/2019100158762?zone=book&lid=book_class3_ohz&actid=book_class3_ohz,趙偉竣,大鴻      ,9789869060158,https://cdn.kingstone.com.tw/book/images/product/20191/2019100158762/2019100158762b.jpg
好時光（附伴奏Kala）,https://www.kingstone.com.tw//basic/2019110047070?zone=book&lid=book_class3_ohz&actid=book_class3_ohz,游學志,陶笛阿志  ,9789869018425,https://cdn.kingstone.com.tw/book/images/product/20191/2019110047070/2019110047070b.jpg
鼓動生命,https://www.kingstone.com.tw//basic/2019170186825?zone=book&lid=book_class3_ohz&actid=book_class3_ohz,戴伴興,大鴻      ,4585236000117,https://cdn.kingstone.com.tw/book/images/product/20191/2019170186825/2019170186825b.jpg
魔法非洲鼓手：新手篇1.（附CD）,https://www.kingstone.com.tw//basic/2019100148855?zone=book&lid=book_class3_ohz&actid=book_class3_ohz,趙偉竣,大鴻      ,9789869060134,https://cdn.kingstone.com.tw/book/images/product/20191/2019100148855/2019100148855b.jpg
流行爵士和聲學（二）（附1CD）,https://www.kingstone.com.tw//basic/2019160071599?zone=book&lid=book_class3_ohz&actid=book_class3_ohz,廖季文,酷派      ,9789869173254,https://cdn.kingstone.com.tw/book/images/product/20191/2019160071599/2019160071599b.jpg
爵士鼓的系統學習（二）中文第三版（附DVD）,https://www.kingstone.com.tw//basic/2019110045526?zone=book&lid=book_class3_ohz&actid=book_class3_ohz,藤井俊充,酷派      ,9789866611827,https://cdn.kingstone.com.tw/book/images/product/20191/2019110045526/2019110045526b.jpg
民歌40（附3CD）：再唱一段思想起,https://www.kingstone.com.tw//basic/2019130157094?zone=book&lid=book_class3_ohz&actid=book_class3_ohz,中華音樂人交流協會(企劃),大塊      ,9789862136027,https://cdn.kingstone.com.tw/book/images/product/20191/2019130157094/2019130157094b.jpg
爵士鼓的系統學習.2（附CD）,https://www.kingstone.com.tw//basic/2019190002976?zone=book&lid=book_class3_ohz&actid=book_class3_ohz,酷派      ,"

立即結帳
",9789572867143,https://cdn.kingstone.com.tw/book/images/product/20191/2019190002976/2019190002976b.jpg
SAX吹奏法,https://www.kingstone.com.tw//basic/2019000114332?zone=book&lid=book_class3_ohz&actid=book_class3_ohz,高無存,大鴻      ,9789579655200,https://cdn.kingstone.com.tw/book/images/product/20190/2019000114332/2019000114332b.jpg
爵士鼓的系統學習I附DVD,https://www.kingstone.com.tw//basic/2019190002846?zone=book&lid=book_class3_ohz&actid=book_class3_ohz,藤井俊充,酷派      ,9789572867112,https://cdn.kingstone.com.tw/book/images/product/20191/2019190002846/2019190002846b.jpg
台語歌曲專輯23,https://www.kingstone.com.tw//basic/2019130141635?zone=book&lid=book_class3_ohz&actid=book_class3_ohz,林志建,宗易      ,4719865570417,https://cdn.kingstone.com.tw/book/images/product/20191/2019130141635/2019130141635b.jpg
兒童歌謠專輯,https://www.kingstone.com.tw//basic/2019130140003?zone=book&lid=book_class3_ohz&actid=book_class3_ohz,林金池,宗易      ,4719865570325,https://cdn.kingstone.com.tw/book/images/product/20191/2019130140003/2019130140003b.jpg
囝仔歌,https://www.kingstone.com.tw//basic/2019130133142?zone=book&lid=book_class3_ohz&actid=book_class3_ohz,康原、施福珍、王美蓉,晨星      ,9789575838645,https://cdn.kingstone.com.tw/book/images/product/20191/2019130133142/2019130133142b.jpg
口琴吹奏技法,https://www.kingstone.com.tw//basic/2019180001996?zone=book&lid=book_class3_ohz&actid=book_class3_ohz,大坤書局  ,"

立即結帳
",9789575381134,https://cdn.kingstone.com.tw/book/images/product/20191/2019180001996/2019180001996b.jpg
台灣民謠–合唱精華,https://www.kingstone.com.tw//basic/2019130082334?zone=book&lid=book_class3_ohz&actid=book_class3_ohz,李奎然,中央樂譜  ,9789572951316,https://cdn.kingstone.com.tw/book/images/product/20191/2019130082334/2019130082334b.jpg
台語歌謠鋼琴演奏曲集,https://www.kingstone.com.tw//basic/2019100175530?zone=book&lid=book_class3_ohz&actid=book_class3_ohz,陳亮吟,麥書      ,9789869835176,https://cdn.kingstone.com.tw/book/images/product/20191/2019100175530/2019100175530b.jpg
爵士鼓完全入門24課,https://www.kingstone.com.tw//basic/2019170189291?zone=book&lid=book_class3_ohz&actid=book_class3_ohz,方翊瑋,麥書      ,9789865952815,https://cdn.kingstone.com.tw/book/images/product/20191/2019170189291/2019170189291b.jpg
爵士鼓快速入門超詳細影音教學 第二版（附DVD光碟）,https://www.kingstone.com.tw//basic/2019170186375?zone=book&lid=book_class3_ohz&actid=book_class3_ohz,戴文．柯林斯,酷派      ,9789869485302,https://cdn.kingstone.com.tw/book/images/product/20191/2019170186375/2019170186375b.jpg
如何演奏爵士鼓：藤井俊充爵士鼓的系統教學套書(４書+４DVD ),https://www.kingstone.com.tw//basic/2019100138498?zone=book&lid=book_class3_ohz&actid=book_class3_ohz,藤井俊充,酷派      ,4712070149041,https://cdn.kingstone.com.tw/book/images/product/20191/2019100138498/2019100138498b.jpg
爵士鼓的系統學習(一)2014中文第三版(附DVD),https://www.kingstone.com.tw//basic/2019170170176?zone=book&lid=book_class3_ohz&actid=book_class3_ohz,藤井俊充,酷派      ,9789866611872,https://cdn.kingstone.com.tw/book/images/product/20191/2019170170176/2019170170176b.jpg
實戰爵士鼓(附1CD)(五版),https://www.kingstone.com.tw//basic/2019100117752?zone=book&lid=book_class3_ohz&actid=book_class3_ohz,丁麟,麥書      ,9789866787744,https://cdn.kingstone.com.tw/book/images/product/20191/2019100117752/2019100117752b.jpg
詠唱織音：流行民歌男女混聲合唱曲集,https://www.kingstone.com.tw//basic/2019170152356?zone=book&lid=book_class3_ohz&actid=book_class3_ohz,劉釗,麥書      ,9789866787683,https://cdn.kingstone.com.tw/book/images/product/20191/2019170152356/2019170152356b.jpg
爵士鼓的系統學習（三）2010中文第二版（附DVD教學片）,https://www.kingstone.com.tw//basic/2019100115178?zone=book&lid=book_class3_ohz&actid=book_class3_ohz,藤井俊充,酷派      ,9789866611254,https://cdn.kingstone.com.tw/book/images/product/20191/2019100115178/2019100115178b.jpg
套鼓自由式,https://www.kingstone.com.tw//basic/2019190003898?zone=book&lid=book_class3_ohz&actid=book_class3_ohz,丘曉俊,立誼      ,9789867241849,https://cdn.kingstone.com.tw/book/images/product/20191/2019190003898/2019190003898b.jpg
爵士鼓的系統學習(一)2010中文第二版(附DVD),https://www.kingstone.com.tw//basic/2019110043942?zone=book&lid=book_class3_ohz&actid=book_class3_ohz,藤井俊充,酷派      ,9789866611230,https://cdn.kingstone.com.tw/book/images/product/20191/2019110043942/2019110043942b.jpg
爵士鼓的系統學習(二)2010中文第二版(附DVD),https://www.kingstone.com.tw//basic/2019110044024?zone=book&lid=book_class3_ohz&actid=book_class3_ohz,藤井俊充,酷派      ,9789866611247,https://cdn.kingstone.com.tw/book/images/product/20191/2019110044024/2019110044024b.jpg
忘川之水+陶笛高手(2書+1CD),https://www.kingstone.com.tw//basic/2029100109602?zone=book&lid=book_class3_ohz&actid=book_class3_ohz,劉永泰,燊泰      ,9789868472709,https://cdn.kingstone.com.tw/book/images/product/20291/2029100109602/2029100109602b.jpg
直笛流行名曲(2),https://www.kingstone.com.tw//basic/2019180014309?zone=book&lid=book_class3_ohz&actid=book_class3_ohz,黃界錫,立誼      ,9789867241429,https://cdn.kingstone.com.tw/book/images/product/20191/2019180014309/2019180014309b.jpg
實戰爵士鼓(附1CD),https://www.kingstone.com.tw//basic/2019100104219?zone=book&lid=book_class3_ohz&actid=book_class3_ohz,丁麟,麥書      ,9789866787041,https://cdn.kingstone.com.tw/book/images/product/20191/2019100104219/2019100104219b.jpg
快樂的六孔C調陶笛教本,https://www.kingstone.com.tw//basic/2019180014019?zone=book&lid=book_class3_ohz&actid=book_class3_ohz,賴富美,立誼      ,9789867241252,https://cdn.kingstone.com.tw/book/images/product/20191/2019180014019/2019180014019b.jpg
陶笛高手,https://www.kingstone.com.tw//basic/2019180014149?zone=book&lid=book_class3_ohz&actid=book_class3_ohz,張輝道,立誼      ,9789867241245,https://cdn.kingstone.com.tw/book/images/product/20191/2019180014149/2019180014149b.jpg
黃河大合唱─室樂伴奏合唱版本,https://www.kingstone.com.tw//basic/2029120008695?zone=book&lid=book_class3_ohz&actid=book_class3_ohz,冼星海,中文大學  ,9789629962692,https://cdn.kingstone.com.tw/book/images/product/20291/2029120008695/2029120008695b.jpg
馬勒第一號交響曲《巨人》昂然挺立在世界末,https://www.kingstone.com.tw//basic/2019120008412?zone=book&lid=book_class3_ohz&actid=book_class3_ohz,劉岠渭,音樂時代  ,9789868137424,https://cdn.kingstone.com.tw/book/images/product/20191/2019120008412/2019120008412b.jpg
舒伯特已完成的《未完成》交響曲,https://www.kingstone.com.tw//basic/2019120008382?zone=book&lid=book_class3_ohz&actid=book_class3_ohz,劉岠渭,音樂時代  ,9789868137417,https://cdn.kingstone.com.tw/book/images/product/20191/2019120008382/2019120008382b.jpg
