書名,書籍網站,作者,出版社,ISBN,圖片網址
劇作家  坂元裕二,https://www.kingstone.com.tw//basic/2019000133524?zone=book&lid=book_class3_oib&actid=book_class3_oib,坂元裕二,光生出版  ,9789869892407,https://cdn.kingstone.com.tw/book/images/product/20190/2019000133524/2019000133524b.jpg
喜劇攻略：現場喜劇教父的脫口秀心法,https://www.kingstone.com.tw//basic/2019800025302?zone=book&lid=book_class3_oib&actid=book_class3_oib,張碩修 Social,時報文化  ,9789571389448,https://cdn.kingstone.com.tw/book/images/product/20198/2019800025302/2019800025302b.jpg
《牡丹亭》往今情話.溫宇航五十,https://www.kingstone.com.tw//basic/2019820062660?zone=book&lid=book_class3_oib&actid=book_class3_oib,溫宇航,時報文化  ,9789571390673,https://cdn.kingstone.com.tw/book/images/product/20198/2019820062660/2019820062660b.jpg
即興：全球暢銷40年！即興劇之父給你的表演經典門道，以及面對世界的應變力,https://www.kingstone.com.tw//basic/2019800025432?zone=book&lid=book_class3_oib&actid=book_class3_oib,凱斯．強史東,原點      ,9789860663426,https://cdn.kingstone.com.tw/book/images/product/20198/2019800025432/2019800025432b.jpg
足in.動與感之境遇：稻草人現代舞蹈團特定空間舞蹈創作演出,https://www.kingstone.com.tw//basic/2019800025142?zone=book&lid=book_class3_oib&actid=book_class3_oib,古羅文君,稻草人現代,9789869851800,https://cdn.kingstone.com.tw/book/images/product/20198/2019800025142/2019800025142b.jpg
為樂而生：馬利斯．楊頌斯  獨家傳記,https://www.kingstone.com.tw//basic/2019100178036?zone=book&lid=book_class3_oib&actid=book_class3_oib,馬庫斯．提爾,有樂出版  ,9789869647762,https://cdn.kingstone.com.tw/book/images/product/20191/2019100178036/2019100178036b.jpg
雪潤群芳：周雪雯傳藝錄,https://www.kingstone.com.tw//basic/2017830167979?zone=book&lid=book_class3_oib&actid=book_class3_oib,周雪雯,時報文化  ,9789571385044,https://cdn.kingstone.com.tw/book/images/product/20178/2017830167979/2017830167979b.jpg
嗨！有趣的故事：常香玉,https://www.kingstone.com.tw//basic/2019820062110?zone=book&lid=book_class3_oib&actid=book_class3_oib,湯素蘭,風格司    ,9789578697706,https://cdn.kingstone.com.tw/book/images/product/20198/2019820062110/2019820062110b.jpg
變身：民眾、戲劇與亞洲連帶,https://www.kingstone.com.tw//basic/2018630133027?zone=book&lid=book_class3_oib&actid=book_class3_oib,鍾喬,遠景      ,9789573910954,https://cdn.kingstone.com.tw/book/images/product/20186/2018630133027/2018630133027b.jpg
楊麗花的忠孝節義,https://www.kingstone.com.tw//basic/2019830008368?zone=book&lid=book_class3_oib&actid=book_class3_oib,楊麗花,聯經      ,9789570853872,https://cdn.kingstone.com.tw/book/images/product/20198/2019830008368/2019830008368b.jpg
蕭邦的鋼琴與他的前奏曲,https://www.kingstone.com.tw//basic/2019170191652?zone=book&lid=book_class3_oib&actid=book_class3_oib,保羅．齊迪亞,商周出版  ,9789864777129,https://cdn.kingstone.com.tw/book/images/product/20191/2019170191652/2019170191652b.jpg
人生的身段：堅毅慈心唐美雲,https://www.kingstone.com.tw//basic/2019830008078?zone=book&lid=book_class3_oib&actid=book_class3_oib,唐美雲,圓神      ,9789861336923,https://cdn.kingstone.com.tw/book/images/product/20198/2019830008078/2019830008078b.jpg
我在英國國家劇院的日子：傳奇總監的12年職涯紀實，看他如何運用「平衡的技藝」，讓戲劇重回大眾生活,https://www.kingstone.com.tw//basic/2019810012637?zone=book&lid=book_class3_oib&actid=book_class3_oib,尼古拉斯．海特納,臉譜文化  ,9789862357545,https://cdn.kingstone.com.tw/book/images/product/20198/2019810012637/2019810012637b.jpg
