書名,書籍網站,作者,出版社,ISBN,圖片網址
自由新鎮1.5舞台劇劇本書：戀愛之神與祂的背叛者們,https://www.kingstone.com.tw//basic/2018630261355?zone=book&lid=book_class3_oic&actid=book_class3_oic,林孟寰,台灣東販  ,9789865116248,https://cdn.kingstone.com.tw/book/images/product/20186/2018630261355/2018630261355b.jpg
45個人格原型：從神話模型到心理分析，幫助你了解人性，並打造獨一無二的角色與故事,https://www.kingstone.com.tw//basic/2018110089547?zone=book&lid=book_class3_oic&actid=book_class3_oic,維多利亞．琳恩．施密特,漫遊者    ,9789864894000,https://cdn.kingstone.com.tw/book/images/product/20181/2018110089547/2018110089547b.jpg
一把青創作劇本套書,https://www.kingstone.com.tw//basic/2019800020352?zone=book&lid=book_class3_oic&actid=book_class3_oic,黃世鳴,水靈文創  ,9789869316743,https://cdn.kingstone.com.tw/book/images/product/20198/2019800020352/2019800020352b.jpg
演劇入門,https://www.kingstone.com.tw//basic/2019800019073?zone=book&lid=book_class3_oic&actid=book_class3_oic,平田織佐,書林      ,9789574456529,https://cdn.kingstone.com.tw/book/images/product/20198/2019800019073/2019800019073b.jpg
表演必修課：穿梭於角色與演員之間的探索,https://www.kingstone.com.tw//basic/2019810007930?zone=book&lid=book_class3_oic&actid=book_class3_oic,姚坤君,書林      ,9789574456482,https://cdn.kingstone.com.tw/book/images/product/20198/2019810007930/2019810007930b.jpg
故事寫作大師班套書二冊： 《故事寫作大師班》、《浪漫喜劇寫作大師班》,https://www.kingstone.com.tw//basic/2019800025272?zone=book&lid=book_class3_oic&actid=book_class3_oic,約翰．特魯比,漫遊者    ,2715202200315,https://cdn.kingstone.com.tw/book/images/product/20198/2019800025272/2019800025272b.jpg
劇場設計：基礎舞台、服裝、燈光設計實務入門,https://www.kingstone.com.tw//basic/2019810014051?zone=book&lid=book_class3_oic&actid=book_class3_oic,凱倫．布魯斯特爾,揚智文化  ,9789862983614,https://cdn.kingstone.com.tw/book/images/product/20198/2019810014051/2019810014051b.jpg
超實用對白寫作攻略：你的角色不能廢話連篇！好萊塢頂尖編劇顧問的12堂大師寫作課,https://www.kingstone.com.tw//basic/2018120190165?zone=book&lid=book_class3_oic&actid=book_class3_oic,琳達．席格、約翰．瑞尼,創意市集  ,9789865534288,https://cdn.kingstone.com.tw/book/images/product/20181/2018120190165/2018120190165b.jpg
教你如何寫出遊戲劇本（第二版）：從基礎學習角色、架構、文章的創作秘訣,https://www.kingstone.com.tw//basic/2019970395304?zone=book&lid=book_class3_oic&actid=book_class3_oic,佐佐木智廣,尖端      ,9789571091457,https://cdn.kingstone.com.tw/book/images/product/20199/2019970395304/2019970395304b.jpg
淡入：影視劇本格式與寫作,https://www.kingstone.com.tw//basic/2019800024510?zone=book&lid=book_class3_oic&actid=book_class3_oic,王瑋,水靈文創  ,9789869945929,https://cdn.kingstone.com.tw/book/images/product/20198/2019800024510/2019800024510b.jpg
戲劇導演：分析、溝通與風格,https://www.kingstone.com.tw//basic/2019810013559?zone=book&lid=book_class3_oic&actid=book_class3_oic,法蘭西斯．霍吉,揚智文化  ,9789862983522,https://cdn.kingstone.com.tw/book/images/product/20198/2019810013559/2019810013559b.jpg
我的第一本影片調色剪輯書DaVinci Resolve：原來Color Grading這麼簡單,https://www.kingstone.com.tw//basic/2019520081060?zone=book&lid=book_class3_oic&actid=book_class3_oic,飯田雄平、鎌田啟生、林和哉,尖端      ,9789571088419,https://cdn.kingstone.com.tw/book/images/product/20195/2019520081060/2019520081060b.jpg
劇場經營管理,https://www.kingstone.com.tw//basic/2019810012057?zone=book&lid=book_class3_oic&actid=book_class3_oic,周一彤,揚智文化  ,9789862983027,https://cdn.kingstone.com.tw/book/images/product/20198/2019810012057/2019810012057b.jpg
週末熱炒店的編劇課：零經驗也學得會！前所未見的小說式編劇教學書,https://www.kingstone.com.tw//basic/2018120185048?zone=book&lid=book_class3_oic&actid=book_class3_oic,東默農,如何      ,9789861365237,https://cdn.kingstone.com.tw/book/images/product/20181/2018120185048/2018120185048b.jpg
