書名,書籍網站,作者,出版社,ISBN,圖片網址
寂寞寂寞不好：馮勃棣劇本集,https://www.kingstone.com.tw//basic/2018630152929?zone=book&lid=book_class3_oie&actid=book_class3_oie,馮勃棣,允晨文化  ,9789869868600,https://cdn.kingstone.com.tw/book/images/product/20186/2018630152929/2018630152929b.jpg
麗晶卡拉OK的最後一夜,https://www.kingstone.com.tw//basic/2018630205311?zone=book&lid=book_class3_oie&actid=book_class3_oie,詹傑,時報文化  ,9789571383415,https://cdn.kingstone.com.tw/book/images/product/20186/2018630205311/2018630205311b.jpg
阮劇團2017劇本農場劇作選V,https://www.kingstone.com.tw//basic/2018630147192?zone=book&lid=book_class3_oie&actid=book_class3_oie,陳緯恩、蔡逸璇、黃煚哲,遠景      ,9789573910923,https://cdn.kingstone.com.tw/book/images/product/20186/2018630147192/2018630147192b.jpg
人間條件6：未來的主人翁 （附完整版DVD）,https://www.kingstone.com.tw//basic/2018540034582?zone=book&lid=book_class3_oie&actid=book_class3_oie,吳念真、綠光劇團,圓神      ,9789861336848,https://cdn.kingstone.com.tw/book/images/product/20185/2018540034582/2018540034582b.jpg
阮劇團2016劇本農場劇作選IV,https://www.kingstone.com.tw//basic/2018540034292?zone=book&lid=book_class3_oie&actid=book_class3_oie,林俐馨、白樂惟、汪兆謙,遠景      ,9789573910732,https://cdn.kingstone.com.tw/book/images/product/20185/2018540034292/2018540034292b.jpg
青春悲懷：台灣愛滋戰場紀實戲劇,https://www.kingstone.com.tw//basic/2018540033660?zone=book&lid=book_class3_oie&actid=book_class3_oie,汪其楣,文訊      ,9789866102356,https://cdn.kingstone.com.tw/book/images/product/20185/2018540033660/2018540033660b.jpg
櫻桃園,https://www.kingstone.com.tw//basic/2018800037278?zone=book&lid=book_class3_oie&actid=book_class3_oie,Anton Chekhov,聲音空間  ,9789868645936,https://cdn.kingstone.com.tw/book/images/product/20188/2018800037278/2018800037278b.jpg
伊凡諾夫,https://www.kingstone.com.tw//basic/2018800037308?zone=book&lid=book_class3_oie&actid=book_class3_oie,Anton Chekhov,聲音空間  ,9789868645943,https://cdn.kingstone.com.tw/book/images/product/20188/2018800037308/2018800037308b.jpg
寶塚講座,https://www.kingstone.com.tw//basic/2019810009514?zone=book&lid=book_class3_oie&actid=book_class3_oie,張秉瑩、王善卿,奇異果文創,9789869272087,https://cdn.kingstone.com.tw/book/images/product/20198/2019810009514/2019810009514b.jpg
寶塚與歐洲最美的皇后,https://www.kingstone.com.tw//basic/2019810009644?zone=book&lid=book_class3_oie&actid=book_class3_oie,張秉瑩、王善卿,奇異果文創,9789869272094,https://cdn.kingstone.com.tw/book/images/product/20198/2019810009644/2019810009644b.jpg
阮劇團2014劇本農場劇作選II,https://www.kingstone.com.tw//basic/2018540031796?zone=book&lid=book_class3_oie&actid=book_class3_oie,阮劇團,遠景      ,9789573909620,https://cdn.kingstone.com.tw/book/images/product/20185/2018540031796/2018540031796b.jpg
酒神的女信徒,https://www.kingstone.com.tw//basic/2018830003083?zone=book&lid=book_class3_oie&actid=book_class3_oie,尤瑞皮底斯,聯經      ,9789570844832,https://cdn.kingstone.com.tw/book/images/product/20188/2018830003083/2018830003083b.jpg
阿格曼儂,https://www.kingstone.com.tw//basic/2018710023347?zone=book&lid=book_class3_oie&actid=book_class3_oie,艾斯奇勒斯,聯經      ,9789570844825,https://cdn.kingstone.com.tw/book/images/product/20187/2018710023347/2018710023347b.jpg
阮劇團2013劇本農場劇作選,https://www.kingstone.com.tw//basic/2018540031666?zone=book&lid=book_class3_oie&actid=book_class3_oie,許正平、吳明倫、蔡明璇,遠景      ,9789573909385,https://cdn.kingstone.com.tw/book/images/product/20185/2018540031666/2018540031666b.jpg
凡尼亞舅舅,https://www.kingstone.com.tw//basic/2018800033690?zone=book&lid=book_class3_oie&actid=book_class3_oie,安東．契訶夫,聲音空間  ,9789868645912,https://cdn.kingstone.com.tw/book/images/product/20188/2018800033690/2018800033690b.jpg
三姐妹,https://www.kingstone.com.tw//basic/2018800033720?zone=book&lid=book_class3_oie&actid=book_class3_oie,馬汀尼,聲音空間  ,9789868645929,https://cdn.kingstone.com.tw/book/images/product/20188/2018800033720/2018800033720b.jpg
人間條件5：男性本是漂泊心情（附完整版DVD）,https://www.kingstone.com.tw//basic/2018540027331?zone=book&lid=book_class3_oie&actid=book_class3_oie,吳念真,圓神      ,9789861334769,https://cdn.kingstone.com.tw/book/images/product/20185/2018540027331/2018540027331b.jpg
情慾舞台：西洋戲劇情慾主題精選集,https://www.kingstone.com.tw//basic/2018130051616?zone=book&lid=book_class3_oie&actid=book_class3_oie,呂健忠譯注,暖暖書屋  ,9789868954472,https://cdn.kingstone.com.tw/book/images/product/20181/2018130051616/2018130051616b.jpg
迷香,https://www.kingstone.com.tw//basic/2018540026709?zone=book&lid=book_class3_oie&actid=book_class3_oie,馮翊綱,聯合文學  ,9789863230311,https://cdn.kingstone.com.tw/book/images/product/20185/2018540026709/2018540026709b.jpg
我們的荊軻,https://www.kingstone.com.tw//basic/2018540026389?zone=book&lid=book_class3_oie&actid=book_class3_oie,莫言,麥田      ,9789861738659,https://cdn.kingstone.com.tw/book/images/product/20185/2018540026389/2018540026389b.jpg
金士傑劇本,https://www.kingstone.com.tw//basic/2018540026259?zone=book&lid=book_class3_oie&actid=book_class3_oie,金士傑,遠流      ,9789573270911,https://cdn.kingstone.com.tw/book/images/product/20185/2018540026259/2018540026259b.jpg
人間條件4：一樣的月光（附DVD ）,https://www.kingstone.com.tw//basic/2018540024415?zone=book&lid=book_class3_oie&actid=book_class3_oie,吳念真,圓神      ,9789861333878,https://cdn.kingstone.com.tw/book/images/product/20185/2018540024415/2018540024415b.jpg
孟姜女：台灣第一本譜曲之歌劇劇本,https://www.kingstone.com.tw//basic/2018540024095?zone=book&lid=book_class3_oie&actid=book_class3_oie,夏菁,秀威資訊  ,9789862217771,https://cdn.kingstone.com.tw/book/images/product/20185/2018540024095/2018540024095b.jpg
表演藝術的體驗與體現第四輯：Live！現場直擊,https://www.kingstone.com.tw//basic/2019810005356?zone=book&lid=book_class3_oie&actid=book_class3_oie,楊雲玉,秀威資訊  ,9789862216729,https://cdn.kingstone.com.tw/book/images/product/20198/2019810005356/2019810005356b.jpg
台灣文學音樂劇：海神家族,https://www.kingstone.com.tw//basic/2019810004304?zone=book&lid=book_class3_oie&actid=book_class3_oie,陳玉慧等,印刻      ,9789866377464,https://cdn.kingstone.com.tw/book/images/product/20198/2019810004304/2019810004304b.jpg
高熱103°,https://www.kingstone.com.tw//basic/2018540022091?zone=book&lid=book_class3_oie&actid=book_class3_oie,周曼農,女書      ,9789578233713,https://cdn.kingstone.com.tw/book/images/product/20185/2018540022091/2018540022091b.jpg
紅色11,https://www.kingstone.com.tw//basic/2018540021629?zone=book&lid=book_class3_oie&actid=book_class3_oie,李敖,李敖      ,9789574148950,https://cdn.kingstone.com.tw/book/images/product/20185/2018540021629/2018540021629b.jpg
人間條件3：台北上午零時（附DVD）,https://www.kingstone.com.tw//basic/2018540021599?zone=book&lid=book_class3_oie&actid=book_class3_oie,吳念真,圓神      ,9789861332406,https://cdn.kingstone.com.tw/book/images/product/20185/2018540021599/2018540021599b.jpg
戲說、青春之歌（看什麼音樂劇）,https://www.kingstone.com.tw//basic/2019150010607?zone=book&lid=book_class3_oie&actid=book_class3_oie,蔣國男,音樂向上  ,9789868198975,https://cdn.kingstone.com.tw/book/images/product/20191/2019150010607/2019150010607b.jpg
人間條件2－－她與她生命中的男人們（附 2DVD）,https://www.kingstone.com.tw//basic/2018540020837?zone=book&lid=book_class3_oie&actid=book_class3_oie,吳念真,圓神      ,9789861331812,https://cdn.kingstone.com.tw/book/images/product/20185/2018540020837/2018540020837b.jpg
愛情的想像：雅克和他的主人之自由變奏曲,https://www.kingstone.com.tw//basic/2019000087186?zone=book&lid=book_class3_oie&actid=book_class3_oie,黃惟馨,秀威資訊  ,9789867263513,https://cdn.kingstone.com.tw/book/images/product/20190/2019000087186/2019000087186b.jpg
魔幻帳篷,https://www.kingstone.com.tw//basic/2018540018476?zone=book&lid=book_class3_oie&actid=book_class3_oie,鍾喬,揚智文化  ,9789578185647,https://cdn.kingstone.com.tw/book/images/product/20185/2018540018476/2018540018476b.jpg
我駕著翅膀穿透黑夜,https://www.kingstone.com.tw//basic/2018540017004?zone=book&lid=book_class3_oie&actid=book_class3_oie,王婉容,遠流      ,9789573245667,https://cdn.kingstone.com.tw/book/images/product/20185/2018540017004/2018540017004b.jpg
歌聲魅影：歌曲敘事與中文電影,https://www.kingstone.com.tw//basic/2019150007584?zone=book&lid=book_class3_oie&actid=book_class3_oie,葉月瑜,遠流      ,9789573241553,https://cdn.kingstone.com.tw/book/images/product/20191/2019150007584/2019150007584b.jpg
布魯克,https://www.kingstone.com.tw//basic/2019800007032?zone=book&lid=book_class3_oie&actid=book_class3_oie,王婉容,生智      ,9789578181410,https://cdn.kingstone.com.tw/book/images/product/20198/2019800007032/2019800007032b.jpg
一年三季,https://www.kingstone.com.tw//basic/2018540014478?zone=book&lid=book_class3_oie&actid=book_class3_oie,汪具楣,遠流      ,9789573239727,https://cdn.kingstone.com.tw/book/images/product/20185/2018540014478/2018540014478b.jpg
複製新娘,https://www.kingstone.com.tw//basic/2018540014218?zone=book&lid=book_class3_oie&actid=book_class3_oie,汪其楣,遠流      ,9789573239093,https://cdn.kingstone.com.tw/book/images/product/20185/2018540014218/2018540014218b.jpg
記得香港,https://www.kingstone.com.tw//basic/2018540014348?zone=book&lid=book_class3_oie&actid=book_class3_oie,汪其楣,遠流      ,9789573239109,https://cdn.kingstone.com.tw/book/images/product/20185/2018540014348/2018540014348b.jpg
阮劇團2015劇本農場劇作選 III,https://www.kingstone.com.tw//basic/2018540031826?zone=book&lid=book_class3_oie&actid=book_class3_oie,林孟寰、高煜玟、陳弘洋,遠景      ,9789573910077,https://cdn.kingstone.com.tw/book/images/product/20185/2018540031826/2018540031826b.jpg
創作之旅：背包客劇團劇本集,https://www.kingstone.com.tw//basic/2018540029915?zone=book&lid=book_class3_oie&actid=book_class3_oie,周力德,書林      ,9789574456734,https://cdn.kingstone.com.tw/book/images/product/20185/2018540029915/2018540029915b.jpg
白日夢騎士,https://www.kingstone.com.tw//basic/2019810008272?zone=book&lid=book_class3_oie&actid=book_class3_oie,黃致凱,故事工場  ,9789869166409,https://cdn.kingstone.com.tw/book/images/product/20198/2019810008272/2019810008272b.jpg
3個諸葛亮,https://www.kingstone.com.tw//basic/2019810008302?zone=book&lid=book_class3_oie&actid=book_class3_oie,黃致凱,故事工場  ,9789869166416,https://cdn.kingstone.com.tw/book/images/product/20198/2019810008302/2019810008302b.jpg
