書名,書籍網站,作者,出版社,ISBN,圖片網址
素顏 素還真寫真書,https://www.kingstone.com.tw//basic/2019900094673?zone=book&lid=book_class3_oig&actid=book_class3_oig,黃強華,台灣角川  ,9789577438591,https://cdn.kingstone.com.tw/book/images/product/20199/2019900094673/2019900094673b.jpg
掌中戲,https://www.kingstone.com.tw//basic/2019870137240?zone=book&lid=book_class3_oig&actid=book_class3_oig,陳錫煌,格林      ,9789861899237,https://cdn.kingstone.com.tw/book/images/product/20198/2019870137240/2019870137240b.jpg
霹靂風雲錄 轟擎天下／轟霆劍海錄 劇情典藏書,https://www.kingstone.com.tw//basic/2019479058991?zone=book&lid=book_class3_oig&actid=book_class3_oig,霹靂,青文      ,9789863566090,https://cdn.kingstone.com.tw/book/images/product/20194/2019479058991/2019479058991b.jpg
霹靂風雲錄 仙魔鏖鋒II 斬魔錄／劇情典藏書,https://www.kingstone.com.tw//basic/2019478939970?zone=book&lid=book_class3_oig&actid=book_class3_oig,霹靂,青文      ,4718016029996,https://cdn.kingstone.com.tw/book/images/product/20194/2019478939970/2019478939970b.jpg
認識布袋戲的第一本書：從尪仔製作到手玩尪仔說唱故事去,https://www.kingstone.com.tw//basic/2019830006814?zone=book&lid=book_class3_oig&actid=book_class3_oig,林明德,五南      ,9789571194592,https://cdn.kingstone.com.tw/book/images/product/20198/2019830006814/2019830006814b.jpg
霹靂風雲錄 動機風雲 刀劍春秋／劇情典藏書,https://www.kingstone.com.tw//basic/2019860012397?zone=book&lid=book_class3_oig&actid=book_class3_oig,霹靂,青文      ,4718016026780,https://cdn.kingstone.com.tw/book/images/product/20198/2019860012397/2019860012397b.jpg
霹靂風雲錄 古原爭霸／劇情典藏書,https://www.kingstone.com.tw//basic/2019478597644?zone=book&lid=book_class3_oig&actid=book_class3_oig,霹靂,青文      ,4718016024601,https://cdn.kingstone.com.tw/book/images/product/20194/2019478597644/2019478597644b.jpg
閩南布袋戲在東南亞與台灣﹝中英對照﹞,https://www.kingstone.com.tw//basic/2019830005152?zone=book&lid=book_class3_oig&actid=book_class3_oig,伏木香織/羅斌,臺原出版社,9789867860118,https://cdn.kingstone.com.tw/book/images/product/20198/2019830005152/2019830005152b.jpg
奇人密碼：古羅布之謎幕後全記錄,https://www.kingstone.com.tw//basic/2019870116924?zone=book&lid=book_class3_oig&actid=book_class3_oig,偶動漫娛樂事業,尖端      ,9789571058436,https://cdn.kingstone.com.tw/book/images/product/20198/2019870116924/2019870116924b.jpg
奇人密碼：美術設定集,https://www.kingstone.com.tw//basic/2019800018441?zone=book&lid=book_class3_oig&actid=book_class3_oig,偶動漫娛樂事業,水靈文創  ,9789869142540,https://cdn.kingstone.com.tw/book/images/product/20198/2019800018441/2019800018441b.jpg
