書名,書籍網站,作者,出版社,ISBN,圖片網址
南戲「三化」蛻變傳奇之探討,https://www.kingstone.com.tw//basic/2019820062790?zone=book&lid=book_class3_oih&actid=book_class3_oih,吳佩熏,國家      ,9789573615859,https://cdn.kingstone.com.tw/book/images/product/20198/2019820062790/2019820062790b.jpg
樣板戲：文化革命及其最新形式,https://www.kingstone.com.tw//basic/2019820062370?zone=book&lid=book_class3_oih&actid=book_class3_oih,張晴灩,人間      ,9789869872126,https://cdn.kingstone.com.tw/book/images/product/20198/2019820062370/2019820062370b.jpg
阮劇團2018劇本農場劇作選VI,https://www.kingstone.com.tw//basic/2018630241081?zone=book&lid=book_class3_oih&actid=book_class3_oih,胡疊、鄧世昌、李憶銖,遠景      ,9789573911197,https://cdn.kingstone.com.tw/book/images/product/20186/2018630241081/2018630241081b.jpg
從譚鑫培到余叔岩,https://www.kingstone.com.tw//basic/2019820061908?zone=book&lid=book_class3_oih&actid=book_class3_oih,齊如山,黃山國際  ,9789863971276,https://cdn.kingstone.com.tw/book/images/product/20198/2019820061908/2019820061908b.jpg
京劇.未來式：王安祈與國光劇藝新美學,https://www.kingstone.com.tw//basic/2019820062080?zone=book&lid=book_class3_oih&actid=book_class3_oih,王照璵、李銘偉,時報文化  ,9789571384429,https://cdn.kingstone.com.tw/book/images/product/20198/2019820062080/2019820062080b.jpg
蝶飛夢舞：洪瓊芳劇作集,https://www.kingstone.com.tw//basic/2018630230092?zone=book&lid=book_class3_oih&actid=book_class3_oih,洪瓊芳,書林      ,9789574459056,https://cdn.kingstone.com.tw/book/images/product/20186/2018630230092/2018630230092b.jpg
清初蘇州崑劇劇壇研究,https://www.kingstone.com.tw//basic/2019820061878?zone=book&lid=book_class3_oih&actid=book_class3_oih,盧柏勳,國家      ,9789573615743,https://cdn.kingstone.com.tw/book/images/product/20198/2019820061878/2019820061878b.jpg
鉤奇探古話臉譜,https://www.kingstone.com.tw//basic/2019820059387?zone=book&lid=book_class3_oih&actid=book_class3_oih,翁偶虹,香港中和  ,9789888570379,https://cdn.kingstone.com.tw/book/images/product/20198/2019820059387/2019820059387b.jpg
曲學入門,https://www.kingstone.com.tw//basic/2018240008807?zone=book&lid=book_class3_oih&actid=book_class3_oih,韓非木 編著,台灣中華  ,9789574301133,https://cdn.kingstone.com.tw/book/images/product/20182/2018240008807/2018240008807b.jpg
國光的品牌學：一個傳統京劇團打造劇藝新美學之路,https://www.kingstone.com.tw//basic/2019820058205?zone=book&lid=book_class3_oih&actid=book_class3_oih,張育華、陳淑英,時報文化  ,9789571376660,https://cdn.kingstone.com.tw/book/images/product/20198/2019820058205/2019820058205b.jpg
