書名,書籍網站,作者,出版社,ISBN,圖片網址
逆旅：一個關於謝雪紅的單人旅行,https://www.kingstone.com.tw//basic/2018540035244?zone=book&lid=book_class3_oii&actid=book_class3_oii,詹傑,時報文化  ,9789571390758,https://cdn.kingstone.com.tw/book/images/product/20185/2018540035244/2018540035244b.jpg
服妖之鑑：簡莉穎劇本集2,https://www.kingstone.com.tw//basic/2019800022196?zone=book&lid=book_class3_oii&actid=book_class3_oii,簡莉穎,一人出版社,9789869278164,https://cdn.kingstone.com.tw/book/images/product/20198/2019800022196/2019800022196b.jpg
滾動百老匯：現象級音樂劇名作導聆,https://www.kingstone.com.tw//basic/2019840005890?zone=book&lid=book_class3_oii&actid=book_class3_oii,宋銘,新銳文創  ,9789865540333,https://cdn.kingstone.com.tw/book/images/product/20198/2019840005890/2019840005890b.jpg
勇氣媽媽（英漢對照）,https://www.kingstone.com.tw//basic/2018750097506?zone=book&lid=book_class3_oii&actid=book_class3_oii,布萊希特,書林      ,9789574458899,https://cdn.kingstone.com.tw/book/images/product/20187/2018750097506/2018750097506b.jpg
四川好女人（英漢對照）,https://www.kingstone.com.tw//basic/2018750097636?zone=book&lid=book_class3_oii&actid=book_class3_oii,布萊希特,書林      ,9789574458905,https://cdn.kingstone.com.tw/book/images/product/20187/2018750097636/2018750097636b.jpg
飄渺間往事如夢——粵劇教與學,https://www.kingstone.com.tw//basic/2019820060956?zone=book&lid=book_class3_oii&actid=book_class3_oii,楊慧思,新銳文創  ,9789578924918,https://cdn.kingstone.com.tw/book/images/product/20198/2019820060956/2019820060956b.jpg
新興粵劇集（一九四七）,https://www.kingstone.com.tw//basic/2019150017231?zone=book&lid=book_class3_oii&actid=book_class3_oii,上海新興廣播社,心一堂香港,9789888582150,https://cdn.kingstone.com.tw/book/images/product/20191/2019150017231/2019150017231b.jpg
亞陶事件簿,https://www.kingstone.com.tw//basic/2019810011685?zone=book&lid=book_class3_oii&actid=book_class3_oii,蘇子中,書林      ,9789574458141,https://cdn.kingstone.com.tw/book/images/product/20198/2019810011685/2019810011685b.jpg
嶺南文化十大名片：粵劇,https://www.kingstone.com.tw//basic/2019000118460?zone=book&lid=book_class3_oii&actid=book_class3_oii,林雄主編，羅銘恩、羅麗編著,昌明文化  ,9789864962099,https://cdn.kingstone.com.tw/book/images/product/20190/2019000118460/2019000118460b.jpg
影視文學劇本：太陽之子（英中簡體雙語版）,https://www.kingstone.com.tw//basic/2018540033240?zone=book&lid=book_class3_oii&actid=book_class3_oii,唐宇晨,漢世紀數位,9781625034069,https://cdn.kingstone.com.tw/book/images/product/20185/2018540033240/2018540033240b.jpg
影視文學劇本：太陽之子（英中繁體雙語版）,https://www.kingstone.com.tw//basic/2018540033370?zone=book&lid=book_class3_oii&actid=book_class3_oii,唐宇晨,漢世紀數位,9781625034076,https://cdn.kingstone.com.tw/book/images/product/20185/2018540033370/2018540033370b.jpg
春眠：簡莉穎劇本集1,https://www.kingstone.com.tw//basic/2018540032748?zone=book&lid=book_class3_oii&actid=book_class3_oii,簡莉穎、蔡雨辰、許哲彬等,一人出版社,9789869278157,https://cdn.kingstone.com.tw/book/images/product/20185/2018540032748/2018540032748b.jpg
朱樹中外戲劇選集 上下,https://www.kingstone.com.tw//basic/2018130051906?zone=book&lid=book_class3_oii&actid=book_class3_oii,朱樹,臺灣商務  ,9789570529302,https://cdn.kingstone.com.tw/book/images/product/20181/2018130051906/2018130051906b.jpg
樣板戲記憶：「文革」親歷（現當代華文文學研究叢書12）,https://www.kingstone.com.tw//basic/2019820047896?zone=book&lid=book_class3_oii&actid=book_class3_oii,李松,秀威資訊  ,9789863261995,https://cdn.kingstone.com.tw/book/images/product/20198/2019820047896/2019820047896b.jpg
純屬巧合？巴洛克義大利正歌劇與中國京劇之比較,https://www.kingstone.com.tw//basic/2019000093705?zone=book&lid=book_class3_oii&actid=book_class3_oii,宮筱筠,漢世紀數位,9781625030528,https://cdn.kingstone.com.tw/book/images/product/20190/2019000093705/2019000093705b.jpg
徽學與明清戲曲,https://www.kingstone.com.tw//basic/2018200293700?zone=book&lid=book_class3_oii&actid=book_class3_oii,朱萬曙,國家      ,9789573613824,https://cdn.kingstone.com.tw/book/images/product/20182/2018200293700/2018200293700b.jpg
戲曲與偶戲,https://www.kingstone.com.tw//basic/2019820047216?zone=book&lid=book_class3_oii&actid=book_class3_oii,曾永義,國家      ,9789573614036,https://cdn.kingstone.com.tw/book/images/product/20198/2019820047216/2019820047216b.jpg
胭脂簪花：中國戲曲容妝,https://www.kingstone.com.tw//basic/2019820047476?zone=book&lid=book_class3_oii&actid=book_class3_oii,邢源琳,國家      ,9789573613862,https://cdn.kingstone.com.tw/book/images/product/20198/2019820047476/2019820047476b.jpg
也有空花來幻夢：京都聆曲錄Ⅱ,https://www.kingstone.com.tw//basic/2019820046714?zone=book&lid=book_class3_oii&actid=book_class3_oii,陳均,秀威資訊  ,9789863260950,https://cdn.kingstone.com.tw/book/images/product/20198/2019820046714/2019820046714b.jpg
演員自我修養,https://www.kingstone.com.tw//basic/2019870106987?zone=book&lid=book_class3_oii&actid=book_class3_oii,康斯坦丁．史旦尼斯拉夫斯基,新銳文創  ,9789865915681,https://cdn.kingstone.com.tw/book/images/product/20198/2019870106987/2019870106987b.jpg
京華戲劇過眼錄,https://www.kingstone.com.tw//basic/2019820027522?zone=book&lid=book_class3_oii&actid=book_class3_oii,顏榴,新銳文創  ,9789866094187,https://cdn.kingstone.com.tw/book/images/product/20198/2019820027522/2019820027522b.jpg
醒東方歐蘭朵：橫跨四世紀與東西方文化的戲劇之路,https://www.kingstone.com.tw//basic/2019840004688?zone=book&lid=book_class3_oii&actid=book_class3_oii,耿一偉,國立中正  ,9789860200546,https://cdn.kingstone.com.tw/book/images/product/20198/2019840004688/2019840004688b.jpg
中國獅舞之藝術,https://www.kingstone.com.tw//basic/2019760029624?zone=book&lid=book_class3_oii&actid=book_class3_oii,施德華,國家      ,9789573611837,https://cdn.kingstone.com.tw/book/images/product/20197/2019760029624/2019760029624b.jpg
青年族群對傳統戲曲「京劇」的觀賞行為,https://www.kingstone.com.tw//basic/2018540025467?zone=book&lid=book_class3_oii&actid=book_class3_oii,楊雲玉,秀威資訊  ,9789862210598,https://cdn.kingstone.com.tw/book/images/product/20185/2018540025467/2018540025467b.jpg
表演藝術的體驗與體現（第二輯）,https://www.kingstone.com.tw//basic/2018540025597?zone=book&lid=book_class3_oii&actid=book_class3_oii,楊雲玉,秀威資訊  ,9789862210604,https://cdn.kingstone.com.tw/book/images/product/20185/2018540025597/2018540025597b.jpg
情多處處有戲：賈馨園談戲曲,https://www.kingstone.com.tw//basic/2019820029106?zone=book&lid=book_class3_oii&actid=book_class3_oii,賈馨園,秀威資訊  ,9789866909931,https://cdn.kingstone.com.tw/book/images/product/20198/2019820029106/2019820029106b.jpg
希臘悲劇劇場與阿爾賽斯提斯,https://www.kingstone.com.tw//basic/2019840004268?zone=book&lid=book_class3_oii&actid=book_class3_oii,潘潘,唐山出版社,9789579583589,https://cdn.kingstone.com.tw/book/images/product/20198/2019840004268/2019840004268b.jpg
走入黑光DIY：黑光教學指導手冊,https://www.kingstone.com.tw//basic/2015231239707?zone=book&lid=book_class3_oii&actid=book_class3_oii,黑光工作室,幼獅文化  ,9789575745431,https://cdn.kingstone.com.tw/book/images/product/20152/2015231239707/2015231239707b.jpg
金門民間戲曲,https://www.kingstone.com.tw//basic/2019820018667?zone=book&lid=book_class3_oii&actid=book_class3_oii,楊天厚,稻田      ,9789572052297,https://cdn.kingstone.com.tw/book/images/product/20198/2019820018667/2019820018667b.jpg
當代台灣社區劇場,https://www.kingstone.com.tw//basic/2019810001938?zone=book&lid=book_class3_oii&actid=book_class3_oii,林偉瑜,揚智文化  ,9789578181175,https://cdn.kingstone.com.tw/book/images/product/20198/2019810001938/2019810001938b.jpg
粉墨人生,https://www.kingstone.com.tw//basic/2019850000328?zone=book&lid=book_class3_oii&actid=book_class3_oii,曾西霸,幼獅文化  ,9789575741891,https://cdn.kingstone.com.tw/book/images/product/20198/2019850000328/2019850000328b.jpg
臺灣傳統戲曲,https://www.kingstone.com.tw//basic/2019820015161?zone=book&lid=book_class3_oii&actid=book_class3_oii,賈永義,東華      ,9789576368738,https://cdn.kingstone.com.tw/book/images/product/20198/2019820015161/2019820015161b.jpg
易卜生戲劇集V,https://www.kingstone.com.tw//basic/2018810036704?zone=book&lid=book_class3_oii&actid=book_class3_oii,易卜生,書林      ,9789574455577,https://cdn.kingstone.com.tw/book/images/product/20188/2018810036704/2018810036704b.jpg
粵曲詞中詞,https://www.kingstone.com.tw//basic/2019800017949?zone=book&lid=book_class3_oii&actid=book_class3_oii,張文（漁客）,心一堂香港,9789888266159,https://cdn.kingstone.com.tw/book/images/product/20198/2019800017949/2019800017949b.jpg
易卜生戲劇集IV,https://www.kingstone.com.tw//basic/2018810035752?zone=book&lid=book_class3_oii&actid=book_class3_oii,易卜生,書林      ,9789574455287,https://cdn.kingstone.com.tw/book/images/product/20188/2018810035752/2018810035752b.jpg
