書名,書籍網站,作者,出版社,ISBN,圖片網址
俄羅斯學派之古典芭蕾套書,https://www.kingstone.com.tw//basic/2019760035113?zone=book&lid=book_class3_oij&actid=book_class3_oij,薇拉．科斯特羅維茨卡婭,幼獅文化  ,4712977747647,https://cdn.kingstone.com.tw/book/images/product/20197/2019760035113/2019760035113b.jpg
編舞筆記,https://www.kingstone.com.tw//basic/2019760035083?zone=book&lid=book_class3_oij&actid=book_class3_oij,強納森．布洛斯,書林      ,9789574458851,https://cdn.kingstone.com.tw/book/images/product/20197/2019760035083/2019760035083b.jpg
假如我是一隻海燕：從日治到解嚴，臺灣現代舞的故事,https://www.kingstone.com.tw//basic/2019760034901?zone=book&lid=book_class3_oij&actid=book_class3_oij,林巧棠,衛城出版  ,9789869681742,https://cdn.kingstone.com.tw/book/images/product/20197/2019760034901/2019760034901b.jpg
50則非知不可的舞蹈欣賞概念,https://www.kingstone.com.tw//basic/2019760034871?zone=book&lid=book_class3_oij&actid=book_class3_oij,陳蒨蒨,五南      ,9789577635778,https://cdn.kingstone.com.tw/book/images/product/20197/2019760034871/2019760034871b.jpg
落日之舞：台灣舞蹈藝術拓荒者的境遇與突破1920－1950,https://www.kingstone.com.tw//basic/2019760032907?zone=book&lid=book_class3_oij&actid=book_class3_oij,徐瑋瑩,聯經      ,9789570850574,https://cdn.kingstone.com.tw/book/images/product/20197/2019760032907/2019760032907b.jpg
舞蹈欣賞（伍.江）,https://www.kingstone.com.tw//basic/2019760029464?zone=book&lid=book_class3_oij&actid=book_class3_oij,伍曼麗,五南      ,9789571159263,https://cdn.kingstone.com.tw/book/images/product/20197/2019760029464/2019760029464b.jpg
舞蹈教學,https://www.kingstone.com.tw//basic/2019760027910?zone=book&lid=book_class3_oij&actid=book_class3_oij,黃金桂,五南      ,9789571156774,https://cdn.kingstone.com.tw/book/images/product/20197/2019760027910/2019760027910b.jpg
舞蹈欣賞,https://www.kingstone.com.tw//basic/2019760021598?zone=book&lid=book_class3_oij&actid=book_class3_oij,于平,五南      ,9789571127767,https://cdn.kingstone.com.tw/book/images/product/20197/2019760021598/2019760021598b.jpg
舞蹈欣賞,https://www.kingstone.com.tw//basic/2019760020546?zone=book&lid=book_class3_oij&actid=book_class3_oij,伍曼麗,五南      ,9789571117782,https://cdn.kingstone.com.tw/book/images/product/20197/2019760020546/2019760020546b.jpg
台灣後來好所在,https://www.kingstone.com.tw//basic/2019760020416?zone=book&lid=book_class3_oij&actid=book_class3_oij,古碧琴,臺灣商務  ,9789570515701,https://cdn.kingstone.com.tw/book/images/product/20197/2019760020416/2019760020416b.jpg
中國古代舞蹈,https://www.kingstone.com.tw//basic/2019760017843?zone=book&lid=book_class3_oij&actid=book_class3_oij,劉芹,臺灣商務  ,9789570508000,https://cdn.kingstone.com.tw/book/images/product/20197/2019760017843/2019760017843b.jpg
現代舞蹈,https://www.kingstone.com.tw//basic/2019760001354?zone=book&lid=book_class3_oij&actid=book_class3_oij,藝術圖書  ,"

立即結帳
",,https://cdn.kingstone.com.tw/book/images/product/20197/2019760001354/2019760001354b.jpg
Dance：我的看舞隨身書(新版),https://www.kingstone.com.tw//basic/2019760028412?zone=book&lid=book_class3_oij&actid=book_class3_oij,李立亨,天下文化  ,9789862166802,https://cdn.kingstone.com.tw/book/images/product/20197/2019760028412/2019760028412b.jpg
十年一觀：悲憫自然的身體史詩,https://www.kingstone.com.tw//basic/2019760027330?zone=book&lid=book_class3_oij&actid=book_class3_oij,羅毓嘉,國立中正  ,9789860238891,https://cdn.kingstone.com.tw/book/images/product/20197/2019760027330/2019760027330b.jpg
舞出健康：新觀念舞蹈藝術,https://www.kingstone.com.tw//basic/2019760026548?zone=book&lid=book_class3_oij&actid=book_class3_oij,洪躍通,天佑智訊  ,9789866529306,https://cdn.kingstone.com.tw/book/images/product/20197/2019760026548/2019760026548b.jpg
舞蹈應用生理解剖學,https://www.kingstone.com.tw//basic/2019760025756?zone=book&lid=book_class3_oij&actid=book_class3_oij,郭志輝,五南      ,9789571135649,https://cdn.kingstone.com.tw/book/images/product/20197/2019760025756/2019760025756b.jpg
飆舞(全新增訂版),https://www.kingstone.com.tw//basic/2019760027200?zone=book&lid=book_class3_oij&actid=book_class3_oij,楊孟瑜,天下文化  ,9789862161920,https://cdn.kingstone.com.tw/book/images/product/20197/2019760027200/2019760027200b.jpg
歐洲的建築設計與藝術風格,https://www.kingstone.com.tw//basic/2019090080784?zone=book&lid=book_class3_oij&actid=book_class3_oij,許麗雯,序曲文化  ,9789868420847,https://cdn.kingstone.com.tw/book/images/product/20190/2019090080784/2019090080784b.jpg
新藝見音樂舞蹈篇,https://www.kingstone.com.tw//basic/2019070008388?zone=book&lid=book_class3_oij&actid=book_class3_oij,台新銀行文,音樂時代  ,9789868224636,https://cdn.kingstone.com.tw/book/images/product/20190/2019070008388/2019070008388b.jpg
舞蹈,https://www.kingstone.com.tw//basic/2029760023775?zone=book&lid=book_class3_oij&actid=book_class3_oij,葛皓博士,貓頭鷹    ,9789867415943,https://cdn.kingstone.com.tw/book/images/product/20297/2029760023775/2029760023775b.jpg
體育舞蹈,https://www.kingstone.com.tw//basic/2019760023042?zone=book&lid=book_class3_oij&actid=book_class3_oij,劉建軍,諾亞森林  ,9789867423214,https://cdn.kingstone.com.tw/book/images/product/20197/2019760023042/2019760023042b.jpg
圖說中國舞蹈史,https://www.kingstone.com.tw//basic/2029760022273?zone=book&lid=book_class3_oij&actid=book_class3_oij,馮雙白,揚智文化  ,9789578185272,https://cdn.kingstone.com.tw/book/images/product/20297/2029760022273/2029760022273b.jpg
樂舞相和：羅曼菲vs賴英里,https://www.kingstone.com.tw//basic/2019760021048?zone=book&lid=book_class3_oij&actid=book_class3_oij,蔡依雲採訪,松樺      ,9789572236345,https://cdn.kingstone.com.tw/book/images/product/20197/2019760021048/2019760021048b.jpg
舞蹈評析與身體觀,https://www.kingstone.com.tw//basic/2019760029334?zone=book&lid=book_class3_oij&actid=book_class3_oij,吳士宏,五南      ,9789571124377,https://cdn.kingstone.com.tw/book/images/product/20197/2019760029334/2019760029334b.jpg
DANCE我的看舞隨身書,https://www.kingstone.com.tw//basic/2019760020706?zone=book&lid=book_class3_oij&actid=book_class3_oij,李立亨,天下文化  ,9789576217524,https://cdn.kingstone.com.tw/book/images/product/20197/2019760020706/2019760020706b.jpg
舞蹈應用生理解剖學,https://www.kingstone.com.tw//basic/2019760020676?zone=book&lid=book_class3_oij&actid=book_class3_oij,郭志輝,五南      ,9789571119274,https://cdn.kingstone.com.tw/book/images/product/20197/2019760020676/2019760020676b.jpg
舞道：劉紹爐的舞蹈徑與方法,https://www.kingstone.com.tw//basic/2019090046278?zone=book&lid=book_class3_oij&actid=book_class3_oij,鐘明德,時報文化  ,9789571329864,https://cdn.kingstone.com.tw/book/images/product/20190/2019090046278/2019090046278b.jpg
西洋古典舞蹈應用語法,https://www.kingstone.com.tw//basic/2019760020386?zone=book&lid=book_class3_oij&actid=book_class3_oij,謝宗益,洪葉大城北,9789578424364,https://cdn.kingstone.com.tw/book/images/product/20197/2019760020386/2019760020386b.jpg
飆舞,https://www.kingstone.com.tw//basic/2019760020256?zone=book&lid=book_class3_oij&actid=book_class3_oij,楊孟瑜,天下文化  ,9789576214974,https://cdn.kingstone.com.tw/book/images/product/20197/2019760020256/2019760020256b.jpg
舞蹈審美說,https://www.kingstone.com.tw//basic/2019760019977?zone=book&lid=book_class3_oij&actid=book_class3_oij,歐建平,洪葉大城北,9789578424142,https://cdn.kingstone.com.tw/book/images/product/20197/2019760019977/2019760019977b.jpg
舞蹈美學鑑賞,https://www.kingstone.com.tw//basic/2019760019397?zone=book&lid=book_class3_oij&actid=book_class3_oij,歐建平,皇冠文化  ,9789579920650,https://cdn.kingstone.com.tw/book/images/product/20197/2019760019397/2019760019397b.jpg
舞蹈名詞,https://www.kingstone.com.tw//basic/2019760019557?zone=book&lid=book_class3_oij&actid=book_class3_oij,洪葉大城北,停售,9789579920612,https://cdn.kingstone.com.tw/book/images/product/20197/2019760019557/2019760019557b.jpg
海山傳說．環,https://www.kingstone.com.tw//basic/2019760019007?zone=book&lid=book_class3_oij&actid=book_class3_oij,汪其楣,雲門舞集  ,9789579919906,https://cdn.kingstone.com.tw/book/images/product/20197/2019760019007/2019760019007b.jpg
中國舞蹈史,https://www.kingstone.com.tw//basic/2019760018925?zone=book&lid=book_class3_oij&actid=book_class3_oij,王克芬,文津      ,9789576683596,https://cdn.kingstone.com.tw/book/images/product/20197/2019760018925/2019760018925b.jpg
舞蹈概論,https://www.kingstone.com.tw//basic/2019760019267?zone=book&lid=book_class3_oij&actid=book_class3_oij,約翰．馬丁,洪葉大城北,9789579920636,https://cdn.kingstone.com.tw/book/images/product/20197/2019760019267/2019760019267b.jpg
舞蹈美學,https://www.kingstone.com.tw//basic/2019760018185?zone=book&lid=book_class3_oij&actid=book_class3_oij,朱立人主編,洪葉大城北,9789578677562,https://cdn.kingstone.com.tw/book/images/product/20197/2019760018185/2019760018185b.jpg
舞書：陶馥蘭話舞,https://www.kingstone.com.tw//basic/2019760018055?zone=book&lid=book_class3_oij&actid=book_class3_oij,陶馥蘭,萬象圖書  ,9789576695308,https://cdn.kingstone.com.tw/book/images/product/20197/2019760018055/2019760018055b.jpg
喧蟬鬧荷說九歌,https://www.kingstone.com.tw//basic/2019760017713?zone=book&lid=book_class3_oij&actid=book_class3_oij,林懷民,聯經      ,9789570810455,https://cdn.kingstone.com.tw/book/images/product/20197/2019760017713/2019760017713b.jpg
說舞,https://www.kingstone.com.tw//basic/2019760000302?zone=book&lid=book_class3_oij&actid=book_class3_oij,林懷民,遠流      ,,https://cdn.kingstone.com.tw/book/images/product/20197/2019760000302/2019760000302b.jpg
舞蹈世界,https://www.kingstone.com.tw//basic/2019760001194?zone=book&lid=book_class3_oij&actid=book_class3_oij,藝術圖書  ,停售,,https://cdn.kingstone.com.tw/book/images/product/20197/2019760001194/2019760001194b.jpg
舞劇與古典舞蹈,https://www.kingstone.com.tw//basic/2019760001644?zone=book&lid=book_class3_oij&actid=book_class3_oij,大陸      ,停售,,https://cdn.kingstone.com.tw/book/images/product/20197/2019760001644/2019760001644b.jpg
中國舞蹈史,https://www.kingstone.com.tw//basic/2019760011421?zone=book&lid=book_class3_oij&actid=book_class3_oij,蘭亭書店  ,貨到通知我,,https://cdn.kingstone.com.tw/book/images/product/20197/2019760011421/2019760011421b.jpg
中國舞蹈史話,https://www.kingstone.com.tw//basic/2019760011551?zone=book&lid=book_class3_oij&actid=book_class3_oij,常任俠,明文      ,,https://cdn.kingstone.com.tw/book/images/product/20197/2019760011551/2019760011551b.jpg
中國古代舞蹈家的故事,https://www.kingstone.com.tw//basic/2019760012343?zone=book&lid=book_class3_oij&actid=book_class3_oij,王克芬,蘭亭書店  ,,https://cdn.kingstone.com.tw/book/images/product/20197/2019760012343/2019760012343b.jpg
台灣藝陣傳奇：當鑼鼓響起,https://www.kingstone.com.tw//basic/2019760016501?zone=book&lid=book_class3_oij&actid=book_class3_oij,黃文博,臺原出版社,9789579261142,https://cdn.kingstone.com.tw/book/images/product/20197/2019760016501/2019760016501b.jpg
中國舞蹈史初編三種,https://www.kingstone.com.tw//basic/2019760014217?zone=book&lid=book_class3_oij&actid=book_class3_oij,常任俠,業強      ,,https://cdn.kingstone.com.tw/book/images/product/20197/2019760014217/2019760014217b.jpg
中國舞蹈史二編,https://www.kingstone.com.tw//basic/2019760013975?zone=book&lid=book_class3_oij&actid=book_class3_oij,歐陽予倩,業強      ,,https://cdn.kingstone.com.tw/book/images/product/20197/2019760013975/2019760013975b.jpg
認識舞蹈,https://www.kingstone.com.tw//basic/2029760013868?zone=book&lid=book_class3_oij&actid=book_class3_oij,牛頓      ,停售,,https://cdn.kingstone.com.tw/book/images/product/20297/2029760013868/2029760013868b.jpg
舞蹈創作之研究,https://www.kingstone.com.tw//basic/2019760015009?zone=book&lid=book_class3_oij&actid=book_class3_oij,蔡麗華,健行文化  ,,https://cdn.kingstone.com.tw/book/images/product/20197/2019760015009/2019760015009b.jpg
