書名,書籍網站,作者,出版社,ISBN,圖片網址
古典芭蕾技巧進階：四至五年級的教學,https://www.kingstone.com.tw//basic/2019760030743?zone=book&lid=book_class3_oil&actid=book_class3_oil,納迭日達．巴扎洛娃,幼獅文化  ,9789574322886,https://cdn.kingstone.com.tw/book/images/product/20197/2019760030743/2019760030743b.jpg
平衡的力量：芭蕾舞者臺上明星、臺下母親的雙面人生真實紀錄,https://www.kingstone.com.tw//basic/2019760032587?zone=book&lid=book_class3_oil&actid=book_class3_oil,露西．葛蕾,積木文化  ,9789864590957,https://cdn.kingstone.com.tw/book/images/product/20197/2019760032587/2019760032587b.jpg
巴克斯特：俄國芭蕾舞團首席插畫設計師,https://www.kingstone.com.tw//basic/2019400052081?zone=book&lid=book_class3_oil&actid=book_class3_oil,吳礽喻編譯,藝術家    ,9789862820834,https://cdn.kingstone.com.tw/book/images/product/20194/2019400052081/2019400052081b.jpg
美妙的芭蕾（改版書）,https://www.kingstone.com.tw//basic/2019760020836?zone=book&lid=book_class3_oil&actid=book_class3_oil,何恭上,藝術圖書  ,9789576723216,https://cdn.kingstone.com.tw/book/images/product/20197/2019760020836/2019760020836b.jpg
芭蕾舞劇欣賞,https://www.kingstone.com.tw//basic/2019760000852?zone=book&lid=book_class3_oil&actid=book_class3_oil,何恭上,藝術圖書  ,9789576722929,https://cdn.kingstone.com.tw/book/images/product/20197/2019760000852/2019760000852b.jpg
古典芭蕾基礎,https://www.kingstone.com.tw//basic/2019760001484?zone=book&lid=book_class3_oil&actid=book_class3_oil,藝術圖書  ,"

立即結帳
",9789576720055,https://cdn.kingstone.com.tw/book/images/product/20197/2019760001484/2019760001484b.jpg
芭蕾舞的舞與畫,https://www.kingstone.com.tw//basic/2019760000562?zone=book&lid=book_class3_oil&actid=book_class3_oil,藝術圖書  ,"

立即結帳
",,https://cdn.kingstone.com.tw/book/images/product/20197/2019760000562/2019760000562b.jpg
阿波羅的天使：芭蕾藝術五百年,https://www.kingstone.com.tw//basic/2019760029914?zone=book&lid=book_class3_oil&actid=book_class3_oil,珍妮佛．霍曼斯,野人文化  ,9789865830601,https://cdn.kingstone.com.tw/book/images/product/20197/2019760029914/2019760029914b.jpg
古典芭蕾基訓初階：一至三年級的教學,https://www.kingstone.com.tw//basic/2019760029174?zone=book&lid=book_class3_oil&actid=book_class3_oil,納迭日達．巴扎洛娃,幼獅文化  ,9789574195275,https://cdn.kingstone.com.tw/book/images/product/20197/2019760029174/2019760029174b.jpg
當代舞蹈的心跳：從身體的解放到靈魂的觸動，當代舞蹈的關鍵推手、進化論與欣賞指南,https://www.kingstone.com.tw//basic/2019760028832?zone=book&lid=book_class3_oil&actid=book_class3_oil,菲利普．努瓦澤特、羅杭．菲,原點      ,9789866408601,https://cdn.kingstone.com.tw/book/images/product/20197/2019760028832/2019760028832b.jpg
