書名,書籍網站,作者,出版社,ISBN,圖片網址
啦啦舞教程,https://www.kingstone.com.tw//basic/2019760030873?zone=book&lid=book_class3_oim&actid=book_class3_oim,王洪,大展      ,9789863460695,https://cdn.kingstone.com.tw/book/images/product/20197/2019760030873/2019760030873b.jpg
排舞運動教程（附伴奏曲光碟）,https://www.kingstone.com.tw//basic/2019760030613?zone=book&lid=book_class3_oim&actid=book_class3_oim,李遵,大展      ,9789863460664,https://cdn.kingstone.com.tw/book/images/product/20197/2019760030613/2019760030613b.jpg
街舞運動教程,https://www.kingstone.com.tw//basic/2019760027460?zone=book&lid=book_class3_oim&actid=book_class3_oim,王瑩,大展      ,9789574687664,https://cdn.kingstone.com.tw/book/images/product/20197/2019760027460/2019760027460b.jpg
獨舞風騷：舞技分鏡教學DVD,https://www.kingstone.com.tw//basic/2019760026838?zone=book&lid=book_class3_oim&actid=book_class3_oim,陳建志,捷徑文化  ,9789866763878,https://cdn.kingstone.com.tw/book/images/product/20197/2019760026838/2019760026838b.jpg
恰恰恰舞夠輕鬆,https://www.kingstone.com.tw//basic/2019760026678?zone=book&lid=book_class3_oim&actid=book_class3_oim,漢湘出版,漢湘文化  ,9789862250228,https://cdn.kingstone.com.tw/book/images/product/20197/2019760026678/2019760026678b.jpg
街舞聖經,https://www.kingstone.com.tw//basic/2019760025626?zone=book&lid=book_class3_oim&actid=book_class3_oim,朵琳製作,朵琳      ,9789866771347,https://cdn.kingstone.com.tw/book/images/product/20197/2019760025626/2019760025626b.jpg
熱舞瘦身小品（附VCD）,https://www.kingstone.com.tw//basic/2019760025206?zone=book&lid=book_class3_oim&actid=book_class3_oim,凌燕,大展      ,9789574686063,https://cdn.kingstone.com.tw/book/images/product/20197/2019760025206/2019760025206b.jpg
大家來跳脫衣舞,https://www.kingstone.com.tw//basic/2019910025674?zone=book&lid=book_class3_oim&actid=book_class3_oim,陳羿茨,大辣      ,9789868355859,https://cdn.kingstone.com.tw/book/images/product/20199/2019910025674/2019910025674b.jpg
形成性感S曲線的完美方案：肚皮舞減肥法,https://www.kingstone.com.tw//basic/2014240190245?zone=book&lid=book_class3_oim&actid=book_class3_oim,精緻生活編,漢宇國際  ,9789866966156,https://cdn.kingstone.com.tw/book/images/product/20142/2014240190245/2014240190245b.jpg
動感拉丁舞入門,https://www.kingstone.com.tw//basic/2015280399582?zone=book&lid=book_class3_oim&actid=book_class3_oim,奧村三郎,大坤書局  ,9789575386818,https://cdn.kingstone.com.tw/book/images/product/20152/2015280399582/2015280399582b.jpg
