書名,書籍網站,作者,出版社,ISBN,圖片網址
敦煌能量舞－元（書+DVD不分售）,https://www.kingstone.com.tw//basic/2014130361946?zone=book&lid=book_class3_oiz&actid=book_class3_oiz,諶瓊華,新銳文創  ,9789865915919,https://cdn.kingstone.com.tw/book/images/product/20141/2014130361946/2014130361946b.jpg
中國古典舞長穗劍舞,https://www.kingstone.com.tw//basic/2019760034451?zone=book&lid=book_class3_oiz&actid=book_class3_oiz,孫力,崧燁文化  ,9789576818660,https://cdn.kingstone.com.tw/book/images/product/20197/2019760034451/2019760034451b.jpg
中國民族民間舞教學法,https://www.kingstone.com.tw//basic/2019760033959?zone=book&lid=book_class3_oiz&actid=book_class3_oiz,李瑞林、戰肅容、王瑞雪,崧燁文化  ,9789577357212,https://cdn.kingstone.com.tw/book/images/product/20197/2019760033959/2019760033959b.jpg
中國古典舞形體訓練方法研究,https://www.kingstone.com.tw//basic/2019760034031?zone=book&lid=book_class3_oiz&actid=book_class3_oiz,劉玉珍 主編,崧燁文化  ,9789577357151,https://cdn.kingstone.com.tw/book/images/product/20197/2019760034031/2019760034031b.jpg
韻感交際舞入門,https://www.kingstone.com.tw//basic/2019760025046?zone=book&lid=book_class3_oiz&actid=book_class3_oiz,恒肇夫,大坤書局  ,9789575387075,https://cdn.kingstone.com.tw/book/images/product/20197/2019760025046/2019760025046b.jpg
社交舞,https://www.kingstone.com.tw//basic/2019000088138?zone=book&lid=book_class3_oiz&actid=book_class3_oiz,周宇平、王俊玲,科圖      ,9789628929030,https://cdn.kingstone.com.tw/book/images/product/20190/2019000088138/2019000088138b.jpg
圖解交際舞速成,https://www.kingstone.com.tw//basic/2019760022700?zone=book&lid=book_class3_oiz&actid=book_class3_oiz,鐘文訓,大展      ,9789574683031,https://cdn.kingstone.com.tw/book/images/product/20197/2019760022700/2019760022700b.jpg
輪舞,https://www.kingstone.com.tw//basic/2019000086714?zone=book&lid=book_class3_oiz&actid=book_class3_oiz,黃惟馨,秀威資訊  ,9789572833179,https://cdn.kingstone.com.tw/book/images/product/20190/2019000086714/2019000086714b.jpg
土風舞大全,https://www.kingstone.com.tw//basic/2019760019427?zone=book&lid=book_class3_oiz&actid=book_class3_oiz,東京土風舞,益群書店  ,9789575524609,https://cdn.kingstone.com.tw/book/images/product/20197/2019760019427/2019760019427b.jpg
社交舞學習教室,https://www.kingstone.com.tw//basic/2019760017393?zone=book&lid=book_class3_oiz&actid=book_class3_oiz,張雪芳,大坤書局  ,9789575383190,https://cdn.kingstone.com.tw/book/images/product/20197/2019760017393/2019760017393b.jpg
