書名,書籍網站,作者,出版社,ISBN,圖片網址
千面英雄：70年經典新編紀念版，從神話學心理學到好萊塢編劇王道,https://www.kingstone.com.tw//basic/2012800014918?zone=book&lid=book_class3_oja&actid=book_class3_oja,喬瑟夫．坎伯,漫遊者    ,9789864893881,https://cdn.kingstone.com.tw/book/images/product/20128/2012800014918/2012800014918b.jpg
盧米埃星系：未來電影的七個關鍵詞,https://www.kingstone.com.tw//basic/2019870143609?zone=book&lid=book_class3_oja&actid=book_class3_oja,法蘭西斯科．卡塞提,一人出版社,9789869795142,https://cdn.kingstone.com.tw/book/images/product/20198/2019870143609/2019870143609b.jpg
法國電影新浪潮（最新圖文增訂版）,https://www.kingstone.com.tw//basic/2019870140943?zone=book&lid=book_class3_oja&actid=book_class3_oja,焦雄屏,蓋亞文化  ,9789863194842,https://cdn.kingstone.com.tw/book/images/product/20198/2019870140943/2019870140943b.jpg
千年女優之道,https://www.kingstone.com.tw//basic/2019870138322?zone=book&lid=book_class3_oja&actid=book_class3_oja,今敏,時報文化  ,9789571379586,https://cdn.kingstone.com.tw/book/images/product/20198/2019870138322/2019870138322b.jpg
看電影的慾望,https://www.kingstone.com.tw//basic/2019870134164?zone=book&lid=book_class3_oja&actid=book_class3_oja,張亦絢,木馬文化  ,9789863595731,https://cdn.kingstone.com.tw/book/images/product/20198/2019870134164/2019870134164b.jpg
我在吉卜力思考的事：內容力，想像力、感受力、創造力，宮崎駿動畫打動人心的祕密！,https://www.kingstone.com.tw//basic/2019870132740?zone=book&lid=book_class3_oja&actid=book_class3_oja,川上量生,積木文化  ,9789864591213,https://cdn.kingstone.com.tw/book/images/product/20198/2019870132740/2019870132740b.jpg
凝望‧時代：穿越悲情城市二十年,https://www.kingstone.com.tw//basic/2019870091849?zone=book&lid=book_class3_oja&actid=book_class3_oja,張靚蓓,田園城市  ,9789866204258,https://cdn.kingstone.com.tw/book/images/product/20198/2019870091849/2019870091849b.jpg
好電影如何好？教你看懂電影的20堂課,https://www.kingstone.com.tw//basic/2019870146365?zone=book&lid=book_class3_oja&actid=book_class3_oja,湯瑪斯．佛斯特,本事出版  ,9789579121910,https://cdn.kingstone.com.tw/book/images/product/20198/2019870146365/2019870146365b.jpg
八十年代香港影畫回憶,https://www.kingstone.com.tw//basic/2019870146495?zone=book&lid=book_class3_oja&actid=book_class3_oja,許思庭、嘉安、剛田武,天空數位  ,9789865575403,https://cdn.kingstone.com.tw/book/images/product/20198/2019870146495/2019870146495b.jpg
繪聲繪影一時代：陳子福的手繪電影海報,https://www.kingstone.com.tw//basic/2019800024770?zone=book&lid=book_class3_oja&actid=book_class3_oja,黃翰荻、林欣誼、陳雅雯,遠流      ,9789573289166,https://cdn.kingstone.com.tw/book/images/product/20198/2019800024770/2019800024770b.jpg
看得見的記憶：二十二部電影裡的百年臺灣電影史,https://www.kingstone.com.tw//basic/2019870142817?zone=book&lid=book_class3_oja&actid=book_class3_oja,陳逸達、李道明、陳允元,春山出版  ,9789869949248,https://cdn.kingstone.com.tw/book/images/product/20198/2019870142817/2019870142817b.jpg
中斷與連續：電影美學的一對基本範疇,https://www.kingstone.com.tw//basic/2019870147027?zone=book&lid=book_class3_oja&actid=book_class3_oja,顏純鈞,萬卷樓    ,9789864783922,https://cdn.kingstone.com.tw/book/images/product/20198/2019870147027/2019870147027b.jpg
看懂好電影的快樂指南：我們的電影懶人包，讀了小史、認識經典、分析類型、更懂了理論,https://www.kingstone.com.tw//basic/2019870140523?zone=book&lid=book_class3_oja&actid=book_class3_oja,愛德華．羅斯,原點      ,9789579072663,https://cdn.kingstone.com.tw/book/images/product/20198/2019870140523/2019870140523b.jpg
毋甘願的電影史：曾經，臺灣有個好萊塢,https://www.kingstone.com.tw//basic/2019870139114?zone=book&lid=book_class3_oja&actid=book_class3_oja,蘇致亨,春山出版  ,9789869849708,https://cdn.kingstone.com.tw/book/images/product/20198/2019870139114/2019870139114b.jpg
破曉將至：中國電影研究（1977－1979）,https://www.kingstone.com.tw//basic/2019870138032?zone=book&lid=book_class3_oja&actid=book_class3_oja,段善策,新銳文創  ,9789578924598,https://cdn.kingstone.com.tw/book/images/product/20198/2019870138032/2019870138032b.jpg
視聽之餘：香港及華語電影雜感,https://www.kingstone.com.tw//basic/2019000132282?zone=book&lid=book_class3_oja&actid=book_class3_oja,家明,突破      ,9789888562008,https://cdn.kingstone.com.tw/book/images/product/20190/2019000132282/2019000132282b.jpg
從電影中發現社會學,https://www.kingstone.com.tw//basic/2019870137370?zone=book&lid=book_class3_oja&actid=book_class3_oja,胡正文,新銳文創  ,9789578924543,https://cdn.kingstone.com.tw/book/images/product/20198/2019870137370/2019870137370b.jpg
從北齋到吉卜力：走進博物館看見日本動漫歷史！,https://www.kingstone.com.tw//basic/2019560015841?zone=book&lid=book_class3_oja&actid=book_class3_oja,李政亮,蔚藍文化  ,9789869773119,https://cdn.kingstone.com.tw/book/images/product/20195/2019560015841/2019560015841b.jpg
溫情主義寓言.當代華語電影,https://www.kingstone.com.tw//basic/2019870136878?zone=book&lid=book_class3_oja&actid=book_class3_oja,周蕾,麥田      ,9789863446651,https://cdn.kingstone.com.tw/book/images/product/20198/2019870136878/2019870136878b.jpg
跨越：文學、電影與文化辯證,https://www.kingstone.com.tw//basic/2019870136618?zone=book&lid=book_class3_oja&actid=book_class3_oja,張國慶,印刻      ,9789863872924,https://cdn.kingstone.com.tw/book/images/product/20198/2019870136618/2019870136618b.jpg
如何欣賞電影,https://www.kingstone.com.tw//basic/2019870135826?zone=book&lid=book_class3_oja&actid=book_class3_oja,安．霍納戴,啟明      ,9789869705479,https://cdn.kingstone.com.tw/book/images/product/20198/2019870135826/2019870135826b.jpg
動態影像的足跡：早期臺灣與東亞電影史,https://www.kingstone.com.tw//basic/2019870135666?zone=book&lid=book_class3_oja&actid=book_class3_oja,李道明主編,遠流      ,9789860577624,https://cdn.kingstone.com.tw/book/images/product/20198/2019870135666/2019870135666b.jpg
台灣電影變幻時：尋找台灣魂,https://www.kingstone.com.tw//basic/2019870135406?zone=book&lid=book_class3_oja&actid=book_class3_oja,鄭秉泓 Ryan Cheng,書林      ,9789574457205,https://cdn.kingstone.com.tw/book/images/product/20198/2019870135406/2019870135406b.jpg
國族音影：書寫台灣．電影史,https://www.kingstone.com.tw//basic/2019870134744?zone=book&lid=book_class3_oja&actid=book_class3_oja,洪國鈞,聯經      ,9789570851847,https://cdn.kingstone.com.tw/book/images/product/20198/2019870134744/2019870134744b.jpg
一瞬二十,https://www.kingstone.com.tw//basic/2019870133822?zone=book&lid=book_class3_oja&actid=book_class3_oja,Allen Hong、沈可尚、林怡秀,黑眼睛文化,9789869197571,https://cdn.kingstone.com.tw/book/images/product/20198/2019870133822/2019870133822b.jpg
華語電影在後馬來西亞：土腔風格、華夷風與作者論,https://www.kingstone.com.tw//basic/2019870133082?zone=book&lid=book_class3_oja&actid=book_class3_oja,許維賢,聯經      ,9789570850987,https://cdn.kingstone.com.tw/book/images/product/20198/2019870133082/2019870133082b.jpg
香港電影：額外的維度（中文增訂本）,https://www.kingstone.com.tw//basic/2019870132870?zone=book&lid=book_class3_oja&actid=book_class3_oja,張建德,香港中和  ,9789888466597,https://cdn.kingstone.com.tw/book/images/product/20198/2019870132870/2019870132870b.jpg
電影冷知識：跨越銀幕之外，我們都想探索的電影製造秘密,https://www.kingstone.com.tw//basic/2019870132030?zone=book&lid=book_class3_oja&actid=book_class3_oja,許立衡、張凱淯,創意市集  ,9789869598514,https://cdn.kingstone.com.tw/book/images/product/20198/2019870132030/2019870132030b.jpg
與電影過招：華語武俠類型電影論,https://www.kingstone.com.tw//basic/2019870131958?zone=book&lid=book_class3_oja&actid=book_class3_oja,塗翔文,逗點文創社,9789869439985,https://cdn.kingstone.com.tw/book/images/product/20198/2019870131958/2019870131958b.jpg
櫻桃的滋味：阿巴斯談電影,https://www.kingstone.com.tw//basic/2019870131828?zone=book&lid=book_class3_oja&actid=book_class3_oja,阿巴斯．奇亞洛斯塔米,自由之丘  ,9789869537872,https://cdn.kingstone.com.tw/book/images/product/20198/2019870131828/2019870131828b.jpg
定格動畫 Stop－Motion Animation（第二版）,https://www.kingstone.com.tw//basic/2019870131798?zone=book&lid=book_class3_oja&actid=book_class3_oja,張曉葉、鄭夢帥、曹雷,拓客（上奇,9789865001216,https://cdn.kingstone.com.tw/book/images/product/20198/2019870131798/2019870131798b.jpg
大佛．有抑無：劉振祥的「大佛普拉斯」影像紀錄,https://www.kingstone.com.tw//basic/2019870130876?zone=book&lid=book_class3_oja&actid=book_class3_oja,劉振祥、黃信堯,時報文化  ,9789571372389,https://cdn.kingstone.com.tw/book/images/product/20198/2019870130876/2019870130876b.jpg
圖解台灣電影史（1895－2017年）,https://www.kingstone.com.tw//basic/2019870130456?zone=book&lid=book_class3_oja&actid=book_class3_oja,葉龍彥,晨星      ,9789864433629,https://cdn.kingstone.com.tw/book/images/product/20198/2019870130456/2019870130456b.jpg
百變千幻不思議：台語片的混血與轉化,https://www.kingstone.com.tw//basic/2019870130296?zone=book&lid=book_class3_oja&actid=book_class3_oja,施如芳、鍾秀梅、蘇致亨、洪國鈞,聯經      ,9789570850239,https://cdn.kingstone.com.tw/book/images/product/20198/2019870130296/2019870130296b.jpg
她殺了時代：重訪日本電影新浪潮,https://www.kingstone.com.tw//basic/2019870129207?zone=book&lid=book_class3_oja&actid=book_class3_oja,牛頭犬/李幼鸚鵡鵪鶉/張,一人出版社,9789860523034,https://cdn.kingstone.com.tw/book/images/product/20198/2019870129207/2019870129207b.jpg
府城.戲影.寫真：日治時期臺南市商業戲院,https://www.kingstone.com.tw//basic/2019810010053?zone=book&lid=book_class3_oja&actid=book_class3_oja,厲復平,獨立作家  ,9789869430814,https://cdn.kingstone.com.tw/book/images/product/20198/2019810010053/2019810010053b.jpg
臺灣、跨國與自我的主體：日記電影研究,https://www.kingstone.com.tw//basic/2029870129770?zone=book&lid=book_class3_oja&actid=book_class3_oja,李明宇 編著,恆河出版  ,9789869024228,https://cdn.kingstone.com.tw/book/images/product/20298/2029870129770/2029870129770b.jpg
雙聲．雙身：當代電影中的分裂主體研究,https://www.kingstone.com.tw//basic/2019870125339?zone=book&lid=book_class3_oja&actid=book_class3_oja,黃資婷,秀威出版  ,9789863263876,https://cdn.kingstone.com.tw/book/images/product/20198/2019870125339/2019870125339b.jpg
數位電影製作概論（第2版）,https://www.kingstone.com.tw//basic/2019870124837?zone=book&lid=book_class3_oja&actid=book_class3_oja,丁祈方,麗文文化  ,9789577486417,https://cdn.kingstone.com.tw/book/images/product/20198/2019870124837/2019870124837b.jpg
當電影導演遇上電影理論,https://www.kingstone.com.tw//basic/2019870124677?zone=book&lid=book_class3_oja&actid=book_class3_oja,賈克．歐蒙,五南      ,9789571186443,https://cdn.kingstone.com.tw/book/images/product/20198/2019870124677/2019870124677b.jpg
中外電影永遠的巨星（三）,https://www.kingstone.com.tw//basic/2019870123755?zone=book&lid=book_class3_oja&actid=book_class3_oja,黃仁,秀威出版  ,9789863263753,https://cdn.kingstone.com.tw/book/images/product/20198/2019870123755/2019870123755b.jpg
台灣以左，亞洲之右：實驗電影的亞洲實踐與研究,https://www.kingstone.com.tw//basic/2029070016504?zone=book&lid=book_class3_oja&actid=book_class3_oja,吳俊輝編著,恆河出版  ,9789869024211,https://cdn.kingstone.com.tw/book/images/product/20290/2029070016504/2029070016504b.jpg
電影、中國、夢,https://www.kingstone.com.tw//basic/2019870123175?zone=book&lid=book_class3_oja&actid=book_class3_oja,馬森,秀威出版  ,9789863263609,https://cdn.kingstone.com.tw/book/images/product/20198/2019870123175/2019870123175b.jpg
銀幕上的新台灣：新世紀台灣電影中的台灣新形象,https://www.kingstone.com.tw//basic/2019870121331?zone=book&lid=book_class3_oja&actid=book_class3_oja,野島剛,聯經      ,9789570846454,https://cdn.kingstone.com.tw/book/images/product/20198/2019870121331/2019870121331b.jpg
在場影像,https://www.kingstone.com.tw//basic/2019070015799?zone=book&lid=book_class3_oja&actid=book_class3_oja,劉永,恆河出版  ,9789869221900,https://cdn.kingstone.com.tw/book/images/product/20190/2019070015799/2019070015799b.jpg
百年台灣電影史（第二版）,https://www.kingstone.com.tw//basic/2019870120129?zone=book&lid=book_class3_oja&actid=book_class3_oja,徐樂眉,揚智文化  ,9789862981634,https://cdn.kingstone.com.tw/book/images/product/20198/2019870120129/2019870120129b.jpg
與電影握手：藍祖蔚的藍色電影夢,https://www.kingstone.com.tw//basic/2019870119840?zone=book&lid=book_class3_oja&actid=book_class3_oja,藍祖蔚,逗點文創社,9789860455854,https://cdn.kingstone.com.tw/book/images/product/20198/2019870119840/2019870119840b.jpg
