書名,書籍網站,作者,出版社,ISBN,圖片網址
無眠,https://www.kingstone.com.tw//basic/2018540031406?zone=book&lid=book_class3_ojb&actid=book_class3_ojb,李屏瑤,逗點文創社,9789869439909,https://cdn.kingstone.com.tw/book/images/product/20185/2018540031406/2018540031406b.jpg
大井頭畫海報：顏振發與電影手繪看板（金石堂限定李安電影紀念票卡套組）,https://www.kingstone.com.tw//basic/2017830172126?zone=book&lid=book_class3_ojb&actid=book_class3_ojb,王振愷,遠足文化  ,8667106512459,https://cdn.kingstone.com.tw/book/images/product/20178/2017830172126/2017830172126b.jpg
決定版！日本動畫專業用語事典：權威機構日本動畫協會完整解說,https://www.kingstone.com.tw//basic/2019870144781?zone=book&lid=book_class3_ojb&actid=book_class3_ojb,日本動畫協會人才育成委員會,臉譜文化  ,9789862359068,https://cdn.kingstone.com.tw/book/images/product/20198/2019870144781/2019870144781b.jpg
角色人物的解剖：你寫的人物有靈魂嗎？劇本、小說、廣告、遊戲、企畫都需要的人物形塑教科書！,https://www.kingstone.com.tw//basic/2018120189886?zone=book&lid=book_class3_ojb&actid=book_class3_ojb,琳達．席格,原點      ,9789579072847,https://cdn.kingstone.com.tw/book/images/product/20181/2018120189886/2018120189886b.jpg
39步拍電影：輕鬆上手！手機也能辦到的拍片重點指南,https://www.kingstone.com.tw//basic/2019800024350?zone=book&lid=book_class3_ojb&actid=book_class3_ojb,麥特．史瑞福特,創意市集  ,9789865534042,https://cdn.kingstone.com.tw/book/images/product/20198/2019800024350/2019800024350b.jpg
漫威英雄典藏圖鑑（全新修訂版）,https://www.kingstone.com.tw//basic/2019479728177?zone=book&lid=book_class3_ojb&actid=book_class3_ojb,史丹．李、DK出版社,尖端      ,9789571087313,https://cdn.kingstone.com.tw/book/images/product/20194/2019479728177/2019479728177b.jpg
鏡頭的語言：情緒、象徵、潛文本，電影影像的56種敘事能力,https://www.kingstone.com.tw//basic/2019870141735?zone=book&lid=book_class3_ojb&actid=book_class3_ojb,古斯塔夫．莫卡杜,大家      ,9789579542975,https://cdn.kingstone.com.tw/book/images/product/20198/2019870141735/2019870141735b.jpg
哥吉拉II：怪獸之王 電影美術設定集,https://www.kingstone.com.tw//basic/2019870139794?zone=book&lid=book_class3_ojb&actid=book_class3_ojb,艾比．伯恩斯坦,尖端      ,9789571055411,https://cdn.kingstone.com.tw/book/images/product/20198/2019870139794/2019870139794b.jpg
我的職業是電影字幕翻譯師：一年翻50部電影的祕密,https://www.kingstone.com.tw//basic/2019870137790?zone=book&lid=book_class3_ojb&actid=book_class3_ojb,陳家倩,眾文      ,9789575325305,https://cdn.kingstone.com.tw/book/images/product/20198/2019870137790/2019870137790b.jpg
蜘蛛人：新宇宙電影美術設定集,https://www.kingstone.com.tw//basic/2019870137530?zone=book&lid=book_class3_ojb&actid=book_class3_ojb,雷明．傑德,尖端      ,9789571086231,https://cdn.kingstone.com.tw/book/images/product/20198/2019870137530/2019870137530b.jpg
一雙紀錄片的眼睛：影像敘事時代，人人都需要的拍片力，紀錄片導演給你的6堂必修課,https://www.kingstone.com.tw//basic/2019870136168?zone=book&lid=book_class3_ojb&actid=book_class3_ojb,陳芝安,遠流      ,9789573285373,https://cdn.kingstone.com.tw/book/images/product/20198/2019870136168/2019870136168b.jpg
場景設定創意辭海：225個故事舞台，創作靈感一翻就來,https://www.kingstone.com.tw//basic/2018110082623?zone=book&lid=book_class3_ojb&actid=book_class3_ojb,安琪拉．艾克曼、貝嘉．帕莉西,如何      ,9789861365039,https://cdn.kingstone.com.tw/book/images/product/20181/2018110082623/2018110082623b.jpg
剪接的法則：這樣剪，故事才好看！柯波拉、盧卡斯一致推崇，好萊塢剪接教父執業生涯的獨門心法,https://www.kingstone.com.tw//basic/2019870127203?zone=book&lid=book_class3_ojb&actid=book_class3_ojb,華特．莫屈,原點      ,9789869405584,https://cdn.kingstone.com.tw/book/images/product/20198/2019870127203/2019870127203b.jpg
好故事！先抓住人物內心戲：劇本、改編、續集以及翻拍......什麼樣的故事，人們願意掏錢？,https://www.kingstone.com.tw//basic/2018120179719?zone=book&lid=book_class3_ojb&actid=book_class3_ojb,山迪．法蘭克,原點      ,9789865657789,https://cdn.kingstone.com.tw/book/images/product/20181/2018120179719/2018120179719b.jpg
你走了以後，我一個人的旅程：林書宇的百日告別,https://www.kingstone.com.tw//basic/2028551705609?zone=book&lid=book_class3_ojb&actid=book_class3_ojb,林書宇,大田      ,9789861794181,https://cdn.kingstone.com.tw/book/images/product/20285/2028551705609/2028551705609b.jpg
故事的解剖：跟好萊塢編劇教父學習說故事的技藝，打造獨一無二的內容、結構與風格！,https://www.kingstone.com.tw//basic/2018120143536?zone=book&lid=book_class3_ojb&actid=book_class3_ojb,羅伯特．麥基,漫遊者    ,9789865671068,https://cdn.kingstone.com.tw/book/images/product/20181/2018120143536/2018120143536b.jpg
好電影的法則：101堂電影大師受用一生的UCLA電影課,https://www.kingstone.com.tw//basic/2019870103511?zone=book&lid=book_class3_ojb&actid=book_class3_ojb,尼爾．藍道,原點      ,9789866408694,https://cdn.kingstone.com.tw/book/images/product/20198/2019870103511/2019870103511b.jpg
實用電影編劇技巧（新版）,https://www.kingstone.com.tw//basic/2019870078109?zone=book&lid=book_class3_ojb&actid=book_class3_ojb,Syd Field,遠流      ,9789573263333,https://cdn.kingstone.com.tw/book/images/product/20198/2019870078109/2019870078109b.jpg
