書名,書籍網站,作者,出版社,ISBN,圖片網址
卡提耶－布列松：二十世紀的眼睛,https://www.kingstone.com.tw//basic/2019590007342?zone=book&lid=book_class3_okb&actid=book_class3_okb,皮耶．阿索利納,衛城出版  ,9789869938112,https://cdn.kingstone.com.tw/book/images/product/20195/2019590007342/2019590007342b.jpg
解讀攝影大師：認識他們的創作人生、觀點與作品觀看之道,https://www.kingstone.com.tw//basic/2019590007182?zone=book&lid=book_class3_okb&actid=book_class3_okb,伊恩．傑佛瑞,原點      ,9789579072724,https://cdn.kingstone.com.tw/book/images/product/20195/2019590007182/2019590007182b.jpg
世界奇觀一瞬間：得獎攝影作品背後的動人故事,https://www.kingstone.com.tw//basic/2019570117504?zone=book&lid=book_class3_okb&actid=book_class3_okb,加州科學院、容妲·魯賓斯坦,尖端      ,9789571081090,https://cdn.kingstone.com.tw/book/images/product/20195/2019570117504/2019570117504b.jpg
植田正治的寫真世界：女兒眼中的攝影家人生,https://www.kingstone.com.tw//basic/2019580024052?zone=book&lid=book_class3_okb&actid=book_class3_okb,增谷和子,原點      ,9789579072595,https://cdn.kingstone.com.tw/book/images/product/20195/2019580024052/2019580024052b.jpg
心的視界：柯錫杰的攝影美學（玖齡復刻版）,https://www.kingstone.com.tw//basic/2019500059539?zone=book&lid=book_class3_okb&actid=book_class3_okb,柯錫杰,大塊      ,9789865406134,https://cdn.kingstone.com.tw/book/images/product/20195/2019500059539/2019500059539b.jpg
浮與沉：攝影家尤金．史密斯的傳奇人生【百歲珍藏精裝版】,https://www.kingstone.com.tw//basic/2019590005928?zone=book&lid=book_class3_okb&actid=book_class3_okb,山姆．史帝芬森,原點      ,9789579072434,https://cdn.kingstone.com.tw/book/images/product/20195/2019590005928/2019590005928b.jpg
鄧南光：Beauty on a Summer Day,https://www.kingstone.com.tw//basic/2019520078367?zone=book&lid=book_class3_okb&actid=book_class3_okb,鄧南光,亞紀書廊  ,9789869654104,https://cdn.kingstone.com.tw/book/images/product/20195/2019520078367/2019520078367b.jpg
印象停格： 莎莉.曼恩攝影回憶錄（雙封面/隨機出貨）,https://www.kingstone.com.tw//basic/2019590005218?zone=book&lid=book_class3_okb&actid=book_class3_okb,莎莉．曼恩,活字文化  ,9789869460859,https://cdn.kingstone.com.tw/book/images/product/20195/2019590005218/2019590005218b.jpg
紀實之眼：史上最偉大的新聞攝影師,https://www.kingstone.com.tw//basic/2019520077605?zone=book&lid=book_class3_okb&actid=book_class3_okb,蘿拉．麥格尼,大石國際  ,9789578722194,https://cdn.kingstone.com.tw/book/images/product/20195/2019520077605/2019520077605b.jpg
攝影師的四大修練【35周年紀念版】：打破規則的觀察、想像、表現、視覺設計，拍出大師級作品,https://www.kingstone.com.tw//basic/2019500056163?zone=book&lid=book_class3_okb&actid=book_class3_okb,佛利曼．帕德遜,漫遊者    ,9789864890859,https://cdn.kingstone.com.tw/book/images/product/20195/2019500056163/2019500056163b.jpg
人生百年,https://www.kingstone.com.tw//basic/2019580020054?zone=book&lid=book_class3_okb&actid=book_class3_okb,保羅．莫柏利,立京文化  ,9789869249942,https://cdn.kingstone.com.tw/book/images/product/20195/2019580020054/2019580020054b.jpg
