書名,書籍網站,作者,出版社,ISBN,圖片網址
典藏裸體姿勢集：伊藤舞雪（限）,https://www.kingstone.com.tw//basic/2019479927617?zone=book&lid=book_class3_okg&actid=book_class3_okg,田村浩章（攝影）,台灣東販  ,9789865116071,https://cdn.kingstone.com.tw/images/restricted.jpg
脫衣姿勢集：純真女孩的甜蜜微性感寬衣瞬間（限）,https://www.kingstone.com.tw//basic/2019479927747?zone=book&lid=book_class3_okg&actid=book_class3_okg,青山裕企（攝影）,台灣東販  ,9789865116088,https://cdn.kingstone.com.tw/images/restricted.jpg
REBORN：晏人物男子寫真,https://www.kingstone.com.tw//basic/2019590008134?zone=book&lid=book_class3_okg&actid=book_class3_okg,晏人物、林家佑,尖端      ,9789571093130,https://cdn.kingstone.com.tw/book/images/product/20195/2019590008134/2019590008134b.jpg
The Darkside：晏人物男子寫真,https://www.kingstone.com.tw//basic/2019890030651?zone=book&lid=book_class3_okg&actid=book_class3_okg,張晏廷黃景,尖端      ,9789571078915,https://cdn.kingstone.com.tw/book/images/product/20198/2019890030651/2019890030651b.jpg
Elite night：晏人物男子寫真,https://www.kingstone.com.tw//basic/2019890030521?zone=book&lid=book_class3_okg&actid=book_class3_okg,晏人物,尖端      ,9789571087979,https://cdn.kingstone.com.tw/book/images/product/20198/2019890030521/2019890030521b.jpg
ESCAPE：晏人物攝影集,https://www.kingstone.com.tw//basic/2019890030071?zone=book&lid=book_class3_okg&actid=book_class3_okg,晏人物,尖端      ,9789571086613,https://cdn.kingstone.com.tw/book/images/product/20198/2019890030071/2019890030071b.jpg
終極人像攝影POSE聖經：給攝影師和模特兒的1000堂課,https://www.kingstone.com.tw//basic/2019000123327?zone=book&lid=book_class3_okg&actid=book_class3_okg,艾略特．希格爾,創意市集  ,4717702905576,https://cdn.kingstone.com.tw/book/images/product/20190/2019000123327/2019000123327b.jpg
EVERYTHING：晏人物攝影集,https://www.kingstone.com.tw//basic/2019500058037?zone=book&lid=book_class3_okg&actid=book_class3_okg,晏人物,尖端      ,9789571082134,https://cdn.kingstone.com.tw/book/images/product/20195/2019500058037/2019500058037b.jpg
完美POSE教科書,https://www.kingstone.com.tw//basic/2019530040668?zone=book&lid=book_class3_okg&actid=book_class3_okg,藪田織也、清水麻里,楓樹林    ,9789869628143,https://cdn.kingstone.com.tw/book/images/product/20195/2019530040668/2019530040668b.jpg
青山裕企妄攝私塾 偶像系女孩打造法,https://www.kingstone.com.tw//basic/2019520081510?zone=book&lid=book_class3_okg&actid=book_class3_okg,青山裕企,瑞昇文化  ,9789864014866,https://cdn.kingstone.com.tw/book/images/product/20195/2019520081510/2019520081510b.jpg
百合世界：為了描繪互相吸引的兩人的POSE寫真集,https://www.kingstone.com.tw//basic/2019560017265?zone=book&lid=book_class3_okg&actid=book_class3_okg,長谷川圭佑,更生文化  ,9789869944601,https://cdn.kingstone.com.tw/book/images/product/20195/2019560017265/2019560017265b.jpg
美少女攝影講堂：55個秒殺的可愛瞬間捕捉術,https://www.kingstone.com.tw//basic/2019530043034?zone=book&lid=book_class3_okg&actid=book_class3_okg,細居幸次郎、藤本和典,尖端      ,9789571087795,https://cdn.kingstone.com.tw/book/images/product/20195/2019530043034/2019530043034b.jpg
親子寫真速成班|教你用手機也能拍出讓親友狂按讚的美照,https://www.kingstone.com.tw//basic/2019530042952?zone=book&lid=book_class3_okg&actid=book_class3_okg,椎名トモミ,尖端      ,9789571087856,https://cdn.kingstone.com.tw/book/images/product/20195/2019530042952/2019530042952b.jpg
婚禮攝影究極指南 攝影&光線掌握實踐講座,https://www.kingstone.com.tw//basic/2019530042792?zone=book&lid=book_class3_okg&actid=book_class3_okg,安澤剛直,楓樹林    ,9789579501323,https://cdn.kingstone.com.tw/book/images/product/20195/2019530042792/2019530042792b.jpg
人像攝影反光板應用完全指南,https://www.kingstone.com.tw//basic/2019520079739?zone=book&lid=book_class3_okg&actid=book_class3_okg,萩原和幸,楓樹林    ,9789579501255,https://cdn.kingstone.com.tw/book/images/product/20195/2019520079739/2019520079739b.jpg
職人用光筆記，HASEO教你拍出超華麗夢幻人像的獨門奧義,https://www.kingstone.com.tw//basic/2019530042662?zone=book&lid=book_class3_okg&actid=book_class3_okg,HASEO,尖端      ,9789571084787,https://cdn.kingstone.com.tw/book/images/product/20195/2019530042662/2019530042662b.jpg
素人也能變網美！名師教你拍出女生絕美角度的關鍵祕訣，攝影師與妝?師必看,https://www.kingstone.com.tw//basic/2019530042532?zone=book&lid=book_class3_okg&actid=book_class3_okg,HASEO,尖端      ,9789571084176,https://cdn.kingstone.com.tw/book/images/product/20195/2019530042532/2019530042532b.jpg
自然光人像攝影超絕聖經：10位名師傾囊相授，室外&室內，天然系人像攝影奧義！,https://www.kingstone.com.tw//basic/2019530042372?zone=book&lid=book_class3_okg&actid=book_class3_okg,玄光社編,楓樹林    ,9789579501149,https://cdn.kingstone.com.tw/book/images/product/20195/2019530042372/2019530042372b.jpg
單燈人像：預視現場，用一支閃燈打出各種可能,https://www.kingstone.com.tw//basic/2019500056613?zone=book&lid=book_class3_okg&actid=book_class3_okg,張道慈,創意市集  ,9789869530583,https://cdn.kingstone.com.tw/book/images/product/20195/2019500056613/2019500056613b.jpg
偉大攝影的基礎：人物,https://www.kingstone.com.tw//basic/2019520074529?zone=book&lid=book_class3_okg&actid=book_class3_okg,亨利．凱洛,積木文化  ,9789864590872,https://cdn.kingstone.com.tw/book/images/product/20195/2019520074529/2019520074529b.jpg
人像本事：10攝影師×10美學視界×10創作風格 全面更新版,https://www.kingstone.com.tw//basic/2019500055371?zone=book&lid=book_class3_okg&actid=book_class3_okg,尼可拉斯,創意市集  ,4717702094843,https://cdn.kingstone.com.tw/book/images/product/20195/2019500055371/2019500055371b.jpg
約拍是一種態度,https://www.kingstone.com.tw//basic/2019500054169?zone=book&lid=book_class3_okg&actid=book_class3_okg,李文絕(凱因斯),金蘋      ,9789866976933,https://cdn.kingstone.com.tw/book/images/product/20195/2019500054169/2019500054169b.jpg
如何擺出好POSE3：美少女風格X外拍動作X場景應用全圖解,https://www.kingstone.com.tw//basic/2019520071023?zone=book&lid=book_class3_okg&actid=book_class3_okg,黑麵,電腦人    ,9789861994635,https://cdn.kingstone.com.tw/book/images/product/20195/2019520071023/2019520071023b.jpg
唯色｜微攝—周琨瑾的人像攝影美學,https://www.kingstone.com.tw//basic/2019530036623?zone=book&lid=book_class3_okg&actid=book_class3_okg,周琨瑾,尖端      ,9789571061658,https://cdn.kingstone.com.tw/book/images/product/20195/2019530036623/2019530036623b.jpg
青山裕企x妹妹,https://www.kingstone.com.tw//basic/2019530035701?zone=book&lid=book_class3_okg&actid=book_class3_okg,青山裕企,流行風    ,9789863061939,https://cdn.kingstone.com.tw/book/images/product/20195/2019530035701/2019530035701b.jpg
終極人像用光指南：初階到進階，完全掌握打光技巧,https://www.kingstone.com.tw//basic/2019500051243?zone=book&lid=book_class3_okg&actid=book_class3_okg,安德烈．尤恩斯,流行風    ,9789863061793,https://cdn.kingstone.com.tw/book/images/product/20195/2019500051243/2019500051243b.jpg
魅力光影：用光影決定主題人像攝影的質感與調性,https://www.kingstone.com.tw//basic/2014713412386?zone=book&lid=book_class3_okg&actid=book_class3_okg,澄果攝影學院 許毅,碁峰資訊  ,9789862769898,https://cdn.kingstone.com.tw/book/images/product/20147/2014713412386/2014713412386b.jpg
極致性感攝影2,https://www.kingstone.com.tw//basic/2019530031963?zone=book&lid=book_class3_okg&actid=book_class3_okg,極致性感攝影作者群,尖端      ,9789571053905,https://cdn.kingstone.com.tw/book/images/product/20195/2019530031963/2019530031963b.jpg
宛如煙花：主題式人像攝影美學,https://www.kingstone.com.tw//basic/2019520059465?zone=book&lid=book_class3_okg&actid=book_class3_okg,宋映周,悅知文化  ,9789865912505,https://cdn.kingstone.com.tw/book/images/product/20195/2019520059465/2019520059465b.jpg
極致性感攝影,https://www.kingstone.com.tw//basic/2019530030621?zone=book&lid=book_class3_okg&actid=book_class3_okg,宮澤正明、李莎拉、黑麵、Mark,尖端      ,9789571052557,https://cdn.kingstone.com.tw/book/images/product/20195/2019530030621/2019530030621b.jpg
幸福婚禮攝影：用照片真實記錄生命中重要的日子,https://www.kingstone.com.tw//basic/2019530030751?zone=book&lid=book_class3_okg&actid=book_class3_okg,張文姿,和平國際  ,9789866209840,https://cdn.kingstone.com.tw/book/images/product/20195/2019530030751/2019530030751b.jpg
野人大師的綺想視界：主題式人像寫真技法,https://www.kingstone.com.tw//basic/2019530030171?zone=book&lid=book_class3_okg&actid=book_class3_okg,野人大師,尖端      ,9789571052625,https://cdn.kingstone.com.tw/book/images/product/20195/2019530030171/2019530030171b.jpg
π slash無法停止凝視的胴體,https://www.kingstone.com.tw//basic/2019570100353?zone=book&lid=book_class3_okg&actid=book_class3_okg,青山裕企,尖端      ,9789571052540,https://cdn.kingstone.com.tw/book/images/product/20195/2019570100353/2019570100353b.jpg
拍出大師級人物照的完全技巧,https://www.kingstone.com.tw//basic/2019530027898?zone=book&lid=book_class3_okg&actid=book_class3_okg,羅德．艾德華,和平國際  ,9789866041570,https://cdn.kingstone.com.tw/book/images/product/20195/2019530027898/2019530027898b.jpg
