ISBN,書籍簡介
9789862359853,"


生命
	似乎被創造了
	只有自己一個人無法完成的樣子
	 
	《與希林攜手同行》對我而言是非常重要的書，一本無法寄出的「情書」。——是枝裕和
	 
	日本國民大導演與演技派國民奶奶攜手完成的唯一著作
	盡窺導演與演員的相知相惜、影視前輩對後進的無私提攜
	母親對兒子比海還深的關愛、兒子對母親的倚賴與仰望
	以及日本近半世紀電視電影文化的發展與演變
	 
	樹木希林逝世週年是枝裕和送給她的情書，三週年前夕中文繁體版登場
	近50幀的珍貴照片+導演手繪分鏡圖，獻給深愛影壇最佳拍檔的讀者 壓箱收藏
	 
	2018年6月9日《小偷家族》首映會，散場離去時，樹木希林坐在輪椅上，跟是枝裕和說：   「把老太婆的事情忘掉，把時間花在年輕人身上。我不會再見你了喔。」

	隔天起，幾次邀請希林喝茶都被拒絕。是枝驚慌失措：我還沒做好心理準備。6月24日是枝前往巴黎籌備新片，8月19日得知希林骨折術後恢復不佳，情況不樂觀；22日趕回日本，未能見到面，將親筆信投入希林家信箱，23日返回巴黎；9月15日接到希林過世訊息，立即飛回，直奔守靈處。
	 
	三個月不見的您被凜然而安詳的美包圍。
	見到您的模樣，我終於察覺，您刻意不與我見面，
	是為了讓我不過度受到失去您，及那種悲傷影響的體貼。
	我像在電影裡那個沒有血緣關係的孫女所做的，用指尖碰觸您的頭髮與前額。
	然後將您在電影裡說的最後一句話，還給棺木中的您。
	 
	回家路上，是枝想起，9月15日也是母親的忌日，眼淚奪眶而出。
	 
	= = = = = =
	 
	數日後，希林女兒邀請是枝為母親撰寫悼詞，是枝在法拍片無法出席告別式，特別商請橋爪功先生代為朗讀：
	 
	首先，為我無法在告別式上直接道別的失禮，向希林女士的家人及出席的各位致歉。最重要的是，希林女士，對不起。但是，說不定您一點也不希望我出現在這個場合，以哭哭啼啼的聲音道別。我眼前浮現出您的面容：站在我的身旁，輕輕抓住手肘處的襯衫，帶著一如往常、頑皮孩子的微笑，看著我說：
	「欸……你又不是家屬，要露出那種悲傷的表情到什麼時候啊。」
	 希林女士大我二十多歲，但我們兩人的關係，僭越地說，應該能以「氣味相投」道盡。此外，最重要的是，我們相遇的時機點很有緣。2007年，是我正要進入以母親為原型的電影《橫山家之味》拍攝準備的一年，希林女士則是在前一年失去了盟友久世光彥先生。……
	 希林女士那麼袒護我，可能的一個理由是，我從電視起家，在電影的世界裡沒有能夠倚賴的師父或前輩，覺得如孤兒般的我很可憐，因而格外掛心。
	 每次電影上映時，不是直接打給我，而是打給製片人確認觀眾的進場狀況，「那麼還能拍下一部囉！太好了太好了……。」希林女士這才放心地說。母親擔心不成材兒子的詢問電話，一直持續到現在。
	 對我而言，與您相處的時光非常愉快，但在內心某處，還是想設法彌補母親在世前，沒能陪伴親生母親的懊悔。或許，我是想以此替代、滿足那無法倒帶重來的心願。雖然從未說出口，但以敏銳雙眼觀察我心境的希林女士，想必一開始就看穿了吧。透過將母親投射到希林女士身上，一起拍電影、吃飯聊天，我才慢慢地走過母親離世的悲傷。現在，我失去了另一位母親，又得再度展開從悲傷中一步一步復原的過程。……
	 將失去母親及與您相遇聯想在一起也許不正確，但可以肯定的是，正是因為我想設法將失去母親這件事化為作品，才得以與希林女士相遇。
	 如同追趕著已啟程的您的背影，我想對棺木中的您，再重複一次我所說的最後一句話，來總結我的道別。
	 
	希林女士。
	謝謝您與我相遇。
	再見。
	2018年9月30日

▌探究她的演藝人生，將最雋永的日常留在人間
	一本無法寄出的情書，於逝世週年前夕公開
	「為什麼這麼多人無法將視線從希林女士的一舉手一投足上移開？她留給友人及觀眾什麼樣的回憶？帶來了哪些強烈衝擊？……我試著找出自己的解答。」

	2007年與希林女士相遇，到2018年過世的十二年間，是枝與希林攜手合作拍攝了六部電影、二部廣告、一集電視紀錄片，並在《SWITCH》雜誌進行六場「導演VS.演員」的深入訪談：以演戲為核心，輻射出相關的人事物，由希林半世紀的從影生涯，道出日本近五十年的影視文化、演藝生態、藝人功過及幕後祕辛。

	希林過世後，是枝無法停止思念這位母親，「能將希林談論演出的言論以書籍的形式保留下來，是件很有意義的事。」於是，他以雜誌對談內容為基底，翻閱十多年來的行事曆和拍攝日誌，回想兩人的日常互動與希林在拍攝現場的一言一行，融入自己的閱讀思考，在她逝世週年前夕，完成《與希林攜手同行》。
 
	▌電影大師V.S.靈魂演員
談演技、聊演藝圈、論人生態度、剖析細節裡的魔鬼
	這本已無法寄出的情書，記錄了他們結緣的經過、希林的表演思維及自我剖析、導演對「演員樹木希林」的觀察，以及兩人對日本老中青藝人、劇作家、導演和當紅電視電影的評價，字裡行間滿溢著亦師亦友的默契、如母如子般的深厚情誼與對自己專業領域的深刻洞見，相互激盪、彼此啟迪。溫暖導演與毒舌阿嬤，輕鬆又認真、詼諧中不失嚴謹地聊著：
 
	●誤闖演藝圈的契機、在這個魅魍魎橫行的世界如何自我定位；
	●舞台劇、電視劇、廣告及電影，在心目中的位置及功能；
	●戲約取決的標準是什麼？演出後又怎麼「自我影評」；
	●在《東京鐵塔》之前，為何在每部電影中都只願意出現一個畫面？
	●基於哪一點，不看自己的演出，也不觀賞別人的電影？
	●最佩服誰、受誰的影響最深？從哪部作品開始定下日後的戲路，讓演技大爆發？
	●為什麼第一次見面，只看到《橫山家之味》劇本第一稿就接受邀約，但拿到《比海還深》初稿時卻斷然拒絕？
	●演活老婆婆的訣竅和點子、自創邊走邊做邊說的希林式獨特表演法；
	●自備服飾道具與梳妝、超越劇本角色的即興演出，創造亮點的功力怎麼來的？
	●人類世界是什麼事都沒發生的日常組成的，如何從容地跳脫日常又回歸日常；
	●森繁久彌創意十足，教導希林怎麼觀察人，而她總是思考著如何不輸給他；
	●和久世光彥一起嬉遊電視圈數十年，究竟為何絕交，十五年後才再度合作？
	●是枝想請希林演出向田邦子的劇本，但她們卻從手帕交到拒絕往來戶？
	●最想和詮釋黑社會第一人的高倉健及全盛時期的渥美清搭檔演對手戲；
	●《小偷家族》因為出奇不意的一句話，讓只有雛型的構想獲得坎城影展金棕櫚獎？
	●與知名導演製片及藝人聖新太郎、荻原建一、深町幸男、早坂曉、安田匡裕、坂東玉三郎、小津安二郎、黑澤明、山田太一、
	   鈴木清順、原田真人、莉莉・弗蘭奇、勝新太郎、阿部寬、橋爪功、妻夫木聰、伴淳三郎、加藤治子、田中裕子、大竹忍、
	   杉村春子、永吉小百合、森光子、真木陽子、綾瀨遙、安藤櫻、松岡茉優等的互動經驗與他們的演技高下；
	以及希林最愛吃的食物、最常去的餐廳、最喜歡聊的話題、總比約定時間早到的原因、拍片幕後花絮、前後任丈夫的暗中較勁等等，有趣的日常和不為人知的真性情。
	 
▌透視對方、成就彼此
	讓每部戲像面鏡子，照映我們的內在
	樹木希林犀利有個性，她認為「自己是藝人的意識比演員更強。雖然會以演員身分演出某個角色，但我會想：『以藝人來說，我的定位是在哪裡，是怎樣的存在？』然後我會想要推翻它，把觀眾的期待帶往意想不到的方向。」
	對於導演，她t誠摯的說：「是枝先生做為一個人的魅力以及至今為止的生活歷練，我非常欣賞……我是拍片結束就把劇本扔掉的沒禮貌演員，連我都不喜歡自己，您卻不僅不討厭，還以『從這個角度來看看吧』的態度，迷人地引導我。」

	在是枝裕和眼中，樹木希林的厲害在於「我認為看透作品後，以絕妙的平衡感決定自己位置的角色塑造方式是希林女士的真本領。…&
                    
"
9789862356586,"


goen°設計負責人∕樂團Mr.Children廣告藝術總監
映画監督是枝裕和《空氣人形》、《海街日記》宣傳美術
JAGDA新人賞∕東京ADG賞∕伊丹十三賞
遊走於各種媒介和空間之中的多元創作者――森本千繪第一本繁體中文著作問世

  
日本311大地震後，七十一位歌手齊心演唱〈昂首向前走〉、〈昂首望夜空的星星〉，各店家自願貼上「目前節約用電中」標示，是誰一手策畫的？
國民大導演，是枝裕和《空氣人形》、《海街日記》的電影宣傳品及寫真書，是誰設計的？
Mr.Children樂團的《Home》專輯、松任谷由實演唱會宣傳、佳能「無反光鏡相機EOS M」電視廣告、NHK晨間連續劇《幸福鐵板燒》片頭影像……由誰創意執行的？
是她――森本千繪，日本知名設計師、藝術總監、goen°設計事務所負責人。
 
 ▌把重要的事物轉換成歌曲或顏色
 森本千繪的外公喜愛音樂，在青森縣經營裁縫工房，擺放了許多不同材質、顏色的布料，工房成為她的第一間畫室，經常用剩餘的零碎布頭玩各種拼貼；外公也教森本千繪用歌曲和顏色，記錄重要事物、傳遞心情。許多人認為她捕捉色彩的方式很奇特，跟她從小習慣同時記住一件事物的質感、觸感和顏色有關。孩提時期的生活經驗，成為森本千繪日後創作的源頭，她獨特的表現形式，總是伴隨著音樂和顏色。
  
▌在各種媒介中穿梭，搭造連結人心的溝通橋樑
 從國中起，森本千繪就立志「製作廣告，而且一定要製作趣味十足、打動人心的廣告」。武藏野美術大學畢業後，森本千繪進入日本第二大廣告公司博報堂與博報堂creative box Inc.，結識了廣告界的箇中高手，眼界大開。二○○二年，她以Mr.Children的電車車廂廣告榮獲東京ADC賞，二○○三年上市的「8月麒麟」發泡酒，是她首件包裝設計作品。二○○四年，榮獲日本平面設計師協會(JAGDA)新人賞大獎。在這段期間，她學會提案簡報的精髓，體悟廣告是「連接人心的溝通方式」。
  
 二○○七年，森本千繪離開博報堂，以「發明相遇，實現夢想，為人搭起溝通的橋樑」為目標，成立設計工作室goen°。同時身兼知名樂團Mr.Children、藝人Saly及坂本美雨等歌手專輯的平面設計，也擔任過廣播節目主持人、知名雜誌《廣告評論》編輯設計，創作兒童繪本，甚至與建築家如隈研吾攜手都市空間企畫，遊走於各種媒介和空間之中，是個能量十足的多元創作者。她和名導演是枝裕和是「好鄰居」，也是工作上的協力夥伴。《空氣人形》、《海街日記》的電影宣傳品、寫真集等平面設計，都由她操刀，細膩地運用視覺與媒材，塑造出獨特的氛圍。設計師佐藤可士和與森本千繪在博報堂短暫共事，直言她是「讓我見識到女性創作者可能性的重要人物」。
  
▌從他者的想法中，找出自己的原創
 日本平面設計師協會會長勝井三雄，在新人賞大獎上讚譽森本千繪：「以一種前所未有的步伐前進。她的作品帶有一種多元交流的特別風格，而她在策畫階段就和團隊成員一起創作。與其說要從作品中得到什麼提示，不如看清一個事實，她利用了人的資源，完全超越了個體的界限。」
 多才多藝、心思細膩的森本千繪，在這本書中無私地分享她如何走到今天，以及經手過的重要作品；有奉行不渝的原則和信念、有蓄積能量的日常鍛鍊、有創意發想前的思索，有執行專案的行動計畫等。森本千繪希望透過這本自白式的散文筆記，觸動讀者的五感，從字裡行間去尋找出適合自己的方法，找到屬於自己的原創：

一直以來，我的作品都是希望能夠感動人心，
或是希望鼓舞人們起身行動，搭起人與人之間的橋樑，
尋找潛藏在各角落的各種可能性。

"
9789864800759,"


《七龍珠》、《進擊的巨人》、《機動戰士鋼彈UC》、《魯邦三世》、《新世紀福音戰士》……
11部超級動漫，耳熟能詳的神曲、配樂「曲式構成╳音樂理論╳風格營造╳音樂示範」徹底剖析！

	為何動漫音樂都很洗腦、渲染力很強？
	動漫音樂有什麼共通的特殊性？

	動漫歌曲不同於一般歌曲，是為動畫而製作的音樂。
	歌曲的使命就是用音樂傳遞作品的世界觀、價值觀、故事……，抓住觀眾的目光。
	本書以動漫音樂如何傳達整部作品的世界觀、深植人心的關鍵為書寫出發點，
	徹底解說曲式構成、和弦進行、旋律、節奏、音色分析及各種理論技巧，帶你深入二次元音樂的堂奧。

本書收錄的動漫歌曲及重點技法
	〈麵包超人進行曲〉依循基礎音樂理論的「正義」作曲技巧……《麵包超人》
	〈StarRingChild〉在公式上增加點綴的細膩和聲技法……《機動戰士鋼彈UC》
	〈殘酷天使的行動綱領〉利用拉丁風節奏與AOR音色帶來音色刺激……《新世紀福音戰士》
	〈魯邦三世主題曲78〉讓大人也不禁讚嘆的高段律動製造法……《魯邦三世》
	〈你不知道的故事〉傳達「青春」永無止境的感傷音色製造法……《化物語》
	〈魔訶不思議ADVENTURE!〉名符其實的異想天開曲目構造法……《七龍珠》
	〈紅蓮的弓矢〉善用轉調法，呈現如怒濤般進擊的曲風……《進擊的巨人》
	〈惡之華〉前衛搖滾式的組曲作曲法……《惡之華》
	〈only my railgun〉巧妙的副歌節奏與轉調帶來的獨特戲劇性……《科學超電磁砲》
	〈暴風雪〉使人聯想起軍歌的五聲音階與民謠風節奏的奇妙……《艦隊Collection-艦Colle-》
	〈LION〉兼容緊張感與安定感兩大極端的流行歌傑作……《超時空要塞Macross F》

	【日本讀者書評】
	這本書詳細地分析出名曲賣座原因及和弦進行、旋律等特徵要素。從事作曲一定要看！
	本書內容解析相當精闢，資深作曲人或善於曲式分析者也會有裨益！期待出版續作

"
9789869894111,"


★長踞亞馬遜書店藝術和創意啟發類書籍前茅★
	★海外版權銷售超過8個國家，當代最受矚目的「現象級」首席藝評家，首次出書★
	★所有創意工作者，都必須放在床頭的一本書，for藝文界的心靈雞湯★


	普立茲藝評獎得主、社群追蹤人數50萬+的《紐時》資深專欄作家，
	第一本完整收錄關於「藝術」與「藝術家」的63個守則與體悟。
	寫給所有徬徨茫然的作家、畫家、攝影師、表演者、音樂人……，
	和「對人生充滿問號」的任何人；因為成為藝術家，或許是困頓人生的最佳解方。

	從藝術學院休學生，到長途卡車司機，最終，成為當代最有影響力的藝評家；
	大家都想問，他是如何辦到的？

	「誠實面對自己、坦承弱點，才能堅定且無所畏懼；
	如此，即便繞一個彎，也才能持續站在所愛的事物上。」
	這就是薩爾茲放下畫筆後，卻仍有勇氣重起筆桿的原因，
	因為無論如何，他都無法放棄對於藝術的狂熱！
	只要不放棄所熱愛的事情，堅持做下去，體內的潛能基因就一定會被啟動！

	道理簡單，人人都懂，卻不是人人都做得到，
	因此需要這本書推一把（或打一個耳光）。
	來吧！

＃開始做，就是藝術家。
	我們，都是安迪沃荷的小孩，尤其是Instagram的世代。其實，在精心布置IG塗鴉牆排序、仔細選擇每張照片濾鏡、喬好每張拍照角度時，就已經是一位藝術家了。藝術，無所不在。在這個視覺思考的時代，隨時都可以「創作」，只要開始做就可以了。

＃不要擔心作品是否「合理」。
	藝術就像鳥鳴，可以忽長忽短、可以抑揚頓挫、可以尖銳低沉，即便我們聽不懂鳥語，還是能感受到鳥鳴的美妙；所以，即使無法詮釋創作的箇中含義，一切仍皆能左右人的情緒與感知。只要，這是發自內心的東西。

＃講述自己的故事，就很有趣。
	但也不要只因為講了自己的故事，別人就非得給掌聲不可。仍要努力吸引觀眾，且別期待只靠一件有趣作品就獲得掌聲。一步一步慢慢來，且要樂在其中；即便是虛構編造，也得讓作品看起來「真的」是自己的東西。

＃放開心胸，仔細看。
	所謂的「仔細觀看」不是盯著看，而是讓自己打開心眼，陶醉其中。抱持這種開放態度，周遭世界就會變得更開闊豐富；只要放開心胸，就能對舉目所見的各種小事，有所感悟。從這種角度觀看世界，便可擺脫絕望。

＃準備好過窮日子。
	只有1％之中的1％之中的1％的藝術家，能靠著販賣作品而致富。人人都在掙扎，但透過藝術，即便處於「這場」掙扎中，也能探究世事，使心靈更為澄澈，得以看透階級和社會不平等其他問題。儘管藝術家生活艱難，卻從未見過後悔當藝術家的人。

＃「批評」是滋養創作的沃土。
	批評是一把溫柔的雙面刃，有時，遭受批評的人說不定絲毫不覺得自己受傷！與掌聲相比，或許可以從噓聲中學到更多。作品中最讓人不舒服的特質，通常恰好是你應該要培養的特質。把它們從邪惡軸心上推得夠遠，才能轉換成美好的特質，長出花朵。

	無一例外，每個人都會遇到瓶頸，尤其對藝術創作者而言，更是經常發生。因此，藝術家們需要一本專為藝術家撰寫的「解惑指南」。本書是作者成為藝評家的心得筆記。他發現不論是作為一名畫家，或文字工作者，其道理都是相通的，並不會因為創作媒介不同而有所改變。

	若想以藝術家作為正職，「如何生存」就變成不得不面對的問題。這樣的轉變，也意謂者原先的藝術「世界」變成藝術「市場」。而如何保持創作初心，讓自己成為一位「不是藝術家的藝術家」，是本書不斷周旋、討論的核心。在書中，作者提供實質的建議、無形的過往經驗談，希望能幫助每一位想成為藝術家的人，皆能美夢成真。甚至讀到最後會發現，原來擁有一顆「藝術思維」不但能帶來創作靈感，還能為人生解惑，想通很多過去曾經困惑的生命難題。

本書特色

	1. 啟發新手靈感、幫助老手突破瓶頸，同時適合藝術業餘愛好者和已出師專家閱讀。
	2. 文字精簡洗練、點到為止卻精闢十足；不用按照順序閱讀，隨手一翻都會心有戚戚焉。
	3. 收錄超過60張歐美近當代藝術作品，一併認識在台鮮少被介紹的歐美當代藝術家。
	4. 不想成為藝術家也能讀！許多突破創作瓶頸的方法，其實和突破人生瓶頸的方法雷同。

	若想要以藝術家作為正職，「如何生存」就變成不得不面對的問題。這樣的轉變，也意謂者原先的藝術「世界」變成藝術「市場」。如何在保持創作初心，讓自己成為一位「不是藝術家的藝術家」，是這本書不斷周旋、討論的核心。在這裡，作者提供實質的建議、無形的過往經驗談，希望能幫助每一位想成為藝術家的人，都能美夢成真。

"
9789869615532,"


拮据窘迫會比一份自食其力的工作吞噬掉你更多創作時間！


	當創作靈魂被召喚後……
	做你所愛、錢就會來？
	但有時候……錢來得會比較慢，貧困窘迫卻常在。
	「找份謀生正職吧！」你會討厭這句話……
	但足夠支持生活所需的工作，卻可以為你掙出更多創作的餘裕！

	「無論你能做什麼、或夢想自己能做什麼，就開始吧。膽識中蘊含著天賦、力量和魔法。」——歌德

	藝術家都很窮，人家都這麼說。

	就算有人曾對你說：「你是天生的畫家……」或者耳邊常有聲音召喚：去畫、去寫、去跳吧……你還是會摀住耳朵假裝沒這回事，因為你不知道該怎麼回應、或者真去做了，生活會不會很悲慘？你知道自己正在錯過不該錯過的天賦……

	是否可以不再以扭曲的姿態去適應那些讓自己靈魂受苦的職業，好好發揮自己的才華，在創作路上，處變不驚？本書作者以其自身經驗，提出令人耳目一新、又可以實踐的建議：

	．找份能餬口的正職（第二天賦）：一份正職可以換得自由與尊嚴，想想什麼樣的正職可以不會勉強自己、出賣靈魂！

	．與錢和平相處：別拿「我是數字白痴，我是藝術家」那類藉口來搪塞。簡單的加法、簡單的收支平衡，就能買到更多自由！

	．建立健康、嚴格的工作紀律：不要以為「熬夜等待靈光乍現」是創作者必然的生活型態。就是「去做」而不是「空等」，靈光通常是在實踐的過程裡以另一種面貌出現。

	．常常激勵自己：請謹記「藝術家之路是要尋找愛的路徑，而非恪守義務之道」。

	接受召喚成為藝術家，是一份難得、美妙，不會在其他人身上複製重現的祝福與眷顧。「人間天堂是你必須做出的選擇，而不是你必須找到的地方。」本書提供你在匯聚勇氣、做出選擇的創作路上，不會沒了理智、斷了生計，或是迷失方向，過著真心想望的人生。

"
9789579164856,"


（限量全彩版）
 誠品藝術設計類排行榜暢銷書、《商業周刊》Alive專題報導，
 台藝大指定參考用書，
 世界經典作品來臺展出，觀眾都帶這本進場。

  

◎莫內、雷諾瓦的創作，為何當年是不入流的「下等」主題？
◎一個小便盆竟變成大師傑作？故意來亂的竟然價值崇高，道理何在？
◎明明5歲小孩都畫得出來，為什麼盧梭是大師，我家小孩的畫就不值錢？
◎印象派到底是美得讓你超有印象？還是模糊得讓你留下壞印象？
◎畢卡索的畫明明很難辨識，為什麼他堅稱自己「從不畫抽象畫」？
◎一堆磚頭，為什麼值得讓一個國家級美術館浪費大筆公帑？

 為什麼這些現代藝術與當代藝術，能從原本飽受大家惡劣批評，變成名留青史的作品？

 而且還很貴！

 作者威爾‧岡波茲是英國BBC藝術總編，
 紐約《創意》（Creativity）雜誌，近年票選岡波茲為全球前50名頂尖創意人士。
 他自編自演了一場單人脫口秀，於愛丁堡藝術節締造完售票房佳績。
 他用戲謔又不失正經的藝術故事，讓你笑著明白──
 這150年來的現代藝術發展，是有脈絡的，絕非無厘頭或是純商業炒作。

讀完本書，你會知道：

 ‧哪個畫派拆了貴族畫室和真實生活的牆，讓畫家從此走出戶外？
 ‧為什麼塞尚會說：「眼睛看到的，不是為了相信，而是為了提出問題」？畫家看世界跟你哪裡不一樣？
 ‧畫壇也有蘇珊大嬸，盧梭40歲才開始培養週日下午畫畫的嗜好，為何能晉升大師？
 ‧為什麼有些名畫尺寸越來越大，如秀拉，有些卻越畫越小？

你可能不知道，現代藝術中的各種流派雖然各有主張、風格迥異，其實是個一脈相承、無法切割的精采故事：

 ◎包浩斯講究簡約、品味的現代主義，近百年後的今天仍大受歡迎，達達主義藝術家為什麼反對？（他們什麼都反，所以叫做達達）

 ◎達達藝術融入了精神分析學家佛洛伊德的潛意識理論，催生了超現實主義；達利的畫讓你毛毛的嗎？還有誰的畫讓你看了驚悚？可能就是超現實喔。

 ◎古根漢的美術館、美國最偉大畫家波洛克，還有你一定看過卻不知道的羅斯科作品，為什麼都叫做「抽象表現主義」？為什麼這些藝術家多半是憂鬱的孤獨英雄？

 ◎普普藝術超簡單，你一定也會，只要準備剪刀、糨糊和雜誌，不然用過的香水瓶也行。安迪沃荷為什麼這樣也能成為大師？

 ◎後現代主義的作品充滿影射和嘲諷，千萬別相信你第一眼看到的東西。如果你感覺被騙，那通常就是……

 而這些看似不食人間煙火的藝術，又是如何融入你我的生活之中？
 原來，從iPhone機殼到聖羅蘭時裝，從桌燈、座椅，
 甚至經典建築施洛德之家、芝加哥摩天樓群……
 這些設計，其實都源自於現代藝術──
 新造型主義、包浩斯、抽象表現主義、普普藝術、達達主義、極簡主義……

 本書涵蓋27個大小流派，重要藝術家超過100人，作品照片共135張，
 不只如此，還為非藝術、設計背景的讀者製作了：
 〈現代藝術流派關係圖〉、〈各流派大師藝術主張一覽表〉，
 讓你聽完故事，就看懂現代藝術！

"
9789869859295,"


●約翰．伯格《觀看的方式》的21世紀更新版！
	●在當今這個攏絡想像力的混亂世界中，揭開21世紀當代藝術中權力迷霧的重要之作！
	●藝術是否依然具有力量？文化是否還可當作武器？

	你是否在城市街頭看過以文字與圖樣奪人眼球的塗鴉創作？塗鴉以明目張膽的越矩行為，表達對城市的聲音。然而當塗鴉藝術出現在商業廣告、政府甚至為了抑止塗鴉而指定一個合法創作區域，大家逐漸忽略塗鴉本質概念中的顛覆性格，我們又該如何看待自己熱愛的塗鴉藝術？

	在當代，一個藝術展覽、一場行動主義運動，甚至是一本刊物的誕生，背後往往隱含著諸多難以說清的政治、金錢、權力之間等等複雜關係，我們如何拆解藝術與行動主義運動之間暗藏在多方的角力？這是我們理解當代藝術的一個重要角度。

	二〇〇九年，美國的藝術家傑瑞米．戴勒（Jeremy Deller）以藝術創作計畫《就是這樣：開講伊拉克（It is What it is : Conversation about Iraq）》，將一部分的伊拉克戰爭帶到美國。他與退伍軍人、伊拉克難民藝術家，帶著一輛在巴格達攻擊中炸毀的廢棄汽車，從紐約巡迴到洛杉磯，沿途展開對話，讓公眾對擁有一場經驗性、而非僅只是說教式的邂逅。人們會在參觀後談起自己與戰爭的經驗：退伍軍人訴說著路邊的炸單、在基爾庫克（Kirkut）的戰鬥，以及歸鄉後的抑鬱症；軍人的伴侶、雙親會說起自己的親人；伊拉克人、阿拉伯人和黑人穆斯林談論起自身的恐懼——來自於反恐戰爭期間對伊斯蘭教日益嚴重的偏執情況。然而，這是「藝術」嗎？還是「行動主義」呢？這其中政治立場又是什麼？

	先會觀看，才能辨識，進而才能提出評價。作者納托．湯普森身為當代藝術表現形式的捍衛者、美國當下最受讚譽的年輕策展人和藝評家之一，致力闡述投入藝術和行動主義的藝術家們，該如何看穿當代藝術的意義、其中的權力關係，以及在滲透進藝術中的資本主義邏輯，藝術家要如何找到自己的聲音，並做出改變？他從當今活躍的藝術家與行動主義者的一些最創新有趣作品，與那些賦予社群去觀看且重新想像權力的實驗場，展開了一場別開生面的討論。

	二〇一〇年代左右起，世界各地陸續發生多場社會運動，從「阿拉伯之春」、「歐洲夏季」、「占領華爾街」，再到之後台灣的「318太陽花運動」、香港的「和平佔中」，從這些運動中皆可看到當代藝術介入社會與政治的痕跡。《觀看權力的方式：改變社會的21世紀藝術行動指南》正是試圖帶領我們揭開當代藝術與權力交纏不清的迷霧，對藝術介入政治的方式與藝術世界中的權力關係進行思辯。

	唯有我們能夠掌握「觀看權力」的方式，才能正視權力中的複雜性，並找出超越的可能。

"
9786263100206,"


約翰．伯格最長銷藝術評論經典作品！
探究我們如何觀看藝術和世界的方式，
最精練又最具衝擊性的經典視覺藝術之作。
	 

觀看先於言語。孩童先會觀看和辨識，接著才會說話。

	▌藉由觀看，我們確定自己置身於周遭世界當中；我們用言語解釋這個世界，但言語永遠無法還原這個事實：世界包圍著我們。我們看到的世界與我們知道的世界，兩者間的關係從未確定。

	▌我們的知識和信仰會影響我們觀看事物的方式。當我們能夠觀看之後，我們很快就察覺到我們也可以被觀看。

	▌當影像以藝術作品的方式呈現時，我們觀看它的方式，就會受到我們所學習的一整套藝術看法的影響。

	 

	約翰．伯格《觀看的方式》強調「形式」和「論點」兩者同樣重要，試圖引發讀者質疑與探究我們是如何觀看繪畫……這無疑將改變讀者觀看圖像的方式。

	 

	全書雖以章次為名，但讀者可以隨自己喜好以任何順序閱讀。其中四章由文字和圖像構成，另外三章則只有圖像。由圖像構成的章節，主題分別為觀看女體的方式，以及油畫傳統中的各種矛盾面向，雖然沒有文字，但它們企圖提出的問題並不下於有文字的篇章。在這些圖像篇章裡，作者有時不提供任何相關資料，因為擔心這類資訊可能會分散讀者的注意力，干擾圖像正在傳述的意旨。

	 

	本書初版於一九七二年，以BBC的同名電視影片為基礎加以延伸，是所有談論藝術的書籍中，最發人深省也最具影響力的經典作品，直到今日，其啟發讀者如何觀看藝術作品的入門地位依然不變

"
9789865116446,"


	所謂的像素，指的是螢幕上的最小單位「像素（Pixel）」，而像素藝術即是以這個最小單位描繪而成的平面作品。
	對於喜愛、曾經歷過70～90年代遊戲的人來說，「點陣圖」這個詞或許更令人熟悉。由於當時的螢幕畫面色彩數與解析度有限，角色與風景又必須描繪在8×8或16×16的圖像單元內，因此在美術表現上發展出了獨特的技法。
	儘管現在的硬體技術日新月異，進化成了高解析度的3D畫面，以像素為基礎的平面圖像成了「舊時代」的產物，但過時的科技轉化成了藝術，像素的表現手法在懷舊的情懷下形成獨樹一格的藝術類型，透過網路催生出更多自由多樣的作品。
	本書將日本國內外48位主要藝術家的作品集結成冊，透過這些作品、訪談與評論，統整了2010年代後期的像素藝術與其文化變遷，值得細細品味。

	●全台唯一講解像素（Pixel）藝術的專業書籍
	●收錄48位像素藝術家、超過300張作品

"
9789869197731,"


	《藝術松》（ARThon）的創刊號以「虛擬實境」（Virtual Reality）為主軸命題，廣邀台灣相關領域對虛擬實境有深入涉獵的專家學者，從哲學、美學、虛擬藝術創作、產業、個案研究、訪談等不同視野與面向切入，探究虛擬實境的多元可能性。
	《藝術松》是財團法人數位藝術基金會《數位藝述》系列（2011年～2015年）精神的延續，作為台灣數位藝術相關知識生產的新園地。藉由台灣數位藝術中心的民間機構力量，創辦藝術松學校影音導讀、Podcast與期刊出版，引薦更多數位藝術的當代思潮。我們強調，數位藝術（或科技藝術、新媒體藝術）不單是科技創新，更不僅是科技展示，更重要的是藝術實踐與人文思潮的齊肩並進，讓實踐與理論、研究平衡發展，共築論述與實踐的共構平台。

本書特色

	站在此創新藝術實踐浪潮的2020，本《藝術松》（ARThon）的創刊號便以「虛擬實境」（Virtual Reality）為主軸命題，廣邀台灣相關領域對虛擬實境有深入涉獵的專家學者，從哲學、美學、虛擬藝術創作、產業、個案研究、訪談等不同視野與面向切入，探究虛擬實境的多元可能性。

"
