ISBN,書籍簡介
9789864086825,"


日本的藝術祭、美術館企畫展等活動經常吸引大量人潮參與，
你知道舉辦展覽通常會賺錢或賠錢？欣賞的過程舒適愉快嗎？
集結羅浮宮等知名博物館館藏的「某某美術館展」真的能看到一流的傑作嗎？

【好評推薦】
	王俊傑／臺北藝術大學新媒體藝術學系教授
	林育淳／台南市美術館館長
	梁永斐／國立臺灣美術館館長
	Miho／旅日文字工作者&「東京、不只是留學」版主

	欣賞藝術展覽在近幾十年來對大眾來說已不是奢侈而遙遠的娛樂，美術館也成為策展人或學藝員展現豐沛想法與研究成果之競技場。即使是同樣的藝術作品，在不同展示場地、隨著燈光照明、陳列或展覽主題的差異，也可能帶給觀者嶄新的感受或刺激。

	在看展風氣日漸興盛的這個時代，只要曾在日本的美術館欣賞過知名藝術家的展覽，多少都有人潮擁擠到很難從容觀賞的經驗。展覽數月期間突破五十萬入場人次的例子時有所聞，乍看似乎這是個喜愛藝術的國家，但細究日本各美術館的年度總訪客數，與羅浮宮、紐約大都會藝術博物館、倫敦大英博物館這些動輒超過五百萬人次的世界級博物館相較卻又少的多。

	因為日本的展覽多為由報社主辦、跟美術館租借場地的企畫展，而不像歐美主要是以館藏吸引遊客的「常設展」。像這樣媒體主導的狀況顯現出日本美術館展覽的特殊性，不但經常要花費巨資商借作品，也讓日本美術館的學藝員難以發揮所長。而過度依賴「某某美術館展」吸引人潮、確保營收的同時，也容易因為沓雜的人潮犧牲了參觀品質以及對國內人才的培養。

	作者曾擔任過展覽企畫，負責向外國的美術館借調藝術品或將日本畫作推廣至外國展出，亦曾任藝術記者，故能在探究博物館的本質、學藝員的職責外從更多角度介紹日本的美術展覽特性及其「不健全的實情」。包括與歐美美術館運作之差異、門票價格背後的成本與相關單位利益關係等，也介紹了雙年展、三年展這類現代藝術祭的發展、變化，並推薦值得去參觀的美術館。希望藉由揭開展覽的幕後情形，讓藝術愛好者對這個產業具有更宏觀的理解，並造就有更多優秀美術館與展覽的環境。

"
9789864086290,"



金石堂強力推薦書 !

		 

第一本徹底介紹美術館的數位行銷策略專書
社群帳號追蹤人數和觀展人數都高居日本美術館之冠，
日本當代藝術重鎮森美術館如何運用數位工具吸引觀者與傳達理念？

好評推薦
		何承育／勤美璞真文化藝術基金會執行長
		林平／臺北市立美術館館長
		駱麗真／台北當代藝術館館長

		2018年在日本國內美術館舉辦的展覽，參觀總人次前兩名都被森美術館一舉拿下，當代藝術一向給人較難親近和理解的印象，為何以當代藝術為展覽主角的森美術館，能超越深受日本人喜愛的梵谷、葛飾北齋等經典人氣畫家之大型企畫展的人次呢？秘訣就在數位行銷的運用精準度。

		在網路時代經營社群必然會面臨「如何增加追蹤人數」、「如何增加『讚』或『轉推』」、「如何才能夠讓組織理解社群網路的重要性」等問題，但最終成效，仍是「是否能喚起用戶願意起身前來美術館這座實體空間」，將網路人氣化為實際上的來客數這件事。因此，發文時必須思索受眾需要的究竟是什麼樣的內容。

		本書介紹森美術館經營SNS（社群網路服務）時的關鍵核心策略，包括針對IG、推特、臉書等社群媒體的不同特性與受眾進行分析以找出適合的推廣方式、舉辦過的各式展覽運用的行銷手段與效果分享，以及為何在向來不允許拍照的日本美術館界，他們卻領先並致力於讓展覽開放拍攝、鼓勵觀者上傳發文背後的思考等。

		森美術館是位於東京六本木的森塔最上層，以「打造多采多姿的社會，在生活隨手可得之處都能夠享受藝術」為宗旨的當代藝術推廣重鎮，曾舉辦叫好叫座的各種重量級展覽，例如「村上隆 五百羅漢圖展」、「塩田千春 撼動的靈魂展」等，藉由書中詳細的案例分析說明，除了能了解現代展覽如何運用數位工具推廣的第一手資訊，更有許多對社群網路本質的思索與珍貴實務建議。

		------
		東京六本木一直是我心中的理想的街區，藝文、生活與經濟商業的綜合體，對未來充滿無限活力與動力。作者任職於森美術館，成功推廣許多展覽。他觀察與類比國內外藝文場所、甚至是其他商業體系，不畫地自限。以「文化性貼文」純粹介紹、分享藝文、進行提案與建議、掌握網路使用者心態、認真觀察與製作，兼顧了基本態度與實用技巧。

		森美術館長期深耕社群，懂得靈活運用趨勢、嘗試新技術與工具、以現場第一線客服人員回饋的態度，把每一位網路群眾當作一位單獨的客戶、而非集合體來服務與回應。也正如此，回應了森美術館的成立初心、對於國際與時代性的使命，一路走來始終如一。當代藝術需有人欣賞、感動大眾，才具價值。對於藝文工作者，是一本很值得參考的行銷實戰作品！。──何承育／勤美璞真文化藝術基金會執行長


		森美術館以小博大，在網路時代理解經營SNS的本質，以民間機構創造當代社會影響力。面對疫情，數位科技指向博物館營運的未來挑戰，是危機，也蘊含轉機。唯有掌握人心，創意思考與科技才是王道。──林平／臺北市立美術館館長

		本書以社群與觀眾的角度來思考展覽如何被觸及、閱讀到，並與群眾產生互動。經由數據與重要案例，一步步帶領讀者了解分眾與精準行銷、集客與數位行銷之間的關係，其中羅列的工具新穎實用，所舉展例也都精彩有趣，是近年來藝術經營管理者不可不讀的的重要工具書。──駱麗真／台北當代藝術館館長


	 

"
9789577638649,"

Kotler 老爺容稟，Diggle 祖師爺有令，With the“Arts”it，s different”向「該死的」行銷4Ps說再見！全球華人首本「藝術行銷」專著，隆重問世探索「藝術行銷」奧秘、跳脫「傳統行銷」思維，藝術行銷工作者的根本修煉，就從本書開始！藝文活動與商業唱和，很庸俗？積極主動行銷，是「沿街叫賣」？會讓您覺得尷尬？藝術行銷工作，是「天使」的工作。本書，為您寫下地久天長的「藝術行銷觀」當我們為觀眾找到節目，讓觀眾在劇場放下「問題」，帶走回味一生的美好，我們的頭上就有光環。藝術行銷工作，不只是為了賣票、找觀眾，更是為了協助觀眾解決他們的人生問題！這是夏學理教授與五南合作的第１０本藝術/管理/文創專書，集結兩岸藝術行銷產學悍將，合力讓「藝術行銷」大於「藝術 + 行銷」！本書除釐清藝術行銷核心概念，更手把手地帶您實際操作行銷規劃、觀眾調查、觀眾發展，是藝術管理學習者與專業工作者的必備寶典。特以本書，向藝術行銷先行者Keith Diggle致敬，是他在舊時代的挺身而出、振臂高呼：With the“Arts”it，s different！才讓藝術行銷抬頭挺胸地走向康莊大道。藝術行銷祖師爺Keith Diggle的典範觀點，遠遠勝過其他「插花型」的藝術行銷出版物。世人必須認清，「藝術」的行銷，絕不是一般的商品行銷所能駕馭！如果您是：● 策展人，想借鏡北京故宮的跨領域展覽經驗● 劇目製作人，想從音樂劇《貓》學習多元行銷方案● 音樂推手，想透過中國境內規模最大的音樂廳了解如何進行整合行銷● 藝術教育負責人，想知道什麼是最夯的三位一體「廣大模式」藝術無限好，推廣很殘酷；藝術行銷讓您不再佛系售票！
                    
"
9789869468039,"


可遠觀也可近看，瞬間印象竟成為永恆之美。


	☆手上美術館──好看、好懂又好帶，你的隨身藝術導覽員
	☆很會說畫、解畫的韓國藝術導師
	☆一生必看的100幅畫、一定要認識的36個藝術大師
	──從此看展不再走馬看花、徒留遺憾！

	看竇加〈舞蹈課〉等經典畫作，真實捕捉美的一剎那
	由舊火車站改建的奧塞美術館，展示了莫內、雷諾瓦、竇加、塞尚、梵谷等勇於顛覆傳統的畫作，幾乎囊括了19世紀中到20世紀初最輝煌的作品。

看這些畫家挑戰常規，創造不一樣的視覺體驗
	◈馬內〈草地上的午餐〉批判體制，表現另類真實。
	◈莫內〈魯昂大教堂〉連作，抓住一瞬即逝的光影。
	◈秀拉〈馬戲團〉精密排列色點，原來藝術也可以很科學。
	◈梵谷〈隆河上的星夜〉用扎實筆觸畫出內在風景。
	◈竇加〈謝幕〉以奇異視角，特寫一點也不尋常的日常。

本書特色

	1.手上美術館──好看、好懂又好帶，你的隨身藝術導覽員
	本書彷彿你的隨身導覽員，以CP值最高的方式，讓你一次看懂100幅名畫&36個藝術大師，不論是行前準備、現場按圖索驥，都能不留遺憾、滿載而歸！

	2.「韓國藝術導師」最具親和力與魅力的「說畫‧解畫」書
	完全沒有藝術基礎與藝術天分的人，也能愉快讀完本書，建立大方談藝術的自信。

	3.內容分類與文字版面，易讀美感與藝術質感兼具
	依館區、年代、重要藝術流派分門別類，以一頁圖、一頁文的方式依序介紹100幅名畫，便於讀者親近大師經典，沉浸藝術之美。

"
9789869468046,"


這座「人民」的藝術殿堂，盡是人生百態，
不論是揭露或隱藏、謊言或真相
	 

	☆手上美術館──好看、好懂又好帶，你的隨身藝術導覽員
	☆很會說畫、解畫的韓國藝術導師
	☆一生必看的100幅畫、一定要認識的50個藝術大師
	──從此看展不再走馬看花、徒留遺憾！

	封面畫作乃鎮館之「醜」，為什麼每年都能吸引這麼多人特地前來觀賞？
	這座頂級藝術殿堂的設立宗旨，是為了讓無法收藏經典藝術作品的市井小民，無須任何花費，就能一親名畫與大師芳澤。最棒的是，不只英國民眾，任何造訪倫敦的旅客都能免費參觀。

	館藏畫作從古典到前衛，風格多變，隨你審美醜、解畫謎，傳遞各色人生故事，也傳承一部橫跨13-19世紀的藝術史。

	欣賞畫作，不只看技法與形式，更要看出隱身於後的「人」與「故事」
	◈即使拿著放大鏡看〈阿爾諾非尼夫婦像〉，任何細節都毫無破綻，連畫家本尊也藏在細節裡。

	◈達文西畫了兩幅幾近相同的〈岩間聖母〉，分別收藏於倫敦國家美術館與羅浮宮，你可知如何分辨？

	◈世界第一幅真人大小肖像畫〈大使〉，處處都是「象徵」與「寓意」，看畫時小心被一顆暗藏的骷髏頭嚇到。

	◈恪守宗教的西班牙史上第一幅裸體畫〈鏡前的維納斯〉，可說是男性眼中最佳美女形象，卻曾遭人以尖刀刺傷！

	◈為什麼梵谷的〈向日葵〉畫的是花，也不是花？燦爛黃色說的是死亡，而不是生命？

本書特色

	1.手上美術館－－好看、好懂又好帶，你的隨身藝術導覽員
	本書彷彿你的隨身導覽，以CP值最高的方式，讓你一次看懂100幅名畫&50個藝術大師，不論是行前準備、現場按圖索驥，都能不留遺憾、滿載而歸！

	2.「韓國藝術導師」最具親和力與魅力的「說畫‧解畫」書
	完全沒有藝術基礎與藝術天分的人，也能愉快讀完本書，建立大方談藝術的自信。

	3.內容分類與文字版面，易讀美感與藝術質感兼具
	依館區、年代、重要藝術流派分門別類，以一頁圖、一頁文的方式依序介紹100幅名畫，便於讀者親近大師經典，沉浸藝術之美。

"
9789864451357,"


	國立工藝科學博物館資深策展人，

	集20年實務經驗與精選百張展示案例

	以基礎觀念、開始提案、規畫、設計、製作、開放營運6大主題切入

提煉策展真本事　第一次策展就上手

	 

20年資深策展人實務經驗大公開

50個從「構想」到「實作」的關鍵提問

	百貨公司的服飾配件特賣展、商場異國美食展、

	卡通人物特展、社區藝術活動……

這是一個人人都想策展的時代

	從傳統博物館擴散到商場、古蹟、工廠、文創園區、戶外空間、甚至市集中，參觀各式各樣的「類博物館展示」成了全民運動，策展這一行也愈來愈熱門。但是，沒有相關科系的訓練，有志於策展的人該去何處學習？

	本書從本土的工作經驗與實務需求出發，整理出策展時常見的50個基本問題，藉由「一問一答」的方式，循序漸進的描摹出「策展學」的輪廓與細節，引領讀者跨入這個有趣的專業領域。希望能幫助「正在」、「將要」與「想要」策展的人們，從容的面對策展工作中的波折與問題，練就策展的真本事，推出理想中的展示！

	 

"
9789864086832,"



大稻埕國際藝術節

從人人手中長出來的國際藝術節
		 

		一個民間獨立，由許多人共同支持、發起的藝術節，會是什麼樣的藝術節呢？

		1920年代的大稻埕，戲院林立、百戲匯聚，享有「戲窟」之稱，收納了表演藝術的精華，更是臺灣文化運動的匯聚之地。
		 

		「大稻埕國際藝術節工作室」長年致力於下一波臺灣文化運動的孕育，每年10月召集來自世界各地的藝術家，結合在地表演團體，從藝術、文學、講座與閱讀思辨，重新演繹大稻埕所富藏的歷史底蘊，願新世代的藝術狂騷，再度興起繁華榮景。


	 

"
9789865232702,"


	1.內容規劃完善：涵蓋文創相關科系所需的文化創意入門知識，更廣納相關法律知識，如：商標權、著作權及專利權等實際案例。
	2.結合認證考試：涵蓋CCA認證考試範疇，融合知識與實務應用，奠定考證能力。
	3.掌握文化創意新知：收錄熱門主題、最新文創發展趨勢，幫你掌握文化創意的脈動。
	4.學習評量：每章設計評量題目，檢測學習效果及增進應試能力。

"
9789579057844,"


臺灣方興未艾的文化治理新主張

	行政法人是什麼？為何這種組織制度可以從16世紀英國發展至今，飄洋過海成為目前臺灣博物館及美術館領域中最具話題性的未來選項之一？而它秉持的「臂距原則」又是如何讓文化藝術組織的專業治理與政府分權、課責之間，維持一種令人又愛又恨的平衡關係？

	本書是熟稔博物館領域、並長期觀察國內外藝文機構館所發展的學者黃心蓉，對於這些問題的最新研究成果。書中首先回溯了行政法人之本，除了爬梳行政法人制度借鏡始祖英國的歷史沿革，以及訪談英國行政法人機構內的專業從業人員外，還更進一步地深入討論了英國行政法人機構中的董事會、人事、財務及績效評鑑等層面與政府之間從磨合到共生的過程，並擴及對於歐洲其他國家的考察。最後，本書回到臺灣，從兩廳院等藝文機構改制的文化事務脈絡，分析不以信託制管理、獨具臺灣味的法人館舍問題，為臺灣藝文機構生態做了一次總整理。

"
9789579057820,"


自給自足、回歸自然。

手作的日常，是創作也是生活！

	 

播撒種子、編織生活、吃野菜、掛蚊帳……

手作人一家分享與自然共生的16年……

	 

	重要的不是活過幾十年，而是像春天的野草那樣，活在每一天！

	 

	早川由美是日本知名織品藝術家，她與陶藝家先生小野哲平以及兩個小孩，從城市移居鄉野，在高知縣山裡的谷相村過著自給自足的半農半創作生活。

	 

	本書是作者的創意手繪生活日誌，以春夏秋冬24節氣為脈絡，分享一家人和自然共生的山野日常：耕田播種、編織布作、摘採果實、製梅干、做味噌、燒柴生火、與丈夫燒窯製陶、和家人一起旅行……這種與自然、土地、宇宙萬物共生共存的簡單與美好，在在傳遞著手作人的喜悅與快樂。書中獨創的美味食譜、布藝作法、祛寒指南……搭配近100張可愛的原創手繪圖和照片，暖心暖胃又健康，為讀者展現了「另一種生活」樣貌，是在城市的你我也能效仿的日式山居生活。

	 

"
