ISBN,書籍簡介
9789860630800,"


	編輯團隊關注台北、香港、上海、煙台、北京、廈門、廣州、成都、杭州、大阪、東京、橫濱、紐約、巴黎、倫敦、洛杉磯、斯圖加特、阿什本、薩爾茨堡、蘇黎世等城市及部分因疫情輾轉至網路平台的拍賣，中國骨董藝術市場2021全年的重點拍賣記錄。

	本刊大量搜集並精選呈現蘇富比、佳士得、邦瀚斯、中國嘉德、中國嘉德(香港)、中貿聖佳、日本美協、北京保利、保利香港、保利廈門、廣東保利、西泠印社、古天一、匡時、宇珍、東京中央、東京中央沐春堂、東灜國際、東京漢和、威立士、納高、誠軒、嘉禾、榮寶、廣東崇正、華藝國際（北京）、橫濱國拍、翰海、闊樂、京騰龍、羅芙奧、允臧齋、中漢、上氏拍賣、朵雲軒、大羿、永樂、Ader Nordmann、Beaussant Lefèvre、Chiswick Auctions、Maîtres DARMANCIER & CLAIR、Oakridge Auction Gallery等拍賣公司，自2020年1月1日至12月31日的中國骨董文物拍賣交易紀錄，共2100多筆，500餘頁，中英對照，並附圖片說明，是目前藝術市場上唯一可參考的拍賣年鑑。

"
9789869448864,"


	這是一本反映上海、大阪、巴黎、北京、台北、布魯塞爾、米蘭、杭州、東京、洛杉磯、科隆、香港、倫敦、紐約、索爾茲伯里、廈門、福州、廣州、橫濱、舊金山、薩爾茨堡、蘇黎世等城市，中國骨董藝術市場 2019 全年的重點拍賣記錄。

	本刊大量搜集並精選呈現 Asium、Delon-Hoebanx、Duke's、Oakridge Auction Gallery、Oger –Blanchet、Sworders Fine Art Auctioneers、Thierry de Maigret、中國嘉德（香港）、中國嘉德、中貿聖佳、中漢、允臧齋、日本美協、北京伍倫、北京保利、古天一、伊斯特、匡時、宇珍、朵爾拍賣、艾德、西泠印社、邦瀚斯、京騰龍、佳士得、東京中央、東京中央沐春堂、東灜國際、保利香港、保利廈門、威立士、香港衆會、倫佩茨、納高、景星麟鳳、誠軒、嘉禾、榮寶、福建東南、廣州華藝、上氏拍賣、橫濱國拍、翰海、闊樂、鴻盛祥、羅芙奧、關西美術、蘇富比等拍賣公司，從 2019 年 1 月 1 日至 12 月 31 日中國骨董文物拍賣的交易紀錄，共 3200多筆，500 餘頁，中英對照，並附圖片說明，是目前藝術市場上唯一可參考的拍賣年鑑。

"
9789579057509,"


畢卡索也得知道的一門課？
 華人世界首部藝術投資相關法律專書

  

 藝術蔚為最具品味、熱門之投資標的，
 偽作、著作侵權、買賣糾紛、詐欺、失竊毀損等各種NG也伴隨而來，
 置身其中的畫家、藏家、投資人、畫廊或經紀業者，乃至拍賣公司，
 該如何捍衛自身權益，並及早預防、避開風險？
 葉茂林律師透過28則深具代表性的藝術交易經典案例，
 將繁瑣燒腦的判決書，轉化為流暢好讀的法庭教戰寶典，
 引領讀者避開法律地雷，悠遊藝術創作，投資無往不利！

 拍賣圖錄內容出包，不論錯誤大小均可解約？
 拍賣公司擅自賣出未交割拍品，已涉違約？
 賤價購得席得進、星雲等大師偽作，可否以此為由拒付尾款？
 買到假畫如何驗明正身？疑遭賣家「暗坎」的真品證明書又該如何討回？
 終止託售卻拿不回畫作；藝術家與畫廊誤簽終身約該如何解套？
 仲介買賣畫作，約定不清當心公親變事主！
 寄放銀行保管箱的貴重物品失竊，修繕施工不慎毀損藝術品，賠償金額如何判定？
 利用AI大數據資料庫產生的判決分析，也可主張著作權？

 本書作者 葉茂林律師，任職於博識本國法及外國法律師事務所，是台灣少數處理藝術領域法律糾紛的專家。他將多年所見國內的藝術法律糾紛與判決，有系統地篩選、整理跟分析，分門別類收錄於「藝術拍賣防雷」、「買賣及所有權等相關糾紛」、「偽作贗品交易」、「仲介委託爭議」、「失竊毀壞求償」、「著作權益維護」共六大單元。

 各單元下的每篇文章採用簡明的「事件緣起」、「法院判決」、「律師叮嚀」三階段架構，輔以說故事般淺顯方式，方便讀者輕鬆讀完相關案例，並從「律師叮嚀」學習避開糾紛或維護權益的做法，既是華人世界首部藝術投資相關法律專書，更是畫家、藏家、投資人、畫廊業者或經紀，乃至拍賣公司都值得入手的法庭教戰寶典！

本書特色

 1.全新題材：華人世界首部藝術投資相關法律專書！

 2.架構完整＆對策周全：六大單元共收錄28篇經典（案例＋法院判決＋律師叮嚀），從藝術拍賣防雷、買賣及所有權等相關糾紛、偽作贗品交易、仲介委託爭議、失竊毀壞求償，到著作權益維護…針對藝術交易與收藏可能遇上的各種NG狀況及法律糾紛，提出完善對策及預防之道。

 3.生動流暢：將判決書變得有如小說般好讀！就算不是法律科班出身，也能輕鬆理解！

"
9789571378794,"


	六朝或謂魏晉南北朝，即北朝六朝：魏、晉、後魏、北齊、北周、隋，及南朝六朝：東吳、東晉、宋、齊、梁、陳。從公元二二零年至公元五八八年，共約三百六十八年。在這期間各方英雄豪傑，紛紛爭霸，逐鹿中原。群雄對峙、分裂、戰火紛飛。國祚有的都非常短暫。例如，北周只有短短二十四年。整個六朝時期，社會動盪頻繁。烽煙四起。所以一般都認為六朝玉雕應是鳳毛麟角，很是稀少。偶爾有機緣收入一件，真是欣喜若狂。文物出版品中的古玉部分，六朝古玉尚付闕如。即使有機會面對六朝古玉時，也會有難以確認之感。畢竟缺乏比較及對照組。

	在收集過程中，主要的參考書籍為《中華文明傳真．魏晉南北朝》（劉煒主編，羅宗真著，商務印書館（香港）出版）。及《中華圖案五千年第五輯．魏晉南北朝》（美工科技公司出版）。以既有確定之出土文物的資料，來作為判斷所接觸之古玉是否為六朝古玉。自己摸索前進，而非倚靠博物館或其他典藏機構，因為這些地方，也都幾乎沒有六朝的玉器或文獻資料。例如，西魏黃玉板雕畫中的鳥獲，在對照西魏時期敦煌壁畫圖案之後，乃獲得實質的印證。鳥獲的圖像只有在六朝西魏時期才出現。在黃玉板雕畫中出現鳥獲圖像，即可歸之於六朝西魏時所作。在中華玉雕史上，其他朝代未曾出現，可謂空前絕後。

	如今將三十年來，一件件收集的六朝玉雕整理付印成書，突破六朝時期玉雕空白的迷思。並將這批文物公諸於世，期望能與各界先進與愛好者共同鑑賞。算是達成自己的任務與心願。

"
9789869750950,"


西洋古典藝術業界專家帶領你直擊西方古典大師的世界

一步步走進行內世界

國際著名博覽會、藝廊與古典藝術商、拍賣行

	神祕又充滿魅力的西方古典藝術，於當今全球藝術市場再起炫風，成為國際關注和競拍焦點。該如何投資、交易與收藏？這裡有來自頂尖專家的最佳建議。

	藝術品「價值」和「價格」之間錯綜複雜的關係，兩者交織又奇妙的組合，是不是如同「生活」與「生命」千絲萬縷的聯繫？

	一件作品的價格只能部分反映它的價值，就像是生命並不等於生活的全部總和。並不是因為富有，所以能一擲千金。在真正收藏家的眼裡，藝術品的經濟價格讓位於藝術價值，他們在意的是收藏過程的快樂與體驗，因為他們深知，任何一件古典藝術作品都是無可替代的。過去、現在與未來，不論時間的流轉，收藏藝術有個不變的定律：「經典，只會更加珍貴。」特別是古典藝術品，經歷千百年歲月的淘洗，仍舊被完好地保存至今，甚至可能是存世孤品，它具有無法取代的價值。

	 

收藏……

一趟穿梭在空間與時間的藝術旅程

因為美而感動，因為擁有而謙卑

過去，永遠在未來與你我相遇

	收藏並非購買進來，而是經歷而來的。古典藝術的收藏，絕對不單純是藝術上的事情，收藏者必須要有一個全面的對文化的尊重，收藏一件作品就是收藏那個時代的精神財富，包括知識、信仰、道德、風俗、品味……藝術品因其本身的價值而受到欣賞。

	藝術收藏的歷史，是藝術在時間的長流裡如何被解讀和珍惜的故事。收藏的意義在於發自內心的謙卑，和閱讀好書、結識益友一樣，見過偉大、智慧和高貴，人就能與自我中心告別。

	 

市面上第一本，寫給藝術愛好者的收藏手冊

西方古典藝術的世界，絕對超乎你的想像

	對一般大眾而言，西方古典藝術感覺總是高不可攀，甚至以為它只能被保存在烏菲茲、羅浮宮等美術館裡。這是一個充滿魅力的世界，卻又令人望而卻步，有不少藝術愛好者或收藏家縱使對西洋古典藝術感興趣，卻不知從何入手。

	研究藝術品的來源與歸屬，鑑定作品品質與保存狀況，並不像一般人以為的枯燥乏味，反而充滿懸疑、刺激和驚喜，甚至有很多阻撓、困難、曲折和人為隱藏的趣聞軼事。

	一件遺失的大師傑作，抑或是蒙塵的繪畫、一幅沒有得到適當評斷被忽略的畫作，經由經驗豐富的鑑賞家重新定位……絕對讓你聽得投入著迷，意猶未盡。

	 

站在西方古典藝術世界的門外

我們是不是能再靠近一點點？

	藝術，最終還是回到人性。百年前藝術家每天的生活是如何，當下的我們生活又是如何，這其中交織了不同人物的故事。

	藝術得與你的生活、情感、甚至是回憶有關係，你的收藏中才會有你的故事。藝術，會讓你的人生道路不落俗套。

	如果收藏家愛戀並尊重一件藝術品、一個悠長的時光、一片深埋已久的歷史文化，到頭來它會給予相對應的回報，這樣的機會和愛好，讓收藏者進入不一樣的生活層次，收藏其實是和一個人整體的人文修養息息相關。

	古老的藝術世界還有許多未知的事物我們沒有認識，古典藝術的故事也才剛剛開始，好多的情節都尚未徹底完成，我們依然身處其中。在藝術史長河中，你和我也只是傳承文明的一個火種，是這些藝術品的照管人，千萬不要以為自己僅是一個旁觀者，歷史，可能因我們而改變。

"
9789869448857,"


	這是一本反映香港、北京、紐約、倫敦、東京、大阪、杭州、上海、台北、廈門、橫濱、巴黎、蘇黎世、科隆、索爾茲伯里、舊金山、洛杉磯、薩爾茨堡、布魯塞爾、米蘭、福州、廣州、瀋陽等城市，中國骨董藝術市場2018全年的重點拍賣記錄。

	本刊大量搜集並精選呈現蘇富比、佳士得、邦瀚斯、中國嘉德、中國嘉德（香港）、中貿聖佳、日本美協、北京保利、保利香港、保利廈門、古天一、北京東正、匡時、宇珍、西泠印社、東京中央、威立士、倫佩茨、納高、塔尚、萬昌斯、誠軒、嘉禾、榮寶、華藝國際、北京伍倫、橫濱國拍、翰海、闊樂、艾德、朵爾拍賣、羅芙奧、關西美術、華辰、中漢、印千山、鴻盛祥、魯亞克、AGUTTES、Hargesheimer、Millon、Thomaston Place Auction Galleries、Tessier & Sarrou等拍賣公司，從2018年1月1日至12月31日中國骨董文物拍賣的交易紀錄，近2000多筆，400餘頁，中英對照，並附圖片說明，是目前藝術市場上唯一可參考的拍賣年鑑。

"
9789869690072,"


更宏觀的排行，更精確的分類
 《拍賣大典》透析華人藝術市場大數據

  

 趙無極連年制霸、蘇軾《木石圖》躍居古書畫龍頭、乾隆御製琺瑯彩碗竄升億元關……，回顧2018年拍賣，熱潮雖較往年稍降，整體表現依然亮眼，《拍賣大典》一舉囊括重點拍品，幫助藏家輕鬆掌握下一波趨勢脈絡。

 《2019文物拍賣大典》收錄2018年全球華人藝術文物市場精品成交紀錄，依明清瓷器、高古陶、銅器、佛像雕塑、玉器、鼻煙壺、文房雜項……等共8大類排行榜與市場分析專文，理性分析全年度藝術市場亮點及未來趨勢，無論視為市場新鮮人的入門指南，或是資深藏家、學者、藝術投資及愛好者的輔佐圖鑑，均是絕無僅有、精采絕倫的拍賣市場寶典。

◎收錄筆數最豐─古玩淘寶、藝術投資必備寶典

 《2019文物拍賣大典》是當今拍賣市場上，資料最豐富的工具書，收錄港台、大陸、歐美各大拍賣公司年度春秋季的拍賣精品，完整呈現8大類逾5,000筆拍品精美圖文紀錄。

 同時收錄該年度「藝術文物市場解析」專文，由全球經濟動向切入，深入分析市場現象；以及年度〈中國瓷器十大賞析〉、〈中國工藝品十大賞析〉，詳盡介紹前十大頂級拍品；還有「歷年中國文物前十大排行榜」及該年度「中國文物分類排行榜」，為讀者提供多面向的參考資料，堪稱愛好收藏文物或有志於藝術投資者，涉足拍賣市場的最佳指南。

◎字級放大，閱讀更省力

 2019年起，《拍賣大典》將內文字體略為放大，讓讀者在查閱大量拍賣資料時，更為輕鬆不費力。

"
9789869615518,"


洞悉中國書畫藝術市場新趨勢！
2017年書畫高價精品全方位呈現！


全球最高價！齊白石《山水十二條屏》9億人民幣創中國藝術品歷年新高
【古代】南宋《六龍圖》4350萬美元紐約天價落槌！
【近現代】黃賓虹《黃山湯口》3.45億人民幣春拍奪冠！
【當代】崔如琢《指墨山水十二條屏》2.4億人民幣，連三年蟬聯榜首！

	綜觀市場消長，掌握投資風向！藏家必備的最佳拍賣市場指南！

	《2018書畫拍賣大典》精選近3,600筆拍品資料，是當今拍賣市場上資料最豐富的一本工具書。本書收錄兩岸三地與歐美各大拍賣公司2017年春秋兩季的拍賣精品，依照藝術家姓名排列，為讀者呈現精美圖文紀錄，讓使用者能在最短時間內獲取精確詳實的拍品資訊。

	本書同時收錄「2017年藝術文物市場解析」專文，由全球經濟動向切入，深入分析2017年市場現象；以及「2017年中國古代書畫十大賞析」專文、「2017年中國近現代書畫十大賞析」專文，詳盡介紹十大頂級拍品；還有「歷年中國書畫排行榜」和「2017年中國書畫排行榜」，為讀者提供多面向的參考資料，是愛好書畫收藏或有志於藝術投資者，涉足拍賣市場必備的最佳指南。

"
9789869615501,"


聚焦現當代藝術市場新浪潮！
2017年現當代經典拍品實錄、華人亞洲區排行完整呈現！


【華人】趙無極《29.01.64》2億港幣刷新個人拍賣紀錄
【日本】草間彌生持續引領國際風潮
【韓國】金煥基制霸韓國拍場
【其他】印度、東南亞新生代穩定聚焦

	綜觀市場消長，掌握投資風向！藏家必備的最佳拍賣市場指南！

	《2018亞洲現代與當代藝術拍賣大典》精選近3,700筆拍品資料，是當今拍賣市場上資料最豐富的一本工具書。收錄港台、大陸、印度、東南亞、歐美各大拍賣公司2017年春秋兩季的亞洲市場拍賣精品，品項橫跨油畫、水墨、版畫、雕塑、攝影、裝置藝術…諸領域，為讀者完整呈現精美圖文紀錄。

	本書依據藝術家姓名編排拍品資料，搭配簡明、清晰的圖文，讓使用者能在最短時間內獲取需要的拍品資訊。

	鑑於亞洲在全球拍賣市場的重要地位，本書特別增錄日本、韓國、印度及東南亞拍品專區，讓讀者在閱覽拍品資料的同時，更細緻的掌握區域脈動，是本不可多得的拍賣指南！

"
9789869406031,"


剖析拍賣生態，掌握市場脈絡
◆《桃源圖》迭破億，張大千誰與爭鋒
◆理性市場，曾鞏《局事帖》亮眼成交


	投資與收藏必備的最佳拍賣市場指南

	《2017書畫拍賣大典》是目前市面上資料最豐富完整的拍賣情報實體工具書。本書收錄兩岸三地與歐美亞各大拍賣公司2016年全年度的拍賣精品，依照藝術家姓名排列，為讀者呈現精美圖文紀錄。

	本書同時收錄「2016年藝術文物市場解析」專文，由全球經濟動向切入，深入分析2016年市場現象；以及「2016年中國古代書畫十大賞析」專文、「2016年中國近現代書畫十大賞析」專文，詳盡介紹十大頂級拍品；還有「歷年中國書畫排行榜」和「2016年中國書畫排行榜」，為讀者提供多面向的參考資料。本書是愛好收藏書畫或有志於藝術投資者，涉足拍賣市場的最佳指南。

"
