ISBN,書籍簡介
9789865480226,"


	400年來的影像標記，形塑歷史的視覺起點！
	海報設計如何影響當代生活、形塑人類歷史？
	全世界最權威的海報聖經，絕世經典一次收藏！

	►一身紅白配的聖誕老人，竟曾被誤認為可口可樂的業配角色？
	►元老級商品吉祥物米其林，剛推出時長什麼樣子？你絕對認不出來！
	►你知道「山姆大叔」的一戰募兵海報並非原創嗎？電影《大白鯊》海報也不是！
	►全世界最令人過目不忘的避孕海報是哪張？看完保證你不敢亂來！

◎海報不過就是量產印刷品，憑什麼震撼全世界？
	海報本身就是為了召喚與宣告而存在，因此具有相當強烈的敘事風格。
	從早期的手繪海報，一路進展到平版印刷時代，海報的影響越來越顯著；
	一張宣傳得當的海報，足以改變當時的社會風氣，甚至影響戰事的結局。
	換句話說，海報反映了當代的文化潮流，亦是最重要的時代象徵。

	嚴格來說，海報充其量只是載體，上頭欲宣傳的觀念、商品及服務才是重點；
	舉凡建築、居家物件、交通形式、軍事、政治、娛樂、慈善、藝術、
	尋人、環保愛地球、民主運動、音樂、教育……無所不包！例如：

	►軍隊徵召海報有三招，訴諸愛國情懷、訴諸個人信念，最後就是羞辱你！
	►中華人民共和國最得力的革命宣傳利器不是《毛語錄》，而是鋪天蓋地的毛主席海報！
	►披頭四《比伯軍曹寂寞芳心俱樂部》的名曲，靈感竟來自馬戲團臨時印製的海報？
	►胡士托音樂節的原版海報其實超精緻？為何後來改成一隻鴿子、一把吉他？
	►以脫俗唯美著稱的慕夏，其筆下的美女居然也抽菸？
	►垃圾桶上的小綠人圖示有多厲害？竟先後吸引阿巴、比吉斯等超級天團替它站臺？
	►女力當道！世界上第一張標榜「女權主義」的海報是哪張？
	►國際局勢緊張為何催生B級恐怖電影？劇情超瞎卻還是一堆人看？

◎注目最高的微縮人類史，流傳最廣的當代文化冊！
	全書從17世紀（1651年）英國國王查理二世的懸賞海報破題，
	一路經歷各種印刷技術的演進，直到21世紀（2019年）的視覺設計，
	涵蓋歷史、商業、公衛、社科、政治、電影等領域，知識量豐富，涉略層面廣泛。
	你可以一窺巴黎美好時代的華麗畫報，也能見證近現代海報如何傳達訊息；
	除了煽動意味濃厚的史達林、毛澤東崇拜，更收錄多張反菸、反戰、反酒駕海報；
	重溫「保持冷靜，繼續前進」的振奮人心、回味「鉚釘女工蘿西」的堅毅倩影！
	無論是不是海報迷，都能從書裡找到讓你印象深刻的海報！

	難能讓人駐足停留的，就不是好海報！
	全球唯一海報聖經，邀你共同見證歷史、改變世界，描繪未來！

本書特色

	◎橫跨近400年，嚴選當代最具意義的海報，詳述時空背景、歷史、目的、軼事及影響。
	◎涵蓋歷史、商業、公衛、社科、政治、電影等領域，知識含量豐富，層面廣泛且深入淺出。
	◎詳實記錄各種歷史事件、公共議題、運動賽事及電影演出等，書裡一定有你看過的海報！

"
9789864611270,"


	讓您久等了！睽違多年、最新最完備的日本電車大圖鑑來囉！快來和全日本1922款電車一起出發ALL RIGHT吧！

	日本是全世界鐵道運輸最發達的國家，鐵道的密度也冠於全球，加上有自行開發鐵道列車的能力。因此自國鐵時代一路演進至今，由6家JR客運公司和1家JR貨運公司構成全日本鐵道運輸的時代，造就了眾多的鐵道車輛。

	台灣鐵路管理局的車輛裡，由日據時代的蒸汽火車頭，到柴油車到現在的普悠瑪號、太魯閣號，甚至區間車的EMU700和800，都是由日本進口的車輛，而台灣高鐵的700T列車也是日本進口的，而台北捷運的重運量列車裡絕大部分是川崎打造的車輛。日本的列車對台灣人而言是極為貼近自己的存在。

	這本《日本電車大集合1922款》，是在日本被尊崇為「鐵道攝影之神」的廣田尚敬，與其子廣田泉合編的巨作，並由跑遍全日本進行採訪的資深主編坂正博進行撰寫。前作《電車大集合1338款》（人人出版），就已經在台灣創造了不錯的銷售量。而這次更上層樓，在一本書中按照區域別、路線別，列出了1922款、包含了新幹線、特急、普通、JR、私鐵、機車頭等的鐵道車輛，是目前數量最多也最齊全的日本鐵道車輛的圖鑑型書籍。

	中文版特邀鐵道專家蘇昭旭老師專文導讀，帶您認識日本鐵道與電車的繽紛世界。精彩絕倫的大小圖片和簡要的說明，涵括了全日本的1922款電車，提供熱愛火車的小小孩及大人們一飽眼福的需求。

本書特色

	1.介紹多達1922款日本電車，列出簡要的資訊，讓您一窺日本電車的多采多姿
	2.以區域別、路線別，帶您看遍行駛全日本的各式列車
	3.大而豐富、精采的圖片讓愛火車的小小孩及大人們一飽眼福

"
9789861778846,"


	不同時代‧不分年齡‧

	每個人心中都藏有一隻最愛偶



	◎古董玩具收藏界最轟動,台灣懷舊經典老玩具超過300種,圖像超過1000張,

	種類與數量前所未見,乃至今千呼萬喚最霹靂的玩具收藏誌

	◎ 台灣第一本最完整展示玩具王國各時代最精采的經典玩偶,以前、後、左、右

	360度全身+註冊底座之全景掃視,圖像視野無死角,圖解說明資料齊全無保留,

	驚豔玩具收藏界,堪稱台灣企業寶寶與玩具收藏經典大全



本書特色



	1.台灣懷舊經典老玩具超過300種,圖像超過1000張,種類與數量前所未見,轟

	動古董玩具收藏界。

	2.台灣第一本最完整展示玩具王國各時代最精彩的經典玩偶,以前、後、左、右

	360度全身+ 註冊底座之全景掃視,圖像呈現無死角視野,圖解說明資料齊全,驚

	豔玩具收藏界,堪稱台灣企業寶寶與玩具收藏經典大全。

	3.「大型Q版鐵皮機器人紙公仔」一組兩款明信片〔回函贈品〕

"
4712977747388,"


嚴選20大話題錶款

600款最注目新錶精選

業界唯一品牌機芯大全

鐘錶品牌重點作品全輯

	 

封面故事

Vacheron Constantin超卓神技 絕世美藝 

江詩丹頓Overseas鏤雕超薄萬年曆腕錶

	 

	創立於1755年，身為錶壇歷史最悠久製錶廠，Vacheron Constantin江詩丹頓除了締造一項傲人紀錄，為品牌增添無形價值光環以外，更重要是在作品裡融匯傳統技法跟現代設計，使得江詩丹頓腕錶得以不斷推陳出新，為收藏家創製出獨一無二的傑作時計。

	 

"
9789578722897,"

國家地理精工系列最新巨作，跨越時代的時尚標誌，浪漫情懷與精緻工藝的完美結合˙偉士迷必藏經典，超過七十年的傳奇歷史、經典車款、流行文化、探險創舉、廣告行銷案例全收錄。˙Vespa歷代車款圖鑑、性能規格與標準配備項目。˙出自Piaggio歷史檔案館的原始車款圖片，是藏家鑑定的珍貴參考資料。˙黑白或全彩大圖呈現Vespa史上的重要文宣海報，與經典電影劇照。˙Vespa世界紀錄：波瀾壯闊的長途騎行與極地探險。˙全球各地最熱門的Vespa大會師，以及專為Vespa舉行或設立的越野、耐力、競速賽事與項目。˙Vespa衍生作品大賞：極致兇猛華麗的改裝與訂製車款、車身塗鴉與裝置藝術。身為史上第一款席捲全球市場的速克達，Vespa在1946年誕生時曾面對許多猜疑，因為這個全然創新的車款在當時看來不像摩托車，反而像飛機和汽車的雜交產物。儘管如此，由於完全符合戰後民眾的交通需求，Vespa甫一推出就大獲成功，成為史上第一輛在市場站穩腳步的平價兩輪車。Vespa同時也是一件完美的設計作品，奠定了日後所有速克達的基本型態，注定成為流傳千古的經典符號。因此Vespa不是普通的速克達──它就是速克達的代名詞，受到全世界的認識與喜愛。很少有一款機動車輛，在經歷眾多危機的衝擊與潮流的改變之下，仍能忠於最初的設計理念而屹立不搖。本書從19世紀比亞喬公司創立的故事開始，到原型車與品牌的誕生、歷代經典車款──全部出自比亞喬歷史檔案館，以精美照片展現當年出廠時原汁原味的樣式──還有這些車款在賽車場與探險活動中的優異表現，透過電影與流行文化造成的影響，最後並公開最具原創性、絕無僅有的特別訂製車款與改裝車款。不論你原本就是Vespa的車主或車迷，還是嚮往Vespa所代表的浪漫與自由情懷，這本書都會帶你充分體會一代名車的精髓，並細細品味經典的美好。
                    
"
4712977745490,"


2019年新加坡百達翡麗鐘錶藝術大展

	走進2019年新加坡百達翡麗鐘錶藝術大展,就可好整以暇、優自若地探尋幾世紀以來的鐘錶輝煌成果,因為匯聚了人類的奇思妙想而開啟一個別開生面、工藝至上的夢幻國度。

~百大鐘錶品牌千款新作~
	百大鐘錶品牌千款新作：透過各品牌年度代表作架構出品牌內涵，甚至可從錶款中表現出品牌歷史與風格，提供剛入門的錶迷一個認識品牌的管道。

‧焦點品牌故事 暨新作總覽
	重要品牌的故事不僅能讓人更深入認識品牌，更可透過不同故事架構出整個鐘錶歷史；而在對品牌故事有深入了解後，也更能體會鑑賞品牌年度新款的設計與風格。

‧鐘錶精選品牌集錦  
	除了焦點品牌故事外，再另外精選近40個知名品牌，羅列其今年全新作品，既可一次遍覽各家作品，還能從中整理出年度趨勢與未來走向。
	 
‧專業製錶品牌機芯總覽
	豐富的機芯圖片和數據，計可藉此了解機芯功能，更可互相比較，進而對品牌風格與自製的演進變化有更深入了解。

本書特色

	嚴選15大品牌故事
	500款最注目新錶精選
	業界唯一品牌機芯大全

"
9789571084770,"


	◆盜版？不不不、這是屬於山寨版玩具類型的「亞洲藝術」！◆
	繼前作「亞洲山寨版玩具大圖鑑」創下破萬的銷量後，
	「山寨番長＋加藤藏鏡人」闊別八年的最新邪神大圖鑑閃耀登場！
	吐槽滿點！爆笑合體！各種不可思議造型的「經典」再登場！

	作者遊歷亞洲各地只為了收集這些？
	240款超、前、衛山寨版玩具爆笑登場！
	「如果那個機器貓換上凶悍有型的大叔臉？」
	「假使那個帥氣的機器人變形成意料之外的模樣？」
	「倘若那個人氣動物角色坐在怪模怪樣的搭乘物上？」
	「機器貓眼神失焦、嘴角抽蓄都是一種藝術精髓!?」
	光是在腦中想像就忍不住噗哧笑出，你我童年都曾在柑仔店看過的山寨版玩具都在這裡！

本書特色

	亞洲各國的詭異玩具們，如今已進化得既巧妙又凶惡！
	由於智慧財產權的意識抬頭，技術力及搞笑品味也逐漸提升的同時，
	難以理解的合體跟毫無意義的變形也隨之增加。
	本作收錄比前作更爆笑、更精彩絕倫的各種山寨版玩具！
	看膩了帥氣的角色和泳裝美女模型？
	山寨玩具的各種吐槽點絕對讓你笑到噴淚、崩潰，一解憂愁！

"
9789579501156,"


～吉翁公國獨立戰爭功臣傑作機「MS-06薩克II」終極解析～
顛覆戰爭常識的宇宙世紀革命級戰術兵器——
「吉翁的薩克」的真貌！

	在「一年戰爭」的吉翁獨立戰爭初期，國力屈居劣勢的吉翁公國軍，
	以其傲人的精強艦隊戰力壓倒地球聯邦軍，成功取得優勢。
	公國軍派出的主力軍種，正是MS-06〈薩克II〉！

	MS-06〈薩克II〉不但本身馳騁沙場，
	還催生出種類龐大的家族機體，對兩軍的MS開發帶來絕大影響，
	因而確立了其身為「傑作機」的地位。

	本書挑選了於戰爭初期開發並投入戰場，在宇宙中表現傑出的機種，
	對其開發經緯與內部構造進行全新考察，
	並對於機體標誌等細節進行徹底的詳盡解說。
	成為帶領大家對MS-06產生更深理解的終極指南！

本書特色

	◎解構MS-06薩克系列的開發與生產全記錄，洞悉機動戰士開發的技術基礎與其背景。
	◎從奠定機體基礎的「標準機」，以及身改良的偵察型、高機動型皆詳盡介紹！
	◎涵蓋MS-06之各部位解說、MS-06之武裝，以及細部補充說明。

"
9789578722354,"


欣賞汽車時代的榮光
收藏古董車的最佳參考書

 ★介紹汽車史上最具里程碑意義的50款古董汽車，並附跨頁巨幅照片，以及完整規格數據，包含引擎配置、傳動、底盤、尺寸與性能。

 ★從1920的咆哮年代、1930與1940的黃金時代、追求美好生活的1950年代，到經典輩出的1960年代，以時代背景區分汽車的代表性特色。

 ★指出開啟新頁的獨特設計，如Cord 810 SC首度整合了保險桿造型的葉子板，首度出現雙腎造型水箱罩的BMW 328，史上第一款捷豹汽車SS 100，獨一無二鷗翼式車門的賓士300 SL等。這些特點加上稀少的產量，造就各自無可取代的收藏價值。

 ★指出各車款在歷史時刻所扮演的角色，如美國總統艾森豪就職遊行座車凱迪拉克Eldorado Convertible，希特勒的私人坐駕賓士540K Roadster，詹姆斯‧迪恩車禍喪生時所開的保時捷550 Spyder。

 1920到1960年代是汽車製造技術臻於成熟，進入百花齊放的黃金年代，本書精選這個年代生產的50部經典車款，每一輛都是奇貨可居、屢創拍賣高價的收藏珍品！

 大多數汽車從市場上消失之後，就被後繼車款掃進歷史洪流之中，沒有人想得起它，幾乎就像不曾存在過一樣。但也有一些汽車創造了歷史，不斷有後人追捧，引發不只車迷、而是廣大群眾的心靈悸動。這些經典古董車在設計、性能和風格上都成了歷久彌新的標竿，是汽車史上的里程碑，足以代表的人類科技而永垂不朽。

 本書要獻給這些從20世紀初到1960年代之間問世的無價珍寶，這段時間人類創造力勃發，機械工程快速發展，汽車製造技術也臻於成熟，進入百花齊放的黃金年代。書中以令人驚豔的跨頁巨幅照片，從多角度呈現每一部車的全貌、質感或內裝細節，並說明車款的演進史、車廠的趣聞軼事，以及詳細的規格、配備與數據。

 這50部早已停產的經典車款，展現出超越時間的藝術和精湛工藝，是當時政商名流、影劇大亨的熱門首選，每一部都是奇貨可居、屢創拍賣高價的收藏珍品。擁有其中任何一部車在當時已不容易，在今天更是遙不可及的夢想，而這本書正是你收藏這些名車的最佳選擇！

"
9789573283164,"


與藝術的美好相遇——
國際藝術交流竹圍工作室創辦人暨陶藝家蕭麗虹首次公開不為人知的「不良嗜好」
60位名家X118件創作，重現台灣藝術發展40年精采片段


 一位香港出生、在美國受教育的「洋」媳婦，如何從藝術收藏這樣的嗜好，認識台灣多元複雜的文化背景，從而建立與台灣藝術圈密不可分的關係，並從中找到自我認同與成長？

 本書集結蕭麗虹生活於台灣四十年間豐富的藝術收藏，刻劃她與每件作品或創作者之間的連結與交流。她的收藏，也許不見氣勢磅礡的大作，但這些從買菜錢一點一滴累積的小品，卻無意間見證了台灣這四十年來不同階段的社會關懷和藝術表現；透過非言語的共鳴，這些作品也為生活帶來喜悅、撫慰與激勵。

 蕭麗虹藉由收藏經驗的分享，期許更多人親近藝術品、以購買支持藝術創作，為這片土地留下更多的藝術資產。

"
