ISBN,書籍簡介
4713510945858,"


關於旅行，關於文明，
 關於生命的流轉曲折，
 從皮夾裡一張一張抽出，
 細數過往。
 ★ 第40屆金鼎獎　優良出版品推薦

  

 「我收集的不是紙鈔，而是夢想。」
 三十多年來的漂泊，
 把每一個遙遠他鄉當成故鄉。
 這一切，
 都源自一張泛黃斑駁的舊紙鈔。
 從那時起，
 我在沿途中收集夢想，
 試著在一點一滴蹉跎，
 消逝再也喚不回的時光中，
 捕捉那些稍縱即逝的美好瞬間。

本書特色

 ★　一趟橫跨歐、亞、非、42個國家的旅程，162張藏在皮夾裡的地圖
 ★　融合歷史、文化、藝術與抒情，哲青用最浪漫的方式帶你了解世界
 ★　細數紙鈔設計與主題，每一張紙鈔都是一件令人嘆為觀止的藝術品

 一張張看似平常的紙鈔，往往反映出一個國家的時代浮沉、文明興衰、文化滋養。但對他來說，彷彿一個個夢想躍然紙上。就讓謝哲青以紙鈔為舟、以文字為槳，划過萬水千山，帶我們回到親密、溫暖的記憶深處，回到世界彼端的那個家。

 精采紙鈔故事內容摘要：
 ●　把猴子圖案放在英國女王頭上，這樣的紙鈔設計有何居心？
 ●　一張紙鈔，隱藏了一樁靈異故事，背後驚世駭俗的真相是什麼？
 ●　同一時期，發行同面額卻不同款式的紙鈔，反倒欲蓋彌彰？
 ●　仔細一看，紙鈔設計師，其實在畫面當中留下指紋密碼？
 ……

 更多精采紙鈔故事，讓謝哲青一次說給你聽

"
9789577637086,"


	最浪漫的鈔票故事書

	繼第34屆金鼎獎最佳圖書《遇見鈔票》，鈔票學達人莊銘國

	再次帶領您神遊一鈔一世界的藝術殿堂。

	 

	鈔票不只是鈔票

	輕鬆成為知性與感性的世界公民

	 

	在作者眼中，鈔票就是「國家的名片」。世界各國的人、事、物，都在鈔票圖像中傳達出典故。我們從中認識了各國的風土民情、文化意涵、過去歷史、現在發展與未來展望。更可連貫中西，神通古今，成為知性與感性兼具的「世界公民」。

	 

	這本《遇見鈔票：歐洲館》是五大洲鈔票介紹的第一本。在歐洲國度中，有許多國家使用歐元，然而這些國家先前流通的紙鈔，歷史悠久，地位重要，引領世界鈔票的設計理念。各國紙幣風格不同，印刷精美，有傳統有時尚。深受收藏者喜愛。讓我們悠遊其間，來趟文情並茂的歐洲之旅。

	　

	就讓小王子帶領您，飛躍艾菲爾鐵塔。再到汽車大國，與格林兄弟聊聊《小紅帽》的創作心情。在風車國度，歡迎走進梵谷筆下的向日葵世界。您絕對想不到，能在威廉王子的家鄉，與經濟學之父請益分工的真義。先在萬湖之國歇一會吧！欣賞芭蕾仙子的漫姿舞姿。原來奧地利不只是音樂之都，更誕生了一位偉大的血型發現者。最讓人感到驚訝的，科學界公認的兩位曠世奇才，義大利的達文西與塞爾維亞的特斯拉，都是尊重生命的素食主義先驅。

	 

"
9789865633752,"


 《隋唐五代貨幣通覽》

  

 本書內容有三大部份: 一、「考據資料」二、「錢幣資料」三、「相關圖片資料」。

  

 其一「考據資料」: 引用歷史文獻及貨幣史資料，更引用近年來考古出土報告，各地錢幣家發表文章、著述等。

  

 其二「錢幣資料」: 儘量引用自己的收藏品，引用發表過了拓片、圖像，轉錄於書中並註明來源處。歷代新紀元的年號錢或重要稀少的錢幣或待考證的錢幣，皆標示年代、材質、規格、重量、備註等。並拍攝彩圖加以放大刊出，其餘錢幣儘可能全部以一比一原尺寸大小彩色圖片印出，此乃本書之特點。

  

 其三「相關圖片資料」:「錢幣」上的資料、相關遺址因年代久遠，不可考或己荒蕪，難以取得攝錄，但本書以此為「誌」，克服困難，在真跡難覓的部份也會擷取些有關連的、生動的、趣的，讓冷冰冰的古錢增加另外的色彩及生命，此乃本書另一特色。

  

"
9789571198415,"


 在各國鈔票上所展現的代表人物，其背後均有一段精彩的事跡。
 藉由國家的「名片」──鈔票，傳達出這些人物的精神價值。
 哪個國家有「天使的國度」之稱？這些國王們如何撐起這個美名？
 哪位鈔票人物的故事被翻拍成電影，還獲得奧斯卡獎的7項殊榮？
 韓國現代集團又如何用一張鈔票打造經濟帝國？
 稱霸整個十九世紀的金融霸主是哪一個家族？如何斡旋在各個強國之間？

 跟隨鈔票學達人的腳步，和鈔票上的代表人物相遇，
 一起揭開鈔票背後所蘊含的精采故事，
 來一趟知性與感性的文化之旅。

 與鈔票上的名人邂逅，
 一趟知性與美學的世界巡禮即將開始
 本書分成四篇，分別為「風雲人物」、「奇人軼事」、「名人共同體」與「鈔票萬花筒」
 帶領讀者悠遊在世界各國間，從廣為流傳的知名故事到不為人知的幕後花絮。
 讓我們和世界各國的鈔票名人齊聚一堂
 從一張張精緻的紙鈔出發，
 重新認識世界各個角落的人文歷史、政治經濟、科技發展與未來展望
 成為具備美學與知識的世界公民。

"
9789571194127,"


	神遊古老亞洲的人文藝術殿堂。

	中國第一個被聯合國教科文組織，列為世界自然與文化雙重遺產的是哪座山？日本近代鈔票史上第一次出現的女性是哪位？她掩藏不住的文學光芒背後，有什麼樣的動人故事。誰是發揚朱熹哲學與陽明學說的韓國哲人？世上最大的花長在哪裡？花開時為什麼不能用鳥語花香來形容？「國王與我」中的國王，是深得人民愛戴的傑出數學家和天文家。你想一睹廬山真面目嗎？而誰又是世界上最英俊的國王呢?就是現在，讓我們跟隨鈔票學達人的引導，悠遊熟悉又神秘的亞洲館。

	鈔票不只是鈔票
	輕鬆成為知性與感性兼具的世界公民

	《亞洲鈔票故事館》是五大洲鈔票介紹的第二本。在作者眼中，鈔票就是「國家的名片」。世界各國的人、事、物，都在鈔票圖像中傳達出典故。我們從中認識了各國的風土民情、文化意涵、過去歷史、現在發展與未來展望。更可連貫中西，神通古今，成為知性與感性兼具的世界公民

	亞洲是全世界最大的洲，占陸地總面積約三分之二。亞洲人口也是最多的，幾占世界六成，所以民族、語言和文化相當多元豐富。世界古文明發源地¬¬，巴比倫文明、印度文明及中國文明都在亞洲。同時也是佛教、印度教、猶太教、基督教和伊斯蘭教的發源地。讓我們從亞洲鈔票出發，在充滿驚奇的旅程中，認識各國各地的歷史、地理、人文、科技、經濟、社會與政治。

"
9789571189017,"


榮獲第34屆金鼎獎
第一本最美麗的鈔票故事書


新聞局第32次中小學生優良課外讀物人文類獎

	一張名片代表著一個人的身分地位，
	一張國家的名片──「鈔票」，則足以見證一個輝煌的年代，
	這將是最慷慨的分享，也是最完美的收藏。
	鈔票學達人莊銘國繼《典藏鈔票異數》最昂貴力作！
	就是要您成為最具國際觀的「平民百萬富翁」！

	在白金漢宮前，
	我遇見佩戴著紅薔薇與白薔薇的戰士，這場戰爭使得英國封建制度瓦解。
	在金字塔裡，
	我遇見智慧之神托特的妻子獻了一束蓮花給他，以示對丈夫的忠貞。
	在義大利，
	我偷偷尾隨馬可波羅，學會了蒙古語，與忽必烈成了忘年之交。
	在以色列，
	我像愛麗絲般地穿越了獅子門、錫安門、雅法門、大馬士革門，
	接著來到了大衛王的球場，和他打了一場球。
	突然，我醒來了，
	我以為這是夢，原來我在看《遇見鈔票》！

	當你收到別人給的名片，你會先看哪裡？對方的名字？抬頭？
	當你拿到國家的名片──「鈔票」，你會先看哪裡？金額？圖案？
	除了國旗、國徽外，貨幣也是一個國家的象徵和代表，
	一張鈔票不只是一個國家文化、歷史與社會的縮影，
	也巧妙匯集了它的政治、經濟、文化、藝術、地理與景觀等豐富訊息。
	因此，我說它既是商品，也是藝術品。

"
9789571189024,"


走進美學與人文的祕密花園

	真善美是每個靈魂最深處的渴望
	這場藝術與知性的對話
	呈現了每個時空最美麗的瞬間
	是藝術，是饗宴，也是一趟旅程

紙鈔上的美學饗宴

	賞心篇中，平面繪畫、立體雕塑與藝術家群像，從紙鈔上一一浮現，讀者可優遊於藝術之境，倘佯於美學氛圍，並認識世界最著名的藝術家。悅目篇所呈現的，是根據作者個人喜好、網路票選、行家推薦，以及世界紙鈔協會精選的最美麗鈔票，作者企圖凝鍊全世界最美好的瞬間，與讀者慷慨分享。由靜轉動的舞蹈篇，以及別具一格的文學篇，充分展現出作者的誠意與用心，值得我們細細品味。

"
9789869905718,"


 想了解鐵路機關車為什麼令那麼多人為之瘋狂嗎？那麼這本書你千萬不能錯過！

 集郵資歷超過三十年的作者王華南老師，詳盡介紹數十輛英國鐵路機關車故事與歷史，舉凡車輛資料、故事趣聞與重大事件等，無所不談。並搭配上百張珍藏多年來世界各國的經典郵票，絕對讓你大飽眼福。

"
9789574689248,"

前言收藏是一門大學問，需要長年累月的實踐積累，才能逐步具備一定的鑑賞能力。當然，在收藏的過程中還要有魄力和財力。當你具備了豐富的收藏知識與成熟的條件，走進了收藏圈子，就會心中有數，不會被?品所迷惑，成功就會屬於你！錢幣收藏也不例外，錢幣和其他古董一樣，有普通的，有珍稀的，有真的，有假的，有幾元的，也有幾千元乃至上萬元的，這些都要靠你的慧眼去識別。歷朝歷代流通貨幣涉及面很廣，它反映了當時政治、經濟、軍事、地理、冶煉、文化等方方面面的知識，承載著中華民族幾千年的文明史。普通錢幣和罕見錢幣有著同樣的歷史價值，都能帶給你知識和快樂。如西漢王莽時代的貨幣「大布黃千」「貨布」，市場交易價並不是很高，但當你擁有了它，就會被它精美的工藝、遒勁有力的錢文書法所吸引，被我們先人的智慧深深折服！你若是了解、讀懂了它，便會更加深愛它，它也會給你帶來無窮的樂趣。當你在收藏研究錢幣時，目的一定要清楚，不能貪心，更不要輕信對方編造的故事，否則你花巨資買來的藏品有可能只是一堆廢銅爛鐵，沒有任何收藏價值和經濟價值。為此，建議想走進收藏錢幣圈子的朋友，一定要讀有關錢幣類的收藏知識讀物，多看，多研究，多問身邊的行家，才能一步一步從外行變為內行。筆者受安徽科學技術出版社委託編撰《錢幣鑑賞與收藏》一書，為了使讀者能學有所獲，筆者精心挑選了自己和圈中好友幾十年來的珍稀藏品及有針對性的普通錢幣品種，全部採用彩圖，以1：1的比例展示出來，讓廣大錢幣收藏受好者及行內人士來評鑑。撰書目的有三點：一是盡可能讓初涉者由本書了解中國貨幣演變的大致進程，在收藏過程中對照學習識別錢幣的真偽；二是讓收藏者欣賞品味部分珍稀錢幣品種；三是供專業人士在考古活動中參考論證，作有價值的旁證。書中載錄的漢代圓形圓孔的「無文花錢」，秦代的大型銀質「秦半兩」，南宋的「南康軍錢牌」等，均為僅見品，也是首次問世。希望本書能為您的錢幣收藏助一臂之力，並衷心祝願廣大錢幣愛好者在收藏過程中一路走好。作　者
                    
"
9789571720395,"

<海潮音叢刊>之內容豐富，可從海潮音的發展史–太虛大師創辦，大醒法師攜來台灣，印順法師擔任多年社長，再由樂觀法師主編、常樂寺發行，後由妙然法師接手主編、善導寺發行，及歷任該刊的編輯（太虛大師、大醒大師、印順法師、續明法師、默如法師及演培法師……等）與當時刊登投稿作者（章嘉大師、慈航大師、法舫大師、戒圓法師、了參法師、星雲法師及聖嚴法師……等）文章即可明白；甚且，海潮音自民國九年由覺社叢書季刊改版為月刊發行以來，年年發行，未曾間斷，且國內外已有多處流通點。放眼當前國際知名期刊，有幾個能八十多年來堅毅不拔。
                    
"
