ISBN,書籍簡介
9789861373393,"


★侯吉諒、侯信永、陳丹青、葉曄、鄭俊德、何景窗──盛讚推薦

	親近書法正是時候！
	以一枝筆，長養心性、修為與氣度；
	欣賞萬千筆墨，滋養當下生活，打開新的世界。


	◎ 收錄700餘幅全彩圖片，分析歷代名帖，並親自示範書寫、運筆細節，講解學習重點，讓學習與鑒賞同步。
	不論你是零基礎或熱愛書寫，本書將系統化地帶你深入這門藝術！
	●書法是一把鑰匙，幫助我們打開傳統文化的大門，去向古人學習、與古人做朋友；
	●書法是一面鏡子，在不同的階段，可以記錄和映照出那個階段中自己的面貌和變化；
	●書法是一門語言，可以將心中所感，透過筆墨來呈現與舒解，古來文人莫不如此；
	●書法是一門功夫，除了磨練技藝外，還包括向內的修為，知行合一，從技藝到生活。 ●書法是一種欣賞，用一種遊戲、欣賞的態度去看待人生，人生也就多了一重可能性。

	作者林曦6歲開始學習水墨畫、書法，熱愛寫字，聽到毛筆在紙上的聲音，就覺得與所有煩惱和問題隔絕了，讓她很快樂，也在字裡獲得安定和滋養。十年前，她創辦了暄桐書畫教室，開始教授零基礎成年人深入書法與傳統。經過十年的積累之後，她整理自己的教學經驗，將多年來對於書法的思考寫成本書。林曦說：「學習書法不是為了使我們成為字比別人寫得好看的人，而是在一遍一遍地與古人最直接的揣摩交流中習得修養、風骨、耐心和趣味。最珍貴的是學會欣賞萬千筆墨，欣賞這世界裡難得的抽象之美。」

	從了解書法、耕耘筆墨前的心態建立、取法經典的方式，到看懂一張字，本書不僅是書法課，更是審美與修養的精進：

	1. 培養心力，保持專注與自律。
	2. 親近傳統文化，打開嶄新世界。
	3. 提升審美觀，體認藝術的多樣性。
	4. 享受傳統文化與藝術的樂趣。

"
9789578980907,"

論古來書法
　中國自古以來講書法的文字不少，但絕大部分採取詩話體例的語錄體，好像散珠斷玉，讓人不易把握到作者的中心思想。

　這些講書法理論的書雖然沒有形式上的系統，每一本論書法的書都有他一定的審美哲學基礎。

  《中國書法理論體系》把古來的書法理論加以整理，分為六個大系統--------喻物派、純造型派、緣情派、倫理派、天然派、佛教與書法，明辨地分析出個流派的基本思想與邏輯標準，及對立又貫通的審美哲學。

　實際上，一個書法家或書法理論家並不是很容易地可以被歸入這六類中的一類，因為中國人談音樂不大肯侷限在一個邏輯推論裡，這是一個缺點，講問題往往不透徹，但這也是一個優點，因為看的比較周全，觀點非常明確肯定。

　熊秉明談的是書法理論，實際上也是歸納了中國美學的發展與演變。
作者簡介
    熊秉明，西南聯大哲學系畢業，1947年赴巴黎大學攻讀哲學，兩年後卻轉入巴黎藝術學院的雕塑教室。著有：《關於羅丹----日記擇抄》、《羅丹雕塑------欣賞與沈思》、《展覽會的觀念》、《回歸與塑造》、《中國書法理論體系》。
                    
"
9789864895045,"


書法不只是古代的字體設計，也是漢字DNA的解密之鑰，
	不只是書法家個性的展現，更是各個時代的美學風尚。

	想要練一手好字，
	想要學會欣賞中文字型之美，
	想要靈活設計個性獨特的中文字體，
	你都需要多懂一點書法～


	你可能聽過新篆體、隸書體、行楷體、魏碑體，但你知道這些電腦裡的字體都是從古代書法字來的嗎？

	篆、隸、草、行、楷各有其基本個性與基本長相，歷代書法家不同的書寫風格，又賦予字體獨特的形象氣韻，讓中國書法字有了豐富多樣的面貌。所謂「晉尚韻，唐尚法，宋尚意，元、明尚態」，每個時代的審美觀都可以在書法中體現。

	識演變，讀趣事，賞美學：書法，原來這麼有趣！

多懂一點書法字的身世：
	漢代隸書有哪八大名碑、哪八種風格？
	為何楷書的發展到了唐代才達鼎盛？篆、隸為何到清代才又流行？
	北宋書法名家輩出，徽宗甚至自創瘦金體，為何到了南宋卻無大家？

多懂一點書法家的趣事：
	三國鍾繇為收藏蔡邕寫的《筆法》竟掘人墳墓？
	唐太宗酷愛王羲之書法，甚至要臣子去騙來〈蘭亭序〉殉葬！
	草書大家張旭酒酣耳熱後，曾脫帽以頭髮入墨揮灑成書……

多懂一點內行的書法之美：
	甲骨文瘦硬奇崛的古樸之味，金文莊重威嚴的雄渾之氣，是先秦巫覡文化、尚武精神和哲理思維的產物，而小篆的整飭對稱，一絲不苟，則是秦王朝大一統精神的表現。
	隸書的橫畫，蠶頭燕尾，使字體向左右擴展，增加了飛動之勢，書家們從此可以在書法中張揚自己的個性。
	王羲之的行書，透出的是一種氣韻生動、溫文爾雅的名士風度。〈蘭亭序〉用筆已達爐火純青，中鋒行筆，含而不露、綿裡裹針、柔中有剛、線條輕盈靈動。

專文推薦

	張輝誠（中山女高老師）

一致推薦

	宋怡慧（翻轉教育創意教師）、周家嵐（大安高工國文老師）、陳世憲（意象書法家）、陳惠玲（靜修女中老師）、謝文靜（花蓮女中老師）、謝玉娟（北港高中國文科兼圖書館主任）
	（依姓名筆畫排序）

"
9789864893676,"


識名家，賞碑帖，讀趣史，
	領略前所未見的大唐風采，重現書法的大唐盛世！

	帝王宣導、唐楷成熟、狂草出世、書「法」建立、大師輩出，
	唐代書法，原來這麼強！

	武則天：不只是一代女皇，還留下國寶《萬歲通天帖》
張旭：連拉個肚子都留名書史、雙重人格的書法搖滾王
懷素：最擅長炒作的古代網紅，天下第一明星書僧
顏真卿：「書聖王羲之」當心了，史上最強挑戰者在此
	玩轉創意的書壇影帝「唐太宗」、想藏都藏不住的書壇千里馬「褚遂良」、勇立「唐法」的一代醜男「歐陽詢」、心態最好的書法養生達人「虞世南」、行書碑王「李 邕」、柳體書法自成一家的「柳公權」……
十位名家，帶你體驗從燦爛到衰頹的唐朝書法。

	＊＊＊

	※書法家軼聞 ╳ 唐朝歷史，故事與史料並重，趣味與知識兼具。
	※100餘幅字帖 ╳ 80個單字比較，以圖例一一分析筆法特色

	●你看得出歐陽詢和王羲之寫的「門」，結構有何不同嗎？
	●唐代為何出現這麼多書法名家名作？
	●張旭寫狂草的創作靈感來自何處？
	●武則天如何用書法收買人心？

	․․․

	唐代是各種書法字體都有名家輩出的時代，他們留下的碑帖，成為千百年來無數人習字臨摹的範本；他們創立的法度和風格，為後世立下仿效或突破的標竿，影響深遠。
	《當書法穿越唐朝》是一部充滿趣味性的唐代書法史話，講述了10位唐代書法大師的傳奇人生，解讀他們的經典作品與筆法特色，以及書法背後的那些軼事。
	書中一個個生動鮮活的故事，不僅介紹了各勝擅場的大唐書法，也折射出唐代的歷史文化及審美趣味，讓讀者思接千載，穿越歷史，在書法故事裡體驗一個真實的唐朝。

	★★★

精采內容：
	◎玩轉創意的書壇影帝――唐太宗
	唐太宗不僅一生熱愛書法，重視書法，懂得利用書法為政治服務，他也是行書的哥倫布，發現了石碑這塊行書生存的新大陸。
◎心態最好的書法養生達人――虞世南
	古人形容虞世南的書法，有個詞用得最貼切——「君子藏器」。平和內斂，鋒芒不外露。
◎勇立「唐法」的一代醜男――歐陽詢
	蘇軾說歐陽詢書法險勁似刀削，恰如其貌，然而他卻是完成南北書法統一第一人、唐楷創體第一人、「唐人尚法」形象代言第一人。
◎雙重人格的書法搖滾王――張 旭
	張旭創造出充滿叛逆精神的狂草，好像音樂中的重金屬搖滾，他在章法布局中取得「亂中之美」，打破了家傳虞陸書派的儒雅門風。

	●杜萌若博士趣講唐代書法史，扮演導遊角色，召喚你我思接千載，一起穿越回書法唐朝，來一場神遊之旅，這樣有意義的文化旅行不能錯過。――羅振宇（「得到」App&羅輯思維創始人）
	●全世界只有中國人在家裡掛書法。在中國人心目中，字有畫的美感，文章的意境，更包含著人度。我們應該如何瞭解書法呢？字帖是不夠的，你有《當書法穿越唐朝》這本書就夠了。――張泉靈（「少年得到」App董事長、教育投資人）
	●這是一本奇特的混雜著評書和脫口秀風格的唐代書法史話。杜萌若採用充滿現代感和趣味性的寫法，堅定地詮釋了“書為心畫”這樣一個古老而經典的命題。他其實是在「畫心」，地畫出了歐陽詢、虞世南、張旭、懷素、顏真卿、柳公權等人的心靈樣態。――鄧寶劍（北京師範大學書法系、博士生導師）推薦閱讀

"
9789864776795,"


侯吉諒書法的日常練習──
 從初學書法最重要的事，到創作書法的心法秘訣一次完整收錄！

 ──寫作品與日常練習──
 寫作品如何不與日常練習產生衝突？要把握以下要領：
 以目前學習的字體為作品的字體。
 學習二年以下，只能臨摹，不能寫其他的。
 學習二年以上，要寫其他的句子，要有範本，或者要從熟悉的字體集字練習。可以臨摹老師的作品。
 每一件作品至少練習五十次以上。
 前三十次，以雁皮（行書）、白玉（隸書）練習，後二十次，以正式寫作品的紙張練習。
 平常先練習上課內容，如果覺得當日情況不錯，就寫作品，有完整充裕的時間，先練習平常所學的筆法、字體，再寫作品。

 ──臨摹與創作──
 臨摹與創作，距離十萬八千里。
 臨摹不臨到古人上身，創作很難有自己的精神。
 寫字想要寫出自己的風格──理所當然，但又談何容易。

 ──寫作品要有範本──
 學生寫作品常常犯一個嚴重的錯誤，就是認為寫作品就是要寫自己喜歡的句子和感覺，但卻沒有想到，自己的能力做得到做不到。
 從臨摹到創作是一個很漫長的距離，而不是學習了一陣子，一兩個字帖寫熟了，就能夠創作。
 即使「只是」臨摹字帖中的一個段落作為作品，就不容易，因為格式、長短，都有所更改，如何掌握書寫格式的統一與順暢，就非常困難，更何況寫自己喜歡的句子。

 ──書法風格不是加減──
 書法的風格不是加法，不是顏真卿加柳公權就會出現新的風格；風格也不是減法，不是把歐陽詢寫細了就是瘦金體。
 寫字要有標準，書法的標準不是老師的筆法或結構，書法的標準要以古代經典作品為標準，沒有標準的練習，只是浪費時間。

 ──決定書法表現的因素──
 十年，靠功力。
 二十年，靠人文修養。
 三十年，靠個性。
 四十年，天份。

 ──要寫多少遍──
 訓練學生寫作品，常常告訴同學，沒有寫過幾百次，很難把一件作品寫好，這是學生的程度比較差，對寫作品的要求也不熟悉，所以要不斷練習，但並不是說寫幾百次就可以把作品寫好，如果程度不到，就算寫幾百次，也不可能寫好「一件」作品。

 本書整理了許許多多初學者，甚至已經寫了很多年的人，無法明白提出的「不知道有什麼問題」、「不知問題在哪裡」的問題，以最清楚、簡易明白的方式，讓讀者了解學習書法必需要了解的知識與觀念。

"
9789863594000,"


在書法中體會人生，在人生中品讀書法之祕
技法是書寫的基礎， 而情懷是書寫的目的、寄託。


	書法的音樂、書畫、茶、人生、四季。

	書法是凝固的音樂，因為寫字時有輕重緩急的律動，在書寫的過程中表現出來，音樂的旋律隨著時間流逝而消失，但書法的律動卻永遠被記錄下來。書法的篆、隸、行、草、楷，既是字體的演變，也是書法的風格所在，流動而凝固其中的，正是筆法的音樂性表現。

	寫字的時候，受到天氣、溫度的影響，每個季節最適合寫的字都不盡相同，寒冬酷冷，宜書秦篆漢隸，以白酒助興，則時間蒼莽之感，皆在筆端流動。盛暑高熱，何妨赤膊寫狂草，亦有一種酣暢的快意。暮春初溫，最宜泥金箋小字行書，抒發空氣中流動瀰漫的生機。初春乍暖還涼，寫字的心的因而變化萬千。秋風悲涼，當用老紙書舊作，寫一種無可如何的感傷。

	書者，心畫也。

	書中可以欣賞優美的書、畫作品，並可從中感受書法蘊藏的各式美感與意義。窺見作者的許多學生因學習書法而改變其生活的態度，甚至從書法中獲得的人生體悟，這種收穫，才是作者想要藉著書法傳達給學生的觀念。

	書法要融入生活，在一筆一畫中領悟人生的道理。

【書法情懷】

	※真正把字寫好，不管多麼努力，有多大的天分，終歸需要時間的沉澱，
	※用毛筆寫字，如同紙上太極，要時時「聽勁」。
	※毛筆的彈，是一種非常細膩的微動作，外觀可以完全看不出來。
	※書法亦如長拳短打，點如寸勁驟發，招招都策畫入紙，力透紙背。
	※寫字之前要先凝神靜思、過濾雜念，務必做到寫字的時候能夠「筋脈相連」，一氣呵成。

"
9789579420303,"

本書累積作者多年研寫書藝之心得經驗，以循序漸進的方式，詳細週全的解說，一步步帶領書法初習者跨入中國書法廣大迷人的世界中。內容包括：書體源流概述、工具之選用、各體書技法解析、當代名家作品欣賞等，並選介歷代著名碑帖，以為初習者臨摹參考之用。本書不僅提供豐富的書藝知識，使讀者能深入領略中國書藝精萃，並從各體書基本筆畫結構的詳盡解說導引中，為個人書藝創寫出更佳意境。本書獲得許多書法教室及書法教師選用作為參考書。
                    
"
9786267018392,"


	本書羅列並闡釋解析450個漢字部首及繁筆字構之代表字例，總結210個共用符號及單用慣襲符號之於書體上應用之常規，盼對習草者有所啟發和幫助。

	草書之法不外省筆、聯筆以求速、順，以其筆畫之聯、省，致有取代繁複筆之簡符，由歷代名家引領沿襲應用，歷久而成草規、草訣，習者有以為據，而讀者有以辨之。
	惟草書之教習，多以熟記帖例書體為務，而帖例草法百家爭異，記之匪易，用之亦常不知所從，此知草法之然，不知草法之所以然故也。
	如習草者以理解草符之為用，取代強臨草帖之書體，則習草當更饒趣味且更能快速領悟草書之筆法及韻氣，乃得自運風格而不失章法。
	本書羅列並闡釋解析450個漢字部首及繁筆字構之代表字例，總結210個共用符號及單用慣襲符號之於書體上應用之常規，盼對習草者有所啟發和幫助。

"
9786263140066,"


◆現代人親近書法的最佳入門◆

◆典藏新版‧圖文大幅增修60%◆

	 

看懂書法，比學寫書法容易得多，也重要得多！

	 

看懂書法，有助於提升文化、文學、美學修養；

也唯有看懂書法，才能真正寫好書法。

	‧面對書法，該如何建立起正確的欣賞態度和方法？

	‧篆、隸、楷、行、草，各種字體的表情有什麼不同？

	‧為什麼書法不能只強調視覺效果，而我們又如何看懂其中的意境與心情？

	‧〈蘭亭序〉為什麼有那麼多的錯漏字，但仍不損其魅力？

	‧〈赤壁賦〉內容瀟灑飛揚，為什麼蘇東坡選擇用工整樸拙的楷書寫下？

	 

▌學書法而不懂書法，一直是書法教學的最大盲點。

	現代人所謂的「學書法」，通常只是學寫字的「技術」，對書法的理解反而有限。

	不是用毛筆寫字就叫書法；懂了書法，再學寫書法，會更有效率。

	 

▌我們正身處在學習、親近書法最好的時代。

	精美的印刷品，以及網路上豐富的書法資料，都是前所未見的資源。

	換言之，想品味書法之美，在今日誠非難事。

	 

▌如何才能真正看懂書法？

	書法名家侯吉諒以浸染書法世界近四十年經驗為底蘊，

	透過淺顯親切的文字，搭配百餘張豐富的書法作品，細細解說，

	為什麼「最好的書法作品都是文學作品」？為什麼「臨摹是一種深度的閱讀」？

	本書為書法愛好者提供了一窺堂奧的方便法門，領略書法中的意趣與況味。

	 

本書帶你輕鬆看懂書法：

	‧書體特色：篆、隸、楷、行、草的不同功能與美感

	‧極品鑑賞：「三大行書」之美

	‧名家賞析：蘇東坡、黃庭堅的書法特色與地位

	‧形式與內容：探究書體風格與文字內容的搭配

	‧書法發展史：各個朝代的書法文化發展

	 

本書特色

	 

	◎建立欣賞書法的正確觀念，理解書法與文學、文化之關係

	◎百餘張書法作品圖片，帶領你快速理解書法之美

	◎從字體結構與表情風格，到文學作品的臨摹，逐步推進欣賞層次

	 

"
9789860661309,"


書法無所不在
	駭客無所遁形


	「駭客」一詞沿自於英語 hacker 音譯，本指專精於網路作業系統程式之人士，後來演變成為惡意或非法侵入他人網路系統而令人驚震懼怕者！張尚為老師將「駭客」一詞冠上書法，莫非指的是在網路上發表書法作品，傳播書法言論而令人驚詫震駭者乎？

	知天命、耳順的人生階段，事事了然於心，一切似乎都能泰然面對，這本書就是在張尚為老師這樣的心境下靜靜誕生。老師以簡單輕鬆的文字，如小分子益生菌容易被腸道吸收般，將對書法的熱愛彙整成書，希望讀者以輕鬆的氣力閱讀，吸收豐富的文字養分。

	《書法駭客─駭客無所遁形，書法無所不在》是一本以愛為出發點的書，記錄著張尚為老師從生活經驗當中感悟所得的隨筆札記，而且書名也別具巧思，充分體現了他「科技人」以及「書法家」兩種不同的身分角色。此次以「書法心」、「駭客情」、「乾坤變」三個篇章來書寫其有情世界的所見所聞，可以想見，經過他娓娓道來，字裡行間流露出的真情實感，必定可以打動人心，使閱讀者感到格外溫暖。

	從書法的理論，到字畫藝術融入生活，再談新冠疫情對世界與人心的影響，此書將貼近生活的文字彙整成書，如小分子益生菌容易被腸道吸收般，希望讀者以輕鬆的氣力閱讀，吸收豐富的文字養分。張尚為老師認為書法應該是走入民間的傳道與播種，希望這本書能起到駭客無孔不入的神妙、拋磚引玉的功效。

"
