ISBN,書籍簡介
9789869511742,"


書法愛好者 突破書寫瓶頸的重量級字帖！
字寫不好，只是你沒選到「適合自己的字體！」


	愛上寫書法，越寫越開心，從適合自己的字體開始寫起！

	「寫了一段時間的書法卻始終寫不出另自己滿意的作品，甚至越寫越灰心…」是很多書法愛好者一開始會遇到的瓶頸，謝季芸老師一直鼓勵書法初學者，一開始應該從「適性」的字體下手，即使是書法入門者，也不是只有楷書可以選擇！

◎書法七體各有不同氣質，什麼樣的字體最適合你？
	圓勁渾樸—大篆
	秀麗挺拔—小篆
	古拙討喜—隸書
	雍容自在—行書
	方圓規矩—楷書
	快意酣暢—草書
	易寫美觀—標草

◎你可以這麼做
	1.打開本書瀏覽七篇章名頁，認識各種字體特色。
	2.選擇最適合自己性情的字體，細讀一次。
	3.拿起毛筆開始一個字一個字臨寫。

	適合自己的字體，寫起來順心愉快，能讓你真正感受寫書法靜心養氣、陶冶性情的好處。

	「從小只寫過楷書，總覺得寫書法很無趣，直到開始寫行書之後，才真正認識書法之美，越寫越有心得！」 ( 女，38歲)

	「我喜歡寫大篆，像畫畫一樣簡單線條又很有趣！」（男，12歲）

	「隸書單純的線條很適合我的個性，寫起來特別上手，整篇寫出來整齊又美觀，我很推薦入門寫書法的人可以先試隸書。」（女，22歲）

	「小篆有一種古意神祕的感覺，我覺得用他來寫經文很有一種特別的風格。」（男 ，31歲）

◎首部書法七體心經字帖  讓你臨帖寫字有所選擇

	  《心經》是佛教中最精要的經典，短短二百六十字如同六百卷《大般若經》的心臟，蘊藏智慧，更是歷代書法家競相書寫的經典。首部書法七體心經字帖，讓你選擇喜愛的字體書寫，用適情適性的字體，書寫贈人、自我收藏，修練大智慧能量！

◎亞洲書壇名家親自傳寫   佛教界名師撰序

	中國、日本、韓國競相邀展，亞洲書壇名家-謝季芸女士親自撰寫，並邀請釋廣元法師、姚孝彥、王中和老師等人做序，闡述心經精要，讓讀者能在更理解心經內容之後，靜心臨寫更有所得。

"
9789578980495,"

弘一法師翰墨因緣
　弘一法師是近代著名的藝術教育家、書畫篆刻家、音樂家，後又為出世高僧。出家前即以文藝馳名於當世，出家後又諸藝俱捨，唯讀書法不廢，以書寫經典、偈語為弘法接引眾生。

　《雄獅美術》月刊曾於一九九五年八月，製作「弘一法師翰墨因緣」專輯，獲得讀者熱烈迴響，更引起學者們激烈爭論，且於之後數期，陸續刊載有關法師書經風格之討論文章。

　本書特別集結這些文章，書中除收入原有文章，並重新整理弘一法師的書法作品，搜羅許多豐富的圖版。且於附錄中增加弘一法師舊書法篆刻所作之演講及信函，涵蓋弘一法師的傳記、佛學、書藝、治印，又兼具作品極的特質。
作者簡介
　弘一法師（1880～1942）

　俗姓李，字叔同。近代著名的藝術教育家、書畫篆刻家、音樂家，後又為出世高僧。出家前即以文藝馳名於當世，出家後又諸藝俱捨，唯讀書法不廢，以書寫經典、偈語為弘法接引眾生。
                    
"
4710405002269,"


用鋼筆寫出最美的書法

書法鋼筆融合多變的筆觸和墨韻的質感，

在一筆一畫間， 寫出別具清雅、遒勁有力如「書法」般的鋼筆美字。

	 

	書法鋼筆，最大的特色在於折彎的特殊筆尖，能增加與紙張的接觸面積，結合出獨樹一格的寫字風格，讓手寫字透過運筆的力道及角度，展現出如「書法」般粗細轉折、輕重濃淡的線條，呈現不同的「書法韻味」。透過筆尖與運筆的改變，不需備齊筆硯墨寶，也能寫出如書法般的鋼筆美字！
	 

✍體驗「書法鋼筆」的筆墨之美

	特殊設計的書法筆尖，隨著運筆提按力道和速度，巧妙地將流動的線條與筆畫架構元素相互結合，令筆尖能展現輕重濃淡的筆觸之美。在線條與形體上，時而自然流露出蒼勁流暢的飛揚神采，時而端莊秀麗，展現溫潤清逸之風。
	 

✍輕巧好攜帶，能寫又能畫的書法鋼筆

	不同於一般鋼筆，書法鋼筆具向上折彎且極富彈性的書法筆尖又稱為「美工尖」，可用來書寫及繪畫，體驗不同的書寫筆觸。相較於傳統書法，不需磨墨洗滌，符合現代人講求便利的需求，讓人隨時隨地以自己的風格，抒寫一紙好時光。

	 

✍嚴選【書法鋼筆套組】

	❖特殊設計的書法尖鋼筆：折彎筆尖，極富彈性的不繡鋼材質，藉由不同的運筆力道及角度，寫出獨具韻味的書法字體，並體驗不同的書寫樂趣。
	 

	❖輕量化筆身設計：輕巧好握，書寫流利，運筆更順暢。

	❖觀墨視窗：筆身中段開口設計，墨水含量一目了然。

	❖三角形筆握：兩側凹槽設計，符合人體工學，久握不累。

	❖旋轉式吸墨器：隨心所欲更換墨水顏色，打造個人獨特風格。

	❖5管卡式墨水：黑紅藍三色一次入手，隨心自由搭配，讓寫字更有趣。

	 

本書特色
	 

✍QR Code影音教學x新手也能輕鬆學

	影片收錄：永字八法、書法鋼筆線條練習、手寫藝術花體字示範，另含鋼筆裝墨＆清洗常見問題的教學示範，讓初學者透過影片教學，輕鬆地一步一步練好基本功。
	 

✍從「永」字開始，練出漢字的美

	美字的黄金比例，在於字體結構及筆畫重點，本書利用「永」字八法的基礎練字法，並搭配影音教學影片，使讀者快速抓到寫字要領，輕鬆就能讓字越寫越優美。
	 

✍每日與古今中外名人「紙上相遇」

	雋永韻味的唐宋詩詞，真情實意的西方佳句，一天一則，既可以習字書寫，體驗中英不同的書寫樂趣，同時能細細體會寓意深涵的話語，既抒壓又能練好字。
	 

✍快速掌握書法尖的執筆書寫樂趣

	書法鋼筆會隨著執筆的角度呈現不同的筆畫粗線，這是專屬「書法尖」的迷人之處。本書針對書法尖的正確握法、角度表現，同時搭配紙張及注意事項，透過影音教學影片，讓寫書法字輕鬆又自在。

	 

"
4712592350468,"


	市面上的寫字書很多，但能以系統方式，配合簡單三句話和生動圖文講解，使初學者容易領悟、立刻上手者幾乎沒有。而布衣老師寫的書就從來不一樣，能以多年研究和專業教學，深入淺出帶領讀者馬上進入練字的溫暖和忘我世界中。

	這是一本教材，不是字帖。教學著重在方法。具有系統性、易操作又容易記憶應用。從基本8筆劃、36完整筆畫、48部首和40架構，把中文字做了完整歸納。只要記住幾個簡單重點，不需大量練習，也能讓沒基礎的人茅塞頓開，輕鬆獲得進步。將來習字如有困惑，也可做為工具書，方便查閱臨摹。

	動態的運筆教學更是本書特點，教導大家如何寫？而不只是寫怎樣而已。從運筆的行進和輕重節奏等，多角度交織講解，使大家最終都能擁有一手筆力。配合布衣老師的專業握筆姿勢教學，結合招式和內功，讓寫字有如練功，使過程和結果都產生質與量的巨大改進。
	 
	本書最後，布衣老師更將書法筆畫和八段錦養生操做了巧妙結合，並分享其六個獨門寫字心法，把大家從練字場景又帶領到另外一個寫字遊樂場中。謝謝布衣老師把渾身寫字修為，化做簡單文字和生動圖示，讓大家能把文字的精氣神都能寫活、寫漂亮。享受在練字快樂之餘，更延伸到人生哲學領悟。最終，把藝術、生活和養生，三者都一起做了最完美的融合。

	本商品以經濟套裝組合方式發行，配合精心挑選好的紙、筆、軟墊，讓讀者可舒適有效的練習。套裝組合內容：

	1.完美寫字～練字書
	2.寫字矽膠軟墊1片
	3.練字專用0.7中性筆1支
	4.六國專利U-Pen助寫筆1支
	5.米字格練習簿1本

	沒看過這本書，別說你練過字！每個練字的人，都應該擁有一本這樣的工具書！真心推薦給每一位練字的朋友！

教學內容

	1.系統講解：基本8筆劃 + 完整36筆劃 + 48個部首 + 40種結構
	2.以多元角度教導動態運筆的路徑和輕重節奏，對「筆力」的深入具體探討。
	3.布衣老師首度公開6個玩寫字心法，讓練字轉變為欲罷不能的寫字遊樂場。
	4.三種實用字帖只臨不摹的設計：原子筆+中性筆+鋼筆。

	採取左方全頁字帖，右方純書寫區設計。除可保留字帖全篇原貌，也能重複使用字帖。書寫區易寫易看還能練字體間距布局，用心設計，高度實用。

"
4719742134596,"

《一筆一劃，寫一手端正好字》‧初學者首選獨家提供基礎運筆圖解與書寫筆順，讓初學者認識書法結構和練寫。‧描紅版式不同於多數描紅簿使用框線字，採用描紅樣式，避免孩子以塗鴉方式填寫。‧採用嵩厚紙紙張採用嵩厚紙，吸水力強、好寫、不易髒手。‧紙張可撕附貼心設計，讓紙張可單張撕下，讓使用更便利。‧特別附贈封面裡特別附贈書寫姿勢教學。
                    
"
4719742134572,"

《一筆一劃，用毛筆書寫一手端正好字》‧初學者首選獨家提供基礎運筆圖解與書寫筆順，讓初學者認識書法結構和練寫。‧描紅版式不同於多數描紅簿使用框線字，採用描紅樣式，避免孩子以塗鴉方式填寫。‧採用嵩厚紙紙張採用嵩厚紙，吸水力強、好寫、不易髒手。‧紙張可撕附貼心設計，讓紙張可單張撕下，讓使用更便利。‧特別附贈封面裡特別附贈書寫姿勢教學。
                    
"
9789869321358,"


	一本以學習隸書為目的的專門習字本，想要學寫美字、想要練成絕美隸書字體，《療癒隸書習字帖》就是你最需要的一本書。

	書中規劃40堂隸書書寫架構課程，逐步說明寫法，並提供範例字；更集結作者的精彩硬筆作品，認真學習前面的基礎後，再逐步學習詩詞佳句，最後就能像大師一樣，寫好一篇隸書硬筆佳作。

	現在就開始來練字吧！

	誰該擁有此書？

	✪小學生/國中生最需要
	想要寫得一手好字，從小練起，是一輩子都丟不掉的技能！

	✪高中生/大學生不可錯過
	即使字已經定型，還是有機會挽救，一天一頁，慢慢練，不貪多，也能醜字變美字！

	✪社會人士 習字靜心
	出了社會，人情冷暖飲水自知，每天寫寫字來靜靜心，拋開負面情緒，隔天元氣再出發！

	✪隸書初學者 這本就夠
	初學隸書硬筆字，讓鄭耀津帶你領略隸書的美！

	✪隸書習字老手 這本就好
	即使是隸書硬筆好手，這本療癒的隸書字體，帶給老手新的體會。

本書特色

‧完整的隸書架構法則‧
	學寫隸書必會的架構法則，作者以淺顯易懂的說法，
	推出 40 堂隸書架構課程，教你學會寫好隸書的祕訣！
	不論是初學者或是隸書老手，細讀推敲，都能感受箇中韻味。

‧最美的習字範本‧
	《定風波》
	《永遇樂北固亭懷古》
	《青玉案•元夕 》
	透過一字一句的臨摹，慢慢寫、日日寫，你也可以寫出一篇篇美字。

‧貼心的西翻設計‧
	為了方便讓讀者讀帖、臨帖，特別以西翻的形式設計，
	讀者在練習時，也可以看到左頁老師的叮嚀，
	書寫過程也不會弄髒手，是最貼心的設計。

"
9789570475890,"


	用途: 書法名家的作品. 供臨摹練習之用.

"
9789869744249,"

歐陽詢書法兼擅各體,尤長楷、行書,和虞世男、褚遂良皆為初唐著名書法家,並稱「初唐三大家」人稱「歐體」。
                    
"
9789869581769,"

本書編輯自歐陽詢《九成宮醴泉銘》,全書按照各種部首偏旁加以分類,主要是專為訓練語文競賽寫字組選手所設計教材,國小至高中學生適用。
                    
"
