ISBN,書籍簡介
9789869621489,"


 ■仕鵬老師獨特的「氣質系」硬筆字，由部首開始依次學習，讓靈動的美字成為陪伴自己一生的摯友。
 ■書末附老師手寫歐陽詢、褚遂良、趙孟頫等名家精髓，寫字練心，作品集即是最佳範本。
 ■「活」的習字帖！掃描書中QRCODE，近距離觀看多款示範影片，更可得心應手練好字。

本書特色

 四大特色 精彩絕倫
 1.以部首分類出 1000個例字，千字不重複，生動不枯燥！
 2.每部首均含「寫法說明」、「例字說明」，「NG寫法」等，更加了解書寫重點。
 3.書末附精選作品集，任運流暢的筆法和書寫意境盡在其中。
 4.多款示範影片，可清楚觀看仕鵬老師的運筆，一氣呵成寫美字！

"
9789869629652,"


手寫靜心，一筆一畫都是種修行，

慢慢練，才能練出好心境。

寫字，是一門孤獨的手藝。

──里爾克（Rainer Maria Rilke）

	 

	書寫是一種風格，字如其人，

	每個按、提、挑、捺，都代表一種個性。

	 

	寫出美字、書寫獨處，闡明自己與文字的關係，

	我寫，故我在。

	 

★習字方法

1.  基本筆法總覽

筆順將影響字的結構，使用本書範寫的部首及部件，強化書寫筆順的正確性，增進字的美感。

2.  習寫口訣

掌握筆順及基本筆法名稱，例如：「1橫／按」，「１」是筆順，「橫」為筆法名稱，「按」為運筆要領

3.  例字臨摹練習帖

講究完書寫標準字體的正確性，再以臨摹練習增進字體的優美和流暢線條。

	 

★本書特色

	 

	◎本書結合「練字首部曲」、「練字二部曲」之特點，全書共收錄256字，搭配書中美字原則與要領，能立即掌握訣竅，展現字體美感。

	 

	◎配合教育部頒定之標準字體範寫，適合國小學童練習，作為教師、家長指導範本。

	 

	◎裝訂尺寸輕巧，利於旅行攜帶，隨時靜心練字。

	 

	◎增印正方形十字練習格，提供更多練習次數，方便掌握字的結構及筆畫姿態，達到字字精熟的效果。

	 

	◎基本結構+基本部首+部件組合，打好地基才能蓋出美麗房子！

	 

	各級學校爭相邀訪演講，冠軍寫字名師——黃惠麗老師，系統性收集難寫的繁體字，無私公開結構概念、親筆示範，再複雜的字也能輕鬆駕馭！

"
4719742137474,"

《虔誠的心靈，一筆一畫，體驗經文的精深》抱著誠敬的態度，透過一筆一畫，在書寫中默念經文，體悟經文的博大精深，讓心沉靜，享受寧靜而安適的氛圍。
                    
"
9789868624023,"

一直寫不好字，只是因從來沒有人?過你應該怎樣來寫字而已！書法無法速成，而寫字卻是可以短期就簡單學會的！寫字是否順暢靈活，直接關鍵決定一個學生的長期學習考試效率和最後的教育競爭力！花點時間來重新學好寫字，這是每個人一輩子都會長久用到的技能，相信這樣的時間投資會是非常有價值也非常有意義的。彙整布衣老師一百多場現場研習菁華，讓你學習寫字能走一條最短的直線捷徑，不再辛苦繞彎路和迷路。誰說：成功，一定只能靠苦練。

"
4710405002665,"

聖經被稱作「書中之王」，是全世界出版量最多，被翻譯成最多語言的一本書。親手抄寫，感受更勝閱讀，恭敬抄寫，奇蹟將會產生。本書乃將永恆價值的經典名言，結合書法抄寫，成為最易於誦讀銘記，並內化成人生的指針，與生命中隨時的幫助。本書經句由黃明鎮牧師選編，他將新約聖經裡耶穌所說的話，按時間先後編輯整理為32課，既將耶穌生平與語錄忠實呈現，亦將能拯救心靈、增加力量的話與讀者分享，並適度附以簡單注釋及故事見證，對基督徒靈修很有幫助。即使不是基督徒，閱讀本書也不會有任何困難。書法部分由黃明理博士以硬筆歐體書寫，前半部以百分之百黑色印刷，便於讀者閱讀；後半部則以百分之二十的淡墨印刷，便於讀者抄寫。當你感到喜樂或心懷感恩時；當你感到壓力大或心憂失眠時；當你感到委屈、傷心、疼痛、煩躁或生病時；當你想戒除惡習或對抗誘惑時；當你想追求真理時；本書都將帶給你全新的力量。透過本書，無論是閱讀或抄寫，均能思想耶穌為了拯救世人而被釘十字架的大愛，生命中巨大的轉變都將開始。這是最特別的書，也是最好的禮物。◆推薦人本書由 手寫創作者—葉曄 真誠推薦◆本書 /編輯/ 特色：1.第一本融合「硬筆字書法」與「聖經」經句的精美書籍，自用送禮兩相宜。2.最雋永的文章，最優美的書法。書法部分，由硬筆字前輩黃明理博士以硬筆歐體書寫，第一次出現是用百分之百黑色印刷，便於讀者閱讀；第二次出現則以百分之二十的淡墨色印刷，便於初學者臨摹抄寫。3.全書共32課，每一課分兩部分：前有經文與見證，後有黃明鎮牧師釋義及解說。讀者一邊抄寫經文，一邊能透徹了解經文涵意。即使不是基督教徒，閱讀本書也不會有任何困難。4.精緻的裝幀設計，廣開式書寫開本，可閱讀、可書寫，無論是靜心修練，或是為人祈福，都有安定人心的力量。5.隨書另附「輕復古鋼筆組」，「墨黑」、「星河銀」二款，隨機出貨。
                    
"
9789864893713,"


學英文草寫拜託不要再描字帖！
 經過系統性學習，你也能雙手內建流暢字型

  

 完整字形分析、精準肌肉運用、80+練習範本
 享譽國際英文書法大師Michael Sull濃縮40年經驗  
 為你量身打造
 一個人也能在家把字練好的英文書寫體線下課

 英文書寫體，也就是常見的英文草寫，是最廣泛運用的字體。許多人或許曾在學校練習過，照著字帖反覆寫，但最後還是無法靠自己流暢地寫出來。這種看似簡單，無論用鉛筆、原子筆、鋼筆都能寫的字體，在市面上相當缺乏系統性的教法與教材，不單是台灣，在國外也並不常見。

 美國國寶級書法大師邁克・索爾，承襲了打字機問世前、目前幾近失傳的英文書法技巧，加上40年教學經驗，希望能為所有熱愛手寫的人，撰寫一套在家也能自己練習、具系統性的英文書寫體學習手冊，享受寫一手美字的樂趣。

 本書有別於其他書寫體教學方式，除了詳細解析字形寫法，更包括手臂肌肉如何運作、姿勢校正、維持流暢度的限定交錯練習，以及索爾精心設計超過80篇循序漸進的練習。書中也收錄美國書法的簡介，增進讀者對書寫藝術的了解。

本書特色

 ■台灣第一本國際級大師英文書寫體中文教學著作。
 ■系統性學習英文書寫體，掌握寫字影片無法傳達的技巧跟眉角。
 ■草寫技巧完全剖析，學會流暢又穩定的運筆祕訣，徹底了解大師級肌肉運作。
 ■大小寫字母拆解分析，循序漸進、分段練習，用三個月學會美字。

"
4710405000364,"


中英文習字帖，掌握練字核心關鍵，
	在線條與筆畫間，打造個人風格美字！


	利用習字線格，循序漸進寫好字，
	在筆尖流動的時光中，感受文字的韻味！
	回歸寫字的初心，成就更完整的自己。

★建構美文字力，讓寫字成為日常
	掌握筆畫、筆順、結構3大訣竅，同時附上範例字，字想寫得不好看都難！
	‧筆畫：點、橫、豎、撇、捺等，一筆一畫，讓字體變漂亮。
	‧筆順：把握由左至右、先上後下等原則，破除寫字障礙。
	‧結構：學好字間結構，不擁擠、不鬆散，提升字的美感。

★英文草寫教學，練出一手好看字
	草寫英文是最實用的英文字體，經常使用於簽名、書信中，想要寫出漂亮的英文字，除了掌握書寫規則外，更要透過不斷練習，熟悉運筆的技巧，掌握筆尖流暢度，慢慢地就能以輕鬆、愉悅的心情享受書寫樂趣，展現動人心弦的字跡。

★手寫字應用提案，將文字融入生活
	無論是生日、耶誕等小卡，或是祝賀結婚、新生等禮金袋，就用手寫字取代冰冷的印刷體，傳遞字裡行間的真摯情意，為自己和親友帶來無比幸福感。書中收錄新婚、彌月、喬遷等祝福話語，更有信封、卡片範例，立即寫出好感美文字。

本書特色

	中英文習字帖×GALAXY幻彩鋼筆組
	在線條與筆畫間，書寫漂亮美文字！

	一、中英文美字練習帳
	◎永字八法拆解說明，奠定寫字基本功，一練就上手。
	◎字間架構完整解析，告別歪七扭八的筆跡，輕鬆寫好字。
	◎草寫英文筆順練習，搞懂空間配置祕訣，下筆優美又流暢。

二、嚴選【GALAXY幻彩鋼筆組】
	◎最適合書寫的萬用型F筆尖，耐磨滑順好寫。
	◎三角形筆握，符合人體工學，運筆更穩定。
	◎附5管卡式墨水，黑紅藍一次入手。

"
4719025006558,"


寫字界鋼筆圈兩大名家──九段名師 侯信永& 鋼筆字冠軍 葉曄
	破天荒首度攜手合作！

	★只要21天，兩大名師帶您養成寫字好習慣。熱搜度最高的兩位寫字名師，將自身多年功力轉化為21天練習心法，化繁為簡，從寫字進化到美字的親身經驗大公開。
	★結合現代最潮心靈導師──阿德勒的經典金句，邊寫邊克服人生困境！
	★需要提筆寫字的時刻，我們都幫你準備好了！將寫字真正融入日常生活，以美字為人生中的重要時刻加分！
	★向九段名師侯信永學楷書，向鋼筆字冠軍葉曄學行書，一次學會兩種字體的美字進化法則！
	★隨書加贈1：日本白金Preppy本格鋼筆。日本原裝進口，書寫流暢，滿足字裡行間的穿梭需求。（七色隨機出貨）
	★隨書加贈2：日本白金新款Riviere典雅鋼筆。白金牌最新款鋼筆，採日本進口筆尖，典雅設計筆身，讓您以獨特手感開始書寫每一天！（四色隨機出貨）

	 

	【兩書內容大要】

	 

《21天美字計畫：侯信永╳葉曄╳阿德勒真心教你的寫字練習書》

向九段名師侯信永學楷書，像鋼筆字冠軍葉曄學行書，向心靈導師阿德勒學溫柔與勇氣！

再也沒有比這本更強的寫字書！

	 

	專家說，持續21天做某一件事，就能讓大腦養成習慣，內化成未來的行為。

	這份計畫以21天為期，學習九段名師之長，以鋼筆字冠軍的運筆路數為底。除了練出漂亮的美字之外，更多了生活的溫度。加上現代人心靈導師阿德勒的勇氣與智慧金句，讓這21天的寫字計畫更加充實與美好。

	無論你選擇的是侯信永老師勁直勇健的楷書，或是葉曄老師清麗秀美的行書，這本書都能為愛寫字的人重溫寫字的初衷，為即將愛上寫字的人找到寫字的快樂。

	 

《寫字的日常：享受吧！書寫人生的每一個時刻》

書寫可以很日常，很美好。

在不同時刻以最美的字，流露最真情意……

	 

	需要提筆寫字的時刻，我們都幫你準備好了！

	無論是情人節的情話綿綿、對父母的深切感恩，還是寫給朋友的結婚或畢業祝福……這些想要提筆寫字的時刻，侯信永、葉曄老師已經為你準備好100句體貼好用的日常心情短語。將寫字真正融入日常生活，讓書寫為人生中的每一個重要時刻加分！

	藉由「觀察」名家寫法，「練習」逐字臨摹，最終內化「應用」在日常生活中。為你的書寫人生增添更多生活中的小樂趣，這，便是寫字的美好小時節。

"
9789573288695,"


英美最暢銷、超過數十萬讀者最推薦的英文藝術字學習書
	由4位國外專業英文藝術字老師，以零距離分解步驟方式，
	從基礎筆畫，到各種變化字型教你學會真正的英文手寫藝術字，
	還有不同媒材應用教學！！

	 
快一起來進入充滿創意的英文手寫字世界！
	 
本書教你學會：
	1.大小寫字母、斜體草寫、直體字、花體字、黑板字、自由書寫體、數字
	2.裝飾線、框線、曲飾線、緞帶體
	3.明暗反轉藝術字、彩繪藝術字母、字中字、彩飾字、點畫藝術字、圖形藝術字
	4.數位應用、旗幟、邊框、裝飾花邊
	5.藝術字紋身貼、卡片、送禮標籤、創意桌飾、花押字小方巾

介紹各種實用技巧：
	1.正確握筆與施力方式、坐姿
	2.如何修整字跡
	3.要不要加襯線？怎麼加？
	4.超專業的字體混用秘技
	5.如何用一般筆寫出「書法感」的英文藝術字
	6.如何用Photoshop將手寫藝術字與其他背景結合
	7.如何將水彩與手寫藝術字結合
	8.如何用粉筆寫藝術字在黑板上

只要一枝鉛筆、鋼筆、沾水筆、粉筆、或是畫筆，
	就可以把26個小小的字母，轉化為令人讚嘆連連的創意作品，
	還可以自創字型！

	在手寫字的世界裡，字型的規則就是要給人打破的，你可以自由調整每個字母、每個單字，盡情挑戰與嘗試，一邊練習，一邊發展獨特的風格與技巧。
	 
	藝術字就像其他創作一樣，需要經過練習，假如寫出來的第一個字不盡如意，持續寫下去就對了，過不了多久，不論是曲線、樣式、形狀，一定都會下筆自然如流水。
	 
由美國藝術字老師示範說明，並設計各種練習與動手做單元，
	以分解步驟教學，學會第一手的出色技巧！

	本書特別設計各種練習，教讀者不同風格的英文藝術字以及如何使用媒材，包括沾水筆、鋼筆、水彩、不透明水彩、粉筆，甚至數位應用軟體！

	每個練習與習作的說明都十分簡單明瞭，由國外藝術字老師親自示範。

	搭配書中各式充滿創意的點子，只要照著步驟，你也能夠：
	把自己的親筆字跡變成藝術作品
	設計藝術字海報
	寫在瓷盤上或馬克杯上
	寫在信箋、禮物包裝、餐墊紙
	做成各種創意小物

	請跟著書中的小單元來練習，配合穿插其中的有用小撇步，很快的，你不但熟練英文手寫藝術字，還會發展屬於自己的風格。快點來發揮創意吧！
	 
本書特色

	★最豐富！收錄各種單元，以分解步驟示範，涵蓋多種風格易上手！說明清楚簡單，配合圖解，現學現應用，最適合初學者
	★最詳實！每個章節都有介紹不同媒材與工具，以及如何使用以達到特定的藝術風格
	★提供各種實用的小技巧與小秘訣
	★收錄許多創意點子，提供創作靈感來源

"
9789863812203,"


	鋼筆、原子筆、鉛筆、各種粗細的代針筆…
	任何一種筆都可以隨心書寫
	一邊抄寫聖經名句，一邊以手寫字記錄生活點滴
	格線簡單明瞭，練字同時享受寫字時的俐落暢快感

	★世界第一本中．英．法三語收錄的聖經金句習字帖
	不管你是不是寫字高手，也無關你的宗教信仰….
	12個月，每日1句聖經珍句
	在運筆的一筆一畫間
	用心感受聖經撫慰人心的力量

	當內心需要溫暖的時候，想想在漫長人生中一路有一本聖經箴言的陪伴，需要的時候隨時拿出來閱讀書寫一番，真的是何其幸福的事？誰不曾跌倒、不曾受傷、不曾落寞與失意…任何狀態下的你，只要拿起身邊任何一支筆，打開這一本蘊藏365句豐富手感的華美字體與中英法對照的聖經名句，跟著寫一寫，抒發內心的感覺，感受寫好字寫好句能確實療癒心靈的深層力量。

	每日一句，用手抄寫，用心感受聖經撫慰人心的功效。
	 
	提起筆，與字我風格～療癒美字新銳作家‧王穎珍，
	在一筆一畫之間，找回手寫字的溫度與心靈上的寧靜。

	★手繪小卡－獻給最親愛的家人朋友
	將手寫字體與手作卡片的結合，用手寫聖經名句卡片帶給身邊的人溫暖。
	作者於書末提供了手寫卡片的範本，花點巧思，寫張暖心小卡給親愛的人。

	★中英法對照：
	一邊抄寫，一邊提升外語力！

	★精選十二個月份經典聖經名句：
	配合不同月份的心情轉換，提供心靈上的寄託！
	 
	聖經，是全世界被翻譯成最多語言版本的傳世經典，全球有四分之一以上的人口每天查考並用心研讀聖經。美國已故總統威爾遜曾說：『聖經是世界上最奇妙的書，裡面的經文即使你已讀過幾十遍，一旦重讀，每每都能帶來全新的感受；如果有人想要尋求指引，聖經是首選！』

	本書作者依照月份，每日一則精選聖經嘉言，忠實呈現耶穌語錄；讀者透過每天十分鐘的閱讀或抄寫過程，除了幫助誦讀銘記內化成為人生的行動外，還能在生命迷惑時找到出口與助益。

"
