ISBN,書籍簡介
9789888570973,"


匯聚300多年畫技奧秘　歷代繪畫名家必修之書。
	按繪畫元素進行分類，每種包含「青在堂畫學淺說」「分解習法」「名家畫譜欣賞」三大部分內容，
	從理論到實踐，將中國傳統繪畫技法及其中的人文思想講述的清晰透徹。
	以白話重鑄《白話芥子園》，更適合新一代國畫學習者所用。


	《白話芥子園》以中國繪畫入門教科書《芥子園畫傳》的巢勳臨本為底本進行編輯，最大程度還原了中國畫審美啟蒙之書的原貌，可從中瞭解樹木山巒、人物房舍、昆蟲飛鳥是如何由簡入繁一步步畫出來的；圖畫之外的講解文字更由古漢語教授精心翻譯成白話文，細緻實用，更便於理解。

	畫譜分為三冊《第一卷 山水》《第二卷 蘭竹梅菊》《第三卷 花卉翎毛》，每冊均按照「青在堂畫學淺說」、「分解習法」、「名家畫譜欣賞」三大部分內容，先講解國畫的人文內涵和方法論的探討，然後進行畫法公式的步驟講解，最後附錄名畫欣賞實踐。

	第四卷《青在堂畫學淺說》，將《第一卷 山水》《第二卷 蘭竹梅菊》《第三卷 花卉翎毛》三卷中的「畫論」部分集結在此一冊中，讀者可先讀此小冊子，然後再對照圖譜進行學習。

推廣重點
	1. 匯聚300多年畫技奧秘　歷代繪畫名家必修之書。

	2. 按繪畫元素進行分類，每種包含「青在堂畫學淺說」「分解習法」「名家畫譜欣賞」三大部分內容，從理論到實踐，將中國傳統繪畫技法及其中的人文思想講述的清晰透徹。

	3. 以白話重鑄《白話芥子園》，更適合新一代國畫學習者所用。

名人推薦

	《芥子園畫譜》使世間那些喜歡真山水的人，都能夠享受到自己畫山水的樂趣。不必有畫師的名聲，而可以得到像顧愷之畫山水那樣的真實本領。——清代文學家 李漁

	有了這部畫譜，好像是撿到了一件寶貝，就想從頭學起。 ——近現代中國繪畫大師 齊白石

	 

"
9789888570850,"


	本書收錄了傅抱石的三篇重要繪畫理論著作：《中國繪畫變遷史綱》《中國古代繪畫之研究》《中國的人物畫和山水畫》。這三篇中國繪畫史領域的奠基之作，深入淺出，首次勾勒出中國繪畫的歷史沿革和個性特點，迄今仍具有極高的閱讀和研究價值。

本書特色

	●本書把傅抱石的三部小作輯為一體出版。言簡意精，是很好的大師小作。
	●可與已出版的《中國繪畫史（插圖珍藏本）》《圖說中國書法史》、《圖說中國工藝美術史》配套，代表了中國文化藝術史最重要的門類。

"
9789577358745,"


	中國繪畫源遠流長，歷史悠久。在原始社會，那些岩石或獸骨上的刻畫符號便是繪畫的萌芽。後來，又出現了彩陶繪畫；繼之，先民用筆蘸上礦物、植物顏料在牆壁、絹帛和紙上繪製各種人物、動物以及其他自然物象。歷經漫長的歷史發展和無數畫家的實踐探索，如今，國畫已經成為一門具有鮮明民族風格和獨立審美體系的傳統藝術。

	依據繪畫題材，可將國畫分為人物、山水、花鳥三種類型：人物畫注重表現人物的精神、個性，主張以形寫神、形神兼備；山水畫注重表現自然景觀的審美意象，並以其抒發畫家本人的胸襟、情懷；花鳥畫注重表現花、草、蟲、魚等形態特徵，繼而借物抒情，托物言志。人物畫、山水畫、花鳥畫並稱為中國繪畫的三種畫科，到唐朝時都已經完備存世了。

	國畫創作注重情景交融、形神兼備、虛實相生、動靜結合、有無統一，創作主體關照自然繼而超越物象，感懷人生繼而昇華靈魂。從事國畫創作的人，或官或民，或僧或道，有的熱衷於功名，有的清高避世。縱觀史冊，國畫家的身份可謂多矣。不唯如此，國畫藝術的審美內涵亦非常豐富。千年後的今天，再觀賞那些經典的畫作，我們依然能感受到前輩畫家的內心情感和創作主張。無論是衣袂飄飄、婷婷嫋嫋的仕女圖，抑或是山勢崢嶸、瀑流雄闊的山水畫；無論是宏幅巨制，抑或是精巧小品；無論是惟妙惟肖、精工細作的工筆技法，抑或是酣暢淋漓、大刀闊斧般的寫意風格；無論是呈現錯金鏤彩之美，抑或是表達出水芙蓉之妙；無論是描繪世間萬象，抑或是表現林泉高致，國畫都以其特有的表現語言，令世人驚歎不已。

	本書對國畫藝術的表現技法、風格特徵、分類標準和創作過程做簡要介紹，亦對歷朝歷代國畫藝術的發展做瞭解說和分析，力圖使讀者朋友對國畫藝術的審美追求和發展脈絡有所感知。

"
9789576818073,"


	所謂「四王傳統」，即由「四王」——王時敏、王鑒、王翬、王原祁以及「後四王時代」——與他們有關的族系 （「小四王」「後四王」等）、弟子、再傳弟子及遠接餘緒者，共同形成的一個繪畫傳統。「四王傳統」在世變與畫運中由盛而衰，由衰而興，由興而隆，歷經大起大落，幾度沉浮，但有一條線索是清楚的：以「四王」繪畫為代表的中國繪畫傳統是明晰、綿延而恒定的。以色列社會學家艾森斯塔特在探討中國傳統的現代性時曾這樣論述：「從儒教禮制（Confucian-Legalistic）帝國體系在唐代制度化以來，經由整個帝國的漫長時期，所有政治形態和政治經濟的方式都沒有經歷深遠的變化……在文化領域——特別是哲學、教育和藝術領域——所發生的突破，受到了帝國的主流儒家精英的約束，這在經濟和政治的潛在突破上甚至有過之無不及。」

	這個觀點為探討四王繪畫的傳統性提供了一個參照，「四王傳統」繪畫的反現代性也可在此框架內進行探知。為此，首先要明確兩點：「四王」一系的畫家群體，他們首先是儒者，然後才是畫者，他們所有的思想觀念和行為方式都是存在于沒有經歷深遠變化的儒家禮制帝國體系之中；「四王傳統」的源頭恰恰也是來源於唐代王維的繪畫思想與傳統。如果從這兩點出發進行思考，那麼，關於「四王傳統」繪畫的傳統性與反現代性的全面反思或許會更順暢。

"
9789570531794,"


 畫壇宗師黃君璧先生親自繪畫示範，

 一生中，唯一傳世的一本教導畫作的專書。

 由劉墉先生執筆撰述白雲堂畫派的畫法與精神。

  

 劉墉先生編撰本書，其分析之深入、文筆之精妙，

 深得黃君璧大師讚賞與信賴。

 習畫者使用本書如同當面接受君璧先生的指導，

 欲了解黃君璧大師繪畫之精髓，本書不可不讀。

  

  

 《白雲堂畫論畫法》為國畫大師黃君璧先生所留唯一一本教作畫的書。全書共分為九章，採取分解動作的方式，介紹各種畫法。 其中畫論共九篇，供初學者至專業畫家參考，各章略有深淺差異。基本畫法則以較簡單的方式，介紹不同景物的基本畫法，譬如不同的葉點、 樹枝的畫法等。

 書中共有十七張黃君璧先生款題完整且專為教學而創作的畫作，每張畫都在繪製的中途分三階段(用筆、染墨、設色)攝影製版，使讀者能了解整個創作過程。而且以上的三階段，都附有詳細的文字解說，分析使用的工具、運筆方法、繪畫時的考慮、設色的先後和色彩的構成等，即使小地方也不忽略，讓讀者完全掌握君璧先生作畫過程的細節與技巧。

本書裝幀特色：(16開全彩精裝)

 書衣上下端反摺露出反面的牛皮紙質，中央以燙金呈現墨點，搭配紅色的「白雲堂」用印，整體呈現出古畫軸的典雅氛圍。

"
9789869437219,"


	〈韓熙載夜宴圖〉，為五代十國南唐畫家顧閎中的作品，見於宋《宣和畫譜》，現存此本為宋摹本，圖為絹本設色，長335.5公分，高28.7公分，現藏於北京故宮博物院。

	 

	五代繪畫藝術最興盛的地區是後蜀和南唐，南唐中主李璟喜愛文藝，對畫士尤其恩寵。他在前代南吳的基礎上，將流散的畫家召集到宮中，仿效後蜀畫院的制度，於保大元年(西元943年)建立了翰林圖畫院，先後在畫院供職的畫家有：顧閎中、周文矩、高太沖、朱澄、曹仲元、王齊翰、梅行思、解處中、衛賢、趙幹、董源等十餘人，當時繪畫的繁盛，幾乎空前。

	 

	後主李煜即位後，見韓熙載頗有才能且屢上忠言，欲拜之為相，然而韓熙載已見北宋國勢的強盛與南唐朝廷的衰弱，不願作亡國宰相，故大肆蓄養家伎，並讓家伎與賓客們雜處嬉戲，欲以此自污聲名，以避為相。原本後主惜其才不加以理會，然而這樣的行為引起譁然物議，後主又聽聞到許多流言蜚語，便命畫師顧閎中夜訪韓熙載家中一探究竟。

	 

	趁著月夜，顧閎中混入來來往往的賓客之中，一踏入韓熙載的宅第，只見大廳紅燭高照、燈火通明，竟無夜間該有的寧靜氛圍，茶几上水果羅列、茶點盈桌，女伎與賓客們自在調笑，宴會開始之後，琵琶清亮的音色吸引了眾人目光，緊接在後的是韓熙載親擂撼動人心的羯鼓，與寵伎王屋山輕盈曼妙的六么舞，篳篥與橫笛的樂隊伴奏更令人目不暇給，然而顧閎中欣賞夜宴之餘，也不敢忘記自身的使命，暗自記下與宴大臣的樣貌、女伎與賓客們的互動，這才是後主所關心的。

	 

	宴會結束，顧閎中回到畫院後便開始了〈韓熙載夜宴圖〉的繪製工作，為了展現長時間的夜宴場景，特別將這幅畫分為五個段落，並根據時間順序依次繪出夜宴場景，每段以古代室內常見的裝飾性傢俱屏風相隔，又以屏風相連，使各場景既獨立又相互連繫，終於完成了這幅構圖緊密結構完整的〈韓熙載夜宴圖〉。

	 

	展開這幅圖軸，一股高貴而典雅的浪漫氣息躍然紙上。黑色的几案坐榻，沉厚古雅；寬大的屏風，氣派豪華；媚人的侍女，綺羅飄香。桌上青白瓷杯盤裝滿鮮果與茶點，樂曲如浪潮般更迭而至，曲高和寡的〈霓裳羽衣〉與街坊傳唱的〈六么〉，彷彿都在耳中縈繞，女伎與賓客們相互調笑的動作，突顯了五代亂世中人們及時行樂的真實情感。

	 

	〈韓熙載夜宴圖〉全畫主角南唐重臣韓熙載的歷史評價兩極，有些人認為他蓄伎夜宴的行為放蕩不羈，另一派認為這只是韓熙載用來自保的行為，本書為了還原歷史真相，在史料的蒐集上我們下了許多工夫，除了正史之外，也兼採民間筆記雜史，希望呈現最真實的韓熙載，解開歷史的謎題。

	 

	我們將整理韓熙載生平最為精詳確實的《十國春秋》作為綱要，並以北宋‧司馬光所撰編年體的史書《資治通鑑》為韓熙載的生平大事進行年代的定位，搭配韓熙載自述生平的〈行止狀〉，與身故時南唐‧徐鉉奉命撰擬的〈墓誌銘〉互相參酌，建構韓熙載一生的行誼作為。再揀擇上述筆記與雜史增添韓熙載日常生活風貌，呈現文人雅士性格的多元色彩。

	 

	除了圖畫人物、場景的刻劃，畫中器物的查考也是我們所著重，〈夜宴圖〉出現的樂器琵琶、羯鼓、拍板、橫笛、篳篥，以古畫與古物比對，皆為唐代式樣，而男女服飾衣著特色，則介於唐宋之間，細腳桌椅床榻則略帶宋代風格，樸實典雅的注子、溫壺保存五代遺風，畫裡的細節被近代的研究者們作為斷代依據，也讓我們更了解中國歷史上器物的演變流傳。

	 

	全書先以〈五代亂世中南唐重臣韓熙載〉、〈韓熙載夜宴圖成畫與畫師顧閎中〉、〈人物介紹〉、〈南唐的音樂與樂器〉，對全畫的歷史背景與圖面資訊做全面性的介紹，再以〈韓熙載夜宴圖時代與場景順序考〉考證此畫的流傳與構圖，對於畫中錯置的情節順序我們試著調整剪裁，依次描寫【聽樂】、【觀舞】、【調情】、【清唱】、【歇息】等五個段落，最後以〈結語〉剖析此畫在藝術上與歷史中的價值。

	 

	歷史如洪流無情，然而藝術卻因時間流轉而綻放，這幅〈韓熙載夜宴圖〉記錄了南唐小國於五代亂世中的浪漫丰采，本書以豐富的圖文與充實的內容，引領讀者再次進入那動盪的時代，體驗華麗而淒婉的音樂盛會，讓朝臣雅宴再度滋潤21世紀人們的心靈，中華藝術文化得以延續而不朽。

"
9789571181288,"


	臺灣彩墨畫的發展，歷經移民與被殖民的多元文化衝擊，從傳統水墨的邊緣性格到當代彩墨的跨越邊界，由文人意識的出世思想向時代觀照的入世情懷轉折，臺灣彩墨畫的風格形塑，跳脫集體共感的美學框架，走出一片個別化色彩濃厚的繁茂景象。

	 

	在臺灣師範大學美術學系教授莊連東開設的博士班課程討論中，七位博士生：華建强、許維頴、黃昱斌、林洪錢、高甄斈、游雯迪、林威丞，有感於為台灣彩墨畫的發聲略盡一分心力，他們分別就「跨界出新」與「入世集結」兩個主題進行論述書寫，除了對諸多已經發生的臺灣彩墨現象或議題進行梳理，並且提出屬於年輕世代對彩墨創作思考的獨特觀點。

"
9789570843880,"


透過千年來的國畫史
	我們就像是在見證中國人的情感變化和生命歷程



彭明輝（心靈勵志暢銷作家，《生命是長期而持續的累積》作者）：

	我開始認真研究國畫，原本是想要從國畫去體驗，中國人在數千年歷史內有過哪些偉大的情感與人格，以便回答自己「人活著有什麼值得追求的？人活著有什麼值得珍惜的？」

	後來，我在范寬與五代的山水畫裡，領略到國畫背後莊嚴、崇高的情感世界與思想，也藉此看見自己內在世界裡，那一份莊嚴、崇高而近乎神聖的情懷，

	因而確信：人活著，有遠比名利更值得追求、領會的精神世界等待我們去開發。靠著這份信念的引導，我才走出虛無。

	跨出狹義的繪畫藝術，
	心靈勵志暢銷作家彭明輝援引書法藝術的精神、
	《史記》記載中孔子與季札的音樂美學，
	以及彩陶、青銅器的特色為佐證，相互發明，
	結集成《崇高之美：彭明輝談國畫的情感與思想》，勾勒出先秦以降的中國美學精神。

	藝術保留人類數千年的情感變化，直透、鮮活有如往昔，認真揣摩可以感受到許多超乎言詮的情感、胸懷，有如跟千年前的古人當面對話。

	周朝以來中國有其一脈相承的美學精神，特別重視藝術形式、內在情感和人格三者不分的緊密關係，使得藝術創作突破「雖小道，必有可觀者焉，致遠恐泥」的格局，變成一個值得以生命相許的終生職志，也因而讓我們有機會藉由國畫名作而看見前人偉大的生命丰采。

	彭明輝新作《崇高之美》力求深入淺出，論述的視野也遠比傳統國畫更寬廣：它以國畫為探討的焦點，但是把討論的背景安置在中西繪畫的對比，以及彩陶、青 銅、先秦音樂美學與書法的精神面貌。本書視野橫跨古今中外，用以相互發明，企圖藉此較周延地掌握中國繪畫的美學與文化特質，從而釐清在這中西文化衝突的時 代裡，我們該如何進行藝術、美學與文化的取捨與傳承。

【隨書附贈】范寬《谿山行旅圖》、李成《寒林平野圖》複製版海報各一張

"
9789868700253,"


 李奇茂教授的創作題材廣闊，舉凡人物、畜獸、山水、花鳥、建築皆是，而以人物創作為主軸，他的藝術是台灣平民百姓的生活縮影，更是以藝術生活來見證歷史，其一生奉獻於美術教育與創作，將動態素描融入水墨畫，為水墨畫開啟發展的另一個可能性，將西方極簡主義加入其水墨繪畫創作中，從觀念至理念著手於畫面結構的經營，以高明的手法佈局黑白灰的平衡，將黑白的虛與實重新演譯。其繪畫藝術具當代面貌又不失東方意象，橫跨中西創作的思維。

 李奇茂教授此次創作發表主題－「話左話右」再次展現新思維，並以台灣藝術大學的人文環境為主要內容的創作實踐，嶄新多變尋求另一次的突破性。

"
9789866049422,"

首次為中國傳統筆墨揭密的世紀對談華人藝術史界筆鋒最犀利的徐小虎，與當代最富盛名的書畫收藏家王季遷，精彩訪談問答實錄！揭開中國書畫千年筆墨奧祕的經典之作！掌握筆墨要義，等於成功進入書畫鑑賞的第一步；懂得筆墨鑑賞，你也能看懂古代大師的曠世巨作！【精彩摘錄】．多數人賞畫是在「看一幅畫」，唯有「讀筆墨」才能真正了解作品的精髓。．好的用筆特質在時代的演變中必然是不變的，而外在的美感卻會隨著時代而改變。．「美」是一個整體，源於自然，被限制或改變的只是我們的看法，而不是美的本身。．人的天性是美好的，生來就具有純淨、天真無邪的本質……但是當他長大，知道物質的誘惑，可能就開始變俗了。讀懂筆墨就能看懂書畫！．面對真假難辨的書畫拍賣市場，如何洞燭機先？具備鑑賞的眼力及能力？ ．走進書畫展場親睹大師畫作時，如何感受大師們的創作精髓及奧祕？ ．對中國書畫鑑賞、收藏有興趣，卻苦無指引，不得其門而入？．喜愛書法、繪畫，渴望對筆墨的氣韻生動，能有更精準的體悟與感動？一位是在中國古書畫鑑定斷代堅持五十餘年的徐小虎，一位是當代極富盛名的旅美書畫收藏家王季遷，透過作者徐小虎歷時近十年的精彩訪談，兩人以時而直言犀利，時而幽默風趣的提問對答方式，對中國古書畫的各種疑難，一一提出精闢的觀點與見解。書中王季遷以其個人的藝術創作經驗和多年來在中國繪畫史的研究及鑑藏心得，分別針對用筆、墨跡、紙張，乃至書畫品評、等級、收藏心態等等，作了具體的分析與說明。他強調：唯有以自己的眼、手，親自去「看」、去「畫」、去「模仿」每一位大師的獨有筆法，才是奠定書畫收藏鑑賞方法的不二準則。此外，針對中國書畫筆墨的分析與探討，更是貫穿全書，引人入勝。筆墨可謂畫家個人獨一無二的內在天賦與創作靈魂，翻開中國書畫史，對於筆墨的探討幾乎微乎其微，本書精彩記錄王季遷關於筆墨鑑賞的獨到觀點及看法，彌足珍貴。誠如王老所言：「如果你不看一個畫家基本表現潛能之發揮（即透過筆墨），那麼你將看不到中國畫的精髓。書法就更不用說了。」本書同時也深入剖析中國書畫史上萬古流芳的大師們，如黃公望、夏珪、沈周、唐寅、石濤、八大山人、倪瓚、四王、牧谿、陳洪授……等藝術家的精彩創作，針對作品的時代風格、用筆技法、筆墨特質、構圖布局……等等，提出鑑賞的方法與準則。讀懂大師筆墨，掌握箇中精髓，只要用心觀照，你也能細品中國文化之美，看懂書畫的玄祕奧妙！本書特色1.進入拍賣市場的最佳書畫鑑賞入門書2.第一本揭開書畫千年筆墨奧祕的精彩著作3.書中內容以對談問答形式呈現，大師觀點立即掌握4.針對古代書畫大師（沈周、唐寅、石濤、八大山人、倪瓚……）等藝術家的畫作進行深入剖析5.一本適合作為藝術研究與欣賞中國書畫的參考書籍及教材
                    
"
