ISBN,書籍簡介
2715202200261,"


本套書組合含：

《史賓賽聖經：美國國寶級書法大師教你寫一手最正統的優雅美字》、《英文書寫體自學聖經：美國國寶級大師為你量身訂製，字形分析肌肉運用✕運作練習，經歷百年淬鍊的專業系統教學，讓你寫一手人人稱羨的美字》

	 

《史賓賽聖經：美國國寶級書法大師教你寫一手最正統的優雅美字》

	 

國際級書法大師Michael Sull數十年精華傾囊相授

台灣第一本大師級花體字中文著作

手把手教你寫出最華美、最正統的英文書法

	 

	不要再描字帖、學會字母形狀分析、下筆更有準頭

	從草寫基礎筆畫到前臂運用

	美字技巧不藏私徹底公開

	 

	初學者不必再走冤枉路  進階者檢視細節與美感

	讓大師帶你踏入英文書法藝術殿堂

	 

	近年來愈來愈多人對英文書法感興趣，不僅裝飾性強可以應用在設計、手帳上，同時也深具療癒效果，空閒時間靜心練字，紓解壓力。但英文書法字體繁多，如果缺乏系統性練習，即使照著字帖寫，下筆總是不太對勁或成果讓人不滿意。

	 

	史賓賽體是全球公認最美的英文草書字體之一，連可口可樂logo也採用這種字體。在打字機出現前，史賓賽體是美國最盛行的書寫與記錄字體，不僅筆畫流暢優雅，讓日常書寫看起來舒服均衡，大寫更帶有豐富變化，裝飾性強，適合發展個人風格的書寫。

	 

	邁克・索爾身為美國國寶級書法大師，年逾七十的他從事書法及教學數十載，年輕時就開始書法生涯，有幸曾獲得書法黃金年代大師的指導，是美國碩果僅存承襲史賓賽流派的正宗繼承者，連美國前總統雷根也聘請他當專屬書法家。

	 

	《史賓賽聖經》是他多年心血結晶，完整介紹史賓賽體的書寫方式，包括沾水筆的運用、前臂肌肉運用書寫技巧、基礎筆畫拆解分析，更詳細說明每個字母的寫法、史賓賽獨特的轉筆，以及裝飾大寫的各種變化。熱愛英文書法的讀者不能錯過向大師學習的絕妙機會。

	 

本書特色

	 

	1. 台灣第一本國際級大師英文書法中文教學著作。

	2. 系統性學習英文書法，掌握寫字影片無法傳達的技巧跟眉角。

	3. 沾水筆技巧完全剖析，學會運筆、壓筆祕訣，徹底了解大師級前臂運作。

	4. 大小寫字母拆解分析，分段練習，再複雜的美字也不怕。

	 

好評推薦

	 

	舞龍老師、幾不、做作的Daphne、筆尖溫度佳伶老師、王聖哲

	台灣知名英文書法家一致推薦

	 

《英文書寫體自學聖經：美國國寶級大師為你量身訂製，字形分析肌肉運用✕運作練習，經歷百年淬鍊的專業系統教學，讓你寫一手人人稱羨的美字》

	 

學英文草寫拜託不要再描字帖！

經過系統性學習，你也能雙手內建流暢字型

	 

	完整字形分析 X 精準肌肉運用 X 80+練習範本

	享譽國際英文書法大師Michael Sull濃縮40年經驗  

	為你量身打造

	一個人也能在家把字練好的英文書寫體線下課

	 

	英文書寫體，也就是常見的英文草寫，是最廣泛運用的字體。許多人或許曾在學校練習過，照著字帖反覆寫，但最後還是無法靠自己流暢地寫出來。這種看似簡單，無論用鉛筆、原子筆、鋼筆都能寫的字體，在市面上相當缺乏系統性的教法與教材，不單是台灣，在國外也並不常見。

	 

	美國國寶級書法大師邁克・索爾，承襲了打字機問世前、目前幾近失傳的英文書法技巧，加上40年教學經驗，希望能為所有熱愛手寫的人，撰寫一套在家也能自己練習、具系統性的英文書寫體學習手冊，享受寫一手美字的樂趣。

	 

	本書有別於其他書寫體教學方式，除了詳細解析字形寫法，更包括手臂肌肉如何運作、姿勢校正、維持流暢度的限定交錯練習，以及索爾精心設計超過80篇循序漸進的練習。書中也收錄美國書法的簡介，增進讀者對書寫藝術的了解。

	 

本書特色

	 

	1. 台灣第一本國際級大師英文書寫體中文教學著作。

	2. 系統性學習英文書寫體，掌握寫字影片無法傳達的技巧跟眉角。

	3. 草寫技巧完全剖析，學會流暢又穩定的運筆祕訣，徹底了解大師級肌肉運作。

	4. 大小寫字母拆解分析，循序漸進、分段練習，用三個月學會美字。

	 

好評推薦

	 

	台灣知名英文書法家 舞龍老師、幾不、做作的Daphne、筆尖溫度佳伶老師

	丁乃箏（表演工作坊導演）、倪重華（MTI音樂科技學院基金會董事長） 推薦

	 

"
9789869829779,"


看101位赫赫有名的中國畫家，如何揮灑墨筆，推動千年的美術巨輪

全新修訂，附獨家整理「中國美術史圖表」

	 

	中國繪畫美學不同於西洋藝術的迷人之處，在於它猶似鏡花水月，虛影寫意的創作方式，自然流露其獨特的感性審美趣味，以及充滿詩意的藝術世界。

	 

	《你不可不知道的101位中國畫家及其作品》精選101個中國美術史名家，專門為中國美術有興趣之研究者、準備文化行政／藝術研究所的考生，或是有志投入藝文產業的人士，累積你中國美術史的知識，涵跨中國美術史上的名家、流派、風潮，更獨家整理中國美術史簡表，兼顧美學與實用。

	 

	本書以歷史為縱軸，畫家為橫軸，選取101位影響中國繪畫歷史的名家及其代表作品，縱跨魏晉南北朝、隋唐、宋、元、明、清以至近現代，全面性呈現名家輩出、派別林立的完整風貌。圖文並茂的敘述形式及特製的「中國美術史圖表」，輕鬆品味歷代中國畫家的經典雋永作品，藉由畫作解析進而瞭解其師承脈絡，掌握中國繪畫的重要轉折，及其所象徵的歷史意義。

	 

	匯集101位中國畫家的繪畫故事，帶領您走一趟中國繪畫藝術由傳統邁向現代的發展脈絡，看見中國三大畫種：人物、山水、花鳥畫的風貌變遷歷程；工筆、寫意的交錯變化；文人畫的來龍去脈，以及書卷氣質的形成軌跡。一幅幅大師筆下的傳世珍品，侃侃述說那一頁頁豐富多姿的中國千年繪畫史。

	 

"
9789860269291,"

家庭美術館叢書，記錄十位台灣前輩美術家的丰采與成就台灣前輩美術家藍蔭鼎之歷程追溯與作品解析藍蔭鼎（1903-1979）出生於宜蘭羅東鄉下，一生際遇特殊。十八歲即擔任公學校美術教員，二十二歲時拜日本水彩畫家石川欽一郎為師，隨石川習畫四年，受其影響深遠。藍蔭鼎雖在台灣畫壇上具有舉足輕重的地位，卻走著一條與眾不同的繪畫道路，被藝術學者形容為「在石川的獨木橋上──成功者的孤影」。藍蔭鼎大器早成。先後兩次赴日本進修，作品多次入選日本帝展及在國際畫壇上獲獎。其水彩畫已脫出西方水彩渲染的侷限，具有一種綿密的敘述性，同時含有獨特蒼潤、渾厚靈虛的氣質。他一生以執著不變的畫風來詠嘆台灣山川風土之美，追求真善美聖，作畫題材多取自台灣鄉間、陽光充沛的自然原野，畫幅中洋溢著他親身對台灣鄉土的關愛，堪稱是將「台灣之美」表現得最淋漓盡致的美術家。本書為藍蔭鼎的生平與成就介紹，以六章追溯其藝術發展、作品特點與藝術成就，為藝術家在近代台灣美術史上的足跡，留下紀錄。「家庭美術館──美術家傳記叢書」十位藝術家介紹：《簡練．玄邈．林克恭》《墨焦．筆豪．張光賓》《婉麗．典雅．金勤伯》《靜謐．清澄．蕭如松》《豐美．彩繪．潘麗水》《渾厚．燦爛．朱德群》《鄉情．美學．藍蔭鼎》《純粹．精深．陳德旺》《使命．關懷．莊  索》《翰墨．禪心．呂佛庭》
                    
"
9789860405699,"


	本叢書主要內容涵蓋臺南相關的知名前輩藝術家，以每位藝術家挑選一件最具代表性的作品從中探討，並涉及其生平、背景、時代意義並與其他畫作之介紹，撰文方向深入淺出，以學術為底、大眾化為訴求。

"
9789862820995,"


陳澄波（1895-1945）全集共16卷，綜觀畫家生涯與美學演變的研究參考依據
 第五卷收錄約一千二百餘件速寫作品，提供陳澄波的繪畫藝術觀察新視點

  

 陳澄波現存的素描簿計有38本，其中含圖、文頁面約有1218面。最初的年代標記「1925年10月24日」出現於素描簿SB01，為裸女素描；最晚的「1944年4月5日」則出現於素描簿SB34，是嘉義公園的寫生；期間僅1943年無查獲年代標記。畫面主題以裸女素描、風景寫生、街景寫生居多，間有人物速寫、靜物素描等等。媒材方面以鉛筆畫為主，僅有少幅毛筆畫、鋼筆畫。而對於對象物的掌握，不論是外形或是明暗表現，皆著重筆線的運用，不敷彩亦不著色，惟鋼筆畫系列綴有墨水暈染的局部強調。

 由於38本素描簿至今為止不曾被完整發表，致使常見的介紹方式偏向少幅且單一脈絡的資料性援用，本卷從38本速描簿中的分別選出約1200餘幅作品，期待此資料能為此項研究繼續開拓新領域，展開不同面向的探討。

"
9789862822784,"


	陳輝東於1938年2月出生在日治時期的臺灣古都，兒時對戰亂避難的記憶與印象，對他往後受邀作畫時的「臨場感」表現是有幫助的。陳輝東的繪畫養成教育可以說是完全自學成才，面對著前衛藝術思潮洶湧澎湃的時代，陳輝東在思索內在情感與外在表現如何取得一致的審美觀。

	 

	對陳輝東而言，「人物」與「船」的主題意象是他一生繪畫歷程中探究最長與最深的繪畫門類，也是他樹立自我風格、建構「真、善、美」藝術哲學思想的胚胎。陳輝東的創作從具象繪畫到抽象，再從抽象轉向半具象，歷經「表現主義」、「象徵主義」，1980年代再重返「寫實主義」，他如此自持穩重乃因心中有一套超越時代的美感思維：「真、善、美」完形論的理想。在他的美感思維和繪畫哲學裡，「美」與「善」是本質，「真」是實踐，亦即他心中代表「美」與「善」的繪畫境界，必須以最真實的表現法詮釋。他的一生奮鬥讓他成為臺灣美術史寫實繪畫的頂尖人物之一，不僅締造全能畫家的典型之外，也催生了「臺南市立文化中心」，為他的家鄉留下不少臺灣名家的作品。

	 

本書特色

	 

	《臺灣美術全集41．陳輝東》收錄陳輝東藝術生涯各時期經典作品彩色圖版，每件作品皆附作者詳實的文字解說，帶領讀者了解藝術家歷來創作風格的演進與變化；並透過王哲維老師執筆的研究專文，為讀者詳細剖析藝術家的生命及創作歷程。同時附錄百餘幅的生活寫真、速寫等參考圖版，使讀者能更貼近藝術家的真實樣貌。全書結合專文研究、圖片欣賞、視覺分析、生活化記事，是近年資料最齊全的陳輝東個人專集。

	 

"
9789862822753,"


	本書收錄畫家李君毅「心印臺灣」系列創作與創作自述等相關專文，以後殖民理論為主旨，帶領讀者從「文化歸屬」和「鄉土寫實」兩大取徑，看見藝術家如何以「黃金分割」的橫幅畫面，呈現個人理智思維相符的現代水墨，在視覺上產生印合「以心印心」意涵的和諧效果。

	 

本書特色

	 

	畫家李君毅深具文化自主性的水墨藝術集結。

"
9789865321345,"


陳其茂（1920-2005）
	 

	陳其茂為臺灣第一代版畫家，出生於福建，畢業於廈門美專，1946年應邀來臺後，逐漸放棄寫實路線的木刻，轉向詩意版畫發展。

	 

	1950至1960年代，陳其茂發表了抒情「青春之歌」系列、山地「原野之春」系列，以及風土「天鵝湖月色」系列。這些細膩的作品搭配詩文，表現出純靜、深遠、童真的趣味，充滿浪漫的鄉土氣息。隨後，受到現代版畫的影響，他也開始嘗試不同材料和技法，融合出獨特的個人風格。

	 

	陳其茂一生中擁有多次豐富的海外旅遊經驗，他將這些異國經歷醞釀成深具意境的佳作；1997年後，他更前往中東與非洲，以粗獷有力的刀法和鮮明的黑白對比，表現對阿拉伯世界與沙漠文化的體會。

	 

	除了版畫，陳其茂也擅長油彩。他組織「中華民國版畫學會」、「人體畫會」，創辦「臺中市藝術家俱樂部」，曾榮獲金爵獎、金璽獎等殊榮，數十年來熱心於美術推廣教育，作育英才無數。

	 

	陳其茂於2005年逝世，他在臺灣居住近六十年之久，作品滿是對這塊土地的濃厚感情，以拓荒者的毅力，求新求變、求真求善，為臺灣現代版畫的發展扎下堅實強韌的根基。

	 

本書特色

	 

	「家庭美術館──美術家傳記」系列叢書

	精選十位各擅油畫、版畫、水墨、素描、書法等領域之臺灣資深美術家

	細述他們生命旅途中的層層風景，以及銘刻在臺灣藝壇的美術成就

	全套書以深入淺出的文字、精美細緻的圖版，結合電子書與影音的多元化閱讀模式

	為讀者打造一套兼具美感、質感，輕鬆認識臺灣美術史的優質讀物

	 

"
9789865321390,"


李義弘（1941-）

	 

	李義弘，字在川。自1970年代起，師事山水大師江兆申，經常以臺灣的田園風光為題，結合攝影興趣，跳脫出師承與傳統的表現，而陸續獲得中山文藝創作獎、吳三連文藝獎等殊榮與肯定。

	 

	1985年，李義弘撰寫《自然與畫意》一書，書中大量運用他在臺灣各地拍攝的樹石風景，搭配中國經典繪畫的圖版，內容涵蓋鄉土寫生、文人筆墨、南臺灣風景、中國山水等，大幅影響了當時畫壇的水墨創作風氣，是集結他創作思維的重要著作。

	 

	熱愛嘗試、體驗新事物的李義弘，持續從攝影、電影、音樂、旅行等經驗中擷取創作養分，走過印北高山、中國黃山、歐洲鄉村等地，不斷從行旅遊蹤中擷取靈感，深化水墨蘊含，轉化成「印北行腳」、「黃山冊頁」、「玉山行」、「石頭時代」、「金色海岸」等系列的精彩作品。

	 

	六十歲後，李義弘開始思索如何面對新潮流、文化、土地，與當代的創作態度。他從自己的居住地出發，畫出三芝到北海岸的島嶼，重新實踐搨拓、噴墨、流動的當代形式，再現大自然雲彩、光暈、藍海、水花、礁石、夕照、寒雨、霾霧的海洋經驗，歸引觀者進入藝術心靈的沉澱。

	 

	李義弘作品中始終保有屬於臺灣土地的純樸氣息，他那淵源於文人山水的在地翻轉，反應著幾十年來深居鄉間的土地情懷，使傳統更顯透澈地落實於土地；他的畫不僅存有拓荒精神，也煥發著不絕的時代新意，進一步將水墨畫推展到當代視覺意向，表徵出最具臺灣風貌的島嶼風光。

	 

本書特色

	 

	「家庭美術館──美術家傳記」系列叢書

	精選十位各擅油畫、版畫、水墨、素描、書法等領域之臺灣資深美術家

	細述他們生命旅途中的層層風景，以及銘刻在臺灣藝壇的美術成就

	全套書以深入淺出的文字、精美細緻的圖版，結合電子書與影音的多元化閱讀模式

	為讀者打造一套兼具美感、質感，輕鬆認識臺灣美術史的優質讀物

	 

"
9789865321413,"


黃光男（1944-）

	 

	1944年出生於高雄的黃光男，初中時受到美術教師蔣青融啟蒙，開啟對藝術愛好之門；就讀屏東師範期間，遇見恩師白雪痕；1966年，黃光男考入國立臺灣藝術專科學校美術科國畫組，受教於金勤伯、傅狷夫等名師，在書畫理論及創作上日益專精。

	 

	1970年代，黃光男在高雄新聞報文化服務中心舉辦首次個展；在屏師任教期間，更赴省立高雄師範學院國文系及師大美術研究所進修。他的水墨訓練扎實，特別在花鳥畫所下的功夫最深，擅長刻畫真實而在地的面貌與主題，作品面貌多變多樣，堪稱是臺灣水墨藝術界中創作光譜最廣的畫家之一。

	 

	1986年，黃光男通過甲等特考，成為臺北市立美術館首任館長，進而變成藝術行政領導者。1995年，他轉任國立歷史博物館館長，提出許多活化政策，舉凡文創行銷、國際姊妹館簽訂、博物館館長論壇等，尤其是開創臺灣的超級大展風潮，「兵馬俑——秦文化特展」更是創下百萬以上人次的觀展記錄，讓他獲得「百萬館長」稱號。2004年，黃光男當選國立臺灣藝術大學校長，將博物館經營的概念導入校園，促使臺北紙廠轉化為「文化創意產學園區」；同時創立人文學院、版畫藝術研究所、藝術管理與文化政策研究所等。2011年，黃光男以深厚的藝文資歷被延攬入閣；2019年擔任臺南市美術館董事長，以豐富的藝術行政經驗，持續引領藝壇後輩前進。

	 

	從南部水墨創作者及教師到臺灣全方位的文藝領導者，黃光男兼擅藝術論述、藝術教育、文學等等，展現全方位的藝術能量與前瞻性的文化創意，為臺灣藝術界的典範。

	 

本書特色

	 

	「家庭美術館──美術家傳記」系列叢書

	精選十位各擅油畫、版畫、水墨、素描、書法等領域之臺灣資深美術家

	細述他們生命旅途中的層層風景，以及銘刻在臺灣藝壇的美術成就

	全套書以深入淺出的文字、精美細緻的圖版，結合電子書與影音的多元化閱讀模式

	為讀者打造一套兼具美感、質感，輕鬆認識臺灣美術史的優質讀物

	 

"
