ISBN,書籍簡介
9789866399534,"


	國畫以其鮮明的藝術特色，成為中華民族文化的一個重要組成部分。本書以專題案例的形式，從廣大中老年國畫愛好者的實際需要出發，系統講解了繪製國畫寫意山水雲樹的工具材料、基本概念、學習過程與方法，以及寫意山水雲樹的創作方法。

	全書內容豐富，共六個部分。第一部分介紹寫意畫的基礎知識，包括常用工具和保存常識、筆法、墨法和色法。第二部分詳細地介紹了山石的繪製技法，包括山石的基礎畫法、常見山石的組合和常見山體的畫法。第三部分詳細地介紹了樹的繪製技法，包括樹幹的畫法、樹枝的畫法、樹葉的畫法、常見樹的畫法和樹的組合畫法。第四部分詳細介紹了雲和水的畫法。第五部分詳細介紹了點景的畫法，包括了房屋的畫法、橋的畫法、船的畫法和人物的畫法。第六部分介紹了山水畫的不同畫幅形式，包括了摺扇、圓扇、條幅和斗方。本書對於正準備提高國畫寫意繪畫修養和技法的讀者來說是一本不錯的教材和臨摹範本。

	本書適合美術愛好者自學使用，也適合作為美術培訓機構的培訓教材。

"
9789574741649,"


	一個人能做詩、會寫字、會畫畫，我們便稱讚他詩書畫三絕，是藝術家盡善盡美的表現。中國文化中就有這種綜合的美，我稱之為交響樂章之美……中國的這種綜合藝術，在形式和造詣上都顯得十分突出。由於中國的文字淵源於象形，所以原就有圖畫之美。又由於毛筆工具之特殊性質，書法的造詣也十分卓絕，世界上很少有這種以字形來傳達複雜情愫的。若再加上自撰詩歌，把這三者合為一體，那就在世界藝壇上獨樹一幟了。─李霖燦

	「我，一個老博物館員，看了一輩子畫，看了一輩子字，也讀了一輩子詩。」李霖燦這麼說。他提出中國畫的獨樹異幟，就在於詩書畫三者合為一體，擁有交響樂章之美，是藝術家盡善盡美的表現。

	本書是李霖燦著《中國詩書畫欣賞》（1995年出版）圖版放大，重新編排而成的。

	第一單元〈畫中有詩〉―賞析十多幅具詩意的名畫，如宋李公麟〔麗人行〕「三月三日天氣新，長安水邊多麗人。」元莊麟〔翠雨軒圖〕「日暮蒼山遠，天寒白屋貧。」元趙孟頫〔鵲華秋色〕「只恐雙溪舴艋舟，載不動、許多愁。」……

	第二單元〈書中有詩〉―本單元介紹數幅書情、詩意、哲思，三者兼而有之的書法作品，如唐懷素〈自敘帖〉、唐孫過庭〈書譜〉卷、宋蘇東坡〈黃州寒食詩〉卷、宋黃庭堅〈七言詩花氣薰人帖〉……

	第三單元〈詩書畫三絕〉―如宋徽宗〔蠟梅山禽〕、明唐寅〔西洲話舊圖〕等為圖畫、書法、詩歌三者合而為一之精品，在世界藝壇上只有中國書畫，才有如此高層次的濃郁溶合。

	本書篇篇精彩，言近旨遠，是悠遊中國詩書畫的最佳導讀書。為使讀者「讀畫」更上層樓，本公司特別企劃【李霖燦導讀故宮名畫精粹】系列三書：《神遊：古今第一山水畫》、《獨秀：中國名畫之最》、《三絕：中國詩書畫》，讓永遠的博物館員李霖燦，帶領您暢遊歷代書畫家之藝術哲思與堂奧。

"
9789574741625,"


	山水畫一開始便有一個完整的「意境」要傳達。不只拘限於對象的「描繪」，更不只是大自然一角的摘取；這也就是中國山水畫有長卷，西洋風景畫裝鏡框的原因。同樣的，西洋風景畫家要帶著畫架對著大樹來實地描繪，柯洛就曾經被一位農夫問過：還畫它作什麼？樹不是已經在那裡了嗎？因之，中國山水畫給人的印象是一個「全」字，每一幅畫都是完整的構圖而並不是對象的寫實，事實上也並沒有那樣的真山真水。而西洋的風景畫則是大自然的一部分，裝在鏡框中就正如從窗口中透視過去，美景如畫的就在窗外...... ─李霖燦

	本書內容是從李霖燦1970 至1980 年代，於各雜誌所發表的文章集結而成的。中國山水畫富「隱逸思想」之內涵，所嚮往的是漁讀耕樵四逸四樂之理想境界。這是源自於三國諸葛亮至晉竹林七賢，一種消極退避之思想。後來，經由文學家的渲染鼓吹，人們開始輕鐘鼎（從政為官）而讚山林，也造就了山水畫漸成中國畫的主流。

	第一單元〈進入中國山水畫的天地―源起、特色與功能〉：由「亂世隱逸與山林文學及山水畫興起的關聯」；「山水畫有一個完整的『意境』要傳達」；「皴法的發明與特色」；「沈括《夢溪筆談》：凌空鳥瞰洞見奧曲的構圖滿全」；「點苔的重要性」等觀點切入，導讀山水畫的基本認識。

	第二單元〈千古名筆―中國山水名畫欣賞〉：作者以深入淺出的文字，搭配大圖及局部解說，一一賞析北宋畫家范寬〔谿山行旅圖〕、北宋郭熙〔早春圖〕、北宋李唐〔萬壑松風圖〕、南宋馬遠〔山徑春行〕、南宋馬麟〔秉燭夜遊圖〕與元黃公望〔富春山居圖〕卷等山水名畫，在形式與內容上，對中國藝術史的關鍵影響性，還有畫家個人的特質及對中國畫史的貢獻。本書篇篇精彩，言近旨遠，是輕鬆進入中國山水畫的最佳導讀書。

	為使讀者「讀畫」更上層樓，本公司特別企劃【李霖燦導讀故宮名畫精粹】系列三書：《神遊：古今第一山水畫》、《獨秀：中國名畫之最》、《三絕：中國詩書畫》，讓永遠的博物館員李霖燦，帶領您暢遊歷代書畫家之藝術哲思與堂奧。

"
9789865529840,"


融入生活、結合時尚

受用一輩子的實戰式技法祕笈

水墨原來可以這樣玩！

	 

◎聽到「水墨畫」通常會有什麼反應？

	「感覺是很古老的東西啊！想不出來可以畫什麼。」

	「好像很難，不知道從哪裡開始下手。」

	「準備工具有點麻煩。」

	「很少用毛筆欸，畫壞了怎麼辦？」

	「只有一種顏色，好無聊喔！」

	不不不！這本書將會徹底改變你對水墨畫的刻板印象！賀年卡、杯墊、標籤、夜燈、紙袋、手帕……什麼都可以畫，既是美麗又時尚的裝飾，又同時具有實用價值。翻開本書你會驚訝：原來水墨和我們的生活息息相關！

	 

◎覺得不知道怎麼下筆？

	別擔心，一步步分解動作、實戰練習，只要照著步驟畫就沒問題！

	 

◎準備工具很麻煩？

	看過來，特別收錄文房四寶選購祕訣，50元商店也OK，讓你跑一趟就搞定！

	 

◎畫壞了該怎麼辦？

	請放心！水墨畫的世界裡沒有所謂的「失敗」！就算不小心一筆畫歪了，也能夠化為藝術。作者精心傳授的各種想像力技巧一次呈現，讓你毫無壓力地和筆墨「玩」在一起！

	 

◎主題都很老套？

	除了梅蘭竹菊、四季花卉、山水人物，這裡還有更多選擇！教會、雨景、街燈、海灘……就連聖誕老人也難不倒！

	 

◎認真想學水墨技巧？

	從點、線、面基礎技法入手，再到融合「喜怒哀樂」的進階情感表達，讓水墨在你手中「活」起來！

	 

	在五彩繽紛的時尚世界裡，單色調反而擁有更多能夠刺激想像的力量。邀請你打開大門，一同走入水墨畫的世界！

	 

本書特色

	 

	◎主題實用有趣、時尚多元，跳脫一般人對水墨畫的刻板印象

	◎一步步分解動作、實戰練習，拿起筆來就能畫，誰都可以學得會

	◎基礎技法+進階心法一次傳授，無論程度到哪都能終生受用

	 

"
9789866142888,"

「新經典」一詞，乍看似乎是個偽命題，「經典」必然不新鮮，「新鮮」必然不經典，人所共知。 那麼，怎樣理解這兩個詞的混搭呢？ 先說「經典」。在《挪威的森林》中，村上春樹闡釋了他讀書的原則：活人的書不讀，死去不滿30年的作家的作品不讀。一語道盡「經典」之真諦：時間的磨礪。烈酒的醇香呈現的是酒窖幽暗裡的耐心，金砂的燦光閃耀的是千萬次淘洗的堅持，時間冷漠而公正，經其磨礪，方才成就「經典」。遇到「經典」，感受到的是靈魂的震撼，本真的自我瞬間融入整個人類的共同命運中，個體的微小與永恆的廣大集合莫可名狀地交匯在一起，孤寂的宇宙光明大放、天籟齊鳴。這才是「經典」。 卡爾維諾提出了「經典」的14條定義，且摘一句：「一部經典作品是一本從不會耗盡它要向讀者說的一切東西的書。」不僅僅是書，任何類型的藝術「經典」都是如此，常讀常新，常見常新。 再說「新」。「新經典」一詞若作「經典」之新意解，自然就不顯突兀了，然而，此處我們別有懷抱。以卡爾維諾的細密嚴苛來論，當今的藝術鮮有經典，在這片百花園中，我們的確無法清楚地判斷哪些藝術會在時間的洗禮中成為「經典」，但卡爾維諾闡述的關於「經典」的定義，卻為我們提供了遴選的線索。我們按圖索驥，集結了幾位年輕畫家與他們的作品。他們是活躍在當代畫壇前沿的嚴肅藝術家，他們在工筆畫追求中別具個性也深有共性，飽含了時代精神和自身高雅的審美情趣。在這些年輕畫家中，有的作品被大量刊行，有的在大型展覽上為讀者熟讀熟知。他們的天賦與心血，筆直地指向了「經典」的高峰。 如今，工筆畫正處於轉型時期，新的美學規範正在形成，越來越多的年輕朋友加入創作隊伍中。為共燃薪火，我們誠懇地邀請這幾位畫家做工筆畫技法剖析，揉合理論與實踐，試圖給讀者最實在的閱讀體驗。我們屏住呼吸，靜心編輯，用最完整和最鮮活的前沿信息，幫助初學的讀者走上正道，幫助探索中的朋友看清自己。近幾十年來，工筆畫繁榮，這是個令人心潮澎湃的時代，畫家的心血將與編者的才智融合在一起，共同描繪出工筆畫的當代史圖景。 話說回來，雖然經典的譜系還不可能考慮當代年輕的畫家，但是他們的才情和勤奮使其作品具有了經典的氣質。於是，我們把工作做在前頭，王羲之在《蘭亭序》中寫得好，「後之視今，亦猶今之視昔」，留存當代史，乃是編者的責任！ 在這樣的意義上，用「新經典」來冠名我們的勞作、品位、期許和理想，豈不正好？
                    
"
9789863596004,"

會看，會畫，會品味第一本全面認識水墨畫的入門書對於「水墨畫」，一般人的認知是：強調寫意的；虛無縹緲的；無論山水、花鳥，每一幅作品看起來都差不多。然而，這些都是對水墨畫粗淺而錯誤的理解。事實上，水墨畫所包含的範圍非常廣泛，而且題材包羅萬象。本書並非單純只是講述繪畫技巧的工具書，而是讓習畫者回歸雙眼的觀察，提升寫實能力，表達內心情懷。★從基本觀念開始，逐步傳授紮實技巧◆大自然是繪畫的出發點所謂的繪畫，最樸素原始的定義，就是畫家把他看到的景象畫出來。一定要去觀察自然，一定要去記憶，畫畫不是憑空想像，也不能是腦袋一片空白。◆沒有技術就沒有藝術任何繪畫都有正確和錯誤的技法，方法對了，技法就會進步得比較快。再好的方法，都不會是速成法，因為你就是要按部就班把東西練起來。◆循序漸進的重要在學習時，不要一下子想掌握太多、學太多東西，因為一下子無法記完。無論書畫，熟練必然是最基本的要求。如果只練習一、兩百遍，畫不好是應該的。◆畫好石頭才能畫好山水傳統上，水墨畫沒有光影的畫法，主要是表現山石樹木的紋理，其中重點即在把握紋理的特殊形狀，以及形狀的明暗對比，使之有立體化感覺。◆學習繪畫不外乎二種方法：師造化，師古人師造化就是觀察自然、描繪自然，師古人就是學習古人的繪畫技巧、表現方式。這樣的學習，才能同時掌握自然景物與相關的表現技巧。本書特色【觀念深入淺出】◆從各個層面去瞭解水墨畫，達到深度欣賞的目標◆水墨畫是現代社會人們接觸繪畫藝術最好的方式◆繪畫並非畫家的專利，一般人也可以輕易做到【技法詳盡易懂】◆正確理解水墨畫的特色與定義◆認識筆、墨、顏料、紙張與裱褙◆示範竹、樹、石的實際畫法
                    
"
9789866399541,"

寫意畫以其鮮明的藝術特色，成為中華民族文化的一個重要組成部分。本書以專題案例的形式，從廣大中老年國畫愛好者的實際需要出發，系統講解了繪製國畫寫意四季花卉的工具材料、基本概念、學習過程與方法，以及寫意四季花卉的創作畫法。本書內容豐富，共五個部分。第一部分介紹了寫意畫繪製基礎，包括了常用工具和保存常識、筆法、墨法和色法。第二部分詳細地介紹了常見春季花卉繪製技法，包括了百合花、丁香花、杜鵑花、海棠花、蘭花、玫瑰花等。第三部分詳細地介紹了夏季花卉的繪製技法，包括了合歡花、荷花、雞冠花、康乃馨、向日葵、萱草、玉簪花等。第四部分詳細地介紹了秋季花卉的繪製技法，包括了大麗花、桂花、紅掌、菊花、秋海棠等。第五部分詳細地介紹了冬季花卉的繪製技法，包括了白梅、紅梅、君子蘭、山茶花、水仙等。最後則是作品欣賞。本書對於正準備提高國畫寫意繪畫修養和技法的讀者來說，是一本不錯的教材和臨摹範本。本書適合美術愛好者自學使用，也適合作為美術培訓機構的培訓教材。
                    
"
9789866399565,"


	寫意畫以其鮮明的藝術特色，成為中華民族文化的一個重要組成部分。本書以專題案例的形式，從國畫愛好者的實際需要出發，系統講解了繪製寫意牡丹的工具材料、基本概念、學習過程與方法，以及寫意牡丹的創作畫法。

	本書內容豐富，共六個部分，包含 300 餘幅牡丹案例作品圖。第一部分介紹了寫意畫繪製基礎，包括常用的工具和保存常識、筆法、墨法和色法。第二部分詳細的介紹了牡丹花頭的繪製技法，包括花瓣的畫法、花蕊的畫法、花頭沒骨畫法、花頭雙勾畫法和不同開放時期花頭的畫法。第三部分詳細地介紹了花枝幹及組合的繪製技法，包括花枝的畫法、花幹的畫法、橫出枝幹組合的畫法、向上枝幹組合的畫法和不同花枝葉組合的畫法。第四部分詳細地介紹了不同顏色牡丹的畫法，如紅牡丹的畫法、粉牡丹的畫法、黃牡丹的畫法和紫牡丹的畫法等。第五部分詳細地介紹了牡丹作品中常見配景的畫法，如蝴蝶的畫法、山石的畫法、公雞的畫法、水仙的畫法和花瓶的畫法。最後一部分詳細地介紹了不同畫幅小品畫的畫法，包括了圓扇、摺扇、斗方和條屏。本書對於正準備提高國畫寫意繪畫修養和技法的讀者來說是一本不錯的教材和臨摹範本。

	本書適合美術愛好者自學使用，也適合作為美術培訓機構的培訓教材。

"
9789575382605,"

水墨畫576種畫法
　國畫是中國的國粹之一，而中國繪畫又以水墨畫為宗，本書中列舉576種國畫的畫法，令讀者大開眼界之外，更可藉此明瞭水墨筆力透析分明的技巧所在。
                    
"
9789579559768,"

水墨畫創作專用的全新指南指導眾多愛好者同時持續深究今後墨畫表現的作者以實際作品為大家具體且詳細解說種類豐富的畫材和技法如何以單純且基本的用具去畫出各式各樣的表現？同時使用多元的畫材和技法時，要如何才能畫出簡單且只有水墨畫才有的自然表現？正因為具有單純和多樣性這種複合性表現，今後的水墨畫發展才能逐漸成形吧。
                    
"
