ISBN,書籍簡介
9789865511159,"


偉大的作品是怎麼畫出來的？
	◤ 22堂結合「敏感度」與「邏輯訓練」的視覺識讀課 ◢

為什麼藝術要這樣鑑賞？那樣思考？
	從隱藏在畫中的「線條」開始，
	西洋美術權威Step by Step帶你透視名畫的構造！


	繪畫表現靠的是造形，而不是言語。
	我們從圖像中所接收到的，
	是「資訊」與「感覺」混合在一起的狀態，難以一語道盡……

	這本書將顛覆這個想法，
	告訴你：只要洞悉作品背後的邏輯思考，
	你也可以解讀──那些藏在圖像中的布局、意念與秩序！
	而且不只是繪畫，你還可以將這套方法論，
	運用在數位時代中，各式各樣的圖像創作與識讀上。

◤原來如此！我也可以看得懂
	本書的第一個目標，是提出盡可能客觀解讀繪畫的方法。希望能藉此讓大家不僅是讀取訊息或是憑直覺，而是有邏輯地理解「名畫優於其他作品的理由」──這其實是將「視覺資訊」轉變成「語言資訊」的翻譯作業。

	Class 1　這幅畫的主角在哪裡？──牽動眼動的焦點
	Class 2　為何名畫總能吸引人的目光？──尋找圖像中的路徑
	Class 3  「這幅畫感覺很協調」是什麼意思？──平衡的要素
	Class 4　為什麼是這個顏色？──顏料與顏色的祕密
	Class 5　名畫背後的構造──完美的構圖與比例
	Class 6　所以說，名畫就是名畫啊──無可動搖的統一感

	本書將打造一個平台，讓大家分享自己從繪畫中獲得的感受。過去大家對自己覺得很美的事物，往往羞於言傳，不敢與人分享討論。當你說不出來、得不到理解的時候，不妨試著把從本書學會的方法，當作是「傳達自己感受」的框架。

◤圖像識讀──新世代必備的破框思維
	「喜歡哪一幅畫、怎麼看、怎麼感受，都是隨個人喜好」，這一點並沒有改變。但是，如果能清楚知道自己被這幅畫的什麼特徵所吸引、從哪裡感受到什麼，那就是把握自己價值觀──這也是美學意識的開端。你可以自我分析，也可以進一步了解他人！

	本書分為6章，將會透過各種方案，逐步解析「繪畫原來是這麼回事」。

	在〈第1章〉，我們要學會判斷畫中的「主角」在哪裡。配角為何是配角？與主角是什麼關係？將會一一浮現。如此即使不知道畫作的背景，也能大概看出描繪的是怎樣的故事。

	我們都希望能培養出經過美術教育薰陶的「眼動」，在〈第2章〉就可以學到。其實畫作當中都有指引順序的「路徑」，找出路徑，就可以像受過美術教育的人一樣觀賞了。

	即便不知道繪畫的路徑，一幅畫協調與否，我們還是能隱約感覺得出來。〈第3章〉將解說所謂「平衡」是怎麼測量、判斷出來的。名畫一定都很平衡，那也是因為人們在不知不覺中做出判斷，淘汰掉不平衡，只留下好的。

	相信有許多人不曾想過平衡的問題，但若聊起「顏色」，大家就能侃侃而談。這是因為顏色總是讓人印象深刻，如果事前沒有做過功課，也很可能只是看看色彩運用就沒下文了。〈第4章〉將針對「色彩」的作用，從三個觀點來探討。而在此之前的準備工作，就是先思考一下「顏料」這種物質。

	先前看的這些要素，要如何分配在畫面當中，就是〈第5章〉的主題。畫面裡的色彩或線條該如何配置，與作品的主題有很大的關係。名畫總是「意象鮮明」，其原因何在？──「比例」的重要功能，是理解作品的目的與效果的必備知識。知道了名畫背後的構造，你一定會大吃一驚。

	最後在〈第6章〉我們要思考「表面的特徵」與「構造」。我們將細細觀賞幾幅珍貴的作品，好好複習一下全部的要素。

	有了這些方案，就能看懂繪畫作品都包含了哪些設計。學會正確觀察肉眼可見的部分，明白了名畫令人驚嘆的箇中道理，便能知道自己的感受，到底是來自畫中的什麼地方。換句話說，你將能具體理解自己的感性──訓練圖像識讀的基本技巧，也能讓自己的美學意識更客觀。

	學會如何「正確觀察」之後，還可以利用網路，盡情搜尋更詳細的資訊。本書希望大家能藉由這個方法，培養自己真正屬於獨到的鑑賞眼光。

	最後，作者還準備了一份評量表，幫助大家發掘自己內心的美學意識。不僅能知道繪畫作品該如何觀賞，還能掌握自己的喜好和美感。請大家務必要試試看！

本書特色

	★打造美學素養即戰力
	★超過120幅全彩西洋名畫全解析

名人推薦

	▋B6速寫男（速寫創作者）
	▋Krenz Cushart（線上美術教育講師）
	▋王建傑（水彩畫家）
	▋蔡依橙（素養教育工作坊 核心講師）
	藝術家、創意人、親子美學素養教育者───共感推薦 ★★★★★

"
9789861364230,"


奇幻寫實彩繪宗師，首次公開不傳之密！

迪士尼、新力、盧卡斯影業、暴雪娛樂……動畫師人手一本的必備指南！

創下《紐約時報》暢銷榜最長紀錄，打動全球超過兩百萬讀者！

	 

	「每天我都會仰望天空。天空並非是扁平的藍色，而是變換無窮的漸層色。

	為什麼暗色往後延伸到靠近地平線的地方會轉藍呢？」

	一旦看過這本書，即便是習以為常的風景，也會截然不同

	 

	◎被推崇為「奇幻畫界托爾金」的他，傳頌已久的手繪技法經典，終於首肯授權繁體中文版！

	◎光譜獎、世界奇幻獎、兩屆雨果獎得主、受到A.R.C.等權威美術機構公開賦予大師稱號

	◎雄踞美日英德AMAZON繪畫榜前十名，美國榜超過百週冠軍，魄力十足原寸繪本！

	 

每位創作人、設計人、藝術人都該有的手繪聖經！

	 

	◎「光影」與「色彩」完全聚焦，直接切入影像領域「大哉問」！

	教學書多強調外型描繪或是構圖，甚至僅為精美畫冊。本書直指核心，由古典繪畫中唯美寫實主義的沃土汲取元素，用極其細膩獨到的眼光觀察世界。出古入今的程度市面無書能敵，專業性無可取代。

	 

	◎取材多元新穎，收錄示範畫作，古典到奇幻兼而有之

	收錄各時代、流派的代表畫作，以作者自身雄厚的作品為大量素材範例，讀者除學習之外，得以欣賞大量精美作品。不像坊間傳統科班教科書陳舊刻板，本書作為教科書與藝術科普書都有極高可讀性。

	 

	◎獨樹一格的教學方式，經由實例，初入門也能輕鬆上手！

	不同於傳統教條規範，本書中詳細解說了大師級的繪畫法則與活用方式，更同時舉出大量的例子與作品來講解畫面色彩與光線的應用。除了適用於各階段的學習者，對於視覺世界懷抱好奇心者，別具參考價值。

	 

	◎符合時下產業和讀者需求，兼顧現實與夢想性

	目前電玩與媒體產業對奇幻風格插畫有大量需求，因此「電繪師」與「插畫師」順理成章成為近年熱門職業之一。本書所表現的基礎技法與畫風，除了在主流市場備受歡迎，也是年輕族群喜好的藝術風格。

	 

‧繁體中文版為求慎重，特別尋求色彩學會和相關領域教授審定，正確性高！

‧譯文字字斟酌，通順易讀。繁體中文版翻譯的「信達雅」絕對讓您滿意！

‧繁體中文版以原寸呈現作者葛爾尼製作本書的堅持，並以精裝處理，質感與收藏感提升，價格卻更親民！

"
9789579559782,"


	本書收錄了以廢墟為主題的8個場景的插畫，並區分不同Part加以介紹。

	 

	按照順序解說從設計概念的決定到完成的繪製過程。各位可以直接跟著描繪步驟，描繪出同樣的畫面來幫助練習。或者是只參考想使用的技巧，將其運用在自己的插畫中也是很好的。請根據自己的目的加以活用。

"
9789860621518,"


★ 有點煩的日子，一起畫畫吧！★

	 

全台第一本step by step，超詳盡全圖解手機電繪練習帖，

零基礎OK、零美感OK、畫畫手殘OK

4大技法x 12種風格筆刷x 60支示範影片，

無須購買昂貴畫材，輕鬆繪出超手感療癒小插畫！

	 

	現代人生活忙碌、工作壓力大，下班後除了懶在沙發上追劇、看電視、滑手機，繪畫或許是另一個更好的選擇。但是，零基礎、又沒有術科背景，或是對於畫畫沒有自信的人，一提到畫畫，都覺得是遙不可及的事情；或者，可能畫沒兩下子，就放棄了。

	 

	電繪，不需要購買昂貴的畫畫器材或紙筆，也不用擔心只是三分鐘熱度，買了水彩或色鉛筆浪費錢，只要用現有的智慧型手機或平板電腦，就能躺在沙發上恣意的創作，享受愜意和紓壓的畫畫日常。

	 

	除此之外，不同於一般手繪，手機電繪還能將作畫過程錄製下來，完成後立刻分享至社群，瞬間成為朋友間的關注焦點。

	來吧！跟著Feeling掌握以下4大電繪原則，一起窩在沙發上畫畫！

	 

■ POINT 1：從嚴選的12支筆刷中，挑選一支合適的使用

	想要畫一個好看的電繪小圖，最重要的關鍵，是選對「筆刷」。不同軟體有不同的筆刷特色，而本書所使用的「Autodesk Sketchbook」是目前筆刷種類最齊全，且皆可免費使用的電繪APP；但有時選擇太多，也可能是一種障礙。因此，在書中為大家嚴選12種好用特色筆刷，讓你不用在瞎子摸象，一個一個去嘗試，就能快速畫出猶如水彩、色鉛筆或蠟筆的手繪質感。

	‧想畫出動物、毛衣等茸毛感→用「紋理：迷彩」

	‧想畫出超級手繪感、隨性筆觸→用神祕的「紋理：筆刷3」

	‧仿真度100％，能重複堆疊、畫出平滑色彩→「乾式麥克筆」

	 

■ POINT 2：拆解繪製物件，分層處理，善用圖層仔細描摹

	誠如現代藝術之父塞尚曾經說過的：「自然中的萬物都可用球體、圓錐體、圓柱體來表現」。沒錯！這樣的觀念，在電繪中的「圖層」可說是完美地詮釋了！若之前沒有接觸過任何繪圖軟體，或許會覺得圖層很陌生。但簡而言之，就是將物件中的個別元素都分開畫，如此，便能再調整每個元素的位置與色彩。

	‧尤加利葉：畫出不同深淺綠色的葉子（圓形）和不同粗細的樹枝（條狀）再合併。

	‧柴犬：勾勒出頭部（圓形）、身體（橢圓形）和腿部（長條狀），調整比例再合併。

	‧藍莓切片蛋糕：畫出不同口味的蛋糕剖面（三角形）和藍莓（圓形），再組合。

	 

■ POINT 3：調整筆刷大小、色彩飽和度，色調即能更似手繪

	電繪另一個不容易掌握的地方，在於顏色的使用。由於是電腦上色，因此無法和手繪一樣畫出很細微的差異，若沒有仔細堆疊或調整筆刷大小、色彩明暗，就很容易出現「色彩斷層」，畫出十分「人工感」的生硬畫風。關於電繪的色彩，要注意：

	‧用同色系，調整飽和度明暗，畫出陰影，修飾色彩轉折處。

	‧固有色（物件的基本顏色），搭配同顏色較深和較淺的顏色，就能完成基本疊色。

	‧善用「藝術家混合」筆刷，塗抹色彩交接處，也能使色彩轉換更自然、細緻。

	 

■ POINT 4：利用各式線條，增添筆觸，提高畫面精緻度

	電繪不同於手繪的最大差異，就是在於物件肌理的呈現。畢竟電繪無法像手繪那樣精緻，因此，電繪決勝、吸睛的關鍵就是「精緻度」。雖然有許多筆刷能仿製水彩或色鉛筆的質地，但是若上色時是使用整片或大範圍上色，仍無法達到類手繪的效果。這時，就要善用線條，創造更細微、有趣的肌理質感。

	‧貴賓狗：利用「C形或S形」的線條，仔細勾勒動物的毛髮。

	‧復古電話：加上「重點線條」，暗示物件的結構與反光感，使之更立體。

	‧果醬罐子：搭配手寫文字，利用個人化的線條特徵，亦能提高物件亮點。

	 

	畫畫，是一件很自由、自在的事情。《療癒風超手感電繪》所想要傳達的電繪，不一定要非常漂亮或超級精緻，重點是畫出每個人獨有的有態度和味道。事實上，只要能表達出「個性」的作品，就是最好的作品；而能在畫畫中找到自己、放鬆心情，也才能真正達到畫畫療癒的目標。一起，輕鬆自在的畫畫吧！

	 

本書特色

	 

	1. 精選最適合新手的6大繪畫主題，步驟超詳盡，保證一邊看、一邊就能畫出來。

	2. 每個練習主題皆附上示範影片，即使不畫畫，翻翻書、看看影片也療癒。

	3. 彙整出4大繪畫基礎概念，電繪、手繪皆適用；熟練後，想畫什麼就能畫出什麼。

"
9789867645616,"

好的構圖不是純屬巧合，而是畫家刻意構思的結果。一招萬用，秒懂構圖！突破單調無趣的構圖困境創造更有趣、更吸睛的藝術作品！構圖對了，畫面自然恰到好處！亞馬遜讀者一致好評推薦「最簡單的法則，給了我最大的幫助！」「我尋找了很久，這本書涵蓋了所有我想知道的答案！」。你是不是常常盯著自己剛完成的作品，卻覺得好像哪裡不對勁？。你覺得畫面應該或可以做出更好的表現，所以感到不滿意嗎？。你想讓作品變得更好，卻不知從何下手嗎？。同一個景象，為什麼你畫出來、拍出來的作品，就是差人一截？如果你也遇過這種狀況，《構圖的祕密》肯定會讓你愛不釋手。本書將提供你一個簡單萬用的構圖黃金法則，不僅讓你找出畫作不對勁之處，也會精闢告訴你該如何解決。從此下筆前就構思出更好的作品，按下快門前就框出動人畫面。這個祕訣就是──【物物不等距，變化產生美】運用「物物不等距，變化產生美」這個構圖黃金法則，你可以改變物體的距離間隔、塊面大小、空間遠近，以及明度對比和色彩冷暖，讓每幅畫更生動有趣。也可以運用這個法則解決畫面的平衡、形狀和畫作焦點的位置擺放，創造畫面引人凝視的魅力。葛雷格‧艾伯特集結多年教學心得，將構圖的複雜技法原理濃縮成這個好記又好用的黃金法則，並逐一告訴你該怎麼一招萬用！全書分為九大構圖主題，收錄多位當代畫家名作，以多組「新手畫家VS.專業畫家」的實例對照，透過大量的畫面分析練習，教你精準掌握趣味盎然的構圖決策。不僅讓你找出畫作不對勁之處，也精闢告訴你該如何解決構圖困境。學會了就永遠記住，越畫越有自信！在畫筆接觸畫布或畫紙的那一刻，你只需要一個黃金法則，就能讓畫面瞬間豐富，完美動人本書目的是讓讀者在迅速閱讀中，獲得懂了就會永遠記住的構圖法則。當你發現這個構圖法則如此好用又有效，你自然會充分利用。而且，日後你將無法想像，要是不運用這個法則，如何創作出構圖巧妙的好作品。※一招萬用，所有的構圖困境，都能使用這個黃金法則！Q：我的畫作透視準確，主題寫實，色彩豐富，但看起來就是很普通？相同導致沉悶，變化才能創造趣味：「物物不等距，變化產生美」。Q：規律就是美，把畫面平均分配，物件擺放對稱，結果作品單調又無趣？讓畫面變有趣：利用形狀、空間變化，創造一流的構圖。Q：畫面太複雜會造成混亂，令人厭煩。缺少變化又會讓作品失去趣味性。如何凸顯主題的魅力？達到動態平衡：留意「視覺重量」與「視覺能量」的平衡，達到畫面的統合性。Q：我的畫作沒有情緒也沒有張力，如何畫出動人心弦的作品，讓畫面自己說故事？設計構圖布局：利用「三分法」創造趣味中心與視覺焦點，引導視覺動線。Q：有沒有什麼構圖小撇步，能一眼吸引觀者的目光，創造更豐富的變化？明暗與對比：是取決畫作成功與否的最關鍵要素。Q：我的構圖完善、主題明確、布局清楚，那顏色也能應用這個構圖黃金法則嗎？色彩的配置：利用「大量、一些、少量」用色原則，為主題設計賞心悅目的配色。
                    
"
9789860622737,"


全世界的貓奴啊！
	還不快來拜見畫中的貓主子～
	從古埃及、中世紀到現代，
	穿越古今，見識畫家眼中最真實的貓！


╠隨書附贈╣
	日本貓界藝術大師川井德寬
	「大無畏貓咪的妄想」
	立掛兩用油畫套卡！

	◆第一本！揭露名畫中你所不知道的貓歷史
	◆《黃阿瑪的後宮生活》志銘與狸貓；攝影文字工作者 貓夫人；圖文作家 貓。果然如是—— 好評推薦！

	英國知名動物學家德斯蒙德•莫里斯，精選139幅以貓為主角的畫作，深入探討貓與人的愛恨糾葛，看軟萌的貓咪如何殺出重圍，登堂入室，成為馴服人類的貓主子。也帶出各個年代的社會風俗、宗教、環境等歷史背景，讓我們看畫吸貓的同時，更能體會作品中隱藏的真實面貌。

	◎貓與人的前世今生，源自於共同敵人──老鼠！
	◎貓奴不是現在才有，古埃及人把貓咪寵上天！
	◎歐洲中世紀，貓遭到殘忍迫害，被視為女巫的同夥！
	◎以宗教之名的屠貓行動，促使黑死病爆發！？
	◎比利時拋貓節，由虐殺轉變為歡樂的貓咪慶典！
	◎畢卡索熱愛貓，卻將牠們表現為兇殘的掠食者！
	◎普普藝術大師安迪．沃荷，家中25隻貓都叫Sam！
	◎看見貓咪洗臉，表示要下雨了？
	◎愛貓成痴的日本天皇，還封貓咪為貴族！

"
9789579559775,"

學習繪畫媒材的基本知識！本書會依照創作領域介紹各種繪畫媒材。讓大家學會繪畫媒材的構成、特色和其他繪畫媒材的差異等一些令人意想不到、恍然大悟的知識。挑選適合自己的繪畫媒材！本書會依照繪畫媒材介紹各家廠牌的商品。對於不知如何從眾多相似商品挑選的人，這些內容將提供一些建議，讓你選出適合自己的用品。即便是初次接觸的繪畫媒材，也懂得使用方法！本書收錄的繪畫媒材廣泛，包括素描用品、日本畫顏料甚至畫框，如果是熱愛繪畫媒材的人，光是翻閱內容就會覺得樂趣無窮。書中也會介紹基本的使用方法，所以也很適合想嘗試新領域的人。
                    
"
9789860646047,"


★蟬聯各大暢銷榜！「繪畫的基本」經典系列作★
	從構圖、透視原理到色彩概念，
	掌握這些必備基礎知識，全方位提升你的繪畫力！


【第一冊】
	《繪畫的基本：一枝筆就能畫，零基礎也能輕鬆上手的6堂畫畫課》

	喚醒你的藝術魂！
	你需要的只是小小一臂之力。
	從比例講解到構圖與透視，教你畫出生動迷人的瞬間。

	►本書內含48項繪畫主題和10個獨門祕技
	►只要掌握繪畫重點，畫畫新手也能輕鬆完成令人驚嘆的成功畫作

	※參透大師的繪畫技巧，你只需要臨門一腳！

	在本書中你可以找到許多實例、步驟練習、小技巧、以及畫出成功手繪作品的必備基礎知識。而其中作者每篇的獨家技法，更能讓你作畫比他人更快抓到訣竅！

	※光源會影響你作畫

	如果是在室內作畫，且習慣使用右手，光源就應該位於座位左上方，以免被手擋住光線。左撇子則相反。在室外的話，就要等到最後一刻再畫陰影，因為自然光源變化得很快。

	※軟毛畫筆更適合畫貓科動物

	利用工具的柔軟特性，可以加強繪畫動物優雅瘦長的體態、滑順卻有力的線條。你也可以在肌肉下方加上線條，突顯力度。

	※畫衣服的重點為表現材質

	畫衣服的要點是，成功地詮釋出衣料材質，並且讓其和軀體彼此之間的關係合理。我們可以使用短斜線表現出布料凹陷部分的陰影、強調皺褶、或表現布料之間的層次感。一般來說，衣服的皺褶處跟身體彎折處是相應的。也別忘衣服是有垂墜感的。

	※如何表現各式各樣的水

	以輕淡的筆觸畫陰影，並且留下明亮部分，代表光線反射。如果是階梯狀的瀑布，就在垂直的水流部分加上平行短線，強調彎折部分的光線折射效果。如果是海浪，則要為波浪加上體積感，可將最高的浪頭部分留白，只在內凹部分畫陰影，所有凸起的部分都應留白。

【第二冊】
	《繪畫的基本II：一枝筆就能畫，零基礎也能輕鬆上手的6堂速寫課》

	忘掉固有觀念！
	學會透視的基本原理，就能精準掌握構圖。
	從光線陰影到透視與色彩，教你畫出逼真生動的瞬間。

	►本書內含46項繪畫主題和10個構圖祕技
	►輕鬆搞懂透視原理，新手也能輕鬆完成令人驚嘆的大師級畫作

	※弄懂透視、陰影、構圖的技巧，你只要需要臨門一腳。

	本書用簡單創新的方法解釋透視的基本原理。你將學會如何標示消失點、玩玩不同的視窗配置、尺寸比例、顏色，以及其他畫出成功畫作的小訣竅！

	※如何突顯寫生的主體

	你可以在某個小元素上添加細節或搶眼的色彩，藉以吸引注意力，同時將其餘元素保持模糊。相反地，彩色圖中留白的部分，可以提高觀眾的好奇心和吸引力。但是要記得留白的部分必須加上細節，否則容易被忽視。

	※用小技巧展現高明的透視感

	記得近處物體的顏色會比遠處物體來的深。盡量展現前景物體的細節，或替前景元素加上較為飽和的色彩。這麼做就可以讓你的畫面看起來更為立體且有深度。

	※如何精準掌握沒有去過的畫面

	不同地點會傳達出不同的印象與個性。因為它們有不同的組成元素、歷史、生活方式、文化、空間使用方式等等。因此你可以試著解構那些空間，如此更能幫助你理解自己的感覺，進而更容易將它轉移到紙上。

	※如何創造活力又具平衡感的構圖

	掌握「等分格線」要領。將畫面以水平和垂直方向分別分成三等份。接著，將主體元素放在其中一條水平線上。為了達到平衡，必須把主體元素的水平線放在最低的那條水平等分線上，留出天空的空間。此外，也最好避免將兩個重要元素放在同一邊或同一條線上，因為它們會削弱彼此的力量。

【第三冊】
	《繪畫的基本III：一枝筆就能畫，零基礎也能輕鬆上手的3堂色彩課》

	大師默默在做的「色彩運用技法」！
	從調色比例到配色與上色，教你畫出高人一籌的作品。

	►本書內含42項色彩應用主題 X 10個獨門祕技
	►市面第一本，以詳實步驟、實例解析上色、配色、各種色彩運用技法的完整指南

	※讓畫作更加傑出、有特色、有記憶點，你只需要臨門一腳！

	藉著本書中豐富的作品與示範步驟，回答你所有與上色有關的問題。準備好，一步一步掌握上色技巧，簡單運用就能成功！

	※如何展現高段的花朵畫

	畫花朵的時候，可以盡量使用活潑的顏色，並且增強顏色的對比。若一張圖上有數朵類似的花朵時，不需要每一朵都畫上細節，可以留下未完成的幾朵示意。

	※選對顏色讓臉孔更寫實

	在選擇臉孔顏色的時候，常犯的錯誤是只用紅色和白色調出死板的粉紅色，而這個顏色也很難融入畫裡的其他顏色。我們可以先用褐色為底，調入白色之後，視臉孔部位不同加入紅色或土色；另外再加入互補色「藍色或綠色」，畫出陰影。

	※用對色彩就能表現景深

	書中提到暖色會將物體向觀者拉近，冷色則會增加物體和觀者之間的距離。因此你也可以在前景畫上暖色，在後景畫上冷色。另外一個方法是後景保持留白，或是只加上一點陰影，留下大量的空白。

	※善用工具讓留白更自然

	若用白色顏料畫白色區域，會看起來相當不自然。用白紙表現留白是較佳的方式。你可以先用鉛筆畫出留白區域的界線，等顏料乾透之後再擦掉線條。或是可利用「遮蓋液」，就像用膠水畫圖一樣，畫在要留白的區域上。遮蓋液乾了之後會形成保護膜，你可以在紙面畫上顏色，再等顏料乾了之後，就可以輕輕摩擦，拭去遮蓋液。

	✔保證100%的實用性、趣味性、以及學習成效﹗

"
9789579072892,"


超現實、野獸派、抽象畫、普普風、蒙太奇，
畫一遍，原來這就是現代藝術
讓你輕鬆畫出大師魂

簡單好學又好玩
小人玩開心、畫創意；大人學方法、畫風格
所有愛畫畫的人，都該學的40種技法
史上最強18位現代藝術大師的獨門技法
最頂尖的設計、時尚、電影、藝術的養分，都來自這！


	◎超現實接龍、普普風貓咪版畫、蒙太奇怪胎照片，用玩的，現代藝術一點也不難
	◎馬蒂斯、卡蘿、克利到安迪‧沃荷，現代設計、時尚、電影的養分，就從這裡出發
	◎名廚Jamie Oliver最愛英國插畫家，0-99歲都上手，藝術啟蒙的必修課
	◎藝術多一點，風格多很多的大師技法：畫線條、剪色紙、剪相片、做版畫……

	哪些現代藝術家的技巧，影響了設計、時尚、電影……，值得一學？哪些藝術家的創造奇想，放大了我們對創作的想像與驚嘆號？從超現實到普普藝術，從抽象畫到蒙太奇，跟著玩一遍，不只解放你自由自在的創作魂，而過去看不懂的現代藝術，現在也全都看懂了。

	Marion是國際知名的英國插畫家，合作的客戶從傑米•奧利佛（Jamie Oliver）、Penguin Books、雜誌Wallpaper、Design Museum到英國《衛報》、《紐約雜誌》等，書中的藝術家，都是對她插畫生涯影響最深的技法和觀念。

	˙她發現要畫出西班牙藝術大師米羅的童趣，最好閉眼畫。
	˙跟著克利畫一遍，才明白線條也有情緒。
	˙超現實大師達利是造型混搭大王，教你玩搞怪身體接龍。
	˙跟著西班牙雕刻家奇伊達善用正負空間，就能玩出一張有模有樣的抽象畫。
	˙安迪‧沃荷愛貓，你可以用普普風版畫，為你的貓咪作畫。
	˙用達達女藝術家侯赫的照片蒙太奇，做一張你專屬的怪胎大頭像。
	˙海綿簡易版畫，你也可以做出葛飾北齋的日本浮世繪
	˙圖案纏繞畫，畫出熱愛黃金畫的克林姆風……

	線條該輕該重或緩或急？顏色要濃要淡或乾或濕？圖騰怎麼畫？怎麼排列旋轉？剪紙、拼貼、蓋印等各種藝術遊戲！超現實主義、達達主義、攝影蒙太奇、象徵主義、部落藝術、普普藝術都難不倒你，一出手就有大師魂！

【藝術練習，大師出招！】

	◎跟最懂童趣的米羅，學自由畫──
	閉上眼睛，隨意在紙上移動你的筆，畫出形狀再填入色彩。
	◎跟線條大師克利，學畫線──    
	塗滿不同顏色蠟筆後，蓋上一層黑色，再把黑色刮出你想要的圖案。
	◎跟抽象大師康丁斯基、馬蒂斯，學抽象畫──    
	用鮮艷色紙剪出各種不同形狀，再拼成一幅圖畫吧！
	◎跟超現實大師達利，學身體接龍畫──
	四個人輪流畫，跟好朋友一起玩的「妖怪接龍」。
	◎跟墨西哥第一女畫家卡蘿，學自畫像──
	找出你臉上的一個特徵，用誇大手法畫出來。
	◎跟普普藝術大師安迪‧沃荷，學版畫──
	只要用膠帶，就能做出可以一直複製的普普風版畫！
	◎跟達達女藝術家侯赫，學照片蒙太奇拼貼──
	收集報紙或雜誌，尋找有趣圖案，在紙上重新排列，創造全新「怪胎」！

	原書名：《跟最厲害的現代藝術家學畫畫：18位大師的40招獨門技法，最頂尖的設計、時尚、電影養分，都來自這！》

"
9789863776314,"


～捕捉動態人物的瞬間～

只要簡化觀察重點，練習短時掌握特徵。

繪出富有魅力的動態人物 so easy！

	 

速繪的「速」，指的不是快，

而是短時間「畫下能畫的東西」。

	 

速繪人物的基礎三堂課：

➊ 建立正確的心態

	不要想畫「正確」，而是要「輕鬆地多畫一些」，

	所謂的觀察力，只是「知識」和「經驗」的累積，

	熟悉自然就會，真的畫不出來的時候，只觀察也行。

	因為＃魅力十足的圖，和技巧或常識毫無關係。＃

	藉由觀察獲得的經驗和記憶，會轉換成「現實感」並活在作品中。

	不斷畫速繪，就能培養出短時間內掌握特徵的能力。

	 

➋ 練習簡單畫全身的速繪技巧▁▁火柴人練習

	⑴ 將全身分成15個部位，

	用2D畫全身，

	「頭　部、胸部、骨盤」是橢圓形。

	「上臂、下臂、大腿、小腿、手、腳」是線條。

	用D字形畫胸廓、軀幹和髖部，塑造印象，

	部位和部位之間留下空白，

	就能輕鬆畫出姿勢。

	 

	⑵ 注意基本結構，不要注意輪廓和細節

	看全身：那個人在做什麼？你有什麼感覺？

	看部位：位置和傾斜度？有什麼功用？

	簡單大膽地畫，鎖定在動作和使用身體的方式。

	 

	⑶ 立體化

	畫出火柴人的2D表現方式，稱作Shape，

	接下來要把平面添加立體的資訊，

	讓Shape有厚度（深度），

	只要畫出縱向的中心線，以及表示膨度的橫向曲線，

	就能變成有厚度和方向性的立體物。

	 

	⑷ 創造不對稱平衡

	全身的節奏和動線是一種流線感。

	盡量避免線條左右對稱，

	大原則是：弧線的對面必然是直線。

	 

➌掌握印象，最後的風格和情緒添加

	這個人正在做¬「什麼」（動作）？他有「什麼樣」的感受（感情）？

	動作和感情，就是本書所說的動態。

	習慣用少量線條畫全身的思考方式後，就加入動線（flow）的觀點吧！

	不同的曲線會流暢地引導視線。

	彎度深的曲線會用慢節奏，彎度淺的曲線會用快節奏來引導視線。

	將線條加上粗細，就會產生強弱，成為更有趣味性的圖。

	 

	本書從心態建立到步驟教學，

	不到20秒就能完成一幅速繪，

	附上58張速繪插圖影片，

	從空白至完稿，一筆一畫的繪畫過程全呈現，

	供學習者一遍一遍觀看臨摹，

	零基礎也沒問題。

	 

	每次畫的速繪都是僅有一次的體驗，

	是當下你所能畫出的線條所構成的，

	請輕鬆享受速繪的樂趣吧！

	 

本書特色

	 

	◎從心態及觀念養成開始，1-5分鐘，新手也能立馬上手的「立中式速繪教學」。

	◎58部插圖教學影片免費下載，新手可一步步反覆學習，書末更附有作品集供創作者參考。

	◎3大章節、逾200張速繪圖，講解觀察人物技巧、速繪重點及提升風格的小撇步。

	 

"
