ISBN,書籍簡介
9789863126638,"


★Amazon.com 年度暢銷書！向全世界的插畫藝術家學 Procreate

★台灣第一本 Procreate 專書 ！操作技巧完全解析 × 大師級插畫案例教學

★台灣知名 Procreate 創作者暨講師 – Nuomi 諾米專業審訂

	 

	歡迎進入 Procreate 的世界 ！無論你是數位繪畫的新手，還是擅長電繪的畫畫高手，都非常適合透過這本書，體驗用 Procreate 畫畫的樂趣。

	 

	首先為你介紹 Procreate 這個 App，它是專門為 iPad 與 Apple Pencil 使用者設計的數位繪圖應用程式。它可以支援 iPad 的手勢控制和 Apple Pencil 等觸控筆，操作方式簡單流暢，目前已經是插畫界、遊戲業界人士愛用的繪圖軟體。對創作者來說，擁有 Procreate 就能隨時隨地用 iPad 畫畫，它內建包羅萬象的筆刷、濾鏡等功能，讓你可以創造出各式各樣的質感，包括油畫、水彩、粉彩、鉛筆等，效果栩栩如生。你再也不用背著一堆畫材出門，只要 iPad 在手，畫畫就是這麼簡單！ 

	 

	由於 Procreate 的功能非常強大，需要一一摸索才能慢慢學會，許多初學者用了很久還是只會基本功能，看到別人畫出變化萬千的質感，想學卻不知道如何開始。為了幫助大家有系統地學習 Procreate，英國知名的 CG 藝術出版社「3DTotal」推出了這本書。他們找來全世界擅長 Procreate 的藝術家共同編寫，用賞心悅目的作品帶領讀者學習。書中每個專案，都是藝術品等級的精美畫作，作者會帶你從零開始，從草稿到上色到完稿，全都用 Procreate 完成。跟著畫完以後，你不僅能熟悉這套軟體，還能學到專業插畫家的獨門密技喔！
	 

本書特色

	 

■ 想學 Procreate，買這本就對了！ 

	本書剛出版就在亞馬遜網站（Amazon.com）榮登銷售冠軍，至今仍是年度銷售冠軍！本書透過精美的範例和詳盡的教學，至今已幫助全世界無數的使用者學會 Procreate。

	 

■ 最詳盡的繁體中文版軟體教學 

	本書使用 Procreate 5X 繁體中文版重新示範書中操作，搭配詳盡的圖文解說，讓你可以對照著自己的 iPad 同步操作。

	 

■ 想學什麼風格都有！多位世界級藝術家一起幫你開課！

	本書集結來自全世界的藝術家，風格涵蓋童話繪本、角色設計、科幻場景、遊戲插畫、戶外寫生等不同類型，一本書就讓你學到多種畫風！

	 

■ 不只教你畫畫，還送你珍貴筆刷和教學影片！

	Procreate 的一大特色就是可以邊畫邊錄影！因此本書的每位作者也都提供了珍貴的繪畫過程影片，還有物超所值的下載資源，包括插畫手稿、自製的超實用筆刷庫，讓擁有本書的你值回票價！

	 

"
9789861796246,"


隨心所欲，天天激發想像力！
沒有畫對、畫錯、畫醜的問題，
只有屬於自己的獨一無二的開心，
想畫就畫的感覺，真的很棒！

	從天上的雲朵，到咖啡店的咖啡杯；
	從空空的罐子，到滿滿海洋生物；
	從路邊的枯樹枯枝，到彈吉他唱歌的姿勢；
	從A到Z，你今天看到哪幾個字母，畫畫看。
	在藍色上畫一片海，在三角形畫旗子，在圓圈圈上畫盤子；
	用兩隻筆一起畫，用三種色彩一起畫，找個朋友跟你一起畫……
	這是屬於你的特色書，你愛怎麼畫就怎麼畫，你想畫什麼就畫什麼。
	不知道畫什麼，沒關係，作者給你一點提示；
	今天不想畫，沒關係，365個發想，永遠為你綻放。

	不論你是新手、塗鴉狂人，還是資深老手，《每天只畫一點點》讓你想像力大噴發，
	每天實驗一點自己的天馬行空，每天釋放一點自己的壓力，每天跟自己的內心說一點話，
	生活的驚喜，原來可以無憂無慮創造。

	創意不只是在紙上塗塗抹抹而已。
	創意是用略為不同的方式觀看這個世界，
	並開啟你的想像力去迎接不同的可能性。

	＼替初學者打開繪畫的大門，替老手注入創意靈感的泉源！／

本書特色

	高興怎麼使用就怎麼使用，
	讓它充滿的你的個人特色！
	★打造完全屬於你自己的空間
	書裡沒有絕對的使用方式，你將能於書中展現自己獨一無二的創意！
	★提供源源不絕的創意點子
	為你的生活、工作添加靈感，激發想像力！
	★引導你對世界產生更多好奇
	從有限的視野，拓寬對生活的觀察！
	★一個人就能在家裡盡情的遊戲繪畫
	幫助你從忙碌的日子裡脫離，令人感到紓壓！
	 

"
9789865027933,"

空降誠品、博客來與金石堂藝術類年度百大排行榜 史上最強大最多樣既可愛又簡單的滿滿塗鴉同台演出 國內外超過60,000則讀者好評暢銷珍藏版 沒有Fu嗎?No點子嗎?讓你看了就會畫 除了圖案，連手繪文字，也可以很可愛。 素人必備塗鴉寶典，1分鐘就能畫出可愛討喜感！ 無敵超Q文字與圖案，萌翻你的手帳&生活無極限， 隨時都可以與開心搭上線！ 在手帳、卡片、筆記本、行事曆、便條紙…都可以隨手畫 使用鉛筆、色鉛筆、原子筆、鋼珠筆、簽字筆、彩色筆…都OK 這裡有可愛到太犯規的10000種圖形 看的、穿的、吃的、用的、玩的、陪伴的……想畫的，全部大集合 不管你對畫畫行不行，跟著簡單塗鴉，絕對超萌又有型！
                    
"
9789865025540,"

塗鴉界第一神團最新超萌力作 超熱賣、更可愛，圖案又Ｑ又爆多！ 人物的動作很難畫-> 其實用英文字母來畫就會變得很簡單！ 植物葉子這麼多看起來好複雜-> 可以試試畫8法，以枝幹為中心，橫向畫8就OK！ 花瓣有好幾層疊在一起不好畫-> 只要先畫前面的花瓣就變得不難了！ 動物的毛髮質感怎麼畫才好-> 用長、短、直、彎等不同線條就能表現出來！ ........................ 百變人物、呆萌動物、可愛小物、 美麗時光、可口美食、手繪文字… 簡單塗鴉小絕招全部大公開！ 用○△□圖形大變身， 告別不會畫或畫不好！ 可愛感爆棚，無聊、煩惱都退散， 開開心心一整天！ 附：52個獨家塗鴉教學影片 手機掃瞄QR Code立即看， 就是要讓你畫的簡單又好看！
                    
"
9789865028336,"


	英國發光、風靡歐美，插畫界臺灣之光
	國際級百萬暢銷人氣插畫家Lulu Mayo全球首發合訂版
	集結最具童趣、想像力的超有趣畫畫練習書

	【台灣獨家】限定珍藏作者親繪Q版台灣黑熊插畫教學
	【全球唯一】特別收錄作者親錄10段繪畫教學影片

	暢銷授權全球17個國家，台灣獨家首發，
	一本書完整蒐錄Lulu Mayo 4本暢銷作品的所有內容，
	涵蓋角色、動物、昆蟲、花草、奇幻生物、生活小物…等多樣的活潑插圖，
	如：美人魚、獨角獸、青蛙王子、小精靈、甜甜圈獅子、忍者樹懶、
	貝殼、兔子、瓢蟲、無尾熊、松鼠、小鳥、花、雪人、聖誕樹、
	俄羅斯娃娃、雪花……

	‧跟著Lulu Mayo來一趟愉快又充滿想像的畫畫體驗‧

	任何人都可以透過5個簡單的步驟，
	用簡易的形狀（如圓形、橢圓形、矩形和三角形）為基礎，
	畫出可愛的角色與生物，無論是用鉛筆、色鉛筆、原子筆、
	鋼珠筆、中性筆、簽字筆或細彩色筆…等都可以畫，
	而且還可以添加一些細節或擬人化來讓這些角色擁有自己的個性。

	Lulu Mayo在每個主題最後還預留了一個想像空間，
	可以直接在書上塗鴉，跨頁可攤平的貼心設計，
	方便在每一處繪畫。
	透過Lulu Mayo活潑有趣的話語引導，
	將讓你畫出來的主角擁有豐富的表情與動作，
	還能扮演不同的角色，
	又或是讓畫面更多采多姿…

	不管跟Lulu Mayo畫的一樣或不一樣都沒關係，
	所有的畫作都是獨一無二的，
	也是因為這樣，所以特別，
	現在就好好享受吧！

"
9789579559584,"

想描繪襯托角色的服裝！「衣服」大大影響了角色插畫的魅力。男性角色俐落端正的西裝造型或輕鬆的休閒穿著，女性角色可愛的洋裝造型或水手服造型等。希望可以畫出烘托角色魅力的各種服飾。但是「皺褶畫法好難」、「不知道角色動作時的服裝形狀」、「不懂穿搭規則」等，描繪服裝時的困惑無數。因此，本書為大家徹底解說漫畫和動畫中的經典服裝畫法。除了休閒穿著，還有商務穿著、學生制服，大家可以學會各種服裝畫法。了解衣服的「結構」，就能完美畫出！一般穿著的襯衫領口該怎麼畫？裙子褶襬是甚麼樣的結構？令人感到「好難畫！」的衣服，本書從其部件結構為大家一一解說。只要了解結構，就很容易在腦中想像，快速提升繪畫技巧。熟知各種角度和動作姿勢！依視角和姿勢，為各位詳細解說變化多端的衣服形貌。「不知道這個角度的畫法！」、「不知道這個姿勢會產生甚麼樣的皺褶！」連這些問題都能迎刃而解。利用皺褶「法則」，解決畫不出的困擾！若看著實際服裝，忠實還原皺褶，只會讓插畫滿是皺褶。本書為大家解說插畫繪圖應依循的皺褶「法則」，解決各位畫不好的困擾。在插畫、漫畫世界，成為你筆下角色的服裝穿搭造型師。想不想成為專業造型師，透過時尚搭配讓角色更加閃耀？
                    
"
9789865022273,"

56個主題、500+軟萌插圖 輕鬆畫出超軟Q的小世界~ 跟著本書塗鴉，開心就是日常！ 造型圓滾滾，就是要可愛！ 圖案多又多，全部萌到爆！ 想用鉛筆、色鉛筆、原子筆、 中性筆、金蔥筆、亮亮筆、細字筆、 記號筆、軟頭水彩筆、簽字筆或細彩色筆… 都可以。 這裡有你必備的變萌技巧： 把線條變圓弧、把物品簡化、 加上表情、加些符號、改變比例、 加點簡單的動作… 這樣一畫就可愛！ 然後再加點場景， 就可以讓塗鴉變得更有FU～ 除了畫圖， 還可以延伸製作小物， 如小卡片、書籤、旋轉電話簿… 而且書末還附了線稿， 簡單玩玩一些塗色也不錯！ 更加碼提供可用手機或平板 掃瞄觀看的5段塗鴉教學影片:)
                    
"
9789573289067,"


	時尚插畫鬼才GARYTU首本教學書
	透過時尚插畫，讓自己成為時尚與藝術的一部分
	 
	在畫紙上創作專屬於自己的時尚美感，
	每一筆，都是無可取代的悸動。  
	 
	塗至道 Garytu
	★2018、2019年，唯一入圍巴黎當代青年藝術博覽會（YIA Paris）的亞洲時尚藝術家
	★與眾多國際知名品牌進行合作，如《ELLE》、《VOGUE》、CHANEL、LOEWE、PIAGET等
	★任教於實踐大學；同時開設超熱門時尚插畫教室，報名經常秒殺
	 
	完美結合西洋風尚與東方水墨，插畫中的女子們盡顯不同的千嬌百媚，外冷內熱的優雅中帶點美人心機，廣受國際時尚品牌喜愛──這就是Garytu插畫之道。

	本書囊括他多年授課所淬鍊出的教學精華，即使是水彩初學者，也可以一步一步跟著書中的講解，快速掌握繪畫重點，完成自己的第一幅時尚水彩插畫。對於已有基礎者，則能進一步提升對時尚插畫的美感素養和創作觀念。

	本書中你將學到：
	◆不傷荷包的畫具和顏料選購
	◇優美的時尚人物比例該怎麼抓
	◆初學者也能上手的服裝皺褶表現
	◇好看的膚色怎麼調
	◆如何運用留白手法讓插畫更有味道

時尚推薦

	Anny Ting／《VOGUE》時尚副總監
	Krenz Cushart／線上美術教育講師
	Vanessa Yu／《VOGUE》整合行銷創意總監
	李瑜（Yutopia）／《Tatler Taiwan》總編輯
	汪俐伶／服裝設計師
	蔡淑臻／名模、演員
	薛妞妞／時尚KOL、服飾品牌主理人

"
4713008139523,"

你喜歡畫圖但又害怕自己沒有畫畫天分嗎？構圖細緻有層次深度的著色畫，正好適合你！放空思緒放手畫畫吧！作者以豐富意涵聖經金句設計繪製著色圖，讓你構思著色創意之餘也能沉浸靈修氛圍！內頁採用好著色高級道林，各種繪畫媒材適用不透色！各款畫作搭配不同聖經經文，讓你一邊著色還可一邊靈修！本書另付有著色範例可供參考，有經驗沒經驗都可以放膽畫畫！
                    
"
9786263047907,"


	只要是喜歡畫插畫的人，應該都不會對HYOGONOSUKE感到陌生，他的繪畫技巧以無輪廓線技法為主，相當獨樹一幟，本書是HYOGONOSUKE流插畫教學講座，包括人物、背景、構圖等繪製步驟都有詳細解說，喜歡他作品風格的人絕對不可錯過！

本書特色

	＊由日本人氣繪師親自解說！HYOGONOSUKE流的繪畫技巧大公開！
	＊用無輪廓線技法畫出溫暖插圖！喜歡HYOGONOSUKE畫風的人絕不可錯過！

"
