ISBN,書籍簡介
9789865751548,"


收錄33幅世界各地知名景點的水彩畫作品

．無論是城市或鄉間、山景或海邊、白日或夜晚等等，都可以從本書學習到相關繪製技巧

．從速寫示範著手，接著帶領讀者一步步進行上色的練習，水量與用色皆清楚標示

	 

	去旅行，用我們的繪畫讓思想去流浪。

	看過南國充滿朝氣的清晨，登過蜿蜒的長城，領略過沙巴真正的日落黃昏，到過非洲大草原觀察最原始的生存狀態，欣賞過玻利維亞烏尤尼鹽沼讓人驚歎的海天一色……不用擔心簽證，不用頭暈倒時差，足不出戶就能穿梭于全球的美景中。

	本書用33天帶你領略33處不同的風情美景，讓你能身臨其境地體會到不同地方的建築、風光或人文景致。通過書中詳細的繪畫過程，能在對景色的描繪過程中學會怎樣處理色調、光影等技巧，更能深刻地體會將所見的景色轉換為美麗畫作的喜悅。在步驟的講解上，每一幅圖都提供完整的線稿，還配合速寫小練習，從而提高對畫面的構圖設計。上色過程除了詳細講解上色的順序，還對水彩畫特殊的用水量、混色、暈染技巧等進行講解，跟隨書中的講解就能用水彩畫出真實又細膩的水彩風景畫。

	在地圖上標記你想要欣賞的美景，翻開本書，組合起靈動的水彩，一起開始一段33天環遊世界的神奇之旅吧！

"
9789863364122,"


大師指點，
	全方位解析風景速寫，一本就上手！


	本書提供風景速寫的萬用原則，
	精闢說明該如何在畫紙上布局、構圖、如何運用人物與光影突顯對比，
	讓你學會在下筆前就構思好畫面情境，將眼前所見的景象，美美地呈現在畫面上。

	顧兆仁教授集結十多年速寫與繪畫教學經驗，
	針對入門者量身打造，
	將看似複雜、令人望之卻步的風景畫，用淺顯易懂、逐步深入的帶領方式，幫助你快速掌握速寫的要點。
	包含線條與色彩的特性、解析透視原理與運用的撇步、常見主題元素的表現方法，以及突顯層次特色的各種畫法，還有一步步從構圖到完成的詳細步驟示範。
	講解全面，解答所有疑惑，提供實際具體的指引！
	內藏豐富的速寫作品作為舉例，讓你在閱讀中能自然地牢牢記住這些好用又有效的方法，
	領你進入「筆隨心而行，隨走隨畫」的速寫境界。

本書特色

	這本書將幫助你學會：

	◆掌握最重要的速繪原則
	「首先練出流暢的線條」
	「從較高點的景物開始畫起」
	「透視無所不在，運用視平線並找到消失點，畫面就不會怪怪的了」
	「掌握線條的濃淡和粗細，就能畫出遠近層次」
	「水彩其實很好上手，多變的渲染效果」
	「風景速寫最常見的建築和樹木的多種角度與畫法」
	「光影對比的小技巧，讓畫面馬上有了立體感」
	「加上人物動作畫龍點睛」
	 
	◆從速寫作品掌握細節重點
	講解8種風景速寫絕對會畫到的主題：
	園林樹木、湖海河流：鄉居田園、城鎮車站、街道橋梁、聚落部落、廟宇教堂、老厝古蹟。
	每張作品加上獨家繪畫心法與技巧，從此隨走隨畫城鄉風景。

	◆ 運用多種筆材，畫出個人風格特色
	學會如何使用美工鋼筆、代針筆、簽字筆、沾水筆、枯枝筆，畫出不同的筆觸，展現個人風格之作。
	提供運筆技巧示範、墨水特性與濃淡的詳細說明。

	◆直接跟著步驟示範練習
	示範市區古蹟建築和綠園古橋風景的速寫步驟，
	不僅練習到完全不一樣的街景元素與特色，
	並且分別運用彎尖鋼筆和枯枝筆來示範教學，讓你的繪畫功力確實進步！

"
9789865026042,"

7大主題，51個自學要點，一本最全面的水彩繪畫技巧寶典！ 暢銷書《色鉛筆自學聖經》、《速學入門自學聖經》系列巨作！ 從「自學水彩」角度出發， 針對廣大入門者量身打造的水彩畫自學聖經！ 51項完整技法解析，11段示範QR Code影片， 即時解決畫圖中的疑難雜症，真正享受水彩繪畫的樂趣！ 想畫出清新透明感、想表現逼真的光影、 想畫得比實景更美、想練就大師們的精妙技巧， 只要翻開本書，就學得到最佳技法！ ‧集結歐美日水彩大師的訣竅，從基礎技法到專業技巧 ‧只要懂得握筆與運筆就能畫出好看的基本圖案 ‧改變水或顏料的比例就可以調和出深淺不同的顏色 ‧掌握乾淨的混色與加水技巧就能讓畫面的顏色表現更豐富 ‧在塗好的色彩中滴入清水產生隨機紋理效果讓作品更有看頭 ‧線稿決定了繪畫形態是否準確，透過網格法就能快速畫出線稿 ‧簡潔乾淨的線條對上色最有幫助，只需畫出造型結構與特徵 ‧使用最簡單的平塗水彩上色手法讓畫面出現不同的效果 ‧巧妙運用疊色就能展現色彩清新的透明感 ‧讓混色效果變聽話的銜接混色法與點染混色法 ‧善用濕畫法呈現出水彩畫柔和滋潤的特點 ‧融合邊界的自然過渡法讓顏色自然過渡至消失 ‧當物體的紋理比較均勻複雜時，適當的省略與簡化是必要關鍵 ‧用陰影色的搭配、確定陰影方向與表現陰影形狀這三招輕鬆畫出光影 ‧描繪明暗交界線，加強亮暗部的顏色對比，讓物體更有立體感 ‧學習具體的留白方法，讓留白成為畫面的亮點 ‧畫面最先吸引人的地方就是色彩，用多變的顏色表現畫面的空間 ‧運用光影+質感就可以創造逼真的畫中世界 ‧使用暈染的方式處理背景讓畫面氛圍更唯美
                    
"
9789869393317,"


＜襲捲韓國IG，討論度最高、最熱烈的水彩書＞
不需繁複技法，沒有水彩基礎也OK !
韓國療癒系水彩畫家──尹花老師
一日一畫，帶你用水彩捕捉四季的豐富美好


【隨書加贈《花草四季舒壓水彩畫──隨身練習冊》】（尺寸20x22cm，磅數180g）
 ‧採水彩專用美術紙，高磅數，吸墨好畫且不易滲透
 ‧可撕式設計，可作練習冊，也可單頁撕下作單幅作品欣賞
 ‧完成的作品可收藏、自用，記錄美好時光，也可當作贈禮祝福，與人分享

 「不是為了考試而畫，不是為了比較而畫，不是為了畫出一模一樣的風景，也不是為了迎合誰的喜好……，在畫畫的世界裡，我只需要在意我自己。無關乎畫作美醜，我在畫畫的時光裡，找到了與自我的對話。」──吳允眞

◎在畫畫的時光裡，找到前進的力量
 忙碌的上班族，在水彩的世界裡，可以盡情享受專屬時光，重新找到活力的自己；為家庭生活勞碌不已的主婦，即使從來沒有學過畫畫，透過一次次的練習，逐漸勾勒出美麗的圖畫，也勾勒出更美麗的自己。

◎用水彩畫，留下生活的美好
 快速的步調、日復一日的生活，不知不覺心靈已被淘空，忘記欣賞花草的顏色、忘了抬頭看看雲朵的變化，忘了身邊還有這麼多迷人的景緻，透過一幅幅的小畫練習，發覺四季的美好，讓心靈跟著季節一同恣意綻放，滋潤乾枯的心靈。

◎一日一畫，捕捉四季的風景，43幅療癒小卡片
 春日的粉紅櫻花，捎來戀愛的氣息，夏日的貝殼海星，帶來消暑的清新沁涼；秋日的火紅楓樹，看見大自然的美麗哀愁；冬日的聖誕，充滿祝福感恩的季節。這本書教的不只是畫出一幅幅水彩圖畫，還有懂得用心體會的生活，每一次的水彩練習都帶來提醒，生命中有這麼多值得細細感受的美麗。

◎有別於傳統水彩技法，輕鬆就能駕馭的清新渲染風格
 重點1：學習水量的調節（水量的多寡，會影響顏色的深淺）。
 重點2：製造層次的變化（滴清水，製造暈染效果；加深顏色，畫出漸層感；擦拭法，修飾留白）。
 重點3：清新的渲染風格（「水草稿」技法，筆沾水畫出隱形草稿，不易出錯，還能製造渲染效果）。

◎利用四季色票，搭配出最柔和協調的畫作
 粉嫩的春、熱情的夏、蕭瑟的秋、泠冽的冬，每一個季節都有專屬的顏色，在主要的基調內，搭配出最協調的色彩。每幅畫作都詳細列出使用的顏料，可以作為參考依據，也可以依喜好重新搭配。

◎10分鐘就能完成，最舒壓、無負擔的水彩畫時光
 不用準備太多工具，一支筆、一張紙、一盒水彩顏料，就能立即開始。只要少許的時間，就能完成一張明信片大小的畫作，得到放鬆療癒。

本書特色

 1入門快速：即使沒有繪畫基礎、顯少拿過畫筆的人，只要運用幾種技法，都能輕鬆畫出。
 2技法簡單：利用基本的五種技法，即能創作出新興的水彩渲染風格。
 3輕鬆完成：只要少許的做畫時光，就能完成一張明信片大小的畫作，完全不會感到負擔。
 4畫風清新：韓國最受歡迎的花草風水彩畫作，柔順的線條、柔和的配色，畫出美麗的四季風景。
 5舒壓療癒：在畫畫的世界裡，壓力得到釋放，找到對生活的感動、生命的出口。

"
9789579559720,"


只用３種顏色磨練表現力與色彩力
	描繪一幅畫時，呈現出具有統一感的顏色，
	並讓顏色和諧是用色上很重要的事情。
	只要用三原色來進行描繪，
	色彩自然而然就會很和諧。
	在本書中，將會靈活運用三原色，
	介紹一些可以讓水彩畫很有魅力的描繪訣竅。

光是混合三原色，表現幅度就會變得很寬廣
	要學會混色，其實減少顏色數量是很重要的一件事情。
	只要學會並掌握只混合三原色即可調製出來的混色，
	就可以擴展色彩的表現幅度。
	本書會鉅細靡遺地介紹各式各樣的混色方法，
	以及如何在調色盤上溶解顏色的方法。

按照創作題材教導容易學習吸收的花朵與風景
	本書會按照不同創作題材來教導很受大家歡迎及
	初學者也可以很容易學習吸收的花朵與風景。
	可以透過每個課程的明確主題與重點解說，
	學習到基本的顏色運用方法與技法。

按照每個主題介紹水彩畫所需的技法
	在白色紙張上，用水溶解並塗上顏料。
	這項單純的行為會因為紙張、顏料、水
	這３項要素的不同變化，
	而產生各式各樣表現的水彩畫。
	本書也滿載了紙張及畫筆、顏色的水量多寡及
	畫筆的用法，以及如何昇華唯有水彩畫
	才有的表現相關見解。

"
9789865511890,"


從繪畫基本功到風格創作，全書6大篇章

按部就班習得繪畫與觀看之法

國際級水彩大師——查爾斯・雷德的46項繪畫指南

國際水彩名家 簡忠威──審定‧專文解說

	　

每位畫家都會將實際所見的景象做一些調整，

以符合個人對這個世界的看法。

我偏好在明度和色彩上下功夫，設法捕捉我對光線和空氣的感受。——查爾斯・雷德

	 

我畫我想要看到的景象──

	世界知名水彩大師，查爾斯‧雷德以清新自然的畫風聞名，其擅長以抑揚頓挫的線條、恣意流淌的水漬，與色彩斑斕的造型，呈現出生動自然的景象。

	 

	全書共有6大篇章，細分46項繪畫指南，近百張繪圖範例，

	依序從「輪廓」、「明度」、「比例」、「色彩」、「構圖」等面向出發，

	分析如何掌握基本功，畫出「個人觀點與感受」。

	並評析學生作品，提出其中問題，與更好的解決方法；

	最後，引用大師名作，指導習畫者如何從中獲得啟示。

	 

【全書6大篇章，按部就班習得繪畫與觀看之法】

	 

複習基本功——以形狀的觀點去思考，練好輪廓描繪。

研究明度——了解固有明度和光影的不同，掌握明度的配置與結合。

處理色彩——理解色彩的寒暖屬性，表現出你對色彩的想法。

設計視覺動線——利用「邊緣」、「光線」與「色彩」，強調營造重點。

評畫與解決方法——解決習畫者的普遍錯誤，掌握繪畫通則。

向大師學習——從經典畫作深耕技法，而不是單純模仿。

	　　

	【透過本書，習畫者將解決常見的疑問與盲點】

	 

	★畫得像vs. 畫得好──

	為了「畫得像」，習畫者透過寫生捕捉森羅萬象，表現淋漓生動且正確的外在景象；接著，在學習描繪光影、色彩、形狀與律動時，習畫者為了「畫得好」，透過眼與心的詮釋，捕捉感動。「圖畫不只是牆上的美麗景點」，任何階段的習畫者都了解這個道理，但知易行難；該如何捕捉「森羅萬象」？又該如何捕捉「感動」？

	 

	★主題vs.色彩、明度──

	學習一段時間的基本功後，你會迫不及待，想描繪眼前所見的所有主題，卻總是不得其門而入，你可能花了太多精力在描繪主題，而忽略主題的色彩與明度。對繪畫者而言，看懂眼前景象的意思，包含是否能看得懂景象的明暗與顏色，而不單單是主題；但另一方面，除非真正了解主題，才能把主題畫得生動有趣。繪畫即是考察生活，主題與色彩、明度，缺一不可。

	 

	★寫實vs. 抽象──

	寫實的關鍵在於描繪既好看又準確的形狀，而抽象的基礎是畫出個人對色彩和明度的反應；然而，應該選擇寫實詮釋？還是抽象表現？一直是習畫者的難題，本書點明兩者並不衝突，並表示應該重視題材對象的特質與本色，遠觀取形（形趣結構）、近看取質（媒材特質），虛實配合才能畫出氣韻生動。

	 

【本書特色】

	 

	◎大開本設計、收錄大師示範，方便習畫者學習與應用。

	◎全彩精緻印刷，範例皆是水彩大師的經典作品，具有珍藏欣賞價值。

	◎說明詳盡且不限定媒材，水彩與油畫學習者皆適用。

	◎題材廣泛，從靜物、人物肖像、風景等一應俱全。

	◎附有色彩搭配與調色技巧。

	◎穿插許多練習作業，供習畫者學以致用、精進繪畫實力。

	◎獨家收錄水彩名家簡忠威專文解說。

"
9789863845089,"


悠閒的午后，拿起畫筆沾點顏料，

每一筆都是幸福的顏色。

〈步驟超圖解╳創新水彩色調表〉

雪莉手把手，帶你畫出生活中每一刻的美好。

	 

｛隨書贈【畫寫兩用】輕旅繪冊｝

	 

˙有時摘了幾株花草植物、要放小插瓶，還是紮花圈？╳畫出鮮嫩＆清新

	››››解鎖：氣質優雅的調色、乾淨又富層次感的疊色、襯托主角立體感的陰影……

	 

˙偷空享受一盤療癒甜點╳畫出食感＆視覺幸福感

	››››解鎖：蛋糕輕柔綿密的質感、麵包不規則的粗糙紋路技法、奶油、卡士達的柔滑表現……

	 

˙忙碌日子裡墊墊肚子的輕食料理╳畫出美味＆器物質感

	››››解鎖：美食間重疊明暗的變化、調製飽和又濃郁的色調、器物的透明感及紋路表現……

	 

˙偶爾又想遛遛汪汪、喵喵毛寶貝╳畫出Ｑ萌動作＆表情

	››››解鎖：如何描繪有靈魂的眼睛、毛茸茸又療癒的毛流感……

	　

˙陽光灑落的午后悠閒的手帳時光

	若還不知道如何下筆畫水彩，那可以先從手帳著手，取下隨書附贈的【輕旅繪冊】，開始記錄著日常的點點滴滴，起初可能畫得不夠好、不完整，但只要持續不放棄，你一定會看到自己的進步。

	 

	創新收錄「水彩色調表」——

	水彩品牌、色號、中英文色名、色塊完整標示。

	不同顏料品牌，也有清楚的對照依據。

	 

"
9789579559669,"


	本書是以主要描繪人物角色插畫的讀者朋友為對象，介紹透明水彩顏料的使用方法以及美麗範例作品的技法書。主角是蘿莉塔的服飾、小物品以及充滿魅力的可愛人物角色們。內文運用已發展為日本獨自文化，身穿美麗蘿莉塔服飾的人物角色，來解說人物、衣服的描繪方法和小物品的延伸變化方法等等內容。過程中也會透過具親和力的可愛範例作品、詳細的解說，來介紹一些原創人物角色與服飾，以便作為大家在描繪插畫時的參考。

	 

第1章透明水彩的基本使用方法

	本章將會運用「藍色系禮服金髮角色」和「紅色系禮服紅髮角色」解說平塗法、重疊上色、滲透效果、模糊效果與漸層效果( 漸層上色)等等水彩畫的基礎技法。除了說明肌膚及頭髮、衣服及鞋子、飾帶及波形褶邊等等的上色方法之外，也會加入畫材與道具的說明。

	 

第2章描繪可愛的人物角色與洋裝

	本章將會介紹5 ∼ 6 頭身「穿著蘿莉塔衣服的人物角色」描繪步驟。首先會從構思靈感的開始解說。接著會介紹發想自(1) 詞彙和(2)顏色的角色塑造方法，並透過實務層面的混色跟上色方法來解說實際創作時的步驟。

	 

第３章形形色色的蘿莉塔風格

	本章將會一面說明一些容易展現出洋裝的姿勢動作，一面介紹甜美蘿莉塔、哥德蘿莉塔、古典蘿莉塔等等代表性的蘿莉塔服飾。也會透過新繪製迷你角色的圖解解說罩衫、裙子、連身裙和鞋子以及飾品類等等服飾用品的各種不同款式變化。

	 

第4章特邀作家的繪製過程

	本章將有四位特邀作家（佐田鳩子老師、星燈アコ老師、はるのえこ老師、かさのまち老師）描繪新繪製插畫。這裡將會很細心地解說從草圖到作品完成為止的水彩繪製過程，以便讓各位讀者朋友可以知道特邀作家們是如何去發想這些美麗的蘿莉塔服飾以及角色的設計。

	 

	本書會從簡單的水彩技法，一直介紹到不同插畫家他們那些充滿個性的豐富作畫技巧以及華麗的蘿莉塔時尚，是一本非常充實的技法書。

	 

"
9789864014439,"


想學水彩畫，非得報個畫圖班不可？

不是科班生，能畫出什麼水準？

你也想帶著畫筆和畫板走到郊外寫生，

呼吸芬多精，感受愜意的自然風景，

末了，還有個作品，能掛在家裡無限回味。

現在就翻開這本書，運用三色創造無限繽紛，

學習細膩水彩畫，什麼時候都不晚！

	 

工具

	水彩的工具大家一定不陌生，水彩筆、水彩顏料、調色盤、畫紙，然而只要買齊這些東西，就能畫出大師級的作品嗎？在眾多的工具當中，又有各個不同的廠牌和尺寸，你應該選擇怎麼樣的工具，才能畫得更細緻，用得更趁手？
	 

	☞顏料：本書使用十七種顏色，日本好賓透明水彩、溫莎牛頓水彩及KUSAKABA水彩，老師亦有自己專屬的三色，可以調出具有深度的陰影，不再依賴純黑色，如果想讓你的用色活靈活現，你必須要知道。

	☞畫紙：走進美術店，畫紙琳瑯滿目，你知道效果有什麼差異嗎？即便畫上相同的顏色，色調和渲染情形也會依照紙張的不同產生微妙差異，所以選擇紙張是一門重要的功課，這裡會示範幾款不同紋路紙張上色的效果，讓你選購時少走冤枉路！

	☞畫筆：美術用具最多款的就屬畫筆，有粗有細，還有圓頭平頭毛刷……等等，小林老師將為你介紹她慣用的幾款畫筆，後續繪製步驟也會標註，讓你不用煩惱如何挑選！

	☞留白膠：留白一直是美術美學，然而在畫大面積色塊的時候，你以為需要小心翼翼一點點著色嗎？NO！水彩可不是彩色鉛筆或電繪，不需要如此，只要使用留白膠，隔出特定區塊，你就可以大展手腳放心畫啦！　

	☞其他道具：鹽巴、噴霧瓶、鐵筆、吸管、牙刷、保鮮膜、吹風機……是的你沒看錯，這些看似與畫圖無關的東西，其實都可以大大幫助你作畫，誰說畫圖只能用畫筆，善用其他材料，可以讓你輕鬆繪製想要的特殊效果，讓畫看上去更逼人精緻！

	 

基礎

	在正式開始課程前，先來孰悉水彩畫的基本常識，眾所周知水彩和油畫不同，下筆後很難調整、更改，因此你必須更準確掌握所要呈現的效果，熟記這些訣竅，讓你事半功倍。

	 

	☞水彩顏料的特性：透明水彩與不透明水彩的效果差異、顏料和水的比例……等等。

	☞顏料的使用方法：單色上色、混色、如何調製顏料。

	☞遠近感及深度感：遠景、中景、近景如何表現。

	☞光與影：以球體、岩塊、波浪為例，解釋光影的表現手法。

	☞繪製草圖的順序：上色前必須要有草稿，從臨摹照片的比例分配到鉛筆草稿繪製步驟，帶你了解小林老師畫一幅圖的常規流程。

	☞上色前準備：上色過程可能會遇到一些問題，比如紙張起皺，為此你需要學會處理方法，用來避免問題發生。

	 

技法

	本書最關鍵的核心技術，繪製水彩畫有多少技法可以派上用場？它們個別又能帶來什麼效果，只有徹底看完、學習並且實際練習應用，你才能真正走入水彩畫的世界，事不宜遲，現在就打開本書吧！

	 

	☞濕畫法

	☞渲染法

	☞暈染法

	☞擦洗法

	☞乾畫法

	☞留白 基本篇

	☞漸層法 其1

	☞漸層法 其2

	☞用鐵筆刻畫線條

	☞撒鹽

	☞潑濺

	☞乾擦法

	☞噴灑法

	☞傾斜畫紙

	☞留白 應用篇

	 

題材

	前面學習完技法，你是不是摩拳擦掌躍躍欲試呢？但，新手可以畫些什麼題材？找尋適當題材也是一門技巧，如果你還不知道，可以先跟著老師練習，臨摹也是一種途徑，這裡提供小林老師的五個題材，從草稿開始，一步一步圖解搭配文字說明，讓你融會貫通。 

	 

	☞花卉：大波斯菊

	☞描繪花卉：兩朵玫瑰花

	☞描繪靜物：晚秋的靜物

	☞描繪水果：葡萄

	 

"
9789869811385,"


	2015 年起中華亞太開始推出「水彩解密，名家創作的赤裸告白系列」，已經出版五本專書；2019 年協會再推出「台灣水彩主題精選系列」計畫辦理十二個主題特展，目前已經出版「女性」、「花卉」、「秋色」、「河海」四本專書，這一系列不外乎就是要水彩畫家從創作者兼具論述者，從「問」與「答」的開始，再進一步的進入有系統的「創作理念分享」論述。

	 

	「懷舊」這個主題在四十年前曾經在台灣水彩畫壇造成風潮，當年受到美國懷鄉寫實大師魏斯的影響，這個風潮40 上也影響了音樂，影響的電影，影響的是文學，再到美術創作，這個風潮持續了很久到了當代，也還有許多人喜歡，當我在推動台灣水彩主題系列的展出計畫和專書出版的時候，我深深覺得「懷舊」是臺灣百年來水彩發展過程中，非常重要的一個主題展主題，是許多人童年的回憶以及青春時期的一種夢想，「懷舊」展也將慰藉了很多人。

	 

	期望能夠帶動大家多多關懷這塊土地，認識台灣古樸之美，也能夠珍惜我們現在擁有的美好。「懷舊」豐富的內容是這次出版專書的特色，在此特別感謝參展畫家們的熱情參與，也因為如此，我們對未來接續的七個主題，非常有信心，也有更高的期待能為台灣水彩畫留下珍貴的作品，為美術史留下珍貴的史料。

	 

"
