ISBN,書籍簡介
9789864014927,"


貼合現代繪師需求．多元平台媒體曝光注意事項！
	手遊精緻畫面呈現技巧
	人物角色設定．個性呈現訣竅


理解角色設計與插圖的畫法
	本書是專門解說智慧型手機遊戲或書籍封面等娛樂領域中的角色設計與插畫畫法的書籍。書內包含總共12位的插畫家以多樣化的做法及想法繪製而成的角色插畫，也很適合做為資料集來使用。

	內容為角色設計的主要象徵，從直到角色設定到完稿為止的所有解說。

	①從委託方取得訂單時一起取得的角色印象，設計會基於此內容進行。
	②角色的草稿。進行角色設計時為了讓印象更豐富而畫出的草圖。
	③解說設計角色時的步驟。使用範例逐一解說相貌、髮型、服裝等角色設計上的重點。
	④委託方對於插圖的想像。插圖的草稿會基於此內容進行立案。
	⑤為了讓對完稿圖的想像更具體而繪製的草稿。若過程中繪製了不同的草稿來進行選擇，所有草稿都會展示，並說明優劣。
	⑥製作途中的插圖。記錄並解說製作步驟中會大幅改變觀者的印象。

【有原案角色VS.原創角色】
	敘述了原創與擁有原案時的角色設計差異，但也有東西是兩者共通的。所以重要的是將自己喜愛且能畫得有魅力的東西，一邊確認整體平衡並巧妙地將其加入角色內。

【顯示特色的部位與要素】
	觀者在判斷角色時，是環視臉、身體、服裝及持有物品等特徵後再總體地進行判斷。為了製作出優秀的角色設計，必須先知道各個部位或要素呈現的內容為何。

【臉．頭髮．表情】
	臉蛋是個重要部位，可說是角色的命脈。眼睛顏色、髮色及表情的排列組合可以表現出這個角色的年齡、性格、國籍、身分及強度等多樣要素。

【體型．姿勢．動作】
	矮小又纖細的話就像小孩子，全身肌肉的話可能是強敵……這些體型上的表現可讓觀者想像角色年齡或強度，而姿勢與動作則能顯現出角色的個性。

【服裝．持有物品．配件】
	服裝或衣服反映的是角色所在的世界之時代、舞台、職業、身份等內容。另外像是讓魔法師拿杖，或是讓喜歡名牌的角色拿著包包等，用這些持有物品可以讓角色的職務、特技、興趣及喜好更容易被觀者理解。

"
9789863777168,"


～8組風格各異的團體 × 38個充滿魅力的擬人化偶像～

日本插畫家根據多種主題設計角色

公開創作思維，激發無限創意！

	 

	花．天氣．撲克牌．寶石．犬科動物．聖代．水族館．方位

	4名日本插畫家根據以上主題設計擬人化角色，

	並公開設計的思維、繪製過程的技巧！

	 

	本書特別以設計團體為主軸，介紹以擬人化手法設計偶像組合的實例。

	設計多人組合時，必須考量【團員的統一感】，

	讓人一看就知道他們屬於同一組合；

	還要【避免角色個性重複】以及【設定角色間的關係性】，

	透過這兩點，呈現出成員彼此間有趣的互動。

	插畫家們將會發揮所長，以各自的視角解說設計女子偶像團體的重點！

	 

	在角色介紹頁面，會詳細說明【主題印象】、【角色設定】、【設計概念】，

	也會針對角色身上的細節一一做解說，

	讓讀者清楚了解插畫家的設計思維。

	每章節末尾收錄的「插圖繪製過程」，則會帶領讀者學習實際作畫時的技巧。

	 

	書中提供豐富的創作技巧和設計思維，

	在創作遊戲、漫畫、冒險組合、社團活動成員、魔法少女組合等時候，都能派上用場！

	 

本書特色

	 

	◎由4名日本人氣插畫家，傳授擬人化角色的創作技巧！

	◎以設計多人組合為主軸，共收錄8組偶像團體，全38個擬人化角色！

	◎「插圖繪製過程」單元，帶你掌握一幅插畫從零到完成的各種細節與小撇步！

	 

"
9789863776802,"


～了解彩妝，能讓你在設計女性角色時更加得心應手！～

	 

	．口紅的塗法你知道幾種？

	．腮紅的畫法不只刷臉頰而已！？

	．眉形可以大致分為3種！

	．並不是畫愈多愈好！傳授打造迷人雙眸的眼妝技法！

	 

	彩妝是能夠妝點女性、讓女性散發魅力的技法。

	這一點在二次元的世界中同樣通用。

	──除了口紅，女性還會在哪些部位上妝？

	──上了妝的眼睛會變得很漂亮，但是眼妝包含哪些要素？

	許多插畫家對於化妝的知識不太了解，

	於是融合【化妝技法】×【插畫】的本書就此誕生！

	 

	本書分成3個階段來說明描繪彩妝插圖的畫法。

	 

	Chapter 1介紹臉型及基本化妝種類

	從最基本臉部構造、化妝順序開始，依序介紹眉彩、眼線、眼影、睫毛膏、腮紅、口紅，每部位各6種不同妝容。接著介紹7種臉部類型，以及各種臉型適合的妝容。

	 

	Chapter 2介紹正式的化妝技法

	本章正式開始介紹各部位的化妝法。除了各部位的多種風格妝容畫法以外，也提供運用在不同臉型的變化畫法。

	 

	Chapter 3介紹塑造角色個性的妝容

	應用篇！介紹運用化妝技巧賦予角色個性的技巧，也提供服裝及色彩的搭配建議。

	 

	掌握上妝技法，就能增加展現角色魅力的手段！

	透過彩妝風格的變換，畫出更有魅力、辨識度更高的角色吧！

	 

本書特色

	 

	◎依眉彩、眼線、眼影、睫毛膏、腮紅、口紅的順序解說化妝的基本方法，對化妝一竅不通的讀者也能夠從基礎學起！

	◎將臉型分為7種，分別介紹適合的妝容及繪製方法。

	◎提供清秀、小惡魔、次文化、森林系女孩、肉食女5種角色類型，共19種風格的彩妝與服裝色彩搭配，供讀者參考。

	 

"
9789869790536,"


360度隨意翻轉！零死角繪畫全書
 最齊全的漫畫角色入門參考集

  

 前／後／左／右／斜面／側面／俯瞰／仰視……所有角度一手包辦
 壁咚／浴衣／情人節／騎腳踏車／打盹／吵架／烹飪／偶像／樂團……各式場景經典重現

【本書三大優點】
一：360度零死角不負盛名，任何角度隨便你畫
 為了讓讀者從任何角度都能夠自由作畫，本書示範了正面、仰視（從下往上看）、俯瞰（從上往下看）等各種角度的畫法，並穿插豐富插圖及解說詳加介紹。
 不論是仰視、斜側面、俯瞰還是背影，趕快參考圖例練習畫出不同角度的角色吧！

二：照片超級充實，掌握各種場景
 制服、便服、偶像裝扮、浴衣……在各種經典場景的模特兒照片將與插圖同步刊出。只要精通參考照片作畫的訣竅，就能夠隨意畫出各種場景。
 不要直接照著照片素描，練習漫畫式的簡化很重要。一起領略技巧性的作畫訣竅吧！

三、作畫的過程非常豐富
 輪廓的描繪方式、各部位的畫法等等，都一一分解過程為讀者帶來精闢的分析。像是頭身的設定、關節的位置、各部位的配置等，都必須確實貫徹基本的規則。
 對骨骼、關節和肌肉的連接有了更深一層的了解，再配合人體構造進行素描，就能畫出更自然的漫畫角色！

"
9789864014798,"


「我要成為動畫師！」這句話是目標還是口號？
	成為動畫師的步驟：學習畫圖、練人體、考相關科系、投遞工作室履歷…
	正確順序如何安排，怎麼樣最有效率？
	我想考吉卜力，是不是就不需要會畫機器人了？
	機會總是在一瞬間就會溜走，
	準備萬全，讓自己適應各種風格，
	要細心觀察，不要一步登天，
	才能不是100%必要的，
	想做動畫師，先從畫能讓自己開心的爽圖開始吧！


	★還記得那位只花了三年就考進吉卜力工作室的男人嗎？前作《專業動畫師講座 生動描繪人物全方位解析》連新海誠都讚不絕口！
	★每個創作者都有的纖細煩惱，室井老師通通為你開導，不僅是動畫老師，也是繪圖者的心靈導師！
	★興趣和人生規劃該如何從兩條平行線變成一條直線？
	★90條啟發、32則問答、80項批改，就是要為你打造極上繪圖人生！
	做動畫師，畫圖一定要很厲害嗎？
	是不是不畫到登峰造極，就沒辦法成為優秀的動畫師？

	——錯！真正優秀的人，只是比你更懂得在什麼時候應該做什麼事！
	在對的時刻做對的事，才能用自己50%的努力，達到100%的效果！

	（啊咧～只要努力50%就夠了嗎？室井老師說，效率也是很重要的哦！請各位畫師們好好維持正常作息和健康的身心靈，不要太過全力以赴，讓自己游刃有餘地享受畫圖這件事吧！）

★這些煩惱月經文，讓業界老師親自為你開導★

1章／
	『從此喜歡上
	畫畫這回事』

	我想畫畫！ 我喜歡畫畫！ 我想畫得更好！
	這份心情是最重要的原動力。
	為什麼想畫？ 喜歡畫什麼？ 想要變成什麼樣子？
	持續挖掘自己的衝動， 直率面對「喜歡」的情感。

2章／
	『精益求精
	更上一層樓』

	因為喜歡， 所以想要多畫多進步！
	畫技能否進步，
	看的不是「天分」和「努力」。
	先從找到適當的方法開始。

3章／
	『臨摹、素描』

	最強、最快的進步方法照過來！
	就像我們過去會透過「臨摹」練習寫字，
	畫圖時我們也可以仔細觀察， 記住漂亮的圖形，
	並透過「素描」的實物觀察過程， 理解圖形的意義，
	一點一點累積自己能畫的東西。

4章／
	『林林總總的
	繪圖法與成長法』

	你現在所做的練習， 是否淪為「無謂的重量訓練」了呢？
	該做的事情做了， 才會有所成長。
	先求樂在其中， 接著將心思放在目標上。
	鎖定目標後， 再配合適切的方法練習。

5章／
	『成為職業繪師，
	畫專業的圖』

	如果要以專業的身分做事， 就應該追求成功。
	無論是想要從事畫圖工作的人、已經從事畫圖工作的人，
	又或者只是把畫畫當興趣， 另有本業的人，
	為了「畫得更好」所做的練習， 都是同樣珍貴的財產。

6章／
	『將繪圖方法推及人生』

	圖畫會體現創作者的想法，
	面對圖畫， 就是面對自己的人生。
	想要畫得更開心，
	就採取自己能活得更開心的行動吧。

★讓讀者大聲問出你的問題，由老師來親自回答★

	「喜歡」篇
	好喜歡畫圖，好想畫圖，想成為專業人士，但伴隨著各種不安。他們的煩惱跟你一樣，看看老師給你什麼建議。

	「進步」篇
	我想成為動畫師，可是我毫無進步，請問老師該怎麼辦？

	「練習」篇
	畫不出自己想畫的東西、越來越心累、每天畫圖了但想要更有效率的方式……等等煩惱請看這裡。

	「不安」篇
	擅於觀察細節的人，都擁有一顆纖細敏感的心，對未來的不安、害怕他人評價、如何擊碎這種不安，你最大的敵人不是別人，而是自己。

	「理想」篇
	我已經準備好了！當你充滿自己要跨出這一步的時候，面臨的問題是應該要準備哪些作品、是否應該停止學業放手追夢？如果你想自由接案，又要注意哪些事項？

	「生活」篇
	當上動畫師的人，也會有屬於業界工作者的煩惱，比如說，拿不出成果又不好意思下班、不得不睡在公司怎麼辦、後輩教不會讓人火大、工作太多頭昏腦脹……先恭喜你走到這裡，但要走得長久，也是有撇步的喔！

★室井康雄深度專訪★

	如何成為專業？
	成為專業的過程？
	成為專業之後有什麼變化？

	作者從自己年幼接觸繪圖開始到明確志向、一步步朝著自己理想的目標前進，到後來離開工作室成立動畫師學校，心路歷程大公開。在聽取老師給所有讀者建議的同時，不妨也看看老師自己是怎麼做的吧。

"
9789863776550,"


橫跨陸地・海洋・天空三大領域
結合犬科・貓科・有蹄類・鳥類・龍族・海生六大類特性
介於動物與人類、幻想擬真的創造物，正是獸人！

	希臘神話裡半人半牛的牛頭怪米諾陶洛斯、
	挪威國王麾下身披狼皮的狂戰士傳說，
	在世界各地傳頌的歌謠中，以半人半獸之姿登台的「獸人」始終是不可忽視的要角。
	而在當代奇幻題材創作裡，獸人更頻繁地塑造成怪物或推動劇情的角色。

	獸人常見的表現手法，往往採獸頭人身，透過肌膚、四肢、尾巴或羽翼保留原始動物的特徵。

	本書將以雙足行走的獸人作為主軸，從野獸骨骼開始奠定基礎，藉六大類動物型態構思獸人角色的設定，一步步帶領你描繪出野性與人情味兼具的獸人魅力。

●描繪訣竅①　構思獸人的誕生型態
	在設計獸人之前，首先第一步要先思考，筆下的獸人應該呈現如何的型態。
	是先天的獸人，還是後天遭詛咒而變身？
	是野獸與人類的生活模式交織下逐漸演化而來的「亞人」？
	還是人類與獸型生物結合，繼承雙親特徵的混血兒？
	抑或是透過基因修改、魔法、縫合等方式組合而成的合成獸型態？
	視成因不同，也要適時調整獸化的程度與部位。

●描繪訣竅②　獸人的三大分類
▸▸哺乳類──典型的獸人
	人類作為哺乳動物的一員，骨骼結構與這個分類下的野獸擁有許多共同之處，因此這類型的獸人可說是描繪獸人時最合適的入門對象。
	哺乳類大多棲息在陸地，有的族群也會在地底或水中生存，棲息範圍廣泛。順帶一提，哺乳類動物都會以乳汁哺育幼體，因此這類動物轉變為女性獸人時，往往意外地別具魅力！

▸▸爬蟲類──光滑皮膚覆蓋鱗片
	這類生物具備保護皮膚的鱗片，多為卵生，不會長體毛或羽毛。雖然外觀與哺乳類動物差很多，但是四肢骨骼、脊椎與肋骨等基本結構卻與人類相通。特別是「蜥蜴人」類型的獸人，更是近年來因奇幻作品推波助瀾而蔚為流行。

▸▸奇幻生物──幻想的傳說生物
	現實世界不存在的生物，如果在特定的世界觀設定下已享有一定的知名度，也可以被視為獸人的一員，例如鳥妖哈比、人魚等人臉獸身的傳說生物，而本書將以「龍人」作為這類型的代表範例。

●描繪訣竅③　獸人生活的場域
▸▸陸地
	陸地給人的第一印象是文明生活。小從升火料理、大至蓋房屋建設城鎮，想要過上與人類世界相似的生活，比起保留貓或狗的前腳，設定成與人類相同的5指會更符合世界觀所需！

▸▸天空
	獸人的身體近似人類，可是這樣結構對於空中生活來說實在太笨重了。如果想畫出能夠翱翔空中的龍獸人，不妨為雙翅加上大型的翼膜，更符合在空中滑翔、生活的設想。

▸▸海洋
	海洋獸人是以水陸兩棲的生活型態為前提設計，但為了在水中生活，也別忘了在頸部確實畫出魚鰓，同時也保留背鰭。只要是設定未完全拋棄水中生活的角色，都要保留沒有退化的魚鰭才合理。

本書特色

	◎人體結構＆動物特徵的結合，從骨架結構開始賦予肌理，讓你筆下的獸人不僅比例協調，設定更具說服力！
	◎從猛禽到走獸，收錄30種獸人描繪範例，無論是隱匿於叢林的老虎、悠遊海洋的座頭鯨，甚至是傳說的龍族，一口氣擴大獸人種族設定！
	◎比照現實動物大小，為不同獸人量身打造體型差異，建構豐富又立體的獸人世界觀。

"
9789865115739,"


	由5位知名漫畫作家為讀者解說，
	如何重點性地提升作畫技巧！

	☆收錄內容☆
	兩名男性肢體交纏時的表現方法、決定構圖＆構圖變化的方法
	身體部位與肌肉的基本技巧╱性愛場景中，表情與頭髮的動態表現╱各種體格的畫法區別
	接吻的畫法、以手或舌愛撫的畫法、推倒的畫法、各種體位、有體格差異時的交纏方式
	穿脫服裝（便服、西裝、和服）的畫法、穿衣時的性愛場景畫法、內褲的種類
	體液與狀聲字的表現方式

	◎徹底收錄畫性愛場景時不可或缺的繪畫基本知識
	◎身體部位、肢體的交纏方式、表現情色感的方式以及穿著衣服或內褲時表現情色感的方法……等繪畫技巧一本全收錄

"
9789865025519,"

暢銷著作全球總銷量超過1000萬冊的 漫畫塗鴉教主~噠噠貓的超萌神作 無數粉絲敲碗技法大公開！ 獨家收錄「26段超值繪畫教學影片」　　 讓你用最簡單的○□△圖形秘技畫出來！ 4個小訣竅，告別不會畫，萌樣滿分！ 省略線條、簡化細節，簡單卻更討喜！ 表情、動作、造型、比例對了，不好看也難！ 軟線條、圓比例、萌表情，瞬間就可愛！ 善用幾何圖形大法○□△，化身動漫Q萌角色與小物！ 隨手一支筆就能畫，橫跨現代與古風，遊走夢之神域。 繪畫教學影片為QR Code形式， 可直接用手機或平板電腦掃瞄觀賞， 就是要讓你畫得又快又好看！
                    
"
9789571088693,"


★橫掃網路的話題作，各大平台爭相報導！
★日本AMAZON網路書店暢銷排行榜NO.1，上市後迅速再版，各大書店絕讚好評推薦！
★除了是實用性質極高的脫衣祕笈外，也是新手繪師繪圖時避免出錯的工具書。

	「好想脫掉女孩子的衣服！實現慾望、終止魔法師之路，就是這本！」

	做出「把女孩子的衣服脫下」這種行為前，大家肯定有許多不同的夢想，
	但怎樣的服裝要用什麼方式脫下，才能讓女孩子更加光芒四射？
	本書就是從這個十個人會有十種回答的問題中誕生的。

	此書按照種類、構造、脫衣方法等分類，共收錄巫女、警察、學生服、女僕、泳裝、旗袍等59種不同穿著，並細分為全身、上半身和下半身，每篇都以豐富圖文完整且徹底地解析脫衣方法。

	除了是實用性質極高的脫衣祕笈外，也是新手繪師繪圖時避免出錯的工具書。

"
9789864012626,"

開辦高人氣「動畫私塾」的室井老師，在學生及粉絲不斷敲碗鼓吹之下，終於出書啦！透過DVD，跟著正妹偶像一起上課學畫畫吧！✦想快速提升功力就要靠「臨摹」！✦按照「簡化圖形→填補細節」的順序，什麼都畫得出來！✦提升畫技的關鍵在於「肩膀、腰部」的表現能力！✦人物的躍動感要透過「重心的變化」來展現！✦在任何空間都能自由發揮的「空間節奏」又是什麼？活躍於YouTube及Twitter等平台，室井老師大方分享的各種技法，所有精華通通都收錄在本書。還有很多在別的書裡學不到的原創技巧，保證絕對有所收穫。若您還不相信這本書真的有這麼神，就來聽聽日本讀者怎麼說！【精彩內容不容錯過，值得珍藏的實用技法書僅此一本！】從基本的概念開始，一路講解到比較需要技巧的地方。或許也會有人覺得適用這本書的人需要具備一定程度的畫技，不過本書對增進繪畫功力有很大幫助，這是無庸置疑的！──takizawa.S我的畫技有了飛躍性的成長！至今為止已嘗試過不少繪畫的技巧書，如今終於讓我找到一本我真正想要的了！並非一味地模仿，讀者能清楚了解作畫的理論和道理。在卷末的DVD也有教導作畫的技巧。──みりな【常見錯誤範例大解析！順利突破繪畫瓶頸】我的夢想是成為漫畫家，一直以來買了很多書籍也被騙了很多次，但是這是一本非常實用的好書。藉漫畫中常見的姿勢來解說畫不好的原因，再說明魄力十足的構圖應該要如何表現，點出引導視線等各個重點，非常有幫助。拯救了像我這種畫技差勁的人（笑）。──カスタマー每次都覺得自己的畫作有哪個地方很奇怪，卻老是找不到原因……這本書把光靠自己沒辦法注意到的地方，通通告訴你了！──ベース好き【學生和粉絲的熱情相挺，學習成果說不完】我是在動畫私塾上課的學生，已經學習超過3年了。現在是以畫插畫維生，但在過去想提升自己的畫技時卻遇到瓶頸，為了向專家學習所以報名了動畫私塾。我在那裡學到了作畫的基本觀念，是私塾所教的內容奠定了自己現在的作畫方式。用更直接的話來講就是我畫得更棒了。（不過我期許未來還要變得更好！）──カトウ我是在YouTube上知道室井老師的。之後就有在固定關注他的頻道，知道要出書的消息後立刻預定了！DVD的內容長達90分鐘，非常充實。由室井老師一邊當場描繪一邊親自解說，和YouTube上的流程很相像，我覺得很有趣。在本書的開頭甚至公開了室井老師初期的畫作，看到厲害的人也會經歷這種黑歷史的時期，讓我覺得勇氣十足（笑）。──openprice✦特別收錄精彩DVD獨家課程與Pixiv偶像團體「彩虹征服者」的根本凪合作，教你把三次元偶像畫成二次元角色的方法！藉由實際演練，讓讀者能更清楚了解室井老師的作畫過程。可愛偶像和專業動畫師的夢幻共演，又會帶給大家什麼樣的驚喜，敬請收看本書附錄的超值DVD。
                    
"
