ISBN,書籍簡介
9789869963718,"

工具只是媒介，重要的是想呈現什麼，在探索繪畫的過程中體會事物的美，描繪心中的烏托邦。畢卡索曾說：「我不畫我所看見的，我畫我所知道的。」。他一生不斷的創作、不斷創新、嘗試不同的風格，進而影響現代藝術至今；藉由這本書的啟發，你或許可以產生新的興趣，也或許能夠得到一絲的靈感，知道往後要呈現什麼，展現屬於自己的風格。本書的目的不是讓讀者學習某一畫派，或某一風格，而是希望透過作者對油畫的技法、色彩、形狀的介紹與示範，讓一般初學者或有繪畫基礎的朋友，藉由書中的介紹能有所啟發，進而對學習油畫有幫助工具只是媒介，重要的是想呈現什麼在探索繪畫的過程中體會事物的美，隨心所欲的使用工具描繪心中的烏托邦生活，即美畢卡索曾說「我不畫我所看見的，我畫我所知道的。」並且說過「風格是藝術家最大的敵人。」，因為他一生不斷的創作、也不斷的創新、嘗試不同的風格，進而影響現代藝術至今；藉由這本書的啟發，你或許可以產生新的興趣，也或許能夠得到一絲的靈感，知道往後要呈現什麼，展現屬於自己的風格油畫的畫法是影響繪畫風格的因素之一無論哪種風格，都可將畫法歸納為一種或多種方法本書分為四大單元：油畫基礎材料介紹、油畫基礎表現技法、實例畫法、陳穎彬油畫作品第一單元：油畫基礎材料介紹內容包含油畫基礎材料介紹、初學者認識調色油、最常見的調和油介紹、洗筆液、油畫筆、畫刀、調色盤、油畫架介紹；以深入淺出的方式，解釋油畫的基本工具，介紹材料之間的差異性與基礎知識。第二單元：油畫基礎表現技法內容包含油畫畫法實例、色彩運用、畫刀實際操作與畫法、大刷子畫法、印象派技法等；書中內容可能都是市面上油畫書籍較少介紹到的，在這個章節中我們承接基礎介紹，教您各類工具簡單的運用方法及使用時機；琳瑯滿目的畫具令人眼花撩亂，別慌張，油畫本身就是一種可以反覆修改的媒材，大膽的使用畫具吧！第三單元：實例畫法內容有人物、風景、靜物、抽象、荷花、鳥類、魚類、雞類畫畫法等，可以說是油畫基礎畫法中的必備素材，本書記錄所有的實例繪畫過程，一步一步，讓讀者學習油畫技巧更加簡單；書中反覆強調一些上色的基礎概念：暗面→中間調→亮面，我們都知道油畫是一種可以反覆修改的媒材，但為什麼全書幾乎都要由暗→亮的繪製呢？其實理由很簡單：1.先畫亮面容易導致層次不足，中間調堆疊困難2.將暗色疊上亮色，顏色的「彩度」會降低，色調會變粉（如果沒等乾再畫的話）繪畫技巧是由反覆的實驗總結而成的精粹，在第三單元中我們以圖文並茂的方式解說一幅油畫的誕生過程，每張圖片都有一段文字敘述重點，以編號解析一幅作品的繪畫歷程，本單元作品更貼心附上「作品色彩表」，大方不藏私，詳盡標示示範畫作所使用的顏料及對應區塊。歷時三年半，內附陳顯棟大師示範的造形練習油畫的歷史已經超過五世紀，幾世紀以來油畫的風格從古典繪畫到現代繪畫，無論哪種時代產生的畫派與主義，除了代表時代歷史背景外，也反映當時人文內涵；所以油畫是有其時代性，也就是因為所謂時代性才有所謂創新，尤其是二十一世紀的繪畫已不是少數單一風格呈現，而是個人思想自由表現。本書從製作到出版歷時三年半，讀者可以從本書詳細的介紹中，瞭解油畫，進而產生興趣，在生活中也可對欣賞繪畫、創作有所助益。
                    
"
9789579679329,0
9781647840792,"

本書蒐錄黎振華先生四十三幅油畫選作。黎振華先生曾任公職服務於行政院僑務委員會處長、派駐法國代表處僑務組組長、兼巴黎華僑文教服務中心主任、僑委會參事。2003年退休。
                    
"
9789579559416,"

油畫的畫面光澤漂亮，可以描繪整體概要的場景，也可以呈現細部的細節，透過重塗上色還能夠表現出寫實感，是最適合不過的畫材。然而市面上的油畫入門書絕大部分都是以粗筆在畫布留下粗筆觸的簡略技法解說書。「描繪寫實風格的油畫需要耗費大量的時間」這樣的印象其實也是誤會，只要了解描繪的順序，只要1天的時間就能夠描繪完成。本書是一邊實際觀察描繪主題，一邊介紹如何「短時間描繪出寫實風格」的劃時代油畫技法書。使用的顏料只有2種類型3原色，一共6種顏色加上白色而已！描繪的順序有一定的法則，我們要做的只是將其熟練！只要有3原色加白色顏料，即可充分應付作畫所需。透過混色的練習，還能夠加強對於顏色的掌握程度，學習到生動活潑的色彩表現能力。藉由刻意將水果的剖面也呈現出來的描繪主題構成方式，徹底解說如何能夠表現出水果的水潤質感的方法。傳授由整體概要的起筆階段，一直到細緻的寫實細節描繪訣竅。
                    
"
9789579559386,"

本書為經手歷史模擬遊戲『信長之野望』跟『三國志』等遊戲封面圖，而遠近馳名的歷史寫實風插畫第一把交椅‧長野剛，其第一本油畫技法書。在本書當中，長野剛全新繪製了三名人物角色「織田信長」「孫尚香」「天使」，並熱心詳細地解說了其獨自的畫材與用法、構圖要如何捕捉才會有魄力的方法、如何進行混色的調製方法、以及眼睛‧刀‧披風這些部位跟背景的描繪方法等種種技法。本書登場的武將，其樣貌既優美又充滿魄力感，極為精采動人！此外，還毫無保留地公開了近年長野剛本人也傾注了全力的人氣作品「天使畫」其相關技法（如光芒、布料、頭髮、羽毛的表現）。而在畫廊篇章跟本文當中，則是刊載了以最新代表作為中心的許多作品，因此也可以當作是老師的作品集來賞閱。書尾附錄的線稿集也可以拿來當作著色圖使用。真正是跨越了長野剛的過去與現在，並包羅了其彌足珍貴、所有插畫技巧的一本技法書！
                    
"
9789869712347,"

本書在整體架構上，是按照創作年代順序來介紹我描繪至今的作品（主要為油彩畫的人物畫），並一面回顧「當時的我」是將重點置於何處來加入至創作當中，來一面進行解說。有其需要的部分我有新增一些圖解類的說明，來介紹作畫當時所發生的事件。雖然也有人評論寫實風的繪畫說「那就只是把看到的東西描繪出來嘛」，但因為每位畫家所描繪出來的，都是各自所認為的「看到的東西」，所以會因為畫家的不同，而形成全然不同的畫作。若是各位能夠從本書當中，感受到我‧三澤寬志的「如實描繪」是怎樣一回事，那就是本人之幸了。此外，本書也有刊載最近的作品我是怎樣子去作畫的創作過程（Making），若是能夠成為各位在描繪油畫跟水彩方面的參考，那也是本人之幸了。希望各位對於光看完成作品是看不出來的創作層面，也能夠產生興趣，這樣會讓人很高興。在pixiv上持續描繪大家熟知的人物畫，以及人體講座跟東方project人物角色插畫等等畫作的畫家‧三澤寬志。本書為介紹其代表性創作畫業的首部畫集。他貫徹「確實觀看人物後再作畫」此姿勢態度，並以此信念，繪製出了諸多珍貴的作品。他因嚮往牟利羅作品『年輕的乞丐』而開始踏入油畫世界。隨後，經歷了長達45年的「與繪畫之間的搏鬥」。本書特別從這45年的紀錄當中，挑出可作為作畫參考的作品，並此以為中心來解說技法。同時因應所需，刊載了特寫、胸上景、全身，共約10組範例的創作過程。雖然本書有盡可能地按照時間變化來介紹作品，但仍舊有從技法書的用途，去考量創作環境跟主題設定等因素。因此章節排列上是大事跡與小事跡彼此交織的。●第１章　與「看著事物」之間的搏鬥『開始』　從美術大學～研究所時代的作品開始介紹。●第２章　創作的實踐『公開』　透過數種運用了二名模特兒的創作過程，來進行技法解說。●第３章　舞台設定與大作的時代『焦點』　回顧出品公募展時期，那段大約10年間的大作群。●第４章　作畫風格邁向描繪自己想描繪的事物『轉捩點』　他想描繪的究竟是什麼？其主題漸漸明朗化了。●第５章　將人物象徵化來進行作畫『進化』　透過pixiv娘、透過東方project，每日持續挑戰。跨越藝術與插畫的籬垣，越發將創作之可能性拓展開來的三澤寬志，請各位務必一觀其畫作。
                    
"
9789868701861,"


	★廖修平被譽稱為臺灣現代版畫之父
	★他與一批觀念先進、創作熱忱的青年版畫家
	★共同啟動了版畫發展的齒輪
	★成為帶動臺灣現代版畫藝術創作和教育的火車頭

	版畫是富有設計感及創造性的藝術，複數分享的特性更顯出其獨特的魅力。台灣版畫在廖修平引領之下，跳出傳統的窠臼，走入國際舞台，展現出耀眼的光芒。本書描繪廖修平等二十位代表性版畫家，擇其所愛、奮鬥不懈，並探索心靈、自我對話的歷程。他們的作品風貌多元，在版畫藝壇各領風騷，對於台灣藝術發展更是功不可沒。
	這二十位版畫家是：廖修平、鐘有輝、林雪卿、楊明迭、黃世團、陳華俊、王振泰、黃郁生、蔡義雄、潘勁瑞、李延祥、徐明豐、林昭安、陳韋㕇、郭榮華、潘孟堯、林仁信、沈金源、賴振輝、楊成愿。
	版畫創作過程難度極高，畫稿、刻版、印製，工序繁複，刻劃精微，能表現單用畫筆無法達到的視覺效果，藝術價值絲毫不比其他畫種遜色。即使版畫可以複製，但它與一般用機械大量複製的印刷品實不相同，版畫家用雙手操作、限量印製、親筆簽名的編號畫作，每張都可視為獨一無二的原創作品。
	書內收錄版畫家的大量作品，以畫冊質感的精緻印刷方式呈現。作者施筱雲用簡雅而雋永的文字道出每位版畫家的生命之歌及心靈意象；美編設計則融合現代感與古典樸拙的元素，封面設計突顯版畫的精神與風味，裸背式的設計則讓書本更易於平攤翻閱，扉頁中附加巧思元素，吸引讀者目光。略顯西式現代感的美編，配合作者傳統典雅的筆意調性，加上版畫家多彩的作品呈現，三者不僅不相衝突，反能將所收錄版畫家的精華作品與生命故事融合無間。

	【手製限量版畫】
	另配合這項出版計畫，版畫家們聯合製作一套紀念藏畫集，每位提供一件手製限量版畫，全套共二十張名家作品精裝於桐木盒，以十萬元分享特價讓愛好者收藏，僅有七十五套售完為止。
	社會中產階級眾多，喜愛藝術人口廣大，但真正有寬裕財力購買昂貴畫作的藏家畢竟有限，相對價廉的優質版畫正可滿足較多數人需求。《版畫在臺灣》書刊與藏畫集，有助於普及人們對版畫價值的認知，增加臺灣優秀畫家能見度，也讓版畫藝術有較多機會融入大眾生活。  

"
9789578630604,"


★2018浮世繪名師歌川廣重逝世160周年紀念★
 從對景物的描寫，一睹日本版畫藝術的巔峰
 完整收錄歌川廣重晚年代表作《名所江戶百景》全系列119幅作品與解說
 一場超越時空的江戶風景之旅，帶你重遊幕末江戶的名勝美景
 發掘畫作背後的歷史足跡與趣聞軼事

【記錄幕末風景的代表性繪師——歌川廣重】
 出生於消防世家的歌川廣重（1797－1858）於15歲時開始學習繪畫，擅於寫生的他在作品中除了風景，也記錄下百姓的日常生活，並善用多種技巧呈現鮮明的季節變換，讓人彷彿穿越時空，身歷其境。描寫了東海道（連通江戶與京都的主要幹道）沿途宿場（類似驛站）風景的《東海道五拾三次之內》系列堪稱其不朽名作，《名所江戶百景》則是廣重晚年剃髮出家後另一創作巔峰，在民眾間廣受好評，是當時與葛飾北齋（1760－1849）齊名的風景版畫大師。

【透過遊覽紙上名勝，輕鬆探索浮世繪的奧妙】
 ◆品味平易近人卻匠心獨具的浮世繪藝術
 起源於17世紀的浮世繪是足以代表日本傳統藝術文化的繪畫形式，舉凡人物、風景、歷史和戲劇，人世間的生活百態都可以是浮世繪的表現題材。由於可以大量印刷而在大眾間迅速普及，並於江戶時代迎來鼎盛期。其中在19世紀初以葛飾北齋的名作《富嶽三十六景》為首開始盛行稱為「名所繪」的風景畫形式，不僅滿足了當時與遊山玩水無緣的百姓對名山秀水的憧憬，也作為一種旅遊導覽而廣受歡迎。浮世繪鮮活、不受拘束又極具感染力的藝術風格，甚至遠渡重洋引起不少西方畫家與藝術愛好者的熱烈追捧；其製作工藝之精，表現範圍之廣，至今仍值得人們去細細琢磨。

 ◆收錄江戶各地季節美景的《名所江戶百景》系列
 由廣重創作的《名所江戶百景》描繪了江戶在不同季節的風景名勝，堪稱是名所繪中完成度最高的作品。變化多端的視角與遠近景的極端取捨在視覺上帶來全新的體驗，同時活用多種木版印刷技法，營造出光影甚至是凹凸變化，讓畫面更顯生動，令人不禁讚嘆製作者的巧思。書中所收皆出自20世紀日本商人原安三郎的收藏，包含梵谷曾臨摹的〈大橋安宅夕立〉、〈龜戶梅屋舖〉在內，全都是珍貴且保存狀態極佳的初摺（首批印刷的版本）版畫，比起為節省工時而在色彩表現上變得相對簡略的後摺（再刷版本），更能完整呈現繪師最原始的創作初衷。

【跟隨浮世繪大師的視角，看見今日東京的昔日風情】
 ◆淺草、上野、日本橋、新宿……發掘近代東京的風景變遷，旅行風光趣味倍增
 書中除了帶領讀者欣賞廣重的構圖和色彩細節，也解說與景物相關的由來典故，並將這些場所按照地區分類，搭配現代地圖及照片，以便讀者實際前往探訪至今留存在東京某處的江戶遺址，進而發現人們熟悉的「TOKYO」與眾不同的一面。

 ◆尋訪凝聚於廣重筆下的江戶人情百景
 廣重生活的江戶並不總是風光明媚，生活上多有辛苦。然而他所描繪的江戶卻是如此愜意優美，不但沒有表現出逆境，更能透過觀察風景中的人物找到幾分樂趣。不論是船上只有剪影的藝伎、與小狗玩耍的孩童還是高掛空中的風箏，每一幅景色與人物都有獨自的寓意，成為作品最耐人尋味之處。讀者不妨從細部觀察，找出對作品獨到的見解與詮釋。
  

本書特色

 ◆台灣第一本介紹歌川廣重作品的入門書籍，全彩收錄119幅初版印刷的《名所江戶百景》+目錄，完整解說畫中景物、相關典故及使用技法
 ◆全圖附加作品所描繪地點的地圖與照片，感受對照今昔的樂趣
 ◆鑑賞浮世繪不可不知的基礎知識與技法入門
 ◆本書裝訂採用PUR膠裝，使書冊能夠平整地展開於桌面上，更便於讀者閱讀與賞析

"
9789869601405,"


	針對各類印刷品的設計，所有圖文編配可能用到的購成樣式、標題、邊框、襯底，都讓你有跡可循。是美編人員的速成教材和執業者的即查聖經。(原《版面購成與美術編輯》的修訂新版)。足供圖文編排課程運用及多媒體網頁設計之所需。教學用另附習作本

"
9789864773220,"


	☆時尚流行來自歷史的奠基，版畫工藝給你設計的靈感☆
	★第一本中文版古典時尚版畫珍藏圖錄★

	時尚，呈現的是一種社會現象。每個時期的流行時尚皆有不同的轉變，其中，最能明顯觀察的便是服裝樣式。從早期的宮廷時尚、工業革命、法國大革命、世界大戰造成的影響，到女性解放主義的保羅‧波烈（Paul Poiret）、形塑「時髦女郎」的尚‧帕圖（Jean Patou），與設計師可可‧香奈兒（Coco Chanel 1883~1971）掀起的世界時尚革命，這一整個時裝流行的歷史跨越了19世紀的歐洲，至今仍一波接著一波，華麗地上演著。而法國位居其中樞紐，更是扮演了極為重要的角色。

	現今流行時尚的傳遞方式多元，有現場展示的服裝伸展台、透過照片影象傳達的各種媒體。而早期的服裝沒有這些科技產品時，流行則是依賴時尚版畫（Fashion plate）的視覺傳達。歐洲版畫發展至今已有約六百年歷史，雖與人類歷史上其他文化建構相比尚不夠悠久，但在傳播與藝術普及的功能上，卻扮演不可忽視的角色。

	最古老的版畫形制為凸版，後來又發展出做工較為繁複的凹版技法，這是西洋版畫的獨特發明。與現代的機器印刷技術相比，傳統版畫的製作須經由人工直接操作，因此同一張畫面，會因上色的差異、壓印力度、版面磨損與紙質，產生不同的韻味。在歐洲版畫發展的過程中，甚至有許多藝術家共同參與製作，這些作品體現出的成果已不僅是單純的畫面複製，更是一種工藝結晶與具有價值的藝術品。

	19世紀到20世紀初，非常盛行使用一張張時尚版畫夾帶在服裝樣本和雜誌中，來傳遞時下的流行風格。在還沒有彩色印刷之前，請畫家一筆一筆塗上顏色；除此之外，精細的畫工會畫上背景，顯示當時的生活環境。由於細緻的刻板技術，加上繽紛的色彩，當初的時尚版畫相當具有欣賞與收藏的價值，現今常被復刻印刷作為藝術相關商品。

"
