ISBN,書籍簡介
9789868454200,"

《玩．金．術》是一本專業的金工入門書，內文涵括「玩興的創造力」、「深刻地認識金屬媒材」、「藉技術的掌握成就藝術」這三個面向。書中放入上千張操作示範的彩色圖片，及操作機械相關的安全示範影片(請掃描版權頁QR CODE)，帶領你從現實生活走入創造的世界，體驗金屬材質所帶來的難忘體驗。
                    
"
9789866399701,"


	融入了奇幻元素的影視、動漫、電玩作品正當道，從真實世界的既有生物、到幻想虛構的創造生物，人們對於造型作品必須達到栩栩如生的要求，都是一貫的高標準。而無論是真實生物、還是幻獸，想要讓作品達到此一程度，都必須回歸到對於骨骼、肌理、毛髮膚質、姿態與重心…等基本事項的掌握。

	知名的造形家、好萊塢造形界的翹楚「片桐裕司」，便將在這一冊裡，透過詳細的雕塑實例和解說，來傳授栩栩如生動物造形的技巧。卷頭首先以精美寫真來欣賞大師的作品集，接著介紹靈長類的骨骼知識，然後陸續送上「黑猩猩」「大猩猩」「象」「馬」「獅子」「龍」「狗」等實例的詳細製作過程＆要領解說。堪稱為動物造形解析＆雕塑技巧的決定版！

"
9789865824815,"


很多人看完一遍，再看一遍，停不下來的感動——

  

重重的宮門 隔絕了浮世喧囂
 他們在這裡修著過了時的文物
 一筆一筆臨摹《清明上河圖》 一件一件組裝宮廷鐘錶零件 一片一片拼回青銅碎片
 不求名利與聞達 只想解開時間留下的謎

  

12位文物修復師 靜默地將日子獻給修復工作
 在從前慢的時光中  找到安身心的力量

  

 「心裡挺有成就感，別人知不知道誰修的無所謂。」──鐘錶修復師 王津
 「師父最常跟我們說的是要守規矩……規矩，第一個就是寂寞，守住寂寞。」──摹章師 沈偉
 「我修過的文物，我都喜愛。你必須得喜愛，要不喜愛，你就對它不珍惜，幹出的活也不會太漂亮。」──銅器修復師 王有亮
 「很多人認為文物修復工作者是因為把文物修好了，所以他有價值，其實不見得這麼簡單。他在修這個文物的過程中，他跟它的交流，他對它的體悟，他已經把自己也融到裡頭。」──木器修復師 屈峰

  

★廖慶松（本片剪接指導、《聶隱娘》監製）──專文推薦
 ★電視紀錄片紅遍網路，播放量逼近億次
 ★豆瓣評分高達9.4，超越《舌尖上的中國》
 ★電影版獲2017年休士頓國際電影節「紀錄片評委會特別雷米獎」

  

◆為什麼看過的人都為之震動？！
 北京故宮裡藏著一群身懷絕技卻又平凡無奇的工匠，他們在昔日的「冷宮」裡修復價值連城的的歷代文物，這些被歲月腐蝕的鐘錶、古書畫、青銅器、木器等，在他們的巧手下有了新生命，彷彿時光再現。
 原先是一部首次以現代化眼光、生活化手法，揭露北京故宮文物修復師日常的大型紀錄片，2016年初一推出即風靡全中國，無數年輕人更被深深打動，重新思考該如何看待工作與人生，甚至將修復師視為職業選項之一。本書以紀錄片精神為本，再經深度採訪與寫作，收錄更多鏡頭外的故事：12位修復師親身講述其學藝的心路歷程，對工作、對人生的感悟，以及故宮生涯的回顧。

  

◆文物修復師的日常，安靜的力量
 每日清晨，那道紅色大門緩緩開啟，這群在故宮裡工作的人，像是就此走進了另一個時空，宮外喧囂的世界與他們無關，僅有的只是安靜、專注與超然。在這裡，時間慢了下來，他們用三年磨一把刀，花幾年到幾十年臨摹一幅古畫，將碎成百瓣的青銅器一片片拼回原狀……「走，去慈寧宮。」「我去壽康宮打個水。」修復師們在故宮裡打水、餵貓、騎著電動車去宮外抽菸、在太和殿廣場上騎自行車，這也是他們的日常，在故宮這樣幽深的場域裡，形成一種反差的趣味，也讓他們的人物形象鮮活起來。外人或許不知道他們的存在，但他們的手藝已有幾千年的生命，傳承了一代又一代。

  

◆復舊如舊，工匠精神的真諦
 書中更多的是，老一派的手藝人如何帶徒弟、「尊師重道」一詞如何被實踐；文物修復的工作現場，有著什麼樣的氛圍與景色；人們在展覽看到的、傳承了幾百幾千年的文物，如何被保存延續下來……
 「我們的社會過分追求聚光燈下的光彩，卻忘了，只有土地裡的根莖足夠深刻，一棵樹才能開出繁茂的花朵。工匠是土地之下，看不見也被忽略的根。」生活在被科技、娛樂包圍的世界，終日被無明和快速腳步追著跑的我們，或多或少變得世俗而空洞。我們之中有許多人，默默做著一份職業，也許辛苦，也許卑微，也許根本不為人所知：幕後工作者、文字工作者、設計師、編輯，或是在飲食、民生、工業、文化、禮俗等各種領域裡謹守並傳承著傳統工藝的職人們......都能在這些文物修復師身上找到相同的精神，甚至獲得新的力量。

  

《我在故宮修文物》電影主題曲MV
 影片連結 https://www.youtube.com/watch?v=YEX-IQ_N_9s&app=desktop

"
9789864591794,"


泥與水的融合，孕育出生命更豐厚的質地；火與土的對話，精萃出生命更堅實的肌理。

掌握工具操作要領︱分段學習循序漸進︱製作工序條理分析︱技法延伸觸類旁通︱熟悉精進拉坯技巧︱手工茶壺拆解教學︱輕鬆配釉一次搞定



	所有偏向工藝性質的創作中，陶藝是最難界定的，因為文化淵源深廣，又介於實用與單純的藝術表現之間。雖然進入陶藝領域的門檻其實並不高，但想達到一定的高度卻不容易。本書從歷史發展和地理聯繫，引領讀者深入陶藝文化、掌握紮實地基礎技法和工具運用。接著依循作者的腳步踏入陶藝高深的領域，探索雕塑技巧、茶壺拉胚製作工序、正確的釉藥知識、上釉方式，以及獨家高溫釉方。書中每篇教學作品都有詳細的步驟圖和製作工序，讓讀者從入門開始分段學習，一步步深入進階陶藝的世界。全書選定的教學作品，都有設定達成的學習重點，並提供技法延伸的可能性。

	作者從事陶藝創作及教學近四十年，籌辦過多次大型的陶藝推廣活動，對於各種程度的學生及其會產生的疑問了然於胸。在本書的帶領下，讀者能輕鬆掌握相關技巧，進而自在創作、陶然自得。


【專業推薦】
洪慶峰 ︱前文化建設委員會副主任委員
王銘顯 ︱前國立台灣藝術大學校長

"
9789869692076,"

我並非窯業化學或是釉藥的專家，因此關於釉藥的知識，都是身為陶藝家在活動的過程中， 被迫必須學習而來。我在學生時代對於釉藥的研究，僅只限於想要使用在自己作品上的釉藥。自學校畢業後， 我最初的工作地點是在一家日本料理店自有的陶房，必須要去學習本來不怎麼有興趣的日本傳統釉的狀況下。後來，我成為陶藝教室的講師，為了滿足學生求知的需求，必須要去學習各式各樣不同釉藥知識。2003年開始連載關於釉藥調合的專欄。此時我開始思考：「怎麼樣才能寫出以陶藝為興趣的人也能簡單易懂的釉藥調合解說呢？」。連載專欄的內容於2005年集結成單行本《混ぜておぼえる釉藥づくり》( 邊混合邊記憶的釉藥製作方法)。而本書是將其一部分改寫後，重新編輯而成的改訂版。在探尋屬於自己的釉藥的過程中，相信都能感受到成就感，特別每當一有新的發現，都能讓我們將過程中的辛苦轉化為樂趣。想了解釉藥的所有一切並不是一件簡單的事情。但只要一步一步從自己感興趣的釉藥開始調合，相信一定能找出個中樂趣，並且感受到釉藥的深奧吧。
                    
"
9789578630321,"


西陣織、京友禪、京燒……
你我所熟知的千年古都風貌，其實都是由京都傳統工藝構築而成的！
採訪超過25種傳統工藝，傾聽器物背後笑淚交織的職人故事


 西陣織、京友禪、京燒、京漆器……從食衣住行到建築，這些傳統工藝是構築京都風貌不可或缺的元素。這些支撐著京都1200年歷史的傳統工藝職人，擁有說不完的產業故事。

 能夠將技藝相傳至今的京都職人，背後擁有驚人的技術和傳統，尤其京都的傳統產業極度分工、各有所長，甚至專精到只供給業界內的需求，他們不掛上招牌，隱身於巷弄中。

 本書作者花上長時間採訪，靠著職人間的引薦，深入不為人知的職人世界，直擊工房風景，進行深度訪談，將所見所聞完整記錄下來。

 這些身懷絕技的京都職人，不只藏身於京都巷弄之中，更是每個精緻作品背後的無名英雄。你會驚嘆於他們過人的技藝、為他們拚上性命的決心而感動、因他們迷信般的傳說發笑。這般溫度，正是傳統工藝品之所以如此觸動人心的原因。

要採訪職人？先聽他們吐苦水吧──
 ◎除了要擔心後繼無人，還得擔心沒有材料可以替代！？
 當繪筆材料變成保育類動物，職人要如何守住傳統，同時找到替代材料呢？

 ◎機織職人竟然有和公車司機一樣的職業病！？
 職人在上下錯開經線，將緯線一條條織入的作業中，織布機一旦開始作業，最費神的就是維持均等的節奏，為了編織出花樣繁複的西陣織，職人常常憋出膀胱炎。

 ◎天氣永遠是漆器塗師的敵人，甚至沒有得花粉症的權利！？
 一只漆器的背後，需要重複上漆、研磨等好幾道工序。塗師得隨氣候變化判斷乾燥時間，過程中容不下一粒灰塵，更別說打個噴嚏會多崩潰了。

本書特色

 ★搭配豐富插圖，工房的製作風景彷彿就在眼前！
 ★不論是看了忍不住大買特買，或是因此有了職人夢，本書附有購物導覽和職人就業指南，滿足所有人的需求！

"
9789866399671,"


 想動手裝飾一成不變的家中環境嗎？
 書中用想像不到的材料，製作成想像不到的設計裝飾小物，
 看似冷酷的水泥卻變身散發燭光的燭台，
 栽種綠色植物的花盆和花瓶也將與眾不同，
 潔白乾淨的石膏加入香精後，製作成不同形狀的天然石膏芳香劑。
 柔軟的紙黏土很適合用來製作小鳥風鈴，
 溫暖的布料也能成為裝飾的燈罩，
 掉落地面的樹葉們則是成為散發自然氣息的花環，
 廢物利用將有小缺陷的杯子或碟子，成為新潮的手把燭台。
 將水泥、石膏、黏土、布料、天然材料及廢物利用這六種材料，
 共三十四種的裝飾設計小品介紹給各位，
 透過可愛的角色和生動的圖片來一起動手製作，
 或許可獲得意想不到的裝飾點子。

"
9789868454217,"


	本書分成三個部份分別介紹各種金屬成形、質感圖紋創造及色澤變化的技術，這些技術充分發揮金屬的各種特性，展現金工創作更多的樣貌。第二冊共分十章節，第一~五章與金屬成形的技術有關，使平面金屬立體化的方式，著重於利用金屬延展、壓縮的特性來使金屬變形，亦介紹運用模具的設計使金屬成形的技術；第六~八章為金屬表面質感或圖案創造的技法，以化學反應、合金原理及各種方式豐富金屬表面的技術，其中亦包含日本傳統的木目金技術；第九~十章討論改變金屬色澤的技巧，介紹藝術物件及金工首飾兩者使用的色澤處理方式，包括化學染色及電氣化學。進階創作奠基在基礎金工的學習，在扎實的根基開始打造風格獨具的創作。

"
9789869980821,"


桑德式的奇幻手繪，勾勒著昔日超現實的未來魅景
	黑白稿的細膩輪廓，建構著百年文房具的時空幻境


	✽✽✽

本書收錄五項主題
	百選絕版文具圖鑑     百年文具時空圖表
	古文具觀察日記
	機械文具解剖     謄寫油印專門圖說

	✽✽✽

	雨露在杉木隔板間緩緩書寫，春風在屋瓦細縫中品閱百年，推開了木門，像是夢境般，既不真實，卻又真實的存在。大人小學店主──桑德，將與您一同在紙墨間穿越時空，透過桑德式的奇幻手繪，感受一場超現實的文房行旅。

	橫跨百年的絕版文具，每一件都是當時的未來新品，充滿著時代下的理想設計與革命性的前衛思想。創造者突破框架，跨越枷鎖，開啟嶄新的文房視野。

	桑德透過細膩的黑白輪廓，重新勾勒百年文具的時空幻境，札司丁用觀察者的視角，紀錄每一段迷人的時代，Xtin調整焦距，再次看見習以為常，但卻是傳說後的經典。

	這裡是大人小學 古文具，歡迎穿越昔日未來。

	✽✽✽

謄寫油印器
	漫步人類的歷史往回走，「複印」這件事情並不一直都是如此「快速」。相對於影印機的出現到普及，在更長的時間中，文件複製一直是屬於人與工具之間緩慢的互動，緩慢地在時間中勾勒出整個當代的輪廓。

	距今將近一百年前，美洲聯合印刷協會的標語：「印刷為進步之母。(Printing, the mother of progress.)」即已充分表達出印刷的重要。透過文字的保留與傳播，人類的思想得以更快的速度大規模傳遞，導致政治、宗教、經濟和社會變革。

	孔版印刷術早在凸版之前為中國所發明。孔版原稱絹印，亦稱網版。經過很長時間的停滯期，才出現美國發明家愛迪生發明打字式騰寫版印刷術，後於1894年經日人堀井新治郎改良成將蠟紙放在金屬板上用鐵筆在上繕寫的騰寫版。

	✽✽✽

玻璃筆
	玻璃筆的製作十分費工，是傾注了職人全部心血的結晶。首先，須先將強化玻璃管加熱到攝氏一千度以上，再小心的在高溫的玻璃管上加上花紋。經過高溫燒製後的玻璃管會逐漸溶解並成為延展性極佳的玻璃球，接著再進入接合筆身中心與後半部的工序，將玻璃球一邊繼續溶解一邊慢慢伸展成棒狀。而製作玻璃筆過程中最困難也最重要的部分，就是筆尖與筆身接合的工程。在高溫下完成接合後，為了確保玻璃筆不會裂開，在攝氏六十五度左右的冷卻機需冷卻大約兩小時。冷卻結束後，玻璃筆的製作也大功告成，之後的修飾則是利用砂紙從各個角度仔細研磨，再反覆蘸上墨水試寫，靠著職人本身的經驗與手感將單支作品調整到最完美的狀態。優質玻璃筆除了耐寫度和流暢度不在話下之外，精緻的外型也帶給視覺一種享受。

"
9789864779512,"


如果許久不曾抬頭看天空那片藍，
	請別再錯過腳下土地孕育出的，那凝簡素雅的一抹藍。

「卓也」──向土地扎根，向生命取藍，向生活致敬。
	承繼傳統‧友善環境‧創新染藝，這一種「藍」得來不易！

	用心復育消失一甲子的藍草。
	「那是什麼？為什麼那家人不跟大家一樣種水稻、黃麻、甘蔗？」
	大人總是隨意地回說：「那是梔子，聽說種來外銷做染料的。」
	不久，那片梔子園被砍光改建了房子，徒留餘香在那鄉野田間和記憶深處。
	及長，進入農專就讀，主修的專業科目就是農藝學，農藝作物分類中就有染料作物，如：山藍、蓼藍、梔子……除了簡單的名詞解釋，老師並沒有多做說明，因為這些植物都是早就不存在的經濟作物……

	將大自然的顏色染進一塊布。
	幫我們做產地溯源的陳孟凱博士在聽我講解藍染過程後，一再地重複詢問一件事：「三十遍？你們真的染三、四十遍以上？」
	在染工坊裡，每一塊出產的布，為了強化色澤的飽和度及堅牢度，這樣的次數在我們來說是理所當然、自然不過的事，但旁人聽來卻是如此震驚與不可思議。

	熱誠的職人魂，質樸有力的藍手掌。
	指甲染上藍時，非得要等到新指甲長出來才能將色素代替掉；麻煩的是，外出用餐時雙手一攤開，旁人看了會露出異樣的眼光，因此女性同仁還是會戴上手套。至於老師傅們為了手感更好，大概就是直接下手了。

	怎能讓那一抹暗香似有若無地殘存於鼻間，
	讓那一抹藍飄飄忽忽地殘留在腦海深處？
	我的植物染色記憶被喚醒後，從上溪頭採藍草、打藍、製靛到建藍染缸、藍染技法到藍染及後續的商品開發，在馬芬妹老師無私的教導傳承下，讓我義無反顧地走向這條不歸路。
	——卓也藍染創辦人 鄭美淑

"
