ISBN,書籍簡介
9789865161057,"


	中國古璽的源頭可以上溯到新石器時期的印紋陶，後經商周時的甲骨文、銘文、石鼓文等雕刻影響，至戰國時形成整體形象。

	在發展過程中，重要的動力來自文字體系的演變和完善，同時體現了不同時期和不同地域的審美風尚。隨著璽印的使用相對普及，其文字表現形式也趨於多樣化。

	中國印章與碑石篆刻，從秦至唐的約一千年間，發生了巨大的變化，積累了豐厚的語言文字，為印章與碑刻提供了廣闊的空間，成為中國古代篆刻藝術中的寶貴財富。

	直至明清時期，篆刻好手如林、派別繁多，印章篆刻藝術和碑石篆刻藝術百花齊放，造成了篆刻藝術的繁榮。

	篆刻，在中國歷史上始終有著無法忽視的地位，從各種名家書法，到天子帝璽，在歷史的洪流中始終少不了篆刻的身影。本書按照篆刻的起源、完善、分流、百花齊放四個時代，為讀者講述中國金石篆刻的歷史。

"
9789863812128,"


一筆、一刀、一劃，
	復刻出中文字的柔美線條。
	是承載心意的禮物，也是代表個人的獨特印記。
	跟著臨摹帖與圖解步驟反覆演練，
	輕鬆刻出匠心獨具與值得珍藏的篆刻石頭章！


	篆刻藝術源起至今經歷了二～三千年的歷史，方寸裡承載了時代縮影，
	中國文字的演變軌跡以及篆刻章作為信物的情感象徵，是一份古樸且動人的文化傳承。

	刻章人的心意透過一筆一刀注入，在一個時點，一份情感，就成了永恆。
	　
本書特色

	▲詳細圖解教學步驟
	豐富且詳細的圖解教學步驟，如同作者親自教導，開啟您的篆刻之旅！

▲私藏或贈與都是源自內心的禮物
	印章不只可以刻姓名，更可以刻上喜愛的名言佳句，
	無論是私藏或贈與，都是兼具美感與誠意的藝術品。

▲石頭篆刻章精粹恆潤的質感
	印石精粹樸實的質地，搭配線條對稱、剛柔並濟的篆字，
	正是篆印得以流傳數千年的獨到之處。

▲豐富好上手的實作練習
	自磨石、執筆、刀法至基礎的刻印練習，一步步帶您精進，
	加上實作大量練習，輕鬆刻出自己的石頭章！

"
9789577107213,"


融合金石書法之美與篆字結體之美，

可按照部首、筆畫查詢，

兼備藝術與實用性，賞析篆字精髓。

	 
	篆字，是中國最古老的文字，亦是具有現代價值的文字，此古老與現代品格兼備的文字，在世界獨樹一幟。篆字，作為紀錄語言的符號早已演變為現代形式的文字，在學術藝術領域中經久不衰數千載，展現著光彩。篆字之美，使其不僅僅是一般意義上的文字，而成為一種獨特的藝術形式文字，為古今人們所共賞。篆書篆刻家、工藝美術家們，將自己的創作寓於這種象形文字的形體中，金石書法之美與篆字結體之美相融，古老的字形與現代設計結合，造就成為具有無限魅力和生命力的藝術。篆字是歷史文化寶庫裡一顆絢麗的明珠。

	 

	本書為作者傾注畢生心力於篆字上的精華之作，是一本藝術性和工具性兼備的篆字字書。作者按其結構特徵，強調裝飾感，表現篆字特有的韻味，使字的個體和群體均具有美感和可賞性。全書收錄篆字特別以部首、筆畫分類，方便讀者輕鬆查詢對照與賞析，值得收藏。

"
9789863811183,"


或許已經會刻橡皮圖章的你

也可以嘗試另一種不同的風格，而且步驟跟橡皮圖章一樣簡單！
	石頭章的特有質感與古樸典雅

一刻就會愛上!只要會寫中文字 

就能用耐心一刀一劃，把中文字的優美柔暢線條復刻出來

是承載心意的禮物，也是代表個人的獨特印記。
	跟著書中步驟反覆演練，一筆一刀，
	你也可以輕鬆刻出匠心獨具的石頭章！


	打破大家對石頭章的刻板印象，大多數人認為刻石頭既困難又生硬，但其實了解方法後，很容易就可以駕輕就熟。

	刻章適合所有的人，字寫得美的人可以刻出立體且生動的文字；自覺字寫不好的人也不用擔心，因為你可以從書中找字描摹，運用刀法代替筆法來表現文字的個性。

	 

篆刻藝術源起至今經歷了二～三千年的歷史，方寸裡濃縮了時代縮影，中國文字的演變軌跡以及篆刻章作為信物的情感象徵，是一份古樸且動人的文化傳承。
	刻章人的心意透過一筆一刀注入，

在一個時點，一份情感，就成了永恆。
	 

▲詳細圖解教學步驟
	書中印有豐富且詳細的圖解教學步驟，搭配給初學者們的叮嚀建議，如同作者親自教導一般，開啟讀者們的篆刻之旅！

	 

▲送人或自刻 都是源自內心的禮物
	印章不只可以刻姓名，更可以刻上喜愛的名言佳句，無論是自行收藏或者贈與親朋好友們，都是兼具美感與誠意的藝術品。

	 

	▲篆刻章低調奢華的質感

	印石精粹且樸實的質地，搭配線條對稱、剛柔並濟的篆字，這種低調奢華的質感，正是篆印得以流傳數千年的獨到之處。

	 

▲豐富好上手的實作練習
	自磨石、執筆、刀法至基礎的刻印練習，一步步帶你進階精進，參考作者的示範步驟，加上實作篇大量的練習，你也可以輕鬆刻出自己的石頭章！

	 

	書中從篆刻及中文字體的關聯背景文化開始介紹起，搭配實作應用，讓你從各方向認識、熟悉篆刻，越刻越上手! 

	不論是正式的姓名章，當作祝福亦或自我砥礪的名言字句，甚至活潑的圖象章等等，皆可刻出不同的韻味與樂趣，跳脫你對篆刻章的框架，小方框也可以靈活變化玩出新的花樣!

"
9789865620318,"


每次傳拓，都展現了人、紙、墨、環境之間微妙的互動，
每一次的拓製過程都是「創作」……


	本書以吳大澂為對象，研究同光時期金石學家和拓工的互動關係。第一節討論訪碑傳統和黃易對吳大澂的影響；其他諸節分別討論吳大澂家庭和交往圈中的傳拓風氣、吳大澂的拓工、拓工的生存狀態、吳大澂的三位擅長傳拓的幕友。餘論部分則對拓本的品評語言和審美價值之間的關係提出一些初步的思考，抛磚引玉，以期引起同道們對這個問題更深入的探討。

"
9789866841613,"


彼節者有間，而刀刃者無厚，以無厚入有間，恢恢乎其於遊刃必有餘地矣。——《莊子．養生主》

	 

	即使堅硬如石，篆刻家亦能以心神意念，從容不迫地在方寸之間雕刻出圓潤流動、舒密細膩的一片天地：那是山川流水的靜謐，是母親哺育幼子的安好，也是君子剛正的氣魄。作者任安專研銅器、古文，並從事書法篆刻創作，日日與銅器、銘文、璽印、篆刻、漢字、書法為伍，久而久之，已然成為生活的一部分，暇時讀書有得，便欣然奏刀。本書為任安的治印集粹，集吉祥語、《詩經》、唐詩與古文，共分四個主題：

	 

	【以受多福】說吉語印

	集祈福吉語、勵志箴言，流露中國人深切又普遍的價值觀與生命觀。

	 

	【穆如清風】詩經頌歌

	《詩經》擷英，歌頌有德長者與新婚夫婦。

	 

	【閒情逸致】詩文佳句

	集古文唐詩，幾許「閒情」偶發「逸致」，都在在流瀉著印人與古人的對話。

	 

	【惟吾德馨】陋室銘、愛蓮說

	集（唐）劉禹錫與（宋）周敦頤的代表作，以道德彰顯陋室的「不陋」和蓮花的「出淤泥而不染」。

	 

【本書特色】

	 

	＊本書為古文字專家、書法篆刻家、故宮博物院研究員任安的篆刻作品集。

	＊詩文佳句入印，是以另一種視角啟發讀者對詩文的想像。

	＊書中各印均加附印說，陳述選字與布局之創作歷程，讀者可感受篆刻家的匠心獨韻，領略漢字工藝之美。

	＊篆刻小辭典，提供篆刻基本知識與概念。

	＊禮物套書包含《以受多福》禮盒，內含「以受多福」印章（附印泥）、「諸事皆宜」紅包袋（三款共六個）、「游刃有餘」紙膠帶、「福逸滿蓋」印譜，組合成精美禮物套書，送贈親友就是一份最好的祝福。

"
9789576723810,"

在南投埔里福長路法如精舍修行的拾得法師，藝專期間學篆刻，母親去世，為報母恩，三十歲以前刻第一套「心經」，2005年到2010年又刻第二套。她學習深入般若空慧，以全生命綿綿密密貼緊一刀一石，心一境性於方寸間，止息尋伺，超越時空，令五蘊身心放鬆放下。有感此一「心經」為創作篆刻，一百多顆印面，每顆篆刻邊款尤為講求，感動之餘，本公司決定刊印發行此美好著作。拾得法師並親撰寫短文，訴說刻文解經，每篇雖短，但意義深遠，定然可以讓讀友、教友有更深的體悟。
                    
"
9789570525601,"

上古創字依類象形，所以形聲相益，會意記事；商周之後文章典宣，會通應變致用之外更求文飾。所謂鳥蟲書，即古代之花體篆字也。其文具鳥魚螭蟲之狀，盤屈宛轉，游走飛舞，飾象華美，實為漢字中之奇葩，最富於裝飾藝術者，惜流傳較少，如鳳毛麟角不可多得。　　本書所輯以彝器古兵款識及秦漢印文為主，摹集之字依拓本照片或影印本為據，並參許慎《說文解字》字例，耗時六年計蒐得654字、重文1153成書十五卷。本書特色　　所謂鳥蟲書，即古代之花體篆字。其文具鳥魚螭蟲之狀，盤屈宛轉，游走飛舞，飾象華美，實為漢字中之奇葩，本書所輯以彝器古兵款識及秦漢印文為主。
                    
"
9789575380427,"

篆刻小字典
　凡是想要從基礎學習篆書或篆刻的人，都要由「說文解字」開始著手，但是，為了初學者再查字時能有一部簡單易懂的字典，乃編輯了此書。

　本書為了使用那些初次研學篆書或篆刻的人，也容易學習小篆起見，特將小篆逐一列出，並加附著名篆刻家原尺寸的影印本；至於小篆則將所有的文字予以抄寫，即使少見的文字，也都根據篆刻家的理論大膽的創作成字。

　本書小篆的排列順序，原則上以部首和筆劃排列而成，有關讀法則以一般所使用的語音作成索引附於卷末。小篆有數種字型者，則採用現在最常用的字體。所列文字均為舊字體，並在旁添附小的新字體。
                    
"
9789867034212,"

李螢儒作畫的題材內涵主要以山水為主，筆墨描繪來自於中國書畫傳統的陶冶，但是卻與古人及師承有很大的區隔。其山水造境多是來自於現實生活之所見，且為臺灣各處之景觀；由山區、平原到海岸，亦由鄉村、近郊至公園。他屏除了傳統山水中有關詩意與文學意涵的元素，而強化了視覺意象的筆墨表徵，同時著重於臺灣地理氣候，以及景觀物狀形象的真實描寫。觀其畫作，頗有新穎之感，他從現實取景，布局鮮少留白，高彩度用色等作為都屢見創新；描寫不同地形地貌、不同氣候光照，其皴法、敷色亦變化多端。李螢儒畫作之所以顯出自我風格，在於他能掌握各種元素，透過個人的內化，而得到融合統一。他可以運用傳統技法畫出時代氛圍，用細膩筆觸畫出壯闊格局，用鮮明色彩畫出淡雅氣韻。這些特質不僅形成他的畫風，也相同呈現於書法和篆刻作品裡。

"
9789867487797,"

本書回溯篆刻藝術在台灣的萌芽階段，在首章中概述台灣篆刻史由拓荒、發展至蓬勃的歷程，接著以個別篇幅整理介紹當時在台開拓篆刻疆土的高拜石、陶壽伯、張直厂、王壯為、王王孫、曾紹杰、林天衣、任敬之、陳丹誠等9位渡海篆刻家的藝術生涯、印藝風貌與成就，以及其對當代台灣篆刻發展的影響，以回顧的書寫為今日面臨式微危機的台灣篆刻提供史料紀錄，作為凝聚在此藝術領域耕耘的篆刻家的依據。
                    
"
9789867487803,"

本書替明清至今的台灣篆刻團體概況進行整理，包括日治時期的水竹印社、拾逸印社，國民政府時期的台灣印學會、海嶠印集、中華民國篆刻學會，以及繼起的台灣印社、玄心印社，它們在光復後渡海來台的篆刻家的堅持下相繼成立，不僅使渡海後的印人有得以共聚交流的場所，篆刻藝術的傳承也綿延了下來。除了描述這些篆刻團體的沿革與演變，同時追索篆刻藝術在台灣茁壯的歷程外，本書也為俞兆年、王北岳、李大木、張心白、梁乃予、陳昭貳、薛平南、趙明川、陳澤群、黃嘗銘等10位篆刻家在其中所扮演的關鍵角色與地位提供了介紹。
                    
"
9789570359961,"

利用多媒體素材，結合摺紙、紙藝及串珠的運用讓印章創作跳脫平面的思考，藝術木頭章真的很好玩靜心學習、發揮想像力你也可以是彩印生活藝術大師
                    
"
9789579957984,"

民間雕刻
　與純粹的藝術雕刻相比，民間雕刻可能缺乏其精緻，但是相反的來說，民間雕刻的儂重的傳統鄉土氣息，卻也非是純粹的雕刻藝術可以比擬的。

　湖南有著優秀的雕刻傳統藝術傳統和豐厚的木、竹、石材資源，為民間木、竹、石雕打下了堅實的基礎。湖南的木雕大致分為堅實的精神和物質基礎。湖南的木雕大致分為建築木雕、家具木雕、祭祀木雕三大類。

　本卷選入湖南省內民間木、竹、石雕作品２３０餘件，並撰文探討了湖南民間雕刻的歷史沿革，在民間的應用及其藝術風格，以供讀者參考、研究和鑑賞。
                    
"
9789570507959,"

傳統篆刻藝術
    今天，中國正處在向現代化邁進的新時期。了解過去的優秀文化，正是為了創造未來的新文化。這對提高民族自信心、增強民族的凝聚力，有著極為重要的意義。

    青少年是國家的未來、民族的希望，對他們施行傳統文化的教育，既是當務之急，又是長遠大計。要讓中學生及具有中等文化程度的讀者掌握中國文化史的基本知識，了解中國文化的輝煌歷史與它的優良傳統，為建設中華民族的新文化厚植基礎。這是一件意義重大的事業，也是我們編輯這套叢書的初衷。

    我們設定了考古、史地、思想、文化、教育、科技、軍事、經濟、文藝、體育......等多方面的專題，希望這一套叢書從多角度、多層次，系統地反映中國文化的主流與特點。

    《中國的印章與篆刻》一書以深入淺出的方式，對印章藝術的形成、演變，篆刻學重要流派及代表作家，篆刻藝術欣賞等方面，作簡約的評介，供讀者了解我國這一傳統藝術。
作者簡介
    王志敏，中央美術學院美術史美術理論系畢業，編著有《北京寺廟攬勝》、《古玉之美》、《百科辭海》（美術卷）。

    閃淑華，現任北京藝術博物館研究設計部主任，曾發表《清代皇室及其後裔書畫》、《明清彩瓷及其仿製》。
                    
"
9789576723674,"


 許多人以為篆刻是一門很深奧的學問，極難踏入門徑。實際上篆刻可以看成書法的體裁之一，只有「筆紙」與「刀石」的不同而已，所以擅長書法的人，只需稍為習練，進步就很快，並不特別困難。只是對於開始拿印刀的人，說是篆刻與書法相同，實在也並不怎麼合理，筆與刀不同自屬當然，篆刻自然也要求與書法相異的技法。以下就技法的大概，儘量簡單地加以說明。當然最簡易的方法是您把用具準備好，並置於桌上，實際執刀時來讀這段說明，但我們並不絕對要求你要這樣做，我們並不主張一定的法則。總之，各人以自己所喜好的方法即可。 

"
9789576720567,0
9789576720109,"

保值田黃與印石
　早在兩百年前，壽山石以為我家篆刻家和雕石家所器重，是雕刻藝術不可或缺的石材，壽山石中，尤以田黃為珍罕。上品田黃，凝靈堅結，溫潤細膩，好比黃金般鮮豔輝煌，若結合雕石大師登峰造極的工藝，更是相得益彰，價值非同凡響，更是收藏家與同好者夢寐以求的搜購對象。

　除田黃外，本書還介紹其他印石，如其他壽山石、雞血石及凍石等，針對保值、鑑別、選購、保養四方面做詳細說明，並集合二百幅珍貴彩圖供作欣賞及闡釋講解，洋洋大觀，提供美不勝收的視覺享受。

　本書共分七章，首五章詳盡深入地闡釋各種印石的特點，尤其是壽山石中的田黃、水坑石、山坑石，還有雞血和其他一般常見的印石等，第六章則與讀者分享印石的心得，第七章習詳解各個保養要點。
關於作者
　李英豪

　廣東中山人，一九四一年出生，自幼喜愛藝術和四處逍遙遊。曾任香港現代文學美術協會會長、際畫沙龍主席、世界收藏家協會洲區顧問、國際蘭圃顧問、世界園藝中心顧問，為著名的香港四怪之一。六十年代後期，已以藝術評論知名。七年年代未期至八十代代初期，曾替某英聯邦郵拍賣行鑑別郵票。

　短短數年，博益數藏保值系列己先後出版了《古董表》、《民間玉》、《保值翠玉》、《紫砂荼壺》、《保值田與印石》、《護身玉》、《荼藝》、《鑑別翡翠》、《保值字畫》、《古董手飾》。

　《保值老爺表》、《觀音珍藏》、《保值鼻咽壺》、《水晶珍藏》、《保值珍郵》、《鑑別古玉》、《古鑽石珍藏》、《錢幣珍藏》、《勞力士珍藏》、《佛像珍藏》、《中國珍郵．第一集》、《翠玉珍藏》、《鑑別錢幣》等二十多種作品，內容涵蓋中外古今，實用角度出發，介紹各種鑑別與收藏要訣，指導讀者挑選保值珍品，彩圖豐富，資料珍，與你神遊於藝術的無窮天地。
                    
"
9789579045735,0
9789570516746,"


	論印之書，以印譜為多，其能原原本本，細述印章之源流者，世不多見。此書於記述印章源流之外，並將印形、印文、使用、鑑藏、材質、劇鑄、印鈕、邊款、印人、印泥等。分門別類，一一詳述，有條不紊，巨細無遺，實屬印章學上之完作。出版以來，頗受歡迎，發售未久，即告售罄，購者遂多向隅。茲特再版付印，用享讀者。

"
