ISBN,書籍簡介
9789864086849,"


工，是一種淬鍊的過程，
一，則是對於設計的初心。

	2014年，7月14日，
	三位來自台灣的80後設計人，
	組成了「工一設計│one work design」
	譜寫了80後設計師不同於前輩的發展道路：
	──與其單打獨鬥，不如集合力量，
	在創業的過程中彼此扶持，共同拚搏，
	同時互相交流，彼此競爭，追求進步。

	在短短6年多時間裡拿遍國內外設計大獎，
	作品遍及兩案，案型多元不拘，
	成為80後華人設計的偶像。

	本書記錄了工一設計從成立之初以來的歷程，無私分享創業經營管理的摸索，設計的痛快與各種現實的拉扯，現階段對人生的體會。他們一起享受淬鍊的過程，堅持設計的初心，在意見不合的時候，三個人能夠免去一對一的僵持不下，第三人可從另一角度觀看，既彼此獨立，又是一體，如同設計，並不是誰的答案一定是對的，而能一起思考，一起前進，做很帥的設計，也在設計中找到自我實踐、影響他人的價值。

"
9789573274582,"


 英文版銷售25萬冊，授權全球15種語言版本

 拒絕令人崩潰的不良設計

  

 如果你是設計師，請為產品的易用性而奮鬥。如果你是使用者，請支持安全、實用又賞心悅目的好設計。

  

 如果在旅館裡弄不清楚怎麼開水龍頭，或者面對不熟悉的瓦斯爐或電燈開關時，即使再聰明的人也會手足無措。認知科學家唐納‧諾曼大膽地指出，錯不在我們，問題出在忽略了基本心理學的不良設計。雖然拙劣的設計俯拾即是，但是要設計出容易理解、方便使用、令人愉悅的產品並不困難。《設計的心理學》說明良好的設計是可能的，只要遵循根據人類行為歸納出的設計原則，引導使用者在正確的時機，採取正確的行動，得到令人滿意的使用經驗。

  

 《設計的心理學》解釋這些基於心理學的設計原則，如何在日新月異的科技進化中歷久彌新。在這本充滿娛樂性及洞察力的著作裡，諾曼強調優秀的設計是最重要的產品競爭優勢，也是影響消費者行為的關鍵。經過時間的考驗《設計的心理學》將持續帶領設計者深入日益多元化的設計領域，協助使用者了解設計在我們生活中的重要性，以期共同攜手克服產品開發在商業社會需要面對的挑戰。

"
9789865562076,"


每個好遊戲，一定都是好概念配上好體驗
	全美頂尖遊戲設計師教你設定主題、打造體驗、善用興趣曲線，
	深度了解遊戲運作機制，獲得最完整的遊戲體驗、開發遊戲性絕佳的作品


	從紙牌、棋子、桌遊、電玩，到近年來火紅的實境遊戲，遊戲一直是人們生活的一部分。我們休閒時玩，學習時玩，甚至連工作場所都在談遊戲化，但「遊戲」的本質到底是什麼？人類為何要演化出沉迷於遊戲的天性？更重要的是，為什麼有的遊戲讓我們玩得無法自拔，有的卻讓人興致缺缺？

	高明的遊戲設計師都知道，遊戲的目的在於創造體驗，玩家所有感官接收到的外在訊息與心中產生的內在情感和記憶，綜合起來形成的整體體驗，就是遊戲的魔力所在。在程式、立繪、3D建模出爐之前，遊戲設計師是否確立了能讓人共感的主題、是否站在玩家的角度考慮過所有感官刺激與心理機制、是否設定足夠疊代程序與試玩雛型，就已決定了一款遊戲能不能讓玩家頻頻說出「再一場就去睡」，卻總是無法停下手來。

	身為玩家，了解開發者使用的機制，就能提升自己與遊戲的同步率，感受最完整的樂趣。身為遊戲開發者，掌握所有能構築體驗的多種元素，才能做出讓人愛不釋手的遊戲。但是翻遍市面上各種攻略和工具書，我們獨缺一本切中遊戲設計原理的指引。《遊戲設計的藝術》自從出版以來，迅速席捲歐美澳各大數位多媒體與遊戲設計學界與產業界，正是因為補上了這個長年缺口。

	作者傑西．謝爾是美國電腦科技第一學府卡內基美隆大學的遊戲設計教授，善用心理學、人類學和設計理念分析體驗在遊戲中的關鍵作用。同時，他設計電腦遊戲與為迪士尼樂園打造「加勒比海盜」 （神鬼奇航）等多種實境遊戲的豐富經驗，讓他得以清楚而全方位地擘劃出遊戲設計的6大領域、35項主題、113個檢驗鏡頭，從設定主題、尋找創意、管理開發風險、架構世界觀、說好故事、設定角色、營造玩的動機、平衡機制、連結社群等多元面向，徹底囊括遊戲從無到有的所有思維、創作方法與頂峰哲學。跟著他的挖掘，我們會發現：

	◆　設計師開發遊戲的目的是創造體驗，最好是前所未有的體驗；玩家玩遊戲的目的是享受「為解決問題而解決問題」的快感、提升精神韌性
	◆　遊戲設計師最應當善用的三種領域：心理學、人類學、設計思考
	◆　遊戲設計的35個基礎思考，可以統合為「設計師─製作過程─遊戲─介面─玩家─體驗」的巨型架構，再延伸出113個檢測鏡頭

	從此，遊戲開發者得以掌握所有能構築體驗的元素，發掘出玩的動機與需求、引導玩家在特定時空發揮心智能力，以及維持遊戲的平衡與創發性。玩家也終於得到了探看遊戲內部的機會，了解自己的感受是如何被解析及操控、注意力是如何被喚起，角色選擇又洩露了哪些內心的投射。

	遊戲設計對人類心智挑戰、社交及競合需求思索之深，遊戲開發牽涉領域之廣、風險之高，都讓這份專業成為絕佳的研究對象，其中的工作哲學、風險管理的方法及原則，甚至適用於各行各業。對於工作中必須不斷思考「使用者體驗」的企畫人、策展人、腳本設計者來說，本書也是獨一無二的知識庫。

"
9789865482091,"


《圖解設計思考》作者艾琳．路佩登Ellen Lupton最新暢銷作品

	你可將這本書視為創作行動的腳本。

	在書中所介紹的工具和概念都能應用於當今的設計實務上，現在的設計不僅隨時在改變，也更以使用者為中心。

	你將在書中學到如何使用圖片、表格、寫作和其他方法，來進行創新與分析。

	這本書涵蓋了許多設計師可以用來衡量專案的工具包括：寫作技巧與說故事清單，幫助設計師檢視相關問題，像是：你的作品中有沒有故事情節？有沒有向使用者提出行動呼籲？你有沒有機會與潛在使用者建立共鳴？是否能讓觀眾積極互動、創意觀看？有沒有運用設計元素來邀請使用者參與故事？

	 

	第一次聽到「設計就是要解決問題」這句話，是我還在紐約柯柏聯盟學院（The Cooper Union）念藝術的時候。當時是一九八〇年代早期，Photoshop、數位字型或網路根本還沒有出現。老師告訴我們，若想要解決與視覺有關的問題，設計師就要以理性的手法來應用各種簡單的形式。紐約地鐵的標誌系統就是一件能解決問題的傑出作品，用現在的眼光來看依然十分出色。設計大師馬西莫．維涅里（Massimo Vignelli）與鮑伯．諾達（Bob Noorda）運用無襯線字體和明色系的圓點，設計出一整套標誌，把越來越凌亂的地鐵路線整合起來。整套視覺系統經過許多年研究，終於在一九七〇年正式上路，一目了然又便於維護，不僅解決了當年的問題，還沿用四十年至今。
	 

	當年還是學生的我，常覺得光是解決問題，無法充分體現設計實務的豐富性。美、感覺與感官呢？還有幽默、衝突和詮釋呢？後來我以設計和寫作為業，一路上都仍在思考這些問題。我對設計和語言間的關係深感著迷，於是便寫了文字設計與語言學的理論。在馬里蘭藝術學院教書之後，我也和學生們一起探索各種不同的應用方法，包含體驗設計、多感官設計、設計思維和感知心理學。
	 

	這本書將探索說故事和設計之間的關聯。故事往往描繪事件並激發好奇心，它的篇幅可能比一首打油詩還要短，也可能會如史詩一般長。而設計則是運用形狀、色彩、材料、語言和系統思考來改變事物的意義，舉凡交通標誌、網路應用程式，到洗髮乳的瓶罐或緊急避難所，都會因設計有所不同。設計能體現價值、傳達理念，能為人們帶來快樂、驚喜，進而促使我們採取行動。無論是設計出互動式的產品或內容豐富的出版品，設計師所做的，都是邀請人們進入一個場景，探索其中所包含的意義，並去觸碰、思索、漫遊和行動。本書將以說故事的觀點，來探索視覺傳達的心理學。人們總會不斷找尋方法或創造出自己的一套模式來認識這個世界，當原本的模式受到挑戰，我們往往會感到新奇、刺激，有時也會覺得挫折。而將說故事融入設計，能讓消費者對產品和內容產生想像，進而引發行動和行為。
	 

	 

	本書共分為三個部份。第一部份是「行動」，探索了常見的敘事方法，包含敘事弧線和英雄旅程。設計師在思考使用者與產品及服務的關係時，便可以將這些方法應用在其中，比如當使用者開啟某個小裝置、辦理銀行帳戶，或者到訪圖書館等等，這些過程其實都有各自的敘事弧線，有不同的跌宕起伏，更包含了迥異的期待和懸念。設計就是一門未雨綢繆、預測未來的藝術。若要規劃場景和設計故事，就必須學習使用相應的工具和技術，才有能力去設想未知的情況、反思當下的狀態，進而規劃出可能的解決方案。
	 

第二部份「情緒」則著眼於設計如何影響我們的感覺、情緒和共鳴。「共創」（co-creation）便是其中一種方式，能與使用者建立共鳴，進而設計出改善生活的解決方案。而想要做出引發共鳴的作品，設計師必須認知到，每位使用者的情緒歷程都包括了高低起伏，各個階段中，會有不同的煩惱、憤怒和滿足，畢竟沒有人會成天歡欣鼓舞。
	 

第三部份「感官」聚焦於感知與認知。故事的發展取決於事件，人們的感知也是如此。舉凡凝視（gaze）、完形法則（Gestalt principles）和直觀功能（affordance）等原則，都將感知視為一種創造秩序和意義的動態過程。人的感知是十分活躍的，並且隨時都在改變，每當人們看見、觸摸和使用我們設計的作品，就會產生感知，比如說，光是運用顏色和形狀，就能觸發多種感官的實際經驗。設計當然可以先將人們引導至某種特定方向，但最終，使用者還是會擁有各自的體會。這本書涵蓋了許多設計師可以用來衡量專案的工具，例如，寫作技巧有助於設計師傳達出清晰生動的故事，好讓客戶和同事都能理解，而說故事清單則能在專案執行期間，幫助設計師檢視相關問題，你的作品中有沒有故事情節？有沒有向使用者提出行動呼籲？你有沒有機會與潛在使用者建立共鳴？是否能讓觀眾積極互動、創意觀看？有沒有運用設計元素來邀請使用者參與故事？

	 

	這是一本關於設計過程的書，同時也探索了該如何談論設計。設計師能運用故事來觸發情緒或消除疑慮，也能闡述事實或影響觀點。使用一個應用程式的過程就好像歷經一趟旅行，都需要花上好一段時間，過程中會接收到不同的聲音、景象和觸覺回饋。而且就像旅途中會碰到路障，使用新程式的過程中也會遇上一些阻礙，像是電池沒電了、信用卡刷不過，或者不斷跳出來的無意義視窗，不僅破壞了使用體驗，還耽誤了我們的時間。這些都是我們日常劇場中的小場景，可能包含了愉快的感受，也可能帶來麻煩，端看這些體驗最初是如何被計畫的。希望你會喜歡這本書，把它當成你的工具，因為這本書的設計初衷，就是希望能讓設計師一邊創作一邊閱讀。這本書充滿了趣味的圖片，在以文字書寫而成的故事旁邊，講述著屬於自己的圖像故事。

"
9789861365879,"


	★暢銷70 萬本的「基本」系列，《基本設計力》作者全新力作！

	 

	★明確「Before」 → 「After」範例，清楚感受修改後的差異！覺得自己的設計好像「少了點什麼」時，就用每章前的課題＋解決方案來微調！

	 

有了設計基本概念，但實際操作時還是不知所措？

22 條實戰法則，讓你的設計更能打動人心！

	 

	版面如何吸引目光？

	留白怎麼做才不會顯得空洞？

	攝影角度如何影響設計整體感？

	為什麼我設計的形狀看起來就是不太對勁？

	該如何讓人對我的設計產生信賴？

	你在做設計時，是不是也常產生這些疑問？

	 

	本書精選22 條能立刻派上用場的設計法則，讓你製作的簡易傳單、商業簡報、宣傳海報、重要通知單等各種平面設計產品比別人吸睛，在品牌管理和市場行銷上，也比其他公司（同行）更能掌握優勢。

	 

	每條法則前，作者精心彙整出大家常遇到的課題，並提供理想的解決方案，讓你的設計理念不再淪為紙上談兵！

	 

專業推薦

	 

	知名海報設計師 陳世川／ IF OFFICE 創辦人暨創意總監 馮宇／聯廣執行創意總監 黃守全

	 

"
9789579689601,"


新興領域的重點書目，對接人類行為與數位產品的架構性指南！


	為什麼「使用者體驗」成為企業產品的必備功能？如何讓一款軟體或數位工具真正讓使用者信服及行動，讓他們的生命更好，而你的產品使用也更臻完美？

	集結心理學專業作者與相關行內專家的高明意見，本書將揭櫫一個現在正崛起、未來更無所不在的產品主弦律：行為改變設計。

	隨著人類社會與數位工具幾乎不可分割的時代來臨，數位產品早已不只是如介面易用或激勵機制可行這類的設計就能滿足需求。

	如本書作者一樣的心理學家正快步走入科技產品的場域，他們將貢獻更多的人性理解，讓數位工具服務人類的能力更登峰造極：驅動使用者完成目標、改善生命。

	本書行為改變設計可以創造出令人著迷且有效的產品和體驗。無論你是學過心理學還是剛接觸這個領域，你都可以將行為改變的原則融入到你的設計中，幫助人們實現有意義的目標，學習和成長，並相互聯繫。本書為設計專業人士提供了將參與心理學應用到工作中的實用技巧。

	這本書是寫給想應用行為改變科學去設計並研發數位產品的任何人。

	不論你是一名社會科學家，正透過應用程式、網站以及其他數位工具來改變人們的行為，或是一名想將行為科學注入到你的成果作品中的產品經理、研究人員或是設計師，那麼這是一本符合你需求的書。你的數位產品是想嘗試改變人的行為（像是在健康、教育產業的大多數APP）嗎？本書從人類的心理動機開始打造你產品成功的可能路徑。

	心理學提供科學工具與方法能使用在理解何謂影響行為，以及以證據為基礎的技術去改變它們。本書將非常興奮地要和你分享，你要如何使用心理學製作出你設計的數位程式，以及為使用者建立更多關聯性。如果你的產品就是打算要改變人們的行為，那麼心理學就是你的設計工具中的必要元素。即使它們不是那樣的產品，一點策略性的科學仍將會幫助你創造出較好的產品。

	這本完全以實際需求出發的工具好書，將提供：
	．當前需求最大的設計工作法則！
	．後物理性產品趨勢下的目標指引！
	．精彩收錄12位第一線數位產品與使用者互動專家的工作經驗

	當科技應用已深度介入人類生活，許多設計者及產品團隊正積極使用心理學策略讓他們的數位產品更具吸引力、更好用、更能幫助使用者達成目標。本書正是一位業內「行為改變設計」心理專家完整呈現：讓數位產品更好，讓更多人想用，用了能促進使用者更健康與更有效率的真正秘密。

"
9789860629217,"


史上最強設計美學！

	 

親愛的設計師們，

從現在開始，將顏色斷捨離吧！

用黑白灰三種顏色，就足以創造經典設計！

	 

時尚老佛爺Karl Lagerfeld，運用黑白色系，打造出永恆的黑白時尚！

奢華品牌Dior、CHANEL等，也愛用黑白色系拍攝產品宣傳照！

	 

簡單，就是時尚！

有層次的黑與白，能為設計增加豐富色感，

極簡的黑白色調，能讓設計在多彩中脫穎而出。

	 

世界知名設計師都愛用：黑色、白色、灰色！

	 

★ 用黑白灰，創造出舉世聞名的經典作品！

	本書收錄98個作品範例，包括日本蔦屋書店（TSUTAYA）、紐約設計品牌MILLY、澳洲昆士蘭美術館OAGOMA、西班牙CHOCOLATE FACTORY、丹麥underwearables SOAP、韓國gong Café……等，並細說明設計理念、品牌價值與印象。

	 

★ 用黑白灰，打造設計基本功！

	98個經典黑白灰設計案例，精選自全球知名設計師作品，涵蓋品牌形象設計、產品設計、包裝設計、印刷品設計……等範疇。非常適合：想強化品牌力量的老闆、想提升產品質感的開發人員、想吸引閱聽眾注意的行銷人員、不擅長配色的設計師、極簡主義愛好者……等。

	 

★ 黑白灰是教父級的顏色！

	白色和黑色可以凸顯出設計中的精髓。＿日本設計師Hajime Tsushima

	在設計中運用黑白，是無與倫比的。＿俄羅斯設計工作室Eskimo

	黑和白是最重要的兩種顏色，其他的都是次要的。＿英國設計師Mathew Hancock

	黑白是基本的，也是富有內涵的。＿墨西哥設計師Zita Arcq

	 

★ 愈簡單的配色，其實愈不簡單！

	回歸設計的本質，別讓多彩，搶走產品的風采。用黑白灰三色，就能展現「色彩的力量」、「視覺的張力」、「設計的質感」！

	 

★ 別讓你的配色方式，毀了你的設計優勢！

	豐富炫目的多彩，只是掩飾設計無力的偽裝，簡單的黑白灰色，就能讓設計回歸本質，更足以讓你創造設計經典！

	 

	本書改版自2018年5月出版的《黑白灰設計：屏棄有彩色的設計法則》

	 

"
9789864592739,"


獨一無二的「光」工具書，出版十年長銷不墜，全面增訂新裝上市
	從攝影、繪畫、到3D渲染，各領域視覺藝術、影像設計工作者不可或缺的光影知識


	什麼是光？光如何影響環境、物體的色彩、質感和氣氛？在視覺藝術（Visual art）中，「光」是重要的敘事元素，只要運用得宜，就能打造時間、空間、情緒……除了視覺上的美感，還有心理上的暗示，「光」是影像創作中最重要的變因之一。

	這是一本專為視覺藝術家，與各領域影像創作者所著的必備工具書，包括：攝影師、導演、特效師、動畫師、畫家、CG藝術家、3D建模師甚至平面設計、建築與工業設計師等。深入淺出的範例，以科學角度檢視藝術創作，針對光線的物理機制提出嚴謹立論，讓藝術家在精準判斷的同時能夠擁有突破框架的實力。

	【Part 1採光入門】
	這個章節中，將解釋光線的基本要素，以及光線在各種狀況下的描述。我們會詳細介紹不同形式的採光，以及各種採光方式的特性。不同的物質，與光線產生反應的方式都不一樣，本章節將探討光線與物質之間的交互作用，並以物理學的精準角度，詮釋這些反應。

	【Part 2人與環境】
	運用前面學到的知識，接下來，要說明所有視覺藝術家的作品中，光線如何影響最重要的兩個元素，那就是「人」與「環境」。光線影響了肌膚與髮絲，也改變了綠葉與水面；光以及打光的藝術，深深影響了藝術家筆下的肖像以及景觀。

	【Part 3創意採光】
	採光不僅僅是技法，在敘事方面，更是重要的基礎角色。正因如此，以深刻的角度來看，採光可以算是創作的一部分。運用光線，你可以引導構圖、創造情境，也可以賦予影像時間或空間的感覺。此外，在喚起情緒方面，光也是強而有力的工具。

"
9789869945752,"

˙日本地方設計始祖級大師，重新翻轉地方案例大公開！˙26個日本地方創生案例，展現何謂「絕處逢生」的設計，挖掘一級產業的獨特魅力。如何讓產量縮減 98% 的荒廢栗子山重新找到價值？用免洗筷、麥克筆畫出來的設計，竟能發揮在地食材的特色，翻轉地方沒落產業？只要一點小巧思就能打造最土氣卻也最美味的設計，從窮途末路開創新生機！設計思維化危機為轉機——地方創生案例精選！／看似沒有前景的荒廢栗子山，其實是不受化學藥劑汙染的土地，轉換思維向消費者提供「安心」這項新價值，栗子山就能重新翻身！／對在地人來說毫無新意的石花凍，其實擁有熱量低又富含纖維質的特點，根本是減肥聖品，從不同角度看見產品本質，才能找到產品嶄新的一面。從「食物」開展地方創生之道——地方價值如何思考？透過書中 26 個案例分享，將普通思維轉換為設計思維，就能深入本質，解決問題，挖掘新價值。有些地方比得過，有些地方贏不了，從相反的角度思考，就能創造溝通的管道。一切都始於⋯⋯日本地方設計始祖級大師——梅原真以家鄉高知為工作據點，設計概念是「一級產業X設計=光景」。一級產業與地方的風景息息相關，梅原真用設計守護住那些生產者努力生產的工作模樣、大自然的景色，如黑潮町的鰹竿釣、島根的黃豆田、室戶採撈的天然石花菜等等，以設計之力讓產業得以延續，保留地方珍貴且美好的光景。「 回顧過去的工作，總結人生時，我發現自己做的幾乎都是『絕處逢生的設計』。這些合作對象原本都一籌莫展，卻因為設計而峰迴路轉。」透過設計順利建立起與消費者溝通的管道，施展本地魅力。或許只需要一點點的設計力就能夠改變困境，一點點不可思議的小巧思就能幫助地方產品熱賣。這本書絕對與你有關不論你是設計師、地方創生者，或這些以外的，只因我們所在皆是地方，我們都能發揮一點力氣，讓地方邁向國際，展現其獨特的生命力。「所謂的地方創生不是模仿大都市，而是徹底發揮當地特色。倘若每一個地區都抱持『只有我們才道地』的氣魄，相信整個社會一定會產生一百八十度的轉變。」
                    
"
9789869894159,"


為什麼會覺得這張照片拍得很美？

為什麼會覺得這幅畫作很吸引人？

為什麼會覺得這個設計讓你目不轉睛？

美感源於邏輯，每件好作品背後，都有跡可循！

	 

從圖像閱讀中解析名畫、攝影、平面廣告的設計原理

──寫給非本科生的美感養成教科書

	 

● 什麼是圖像閱讀力？

	不是只有文字能閱讀，圖像也可以。圖像閱讀，其學術名稱為「圖像識讀」（Visual Literacy），指的是人們對於圖像，如照片、圖畫、電影等視覺媒體其所呈載訊息的解讀能力。與文字閱讀能力（亦稱作文字識讀或文字素養）一樣，這種能力有初、中、高之分： 

	 

	1. 初階：了解圖像語言，例如畫面構圖、色彩、平衡等外在形式。

	2. 中階：理解圖像中所隱含的社會、文化、政治意涵等。

	3. 高階：能夠運用圖像的初階和中階概念，表達自身思想。

	 

	熟悉最基本的初階圖像閱讀原理，其實就學會了基本設計原則！因為，好設計、好作品第一眼吸引人的關鍵，往往都隱藏其中。因此，即便是非本科生，只要熟悉、看得懂、抓得出基本的圖像閱讀原理，就能做出好設計。

	 

● 用自己的話語，說出好與壞，才是真正的看懂

	而對於喜愛藝術評論或名畫鑑賞的人而言，圖像閱讀力，更是讓文字或表述更扎實的要素之一：如何說出一番有說服力的鑑賞見解。在評論或鑑賞中，探究畫家想要傳達的意圖固然重要，但鑑賞的最高境界，應是能用「自己」的語言表達觀賞後的感覺。或許聽起來有些抽象，但其實只要學會並掌握「解析形式結構」的方法，就是成功的第一步。

	 

	原則上，一個好作品、好設計、好的藝術品，經常能看到：

	1. 「流動」與「靜止」並存，因為如此的布局最能吸引人眼目光。但切記這樣的組合不能在同一個圖像內超過「三次」，否則就會雜亂無章，破壞美感。
	 

	2. 畫面中有自然的流動感；但該如何製造呢？重複相似的大小與顏色，且圖形越單純的圖片，其流動效果越好。
	 

	3. 人的視線習慣從左往右看，因此布局一個平面圖像時，應該把重點放在左側。
	 

	4. 善用S曲線的設計，能使圖像的規模放大，營造無法一次盡收眼底的視野，延伸觀者的想像空間。
	 

	5. 根據人體比例：孩童的50：50、成人的70：30、老人的90：10的特性，其實就是吸引該年齡層商品設計的最佳原則。

	 

	其實「鑑賞」和「設計」都是很科學的。無論是設計師或是畫家，其皆是透過巧妙的精心安排，讓「畫面」自己說故事、傳達意義。而當我們學會如何解析圖片之後，面對好設計、壞設計和藝術鑑賞時，自然就能說出一套「有道理」的看法，進而提升自我品味、設計創作等多方位的美感能力。

	 

本書寫給：

	1. 想要了解名畫或設計在表達什麼，希望不看博物館的文字說明牆，也能看懂作品的人。

	2. 想要解析作品、看懂名畫，將自身抽象感受，有系統地用文字表達，甚至評論的人。

	3. 想要提升繪畫構圖、設計能力等所有喜好藝術的人。

	 

看懂推薦（依姓氏筆劃排序）

	 

	吳東龍｜設計觀察家 

	馮宇｜IF OFFICE 創辦人

	 

"
