ISBN,書籍簡介
9789864012688,"


 用小小紙藝品演繹出個人想像中的大世界

 原來印刷．加工還可以這樣玩！
 在家就能製作充滿奇趣的特殊手作紙藝品

 ☆「低預算」+「基礎技巧」達成「高質感」目標
 ★ 不需要進行商業印刷，在家就能靠小道具完成個人風設計
 ☆ 讓自己的巧思構想透過簡單的小步驟呈現在各式紙藝品上
 ★ 全面介紹多種加工手法，僅靠搭配就能變化出多元效果
 ☆ 手創文藝工作者和同人誌創作者不可或缺的一本基礎入門書

 ˙各式年節慶典，需要搭配致意小卡的時刻
 ˙想要為店內菜單、廣告文宣品營造出店家特有風格
 ˙精心製作的手創生活小物，該如何在包裝跟標示上增添趣味？
 ˙想在同人誌活動參展，正為如何讓作品更具特色而苦惱中
 ˙全心打造一本自己喜愛主題的手工書，期待製作出符合自己作品意象的設計

 只要習得提升作品質感的多元創作技巧
 就能讓融入創意發想的作品瞬間成為眾人的焦點！

 不論是出自職業還是業餘之手，手作紙藝品總是能散發出一種獨特魅力。時而精緻、時而素雅，紙張特有的氣息和質感，讓許多人都為之著迷。

 但是提到紙藝品延伸出的印刷及加工技法等議題，大家的腦海中是否立刻浮現出工廠中各種大型專業機具不斷地運轉生產的情景呢？其實在科技化的現今，大眾往往對「印刷‧加工」抱持著需要專業技能和機具的印象，但只要回顧紙製品或紙藝品在歷史上的脈絡，就能立即體會到在技術相對不發達的過去，人類也是在各種手工巧思上逐步累積出相關的智慧。即便跳脫機器和技術的輔助，或許很難達成商業生產的效率，但也從中衍生出許多揮灑空間。

 因為製程跳脫了制式工法的框架限制，我們也可以在很多作品上看到別具風味的巧思。藉由不同的技術搭配，不論你要製作的是卡片、傳單、宣傳品、標示牌、包裝紙、小冊子還是手工書，都可以呈現出截然不同的百變面貌。

 關於紙藝品的相關技術也不斷地持續發展，甚至融入許多過去未曾想過的新領域要素，也讓親手製作紙藝品變得更具想像力及樂趣。

 本書作者平田美咲在本書中結合其平面設計師及插畫家的專業，將各種印刷加工技巧以詳盡的實作步驟呈現出來，並加上插圖輔助，即便是沒有接觸過紙藝品創作的朋友也能輕鬆學習。

"
9789863124665,"


【品牌塑造，始於 LOGO。最實用的日本品牌設計案例集】


	設計師必備：從小品牌到大企業，都有足夠案例可參考！
	店長也要看：想打造自己的品牌，看看別人怎麼做！

	本書是集結日本 105 個知名品牌的 LOGO 設計案例集。

	本書除了說明各 LOGO 如何誕生的過程，還包含其「展開」，也就是「延伸視覺設計」。

	LOGO 的「展開」包羅萬象，可延伸到品牌規劃、信封名片、商品與贈品、海報手冊、網頁與動畫等。透過豐富的 105 個知名品牌案例，探討如何透過設計引發品牌價值、明確傳達企業或店家的經營理念。

	本書介紹的對象分為「商店、設施、企業與團體、商品與品牌、活動與宣傳」五大領域。除了知名企業，還包括小型商店、公有設施、商品、展覽、活動或是推廣地方發展用的活動 LOGO，涵蓋各行各業。無論您是接案設計師，或是想要規劃自有品牌的創業者，本書都能讓您獲得 LOGO 製作及品牌塑造方面的靈感。

本書特色

	品牌設計最佳參考書！
	從大企業到小商店、基本 LOGO 到延伸商品，應有盡有
	各行各業一網打盡，給你源源不絕的靈感！

【精彩範例節錄】
	● 和服店的 LOGO，以「手指與一條線」的極簡設計打造品牌
	● 甜甜圈店的 LOGO，善用圓形及普普風，表現「可以淋上各種配料」的趣味
	● 豆腐店的 LOGO，以像素風方塊完成現代感的設計
	● 燒肉店的名片，用仿皮革紙做成一隻牛，令消費者印象深刻
	● 女鞋精品店的 LOGO，用英文花體字拼成優雅鞋面
	● 洗衣店的整體設計，規劃為「洗衣研究室」，展現絕佳技術
	● 旅館的 LOGO展現出「為顧客創造一小片回憶」的經營理念
	● 京都水族館的 LOGO 蘊含著「一滴水與京都群山的景色相連」的印象
	● 殯儀館的 LOGO 是在靜謐柔美的風景中與故人告別的情景
	... 涵蓋「商店、設施、企業與團體、商品與品牌、活動與宣傳」五大領域的精彩案例，快打開本書一探究竟

"
9789863124269,"


沒看過這本書，你可能會以為，所謂的 LOGO 設計，
不就是畫個 LOGO 圖案嗎？
NONONO~（搖手指）設計 LOGO 沒這麼簡單！
這本書將告訴你：專業的 LOGO／商標設計師到底都在幹嘛？


[摘自本書內文]

	這是一本貼近 LOGO 設計現場的操作型說明書籍。內容詳細解說從接受客戶委託設計的緣由，到訪談、繪製草圖、利用Illustrator 實際製作、簡報、精緻化、交稿、製作設計準則等完整的 LOGO 設計流程。

	藉由仔細瞭解 LOGO 的製作過程，讀者可以體會各個設計師及其設計案件所衍生出的各種狀況，這樣做的目的，是為了以更有臨場感的方式瞭解設計現場。

【設計 LOGO 不是畫圖而已。設計 LOGO 就是在建立品牌】

	過去，設計師與企業之間，通常都透過代理商居中協調，不過隨著網際網路的普及，現在想要設計 LOGO 的企業，大都會自行搜尋喜愛的設計公司，直接聯繫接洽。此外，現在還出現了以便宜價格就能提供 LOGO 設計的網頁服務，甚至還有舉辦設計比賽，讓眾多設計師提案的網站，這使得 LOGO 設計變得非常方便甚至便宜。

	那麼，LOGO 設計真正的價值是什麼？

	我們必須知道，其實單憑 LOGO 無法順利建立品牌。必須將命名、LOGO、包裝、顏色、鈴聲音樂等「構成品牌的元素」，以及網站、公司簡介、廣告、店面、活動等與品牌理念有關的「接觸點（Touch Point）」全都組合起來，給予顧客一致性的刺激。

	就這層意義來看，我們可以說，必須預先思考 LOGO 可能的使用場合及用法，以及站在顧客的立場檢視時，何種場景會產生哪些感受，這樣的想像力將成為設計出優質 LOGO 不可或缺的重要技巧，您可以在本書中看到這樣的實例。

	本書中請到三位平面設計師：佐藤 浩二、田中 雄一郎、小野 圭介，都是活躍於日本設計界的一線品牌設計師，將以他們親自經歷的 18 個品牌設計案例，涵蓋多種產業、企業、公益團體、醫院、學校...，帶你體驗不同品牌設計的眉角，打磨出你自己的品牌設計力。

本書特色

● 3 位資深設計師 x 18 個不同產業品牌的設計實例，打磨你的設計力
	藝術活動專案 LOGO／地方振興活動 LOGO／紅茶品牌 LOGO／全景影像軟體 LOGO／大數據分析軟體 LOGO／社群遊戲 LOGO／窯業老店 LOGO／寵物用品 LOGO／汽車品牌 LOGO／美容沙龍 LOGO／馬術品牌 LOGO／女子學校百年紀念 LOGO／地方藝術活動 LOGO／大學 LOGO／醫院 LOGO 與識別系統／診所視覺識別／鋼琴教室 LOGO／公益財團法人 LOGO

● 設計菜鳥必讀！真正的 LOGO 設計流程是這樣的：
	訪談客戶 → 繪製草圖 → 製作提案 → 正式簡報 → 提案精緻化 → 交稿與定案 → 製作設計規範 → 製作延伸設計→...

●從本書你可以學到： 
	跟隨一線設計師體驗完整設計流程，從訪談客戶、規劃提案、歷經各種修改到定案的 LOGO，
	學到設計師如何體察、反映客戶需求、如何因應突發狀況與解決方案，
	深化你的品牌設計力。

"
9789865657581,"


	最多設計師推薦的Logo暢銷書

	上萬設計師一致評價：「好實用、好感謝！」

	報價‧線上知名案例‧溝通技巧‧設計秘訣，一次學

	給你歐美一線設計師的超級經驗談！

	 

	從事logo設計或想開始做設計的人，將會發現這本書是無價之寶！──設計師．Tom Geismar

	 

	◎小到個人、工作室、大到公司，一定要知道的品牌設計必修課

	◎上萬設計師仰賴、百萬瀏覽率的Blog版主，教你更教客戶，如何創造雙贏做出好識別

	◎歐美職場的超級經驗談，從提案到設計，該學的眉角、潛規則，一線設計師不藏私大公開

	◎必學實用祕技！如何避開重新設計或失去客戶的危險，想問的必閃地雷，都有解答

	◎不走冤枉路，從報價到收頭款，從提案到與決策者溝通，上工前必知的血淚經驗

	◎收錄花旗、微軟、FedEx線上知名設計師的成功之作，詳述精良品牌可長可久的7大設計要領

	 

	想做出讓人記住一輩子好設計，一定要知道的LOGO設計必修課！

	 

	沒有商標的公司，就像個沒有臉的人。

	地球上每間公司都需要一個LOGO！每一個LOGO都需要一位平面設計師。

	教你更教客戶，所有該知道的線上知名案例、報價、實戰經驗、溝通技巧、設計秘訣等大小事

	 

	該如何擄獲知名大客戶的青睞？如何抓住業界的脈動？什麼樣的頂尖創意，連英國女王都愛上？怎麼實現大膽前衛的風格，客戶還得埋單？比稿究竟是好、是壞？提案要提幾款才夠？如何報價才合理，如何避免詢價後沒下文？交稿時程，怎麼訂？如何說，客戶會信服？溝通出現裂痕，該怎麼處理？作品的所有權屬於誰？

	 

	2013年統計，全世界90%的資訊是近兩年產生的，要如何突破龐大資訊重圍，抓住注意力，是平面設計師展現工作價值的最大機會。最關心LOGO的設計師──大衛˙艾瑞，花了十年時間，持續在他名為davidairey.com的部落格，分享設計專案。他的分享締造每月百萬人次的瀏覽量，更讓成千上萬的設計師定期造訪。透過他的分享，讀者可以走進幕後，一窺設計過程中的每個階段，以及世界上各地才華洋溢設計師的知名案例。看見他們如何搞定客戶，如何轉化設計大綱中的細節，如何在客戶同意某個構想之前與他們達成共識。看過的人，一致評價非常實用、很具啓發性，讓他們非常感激。

	 

	1906年設計的家樂氏Kellogg’s，如何時至今日依然穩坐品牌地位？

	微軟設計師，如何為花旗和旅行者的合併，成功合體logo？

	市佔率下滑的FedEx，如何從300款Logo提案中重生，再創企業高峰？

	作者在書中分享他在專業生涯中的經驗點滴，這些最受歡迎、最具參考價值的案例，全都收錄書中，更憑著多年實戰經驗，歸納出31條見招拆招的「LOGO設計法則」，是每個職場上設計工作者的必備良方。

	 

	書中更交流一線設計師的成功心法，有人說：訣竅在於領先4年，有人相信：要適時離開電腦，拿筆作畫，就可以看見好靈感。或是有機會做一些滿足自己，不必取悅別人的設計。

	「每一位設計師都有某一種程度的不安全感，只能經由同儕的敬重，或是作品的商業成功，才能減低。」300milliom創意總監如是說。

	這些最誠懇、不藏私的同業分享，相信不管是開始接案的設計師；或是正需要幫自己定位的創意工作室，或是想幫助公司形象加乘的品牌經理人，都是最實用的know-how，幫助大家達成目標，設計出可長可久的LOGO識別。

	 

	【在本書你會學到】

	※為何某個商標比另一個商標更能達到效果

	※如何進行您自己的圖像設計

	※成為傑出設計師的要點

	※和客戶合作的最佳作法

	※設計可長可久商標的31個實際設計要訣

	 

	【7大Logo設計秘訣】

	※盡量簡單

	※增加關聯性

	※融入傳統

	※獨樹一幟

	※過目不忘

	※往小處想

	※聚焦於單一事物

	 

	原《好LOGO，如何好？讓人一眼愛上、再看記住的好品牌+好識別》2015年全新增訂版

"
9789579072694,"


第一線公開！為何成功？為何失敗？
如何設計出70億人一看就懂的
好LOGO+好圖標


	面對手機時代，LOGO和圖標設計，該如何再進化、再簡化

	美國視覺系統第一好手
	iphone介面設計師
	與大品牌合作的真實案例

	包括
	APPLE、YAHOO、AT&T、FACEBOOK、
	GOOGLE、SONY、 NEW YORK TIMES
	首度公開25年從業生涯重要作品＆設計人必知提案經驗
	 
▌把LOGO和圖標當作文字來使用的書
	PC、平板、手機，現代人透過多樣媒介，瀏覽網頁、APP，只有充分使用圖標應用、人性化設計，打造出吸睛又獨特的介面，才能留住使用者！

	這是一本把LOGO和圖標當作文字來使用的書。從表情符號、美國大選海報、《紐約時報》APP圖標、臉書壁畫、加州國家公園路標……我們隨處可見各種LOGO和圖標，那是比文字，更快、更強大的視覺語言，也是識別度超高的國際語言。

▌美國視覺系統好手首度公開
	Felix Sockwell是美國視覺系統第一好手，也是第一代iPhone介面圖標設計師，他的合作客戶全是線上大品牌，書中首度公開從業25年生涯的重要作品與設計人必知的慘痛經驗。圖標是一種全球通用的表達，像是表情符號（Emoji）、眾多常見的感情和情緒縮寫，甚至我們的縮寫語言——LOL（Laughing out loud，大聲地笑），OMG（Oh my god！我的天呀），LMAO（laugh my ass off，超級好笑）——都慢慢被圖標取代。沒人有時間打字，也許未來的鍵盤會包含流行的表情符號。

	而在談到設計品牌商標時，他認為，「創作圖片的樂趣之一就是講故事，偉大的品牌都在講故事，這是為什麼我們能與品牌建立聯繫，並成為忠實追隨者。」許多商標多年來已經演變成圖標，比如，紅十字會、蘋果公司、NBC、女童子軍、花花公子和星巴克等，用圖像做設計，絕對是進行中的未來趨勢。

▌設計人必知的提案經驗
	從草圖、提案，到再提案，Felix Sockwell公開分享他親身經歷的設計發想與執行過程。包括雅虎的招牌信封圖標，他做了34種變化；他用一筆連接式圖案畫出一幅社交活動大圖，成了臉書的辦公室壁畫。可口可樂的年度會報，他用圖示言簡意賅地把雜亂、複雜的過程，分解為一個可口的想法。他突發奇想地大玩共和黨LOGO酸川普，解構了小飛象，堪稱一絕的設計師創意演出。

▌書中針對四大類主題案例，提出更進階的創意觀念及提案。
	1.互動圖示設計 Interactive：紐約時報APP圖標∣iTunes∣Yahoo雅虎網站圖標∣AT&T∣線上教育網站

	2.品牌設計 Branding：愛滋病獎助金∣大富翁∣保險業∣寵物∣優酪乳∣APPLE電腦∣FACEBOOK∣出版社∣廣播電台∣SONY∣美林證券∣DUNKIN’DONUTS∣公益活動∣奧運會∣博物館∣百老匯網站∣世界盃足球賽∣體育頻道∣水果飲料∣戶外廣告∣劇場活動∣電信公司∣酒店∣銀行∣共享汽車∣可口可樂∣數位出版平台

	3.編輯設計 Editorial：政治競選∣雜誌圖示∣報紙圖示∣帕森設計學院∣月刊∣競選海報及貼紙∣海報

	4.路標指引設計 Wayfinding：加州國家公園∣公益標誌∣紐約時報科學版∣施工圖誌

	原書名：《iPhone介面設計師，教你大玩圖像設計：從表情符號、LOGO、app圖示到路標設計的實戰經驗分享》

"
9789579072496,"


教你「平面創新風格」第一課
 幾何設計，近5年最新趨勢
 比照片更簡潔，比插畫更有設計感

  

精確＋專業＋結構=極致之美
主視覺＋品牌識別&周邊，幾何設計最給力

圖像不求人，有效放大商品獨特性
無限延伸，更能發展獨家周邊商品！

 KIEHL’S禮盒∣日本黑白和服∣手工巧克力∣歐洲爵士音樂節∣北歐居家博覽會∣
 電音專輯∣資訊IT公司LOGO∣珠寶包裝──100個全球線上最新案例

 「數學展現了秩序、對稱和極限，這些正是美的極致形式。」──亞里斯多德

▌為什麼幾何設計近五年大流行？
 比照片更簡潔有力，比插畫更有設計感。點、線、面是很強大的視覺語言，想像空間大，專業性強、又容易創造周邊商品。嚴謹的數學原理，讓幾何設計變得非常精確、有結構感。無論它們是扁平風格的，飾有浮雕、嵌條、淺色塊，還是單個圖形或重複圖案，都有無限可能。

▌強力主視覺＋產品包裝＋品牌識別&周邊
 書中從三大風格──黑白、極簡、彩色入手，搭配主視覺、產品設計、品牌識別&周邊等領域，挑選近百個視覺靈感案例──從拼布博覽會、北歐家飾展、爵士音樂節到藝術博覽會主視覺﹔設計工作室、化妝品公司、字型公司到資訊IT公司LOGO﹔珠寶、手工巧克力、廚房刀具、冰淇淋、文具等包裝設計。

▌近百個幾何圖樣精采案例
 ◎幾何圖樣無限重組，永不重複的拼布藝術──西班牙‧歐洲ARTIL拼布博覽會
 ◎圖騰打造的人氣厚底短襪，成為電影節的熱門商品──新加坡SUPERMAMA x A Design Film Festival 2015 Tabi Socks電影節
 ◎綢密的幾何疊加，電子精神隨圖騰躍動──法國卡昂Nördik Impakt獨立電子音樂節
 ◎融合現實和超現實的搶眼櫥窗裝置──英國時尚櫥窗設計
 ◎使用簡單幾何描繪魚與鳥、氣象符號等地理特色的包裝紙──瑞典Børk品牌包裝紙

▌為文化活動、時尚品牌所好，席捲平面設計界
 這種平面設計風格起先只是為文化類活動、室內設計和時尚品牌所偏好。後來伴隨著「扁平化」風格（flat design）的流行和新技術所帶來的無限可能，幾何元素被廣泛運用到LOGO等各類平面設計中，最近更是延伸到了網頁設計。我們可以將這一風潮與1920年代相比擬，當時湧現了諸如立體主義（Cubism）、未來主義（Futurism）和包浩斯（Bauhaus）等以幾何造型為主的現代藝術風潮。這些風潮在1970年代時，相繼被重新發掘，當時非常流行圓形元素；1980年代，各種幾何圖形和色彩被大量使用。隨著電腦、網路和當代平面設計的發展，這個風正格逐漸地演變。

▌幾何圖形，代表甚麼意義？
 ‧圓形──沒有起點和終點的，它在每種文化中都代表著永恆性。
 ‧方形──代表著穩定，是人們熟悉和信任的圖形，暗示著誠實。
 ‧三角形──代表動態的張力和行動力。
 ‧螺旋──意味著創造力，在很多生物體的自然生成模式中都可以找到，暗示著生長過程和進化。
 ‧十字形──象徵著精神性和治癒能力。
 ‧米印形──“※”代表著自我、自然、智慧和更高級的生物。

▌新幾何風格學，線上專業這樣說
 ①黑白幾何──最經典，品牌LOGO、活動主視覺專業又搶眼。
 ②簡約幾何──經典之外，能凸顯個性，又不失風格。
 ③彩色幾何──很適合包裝設計，色彩+幾何結構=吸睛商品。
 ④建立品牌專業感──精確的結構之美，就是很專業。
 ⑤容易衍生周邊商品──圖像延展性強，容易發展。
 ⑥搶眼活動主視覺──圖片不求人，有效放大商品獨特性。

"
9789577357472,"


	設計是整個人類物質文明和精神文明的結晶，是一個國家科學和文化發展的重要標誌，它不僅創造著今天，也規劃著明天。

	設計作為一種生產力，對推進一個國家或地區的經濟發展有著重要的作用。正因為如此，設計也越來越受到世界各國的高度重視，成為社會進步與革新的一個重要組成部分，成為投資的重點，設計教育成為許多經濟發達國家的基本國策，受到高度的重視。

	現代廣告是現代社會商品經濟高度發展的產物，是現代社會及其經濟活動的有機組成部分。廣告作為一種公開的、有說服力的訊息傳播方式，在當今社會已是無所不在、無時不有，具有極強的滲透力。在現代社會特別是訊息社會，人們根本無法擺脫廣告的影響。

	廣告既反映了社會生活又創造了社會生活，它已成為我們生活的一部分，成為我們的一種生活方式，潛移默化地影響著我們的價值觀和消費取向，支配著我們的思想意識和行為方式，創造著一個個現代神話。

	本書重點在於介紹現代廣告設計的基本概念、基本原理、基本法則和技巧，力求把現代廣告設計中最具時代意義、最具啟發性的理論與技巧奉獻給準備獻身廣告設計藝術事業的莘莘學子，希望他們能有效地把握現代廣告設計中最具根本性的東西，對廣告設計藝術教育起到一定的推動作用。

	本書的基本內容包括四個大的板塊：當今廣告設計面臨的新環境、新變化；廣告設計的基本概念、原理、程序；廣告設計創意與藝術表現；廣告設計的基本技巧。

	現代廣告設計是一門視覺傳遞藝術，以視覺形像作為訴求的主導要素，書中的200餘幅附圖是全書有機的組成部分，成功和典型的廣告設計範例能形象而生動地闡述和佐證書中的觀點，為讀者提供一個欣賞、學習、借鑒的模版，幫助讀者更有效地把握廣告的基本概念、原理、準則、技巧。希望讀者不是以「看圖」的方式來看這些優秀的廣告作品，而是以「讀圖」的觀念來認真深入地審視這些優秀的廣告作品，「讀懂」了它們，真正體驗了它們的奧妙所在，必將會在心智上得到成長，把握到廣告設計的真諦。

"
9789579072366,"


教你「用風格為品牌賺錢」的第一課

  

從名片、提袋、包裝到周邊商品，都是讓人手滑的好設計
大冒新商機的4大領域──飲食‧時尚‧IT‧文化

學會設計好LOGO，讓你放大商品的獨特性格！
增加品牌風格感染力！

 迪士尼、Apple、Toyota、麥當勞、Johnnie Walker─合作工作室不藏私
 好LOGO的新風格+新趨勢
 收錄全球111種類型案例，視覺靈感目錄大全

▌為什麼有風格的LOGO，會賺錢？
 同樣賣鮮乳，為什麼聶永真設計的「鮮乳坊」除了吸睛，也賣出好業績？同樣賣咖啡，為何大家出國必喝Blue Bottle，還把馬克杯也買回家？雙十國慶新LOGO，不只讓網友捨不得滑走，甚至連國慶小物都被敲碗，問說：「有賣嗎？」好LOGO再進化，光是設計已不夠！有風格、有個性，才能冒出頭，成為同溫層間勸敗轉貼的新歡，甚至連周邊商品，都一不小心手滑下單。

▌新LOGO風格學，線上專業這樣說
 ①尋找靈感──不苦等靈感敲門，先用關鍵字搜尋，再用字體先試試。
 　
 ②魔鬼細節──追求完美字形間距，對齊上的微調整，更要注意正負空間處理。確認字間數值是否合適？曲線是否完美無節點？比例是否恰當？符號和文字的排版是否精確？甚至註冊商標符號®在商標中的位置是否恰到好處……等。

 ③最佳工具──善用網格系統來梳理整理設計。尤其是表現信賴、安全、功能等特質時，網格和幾何輔助會更顯重要。

 ④定位溝通──傾聽顧客，要盡可能獲得多且詳細的資訊，再以這些資訊為基礎，找到關鍵字畫草圖。

 ⑤載體通用──不能光欣賞LOGO本身，要留意它用在名片、包裝或廣告上時，是否平衡？

▌哪些新領域，正在大冒新商機，正需好LOGO
 本書精選全球111種案例，「飲食」、「時尚」、「IT」、「文化」，4大領域的風格LOGO。

①飲食類─主廚餐廳、創意料理、烘焙坊、咖啡廳、飯店、生鮮、食品、酒類
 ‧南美啤酒擬人化，讓消費者挑選他愛的角色
 ‧渡假飯店融合無敵海景，將天然資源化為品牌號召力
 ‧海鮮食品，以三角網格創造波光粼粼的海洋既視感
 ‧日本烘焙坊，把店名開頭B字母變身吐司麵包
 ‧日本木耳把真菌圖像化，延展出70款幾何圖形
 ‧北歐料理，把路牌融入招牌，記住店名就記住地址
 ‧店名「米時」，大玩雙關語，國字米變身時鐘指針，分享米食時光

②時尚類─日本服飾、健身服飾、大尺碼、皮件、首飾、美妝、沙龍
 ‧日本美髮沙龍，字母畫嵌入剪刀，品牌服務性質一目了然
 ‧荷蘭服飾商標大玩網格變化，十款設計異中有同
 ‧日本美髮將字母化身鳥窩，探頭小鳥令人小確幸破錶

③IT類─行動支付、線上媒體、人工智慧、票務平台、網路行銷、搜尋訂購APP
 ‧開關按鈕置入防護盾牌，安防監控零失誤
 ‧新創產業咖啡訂購APP，WiFi變身拉花奶泡
 ‧雜訊突波黑白像素，統一設計讓網路行銷人人懂
 ‧PIN碼解鎖圖像入商標，歐洲行動支付很安全

④文化類─博物館、藝術空間、藝術節、電影公司、歌劇院、學校課程
 ‧黃金比例，塑造芬蘭文化藝術組織經典感
 ‧是字母也是圖框，靈活的商標容器，精準傳達教育可塑性
 ‧水面倒影的創意字，成為奧地利湖畔音樂節的關鍵字
 ‧極簡風格設計，墨西哥藝術節將現代藝術再拉近年輕世代
 ‧電影銀幕商標化，電影節可大可小的靈活載體

"
9789864768578,"

「日經設計」長期對商品的追蹤調查資訊讓你得以一窺長銷與熱賣商品的重要包裝策略看暢銷品如何用包裝來圈粉，讓世代都埋單！．30年以上的品牌透過更新策略讓業績大幅成長的方法？．創立至今一百年，未曾改變過LOGO，卻能持續熱賣的品牌要如何包裝？．兼顧與商品一同成長的消費者，同時又能融入新世代的策略是？這才是傳達產品，引人注目的設計關鍵！讓商品長銷與熱賣的最快策略就是學習「經典」！成為長銷商品，必定有持續存在、受到喜愛的理由。當然，商品本身一定是受到消費者支持的，但是其中也少不了確實將特色傳達給消費者，並能引導出商品魅力的包裝設計。本書詳細剖析在推出長銷商品的過程中，各個企業企劃與執行了何種商品策略，同時在包裝與溝通設計上，下了哪些工夫，才能成為長期屹立不搖的長銷品牌。書中利用豐富圖解說明包裝設計的變遷，探究在何時、何種契機下，改變了設計。跨越時代藩籬，仍維持不變的本質為何？相對而言，必須配合時代變遷而更新的又是哪些部分？只要看過這本書，就可以瞭解該以何種基準來做判斷。期盼企業長期受到愛戴的人，應該怎麼做？在開發、培育商品的方法中，有沒有什麼訣竅？甚至設計及廣告策略等，本書都囊括在內。相信對從事企劃、行銷或設計等工作的你，將有相當大的助益。
                    
"
9789573283300,"


《一種尺寸不能適合所有人》讓你大開眼界
改變你觀察設計的方式


	本書從服裝、產品和空間規劃三方面切入，提醒大家設計如何形塑我們的生活，書中列舉多項產品設計長期以來隱藏著對性別、年齡、體型的偏見，對使用者並不友善，導致消費者徒增煩惱與挫折，嚴重的話還可能引起傷害，甚至死亡。

	作者除了提供實際的案例分析，進一步推薦設計上對所有人都有益的產品，讓我們能應對每日所遭遇的不良設計，進而做出更聰明的選擇，成為通達睿智的消費者。

	未來設計已朝著為消費者量身訂作前進
	．3D身體掃描儀可以測量人體大約30萬個數據，讓消費者虛擬試穿
	．白天是適合走路的低跟女鞋、晚上可調整成參加正式宴會的時尚高跟鞋
	．運用講台的機械裝置就能輕鬆調整高度，讓從127～213公分的講者都能自在演說
	．德國一間超市的創新推車設計，裝了放大鏡還附有座位
	．公廁洗手台加裝「踏上去洗一洗」設備，讓幼兒自己洗手，爸媽也鬆一口氣

"
