ISBN,書籍簡介
9789860663402,"


告別基礎＆沒fu老梗，幫你提升點閱率＆接案量

	《留白的設計美學》系列書，日本暢銷20萬本
	▌這一本最受歡迎，一上市立銷2萬冊！▌

	只懂留白，還不夠，會做版面，太基礎

	快跟上日本潮流，學會最NEW清透版面訣竅
	只有輕快放鬆的視覺，才能匯集人氣和買氣！！
	日本正流行──充滿隨興感的清爽畫面
	別讓你的版面正經八百，給人壓力

	日本人正搶著學的BN｜海報｜書封｜版型｜ＤＭ｜網頁新設計
	Before & Aftert 大不同，一針見血NG版┼5款OK版┼MORE延伸祕技 ！

	繼《留白的設計美學》、《字型設計學》、《版面研究所》後
	台灣2020年度設計暢銷書系，作者最新力作！


▌給接案量和銷售量，需要升級的你～
	1. 有瓶頸的平面設計師
	2. 書籍、DM、網頁、社群……編輯&小編
	3. 設計系學生  
	4. 行銷、業務企劃

	》》觸及14種常用主題──居家˙服裝˙精品˙食品˙活動˙甜點˙餐飲˙旅遊˙手錶˙展覽˙酒品˙美髮˙商務˙百貨
	》》提點15類日常設計──網站首頁｜下載網頁｜促購ＢＮ｜百貨ＤＭ｜店面菜單｜折扣海報｜講座傳單｜展覽海報｜燈箱廣告｜雜誌封面｜書店海報｜季節促銷｜新品上市｜甜點包裝｜餐飲ＰＯＰ

	老闆說一個字都不能刪！但資訊量太多，該怎辦？想讓標題更搶眼……？嗯…要怎麼做才好呢？想讓版面更可愛，除了放可愛素材，還能做什麼？我以為用黑色調統一版面最簡潔，結果看起來超單調無聊……明明照書做，為什麼我的設計還是看起來好死板？
	我的提案老是被打槍，接案有一搭沒一搭，快沒自信了
	嗚～我想掌握更多可以提升設計質感的訣竅！

	已經具備一定程度的平面設計師，在掌握字型與留白要領後，最大的煩惱就是無法突破現狀，不同類型有不同訴求，從訊息型的商務廣告、活動訊息到訴求質感的生活風格、奢華精品，從活動宣傳dm、咖啡店菜單、講座海報、商品傳單、雜誌封面到特賣會banner，書中都分門別類，一一傳授真正能打動人、吸引消費者的設計 know-how
	告訴你到底怎麼做，作品才有風格，案主業績好，讓你案子源源不絕

▌升級你的設計腦，別再停留在老派LOW設計
	✕粗框搶眼 vs ○細線細框是王道
	✕漸層酷炫 vs ○條紋圓點超好用
	✕色塊清晰 vs ○水彩漸層有質感
	✕方框簡易 vs ○有機框形更有型

▌原來平面設計也有潮流趨勢
	邊框和絲帶是最常見的細部裝飾，若想有品味，在使用這些元素時，就必考量形狀、顏色，及所呈現的質感。設計是有潮流趨勢的，即便只是細部裝飾中的某個小細節，一旦形狀或是呈現手法過時，就會讓整個設計LOW掉～。而這幾年流行的是畫面清爽、充滿隨興感的設計趨勢。
	當然，並不是說只要採用了時下所流行的細部裝飾，就必定能達成好的設計。根據所主打的客群以及設計風格進行調整，靈活地變化所運用的細部裝飾才是最重要的。

▌「簡單」跟「缺乏用心」截然不同，微調就有差的新感覺設計 Tips
	˙即使粗體字，只要做成中空字，就會變得輕巧
	˙將線條調整為粗細不一，能為版面增添變化
	˙運用圓點跟條紋，輕鬆感立刻UP
	˙善用手繪素材，有助親切感滿分
	˙寫實質感，能大幅增添商品質感&魅力
	˙刻意降低留白空間，版面熱鬧又有活力
	˙想要高級感，快用大理石紋理或立體效果

▌前所未見，一本聚焦於細部裝飾的設計參考書
	本書將常見的困擾以及解決方法依照主題分類，透過6頁的篇幅來介紹各個範例，並說明細節修飾手法的發想可能、版面設計、字型選擇、配色，以及作品給人的印象等。

	●時尚風格（活動宣傳DM、咖啡店菜單…）
	●流行風格（特賣會橫幅廣告、店家傳單…）
	●自然風格（地方縣市宣傳海報、商品傳單…）
	●商管風格（研討會傳單、書籍POP廣告…）
	●公共設計風格（市民講座海報、手機App登陸頁面…）
	●少女風格（時尚雜誌封面、甜點外包裝…）
	●和風設計（日本酒活動傳單、日式料理POP廣告…）
	●季節性風格（暑期旅遊橫幅廣告、聖誕節蛋糕傳單…）
	●奢華風格（高級手錶廣告、度假飯店手冊…）等

▌這些才是符合時下潮流的細節手法
	1.    隨興清爽
	2.    風格營造
	3.    質地修飾
	4.    強力資訊
	5.    文字裝飾
	6.    對比細節
	7.    觀看焦點
	8.    律動活潑

"
9789860688290,"


本套書組合：《微調有差の日系新版面設計：告別基礎＆沒fu老梗，第一本聚焦「微調細節差很大」，幫你提升點閱率和接案量的設計參考書》、《日本版面的法則：大師級解密，最好用的分解圖，從版型、字體、色彩、留白到配圖，帶你學好、學滿》

	日系版面設計の法則&升級祕技靈感大全

Before & After 大不同
一針見血NG版┼5款OK版┼MORE延伸祕技 ！
+
最好用的分解圖 × 原創者專業解析
100+商業案例 × 5大版面要素分解圖

快跟上日本潮流，告別基礎＆沒fu老梗，幫你提升點閱率＆接案量
再輕飄的風格都能緊緊抓住，再蹦跳的風格都有規則可循！

	《微調有差の日系新版面設計》——
	告別基礎&沒fu老梗，第一本聚焦「微調細節差很大」，幫你提升點閱率和接案量的設計參考書

《留白的設計美學》系列書，日本暢銷20萬本
▌這一本最受歡迎，一上市立銷2萬冊！▌

只懂留白，還不夠，會做版面，太基礎
只有輕快放鬆的視覺，才能匯集人氣和買氣！！
日本正流行──充滿隨興感的清爽畫面
別讓你的版面正經八百，給人壓力

繼《留白的設計美學》、《字型設計學》、《版面研究所》後
台灣2020年度設計暢銷書系，作者最新力作！

	▌升級你的設計腦，別再停留在老派LOW設計
	✕粗框搶眼 vs ○細線細框是王道
	✕漸層酷炫 vs ○條紋圓點超好用
	✕色塊清晰 vs ○水彩漸層有質感
	✕方框簡易 vs ○有機框形更有型

	▌原來平面設計也有潮流趨勢
	邊框和絲帶是最常見的細部裝飾，若想有品味，在使用這些元素時，就必考量形狀、顏色，及所呈現的質感。設計是有潮流趨勢的，即便只是細部裝飾中的某個小細節，一旦形狀或是呈現手法過時，就會讓整個設計LOW掉～。而這幾年流行的是畫面清爽、充滿隨興感的設計趨勢。
	當然，並不是說只要採用了時下所流行的細部裝飾，就必定能達成好的設計。根據所主打的客群以及設計風格進行調整，靈活地變化所運用的細部裝飾才是最重要的。

	▌「簡單」跟「缺乏用心」截然不同，微調就有差的新感覺設計 Tips
	˙即使粗體字，只要做成中空字，就會變得輕巧
	˙將線條調整為粗細不一，能為版面增添變化
	˙運用圓點跟條紋，輕鬆感立刻UP
	˙善用手繪素材，有助親切感滿分
	˙寫實質感，能大幅增添商品質感&魅力
	˙刻意降低留白空間，版面熱鬧又有活力
	˙想要高級感，快用大理石紋理或立體效果

	▌前所未見，一本聚焦於細部裝飾的設計參考書
	本書將常見的困擾以及解決方法依照主題分類，透過6頁的篇幅來介紹各個範例，並說明細節修飾手法的發想可能、版面設計、字型選擇、配色，以及作品給人的印象等。

《日本版面的法則》——
大師級解密，最好用的分解圖，從版型、字體、色彩、留白到配圖，帶你學好、學滿

原研哉、古平正義、木住野彰悟、田部井美奈、佐藤大介、棈木寬和、羽田純
大師帶你看懂法則背後的創作原理

群組關係∣幾何規劃∣文字走向∣版面軸心∣放射或漸變∣
留白∣對稱或重覆∣色域選擇
這些「基礎問題」，都是破解千變萬化的日式版面之道

	▌8大平面手法，活潑運用，變化無窮
	重複──相同元素重複布局。
	近似──多個相似元素組合，形成相關性。
	漸變──一個元素有規律地變化。
	放射──以一點或多點為中心，向四處擴散或向中心聚集。
	軸向──將模組元素布局於中心點周圍或其兩側。
	密集──基本元素自由排列，形成疏密不一的畫面。
	對比──任何的大小、方向、疏密、虛實、造型、色彩、肌理等都能構成對比效果。
	節奏──重複的主題或元素在規則或不規則的間隔上出現。
	「不會固定持續地喜好單一的價值觀，這也是日式審美意識的特色吧。」

	▌分解圖畫出來，秒懂日式版面法則
	日式版面風格為何跨度如此大？可極簡療癒，也可極盡華麗搞怪，該正經時又能質感超群。日式版面超前時代一小步的破格驚艷感，並不只是「民族特技」；從「平面構成、文字排版、色彩、留白、圖像」五大排版要素，從布局、幾何規劃到文字方向，直接畫給你看，一目瞭然，破譯日本版面美學：

	‧圖像如何超魄力？試試將圖像反過來當成「尺規」，用圖像來定義版面配置
	‧文字滿版縱橫還能「超整齊」又「超易讀」？其中暗含了「負空間」的運用
	‧版面如何強勢擄獲視覺？試試將本該隱形的排版法則直接「具像化」
	‧文字の低調即亮點：思索版面的視覺閱讀順序，就能在版面最低調處找到最亮眼的位置

	▌五大排版要素，深入日式版面邏輯
	‧版面構成
	為何要用「□△○」幾何圖形創造「網格中的網格」？當版面上文案滿布，利用「重複」與「字體大小對比」，落落長文案秒變最有力的「圖像表現」！
	‧字體排版
	書籍內頁設計如何呼應封面設計？字的哪種「排列隊形」可以創造千斤壓頂感？字時下流行的中英融合字如何做到「絕不硬拗」？
	‧色彩
	如何利用色塊的組合與對比打造海報的「空間感」？復古風配色搭上Risograph印刷機的「錯位」效果，是內行人必懂的超絕應用？使用超過十種顏色，版面依然乾淨明亮？日式版面如何思考色彩與印刷材質效果？
	‧留白
	留白不是憑直覺，利用網格來「算」留白比例？留白時的視覺焦點與視覺動線如何安排？留白何時用於突顯焦點，何時用於締造想像空間？
	‧配圖
	圖像看起來好像在動，Z字排列＋「
                    
"
9789576583056,"


設計的構成，版面很重要！
懂變化！才能跳脫設計束縛！

	 

｛擺脫不會呼吸的排版｝
	45個設計訣竅+270個實際範例，
	記下關鍵特徵，快速靈活運用，
	設計這條路上，你永遠超越別人！


	【內容簡介】 

本書將會成為你踏上設計路上的口袋名單！
熟記45個設計訣竅，讓你的訴求脫穎而出！
	作者特別嚴選市場最好看、最受歡迎的版面設計，並將其歸類整理成45個方法，再透過270個平面設計範例加以解說，
	如海報、DM、POP、小卡、書封、雜誌、包裝、Menu……等。
	書中蒐羅了45種讓人看到的瞬間，就脫口說出「我看過！」的排版設計，分別以4頁的版面介紹6個實例＆解說。
	而設計通常是由多種要素組成，因此本書會針對實際範例加以解說，標明用到的慣用排版，讓大家更容易了解。
	這樣腦中邊浮現本書介紹的關鍵句時，你就能夠輕易又快速地完成設計。同時也增加版面設計的壓箱寶!

	 

	讓我們一起來增加設計的壓箱寶吧！獻給最適合的你～
	1.剛入行的平面設計工作者 2.書籍、網頁、社群……等編輯工作者 3.設計系學生  4.行銷、業務企劃

"
9789578472648,"


好設計的90%取決於「留白」。
	空白，是「創造」出來的！要留下空間，做成減法設計！


治好空白恐懼症！

	X「密密麻麻」的版面給人廉價、不專業的印象
	X害怕「空蕩蕩」的版面，而做成不上不下的設計最糟了
	O大量的留白給人簡單洗鍊的印象
	O有足夠的留白，資訊就會清楚而容易閱讀

	許多人在開始做版面設計時，只要畫面上有空白處就會不禁地想要填滿它。為了填滿空白，而將文字字級放大、在區塊內塞滿資訊，但這麼做就不是清楚而易讀、設計高雅的版面了。為了將想傳達給讀者的資訊傳達得更好，要留下空白，如此一來就能大幅提升設計的質感。不要害怕留白！只要活用留白部分，就能做出更清楚、更高雅的版面設計！

留白≠空白

	在版面設計上，留白指的是「沒有文字或裝飾的部分」。留白是留出空間、留出版面的呼吸感，而非留下白色。
	>>>留白能襯托主角、突出資訊。
	>>>活用留白，就能巧妙引導閱讀者的視線。
	>>>滿版的照片不等於沒有留白！
	>>>運用留白分類，設計會更俐落有質感。
	>>>留白能提升觀看者對資訊的理解度！

	本書為著重在如何運用「留白」為主題的版面設計書，包含海報、傳單、POP、宣傳手冊、剪報資料、公司簡介、名片等等，用各種各樣的範例介紹解說設計的NG/OK，對於運用留白的方法、排版、選擇字體、配色等等，從各種角度做出確切的建議，將普通的設計變成時尚的設計，揭載立刻就能使用的留白設計訣竅。

	巧妙運用留白，設計就能給人高雅、俐落、時尚的印象。掌握留白的技巧，就能作出更有質感的設計！！一起來學習活用留白的版面設計吧！

"
9789863125839,"


 33 種基本 LAYOUT 圖解 × 平面設計案例解析，新手也能快速掌握版面設計！

 為什麼做出來的 LAYOUT 總是千篇一律、死氣沉沉？
 費盡心思排了各種版型，為什麼客戶還是不滿意？
 這時候你不妨回頭想想：排版的目的到底是什麼？

 本書作者在首章就直接闡明：把版面做好，無非是為了用淺顯易懂的方式傳達訊息。
 至於要傳達什麼訊息？要如何傳達？如何用你的設計技巧包裝訊息？
 這才是設計師們應該要思考的事情，也是本書最想要教你的。

 本書由日本東京 ARENSKI 設計事務所的資深設計師撰寫，
 他們長年從事雜誌、書籍、型錄、廣告、網站等跨領域設計工作，
 在書中將多年累積的 LAYOUT 知識與實戰經驗
 整理成清楚的法則與版面圖解，
 幫助你快速學會 LAYOUT 的 Know-how！

[以下節錄自本書結語]
 記得我剛成為平面設計師時，常常感到煩惱，因為無法將自己的想法落實到設計中。現在我回想起來，或許是因為當時的我，還沒有徹底瞭解「排版」這件事的真正目的吧。

 排版的真正目的，是運用設計傳達訊息。為了提升這種能力，必須先理解排版的基本原則，根據目的分別運用相關技巧。只要能掌握各種與排版有關的法則，結合你個人的創意，一定可以創造出前所未有、充滿魅力的設計。設計沒有標準答案，倘若這本書能成為激發你設計靈感的契機，我將深感榮幸。

PART 1 版面設計的 2W1H 法則
 解析版面設計與目的之關聯性，找出最能傳達訊息的排版技巧。

PART 2 排版的原則
 整理出 3 個關鍵字與 8 個原則，解析在設計現場立刻能派上用場的排版原則。

PART 3 版面設計創意解析
 用簡單易懂的圖解說明 33 種排版技巧與設計範本，以實例說明活用方式與效果。
 從基礎的經典素材到時下流行的設計，囊括了各式各樣的版面創意。

 透過按部就班地學習及具體操作，你將徹底學會「如何編排出能傳情達意的版面」。
 在學習技巧之虞，本書豐富的範例也能幫助你尋找創意靈感，活用在各類主題的設計中。

本書特色
  
 ★基本版面 / 活潑版面 / 強弱對比版面 / 符合影像風格的版面 / 符合目標對象的版面...
 這種版面要怎麼做？你知道嗎？專業設計師帶你各個擊破！

 ★知名美妝雜誌版面 / 品牌廣告海報 / Landing Page 版面...
 以作者親自規劃的商業案例帶你窺探工作現場的版面設計流程

"
9789576584237,"


第一本教你成功擄獲女性眼球的版面設計！
	53個讓女人下單的設計關鍵！

	 
｛成功挑動女性的目光｝
	【9大風格】女性不是只有可愛才買單，提供9大最受女性喜歡的設計風格。
	【53個版面設計】掌握關鍵5要領，Layout、配色、字型、案例、NG/OK對照，從設計元素中獲得技巧。
	【超過200個精采案例解說】實際案例解說，讓你吸取箇中精華，強化自己設計點子。
	 
大人女子設計
	一眼就抓住女性眼球！
	 
	市面上充滿著瞄準女性族群的商品，且女性購物力就是比男性強！
	大部分產品都以女性族群為主訴求，只要設計成功推出，產品就能吸引更多消費族群。
	該如何用設計抓住這些物慾高且眼光又挑剔的女性呢？
	本書透過9大風格、53個版面設計，再搭配超過200個精采案例解說，讓你精準抓住女性族群，征服女人心！
	 
	每一個主題都會以4頁的篇幅，搭配淺顯易懂的說明介紹重點。
	只要掌握關鍵5要領，Layout、配色、字型、案例、NG/OK案例對照，就可成功讓女性下單。

"
9789860663457,"


【大師級解密，破譯日本版面美學】

	最好用的分解圖 × 原創者專業解析
	原研哉、古平正義、木住野彰悟、田部井美奈、佐藤大介、棈木寬和、羽田純
	大師帶你看懂法則背後的創作原理

	群組關係∣幾何規劃∣文字走向∣版面軸心∣放射或漸變∣
	留白∣對稱或重覆∣色域選擇
	這些「基礎問題」，都是破解千變萬化的日式版面之道

	不只驚嘆日式版面的破格演出，各類平面領域一道通關
	100+商業案例 × 5大版面要素分解圖
	再輕飄的風格都能緊緊抓住，再蹦跳的風格都有規則可循


▌沒學會，每次設計都要重新來
	各種平面設計領域一次打通，從電影海報、書籍設計到餐廳menu、音樂節門票、保養品、服飾品牌廣告、徽章設計，各行各業，各種風格，各種平面大小，一一示範拆解千變萬化的日本版面之道。如何讓落落長文案秒變最有力的「圖像表現」？商標位置怎麼放？字體風格怎樣與產品搭配？色彩如何表達商品訴求？俗艷的漸變色有哪幾種「正確使用方式」？如何使用超過十種顏色，版面依然乾淨？不同商品的適用色域其實有跡可循？「留白」不是唯一妙計？學會日本也很會的超密麻排版才是真高手？留白何時用於突顯焦點，何時用於締造想像空間？字體的筆劃撇捺怎麼拉，才能給出正確心理暗示？

▌8大平面手法，活潑運用，變化無窮
	重複──相同元素重複布局。
	近似──多個相似元素組合，形成相關性。
	漸變──一個元素有規律地變化。
	放射──以一點或多點為中心，向四處擴散或向中心聚集。
	軸向──將模組元素布局於中心點周圍或其兩側。
	密集──基本元素自由排列，形成疏密不一的畫面。
	對比──任何的大小、方向、疏密、虛實、造型、色彩、肌理等都能構成對比效果。
	節奏──重複的主題或元素在規則或不規則的間隔上出現。
	「不會固定持續地喜好單一的價值觀，這也是日式審美意識的特色吧。」

▌分解圖畫出來，秒懂日式版面法則
	日式版面風格為何跨度如此大？可極簡療癒，也可極盡華麗搞怪，該正經時又能質感超群。日式版面超前時代一小步的破格驚艷感，並不只是「民族特技」；從「平面構成、文字排版、色彩、留白、圖像」五大排版要素，從布局、幾何規劃到文字方向，直接畫給你看，一目瞭然，破譯日本版面美學：

	‧圖像如何超魄力？試試將圖像反過來當成「尺規」，用圖像來定義版面配置
	‧文字滿版縱橫還能「超整齊」又「超易讀」？其中暗含了「負空間」的運用
	‧版面如何強勢擄獲視覺？試試將本該隱形的排版法則直接「具像化」
	‧文字の魄力不猶豫：大膽加底線、加橫幅、或讓字直接超出版面
	‧文字の低調即亮點：思索版面的視覺閱讀順序，就能在版面最低調處找到最亮眼的位置
	‧系列海報中一眼即辨的「孿生感」從何而來？請大膽套用「互補色」
	‧版面中的寫實照片太過突兀？看日式版面如何讓它「圖像式地」與版面融合

▌五大排版要素，深入日式版面邏輯
	‧版面構成
	「重覆、近似、漸變、放射、軸向、密集、對比、節奏」等版面技巧如何排列組合？採用「對角構圖」就能為平面創造出布料般的「密織感」？為何要用「□△○」幾何圖形創造「網格中的網格」？當版面上文案滿布，利用「重複」與「字體大小對比」，落落長文案秒變最有力的「圖像表現」！

	‧字體排版
	字體圖符化的訣竅就藏在「傳統寫法」裡？書籍內頁設計如何呼應封面設計？字的哪種「排列隊形」可以創造千斤壓頂感？字體的筆劃撇捺怎麼拉，才能給出正確心理暗示？時下流行的中英融合字如何做到「絕不硬拗」？

	‧色彩
	如何利用色塊的組合與對比打造海報的「空間感」？俗艷的漸變色有哪幾種「正確使用方式」？哪種形狀的構圖與配色，適合創造「鏡象感」？復古風配色搭上Risograph印刷機的「錯位」效果，是內行人必懂的超絕應用？使用超過十種顏色，版面依然乾淨明亮？日式版面如何思考色彩與印刷材質效果？

	‧留白
	留白不是憑直覺，利用網格來「算」留白比例？留白時的視覺焦點與視覺動線如何安排？留白何時用於突顯焦點，何時用於締造想像空間？

	‧配圖
	圖像看起來好像在動，Z字排列＋「近大遠小」概念就能創造縱深動感？如何有效運用主視覺旁的「裝飾性紋樣」？圖像細節刻意缺失，更能增加想像空間？「像素」除了是風格，也要能是版面各元素間的「過渡」？華麗圖像沒祕密，一個圖像竟能同時採用「手寫字、手繪插圖、向量繪圖、產品實物照」超雜燴手法？

"
9789864014705,"


廣納30項全方位主題．120 種詳解範例
	1 個文案、6 大主題、4 顆不同的設計腦
	比稿形式，多款設計排版，強力拓展靈活思維
	美食、美容、旅行、生活……各類商業設計的絕佳破題技術


同樣的素材與文案，呈現出來的設計竟然如此截然不同！

	設計人好苦惱！
	與客戶開會時，業主猶豫不決卻又毫無頭緒……
	如果不提供多款選擇的話可不行！
	但版面與設計還能玩出什麼樣的花招呢？
	就算每一件作品都是「OK」的設計案，
	要如何從多款設計中脫穎而出，成為獲得客戶青睞的「正解」呢？

	想討論出設計方向的共識時，
	不妨翻開這本書，讓我們幫助各位找到「正解」。

	別具特色的書籍呈現方式，一項主題對應四種不同的設計版面
	1.    充分解說每份設計案的表現重點。
	2.    多方延伸不同細節的呈現方式。
	3.    框列舉出實用範利的強調風格。
	4.    最後將設計案依設計師分類，凸顯個人魅力及解說四種峰個迥異的專業手法。
	業內人士必備工具書，初學者首選參考範本，一目了然的設計書！

四種不同風格──同期夥伴的設計風格比稿大集合！！！

	1.    大塚　桃子
	【性格】
	感性優先的可靠姊姊
	大而化之，為人不拘小節又爽朗
	【擅長的設計】
	照片印象為主體，視覺鮮明．風格強烈

	2.    青山　幸輔
	【性格】
	表裡如一的直腸子
	行動機敏，工作效率高
	【擅長的設計】
	文字表達為主體，豪邁排版．訴求直接

	3.    黃楊　花凜
	【性格】
	隨心所欲的和平主義者
	喜歡好吃的東西、可愛的小動物
	【擅長的設計】
	平易近人的設計，文創手繪．塗鴉插畫

	4.    瀨川　紫恩
	【性格】
	一絲不苟的穩紮穩打型
	熟絡之後，會發現他其實很健談
	【擅長的設計】
	對齊工整的設計，講求方正．沿點格線

	設計不會只有一種完美解答。

	使用同樣的素材、同樣的文案，會因為設計師的風格及觀點，巧妙呈現出不同的效果。

	提出滿足客戶需求的方案，同時也要清楚自己的設計是為了達成什麼目的，並竭盡所能將欲傳達的訊息，活靈活現的傳遞給觀看者。

	設計師實際在工作時，每一個CASE 都需要提出多款方案供客戶挑選。

	本書為了靈活因應這種要求，能在設計時敞開多方式，提供設計師在腦中可以全方位準備的超應用點子。

"
9789865114855,"


	現在是個最能體現「傳單（flyer）」意義的時代。

	把宣傳單放置或張貼在各個地方，

	資訊就會「飛也似的」立刻透過網站或社群媒體「傳」出去。

	只要短短一瞬間的工夫，我們便能經由某人的分享得知活動資訊。

	在拿到實體的宣傳單之前，會先看到宣傳品的圖片。

	現在就是這樣的時代。

	 

	宣傳單的地位非常有意思，

	不僅具備「通知」大眾的宣傳作用，也可以當作一種「表現」。

	尤其在網路肩負起大部分的「傳播」任務後，

	有越來越多的設計師嘗試兼顧「通知」與「表現」，

	不讓宣傳單只作為「傳播」用途。

	本書收錄了100個可窺見這種可能性、充滿魅力的宣傳單實例。

	 

	在介紹各個實例時，皆會簡單說明宣傳活動的概要，

	並根據設計師回覆的問卷內容來解說設計意圖。

	另外，關於字體與排版等構成表現的元素，也會挑重點進行說明。

	各位讀者應該能從這些實例深刻感受到，設計師對於活動有什麼樣的理解，

	以及在「宣傳」與「表現」之間上演的拉鋸戰。

	 

	除此之外，也從本書提及的設計師當中選出4組進行專訪，

	與他們從宣傳單的製作談到設計師的態度。

	期盼本書能為現代宣傳單設計提供一些建議與指引。

	 

	一起來製作「即使看過網路消息、即使活動結束後，還是好想收藏」的傳單、海報吧！

	 

本書特色
	    
	◎在數位訊息搶灘的時代下，宣傳單有著什麼樣的作用與表現呢？本書精選100個打動人心、精彩出眾的宣傳單實例，詳盡介紹設計概念並解說設計重點。

	◎案例囊括展覽會、舞台表演、電影、各式活動等廣泛領域，供平面設計者、行銷人員、發想創意者或企業領導者從中找尋靈感。

"
9789863126300,"


最好懂的「OX 系列設計書」又來啦！
	A 案、B 案，哪個比較好？
	透過簡單的「O 與 X」比對圖，
	讓你秒懂商業簡報 / 社群貼文 / 廣告傳單的設計眉角，
	記好重點法則，你也能做好設計！

	 

	你是否有這樣的煩惱？
	「用心做了廣告傳單，但是宣傳效果很差」
	「別人的簡報好專業，我的簡報看起來很俗」
	「FB 圖片不吸引人，粉絲都不按讚」

	你的心聲，我們聽到了。
	社群時代，每個人都有機會透過自己的 FB 或各種自媒體傳達訊息或宣傳商品。如何透過美觀、易懂的呈現方式，將想法傳達給觀眾，讓觀眾對你印象深刻呢？這就需要加強「資訊設計」的技巧。「資訊設計」簡單說，就是將資訊加以整理、編排成吸引觀眾的形式，讓觀眾更想看，也更容易看懂。我們常看到的懶人包解說圖、簡報、FB上的好笑圖文，都可以算是資訊設計。這要怎麼學呢？

	 

	作者不講艱深的理論，而是透過簡單的問答，引導你思考：
	「A 案、B 案，哪個比較好？」
	比對各問題的答案和解說，加上作者補充的設計知識，還有帶你實際用軟體練習，你一定就能快速提升自己的設計能力，製作出傳達效果更好的設計。

本書特色

	★ 40 個「X」和「O」問題，帶你動腦思考
	讀這本書就是要跟著想，到底是哪個比較好？剛開始你可能會猜錯，但是隨著某些重要原則不斷重複出現，相信你一定會慢慢記熟。比如說，不要把文字塞滿版面，標題文字應該要突顯出來、配色要符合主題、圖片應該放哪裡......。不知不覺間，答對的次數應該會慢慢變多喔！

	 

★ 用 PowerPoint 也能教你做設計！
	教練！我想學設計...可是我只會 PowerPoint 怎麼辦？
	誰說不可以？
	本書是為了完全沒學過設計的讀者量身打造，
	因此連範例也是用人人都會的 PowerPoint 簡報來示範。
	你可別小看 PowerPoint，作者透過它，同樣能教你構圖、字體編排、版面規劃、編排照片和設計圖表喔！

	 

★ 不只猜謎，還有觀念解說和練習題
	本書共 40 個問答題，前 20 個問題(第 1~4 章) 有詳細觀念解說，後 20 個問題 (第 5 章) 則是範例演練。
	前 4 章各單元的結構如下：
	(1) A 案 & B 案 問題呈現
	(2) 公布答案，說明 NG / GOOD 的理由
	(3) 設計的原則：本單元要學的設計原則
	(4) PowerPoint 的操作說明：如果要在簡報裡運用這個原則，該怎麼做？
	(5) 萬萬不可的 NG 例：一般人最容易發生的問題以及改善方法
	(6) 自我練習：每章最後提供練習題，讓你測試自己學會多少

"
