ISBN,書籍簡介
9789571392431,"


設計創作、服裝搭配、美妝美甲，

熱愛色彩、生活美學者，

絕對不能錯過的最佳配色書！

超人氣日本紙膠帶品牌mt設計師，

親自傳授配色祕訣的超強美學。

	 

	依照流行、軟性等風格別、春夏秋冬等特殊節日等季節別、色相等色彩別為分類，搭配出使用頻率最高的110項關鍵配色提案。是由masking-tape「mt」美術設計團隊─iyamadesign正式公開的配色工具書。

	 

	本書更刊載了1500款以上、以2-4色分別組合配色與設計案例，並且在各種顏色上標是印刷用CMYK、螢幕用RGB以及WEB用色彩數值。使用者只要參考數值使用，就能習得MT設計師的搭配功力。

	 

	本書分類

	為各種配色區分了3種類別、110項關鍵字、1500款配色建議

	》》風格別：甜美風、普普風、優雅風、天然風、清透風、冷冽風、簡約風、闇黑風、國家與地區

	》》季節別：春、夏、秋、冬

	》》色彩別：紅─橙、黃─褐、綠、藍、紫、無色系

	 

本書特色

	 

	★知名的mt紙膠帶設計者親自傳授的色彩美感

	★先詳細以 12 色環和色調圖進行配色相關解說

	★每種配色模組裡，加進可以產生聯想的照片

	★色彩數據包括CMYK、RGB 模式和6位數網頁色彩

	★平面設計、網頁設計、其他色彩領域工作者都適用

	★有助於培養生活美學與設計美感，訣竅輕鬆掌握

	 

"
9789869939287,"


設計師、文案企劃都適用
	方便好攜帶的配色手帳
	讓你出稿速度翻倍


★只寫你需要的★

	這是一本在各種場合中都能派上用場，可以自在使用的配色書，為大家帶來配色靈感及創意。

	很多時候，我們會陷入配色困境，因為缺乏大量系統性整理、歸納，容易迷失在龐大的色碼中找尋不到方向，這個時候，你一定會希望有一本「配色大全」，本書便是這樣的作用。

	共有9種類色彩意象群組，明文記載CMYK、RGB值，由1,086個原創色彩構成125組配色調色盤，與版本多樣化的配色樣本2,500款。

	依循主題之間的意象關鍵字、每個顏色的特徵，同時簡潔說明調色盤的配色重點。這些多采多姿的主題與其表現，可以作為行銷及設計現場中的溝通工具，同時也能在宣傳發表的時候派上用場。

	為包裝、禮物、雜貨企劃、圖像、時尚、室內裝潢及磁磚配色等配色企劃提供靈感。也可以作為個人興趣的手工藝配色來源。將色彩具有的可能性放到最大，讓大家都想放在手邊的一本書。

	書末的附錄能夠在植物、動物、蔬菜、料理、點心、珠寶飾品、自然、神話、傳統等共15個分類當中尋找出想使用的意象顏色，非常方便。

	沒有多餘教學，簡潔明瞭，適合資深設計師或入門新手，無門檻限制，隨翻隨用！

★九種分類掌握大方向原則★

	本書在眾多配色系統中，幫你歸納出顏色的第一印象，在僅能知道標題時，先依照第一印象搜索，對比同系列中接近的主題，運用色彩代碼配出理想組合，亦有二色三色四色五色的配色範例，以及單色下方有簡短文字解說，可以激發靈感，成為文案的根據。

	Category 1 可愛、溫柔、爽朗的印象配色群組
	Category 2 開朗積極、活動性、POP感配色群組
	Category 3 穩健令人安心、引人放鬆的配色群組
	Category 4 優雅高貴溫和印象、具簡潔感的配色群組
	Category 5 醞釀出自然、沉穩、寂靜的配色群組
	Category 6 傳統古典印象、給人安穩感的配色群組
	Category 7 狂野異國風、使人感受力道的配色群組
	Category 8 幻想神秘、飄盪謎樣氣氛的配色群組
	Category 9 簡單又時髦、予人清晰明確印象的配色群組

★配色相關知識及工具★

	雖然本書並非教科書，但仍有配色基礎知識概念，幫助你在配色的選擇上更明確掌握自己想要的方向，另外有所有色彩的目錄一覽表，可以直覺式先挑選自己感覺相近的顏色，再到該頁面去參考其他同套配色，以及關鍵字索引，引領你從文字進入色彩，逆向思考，是一本多種方式使用的簡易手帳。

	協助配色的基礎知識
	色彩目錄
	關鍵字索引

★特別附上配色選用卡★

	將配色選用卡從底紙上取下，將空格對在配色樣本或者配色調色盤個別的顏色上，就能夠確認特定的顏色或配色而不受其他顏色影響。另外，也可以藉此區分出顏色在黑色、灰色、白色（使用卡片背面）的背景當中，顏色會因背景明度而產生何種變化。

"
9789573289470,"


	★獨家豪華收錄：32頁基本色×特殊色演色表，
	正7色+反7色精美印刷校色，
	完整呈現16色基本色×金．銀．螢光粉紅調色效果！

	日本設計師的配色都這樣用！
	5大主題解說×56種情境配色應用×193則實例演示
	涵蓋雜誌、書籍、型錄、廣告、網站設計
	一本隨看即用的最實用配色指南

	▓透過色彩，讓你的設計會說話

	比任何東西更先映入我們眼簾的，就是「顏色」。

	根據使用的方式不同，顏色能夠喚起感情與想像，也能夠引發心理作用，讓人們留下印象，對設計而言是不可或缺的工具。

	做設計時，您是否曾有以下的煩惱？
	l想讓特定物體更加顯眼
	l想做出遠近感和立體感
	l想為商品形象加上印象
	l想控制興奮或鎮靜的情緒
	l想喚起注意
	l想讓文字更好分辨
	l想讓人一眼看出分類
	l想讓形狀收縮
	l想看起來更有知性
	──以上全都可以用顏色來解決！

	要做出能充分「傳達」內容的設計，最重要的就是認識基本的配色設計思考方式和模式是很重要的。本書中囊括各種色彩基礎知識、配色技巧與色彩範例等，只要參考本書，就能讓你的設計會說話，真正打動人心。

	▓情境應用＋實例演示，這樣配色最到位

	在本書PART1中，將教您如何掌握色彩的基礎知識與配色的思考方法。PART2則將解說構成色彩設計基礎的配色模式。PART3～5則根據不同主題劃分，能夠學習到配色的技巧與實際操作範例。

	□PART1－色彩基礎知識與實際配色操作方式
	□PART2－色彩設計基礎的15種配色模式
	□PART3－使用顏色的各式各樣設計技巧
	□PART4－更能提升魅力的配色輸出創意
	□PART5－引起目標對象共鳴的配色方案規劃

	此外，書末也獨家收錄32頁基本色×特殊色演色表，正反採用7色精美印刷，完整呈現16色基本色×金．銀．螢光粉紅調色效果！無論是用於個人作品呈現，或是商業設計應用，本書都是一本不可多得的配色設計指南。

"
9789578472761,"


國畫裡的神秘色調、詩詞歌賦裡的動人之美
	一窺《紅樓夢》裡意藏的柳黃、水綠、秋香色……
	一探《揚州畫舫錄》裡記述的駝茸、茄花紫、藕荷色……


	古人對色彩的稱呼滿含詩意的美感，祖母綠、鵝黃、相思灰、月白、琉璃藍、丁香紫、朱砂、胭脂色……。每一種色系都還有不同的細微劃分、不同的名字，如藍色，就有景泰藍、天青、黛藍、靛藍、石青....，顏色之多美不勝數。

	李白形容美酒色澤的「琥珀」
	杜甫詩中描述濃綠色的「綠沈」
	王維書寫遠山山巔的「黛色」
	李商隱描寫蕭條荒涼的「蒼黃」
	孟浩然比喻青松生機盎然的「青翠」
	蘇軾暗喻柑橘結果收獲的「橙黃」
	陸羽認為上品茶的茶湯為「緗色」

	國色天成。
	本書帶你一窺傳統色的生活美學、走進中國詩意的色彩世界。
	「技」介紹了傳統色彩的基礎知識，包含古典配色口訣、五正色等，解析古風配色的基礎知識。
	「七大色系」記錄赤、黃、綠、藍、紫、褐、黑白七大色系中的58個中國傳統色、174個相關色，並介紹顏色的特徵、出處、用途和搭配。
	「四時八節」介紹了24節氣的節氣知識、色彩意象和色彩搭配。
	「織錦霓裳」整理了8大不同朝代具代表性的服裝式樣和用色偏好。

	無論是從色系出發，或是節氣節日主題相關，都能找到各種絕美古風配色方案。

"
9789573286820,"


	掌握色彩的「個性」，讓用色和構圖一氣呵成，
	你的水彩畫就能比好還要更好！
	 
	本書推薦給——
	如果不看教學書，就會調出慘不忍睹顏色的你
	想更加掌握水彩特性的你
	想在顏色搭配、構圖上更精進的你
	希望提升整體繪圖能力的你
	 
	本書作者珍‧多比為美國水彩畫壇的知名資深畫家，擅長利用水彩的透明性質，捕捉細膩輕盈的光影變化，而其同步結合「色彩」和「形狀」的構圖技法，更是讓畫面在簡潔之餘，亦能凸顯焦點，迅速吸引觀者目光。

	她提出只要十三種純色顏料，就可自行調配出所有需要的顏色，而純色顏料的特性，也能讓水彩創作更明亮鮮豔。三十一堂深入淺出的教學，將逐步擴展你對水彩調色和構圖的認識：

	●怎麼樣混色才不會降低顏色的鮮明度
	●灰色有助於襯托其他色彩，但不同的灰色有加分、減分效果
	●探索顏色的冷暖調性，將有助營造空間感和氛圍
	●風景畫中好看的「白色光」，其實都有混色
	●想增強色彩的互動張力，構圖的比例配置也大有關係
	●除了鉛筆打稿外，練習用「形狀」構圖會讓畫面更靈活
	●如何利用罩染法補救看似失敗的畫作

	本書適合繪畫路上各個層級的創作者閱讀。新手不再只是依賴既定公式、按表操課，而是在觀念融會貫通後，可培養自行創作、發揮創意的能力；老手也可以增進整體繪畫技能，破除過往的繪畫盲點，讓作品更臻獨特。

"
9789576585197,"


★日本上市不到3個月，銷售衝破80,000本★
★暢銷設計工具書！再度推出一眼秒懂系列新作★
★設計、行銷、網頁、企劃、繪圖、造型師都愛用★

	 

	【內容簡介】

	 

	明天要交稿，有沒有快速配色的法寶？
	選好了主圖，色彩搭配想不出新意？
	客戶想要現代風，該如何讓他眼睛一亮？

	 

大家都以為配色「憑感覺」，
其實色彩是一種「科學」。

	 

	日本最懂圖解設計的ingectar-e設計事務所，
	專門研發一眼秒懂的視覺教學，
	繼《版面研究所》、《字型設計學》暢銷之作，
	再度推出「秒懂配色」色彩學專書，
	獻給選色障礙、配色困難的你。

	 

	╱3色破解配色雜亂╲ 
	Step 1→決定風格的「主色」
	Step 2→畫面和諧的「輔助色」
	Step 3→重點突出的「強調色」

	 

	╱CMYK、RGB、HEX色碼，完整提供╲
	不藏私！絕美配色數值全公開
	跟著做！零基礎也能搭出完美絕配

╱8大風格×91個主題×1456配色範例╲
	最常用的8大商業風格一網打盡，
	設計案例、色彩比例、色彩數值、用色模式，
	所有你需要知道的專業資訊，一項不漏通通在裡面。

	貼心收錄「273色．快速配色索引表」，
	再怎麼火燒眉毛的專案，都能馬上找到色彩解方。

"
9789864593279,"


367色全圖解、精準用色指南
	一本用顏色名稱為辭條的「色典」
	附CMYK參考值，實用100%
	精緻插畫對照示例，值得欣賞收藏


	珊瑚、蜜桃、薔薇、淺蔥、露草、桑實、藤紫……美麗的顏色，在不同的文化中擁有不同或相同的名字，它們最初是怎麼被命名、被使用的？同時身為水彩畫家與平面設計師，新井美樹以清新可愛的插圖，展示367種歷史悠久的常用色彩，以及其命名由來與文化脈絡，讓設計師們知其然，也知其所以然。

本書特色：
	●367種常用、好用，具代表性的傳統色，來自日本、法國等不同文化地域。
	●每種顏色皆附原文色名、CMYK參考值方便設計師使用。
	●向量插圖展現色彩，低視覺誤差。
	●色彩專欄介紹顏色歷史，具知識性和閱讀趣味性。
	●認識色彩的「靈魂」，成為更「出色」的設計師。

"
9789865101442,"


桃夭、翠縹、竊藍、海天霞……
	從字書、史籍、繪畫、歌賦、詩詞、佛典、醫書、小說等，
	遍翻近400部中日文獻，打撈華夏失落的色彩文化。


	《紅樓夢》中黛玉穿「月白繡花小毛皮襖」、「楊妃色繡花錦裙」，是怎樣的風姿？
	李白寫下「日照香爐生紫煙」時，香爐上盤旋的紫煙，是如何虛渺？《延禧攻略》劇中採用的「乾隆色譜」：月白、官綠、水紅等，確有其事。

	文化學者與設計師首次聯手，
	自文學、傳說、天文、飲食、藥物、織染、妝品等，
	近400部典籍中尋覓、考據色名，
	並以24節氣、72候為經緯，
	編織出四時生活樣貌，
	再以故宮典藏文物，逐一對應，
	重現色彩背後流傳千年的東方美學。

本書特色

	✿ 透過傳統節氣與物候，品賞先人詩意的生活況味。
	✿ 細膩手繪96件精選故宮文物，重現色彩。
	✿ 384種傳統色均附RGB、CYMK色值。
	✿ 適合作為設計、繪畫、服裝、戲劇等參考。

共同推薦

	國立故宮博物院院長 吳密察
	臺北藝術大學新媒體藝術學系教授 王俊傑

"
9789869831444,"


	在Layout中的配色工作時，針對每一種色彩該做出多少分量的搭配？雖然擁有色彩知識，但在進行Layout工作時，相信對此感到不安的人應該不少。在本書中，擁有穩固的色彩基礎，並且充實可挑戰Layout作業的色彩知識。為了”想做出什麼樣的效果？”書裡有豐富的配色Layout範例，對配色手法進行詳盡解說，藉此可讓讀者容易得知排列文本外，色彩配置對圖像加倍效果影響的重的性。

"
9789865520298,"


「啊！就是這個感覺。」

將腦海裡的形象直接輸出，

翻閱書頁時馬上獲得最佳配色靈感。

暢銷書《好設計の配色圖鑑》第2彈！

	 

學習色彩搭配的基本知識&思考方式的最佳指南

直覺式使用的配色範本4,100款以上的Good ideas

	 

	困擾許多設計師的煩惱之一就是「配色」，腦海中雖然仿佛有著大概的形象，但是嘗試選擇顏色時，總是不到位，無法按照自己所希望的想法命中色彩。

	 

	這個時候，請打開這本書。

	關鍵字、照片、插圖、設計實例、圖樣等各式各樣的範例，讓你透過多種方法找到自己喜歡的配色方案。你肯定會找到一種讓你覺得「對，就是這個」，符合自己腦中所想的意象。

	 

	本書介紹4,100款的色彩搭配範本，能啟發配色靈感，讓你在瞬間就能將配色活用於設計上。室內設計、網頁設計、海報、簡報、店鋪布置、禮品包裝、手作DIY、插畫、彩繪、時尚、紙作雜貨etc…，能活用於處理「色彩」的各種工作&興趣愛好。


	★在這些時候派上用場！

	・有了「大概」的形象，但想不到具體的配色方案時

	・對想法感到困擾、缺乏靈感的時候

	・已經試著設計了，但就是覺得「哪裡不對勁」的時候

	・想在會議討論時，做為形象商討的範本以達成共識

	・被預先指定要有「主色」的時候

	・被預先指定了設計風格的時候

	・目前所設計的配色被客戶駁回的時候

	・閒暇時(如同閱讀繪本般地翻頁瀏覽)

	 

"
