ISBN,書籍簡介
9789862358597,"


――――★★好評暢銷書「圖解建築」系列力作第12彈★★――――

	《建築的設備教室》、《圖解RC造建築入門》、《圖解S造建築入門》、《圖解建築室內裝修設計入門》、
	《圖解建築施工入門》、《圖解建築結構入門》、《圖解結構力學練習入門》、《圖解RC造+S造練習入門》、
	《圖解建築物理環境入門》、《圖解建築計畫入門》、《圖解建築設備練習入門》


	▋339堂RC造施工入門課――――
	  Q&A解說 + 插圖圖解 = 輕鬆學習RC造施工！

	▍逐頁問答詳解，搭配精繪插圖，循序漸進介紹RC造施工知識
	▍完整說明細節和整體概念，詳盡導讀鋼筋的加工和組立、混凝土的性質和澆置、模板工程、建物的施工要點
	▍每頁、每項獨立章節，3分鐘即可輕鬆讀完一個單元
	▍日本暢銷建築書作家親授掌握RC造施工之道，充實建築施工知識的必備書

	▋最有趣的RC造施工入門書――――
	  建築知識的學習起點，一次弄懂RC造施工的門道！

	人類所使用的資源中，數量僅次於水的，就是混凝土。RC造（鋼筋混凝土造）、SRC造（鋼骨鋼筋混凝土造）都大量使用混凝土，S造（鋼骨造）、木造的基礎也是使用混凝土。RC正是結構施工中最重要的部分。

	本書整體架構以鋼筋、模板、混凝土的施工順序進行說明。除了相關基礎問題，一併輔以建築結構的解說，一次學會建材、施工與結構的關鍵知識。

	全書339個單元，主題含括最入門至較深入的內容，所有說明皆附有圖解，透過圖像化的方式，讓困難的理論變得簡單易懂，容易應用。為了與實務做連結，除了解說施工的基礎事項，同時以清晰的繪圖幫助理解鋼筋和混凝土的性質、模板工法、強度計算等較理論的部分。

	對於想了解鋼筋混凝土施工知識或具體施作的人，本書都提供了讓人樂在其中的輕鬆學習方式！

	▋RC造施工20大章節超級學習術――――
	  入門前的入門書，基礎前的基礎學！

01│計畫使用期限
02│鋼筋材
03│鋼筋的加工‧組立
04│保護層厚度
05│錨定
06│續接
07│瓦斯壓接
08│模板工程
09│模板‧支撐材作用的荷重
10│水泥‧骨材
11│混凝土的性質
12│坍度與坍流度
13│空氣量與氯化物
14│水灰比
15│單位水量
16│單位水泥量
17│混凝土的強度
18│混凝土的澆置
19│混凝土的養護
20│默記事項

"
9789868485266,"

◆從建築看設計，全面啟蒙所有人對空間美感的認識◆大師帶你看門道，揭露101個讓空間更好的黃金法則◆以最淺顯的文字，提示最基礎的概念與最深刻的啟發◆榮獲2008獨立出版、波士頓新英格蘭書展建築類選書◆建築、設計界一致推薦，阮慶岳、徐明松 深入導讀好建築，怎麼看？好空間，如何設計？終於等到這一本!  大師帶你看內行門道，所有人一看就懂的黃金定律。不管你是以下哪種人，都可以在本書中，找到需要的答案。ν面對課程充滿困惑的建築系學生ν陷入工作泥淖的建築師ν對於空間安排始終不滿意的平面設計師ν遭遇工作瓶頸的設計工作者ν正想重新裝潢住家的一般人ν嚮往像建築師一樣思考的人  不知道書中提到的這些事，你可能與「偉大」或「好」建築師失之交臂。                     ──徐明松    你知道嗎？長方形和正方形的空間，哪個比較好設計？哪個方位的光線，最能夠穿透空間？在建築設計上，少即是多嗎？東南西北，哪個方位代表著積極、明朗和坦率？小房間的走道要如何設計，才是讓人最舒服的動線？    美國名建築師Matthew Frederick有感自己在學時，不得其門而入的摸索。在長年的教學過程中，他的學生們一再地向他證明，大家在建築課裡碰到的問題和困惑，幾乎一模一樣。因此他決定用最簡單的文字和插圖，說明最複雜的建築設計。    本書由美國建築名校麻省理工學院出版，從最基本的畫線，到複雜的色彩學，提供101個最精要的黃金法則與空間概念。例如：什麼是好的線條；不當的階梯設計會造成什麼樣的傷害；傳統建築與現代建築的比例；如何營造空間的巨大感…等。理論與實務兼具，是所有想要理解空間、看懂建築人的夢幻之書，是近年來少見簡單中見深度的建築好書。◎小房間的動線設計穿越小房間的最佳動線，是離牆面一段距離拉出一條筆直的通道。這樣的設計可以讓房間的主要使用者不受穿越者的干擾。反之，最糟糕的動線安排，往往是對角穿越或過道與長軸平行。在這類情況下，家具無論怎麼擺放都很難讓人舒服，因為居住在這個小空間裡的人，會一直覺得有人走來走去。 ◎窗戶與風景的設計要「框」景，別只「秀」景。面對優美如畫或動人心魄的景致時，設計一面「落地窗牆」似乎是最好的處理方式，然而，經過悉心挑選、框劃、遮掩甚至謝絕的景致，往往更能帶給我們豐富的視覺經驗。設計者必須為每個景致量身打造獨一無二的開窗，仔細處理窗戶的形狀、大小和位置，讓觀看者可以感受到風景在說話。◎當設計遇上限制限制為創意之母。別為設計上的種種限制哀嘆：基地太小、地形不便、空間過長、建材陌生、客戶矛盾又囉唆等等……因為問題的解答就藏在這些限制裡！很難在坡度陡峭的基地上蓋傳統建築，對吧？那就設計一道酷炫的樓梯、斜坡或天井來歌頌這種垂直的空間關係。房子前面有道很醜的舊牆？那就想辦法把它框成一個有趣又難忘的景觀。得在又長又窄的基地、房子或房間裡做設計？那就把這不利的比例改造成一趟有意思的旅程，並在旅程的盡頭設計一個高潮驚喜。◎如何克服設計難題「危機」的中文是由兩個字所組成：一個代表「危險」，一個意味「機會」。設計難題不是你該克服的障礙，而是你該擁抱的機會。最好的設計解決方案並非把難題消除，而是把它當成這世界的必然狀況接受它。最好的設計解決方案，往往就是以漂亮又令人信服的方式把問題重新說一遍。◎當設計束手無策的時候動手畫就對了。當某個設計難題大到幾乎讓你束手無策時，別坐在那兒枯等答案浮現，動手畫就對了。畫圖不只是為了傳達設計解決方案，畫圖本身，就是了解問題的一種方式。◎讓設計更加成形的方法取個名字。當腦子浮現某個概念、「parti」或還有點虛無飄邈的想法時，給它取個名字。「吃了一半的甜甜圈」、「腐蝕的方塊」、「分裂的大眾」、「陌生人相遇」等等，這類暱稱可幫助你釐清自己創造的東西。等到設計過程中有更明確成形的想法浮現，就再幫它取個新外號，把舊的淘汰。
                    
"
9786263048379,"


	●300多張精美插畫，詳細解說日本近現代建築之美
	●建築家關係圖、建築平面圖一目瞭然

	一起來認識締造日本建築歷史的63位偉大建築師，以及他們的代表作品吧！

	日本的近現代建築擁有多種樣貌，且具有多元的用途，住宅、神社、辦公大樓、產業設施、交通設施等等，不同時代有著不同特色，值得我們細細品味。
	本書依照建築大師所活躍的時代，依序從「明治」、「大正」、「昭和戰前」、「昭和戰後」介紹，共計四大章節，並透過插畫來圖解這些日本建築大師及其代表作品。
	想要輕鬆了解近現代日本建築，卻不知從何開始的人，可以將本書當作入門書，在了解時代背景的同時，也能一窺日本建築的特色與建築家之間的師承流派關係。

	◆明治時代◆
	明治時代開始，誕生許多奠定往後日本建築界基礎的建築大師，包括辰野金吾、片山東熊等人，大學課程也開始推出建築教育，而採用新式設計風格的建築師們也接連嶄露頭角。

	◆大正時代◆
	到了大正時代，混凝土與鋼結構廣泛普及，這些構材實現了大規模空間的設計，大型建築物也因此明顯增加。而新的年輕世代也為日本社會帶來現代化的摩登建築，可說是開啟現代建築設計的時代。

	◆昭和時代【戰前】◆
	進入昭和時代後，師承歐洲建築大師的日本建築師們，開始推廣世界基準的建築。然而受到戰爭及經濟蕭條的影響，這個時代的建築師們過得並不得志，受限於資材不足，建築師們只能努力摸索別的方法。

	◆昭和時代【戰後】◆
	昭和20年代後半，在急速發展的東京開始有建築師提倡小型的都市住宅，此外芦原義信等人所設計的東京奧運相關設施，以及黒川紀章等人所打造的大阪萬博設施，也帶動某些變化，進而發展出代謝派運動。

"
9789869481205,"


1986年首次出版，感知性＋觀念性的建築永恆之道，最新增訂版


	可信的基礎，啟發正確建築觀，30年歷久彌新經典導論
	最恆久的原理原則 VS 最值得一學的設計理論
	交通大學建築所講座教授暨人社院院長曾成德選書導讀

	「馮麥斯希望為建築學習揭櫫的是『設計的理論』，也稱之為『方案的理論』。『設計』與『方案』不僅是學門之外的人所難以明白的名詞，也是建築人自己說不清楚的過程。……建築師手中拿著建築方案，這是他的設計，這是他的夢想。而我們知道：『方案的理論』才是建築之夢的基礎。」──曾成德

	「教授建築近二十年來，這本最適合幫助同學進入建築領域。」──林昌修

	「出版至今逾30年仍歷久彌新，是引導學生認識建築的一本經典教科書。」──施植明

	「在數位時代的今天，書中談述的空間觀念正在全面流失中。」──Kenneth Frampton

國內外各大建築院校指定參考書目、學術論文引用專書

	這不是一本歷史也不是理論，而是一本詳盡的導論，對建築界眾所接受的概念，做一番分類總覽，書中架構出的感知性和觀念性，性質接近「設計的理論」，幫助我們了解建築設計的觀念，發現一些確實可信的基礎，學到一些方法。增訂版做了大幅擴增與修訂，後半部5-10章，是當中最具新意的部分，收錄了許多全新素材，尤其是以空間為主題的第五章，令人耳目一新，當中詳述了各種範疇的空間觀念，在數位時代的今天，這些觀念正在全面流失中。另於附錄中，收錄半世紀以來討論建築組構、城市和地景的三篇重要文章。

	作者融合逾三十年的教學經驗，以一位西歐建築師的角度書寫，深受「完形心理學」、「現象學」影響，結合理論與實務，特別強調「know-how」。從不同角度談論各種建築體驗，包括秩序vs.失序、場所vs.空間、光線vs.陰影、對稱vs.非對稱。

	書中援引的例子，囊括國際大師，從艾森曼、李伯斯金到哈蒂，從黑茲貝赫、西薩到妹島，從蓋瑞、祖姆托到赫佐格與德穆隆，從安藤忠雄到伊東豊雄，並說明一系列最關鍵的空間觀念，包括深度、密度、相互穿透、組合、組構，連同某些現代主義的空間觀念，例如阿道夫‧魯斯的「空間體量設計」和柯比意的「自由平面」。

	作者身為建築教育界的老兵，自身的經驗讓他強烈感覺到，傳統的建築修辭不該盲目繼承，但也不能以日益動盪的後現代情境為由，輕率否定，分析到最後，建築既非藝術也非科學，它依然是一門哲學技藝，少了傳統很難出現真正重大的創新，反之，少了創新也很難讓傳統存活延續，這種持續、吊詭的互惠，正是本書的終極主題。

"
9789865226046,"


	1849年，羅斯金寫下了《建築的七盞明燈》。那是一個瘋狂追求機械化的時代，工業量產、效率、速度，因著經濟大家衝向了一個羅斯金眼中崩壞的世界。

	就在這樣的背景下，羅斯金對哥德式建築的追求和渴想便成了影響當時極深的想法。書中從不同的面向分析哥德式建築，提出建築的七盞明燈，包括奉獻、真理、力量、美麗、生活、記憶與順服。「獻祭之燈」與「真實之燈」談論建築的生命力，來自建築師、創作者、工匠建築師、工匠的付出；「力量之燈」與「美感之燈」則自探討建築的美，一種來自心靈、精神層次的美；在「生命之燈」中，羅斯金認為作品在生產勞動的過程中，會將創作者、作品和使用者關聯在一起；「記憶之燈」與「遵從之燈」重新定義我們該如何看待歷史，如何傳承。

	本書關於工業的反思與洞見，對建築、美術與工藝領域之現代性發展至為關鍵而影響深遠。也因此使得羅斯金其人之思想著作值得被引介與了解。

"
9789571382272,"


100則最簡明扼要的中國古典建築基礎知識


	為什麼中國古建築不論大小都以「間」為單位？
	藻井和斗拱確實很美觀，但有實際功能嗎？
	為什麼古代的城牆多半是方形？
	塔林和塔群完全是兩回事？
	北京四合院的大門位置為什麼和其他四合院不一樣？
	「鉤心鬥角」一詞最早原本用來形容建築？

	對中國古建築有滿肚子疑問嗎？本書中，長期擔任建築大師梁思成助手的作者以五十年專業研究功力，化繁為簡，提綱挈領講述一百個最常見的中國古建築疑問。

	簡短扼要的文字佐以各類插圖，從中國古建築分類講到建築工法，從各地傳統民居講到牌坊與會館，不僅說明如何分辨各朝代的建築特色，也解釋了古建築如何解決採光和通風的問題，是「從○開始」了解中國古建築的最佳入門！

◎2019年度央視「中國好書」入選圖書

好評推薦

	本書以問答的形式，闡幽發微，以小見大，將知識點融入一個個具體的回答，構建起專業性知識體系，既可針對具體問題檢索查閱，亦可順次通讀。生動的文筆，精準的繪圖，相得益彰，通俗易懂，是一部關於中華建築文化的佳作。──中國圖書評論學會

"
9789862357170,"


――――連結人、自然、藝術，直擊被藝術拯救的島嶼、受藝術改變的人們――――

  

安藤忠雄特別撰文，第一本完整記錄「藝術直島」的專書！
 打造文化之島的第一線掌舵者，首度第一手完整回顧直島時光！
 瀨戶內國際藝術祭最佳參考讀物，見證「直島精神」如何孕育日本當代藝術！

  

▍「我就像在地面插入樁柱，用孱弱的藝術想創造出無論如何都無法撼動的聖地。」
  
 ■ 高齡化、人口減少、空屋問題，如何發掘場所的意義、形塑社區再生的政策？

 ■ 從被遺忘的3,000人到每年百萬造訪者，成功的藝術行銷可以複製嗎？

 ■ 挑戰安藤建築，探索藝術與建築的對話，創作的偶然與必然在何處交會？

 ■ 從日常生活中創造，鍛鍊觀看事物的方法，現代藝術還能夠做些什麼？
  

▍「現代藝術的挑戰」――直島計畫推手披露最精采而不為人知的開拓紀實！
  
 不只從日本國內，訪客從世界各地蜂擁而至這座號稱「一生至少想拜訪一次的地方」，位於瀨戶內海上的小島――直島。雖然是人口僅有三千的小小島嶼，卻滿佈著草間彌生、宮島達男、安藤忠雄等傑出藝術家的作品，堪稱「現代藝術的聖地」。
  
 這樣一個放諸全球獨樹一格的地方，是為什麼，又以何種方式打造的呢？
  
 直島誕生的脈絡與其知名度相反，直至今日幾乎無人講述，現在終於由一九九一年起的十五年間，在倍樂生負責直島計畫，開創「家Project」、地中美術館等劃時代藝術作品和美術館的推手，依循親身經驗完整說明。這也是擔任金澤21世紀美術館館長十年、現為東京藝術大學大學美術館館長的秋元雄史，自二〇〇六年離開直島後首度談及直島計畫。
  
 在這個鮮為人知的故事裡，有著處於黑暗之中也從未放棄，不顧一切持續挑戰的一人之姿，苦戰到最後所創造的是，承受無數荒謬，得以超越時代流傳的奇蹟般的藝術作品。
  
 ▍直島的開端
  
 「就如同一流運動員在眾所矚目的奧運舞臺上，締造出世界紀錄的那一瞬間。不單是超越一流選手的個人紀錄，更是開創下一時代，就像是奇蹟般的紀錄。我期盼藝術家在直島創造出那樣的作品。不這麼做，根本不會有人注意到這樣一座小島。」
  
 直島這座位於日本本州岡山縣與四國香川縣之間的島嶼，如今以現代藝術百花齊放之島聞名，更成為日本數一數二的觀光區。
  
 知悉造訪者絡繹不絕現況的人，大概無法想像當時的直島是多麼僻靜。與其他島嶼同樣苦於人口減少與高齡化的狀況，同時卻瀰漫著讓人毫不懷疑會持續到永遠的閒適、悠然氛圍。
  
 某天，一個意外的契機開啟了直島與現代藝術的緣分。此後，島嶼有了激烈轉變，是足以用「戲劇性」來形容的巨變。
  
 在從前被認為毫無價值的東西中發掘出價值，甚至將其推上最前線創造出新的價值。無論哪裡都未曾存在的美與文化的價值，截然不同於至今為止被奉為圭臬的正統美學意識，正是從直島被創造出來的。所謂「直島價值」，在推進過程中產生的各種事物亦皆是前所未見、極為獨特的。
  
 那是一段苦不堪言、艱苦奮戰的慘烈歷史，斷無法只以一段佳話來總括。本書作者以參與直島誕生的一員身分，述說那段現在幾乎無人記述的故事的始末。
  
 萬物皆有開端，觀察事物的開端就能窺見其本質。

"
9789864082889,"


	日本亞馬遜讀者5顆星一致佳評！
	教會你命中透視圖所要表現的重點，
	畫出有手感有個性的建築透視草圖

	林淵源建築師
	許華山建築師
	廖偉立建築師 一致推薦 (依姓氏筆畫序排列) 

	想透過手繪表達對空間的觀點，或是記錄旅程所見的建築景物，
	無須拘泥於軟體技法和複雜科學理論，
	拿起紙和筆，掌握書中的基本關鍵，憑著感覺就能畫出來！

	★日本知名建築師中山繁信，已出版多本繁體中文版手繪圖書籍廣受好評。
	★以深入淺出的圖解與示範，快速理解透視圖要表現的重點，以及點消去、軸測投影等技法教學。
	★以空間為主題，切合建築、室內設計等相關科系人員需求，且收錄學生作品進行批改修正，直指常見錯誤，讓手繪透視圖質感水平更上一層樓。

	景深與消點，表現空間性的決定關鍵！
	若消點靠左，右側的牆面會被強調出來；若消點靠右，則是左側的牆面會被強調出來；消點若靠上方，可見到的地板面積較大；消點若靠下方，可見到的天花板面積較大。

	為透視圖添加生活氣氛
	只有床與收納家具，呈現出來的圖面是沒有生活感的空間。要為透視圖製造點氣氛，還需要家具、家電、壁掛飾品、照明，甚至時鐘、擺飾品等等。

"
9789864082919,"


	國內第一本最強、最完整蓋屋百科！
	買地不被騙、營造不偷工、預算抓精準的保命求生指南

	找土地、蓋房子最怕遇到的問題有這些
	‧想買地蓋屋，建議不要選種過稻米的地，而是要選種樹的地，為什麼？
	‧買了地、付了定金，卻發現土地所有權人另有其人，定金拿不回來，事前該怎麼預防？
	‧為什麼山坡地多了一筆擬定水土保持計畫的費用，是一定必備的嗎？
	‧建築師、營造商的費用到底是怎麼計算的？我收到的報價單到底合不合理？
	‧蓋房子到底用什麼蓋才好？木屋、鋼筋混凝土、鋼骨又有什麼不一樣？
	‧最怕鋼筋綁不對，結構出問題就糟了，到底要怎麼檢查才對？
	‧混凝土灌漿最怕偷工減料，要怎麼預防才好？
	‧拆膜後要怎麼檢查建築，才知道有沒有蓋好？

	一看就懂，蓋屋新手必備最實用、最完整的全能百科
	教你搞懂買地蓋屋的「眉眉角角」
	從選地、費用、法令、契約、建築設計、屋型、施工全面收錄，一次解開心中的疑惑。

	★史無前例，蓋屋知識全收錄
	　徹底詳解土地型態、挑地思考、常用法規、預算配置、設計和監工原則，清楚掌握自力自建過程中碰到的所有問題和解答。

	★快速瀏覽，30秒掌握關鍵
	　精簡濃縮該單元知識，重點條列關鍵原則，沒時間細讀，「30秒掌握關鍵BOX」幫助你快速進入狀況，時時抓重點複習。

	挑土地、施工中、完工後
	三大基本流程中，你一定要清楚的找地蓋屋基礎知識。
	有了這一本，你就知道該如何聰明挑、安心選、省預算，
	事前功課做得足，別再當花錢花時間的冤大頭！

	本書收錄在購地、買地、造屋的流程中，需要瞭解的100件事，提供最詳盡的知識和介紹，教你瞭解常見的住宅結構重點、蓋屋相關法令、如何買地、如何做預算配置、監工選料、設計外觀與內部，同時製作流程計畫表，讓你一看就懂。看完這本你將充分掌握造屋流程及成敗關鍵！


	面面最俱到！掌握各項關鍵細節
	　∥必學資訊無遺漏∥ 100項找地蓋屋必學知識，材質比較、法律規範、施工監工，完全解惑的全能百科。
	　∥蓋屋流程一本通∥ 購地、跑照、施工，各式流程圖表化，一看就懂，是新手入門的最佳指南。
	　∥這樣選才安心∥ 完全不藏私，代書怎麼找、土地怎麼挑，各類的小訣竅一次告訴你。
	　∥達人良心建議∥ 蒐羅代書、仲介、建築師、營造商各方專家的建議，告訴你在買地、蓋屋最需要注意的事情，再也不怕被人騙。

"
9789865657703,"


這一本，讓你用畫的、用玩的，學建築設計
《紐約時報》高度好評力薦
98座經典設計＋62道挑戰習題＋20位重量級建築師＋8種技法＋N種想像
一旦動筆，就停不了的建築塗鴉天馬行空之旅


	◎適合9到99歲的建築愛好者，用心想、細心畫、開心玩
	◎限量˙獨家收錄：台灣建築師的私藏手繪&經驗分享：李乾朗、林淵源、胡碩峰、姚政仲
	◎邀你這樣練：如何開窗、怎麼畫簡單的平面圖、認識回收材料、如何設計牆、椅子、柱子
	◎邀你大膽想：跨海大橋、海底城市、原創屋頂、瀑布住宅、太空社區、創新牆面…
	◎邀你創意畫：給雪梨歌劇院蓋新屋頂、龐畢度新外牆、英國女王白金漢宮新家
	◎邀你開心玩：用飛機蓋旅館、設計企鵝的滑水道、想出最時髦的鳥園、蛋屋、樹屋，想像無限
	◎邀你畫一遍：高第米拉之家的煙囪、密斯的極簡住宅、柯比意的薩伏衣別墅、巴黎鐵塔
	◎建築設計的關鍵技法V.S.現代建築的重要觀念，用畫畫練習，一次教會你

	哪些經典建築，值得愛好者畫一遍，以筆帶心深入精髓？未來準備入住的新星球預售屋，該如何設計太空社區？牆面不只是抹水泥、釘木板，還可以如何設計一道創意牆面？圓的、方的、尖的、扁的，屋頂還有哪些可能？？橋樑有哪些設計？窗戶要如何開窗？光線如何引入室內？室內設計圖怎麼畫？當一切只剩下最基本的原始構造時，你將如何發揮想像力重新繪製這棟建築？

	這本書，是認識當代建築的最佳捷徑，更是遊歷世界頂尖建築的最佳機會。現為英國倫敦南岸大學（South Bank University）資深講師的作者史帝夫‧波凱特，採用時而簡約、時而繁複的黑色線條勾勒出一個又一個獨具特色的建築線稿，用畫畫的方式，引領你跟著建築師，想設計、畫設計、愛設計！

	這本書，不是要教你怎麼繪製建築線稿，這類書市面上已經很多了。你在上面畫的東西，才是這本書的重點！自由發揮不受拘束，天馬行空更是歡迎你可以透過各種工具，把這本書變成你的日記本或速寫本。只要準備削鉛筆機、色鉛筆、自動鉛筆、畫筆、顏料、三角板、比例尺還有橡皮擦，就能把你的創意作品全部集結、永久珍藏，變成一輩子的創意養分！


	作者身為建築師以及建築教育者，設計了一連串的建築習作，有好玩的、有正經的、有資訊性的，當然也有啟發性的！除了制式的水泥牆之外，你能想像牆壁其實還有斜面牆、圓木牆、充氣牆等好多種類嗎？還有我們想像中的三角形屋頂，其實還有鋸齒形屋頂、天窗屋頂、扁圓頂等等！

	書中所有建築和景觀都由他精挑細選，有來自世界各地從經典到最新的代表性建築，從日本的國立體育館、杜拜的哈里發塔、台北101、上海國際金融中心、吉隆坡雙峰塔、紐約帝國大廈、紐約AT&T大樓、倫敦碎片大廈…建築年代橫跨西元前4世紀到21世紀。希望藉此激起你的想像力、繪畫慾，同時帶出「現在」建築的諸多重要觀念，內容實用又具啟發性。

	手繪，是將絕妙點子從一個人腦中釋放出來的最佳方法，一旦它們活靈活現躍然紙上，任何想像都有可能被實現，日後想起更是回味無窮！不過最重要的，還是你從動手畫的過程當中，體驗到蓋房子和造地景的無比樂趣！

★專業建議：精選當代名家傑作，邀你一起來畫！
	◎華裔建築大師貝聿銘｜羅浮宮玻璃金字塔
	◎美國建築大師萊特｜莊臣行政大樓、落水山莊
	◎美國建築大師路康｜特倫頓公共浴場、耶魯大學英國藝術中心、艾歇里克住宅
	◎法國建築大師柯比意｜高地聖母禮拜堂（廊香教堂）、薩伏衣別墅
	◎西班牙建築大師高第｜巴特婁之家、米拉之家、奎爾宮
	◎德國建築大師葛羅培｜包浩斯大樓
	◎芬蘭建築大師阿爾托｜辛納尤基圖書館、羅瓦涅米圖書館
	◎日本建築大師安藤忠雄｜水之教堂
	◎日本建築大師藤森照信｜高過庵茶屋
	◎加拿大建築大師蓋瑞｜古根漢美術館
	◎丹麥知名建築家烏戎｜雪梨歌劇院
	◎英國＋義大利雙人組建築家羅傑斯和皮亞諾｜龐畢度中心

★挑戰習題：重新建構你的想像，邀你一起來想！
	◎拿掉雪梨歌劇院的貝殻屋頂，你會如何設計新的創意屋頂？
	◎如果龐畢度中心要拆掉外觀，你會如何重新設計新的外牆？
	◎英國女王所居住的白金漢宮，你會如何設計一座女王的家？
	◎海底下的世界也可以很豐富，你會如何設計一座海底城市？
	◎在城市與另外一個城市之間，你會如何設計一座跨海大橋？
	◎圓的、方的、尖的還有扁的，你會如何設計一個原創屋頂？
	◎牆面不只是抹水泥或釘木板，你會如何設計一道創意牆面？
	◎建築融入自然裡的大樹上頭，你會如何設計一處森林樹屋？
	◎山水地景所環繞的瀑布四周，你會如何設計一棟瀑布住宅？
	◎極簡有時更能看出建築概念，你會如何設計一棟極簡住宅？
	◎未來準備入住新星球預售屋，你會如何設計一座太空社區？
	◎一條街道完全沒有半點花草，你會如何設計一條綠化街道？

★想像無限：逗趣奇幻搞怪建築，邀你一起來玩！
	◎當鯊魚飛進了屋內：英國雕刻家巴克利（JohnBuckley）的海汀頓鯊魚屋
	◎住進飛機做的旅館：位於哥斯大黎加的柯斯塔維德飛機旅館
	◎大鴨原來早就存在：位於紐約的大鴨屋
	◎企鵝的專屬滑水道：位於倫敦的企鵝池
	◎外型圓滾滾的蛋屋：西班牙建築家馬利亞茹若爾的蛋屋
	◎史上最時髦的鳥園：位於倫敦的斯諾登百鳥園

★好用工具：備妥這些基本工具，邀你一起試！
	◎三種用具：橡皮擦、削鉛筆機、顏料
	◎五種畫筆：石墨鉛筆、色鉛筆、細字筆、自動鉛筆、畫筆
	◎四種尺規：三角板、比例尺、圓模板、滾輪平行尺

"
