ISBN,書籍簡介
9789576585494,"


空間的內涵，需要使用者裝填希望與夢想，
	隨著時光流轉和家一起成長，這樣的房子更顯價值，
	也達到建築真正的意義。
	 
	新的建築價值：
	無磁磚、不油漆、原木、綠建築，設計自然，
	建築理所當然  完美，漂亮、舒適。
	 
	※特別收錄：
	台北王宅（深澤直人台灣住宅）
	三間堂（榮獲倫敦設計獎London Design Awards-建築類-住宅建築-國際組-金獎）
	 
	【內容簡介】
	 
收藏建築哲人 毛森江清水模新作
	 
	清水模工法與洗石子工法加乘的和諧灰調
	開窗於天、細膩調控室內流動的建築
	挑戰法令的90度及45度角圓形建築
	跨文化合作，深澤直人的風格質感空間
	以空中廊梯的變化發揮空間最大機能
	蘊含樹木意象的三角建築
	建構「新祖厝」概念，成就建築物的意義
	活用三角型空間劃分，讓畸零地重生
	保有生活隱私，也包容自然光線的住宅
	以新式建築工法實現擁有永恆建築的機會

	【本書特色】
	◆ 合作規劃日本設計大師深澤直人的台灣住家，提出家的質感與意義。
	◆ 突破既定思維，三角形建築也能打造成與自然結合的退休養老宅。
	◆ 將坡地、狹長屋、畸零地的阻礙一一轉為住宅特色。
	◆ 利用不同建材，打造和諧與層次感的住家。

"
9789860652383,"


安藤忠雄的建築，是從旅行中得來的，

因為建築描繪的是各地方人們的夢想與感動，

思考這些，能讓他回到原點，

回到建築為何的命題……

	　　

安藤忠雄唯一一次在日本ＮＨＫ大眾講堂系列演講結集

長銷20年經典作品

	 

	安藤忠雄在二十幾歲時因不滿身處的生活環境，而立志走上建築這條道路，他認為旅行可以形塑人，也能形塑建築，所以安藤以旅行來學習建築。

	 

	在旅行各地的同時，安藤為順應當地自然風土氣候所產生的建築深深感動，他看到了建築的生命力──反應出人類的根本欲望，是人們靈魂的依靠，是呈現每個居民夢想的地方。

	 

	因此，安藤從接觸建築以來即不斷詢問自己：「透過建築可以達到什麼？」、「建築究竟能對社會、地區有什麼樣的貢獻？」、「要如何才能讓都市擁有生命力？」。相對於提出創新具突破性的建築，安藤更在意的是建築對人的尊重、對社會的批判；比起只是玩設計風格的遊戲，更值得深思的是如何傳承、發展過去人們所留下的都市文化遺產。因而，安藤認為：建築對於其所在的環境，是有回饋義務的。

	 

	對安藤而言，現代建築的創造不再只是一般意義的形式探索，而是種精神意旨。建築也不是隨著完成即停止成長的靜止物，只要在社會上人們持續利用，就是種經常變化成長的「生物」。因而，安藤希望能透過邊做邊想的實驗性精神，將有生命的建築送到社會面前。而建築對於環境的破壞與影響，也是往後建築家們必須省思的課題。

	 

	本書以主題設定的方式來談論建築：建築原點的住宅、群聚而居的集合住宅、集合眾人的廣場、都市、不同領域對話的合作共鳴、創造特定場域特有的建築、培育人的場所、自重建出發、庭園世界，以及邊做邊想等。安藤先從主題的定義切入，接著帶出他親身踏察過的世界建築鉅作，所欲表達的理念與作法，最後陳述自己的實際作品，以及藉此作品所欲表達對建築的內心想望作為結束。

	 

	※初版原書名：《在建築中發現夢想：安藤忠雄談建築》

"
9789869991537,"


並陳多元文化差異理念，觀照自然萬物運行法則
－－
廖偉立從「造化」出發，
循著雜木林進路，尋得不斷進化的建築態度

	臺灣建築師廖偉立的獨特「雜木林式美學」與「宇宙論」，顯現出一股「造化」的能量，亦是一種永無止息尋找「關係」並且不斷發展「變奏」可能的過程，企圖在新／舊的混合與聯結、建築／自然之間不斷對話，含納本地／外來不斷的碰撞、吸收與相融，轉化並產生多元、多義的綜合能量。

	本書以「雜木林進路」為題，紙上展陳廖偉立近年九件代表性作品，並集結臺灣當代建築場域及跨領域的重要創作者與評論者，一起在參與討論從廖偉立在當代臺灣的空間論述，在充滿有機性、不斷碰撞的詰辯、質疑、溝通、反省中，討論當代臺灣的文化主體與空間性，也尋找人為建築與原生自然的新關係，以及人面對城市、鄉村的新態度。

	*

雜木林

	臺灣在歐亞板塊與菲律賓板塊，急突三千公尺的不同海拔的地域中， 植物、林相、生態、地景、海景、山景多樣而豐富；身處亞熱帶緯度， 北回歸線劃過地球一周的區域，百分之九十的國家都是沙漠，只有臺灣具有「雜木林」多元共存，充滿生機的林相，與寒帶或溫帶的單一林相是不同的。

	從我的觀察，臺灣是浮動的島嶼，其文化、社會與生態皆充滿著「雜木林」般的多樣性、混雜性、衝突性與流動性，在亞熱帶特有的環境與人文特色下，值得我深切的關注與反省。臺灣的建築須超越現代主義建築的普遍限制，走出第三世界鄉愁式的思考，努力突破小地域、小傳統、小格局的侷限，不只在轉譯臺灣的「傳統性」與「地方性」， 而是以一個更開放的思維來超越傳統與地域，並回應時代新的需求與精神。唯有深刻地了解臺灣的自然環境及人們生活狀態的內裏，並建構出能正確回應時代意義的作品，才能使地方與世界真正的產生互動互動與對話。－－廖偉立

"
9789864011117,"


建築大師‧隈研吾親自剖析
十年設計之路，劃時代作品集！

	 
◎脫穎而出的「生命之樹」！ 
★2020年東京奧運主場館‧新國立競技場設計師＝國際級建築師 隈研吾
	 
擁有20年以上經歷，仍不斷在建築設計中展現嶄新方向！
	「微熱山丘日本店」（日本，東京）
	「星巴克太宰府天滿宮表參道店」（日本，福岡）
	「淺草文化觀光中心」（日本，東京）
	「風檐」（台灣，新竹）
	「貝桑松藝術文化中心」（法國，貝桑松市）
	──全彩圖文收錄32項作品，並由作者親自解析！
	 
	相較於向來給人冷硬印象、一味堆砌出方形空間的水泥建築主體，本書作者隈研吾認為建築應以環境與人為主體，因而提出「負建築（弱建築）」概念。

	他擅長於運用木材、竹子、石板、紙等天然建材，建蓋出一個個蘊藏東方禪意與日式和風的劃時代建築。

	近來覺得自己應該開拓出建築的新地平線，因而試著藉由「擬聲‧擬態詞」所隱含的模糊定義，將其作為設計現場的溝通工具。透過各自主觀解讀與誤解中，激盪出更高層次的可能性、脫離語言所帶給建築的常規侷限。

	本書收錄32項作品。以日文裡的11種「擬聲‧擬態詞」為發想起點，利用人們對於「軟綿綿（ふわふわ／FUWAFUWA）、透光（すけすけ／SUKESUKE）」等詞彙的各自解讀，將其運用到建築表現中，藉以削弱人與建築之間壁壘分明的界線。讓新的光芒照耀在這些作品上的同時，明確指出建築現在應該邁進的方向。
	 
	──隈研吾生涯首本作品集，展現劃時代的建築新方向！不容錯過！
	 
本書特色

	◎收錄與作者的長篇訪談：〈藉由將建築粒子化，讓世界與人類更緊密地連結在一起〉
	◎全彩圖文介紹，收錄2005年至2015年作者親自操刀的32項作品。
	◎以擬聲‧擬態詞的嶄新觀點切入，帶領讀者用全新的角度「看見」建築。
	◎書末附錄，32項建築作品之「所在地、竣工年、用途、構造」等參考資訊。

"
9789573291008,"


	國際知名的當代建築師――伊東豊雄，在各地創下許多經典建築。在臺灣，亦有他的作品：譬如位於臺中的國家歌劇院、高雄的國家體育場，以及台北文創大樓、國立臺灣大學社會科學院等。

	2019年初，伊東豊雄先生不慎跌傷，住院治療。在住院的這大半年時間，恰恰給了一個靜思沉澱、與外界減少接觸的機緣。在這些無數夜半靜謐的夜，他回顧了自己的建築生涯，寫下溫柔又深情自我剖析…..

"
9789862137048,"


獨處的空間、靈魂的場所，
李清志帶你一探全球33所淨化人心的經典建築！


 「Less is More.」（少即是多）這是極簡主義現代建築大師密斯的名言。

 然而網路時代資訊紛雜，台灣人又習慣喧囂、誇張、充滿裝飾的表現形式，使得人們幾乎很難靜下心來思索。

 建築人文學者李清志多年來走遍世界各地探訪經典建築，有些建築或場所不僅外觀特出或結構巧妙，更能產生奧妙的空間氛圍，讓身處其中的人內心獲得安慰、靈魂沉澱安定。

 本書以七個人生重要課題（孤獨、思考、信仰、死亡、歸零、內省、和解）切分， 15篇文章搭配一百多幀精采照片，深入淺出地介紹了世界各地33所「靈魂建築」：從挪威山上結合高科技和傳統手工藝的野生馴鹿中心、瑞士洛桑的漂浮圖書館（Rolax學習中心）、啟蒙安藤忠雄的法國廊香教堂、被列入世界遺產的瑞典森林墓園、像美術館般漂亮的片山津溫泉街湯、伊利諾州森林中的絕美玻璃屋，到只限期存在一年的京都玻璃茶屋「光庵」⋯⋯每一處無不令人驚嘆而神往。

 透過這些建築，作者希望帶領讀者們欣賞孤獨寂靜的建築美學，進而體會簡單生活的美好。

本書特色

 •介紹9國33處經典建築/場所：橫跨美國、芬蘭、日本、瑞士、奧地利、法國、瑞典、德國、丹麥。
 •超過100幀第一手精采照片。
 •實用資訊：文末詳列原文、參觀資訊及官網，便於讀者自行規劃前往。

"
9789860607703,"


	創建於1953 年的德國iF 設計獎，是全球最有影響力的設計大賽之一，致力於發掘優良的設計作品，為現代人提高商業價值、生活逸趣和社會福祉。為了強調各領域的專業，且全面性提升產品的競爭力，旗下分為七大獎項類別，涵蓋產品（Product）、包裝（Packaging）、傳達（Communication）、服務設計（Service Design）、建築（Architecture）、室內（Interior Architecture）以及專業概念設計（Professional Concept），希望透過透明且公正的交流平台，讓表現傑出的設計師們能有站上國際舞台的機會，並持續追求創新，賦予品牌更高的附加價值！

	2020 年的iF 設計獎，一共收到來自56 個國家、7,300 件的參賽作品，創下有史以來最高的參賽數量紀錄！因此，主辦方邀請78 位各個領域的專家組成獨立評委會，評選出1453 位卓越的設計師、代理商與企業主，同時授予75 位獲獎者iF 金質獎的最高榮譽。評委主席Fritz Frenkler 表示：「今年iF 設計獎的參賽件數達到前所未有的數量，Ralph Wiegmann（iF 總裁） 的團隊也從未遇過如此艱難的挑戰。然而，來自各行業和創意產業的參與意願也表達了其對於iF 和評委工作的強烈支持。同時，評委對於許多參賽作品在設計和工藝品質上的大幅改善與進步，感到印象深刻。因此，評選時更必須識別、突顯和評估細節的處理。而這般重要的工作，需仰賴專家評委的客觀判斷，並選出全球最重要的設計獎的獲獎者。」

	原訂於2020 年5 月4 日在柏林舉行的iF 設計之夜，本應為全年度最重要的設計盛事，原計畫以氣派且隆重的方式，來表彰全球最知名的設計公司與品牌製造商們出色的設計成就，然而，基於對於嘉賓的保護，以及避免疫情的擴散，iF 不得不取消舉辦頒獎典禮，雖讓人深感惋惜，但團隊對於褒揚優質設計的熱情卻絲毫不減，改以線上形式為得獎者慶祝，藉此鼓勵設計師們創造出更多富含人文溫度的好設計，共同邁向創意經濟的時代。

"
9789863599616,"


經典的住宅建築＝理想生活的容器
	足以為未來的宜居日常奠定範式


	一部以建築為跳點的旅行散記，
	也是一場關於住宅美學的思辨之旅

	從包浩斯創辦人葛羅培斯，
	到新法蘭克福計畫的恩斯特‧梅與斐迪南‧克萊默，
	再到德國當代頂尖全才設計師Philipp Mainzer，
	本書開啟一趟建築漫遊，看見百年以來德國設計思維的承繼。

◆好設計，能成為百年後的日常
	說走就走、想停就停的旅行，有時是偶遇精彩建築的最佳方式。本書以德紹之旅為始，作者重訪包浩斯校長葛羅培斯設計的教師宿舍，感佩其歷久彌新的經典魅力；當年包浩斯的大膽思辨與嘗試，如今已成現代的日常，且正因是日常，而有了傳承的能量，推動至今。

◆宜居的思索，新法蘭克福的啟示
	由此，作者回顧自身居處的台灣，尋覓起宜居空間的答案；偶然地，在德國當代全才設計師Philipp Mainzer的第一件台灣建築作品中，探見解答的可能。

	為了探求Mainzer作品的設計原理，作者前往法蘭克福近郊拜訪，並循其指引，重溯1920年代的「新法蘭克福公共住宅開發計畫」，看見這座城市如何以社會住宅完成建築形式的變革，成功成為現代住居的絕佳典範；也看見當時德國建築師與設計師如何以住居為起點，並精心規劃日常生活用品，修補工藝與藝術之間的裂縫，賦予住宅空間更多人性化。

◆建築與家具的共鳴
	所謂的好建築，不只是一張皮或一座殼，建築空間裡的一切，都是建築的延續。就空間設計而言，建築和家具互為表裡，而透過Mainzer極簡的家具設計，居住空間有了「向自然靠攏」的韻致。因著Mainzer的經典代表作大腳長桌與臼齒凳，我們看見將一株株原木的歲月搬進住居的可能，這也呼應著Mainzer所投注與實踐的建築精神。

◆住宅建築是生活的容器
	本書從建築出發，進入更大的城市輪廓，再由城市回歸建築、聚焦家具，帶我們領會：生活容器的設計不只關乎「容器」本身，更關乎容器與外在環境之間的連結。而這一路漫遊思索的眼光，最終仍隨作者的深切關懷落回台灣：什麼樣的家居空間可讓人感到安全自在？自我與家庭的關係，如何透過空間設計進行溝通與重組？想望台灣住宅建築的未來，我們或許能有一個新起點。

	好設計，是一種對日常的溫柔改革；
	文化的成形，則源自生活中的點滴積累。
	當好設計成為日常，傳承的文化便有深蘊──
	‧如何理解住宅建築的價值與美學？
	‧什麼是簡潔形式和實用機能的美妙契合？
	‧「新法蘭克福計畫」何以成為理想的公共住宅與都市規劃典範？

"
9789869930581,"


「不是借鏡大自然的，就不是藝術。」──安東尼．高第

	 

	「各位，今天在我們眼前的，不是個天才，就是個瘋子。」

	巴塞隆納建築學院院長在高第的畢業典禮上如此說道。

	 

	留下舉世獨一無二、奇特無雙，甚至建築師去世後百年仍未竣工的聖家堂，高第絕對是建築史上偉大的傳奇！而如此特立獨行、發揮奇思妙想到極致的藝術家，卻也保有浪漫、理想、忠貞、虔誠的風格，深深影響他創造出與眾不同的作品。

	 

	歷史及建築理論學家莫莉．克萊普爾以簡明扼要的方式，帶領讀者參與高第的成長與建築師養成過程，看大師暗戀又矜持的浪漫、呼應自然的有機體建築衍生、理想的公社型式建築成型，到充滿童趣與無盡想像力的米拉之家。配合插畫，詳細呈現高第生涯各階段作品的巧妙與奧祕。

	 

本書特色

	 

	★ 西班牙建築師安東尼．高第，創造了現代最奇特、最充滿想像力的建築遺產。本書圖文並茂，解說高第成長與創作能量的來源，是了解高第傳奇的最佳入門書。

	 

	★ 了解高第為實現心目中的理想社會，打破向來由貴族或教會出資興建教堂的模式，向民眾集資興建聖家堂。

	 

	★ 終身未婚的高第，為何終身未婚。瘋子與天才的兩極評價，到底從何而來。他又如何走向虔誠信仰，並透過建築實踐。

	 

	★ 論及友誼對高第的影響，他重要的工作夥伴，更讓人了解建築不只是一人的工作，還要有神隊友的配合！
	 

"
9789869991520,"


水上庇護所的奇蹟．建築大師柯比意的漂浮建築
	2020年浮出水面、重返塞納河，百年經典的修復之路


	法國建築大師柯比意（Le Corbusier）在1920年代末期的事業起步階段，受託將停泊於塞納河的運煤船改建為庇護所，收容戰爭難民和經濟難民──在冬天爲街友提供熱水清潔，免於躲在橋下挨餓受凍，夏天則成為兒童夏令營的住宿點。這艘混凝土製的「漂浮庇所」（Asile Flottant），從此成為柯比意眾多作品中最為獨特的存在。

	「船」的意象是柯比意貫徹多年的主題之一，最終成為其住宅作品的隱喻。他在漂浮庇所設計了支柱、屋頂和水平連續帶窗，實現了現代建築理想的內部空間，這些圓形支柱與經典住宅作品「薩伏伊別墅」產生了連結──漂浮庇所可說是一艘成為建築的船。

	時至今日，漂浮庇所仍在塞納河上。十年前，本書編者遠藤秀平建築師在假設工程的國際競圖案中勝出，計畫以波形鋼版包覆這艘船，可惜最終並未實現，但也因此開啟日本與法國的建築合作。2018年，塞納河水位異常升高，使船體部分沉沒；在水位下降後，船體於2020年浮出水面，目前正計畫修復至柯比意當初設計的原始模樣。本書收錄了珍貴的設計圖面原稿，以及當年在沙龍促成合作的生動故事，透過多位日本建築師的觀點，我們得以從不同面向理解柯比意的設計初衷，以及在那個獨特年代的蛻變歷程。

"
