ISBN,書籍簡介
9789869440523,"


建築師之眼的行家帶路！
不接受公關‧實際投宿‧職人分析
此生必住一次，最值得體驗的世界之最50+
	30年搜集，最新名單！2008年暢銷書全面翻新升級


	◎絕對高度與代表性，建築師眼中的最頂級，從空間、設計、美食到服務……
	◎全新名單，全數實際投宿，無公關稿，嚴選全球之最
	◎4大類旅店新趨勢──歷史建築、地域文化、設計創意、國際風格
	◎體驗後會上癮的13種生活風格，古典時尚、設計高端、民族風情、古蹟文創……
	 
頂級旅館的定義，早已不是數學問題……
因ARMANI、FENDI、普利茲獎建築大師而不凡的旅行品味＆享受

	當世界旅館史還沒出現「設計旅館」時，建築師黃宏輝就已經嗅到未來性，三十年來，他不惜重金出遊，去體驗、去發掘這個與時俱進的創新趨勢。每一次旅店體驗，都是一次不可複製的精彩經驗，更是一次建築、設計、時尚的生活提案。這本書的出現不流於一般，不接受公關，有實際的投宿經驗、實地的觀察分析並提出非官方看法。頂級代表的不是高價，而是凌駕價格之上所帶來的價值。時尚品牌Ferragamo如何成功與旅店設計結合？原來建築大師ZAHA、安藤忠雄、蓋瑞都已有設計旅店的作品問世？中國上海的朱家角安鹿，如何在高端安縵飯店體系，再創頂級高峰？哪家設計旅店，又是當今話題最高，眾人趨之若鶩的體驗首選？

刷新紀錄的設計創舉
	阿拉伯杜拜Dubai Buri Al Arab靠著弧形天際線，勾勒出帆船剪影成為地標；中國湖洲「喜來登月亮酒店」出現世界上首見純藝術性的雕塑建築；越南惠安GHM的Nam Hai被業界稱為最複雜又反常的客房室內設計，有與眾不同的設計能見度；知名渡假大品牌安縵新創更高一檔的「安麓」另品牌，強調古蹟建築拆解保存修復，更以Resort結合私人珍藏博物館。以上這些不論在建築設計上的突破以及室內設計中的品味都具有前瞻性，設計的最終極目標就是──創舉。

精品競逐新勢力
	自從佛羅倫斯Hotel Continentale與時尚品牌Ferragamo結合，開設了這間中世紀又現代感的設計旅館後，精品業包括Versace、Giorgio Armani、Fendi無不爭相加入這場精品業外的另類競逐。

老牌二軍聲勢看漲
	而在精品競逐的趨勢之外，傳統主流飯店Grand Hotel因應市場所需，也開始設置二線品牌提供較次等價位的另一塊市場。美國本土品牌Sheraton很久前便發展了一系列「W Hotel」，不論是紐約、芝加哥、達拉斯、洛杉磯、墨西哥市……更遠渡重洋到澳洲雪梨開了第一間將舊羊毛工廠重新裝潢，搖身一變成為引人矚目的另類旅館。而後在亞洲首爾出現的「W」更具話題……二軍的表現看來聲勢凌駕於一軍之上，甚至最近香港、台北都出現了它的身影。

普立茲獎建築大師也投入
	原來競爭激烈的歐陸城市，2000年在鬼才設計師Philippe Starck的開啟下，倫敦陸續出現一件件系出同門的設計旅館。不論是Sanderson、St Martin’s Lane……倫敦儼然成為Starck的代言舞台。接下棒子的是倫敦寶格麗與建築師Norman Foster的Me Hotel，再繼續擴大版圖。

	而接下設計下一棒的城市，是西班牙的巴塞隆納，多位普立茲獎建築大師如英國Richard Rogers的Hesperia Hotel & Conterence Centre、日本伊東豐雄的Porta Fira Towers Hotel、法國Jean Nouvel的Ranaissance Barcelona Fira Hotel、西班牙Rafael Moneo的Mercer Hotel Barcelona，密度之高，多樣性之多，光是設計旅館這事就是一趟豐富之旅了。

	荷蘭則是下一個設計強國，因著庫哈斯風潮而引發的MVRDV及其他年輕建築師登場……可見歷史建物的文創手法再翻新。不論是百年舊驛站監獄改建而成Hotel Lloyd，或是將舊火藥庫農莊改建而成的Lute Suites，由天才傢俱設計師Marcel Wanders與時尚美食主廚Peter Lute聯手創造了一般人難以想像的旅館風貌，都預言了荷蘭人未來品味生活的趨勢。甚至是南部小鎮馬斯垂克，以中世紀老教堂改建成的時尚設計旅館Hotel Kruisheren，十足脫離現實。這棟旅館不只是單一建築的更新，恐怕是整個教堂林立的古老小鎮都要面臨時尚生活步調的轉型。亞洲的上海也不遑多讓，十一家精選的設計旅館聯合起來成為全世界密度最高的單一城市，也見證中國經濟大躍進，這還不包含附近杭州、南京等其他同樣高端精神的酒店。

	書店裡充斥著綜合式報導性高的旅遊書，對於投宿頂級旅館不太觸及。後來終於有了旅館專書，但多是達人口述介紹，最不傳神的是使用館方提供的公關照片，更別論有專家看法評論，公關性質強缺乏真實感。建築旅館專書有其價值，但專業性太重，設計人會選當參考書，但旅行人士卻不見得領情。本書期許將生硬的居住機器透過生活品味Life Style轉譯，成為大家進入設計的低門檻，在這願景之下，更重要的是選樣的嚴謹，期待品味與視野的提升。

"
9789865534370,"


	國內唯一一本介紹台灣社會住宅演進史的圖文書
	完整記錄台灣公共住宅從1920年開始的發展背景、演進及轉換過程

住宅是集體消費商品？還是確保人民基本生存權利的物品？
	真的住者有其屋嗎？
	房地產商炒作土地、墊高地價，都市裡仍一屋難求，
	老人化讓居住偏好發生變化，
	新二代宅追求一碗湯的距離、比鄰而居？

	公共住宅是由國家興建的住宅，在不同歷史時段裡有不同的別名，例如公營住宅、國民住宅、社會住宅等，在大眾眼光中，它不夠精巧、沒有名人居住過，且與官舍、眷村長得很像……因找不到理由認同它具有獨特的歷史價值，而不受矚目與關愛，同時也反映出台灣人對於自己公共住宅歷史的無知。

	從一九一○年至二○○○年近百年台灣公共住宅史，橫跨了日本殖民、戰後威權，以及一九八○年代開啟的形式民主三個政權時期。但若正視當時社會情境與公共住宅的新類型出現，可將公共住宅的理想住宅範型與文化想像，細分為五個歷史時期。殖民時期的公營住宅和營團住宅；一九三七年理想的住宅為節約住宅，戰後為美援國宅與集中興建國宅兩類型。一九六四至一九七五年為拆除有礙觀瞻違章住宅、發展新社區建設，改採取集中興建國宅政策，理想住宅為經濟住宅；一九八○年代政治解嚴與經濟狂飆，政府興建室內商品住宅。

	經過百年來的歷史實踐，住居治理仍然擺盪於平價、合宜、社會、貧民住宅之間，而缺乏明確台灣公共住宅定義，就是民眾需要怎樣的住屋，政府和建築師得設計出什麼形式的住宅與社區，政府和建商之間如何取得平衡，看來還有一段很長的路要走呢。

"
9789869962056,"

校園公共藝術，是形成建築與自然景觀中，不可或缺且具有藝術教育作用的裝置。在歷史悠久的臺藝大校園，藏有許多藝術名家之作，陳設於戶外空間的多件雕塑作品，更是其中較為引人矚目者，這些作品與創作者都屬於重量級，也和臺灣雕塑發展有著密切的關係，值得深入探究作品中的內涵與理念。校園內公共藝術的設置除了美化空間，也能讓學生透過欣賞而產生美感，提升人文素養與藝術鑑賞能力。本書以探討公共藝術與校園公共藝術開始，再對臺藝大與臺灣現代雕塑發展的密切關聯進行探討，最後介紹臺藝大戶外開放空間的藝術作品，冀望能喚起更多人一同發掘藝術之美。
                    
"
9789869739290,"


	台灣各地常可見偌大的閒置公共設施，其產生的原因包括政黨輪替、政務官更迭、競選支票承諾、政策轉彎、空間使用目標不明確、特定活動而非常態活動之建設、管理不善、不當的競爭型計畫、法規過時或抵觸、行政程序阻礙，加上少子化、人口超高齡化，以及成立六都導致人口更加集中於都市⋯⋯

	近十年來因政府正視公有閒置空間，逐漸進行整頓與活化，整體而言效率提高不少。本集《海市蜃樓》動員四十多位學生進行第七次全面抽樣踏查，收錄了六十一處完全閒置、部分閒置、低度使用或延宕開發之公共設施、四處天然災害導致閒置的公共設施、二十處閒置活化再閒置之公共設施，以及十五處已活化或活化中之公共設施，按往例一樣，總計一百處案例。

"
9789573285472,"


◆收錄細節
日本後現代主義建築重要建築師
	白井晟一、大江宏、毛綱毅曠、丹下健三、磯崎新、石井和紘、石山修武、高松伸、原廣司、安藤忠雄、隈研吾、伊東豊雄、黑川紀章、象設計集團、MIDO同人會、前川國男建築設計事務所……
	 
日本後現代主義建築代表性建築物
1.摸索期1975—1982
	懷霄館［親和銀行總行第3次增改建電算中心棟］｜別子銅山紀念館｜今歸仁村中央公民館｜千葉縣立美術館｜筑波新都市紀念館｜洞峰公園體育館｜小牧市立圖書館｜角館町傳承館｜金澤市立圖書館｜澀谷區立松濤美術館｜名護市廳舍｜弟子屈町屈斜路阿伊努部落民俗資料館｜釧路漁人碼頭MOO｜新宿NS大樓｜赤坂王子飯店（赤坂格蘭王子大飯店）新館｜兵庫縣立歷史博物館
	 
2.興盛期1983—1989
	筑波中心大樓｜直島町役場｜伊豆長八美術館｜釧路市立博物館｜釧路市濕展望資料館（釧路市濕原展望台）｜毛綱毅曠建築事務所｜球泉洞森林館｜東京都葛西臨海水族園｜世田谷美術館｜盈進學園東野高等學校｜織陣｜YAMATO INTERNATIONAL｜石垣市民會館｜東京都多摩動物公園昆蟲生態館｜龍神村民體育館（龍神體育館）｜東京工業大學百年紀念館｜魚舞（Fish Dance）｜兵庫縣立兒童館｜朝日啤酒吾妻橋大樓（朝日啤酒大樓）、吾妻橋大會堂（Super Dry大會堂）｜湘南台文化中心
	 
3.極盛期1990—1995
	青山製圖專門學校1號館｜焦耳A｜東京都廳舍｜八代市立博物館、未來之森博物館｜M2（東京美茉莉禮堂）｜川久飯店｜高知縣立坂本龍馬紀念館｜姬路文學館｜石川縣能登島玻璃美術館｜Amusement Complex H｜梅田藍天大樓（新梅田城）｜愛媛縣綜合科學博物館｜秋田市立體育館｜西海珍珠海洋中心（海KIRARA）｜輝北天體館

	作者相關著作：《建築遺產的私房導覽  東日本30選》
	《建築遺產的私房導覽  西日本30選》
	《日本前現代建築巡禮：1868-1942明治、大正、昭和名建築50選》

本書特色

	日本建築大師隈研吾：「再也沒有比這個時代更有趣的了。」
	 
	日本後現代主義建築，一概被歸為「泡沫經濟期建築」，很少被正面論及。本書精選並實地探訪1975～1995年後現代主義席捲日本期間的50棟名建物，以知識淵博的文章加上幽默而生動的插圖，為讀者報導這些建築的源起與現況。

	這些建築大致分為摸索期（1975-82年）、興盛期（1983-89年）與極盛期（1990-95年）三期，採完工年代排列，帶讀者進建築聖地巡禮。不只是建築欣賞導覽，也是讓人樂在其中的旅記。

	另附有建築大師隈研吾與作者磯達雄的對談，究竟他們精選的「對日本後現代建築意義重大的作品」為何？對談當中又將擦出何種火花呢？
	 
	看門道看熱鬧皆宜！
	產經新聞晚報書評：以輕鬆插圖與文字，為讀者深掘名建築的魅力與實力所在！

	亞馬遜書店讀者評論：讀者印象中的建築書總是充滿術語與冷硬的照片而難以閱讀，然而本書的圖解一看就懂，明確點出建築講究的細節何在，就算是不熟建築的讀者也能讀得津津有味。

	日本權威建築雜誌《日經建築》最受歡迎專欄，雜誌總編輯宮澤洋與建築作家磯達雄，透過生動圖文書寫建築歷史、美學，為古蹟建築鑑賞人士、日本旅遊愛好者、建築系所學生、必攜參考書。

"
9789869647526,"


建築的表情，隨著時間變化無窮，
	但是，好建築的美感是如何發想出來的呢?
	建築旅遊達人林祺錦建築師花費一年的時間，整理出六大方向，
	解碼建築外觀設計應用的奧秘
	帶你看懂建築、實務活用！


	我們日夜往來和生活在每棟建築物之間，
	卻經常對空間的美感、建築的詩意視而不見，
	建築物的表情，蘊藏了服務人的本質與建築師帶出的人性關鍵，
	本書由專業建築師的觀點領路，讓你看了建築，也能了解建築。

	◎由建築旅遊達人林祺錦建築師帶領
	從「看熱鬧」、「看門道」，進階學會看出建築的「表情」。連一般人都能看懂建築物是如何構成。

	◎新手建築師同步掌握新、舊建築的外觀塑形手法
	從「看門道」到「實際操作設計」，學習頂級建築建築師進行設計時的思考路線。

	◎第一本將建築物外觀鑑賞拆解成「六大設計法則」的工具書
	系統化學習建築專業的工作SOP，一本就懂建築造型構成的奧妙。

	建築的外在表情，體現建築師心目中堅持的美學研究，也是與受眾感官對話的第一步。
	建築立面的複雜細節，則是建築師經過思緒內外的反覆驗證，加上系統性的技巧磨練而成的。
	本書藉由簡單易懂的分項說明，提供讀者初步入門建築欣賞的藝術新角度。

【138個全球案例導覽】
	透過書中超過138個國內外出色的建築案例，跨越時空直到現代，看建築師如何運用環境、文化、研究理論，創造出展現經典美學。

【50位建築師、106個外觀創意關鍵技巧】
	獨家歸納50位建築師的各種塑造立面的手法，例如:老建築可以靠皮層重新規劃外觀和排水管、新建築靠材料或分割來創造雕塑感，教你精準掌握設計關鍵點。

【真實案例執行分享】
	從創意到執行的每一個步驟、從業主會談到工程驗收，以及建築師的生涯點滴，首度不藏私大分享，包括現場採集、環境注意、重組創意、材質分析、顏色掌握、實際個案分析、業主要求到現場施工。

【理性分解，建築設計的六大面向】
	將建築設計分成「概念主題、材質、分割比例、色彩、光影、綠化立面」六大方式來討論，即使是想自己蓋房子的讀者，都能學習到設計的方法。

【系統性整理+老師的口袋密笈】
	專業建築師必備的SOP，整理成容易記憶的圖表：
	1.「基地調查法」
	2.「選材與色彩運用法」
	3.「光與介質變化設計法」
	4.「材質的溫度表情」

本書特色

	本書6大篇章剖析建築師如何順利進行建築外觀的創意思考：

	篇章1.概念與主題：
	「最基礎的就是最重要的！」
	教你從直接引用、抽象轉換、企業精神、環境、家的意象等方向，進入主題，

	篇章2.材質：
	逐步剖析11種建築師常用材質的特性與感受，除了有高科技的帷幕網，建築師還運用很基礎的材質來發想創意，例如清水模、鏡子、塗料、磁磚、PC板，建築師的創意因為預算不高的材質，顯出更高的創意。

	篇章3.分割、比例：
	運用立面上不同比例的分配，光是窗戶、陽台、露臺就可以創造出「動態」或是「規則」的不同表情;甚至可以光運用分割重組，就能達成建築物外觀設計的目的。

	篇章4.色彩：
	色彩掌控了建築物想「凸顯」或是「隱藏」的關鍵，也是人們第一眼印象最深刻的，光是黑、白、灰的組合，都可以構成印象深刻的好建築外觀。

	篇章5.光與影
	光是建築重要的關鍵，透過建築開口的深度與寬度、結構的縫隙，就能展現出漫射、直光、隱喻等6種基礎「光的變化」，讓建築物在白天或夜晚，都有令人感動的感官享受。

	篇章6.綠化立面
	綠化立面與建築融合，已經是未來的都市趨勢，學習全球建築師是如何利用皮層、露臺、中庭讓植物作為建築景觀的主角。

"
9789869533935,"

自2010年持續至今的藝術計畫《海市蜃樓》系列作第六集 由藝術家姚瑞中帶領「失落社會檔案室」之《海市蜃樓：台灣閒置公共設施抽樣踏查》藝術計畫，至今已揭露全台超過五百座閒置公共設施。2018年推出第六集，推翻了第五集出版時宣告不再出版的諾言，直指公共空間所面臨的問題，在政黨輪替後依舊未獲改善。經過第三次政黨輪替後，新政府在上任將滿週年的2017年三月，編列了高達八千餘億元的「前瞻基礎建設特別條例草案」，其不畏朝野論戰，短短四個月強行通過並迅速執行。因此《海市蜃樓》第六集即是對此項法案所衍生的議題，與現實中存在且尚未解決、正在活化，以及已活化之公共設施，進行新一輪的統整。本集彙整115處完全閒置、低度使用、延宕開發以及解除列管與活化的閒置空間案例，包括由不當政策而導致的遊憩設施、工商園區、交通建設，以及在少子化等社會現狀下所產生的閒置學校⋯⋯除了提供公眾反思的參考之外，也促使尚在追尋未來的年輕學子，透過攝影與文字，開啓對家鄉及生活環境的省思。
                    
"
9789869508629,"


	這本書收錄了近年堪稱一時之選的澳洲重要經典得獎案例遊戲場，更獲得如ASPECT Studios、 McGregor Coxall、T.C.L 等等在澳洲雪梨、墨爾本深耕都市設計、公共空間環境專業的景觀設計事務所之支持。希望這本書的問世，能夠幫助國內目前如火如荼進行的公共遊戲場空間改造。他山之石可以攻玉，讓台灣這個原本就充滿豐富生命力、文化包容度和創意的寶島，創造出符合國情、造福平民百姓的優質特色遊戲場空間。

"
9789862821992,"


校園的每個孩子心中都住著一個小王子，
讓他們自在地去探索、相遇和發覺，
讓學校成為孩子編織夢想與創造想像力的基地。


	★【臺南市長】賴清德：關懷幸福教育的建築家！

	★【國立成功大學建築系教授】林憲德：綠建築政策最佳代言人！

	★【高雄市政府教育局局長】范巽綠：以工學詩人優雅的筆觸在天地晨昏間，導覽著一畦畦散落在臺灣魅力城鄉之間的「夢田」。

	★【前國立臺灣文學館館長】鄭邦鎮：《學校夢田》對全體校長、教育界、家長會、社區、建築界，提供了極具價值的參考。

	★【國立政治大學教育學院教授】湯志民：《學校夢田》的各項校園建築，紀錄了他對學校建築美學、綠建築、創意與永續經營的體現與貢獻。

	★【國立交通大學建築研究所教授】張基義：《學校夢田》是教育建築的資料集成，南方經驗的忠實紀錄，更是建築師社會責任的關鍵報告。

	★【國立成功大學歷史系美術史教授】蕭瓊瑞：劉木賢的學校建築設計，已形塑一套教育哲學的架構，更進入藝術創作的品質。

	★【建築改革社副社長】徐岩奇：《學校夢田》是下一波新校園運動的討論基礎。

	學校是孕育一個人思想養成的最重要歷程，校園因此可說是地方最重要的公共場所。不論都市、城鄉、山巔或海邊，有社區、有聚落的地方就有學校。而每一所學校的興建，都承載許多人的需求與夢想，包含學校所有師生、家長與學校周圍的社區民眾，有形的意見與說不出來的期望概念。
	   
	本書為建築師劉木賢的校園建築作品集，收錄他所規劃的16件校園設計案例。從一開始的紙上建築構思，興建校舍的日曬汗水，到實體建築物的出現、學校師生搬進新家後的啟用感想，全書以圖文並呈的方式，講述每座校園建築的空間意涵與故事脈絡，精彩完整地描繪建築背後的設計歷程與劉木賢追求永續經營與尊重自然生命的設計哲理，為讀者開啟一場教育哲學與建築工學的詩意對話。

"
9789864082018,"


怎麼住進裝潢好的家，
發現東西好多、櫃子不好用呢？
不要再勉強自己了！
告訴你過來人的收納早知道
屋主用過齊聲都說讚！
從收納動線、櫃體尺寸到材質，裝潢屋主和專業編輯不說不知道
每次收完都忍不住微笑的設計


	是不是常常東西收了就忘記，買了才發現原來放在櫃子深處！！
	東西太多，櫃子太少，家裡變得亂糟糟！
	櫃子設計差，打開門片竟然會卡住？！
	櫃子看起來很大，但收不到什麼東西，就滿了？！

	惱人的收納問題層出不窮，
	從源頭解決才是唯一解！
	從空間規劃、收納動線到櫃體規劃，
	讓你好用好收，居家風格不打折！

好收納，哪裡讚

	★讓鞋子收雙倍的好收納，讚！
	加深櫃體，再加上旋轉鞋架，收納量倍增。

	★讓玄關變清爽的美形收納，讚！
	在狹小的玄關最不希望櫃子太大、太壓迫，用鏡面當門片，不僅能放大空間，還能讓視覺更清爽。

	★高矮胖瘦都能歸位的好書架，讚！
	偶爾設計不同高度的書架，組合在一起就能收納不同尺寸大小藏書，讓書收得乾淨整齊！

	★走道竟然也能收東西，讚！
	誰說走道太小、太窄，收不了東西！牆面加上層板，深度別做太深，擺上紀念品或裝飾小物，讓走道化身藝廊

	★再小空間也能擠出更衣室，讚！
	利用樑下畸零空間，簡單加上門片或拉簾，臥房再小也能做出更衣室。

	本書蒐集多位屋主的經驗分享好用的收納設計，讓有相同需求和問題的讀者參考。同時，專業編輯群提出絕對要小心的NG設計，避免裝潢新手做錯的困擾。

	從空間規劃和物品需求切入，不同空間和物品種類會有不同的收納需求。玄關首重如何收納大量鞋子也不浪費太多坪數，書本要怎麼收才收得漂亮又不壓迫空間，小空間也能規劃出好用的更衣室等。拉出絕讚設計的關鍵要素，讓你收得漂亮又好拿。

"
