ISBN,書籍簡介
9789866204722,"

人眼在時速40公里的行車中會產生47公分的動態模糊，這讓當代的都市移動經驗只剩下起點與終點；若回到時速5公里以下、以步行為主的年代，建築的意義對我們會有什麼不同？高雄，臺灣第一大港，是一座從無到有、填海造陸的人造城市。港邊現代化的城鎮哈瑪星伴隨打狗港一期築港工程於1908年出現，一開始就是鐵道連結港口、港口連結世界，為了島嶼貿易運輸而生。二十世紀初開港後所出現的商行民宅，既不是從漢人傳統演化而來，也不是純然移植日本、西方形式，而是綜合都市計畫、機能使用、文化影響所出現的獨一無二建築型態。本書將場景拉回人口大量成長之前，找尋當年港灣城市創建空間歷史的經驗，在此收錄的老屋興建於1910至1954年，這是一個人們還在意建築、在意細部的年代──當時市街上主要的交通方式為步行、腳踏車、人力車、牛車等，人們以時速五公里以下的步伐行走，或自在駐足在街上，感受每戶人家透過建築材料與立面裝飾所傳達的訊息。這些老屋紀錄了當年對熱帶聚落形式的理想，當今則藉由修復再生與空間探源，找回建築的意義，並再次書寫屬於在地的城市空間論述。
                    
"
9789869980890,"


椬梧鐵花窗創造過程，是2019臺灣地方創生元年以來，相當亮麗且具創意的案例
	規劃團隊與居民共同挖掘在地魅力，透過藝術轉譯，為地方再創生機


	2019為臺灣「地方創生」元年，雲林縣共有古坑、林內、口湖、四湖、臺西及水林等六個鄉鎮被列為「地方創生」優先推動地區，「口湖鄉椬梧城鎮之心人文景觀再造計畫」（簡稱「椬梧城鎮之心」計畫）便是在這樣的脈絡下產生的一個計畫案。

	椬梧，是雲林縣口湖鄉西南方近海的小村落，地名源自早期種有大片的椬梧樹，因臨海風大，又位居北港溪出海口附近，素有「風頭水尾」之稱，自然生活條件嚴苛。2019年雲林縣政府結合營建署「前瞻基礎建設計畫－城鎮之心工程計畫」補助，提出「椬梧城鎮之心」計畫，並委由以營造臺南土溝社區聞名的水牛設計部落公司規劃執行。

	雲林縣政府與水牛團隊擺脫傳統「公共工程」發包的僵化作法，改以創新的角度出發，透過結合社區營造由下而上的參與式設計方法，引導在地居民找出地方特色與庶民故事，共同營造出富地方魅力的人文景點，亮眼的成果，吸引許多民眾特地前往小旅行，認識椬梧村落故事，造成一股網路打卡熱潮，也讓原本沒落的小村重新發光、再生。

	這是一場由居民集體參與的社區設計實踐案例，在公部門、專業團隊及在地居民攜手合作下，共同改造了無障礙設施、社區食堂、聚落地標椬梧水塔，並將常民生命故事以藝術轉譯方式呈現，創造出十三面深具魅力的鐵花窗。而營造過程也讓當村民重新看見自己的價值、重拾地方認同，更集體主動進行社區空間綠美化，自主營造美好鄉村生活環境，讓偏鄉村落再創生機。

	所謂社區營造，最重要的並不在是營造「空間」，更是在營造「人心」。本案硬體營造成果固然重要，但操作過程中的經歷與體悟更是無形而珍貴的資產。

	本書便是在此特殊脈絡下所產生，水牛規劃團隊透過實際參與案例與營造成果交叉呈現，呈現「公民審議」、「藝術進入社區」、「居民動手」、「青年參與的想像開發」、「沉浸式知識教育」等主題。反思「工作團隊角色與分工」、「駐點工作的責任與挑戰」、「社區成員的轉變」，收錄了多位參與成員第一手的營造過程資料與心得，並邀請李永展、曾旭正、侯錦雄三位專家學者，透過專題導論，深化理論與實務的對話，值得所有國內各地方有心於社區設計、社區營造、地方創生等工作者參考，一起來帶動臺灣地方文化復興。

本書特色

	公私協力，開創地方創生新局
	雲林口湖鄉椬梧地區，原是默默無名的濱海小村落，在政府地方創生經費挹注下，由長期深耕社造的臺南土溝「水牛設計部落有限公司」執行規劃設計，結合公共工程與社區營造由下而上、居民參與的概念，所營造成果帶來網路故事鐵花窗打卡風潮，是國內地方創生元年以來，相當亮麗且具創意的實踐案例，規劃團隊成員無私分享操作心法！值得各縣市政府及投入地方創生、社區營造等領域的工作者參考。

"
9789863986959,"


五大生活圈 × 浪漫台三線
	用5種道路設計策略，打開臺灣公路新視野

	路，是生活的載體，
	它串起大城繁華小鄉活力，走至海角遼闊深山秘境，
	穿梭在大城小鎭之間，縫合成在地生活圈。
	對公路有期待，是因為對生活有期許。
	透過傾聽用路人與公路的對話，修繕公路更串連美好生活。

	臺灣近年著重地方創生發展，而交通為建設之母，公路是民眾生活之所需、基礎建設不可或缺的重要環節，公路修繕養護也成為均衡城鄉的必要需求。

	在行政院國家發展計畫的大方向下，交通部公路總局擔負起「前瞻基礎建設─提升道路品質建設計畫（公路系統）」中的都市計畫區外道路，針對全臺343條公路進行改善，從地方鄉鎮生活看見道路修繕需求。

	因此，這次我們從「生活」出發，運用「公路生活圈」概念，別開生面的從「用路人」的角度，呈現公路修繕的思考與設計。在三百多條公路修繕計畫中，精選出最有代表性與故事性的23條公路修繕路線，其中更特別策畫呈現跨越多個縣市的台3線修繕計畫，全書篇章分為北部、中部、南部、東部及離島生活圈，以鄉鎭為單位，呈現公路為何而修？為誰而修？又如何修？

	同時，以「在地需求×公路特色」的交集，歸納成邁向平權、有感設計、風景公路、永續實踐、繁榮創生等5種道路品質提升設計策略，從實地採訪與田調基礎上，看見公路改善前後，對於周遭居民生活的影響，與環境的共存，聽見用路人的實際感受。

	邁向平權 以「均衡區域發展」為訴求
	有感設計 以「改善用路人體驗」為目的
	風景公路 致力於「提升美學感受」或「滿足休閒需求」
	永續實踐 思考「環境永續」
	繁榮創生 為「推動在地產業發展」的最後一哩路

"
9789571087566,"


這一次，從街屋認識台南！


	台南讓人流連忘返的原因，其中之一就是復古懷舊的氛圍，
	透過街屋，一起走讀府城72處凝結了美光舊時光的美麗老屋與故事！

【關於本書】

	本書以圖繪記錄台南舊城區中，建於日本時代至戰後初期的街屋建築，這些常民住宅及店鋪街屋，藉著所表現的形式風格，形塑了街道的歷史與表情。

	如在末廣町（今中正路）以林百貨為地標的連續商店店鋪街屋，可以看到那時流行的藝術裝飾風格，西門圓環邊以紅磚及華麗山牆，形構台灣建築風味的穀物商店金泉成，赤崁東街上以和洋混合風格表現，有著別緻庭院的陳一鶴宅邸，這些街屋均豐富了為歷史古都的台南，之於幾百年來時光進程的感受。

	作多年的台南老屋觀察者，作者從歷史文化層面來看待台南老舊街屋，以樸實動人的精細繪圖與生動的文字敘述，介紹台南舊城一間又一間的特色街屋，秉持著熱血業餘的獨特觀察角度來繪畫與撰寫，期望藉此更親近讀者，也藉此推廣到社會大眾，並讓我們思考這些街屋，該以何種樣貌存於台南的街道。

	目前市面上眾多介紹台南的書籍中，大都以美食、古蹟、旅遊觀光景點，或是近年火紅的老屋改造為主，鮮少有此類介紹街道常民建築的書，期盼透過本書，能讓讀者在閱讀文章之後，從中看到常民建築文化的表現，體會悠遊於街屋表情的樂趣，並且可以重新認識台南街屋與歷史共存的美好。

本書特色

	＊作者將多年所收集特色街屋的資料，以手繪彩稿與文字敘述圖文並茂呈現。
	＊73處街屋繪圖細緻精美，以獨特的視角呈現街屋的完整性與生命力。
	＊採用進口紙張與精美的印刷、裝禎，將街屋之美躍然紙上，值得收藏。

■台南街屋有何特色？
	NaNa是日文ナナ的發音，也就是七條通的意思。七條通，是府城民生綠園的別稱，七條路匯進的圓環是這個城市的中心意象，台南的魅力有很大一部分要從獨具特色的建築說起，這些歷經歲月洗禮，從戰火中倖存的建築，就是街屋。

■街屋的可看性是什麼？
	本書所圖繪書寫的街屋，時間軸以日本時代至戰後初期的建築為限，空間軸則涵蓋台南舊城區域及其周邊街巷的範圍，這時期的街屋，有著各種風情，混搭和、洋與台人的各種風格和建築表現元素。
	有台灣京都美稱的台南，近年來躍昇為台灣最具特色城市之一，尤其台南街景在這兩年更多次榮登日本多本刊物的封面，有別於新興城市的現代化規劃，台南新舊雜陳，街景一隅可見街屋的獨特樣貌，也是台南獨特的魅力所在。

各界好評推薦

	一青妙｜作家‧演員
	方耀乾｜詩人˙臺中教育大學台語系特聘教授兼系主任
	林朝成｜台南社區大學校長
	凌宗魁｜建築文資工作者
	張玉璜｜財團法人古都保存再生文教基金會董事長
	陳信安｜臺南市政府觀光旅遊局局長
	（依姓氏筆畫排列）

"
9789573284468,"


第一本系統化、以水彩繪圖記錄台灣街屋文化之書
咀嚼最道地的庶民台灣味
讀出屬於自己的生活故事
招牌、鐵皮、水塔、帆布、騎樓、摩托車……，
這是我們的家，我們的城市，我們的台灣！
	 
	羅丹說：「這世界並不缺少美，是缺乏發現。」

	一個背著畫具「行走」的畫家，以漫遊步伐、速寫筆法，穿越台灣大街小巷，從南到北、由西到東，用溫暖色彩呼喚出一間間街屋獨特的生命個性，用情濃文字帶引出建築的美麗與人間的故事。

	在他眼中，那些斑駁「鐵皮」，是人們在地狹人稠的環境中對空間的生存渴求；那些五顏「招牌」，是色塊的拼貼組合所交織的彩光；那些「與樹共生」的房子，是讓空間柔軟粉妝的天使；那些「老屋」，彷彿神秘光譜得以和過去對話……；每一棟街屋，是「時間」與「居住者」共同打造的印記，讓它不再只是建築，讓它有了情感和溫度，而你我，就生活其中。

	手繪的凝視與記錄，是將「台灣街屋」記憶下來最浪漫的方式。這樣直率、堆疊、複雜、多元的街景，正是屬於我們的「台灣味」；而市井的、人文的內蘊和豐美，只等待──你的發現！

【隨書加贈】
	行家必收！37間街屋、60x23cm全幅書衣海報
	霸氣呈現專屬台灣的生活之味
	 
本書特色

	‧再一次看見台灣──從南、中、北、東到離島，從台灣特有的「扛棒」到鐵皮，從100張街屋繪圖，一覽台灣的庶民生活、草根文化、城市地景，重新看見被我們忽略的台灣街貌之美。

	‧深具收藏價值的街屋圖鑑──街屋的味道，是一種生活感的堆疊。招牌、鐵皮、水塔、帆布、紅磚、騎樓、斑駁的牆、共生的樹、堆疊的貨物、塑膠椅、摩托車……，充滿既熟悉又懷舊、既道地又動感的「台灣味」。

	‧蘊含生活體悟的人文情懷──視覺藝術、店家故事、生命經驗、美感教育、時代歷史，跟著作者行走→觀看→繪寫，深入每一座城市的文化風景。

	‧建築符號、繪畫技法大公開──介紹台灣街屋建築符號美學，不藏私分享繪畫工具、步驟與技法，滿足知識與學習的興味。

"
9789865515508,"


逐漸消失在東京街頭的「看板建築」，曾經是昭和時代東京甚至全日本的商店日常，對我們也是似曾相識的臺灣街頭風景。
	收錄超過130間看板建築，以及10間看板建築商店屋主訪談，走一趟充滿懷舊庶民氣氛的建築與文化巡禮。


	昭和初期，令人感到不可思議的店鋪紛紛林立東京下町。

	文具店、花店、理髮店、和菓子店、帽子店、書店、家常菜店、當時還稱為「牛奶廳」的咖啡廳……現在大多消失了的自營商店生意興隆，建構起熱鬧的城市街景。

	大量興建於關東大地震（1923年）之後的看板建築，是結合店鋪與住家雙重身分的建築樣式：本身是日式建築，正面看過去則宛如一整幅招牌看板，各種創意、技術與巧思，都表現在其上，在當時是很稀鬆平常的商店建築。直到1975年，由致力於調查近代建築的藤森照信先生（現任江戶東京博物館長）與建築史學者堀勇良先生命名為「看板建築」，並在日本建築學會大會上發表。

	歷經二次世界大戰、戰後重建、經濟高速成長、泡沫經濟直到21世紀的今日，這些看板建築早已成為城市中珍稀的文化資源，也代表著昭和年代的生活樣貌正在迅速消失。

	本書從建築工法、形式、細節等帶領讀者認識看板建築，收錄大量珍貴的看板建築照片及相關資料，並且採訪了現存10間看板建築商店，透過店主們所分享的過往故事，一起重返舊時東京人的日常生活樣貌。

名人推薦

	看板建築乘載庶民生活細節，也是塑造城市風貌的魅力所在，值得我們從臺灣人的視角認識與品味！－－凌宗魁│建築文資工作者──專文導讀

	Hally Chen│《喫茶萬歲》作者
	李清志│實踐大學建築系副教授、建築作家
	阮慶岳│元智大學藝術與設計學系教授
	張維中│旅日作家
	渡邉義孝│《臺灣日式建築紀行》作者、日本一級建築師
	謝欣曄│本事空間製作所分部負責人——精彩推薦（以上推薦人以姓名筆劃排序）

"
9789579072885,"


認識友善城市、日常空間＆場所精神的 101 課

	景觀∣建築∣都市計劃∣城鄉規劃∣土木工程∣環境科學∣社會學
	關心城市文化∣都更議題∣公共政策
	釐清核心價值、系統學習、進入專業的快速鍵


	以事件為基礎的文化只能收割一次，以日常為基礎的文化日日都有回報。

	城市生活品質不只是城市規劃師的事！
	你的都市生活是你的選擇，還是無意識的慣性？

	都市設計並非建築的「放大版」
	「空間」才是優先考慮的對象
	給所有人的第一堂日常空間教育課

	像城市規劃師一樣思考，重新審視自己的城市
	教你看穿城市日常空間規則
	找出友善城市、優質空間體驗的關鍵要素

	本書濃縮城市規劃師的思考方法與實戰心得，提供大家快速參照的經驗法則。本書焦點放在都市主義最尋常的一些面向：對所有的都市場所而言，最根本的問題始終是一般人在尋常生活裡的「日常經驗」。例如：可以讓人賺錢的好設計，比較可能實現；維護街道安全的關鍵，是市民，而非警察局；讓行人順路穿越公園，會是互動好設計，我們愛看人卻又不想被看，這之間需要巧妙的安全感設計。

◎城市生活大解密，有我們不自覺的慣性？
	路線這麼多，為何你偏好走這一條？為何有些店家我們總是光顧，有些路段甚至讓我們樂意「繞路」多走，有些地方卻只讓人想快步通過？前往目的地的路上，我們竟一次「順路」辦好其他事，各種行動一次搞定？這些並非巧合。當我們僅僅只是朝某個目的地前進，一連串都市體驗的「慣性」便已牽引著我們的行為與選擇。

	本書告訴我們：
	●都市居民已經習慣了靠近和熱鬧，也珍視這種特質。
	●當一條街甚至一棟建築是「多孔的」，會給人充滿魅力與希望的感覺，讓人願意親近。
	●路上的建築物或店家若未讓我們察覺裡面「有東西在等我們」，那我們就不會費事進入。
	●有些公共設施成為蚊子館，可能是因為無法讓人清楚看到對面的出口，「我們一進入，就會找出口」是人性本能。
	●城市的一切相比於郊區鄉間總是「特大號」，並非鋪張浪費，而是出於「尺度、比例」的人性直覺需求。
	●郊區居民走垂直線，都市居民走平行線──郊區的土地是根據目的做規劃，因此郊區經驗通常是選擇性的、單一變數的、以目的地為導向的；都市的經驗則是連續的、斜線的、偶然的。它是同時一起，而非一次一件。

	「當都市主義打造出一段與目的地同樣吸引人的路程時，它就發揮了功效。」─Paul Goldberger

◎為何有的街景，就是特別迷人，讓人流連？
	在大自然中，我們能夠享受遼闊的風景；但在都市中，大多數人反而會避開寬廣開放的空間，選擇棲息在界限明確並具有高度圈圍性的戶外空間。
	●在城市中，人們喜歡「圍起來的空間」。
	●當你在路上行走，比起行經一棟30公尺寬的建築，你會更樂意行經五棟共30公尺寬的建築，因為你可以一次獲得五種空間體驗。
	●有些樹木特別「都會」，它們的形狀與擺放方式，決定了它是區隔功能的「標的樹」，還是讓人流連聚集「空間樹」。
	●如果街道通往一個空蕩或令人困惑的景緻，會減弱街道的體驗感。
	●有時你不走直線，樂意穿梭一旁公園，是因為公園內步道巧妙延續了週邊街道。
	●廣場上低於人行道的階梯，可能創造意料之外的寧靜，高架於地面的公園，可提供令人欣喜的放鬆舒緩，暫離都市的擁塞。

	被特別打造出的地景藝術可能沒人去，但這些充滿日常生活嗡嗡聲的街區生活卻生氣勃發──以事件為基礎的文化只能收割一次，以日常為基礎的文化日日都有回報。

◎大家都該有的城市設計關鍵概念
	▌維護街道安全的關鍵，是市民，而非警察局
	測試一下你的生活空間，年輕人和老年人是否同樣覺得超值？適合短暫還是長期停留？是否一年四季都能留住愛曬太陽的人們？一、二樓的居民，是否會忽略正在進行的活動？

	▌在城市，「效率」才是一切？如何讓居民產生「城市漫遊」的念頭？
	我們很懶……除非有獎賞──人們通常會尋求最簡單的路徑通往目的地；都市設計者的工作，常常就是要誘使人們付出額外的力氣，多走一些路，豐富個人的體驗，並促進社會與經濟的互動。

	▌為「效率」而生的建設，本身也有成本／效率曲線的限制
	蓋得越高效率越高，但要在一定的高度內。鋼筋混凝土建物越高越便宜，但只限於某個高度。當建物超過三十層樓，每平方呎的造價就會增加。

	▌短街廓適合城市漫遊，長街廓適合住宅區
	街廓越短，人們越容易探索，越容易挑選喜歡的遊走路線；長街廓則適合住宅區，躲過商業大道的極度喧囂。

	▌玻璃越多未必越開放
	全部以玻璃為覆面的建物，看起來是將開放性極大化。但在真實經驗裡，全玻璃的建物反而容易增加我們的隔離感；玻璃牆並未讓我們感覺更連結，反而帶給我們被剝奪感。

◎好的城市設計，能讓城市生活大不同
	城市的肌理，可依市中心距離、商業活動、收入等級、人口結構，層層建構出來；將公園樹種在公園外面，更能將居民圈圍進來；在住宅區引進非住宅性用途的設施要考量「大小」，大小適宜，就能以令人滿意甚至富有魅力的方式與住宅區結合。讓每個城市深受喜愛的做法，都是獨一無二的！

"
9789865224127,"

※不只是生活在都市，對於都市的公共建設、定位與發展策略有更多的思考。※從另一個角度看都市，深入介紹都市政府對都市的完整規劃。※理論與實務兼具，集結亞太地區26個港灣都市的實際案例，讓理論更具體。一個人對於都市的想像是什麼？都市希望帶給居民、旅人的印象又是什麼？都市是人群聚集之地，住著各式各樣的居民，發展著不同的行業，擁有豐富的生活故事。每座都市所呈現的樣貌，皆與都市政府的規劃及建設息息相關。　　都市政府願景，是指都市政府根據其都市性質與功能，來設想整個都市未來全面長期發展的方向。本書以理論為經，實務為緯，首先論述都市願景基本觀念、方法及書寫規範；搭配近年亞太地區26個港灣城市的都市願景實際案例，讓讀者對於都市的願景規劃有更全面、清楚的了解。
                    
"
9789869746427,"


	創刊於2016年的《AAA》，取材涵蓋6大領域：閱讀城市、聚落生活、街區研究、市集遊逛、風格店鋪和住所潮流。在「空間的趣味 藝術的體會 生活的滋味」的主軸之下，我們從《城市舊街區的新提案》、《雙城記：台北 台中》、《傳感城市：透視未來》、《空間編輯者》、至本期的《如果西城是一首歌》，歷年各期從不同的角度挖掘街區文化，思索未來城市議題。

"
9789864086405,"


對於景觀設計，還停留在巴洛克式庭園、日式庭園等風格形式，
或是修剪成香菇造形的榕樹，或一季就枯萎的草本庭園植栽嗎？

高維護成本讓景觀設計淪為吸引目光製造話題、後續難以為繼嗎？
讓城市常綠的景觀設計，了解一下！

【中文版專文導讀】
吳書原    景觀設計師、太研規劃設計顧問有限公司創辦人

	都市化已不可逆，該往如何讓城市更宜居、在發展與生態環境中取得平衡去思考，
	本書提出讓城市常綠的概念與方法，打破既有的設計思維、土地運用、植物選擇……
	是一本結合都市現況、氣候環境、設計手法及實際維護綜合考量的綠化設計觀念書，
	同時介紹大量以實踐的案例，分析這些案例的設計概念與實踐做法，
	是值得都市計劃、建築、景觀設計等相關從業人員及公私部門相關單位閱讀的參考書。
	 

	科學家、城市規劃者和政治人物都同意植物能使城市更加宜居。由於空間有限，在蓬勃發展的城市地區，爭取空間是種非常激烈的競爭，這也反映在高價的且仍持續上升的地價中。建立經典傳統的公園——無論居民怎樣重視和期望——也變得越來越困難。想在市中心打造有植樹的街道空間，也有其極限。如果要使市中心「綠化」，這時便需要採取不同的方法來實現這一目標。

	本書運用大量圖像，不僅在為新型城市綠化提供靈感，而且還通過最佳實踐範例展示具體的實施方案。很明顯地，將來景觀設計、城市規劃、和建築學科之間的聯繫將更加緊密。本書也還表明，為了改善「城市氣候」，私人和半公共綠色植被的參與必不可少。如果要成功實施新方法，必須拓展城市使用的植物種類以及植被技術的相關知識。此外：高質量的綠意需要高質量且成本密集的照料，因此也應培養相應的專業技能人員。

	作者從植物本身出發，一開始探討城市綠化的沿革，從過去幾百年城市的演變到現代化城市如新加坡等，在面對城市擴張及現代都市建設的挑戰下，隨著技術演進漸漸克服過去的困難，列舉不同案例，運用了什麼樣的綠化手法與植物。城市綠化小至在巷弄轉角處的小空地，大至綿延幾公里的公園。本書可歸類為兩個不同觀點面對城市綠化：

“植物多樣性”

	植物多樣性是本書作者最為強調的部分，他認為，氣候變遷同時也是一種契機，因為歐洲城市溫度改變，某些熱帶或副熱帶植物得以在歐洲的溫帶大陸性氣候下適應並且生存。

	在城市綠化的觀點上應從植物本身出發，也就是不再以單一種或是設計師所認為美觀的植物種類，這樣的植物多樣性也能創造物種多樣性，更多不同種的昆蟲甚至鳥類在城市中生存。另外也能參考在高地勢、低溫、低水源或是強風的狀況下能夠生存的植物種類，或是蘚苔類，蕨類等甚至某些外來種也是高利用價值的植物。此外不同種類間的植物並存之下，也能展露出更好的樣貌，例如高大的熱帶植物與蕨類之間的互補與反差。

“城市綠化的手法”

	作者以圖像列舉了一些成功的綠化案例，手法新穎且可以應用在建築上的手法，例如植生牆，植生牆又包括了許多不同的建造手法，有堆疊，利用繩索供攀藤植物攀爬，或是應用百種甚至千種的植物創造一片牆的植物多樣性。

	另外如延伸室外室內，模糊界線的綠化手法，或是在建築之上，之下建築本體與植被之間的互動關係。或因城市發展遭廢棄的構造物，如高架橋或是車站，如何轉變為綠色的開放空間等。

本書特色
	(1)華文最新出版綠化與景觀設計相關的書籍，觀念與案例皆與時俱進、提供可實踐的前瞻性內容。
	(2)眾多圖像容易吸收，並對應不同尺度或設計種類的不同作法，前期就奠定綠化的基礎，再對應到後期養護或是具體實施的手法。
	(3)在建築設計上時常會因為養護的麻煩與費用對於植栽望之卻步，本書列舉了不同的低成本手法與物種，是個很好的參考來源。

"
