ISBN,書籍簡介
9789860653113,"

到「京都」你都去了哪裡？每年有5,200萬人次前往旅遊，寺廟中的「枯山水」庭園是熱門觀賞重點！但面對石頭、細沙，你真的有看出什麼嗎？日本人難以言說的「侘寂」，李歐納·科仁用《wabi-sabi》介紹給你；本書他以礫石、細沙帶領我們遊歷日本美學之境，讓你比大部分的日本人更懂京都的「枯山水」庭園！翻開本書，日本「枯山水」庭園不再是只可意會、不可言說的神聖所在。你是否有過一個念頭──光腳跑過「枯山水」中用細白礫沙所刷耙出的美麗花紋？這種脆弱美麗的園林不免讓人有破壞它的想法，本書作者遊賞京都園林時多次目睹這類插曲，年輕女性想折服友人，把赤著的腳跟深深踩進剛掃過的細沙地；中學生禁不起同學出言相激，在耙整過的沙地上狂奔。如此脆弱又誘人破壞的設計，如何保留百年？一定有什麼原因才需要不辭辛勞的維持這易逝的美麗！巨石、石礫、細沙，這些無機素材組合而成的枯山水，不帶一絲草木的庭院設計，透過耙刷使礫石與沙成現代表自然界「水」的紋路，與大石一同成為山水意象，安置靜謐禪院之中——神秘的東洋文化、日本禪宗思想，都與它有著說不清、道不明卻緊緊聯繫的印象。但這獨特風格是誰創造的呢？除了美一定有它必須存在的原因吧？若問大部分日本人枯山水的起源，除了歷時太久無法追朔之外，我們無法得到明確答案，若詢問如此脆弱的設計，為何苦苦微持，也並非能清楚回答。以《wabi-sabi》帶我們理解日本大和美學思想的李歐納·科仁，透過本書引導我們將目光從庭院中明星亮點的巨石，移往並聚焦於細小的礫石與沙上，從中見微知著，以〈無石〉、〈非禪〉、〈或為藝術〉、〈後設園林〉四個章節層層遞漸，細細爬梳日式庭園與日本禪宗、現代藝術、中國庭院藝術之間的影響與關聯。細沙不再是營造美感的「玩意兒」，一切都變的有跡可循。在臺灣，我們的生活習慣、流行品味都深深受到東洋文化影響，透過科仁，我們拉開地域上的距離，用一個西方人的視角，條理分明的觀察眼前風景。我們期待給予喜愛日本文化的讀者，認識日本庭園藝術的有用觀點。如果你曾在日本的古寺名園中靜靜欣賞，卻無法在遊客手冊或網路上瞭解更多；或你未曾前往、但心之所向，本書藉由多幀影像與文字紀錄，帶我們從紙頁間遊覽日本京都，透過《礫石與沙》獲得一種分析文化的方法。
                    
"
9789869889407,"


在建築中遇見最美麗的風景


	木荷景觀在臺灣已有超過三十年的實務經驗，以效仿自然的園景拉近建築與人的距離，使室內與室外得以相容。在每件案子規劃初期，木荷景觀會從樹木的角度思考，為樹木建立良好的生長介質與空間。森林系出身的創辦人孫培強先生對植栽生態與空間架構皆十分熟稔，成長歷程亦透過插花與山水畫掌握空間中的美感與次序，他曾說：「園景中的自然是透過人的力量被拆解後再排列組合而成，因此如何不留下人為的痕跡，就是功力所在。」

	木荷景觀所建構的庭園是讓人們得以休憩的空間，因此無論是自宅、社區或公共設施都期許能帶來「回到家」的感覺。本書收錄二十四件案例，包括十四件集合住宅、六件私人住宅、一件連棟別墅、兩件接待中心與一座莊園。這些設計圖面、文字與照片推衍著木荷景觀多年來的光陰荏苒，盼能給予有心踏入景觀領域者一些啟發，並拓展人們對園景設計的想像空間。

"
9789866204630,"


當電腦繪圖已成主流，為什麼還要學習手繪技法？

 許多設計者逐漸捨棄以徒手畫思考空間，但若僅以電腦繪圖，卻很容易忽略其中的細緻表情與觸感，設計形式也容易走向中性化、模具化──無論數位技術多麼成熟，總有一些質地是電腦繪圖無法取代的，而那往往是形塑個人獨特性的關鍵因素。

 本書為景觀設計的學習範本。陳怡如老師汲取多年來的教學心得，並統合過去以手繪從事設計的經驗，彙整為清晰的架構，共分為三大部分：先是各別講述「製圖」與「繪圖」的步驟，從手繪工具、草圖、平面配置圖、剖立面圖，一直到立體圖與透視圖，皆有詳細的分析與圖解。最後則收錄超過四十件優秀的設計案例，以兼具理論與實務的觀點，使初學者能將手繪訓練放入當前的學習目標，獲得更深刻的設計視野。

本書特色

 ◆景觀系必備的技法工具書，全新增訂版！

"
4717702115258,"


	單書介紹
	第一冊：住宅植栽：110個栽植重點與主題設計╳植栽選用規劃全圖解

	提升居住品質、親近自然生態，
	打造會呼吸的綠色美宅！

	不只是美觀，根據植栽的不同特質，
	能夠有防止土壤流失、遮斷視線等功能，
	甚至有掌握微氣候、調節日照、溫度與風速以及防煙隔音等效果！

	從環境條件、設計預算等初步規劃，本書涵蓋住宅與植栽設計的基礎必備概念，扼要地介紹植栽相關知識
	並依適合的環境、優點特色與主題風格加以分類，將植物與建築物有規劃地組合搭配，此外也將常見的特
	殊植栽如竹子、苔蘚、椰子等彙整起來獨立說明，並重點解說植栽工程的注意要點與後續的長期管理。帶
	領讀者了解植物特性，全面掌握住宅植栽的挑選種植與養護管理方法原則，美化建築體的視覺印象，打造
	出生意盎然的居家生活！

	●依照各種需求清楚分類，具體提出適宜樹種，幫助實務上選擇使用
	●全彩印刷，精美插圖，迅速建構專業知識
	●中英日專有詞彙對照表，查找資料方便又省時

	原來植栽還有那麼多功能：

	[ 活化水土 ]
	⊙樹木往下扎根可強化建築周邊的水土保持，預防山坡地的土石鬆落。
	[ 綠化景觀 ]
	⊙無論是屋頂、牆面、車棚，還是狹窄的庭院，都可依照需求搭配不同的植栽配置，營造出多彩的風景綠意。
	[ 維持居住環境的品質 ]
	⊙樹木的蒸散作用可調節周遭環境的溫度變化。
	⊙依照配植的位置、樹種的不同，植栽還能發揮防盜、防煙、隔音等功能。
	⊙植栽能遮斷、轉移視覺焦點，可強化住宅隱私。
	⊙植栽量的多寡及顏色的搭配，能改變建築物本身所呈現出的印象。
	 [ 意想不到的功能 ]
	⊙植栽能吸引蝴蝶、鳥類來訪，讓生活更加愜意。
	⊙開闢菜園、香草花園，在觀賞、聞香之餘，還能拿來烹煮或調味。
	⊙栽種會結果的植物，可享受採果、豐收的樂趣。
	⊙依個人喜好，可將庭院營造成北歐風、地中海風等主題，或將庭木修剪成特殊的造景，皆能為庭院增添風情。
	 
	第二冊：日式茶室設計最新版：飽覽茶道珍貴史料、茶室設計表現手法，領略名茶室的空間意匠

	「在器物、格局配置中展現謙虛及待客之心」，是日式茶室設計的根本
	★百張精美平面設計圖、細部圖、繪製圖和史料圖
	★格局‧道具之材料種類、工法與施工全圖解
	★細說茶室茶道歷史‧剖析名茶室重要之作
	 
	茶室是為茶事特別設計的空間，也是茶道精神的具體展現。日式茶室並非講究形式、而是看重形式內的豐富精神意涵，只有實際了解才能應用形式，又不受形式侷限。

	作者師事茶室權威中村昌生門下，長年專研茶室、茶道文化等，是現代數一數二的茶室專家。本書從茶道茶室的脈絡發展、茶室空間配置形式、構成要件、茶庭構造、材料種類，至現代茶室，帶領讀者細細追尋茶道文化精隨、茶室設計要領，窺探日式茶室的堂奧。

	●115個茶室專門知識與實務設計施工要領，迅速建構茶室設計專業
	●深度解說豐臣秀吉「黃金茶屋」、日本國寶「如庵」、千利休「待庵」、小堀遠州「擁翠亭」、北大路魯人「星岡茶寮」……古今18座名茶室的空間配置
	●茶道歷史精華和茶室演變簡史
	●中日專有詞彙對照表，方便快查資料
	 
	第三冊：明治初期日本住屋文化：建築結構風格、空間配置擺設、庭園造景布局及周邊環境
	 
	總結日本西化前住屋建築的最後紀實經典
	307張手繪圖、詳實記述，再現消逝的時代
	 
	明治維新後日本歷經西化洗禮，一方面發展成今日所見的高質量現代化社會，另一方面，用心維護的傳統則日益精緻化。西化前，那些從日本土地上一點一滴型塑而成的住屋文化，猶如過去漫長歷史歲月中的時代總結，然後大舉消逝、變形（融合），或者特殊化，不再是生活日常。
	一百五十年前，日本在美國人眼中還是個貧窮的國度。木造、屋瓦、榻榻米、緣廊、庭園、茶道、跪坐，看似質樸卻又在細微處雕琢，對剎那殞落之美的追尋銘刻於工藝和儀式的職人技法，卻又與今日日本若符一契。
	本書作者以民族學研究方法，耗時三年的田野調查，輔以栩栩如生的手繪圖，讓西化前、明治初期建築風格和裝飾配置的獨特樣貌躍然紙上，並記述、闡釋、比較這個時代的生活、美學和工藝技術，留給後人正宗日本文化的最後身影。
	 
	本書特色：
	作者用細膩生動的文字敘述搭配猶如照片般真實的手繪圖，復刻出明治初期日本的都市和鄉村的各種住宅類型及當時工藝發展樣貌：
	【建築技術】屋頂、天花板、隔間和牆壁、隔扇、紙拉門、大門等各式類型和構造，精準解析其建築結構、工法、外觀、機能。
	【空間配置】床之間的構成、榻榻米房屋的結構、室內裝潢、庭院造景、緣廊和陽台等，呈現留白和彈性調整的空間配置手法。
	【職人手法】木造建築的榫接手法、木材紋理的拼接、工藝品的設計和雕刻技法，茶道的器皿配件等，解析工序或步驟的講究。
	【文化生活】蠟燭與燭台、燈具、屏風、畫軸、門扣、門簾、手洗缽、盆栽等小物，窺見當時不同階層間的生活脈絡和搭配巧思。
	 
	第四冊：日式竹圍籬：竹材結構╳特性應用╳編織美學，解構14種經典竹圍籬實務工藝技法
	 
	領略日本特有的美學意識與匠人精神
	日常竹籬變身為高級精緻工藝的技藝之道
	 
	本書編者吉河功先生是日本竹籬大師，將數十年的實務經驗透過圖片輔以文字說明，鉅細靡遺傳授竹籬製作的竅門，涵蓋了日本各式竹圍籬的代表、共14種經典竹籬樣式。掌握其法、觀其用心，既可做為初入門的實用工具書籍，另一方面亦可領略美學意識、與匠人精神，進一步深化或重新思考工藝之道。
	 
	從各項設計、製作時必備的基礎知識和技法教起，徹底學會14種經典竹圍籬：
	‧建仁寺籬－基本型，具平衡和諧的美感。
	‧清水籬－表裡相同，輕盈高雅無厚重感。
	‧御簾籬－模仿貴族的簾子，有格調又瀟灑有趣。
	‧大津籬－編竹代表，圖樣特殊，源自江戶時代。
	‧鐵砲籬－京都禪寺之作，氣勢孤然傲岸。
	‧木賊籬－簡而有味，展現竹節與綁繩之美。。
	‧竹穗籬－分長白穗或短黑穗，散發質樸氛圍。
	‧蓑籬－狀似蓑衣，帶有懷念的田園寂靜感。
	‧創作籬－依庭園需求創作，具原創獨特性。
	‧四目籬－簡單但技術高，茶室庭園必備。
	‧金閤寺籬－全以粗竹構成，可穿透卻深具分量。
	‧矢來籬－只靠繩結不用釘子，具男子印象。
	‧龍安寺籬－京都風代表，細部凝聚諸多巧思。
	‧光悅籬－獨特圓弧造型，呈現神聖寧靜感。
	 
	第五冊：圖解日式自然風庭園：向昭和紀念公園造園名家小形研三學小庭園美學和造園手法
	 
	住家的庭園應該是一個美麗、讓人沈靜舒暢的空間 ──小形研三

	小形研三是日本現代雜木林庭園最受推崇的名家之一，代表作品包括國營昭和紀念公園、新宿中央公園、以及福武書店迎賓館、豊島園庭之湯、齊藤家宅邸等處所的庭園。曾獲美國景觀設計師協會（American Society of Landscape Architects）泛太平洋造園賞。

	雜木林庭園的要旨在於刻劃出不著痕跡的「自然秩序」。現代的日本庭園，早已不像古老的庭園那樣有權威貴族之氣，轉而追求一種自然、明朗的閒適氣質，使散步其中的人身心放鬆。簡單來說，這種庭園風格標榜著貼近自然的景色和氛圍，並與庭園周圍的設施相互協調，是現代人所憧憬的無壓力療癒空間。
	 
	本書作者秋元通明於小形門下修習二十六年，將一點一滴師承而來的感悟，結合長期實作的職人心得，整理成容易理解、人人都可在自家操作的庭園設計學習書。從庭園形式的發想、空間規劃、構成元素（植栽、石材、流水）的配置、氣勢營造、到後續的庭園維護等，精髓畢包。
	 原著在日本出版二十年，歷久彌新，已成為業界設計、施工的典範。

	本書特色
	◎ 500 多幅彩圖解析植栽和造景物的配置原則
	◎ 「師法自然」職人親授 8 大庭園設計關鍵
	◎ 19 套現代居家的日式自然風庭園經典範例
	◎ 專業多元的雜木林庭園設計樣式與素材參考

"
9789864801435,"


「住まいの庭はまず美しく、見る人の心をなごやかにさせるような空間でありたい」
（住家的庭園應該是一個美麗、讓人沈靜舒暢的空間） ──小形研三


	小形研三是日本現代雜木林庭園最受推崇的名家之一，代表作品包括國營昭和紀念公園、新宿中央公園、以及福武書店迎賓館、豊島園庭之湯、齊藤家宅邸等處所的庭園。曾獲美國景觀設計師協會（American Society of Landscape Architects）泛太平洋造園賞。

	雜木林庭園的要旨在於刻劃出不著痕跡的「自然秩序」。現代的日本庭園，早已不像古老的庭園那樣有權威貴族之氣，轉而追求一種自然、明朗的閒適氣質，使散步其中的人身心放鬆。簡單來說，這種庭園風格標榜著貼近自然的景色和氛圍，並與庭園周圍的設施相互協調，是現代人所憧憬的無壓力療癒空間。

	本書作者秋元通明，跟隨老師小形研三修習了二十六年，將一點一滴師承而來的感悟分析記錄下來，結合長期以來身體力行的造園感受和想法，整理歸納成人人都可在自家庭園實際操作的庭園設計學習書。不論是自然風庭園形式的發想、空間規劃、構成元素（植栽、石材、流水）的配置、整體氣勢營造、到後續的庭園維護，均講究大自然的生長法則和箇中秩序，透過書中清楚具體的文字解說和彩繪插圖，協助讀者洞悉向來深奧迷離的庭園美學要義，並且掌握實際的打造技術，宛如親炙大師的醍醐真諦。

	《圖解日式自然風庭園》（原文版書名《新 作庭帖　自然風庭園の手法》）在日本出版二十年，所述及的自然風精神、理念和實務至今歷久而彌新，早已是「雜木林庭園」業界設計、施工的典範。

本書特色

	◎ 500 多幅彩圖解析植栽和造景物的配置原則
	◎ 「師法自然」職人親授 8 大庭園設計關鍵
	◎ 19 套現代居家的日式自然風庭園經典範例
	◎ 專業多元的雜木林庭園設計樣式與素材參考

	大量彩圖具體解說「自然風」的重點概念，也同時呈現「優良範例」與「不良範例」供讀者觀察和對比，很容易抓到訣竅。豐富的樣式和素材適合專業工作者和園藝愛好者，建議隨身攜帶，利用本書與業主溝通，達到符合需求的庭園，也是實地工作時的隨手參考。

"
9789863776499,"


～《景觀模型的創造與製作》系列第三彈！～
「擷取風景」的情景模型製作達人──奧川泰弘
帶領讀者進入以高超的美感及技術打造出的昔日美國世界


	奧川泰弘先生所創作的情景模型作品集《景觀模型的創造與製作》系列第一、第二輯好評不斷，終於推出眾所期望的第三輯。
	本書以懷舊而溫馨的美國風景為主題，由立體透視模型製作師奧川泰弘先生操刀，
	是一本內容豐富又充實的景觀模型作品集！
	充滿北美西岸風情的汽車及建物，都凝縮在超高精密的袖珍模型中。

	【何謂Landscape Creation？】
	Landscape Creation，就是以奧川泰弘先生創造的風景（Landscape）製成的立體透視模型。
	製作這些風景模型最棒的妙趣就是「自由」。
	時間、地點等設定自由不設限，創作者能隨心所欲打造出自己喜歡的世界。
	製作模型的樂趣正是源自於此，任何人都能自由而開心地將風景打造成3D立體模型。

	本書秉持一如既往的絕對美感以及精湛可靠的技術，
	收錄多篇以汽車、飛機等「交通工具」為題材的作品。
	情景模型作品展現了經典老爺車、競速飛機等代表著昔日美國的機械，
	以及這些機械駐足之處的秀麗風景，千萬不可錯過。
	書中更精心收錄了製作流程照，詳細記錄情景模型的製作過程，內容豐富而充實。
	即使不是模型製作愛好者，只要是喜愛美國昔日風景的人，
	都能從本書中獲得無限樂趣。

本書特色

	◎以各種角度的作品照片，清楚呈現情景模型作品的細節及巧思。
	◎收錄情景模型的製作流程，附有詳盡的步驟照片，以及簡明易懂的說明。
	◎工作室內部樣貌大公開！能看到奧川先生對工作空間擺設的講究之處，以及創作時的愛用工具！

"
9789868817937,"


	走訪中國保存八百年的傳統村落─貴州黃崗侗族村寨

	打破貴州「天無三日晴，地無三里平，人無三兩銀」貧困印象！

	 

	中原大學景觀學系彭文惠主任、張景堯建築師、陳永興建築師、西南林業大學風景園林系劉娟娟老師、宋鈺紅老師，帶領兩校學生們於黃崗侗族村寨長達十日的地景與建築紀實。

	 

	策劃      中原大學景觀學系 

	企劃編輯  張景堯聯合建築師事務所 

	 

共同推薦（按姓氏筆畫排序）

	 

	張煦華 中原大學景觀學系副教授

	郭瓊瑩 文化大學景觀學系教授暨系主任

	劉可強 台灣大學建築與城鄉研究發展基金會董事長

	 

"
9789869072427,"


	「和園悅色——日式經典庭園賞析」一書，諸位筆者以多年實地觀察與賞析的切入點，將已蔚為經典的日式著名景觀庭園為藍本，富考究的元素解析，將日式庭園景觀美學抽絲剝繭一番，整理出其廣受世界各地愛戴的理由，以專業攝影、文字條列出日本庭園之理路，造景原理，植栽邏輯，以及庭園內各元素的淵源與關係，以期汲取日本美學精神，豐盛台灣庭園經驗。

"
9789864801152,"


	本書編者吉河功先生是日本竹籬大師，將數十年的實務經驗透過圖片輔以文字說明，鉅細靡遺傳授竹籬製作的竅門，涵蓋了日本各式竹圍籬的代表、共14種經典竹籬樣式。掌握其法、觀其用心，既可做為初入門的實用工具書籍，另一方面亦可領略美學意識、與匠人精神，進一步深化或重新思考工藝之道。

	你將學會以下14種經典樣式：
	‧建仁寺籬－基本型，具平衡和諧的美感。
	‧清水籬－表裡相同，輕盈高雅無厚重感。
	‧御簾籬－模仿貴族的簾子，有格調又瀟灑有趣。
	‧大津籬－編竹代表，圖樣特殊，源自江戶時代。
	‧鐵砲籬－京都禪寺之作，氣勢孤然傲岸。
	‧木賊籬－簡而有味，展現竹節與綁繩之美。。
	‧竹穗籬－分長白穗或短黑穗，散發質樸氛圍。
	‧蓑籬－狀似蓑衣，帶有懷念的田園寂靜感。
	‧創作籬－依庭園需求創作，具原創獨特性。
	‧四目籬－簡單但技術高，茶室庭園必備。
	‧金閤寺籬－全以粗竹構成，可穿透卻深具分量。
	‧矢來籬－只靠繩結不用釘子，具男子印象。
	‧龍安寺籬－京都風代表，細部凝聚諸多巧思。
	‧光悅籬－獨特圓弧造型，呈現神聖寧靜感。

	 

"
4717702097837,"


本套書聚焦「家的居所」，

解剖日式植栽＋日本名家庭園＋茶室優雅迷人的設計及know-how，

進而領略日本美學耐人尋味的魅力！


1.《住宅植栽：110個栽植重點與主題設計╳植栽選用規劃全圖解》

	提升居住品質、親近自然生態，
	打造會呼吸的綠色美宅！

	不只是美觀，根據植栽的不同特質，
	能夠有防止土壤流失、遮斷視線等功能，
	甚至有掌握微氣候、調節日照、溫度與風速以及防煙隔音等效果！

	從環境條件、設計預算等初步規劃，本書涵蓋住宅與植栽設計的基礎必備概念，扼要地介紹植栽相關知識並依適合的環境、優點特色與主題風格加以分類，將植物與建築物有規劃地組合搭配，此外也將常見的特殊植栽如竹子、苔蘚、椰子等彙整起來獨立說明，並重點解說植栽工程的注意要點與後續的長期管理。帶領讀者了解植物特性，全面掌握住宅植栽的挑選種植與養護管理方法原則，美化建築體的視覺印象，打造出生意盎然的居家生活！
	 

	【本書特色】
	●依照各種需求清楚分類，具體提出適宜樹種，幫助實務上選擇使用
	●全彩印刷，精美插圖，迅速建構專業知識
	●中英日專有詞彙對照表，查找資料方便又省時

	 

2.《圖解日式自然風庭園：向昭和紀念公園造園名家小形研三學小庭園美學和造園手法》
	住家的庭園應該是一個美麗、讓人沈靜舒暢的空間──小形研三

	小形研三是日本現代雜木林庭園最受推崇的名家之一，代表作品包括國營昭和紀念公園、新宿中央公園、以及福武書店迎賓館、豊島園庭之湯、齊藤家宅邸等處所的庭園。曾獲美國景觀設計師協會（American Society of Landscape Architects）泛太平洋造園賞。

	雜木林庭園的要旨在於刻劃出不著痕跡的「自然秩序」。現代的日本庭園，早已不像古老的庭園那樣有權威貴族之氣，轉而追求一種自然、明朗的閒適氣質，使散步其中的人身心放鬆。簡單來說，這種庭園風格標榜著貼近自然的景色和氛圍，並與庭園周圍的設施相互協調，是現代人所憧憬的無壓力療癒空間。

	本書作者秋元通明，跟隨老師小形研三修習了二十六年，將一點一滴師承而來的感悟分析記錄下來，結合長期以來身體力行的造園感受和想法，整理歸納成人人都可在自家庭園實際操作的庭園設計學習書。不論是自然風庭園形式的發想、空間規劃、構成元素（植栽、石材、流水）的配置、整體氣勢營造、到後續的庭園維護，均講究大自然的生長法則和箇中秩序，透過書中清楚具體的文字解說和彩繪插圖，協助讀者洞悉向來深奧迷離的庭園美學要義，並且掌握實際的打造技術，宛如親炙大師的醍醐真諦。

	《圖解日式自然風庭園》（原文版書名《新 作庭帖　自然風庭園の手法》）在日本出版二十年，所述及的自然風精神、理念和實務至今歷久而彌新，早已是「雜木林庭園」業界設計、施工的典範。

	【本書特色】
	●500多幅彩圖解析植栽和造景物的配置原則
	●「師法自然」職人親授 8大庭園設計關鍵
	●19套現代居家的日式自然風庭園經典範例
	●專業多元的雜木林庭園設計樣式與素材參考

	 

【推薦摘錄】

	這本《圖解日式自然風庭園》出自傳統創新兼備的造園師秋元通明之手，透過豐富的造園經驗、敏銳的美感意識，細膩地寫下日本獨特的自然風庭園知識，值得做為我們探索日本傳統庭園之美的首本指南書。
	──林承緯（日本國立大阪大學博士　美學．民俗學／文化表現論專攻、國立台北藝術大學建築與文化資產研究所副教授）

	過去十幾年以來，在國內各大學相關系所任教的課程中，經常提出日台兩地的日本庭園案例以供參考。今日，喜見造園家秋元通明先生的著作在台翻譯問世，今後將可提供國內專業教育與職業訓練時，對於造園景觀、庭園、植栽設計與施工，有一本更加務實的教科書。
	 ──李碧耆（台灣綠地科技園藝有限公司亞太營業處總經理、中華大學景觀建築學系講師）

	日本著名園藝專家、自然風宗師上原敬二教授認為，造園其實就是創造「第二自然」，《圖解日式自然風庭園》當中所傳達的概念，實符合這項觀點。相信本書對造園從事者或學習者皆能帶來助益。
	──蔡龍銘（日本國立神戶大學自然科學博士、中國文化大學觀光事業學系教授）


3.《日式茶室設計 : 飽覽茶道文化知識、茶室珍貴史料,領略名茶室的空間配置奧義》

	「在器物、格局配置中體現待客之道及茶道精神」的空間設計，即是日式茶室設計的精隨

	茶室是日本為款待客人而特別設計的空間，也是日本茶道精神的具體展現。茶室空間是由牆壁、窗、床之間、天井、榻榻米、地爐、躙口、露地等元素構成，其周圍「什麼都沒有」的空間即是茶道的本質所在。然而，當品茶提升到心靈境地時，茶室裡的每一個細節才會有深刻的含意。因此設計這樣一個獨特的日式空間，並非講究形式而是著重於內在豐富的精神意涵。換句話說，家中闢出角隅也可以一變為茶道世界。

	本書從介紹日本茶室的思想精隨、空間配置、構成要件、外觀設計到因應茶道的發展過程，讓追尋茶道文化、乃至於茶室設計者，都能全面且深入體會日式茶室空間。

【本書特色】
	●茶道歷史和茶室演變簡史
	●內容包含整體或細部項目設計、平面配置圖、細部設計圖、施工方法、材料選擇
	●茶室內外格局和各種道具的繪製圖
	●名茶室剖析與鑑賞

"
