ISBN,書籍簡介
9789864083664,"


 貨櫃屋正夯，教您打造又便宜、又好用的繽紛貨櫃屋！
 小鳥雖小五臟俱全，帶您觀看美麗又實用的精彩案例。
 只要跟著書中學，就能擁有屬於自己的創意貨櫃屋。

 貨櫃屋的特色工時短、低成本、CP值高，在國內外掀起一股貨櫃城市浪潮。而台灣當然不落人後，除了每年在高雄舉辦貨櫃藝術節，讓民眾知道貨櫃可以怎麼玩之外，全台各地的貨櫃屋市集，也如雨後春筍般越來越多元。貨櫃屋在台灣，較常被拿來當作商業空間使用，但已有一般民眾將貨櫃申請為住家，讓貨櫃屋的使用方向越來越廣。

 到底打造一個貨櫃屋，有多少眉眉角角？怎麼做才能擁有一個屬於自己的貨櫃屋呢？本書將從貨櫃屋最基礎的法規、價格、建設工程等，為民眾一一解惑，讓打造貨櫃屋不再是難事！而市面上有那麼多不同種類的貨櫃屋，要如何突顯出自己的特色、展現創意，才能吸引大家的目光呢？本書也將剖析貨櫃屋細節設計，並介紹貨櫃屋的不同種風貌，激發您的創意點子，教您打造屬於自己的創意貨櫃屋！

 本書特色：
 ★ 華文圈第一本，貨櫃屋設計全解
 ★ 專業建築師現身說法，提供法規、結構等建議
 ★ 精選國內精美貨櫃屋成功案例
 ★ 室內設計師現身說法，提供專業見解
 ★ 激發創意、介紹貨櫃屋的不同種風貌

"
9789864082964,"


	想開一家風格小店，該怎麼著手規劃？
	聚集全台55家店主人、500個空間設計創意，
	從外觀、櫃台到商品的陳列與空間氛圍創造，
	啟發也想開店的你獲得實用的設計靈感！

	越來越多人夢想擁有一間小巧的店鋪，販售著屬於店主人的獨特選品，來自世界各地的創作，抑或是台灣在地職人、設計師作品，本書便以這樣的風格小店為主軸，介紹著一家店從外觀到內部空間的陳列規劃、手法以及運用的展示道具等等，收錄500個最精采的空間設計idea，提供讀者打造風格小店的設計技巧。

"
9789864801381,"



「在器物、格局配置中展現謙虛及待客之心」，是日式茶室設計的根本

★百張精美平面設計圖、細部圖、繪製圖和史料圖
		★格局‧道具之材料種類、工法與施工全圖解
★細說茶室茶道歷史‧剖析名茶室重要之作
		 

		飲茶風氣由古代中國傳入日本，在日本逐漸發展成一門深奧的學問。茶室則是為茶事特別設計的空間，也是茶道精神的具體展現。日式茶室並非講究形式、而是看重形式內的豐富精神意涵，只有實際了解才能應用形式，又不受形式侷限。

		作者師事茶室權威中村昌生門下，長年專研茶室、茶道文化等，是現代數一數二的茶室專家。本書從茶道茶室的脈絡發展、茶室空間配置形式、構成要件、茶庭構造、材料種類，至現代茶室，帶領讀者細細追尋茶道文化精隨、茶室設計要領，窺探日式茶室的堂奧。

		●115個茶室專門知識與實務設計施工要領，迅速建構茶室設計專業
		●深度解說豐臣秀吉「黃金茶屋」、日本國寶「如庵」、千利休「待庵」、小堀遠州「擁翠亭」、北大路魯人「星岡茶寮」……古今18座名茶室的空間配置
		●中日專有詞彙對照表，方便快查資料


	 

"
9789579072779,"


日本百大商空設計師の空間設計學
	                            
一次網羅！
100位日本設計師&建築師
	380個台灣都在學的商業空間實例


	․Blue Bottl Coffee、%ARABICA，咖啡名店操刀手
	․打造ISSEY MIYAKE空間的「三宅一生專業戶」
	․BOOK AND BED TOKYO，夜宿書店的奇想設計者！

	長坂常•加藤匡毅•平綿久晃•谷尻誠……

這一本，讓你直通
	100位日本知名商空設計師的作品庫！並且不斷更新……

	MUJI HOTEL∣銀座蔦屋書店∣HERMÉS祇園店∣BOOK AND BED TOKYO
	銀座東急廣場數寄屋茶房∣ONOMICHI U2∣℃膠囊旅館∣KOFFEE MAMEYA
	中川政七表參道店∣薫玉堂 丸の内∣東京茶寮∣Aēsop 札幌店
	高尾山SUMIKA∣THE MILLENNIALS KYOTO

	近幾年來，日本的咖啡館風潮、設計商旅大量出現，讓特色商空呈現出多元樣貌，除了成為注目的話題，也吸引了不少人前往體驗，這些空間的背景，除了現代商場，其實更多來自於既有的老房子翻新改造，或是舊空間老店舖的轉化，而讓這些空間發亮閃耀的，正是一群充滿想法與創造力的專業設計者。

	為此，本書以商空為主題，集結了100位日本知名設計師、建築師，以及他們風格獨具的商空作品，在這些店鋪商空之中，不乏國際知名品牌，如HERMÉS、Aēsop、Adidas等，透過日本設計師、建築師的觀看角度與思維，甚至融合在地文化，重新詮釋商品與空間的表現。而日本在地的品牌、店家也不遑多讓，在前衛、趣味、氣韻，以及簡約俐落間抓取不同的個性表現。

	或許你去過Blue Bottl Coffee，但是否知道設計者，就是近來最熱門的商空話題製造大師長坂常；或許你住過BOOK AND BED TOKYO，也逛過ONOMICHI U2，卻不一定知道規劃者都是谷尻誠；當你在京都%ARABICA感受安靜典雅的氛圍時，會不會也想知道，這樣的空間出自走遍世界咖啡館以汲取靈感的加藤匡毅。

	書中，透過一個個設計師與建築師簡潔背景、作品介紹，不覺之間，就像手上握著100位日本當下最熱門的商空設計者的作品庫鑰匙，掌握了日本商空設計的脈動。可以說，擁有這本書，等於擁有上千作品不斷更新……

看盡關鍵設計、看懂商空設計：
	結合品牌設計與產品陳設；跨越空間、材料以及家具設計

	咖啡館、茶室․麵包店、甜點店․
	藝廊、書店、商場․潮牌服飾店、童裝店
	美髮沙龍、化妝品店․餐飲店、居酒屋、小酒館․
	民宿、膠囊旅館、設計旅店․選物店、生活雜貨店、家具店․
	傳統香鋪、日式蠟燭店․藥局、蔬果店、花店․
	自行車店、露營用品店、健身房……

	書中展現日本各地知名的咖啡廳、服飾店、商旅、美髮沙龍、書店、複合式商店等空間設計，從其中，還可一窺家具規畫、建材使用、風格配置等細節。

	除了商空設計，更進一步與強大的平面設計、品牌形象結合出緊密關係，透過店家Logo、包裝設計、外部空間與內部空間裝修，展現融合度與一致性。每一個實際空間案例，不只對於商空經營者、商空設計者提供了絕佳的參考，對於品牌設計師更有助益。

"
9789864086221,"



《漂亮家居》暢銷叢書「餐飲空間設計聖經2.0」年度重磅改版！

		繼2016年推出全台第一本以餐飲創業者為主的空間設計書廣受好評、2018年熱銷再版
		2020年《漂亮家居》編輯部重新聚焦於時下餐飲空間對於新世代消費者的意義與價值，並首度一次收錄12位國內外頂尖餐飲空間／識別設計師與顧問，

		藉由他們豐富多元的設計經驗與作品解析，帶領餐飲創業者與空間設計師打造令人驚艷又賺錢的超人氣餐飲店鋪！！

		 

12位專業餐飲空間設計師與顧問 X 4大設計策略 X 22間兼具知名與人氣的設計餐廳
從硬體規劃到軟裝細節，一網打盡餐飲空間訣竅


		隨數位時代來臨，電商科技重新翻轉大眾消費模式，在各個品牌紛紛成立線上商場之際，代表著實體門市的存在備受挑戰，加上外送經濟與宅經濟逐步興盛，取代以往用餐模式與需求時，單純滿足「食慾」早已不是餐飲空間存在的原因，反倒是藉由設計策略導入，賦予消費者「新（心）的體驗價值」，才是未來餐飲空間的永續經營關鍵主因。

		今年重磅改版的《餐飲空間設計聖經2.0》，旨於分享給餐飲創業者對於新時代飲食空間的品牌價值，從吸引消費者主動上門，再到提高人潮回流消費意願，透過書中編輯部統整的四大設計策略：「搶鏡亮點」、「空間規劃」、「細節體驗」、「再訪消費」，帶領讀者由外至內精準布局餐飲空間、升級品牌美學價值，打造令顧客驚艷的超人氣餐飲空間優勢！

		 

【本書特色】


		▌ 獨家專訪12位經驗豐富的餐飲商空設計師與顧問

		藉由心法分享與實際作品解析，給予讀者更具體的成功案例參考。

		▌ 首度將整體餐飲空間拆解成「搶鏡亮點」、「空間規劃」、「細節體驗」、「再訪消費」四大策略分析

		從外觀設計到內場規劃，本書不只談美感，更注重能讓品牌經營順暢的設計邏輯。

		▌ 精挑國內外絕美餐廳案例

		除了空間照，更以平面圖解析整體空間配置，讓設計原則能藉平配邏輯更加明確。


	 

"
9789864085972,"


給想開店創業的你，500個最夯的小空間設計創意
	熱賣暢銷年度改版


	有愈來愈多想自行創業的人，但這些人大多礙於資金問題，因而選選擇從小店面做為出發，然而空間小不代表不用設計，相反地更需要發揮最大的創意，將絕對不能少的機器設備，和營業額息息相關的客席座位，安排在有限的空間裡，同時又要顧慮動線的順暢以及空間的氛圍營造。

	不同於一般以飯店、連銷餐廳等大型商業空間為主的商空設計，本書針對小型餐飲空間，以小店空間構成主要元素做分類，從外觀、吧檯、座位區、外帶區四個面相，收錄500個最精采的空間設計idea，提供讀者實景空間參考，更進一步拆解圖片裡的材質、施工、傢具選購及搭配技巧，並能從中學習、啟發靈活運用小空間的設計技巧。

"
9789869877503,"


想搶救老品牌？ 想催生新風潮？

傳統的商業空間設計已經不足以應付消費者的變化，

必須從創新營業模式所設定的文化價值開始，

同時融入現在與未來空間需求，

塑造不可取代的品牌價值！

	 

	好設計讓你的店成為網紅的熱搜店，

	 

	但完美的設計才能讓你的店鋪長長久久，

	 

	而最理想的店鋪設計，則是連價值文化、展店規模、品牌視覺，都幫你細心規畫！

	 

跨越店鋪主與設計師的角色，展開對話，

建構出讓客戶迫不及待想消費的商業空間。

	 

	「設計」對一家店鋪來說，到底扮演怎樣的角色？是為了店主、為了消費者，還是為了誰？本書突破設計師與業主互相不了解的局面：

不談風格﹗分享的是，設計師如何思考未來經營的可能性與提案策略，打動業主真正的深層需求。

不談功能﹗著眼在業主未來會面臨的經營變化，考量設計的重要性和未來可變性。

	 

	在業主與設計師的雙重角度下，以POINT形式提綱挈領，以前所未見的順序，打破傳統商業空間設計的思考順序。

	 

	 

搶救老品牌、創造新體驗

從基本營業回推獨創模式，讓空間具有對消費者的價值與文化

品牌新生，業績提升30%﹗無中生有創造旅、住、展演新模式﹗

	重點式提出各種開店前、設計中、經營時、展店後會遇到的問題，和解決方法，搭配實用施工工法，從丈量、放樣、水電、泥作、燈光，到各個材質的施作工程，並以六個改造實例，詳細解說商業店鋪設計的每一個環結，讓業主和設計師輕鬆打造出雙贏局面。

	 

不用懷疑，設計就是回收成本的第一步！

	 

	 ▎四大步驟，成就理念與價值

	＞策略：
	專業、負責的商業空間（工裝）設計師，要能夠深入人心；只有設計師真正深入業主營運的世界時，才能進一步激發自己的養分，在「商業設計與營運」的設計競賽中不斷往上攀升。設計絕對不是制式化的，但客戶的需求與想法可以藉由表格方式制式化；其他部分則運用層次推進，深入詢問。

	＞觀念：
	在設計的過程中，真正重要的事情的是「價值」。不管想扮演怎樣的角色，都必須先定位出「價值」；而價值是用「人」來認定。設計師發現這個街區缺乏某種價值，就可以協助業主呈現在商店設計上，有了願意接受的客群，就能產生價值，就能讓人們認定：「這個空間是我需要的」。

	＞調查：
	年輕設計師的差異化經驗不夠，就要從大群體的目標對象開始，找出不熟悉的切入點、不同的思考模式，設計師在追求差異與突出設計時，可以用時間軸推定店鋪現在與未來的可能性，增加空間的使用年限以及能創造的商業價值。

	＞規畫：
	設計適合商品的場所，能回饋在商品上取得加分。設計創造的不只是商品本身，還與周邊環境、軟性價值等結合為一的整體性，商品指的是記憶點，是可以在消費者腦海中留下印記的章節，讓受眾人群產生認同感，並會選擇持續性消費的整合商業包裝。
	 

 ▎給業主的幫助：

	＞關於品牌：從更了解自家品牌出發，制定無往不利的行銷策略。
	＞成就價值：建構讓消費者認同的品牌價值，打從心底依賴你的每一項產品。
	＞拓展客源：從客人行為找到客源，培養穩定客群，讓生意做得長長久久。
	＞持續成長：保留店面及品牌擴充的彈性與可能性，創造豐厚利潤。

 ▎給設計師的建議：
	＞培養實力：練好基本功、隨時充實自己，是設計師在業界站穩腳跟的不二法門。
	＞提升功力：載客量、翻台率、隔絕空間，都是成就設計結果不能忽視的真功夫。
	＞練就風格：找出商品、品牌獨特性，打造令過路客、消費者都難忘的體驗空間。
	＞創造質感：在既有品牌風格上提升質感，這是設計的目的，也是設計師的使命。

	 

本書特色

	★以業主和設計師的雙重角度出發，解說店鋪會遇到的所有經營與設計問題。

	★以生活中常見的品牌說明經營學概念與理論，搭配圖表解說更淺顯易懂。

	★傳授裝修工法，讓業主信任設計師，也提供設計師考量各類材質的依據。

	★分享改造成功的案例，包括傳統零售店、連鎖品牌、複合式家庭餐廳、極富歷史味的民宿等等。

"
9789864085439,"


FB、Instagram打卡風潮！

店鋪設計這樣做，網紅人潮跟著來！

	 

	外出吃飯拍照、打卡成為時下風潮，逐漸改變消費大眾對於餐飲的需求，食物不但要拍起來好看，空間也要有所謂的「打卡牆設計」，吸睛的視覺判斷早已成為消費大眾挑選餐廳的準則，因此近來促使許多中小型餐飲空間、咖啡館甚至是冰品小店紛紛投入改造空間設計，藉此吸引人氣、買氣。

	 

	解析中小型餐飲店鋪的吸睛打卡設計，大致上包含以下幾個區域，外觀設計，展現出與街景、店鋪品牌、LOGO之間的關係，也是大眾對於一間店鋪的第一印象；其次是打卡點設計，利用一個充滿美好、有趣、難以想像、充滿幻想的場景，誘發消費大眾想要「到此一遊」的嚐鮮心態；餐桌風景設計，藉由沙發、餐桌椅的搭配運用，結合美味餐點構成一幅美好的畫面；其他角落設計，除了用餐區，洗手間也是店鋪設計能夠發揮的地方。本書蒐錄500張吸睛店鋪設計的圖片，具體陳述每一個設計手法、材質以及特色，提供消費大眾找尋打卡熱點、設計師尋找設計創意想法的實質參考指標。

"
9789864085132,"


華文首創，系統化整理診所開業設計全書
	彙整人、事、時、地、物知識，開業免走冤枉路

	以前開業憑「感覺」、「命運」開業，因準備不足，「成功」被詮釋為運氣問題。
	業界多為學長學弟傳承個人經驗，加上台灣診所法規及管理經營知識封閉，
	本書透過作者陪同協助300家診所規劃空間到開業的經驗分析，
	將「開診所」的知識系統化整理，從：
	1、經營：成本概念、財稅、人事、營運、管理、客群、未來
	2、對象：目標客群設定、醫生個人特質、團隊組成結構
	3、場所：選點、依定位給予空間規劃建議
	給予設計界健保系統診所規劃指標，幫助新手醫師做足開業前的準備。

	嚴選收錄！
	>> 名醫師開業經驗談，選點心得、經營分享、醫病關係經營無私公開
	>> 20多年醫管整合專家─展望亞洲科技，分享開業成功的魅力特質、成本概念、財稅規劃、經營管理
	>> 臨床護理與人力資源專家──李嘉倩，分享診所的人力招募、職能管理、教育訓練、常見管理問題與解決之道

	收錄科別：
	家醫科，肝膽腸胃科，小兒科，耳鼻喉科，婦產科，眼科，皮膚科，復健科/骨科，身心科

"
9789579072465,"


用色彩，打造會吸人的空間

  

 看膩城市建築總是一成不變，灰灰髒髒？
 瞧瞧潮流空間設計師如何大膽實驗、揮灑色彩

  

成功的空間色彩設計
 不僅調和視覺，甚至能催生消費的契機！
 　　　　　　　　　　　　　　
 一看見就想打卡！
 ※收錄全球70個COLORFUL出色空間設計※

 

東京巢鴨信用金庫│雀巢│IBM│藝術學院│體育館│辦公空間│劇院
 夜店│書店│沙龍│餐飲店│地鐵站│宿舍│托兒所│養老院│複合住宅……

 

▌看空間色彩如何成為吸睛關鍵── 

  

◎QR code博物館彩牆
 澳州國家博物館NMA ADMINISTRATION—ARM ARCHITETURE，外牆圖形以色磚排列出巨型QR code，只要拿出手機掃描QR code牆，即可連結博物館網頁，創造強大視覺，互動性滿分！

  

◎洞穴與海的黃藍地鐵站
 義大利Toledo地鐵站，地下兩層空間雙重體驗，第一層運用土黃色石材打造洞穴環境，地底則是馬賽克磁磚拼貼出的的蔚藍海洋。

  

◎Pantone專色漸層體育館
 荷蘭DE RIETLANDEN體育館，牆面用色為Pantone專色，運用灰白、亮綠、蘋果綠、淺藍與黃搭配，並以螢光黃綠主色點亮周遭灰色調建築，巧妙地串聯原有的兩座運動空間。

  

◎亮彩有機貨櫃農場
 上海TOMY’S 農莊，建築本體採用與蔬果意象相同的綠色貨櫃堆疊而成。櫃體透過孔洞設計，創造通風效果，也呈現了宛如綠色光盒的視覺感。

  

◎彩色玻璃教堂式住宅
 華盛頓Gethsemane Lutheran 教堂式住宅，以彩色玻璃與金屬創造出獨特的外牆，成為街區矚目的彩色光盒，當日光照入室內，玻璃外牆與金屬條飾，則地上呈現彩紅般的十字倒影。

  

◎魚骨紋磁磚概念快閃店
 倫敦PULSATE磁磚展示店，以灰色色階重覆拼貼、包覆整個商空的天、地、壁，創造出三D的立體以及魚骨紋般的迷離幻視感，展現了磁磚拼貼的力量與可能性。

  

◎撞色感美髮沙龍
 歐洲斯洛維尼亞YMS美髮沙龍，將復古與新潮結合，以不規則線條搭配粉色系藍、紅、黃，做出年輕感的趣味撞色，讓人一進去就捨不得再走出來。

  

▌看色彩如何支撐建築、體現空間功能── 

  

 定位│分隔│串連│扭轉│動態│反差……
 不同空間的色彩運用手法，打造出建築的機能價值，甚至更加優化！

  

 在街區塑造吸睛地標 ✕ 為老舊建築趣味變身 ✕ 炫奇商空人氣大爆發
 替住宅注入鮮明活力 ✕ 為企業打造品牌辨識 ✕ 讓平凡校舍加乘機能

  

 色彩對我們的生活至關重要，色彩啟發靈感，帶來情緒變化與希望，人類從未停止對空間色彩的探索，工作、休閒、學習或是居住空間，無一能離開色彩的使用。儘管有無數的專業領域對色彩平衝、色彩論、色彩相對論與色彩心理學等議題進行討論，但是色彩在建築學中的重要性卻鮮有人提及。不管什麼場所，色彩和建築都有著非常親密的關係，擁有美麗色彩加持的建築設計，總有吸引人佇足、忍不住想拍照打卡。

  

 色彩，不只是建築師與設計師們創意表達與探索的一種媒介，更向我們展現了建築因色彩而誘發出的情緒、場域界定、地景融合等各種可能性。本書，將透過大量實例，佐證色彩對建築學設計所產生的翻轉與改變，無論是舊建築換裝新生、商辦大樓的品牌定位、店家沙龍的吸客設計或住宅與宿舍的另類思考……都可以在其中獲得全新視野。

"
