ISBN,書籍簡介
9789864082469,"


國內裝潢史上第一本自力蓋屋專業圖解書
【萬本暢銷慶功版】
自地自建必備萬用手冊


	買對地、蓋好房的流程完全解析
	一看就懂，蓋屋新手必備最實用、最完整的全能解剖書

	各種惱人問題，讓你的自地自建圓夢計劃困難重重？！

	Q1：我想要找地，可以在哪裡找到土地資訊呢？
	Q2：想要買地蓋房子，自備款總共要準備多少才夠？
	Q3：買不對地，事後問題多，要如何確保土地開發商信譽是否可信任？
	Q4：如何避免買農地，卻沒有連外道路的糾紛與問題？
	Q5：如何挑選好的建築師或室內設計師呢？
	Q6：我買了一塊土地付定金後，發現有20坪的地是排水溝，再加上隔壁鄰居有侵佔土地，但仲介和地主未事先說明且不願積極協調，可以要求退訂不買嗎？
	Q7：我買一塊地請老農申請建照，但在蓋房途中遇到老農過世，子女繼承了老農的土地，結果他們不願意賣該怎麼辦？可以強制他們履行合約嗎？
	Q8：不喜歡建築師設計的立面圖和平面圖，想要重新思考。建築師卻說現階段的圖面已請結構技師計算，若要換圖，要我先付六成的設計費。但我還未確認圖面的狀況下付費，這樣合理嗎？
	Q9：營造商以工資和材料漲價為由，叫我們先預付營建費，但付了之後又沒動工，多次協調也無效，我可以單方面終止合約嗎？
	Q10：我聽過有所謂借牌的營造商， 這樣的廠商可靠嗎？

	遇到問題不再心慌慌，解答這裡找得到！
	全台第一本自力蓋屋流程解剖書
	Step by Step全解析，教你搞懂的買地蓋屋的「眉眉角角」

	解惑最清楚！自地自建關鍵問答200+
	簡單易懂的手繪圖+平面圖+實景照片搭配詳實解說，輕鬆搞定找地蓋屋的各種難題

	面面最俱到！掌握各項關鍵細節
	從選地、費用、法令、契約、建築設計、屋型、施工全面收入，一次解開心中的疑惑。

	蓋自己的房子難不難？
	老實告訴你，真的很難！
	本書提供各界專家壓箱教戰守則，找地蓋屋知識化繁為簡，
	讓你問題有解，勇敢跨越，幸福圓夢

	本書以全圖解方式，Step by Step解析如何購地、買地、造屋的流程，並可能花費的時間和費用，製作流程計畫表，讓你一看就懂。介紹各類土地的優缺點，告訴你什麼樣的地可以買，什麼樣的地最好別買。

	同時，教你瞭解常見的住宅結構重點、蓋屋相關法令、如何買地、如何做預算配置、監工選料、設計外觀與內部，看完這本你將充分掌握造屋流程及成敗關鍵！

"
9789864086894,"



建築現場施工專業參考書‧暢銷加量更新版
		新增資金、法規、監理、新技術、新設備、音聲、抗震、防盜、綠化等1,000組詞彙圖文解說

完整收錄建築現場必知重點5,000組

圖文並茂、中日文對照利於閱讀查找

		◎ 日本專業建築情報網《建築知識》大規模企劃！

		◎ 完整收錄建築現場最常用／最重要的5,000組用語，不懂的名詞一翻就會！

		◎ 結合建築系學生、業界學徒、素人新手的需求，從基礎談起，鞏固知識地基！

		日本亞馬遜讀者5顆星評價：師匠指定建築工地菜鳥必入手的實用工具書

		◎ 深入淺出、圖文詳解，專業建築設計師、作業現場技師必備！


	 

"
9789866005084,"

你是否有屋頂漏水卻始終修不好的困擾？！一到夏日，室內溫度狂升，冷氣吹整天也不涼！想找人施作鐵皮屋頂，卻不知如何才能一次到位！鐵皮屋專家教你從設計規劃、材料選擇、維修保養到各種棘手的常見問題，通通幫你搞定！ 本書圍繞著鐵皮建材，從家的邊界─屋頂和外牆板開始，這些金屬質感的建材，總是出現在我們生活的大街小巷裡，訴說著台灣過往的記憶。坊間有太多設計不良以及老舊的頂樓加蓋、鐵皮屋頂浪板漏水問題等，都造成了用戶的使用困擾。作者以20年的鐵屋施作經驗出發，提供頂樓加蓋、屋頂漏水或隔熱施作等鐵屋維修保養的解說，讓你再也不用擔心各種麻煩惱人的問題！除了各種材料的選擇，也提供浪板修補、隔熱施作等案例分析，每個環節的詳細解說，讓鐵皮屋頂、外牆再也不會成為生活中的麻煩事！本書特色這樣做！鐵皮屋頂和外牆一次全搞定！最實用的設計維修入門指南　為什麼有些鐵皮屋頂會熱？有些鐵皮屋頂住起來卻依舊舒適？鐵皮外牆原來可以這麼有特色！鐵建材竟然有這麼多種材質和設計？本書從鐵屋建材的使用演變，到設計使用的考量，提供實際修繕的正確觀念，讓你一次融會貫通！◆ 屋頂外牆的維護和漏水處理常見的疑難雜症、烤漆浪板的問題、預防生繡，從建材的認飾到細節的處理，解答你所有關於鐵皮屋頂、外牆設計維修的疑惑。◆ 隔熱、通風和維修的方法灑水降溫、通風器、浪板更新，透視鐵屋建材的根本特性，除了教你從概念上建立正確的鐵皮屋觀念，更教你如何解決問題，輕鬆打造舒服鐵屋！亦提供實作案例，讓你徹底解決問題不求人！◆ 鐵屋是具有設計延伸性的建材從鐵鋁窗到鋼構屋，漂亮的鐵皮屋實例讓你一窺全貌，規劃自己心目中的美麗鐵皮屋。◆ 改造老房子系列暢銷書作家，林黛羚熱情推薦！用另外一種角度看鐵皮屋 這本書最吸引我的，就是介紹多種常見的屋頂施工方式，你可以依照自己的鐵皮屋頂採光通風設計、再參考作者的施工圖文說明，構思屋頂的結構如何調整。這本書應是目前坊間探討鐵皮屋施工實務的非學術書籍，很適合家裡有老屋要整建、屋頂要維修的讀者參考！
                    
"
9789864083978,"


家的問題不在大小，是創造「極致利用」

集結最強設計達人的私房秘技，教你學會偷空間，

7坪可以住一家四口、15坪還能攀岩健身

	 

家的大小已經固定不可變，但人總是想要多一點機能、多一點收納！

有時候爸媽要來、也喜歡找朋友來家裡聚餐，

這些該如何達成呢？

漂亮家居編輯團隊深知所有屋主的心聲，

經過層層把關挑選，讓最強設計達人告訴你怎麼提升空間的利用價值，

一個人住好用，2人小家庭面對新增家庭成員也無須煩惱，

空間不用變大，多1、2房絕對不是問題！

	 

	想要不浪費空間，可以這樣做：

	●複合機能櫃完勝實牆隔間

	●最不佔空間的傢具隱形術

	●中島吧檯整合收納與用餐

	●活動門片是隔間也是電視牆

	 

	本書特色：

	1.設計達人的私房秘技大公開！活用空間、提升坪效

	奪下德國iF設計金獎的馥閣設計黃鈴芳，獲獎案例是一間10坪的微型住宅，運用高低差、隔間整合、一物多用等概念，讓你絕對想不到10坪有儲藏室、大主臥、完整的餐廚空間，甚至連小孩房、遊戲室都貼心設想。

	另外是擅長把「小好窄」變成「美豪宅」的鄉村風繪圖天王汪忠錠、收納天后王思文，把櫃體隱藏於無形，再結合五金機關的協助，收納就能擴增2倍，還可以讓空間寬敞！以及最強一物多工的國民設計師翁振民，空間不只多用途、好用，還兼具美感，透過漂亮家居編輯團隊層層篩選，讓你也能偷學設計師的坪效技巧！

	 

	2.詳細拆解運用關鍵手法！空間變大還能多一房！

	只要懂得善用空間，家不只能變大，還可以多出許多意想不到的使用機能，從1+1大於2的概念去思考，雙面櫃兼具隔間、傢具可以伸縮隱藏收進櫃子內，中島吧檯除了收電器、亦可儲放書籍、電器，一物多用創造極致用途。若是不需要獨立的空間，例如書房、客房、小孩房、遊戲室，此時不妨運用移動隔間或是傢俱的彈性組合、架高通鋪手法，讓一間房可以隨著使用者的需求靈活改變用途。

	3.超過100個極致運用案例圖解！不論空間大小都適用

	在這100個漂亮家居編輯團隊精選的案例當中，包含極小的10坪住宅，甚至到30坪左右的三房兩廳空間，從平面配置計畫探討，解析設計師如何透過格局改造、拿捏隔間、櫃體、臥榻等尺寸設定，家不用變大，也能創造超乎原坪數的寬敞感，以及讓人意想不到的生活機能。

"
9789864433988,"


第一本台灣日式住宅建築通覽


	日式住宅陪伴台灣庶民居住超過百年，是珍貴的歷史文化資產。座敷（ざしき）、違棚（ちがいだな）、書院（しょいん）、破風（はふう）、車寄（くるまよせ）、台所（だいどころ）、土間（どま）、玄關（げんかん）、床（ゆか）、屋敷（やしき）、榻榻米（たたみ）……歷數日式住宅建築關鍵名詞，看見日式建築文化精華面貌。

	不可錯過的三大特點：
	◎第一本通俗介紹台灣日式住宅建築的專書，建築控、景觀迷必藏！
	◎精闢闡釋日式住宅建築中重要的外觀與構造之日語專有名詞，在保存文化資產的行動中，全民必看！
	◎以最精彩的3D示意圖還原日式住宅建築的立體空間，並搭配大量圖片與插圖說明日式住宅建築之美，自拍者必備！

	每一個文化都有不同的居住特色，長期以來台灣因不同政權的轉換，接受多元的外來文明，其蘊含的住宅文化相當多樣。日治時代居住於台灣的日本人，引進日本當地的住宅樣式，並配合台灣在地風土條件的差異，成為今日人人熟悉的「日式住宅」。

	本書針對日式住宅建築的跨文化移植，詳細的介紹空間語彙之內涵，並延伸關鍵的建築技術與工法，以圖解式繪圖說明各部位之日語專有名詞，引導讀者仔細欣賞日式住宅空間文化的發展，及其特別之處，堪稱第一本台灣日式住宅建築通覽。       

本書特色

	1.本書介紹台灣日式住宅建築的建築空間，並以日文輔助讀者了解日式建築的構造機能，讓讀者明白這些空間最初的功能以及使用方式。進一步可提供老屋改造空間細節參考。

	2.台灣日式住宅建築以雨淋板牆、黑瓦為外觀特色，室內空間採日本人的住宅空間方式。而因為台灣的氣候環境與日本有很大的差異，這些因素使得台灣的日式住宅與日本本地有所不同，具獨特性與特殊性。可作為歷史建築的觀察重點以及保存整建時的輔助參考。

	3.本書附有解剖式插圖以及細部比較插圖，解說日式住宅建築最精采可看的建築細部工法，可使讀者清晰了解日式住宅建築工法的奧妙之處以及鑑賞的重點。

"
9789869431279,"


讓人好想一卡皮箱入住的秘境小屋！

	這世上有一種房子，一打開門窗，

	就是大海、森林、山野、沙漠、冰雪、星空、花海……

	造屋夢想家從超過12000個檔案中嚴選，

	126間世界之最、遺世獨立小屋，270幅讓人掉淚、心跳不已照片

	滿足你內心深處對世外桃源的嚮往！

	 

	★來自擁有1000萬訪客、35萬追隨者的世界性網站Cabin Porn

	★6年精挑細選，從超過12000個客戶檔案中篩選出具代表性的個案

	★盤點126間世界之最小屋，270幅讓人掉淚、心跳不已照片

	 

獻給每一位曾想要放慢生活腳步、

人間蒸發到世界角落靜一靜、

深吸一口大自然氣息的你……

	它或許位在浪濤拍岸的海邊，或許在雲霧蒸騰的高山、蔥籠茂密的森林、開闊無邊的曠野……總之，是你心所嚮往的所在。

	這幢居所，無需複雜，簡樸實用為上，用材或許沒有都會華廈的高級，但安頓身心、慰藉心靈的功能卻是都會華廈比不上的。

	現在，這一生心所繫的夢想願望，可以透過觀覽、感動，

	在內心獲得解放、舒發，進而實現……

	 

如果你有能力，那就去完成自己專屬的秘境小屋吧，

如果你還無法實現，那就將這值得一生細細品味的《秘境小屋》收藏起來……

	 

◎一處與世人共享的隱避之所

	一位創始人在森林中打造了與世人共享的隱蔽之所，讓大家到此學習實做。幾位朋友收集了各種房子的照片，然後靠雙手塑造出心目中理想家園的樣子。

	 

◎由父子所開闢的田園居所

	這間小屋只能靠馬匹與背包，徒步十公里的山路，來拖運所有的工具、設備與建材，才能逐步建蓋完成。這裡不只是一家三口人的山林野居，也是作為父親的他，百年後期盼的安眠之地。

	 

◎情侶一同替荒廢的沙漠家園煥然一新

	這原是一棟破爛平房，窗戶破了、油漆剝落，還有輛破舊的老拖車停在屋旁的空地上，房子旁邊甚至還有支電線桿，突兀地闖入這塊土地。但她們卻合力將它變成了一個溫馨的沙漠之家。

	 

◎情侶攜手搭建十七世紀風格的懷舊旅店

	他一直夢想著有一天能夠親手建造自給自足的家園，而且還能讓一些遊客來住宿。然後他看上了一塊約七公頃的林地，開始以石材作為地基，一步步地，與女友共同創建了一間懷舊旅店。

	 

◎一群好友建造了小棚屋來烹煮樹汁

	這是一間祖先遺留下來的製糖小屋，有座手工搭建的磚造拱爐與煙囪。從二○○一到二○一三年，兄弟二人聯合其他親朋好友，逐年修復毀損的製糖廠，並開始在製糖小屋中烹煮出第一批的楓糖漿。

	 

◎九公尺高的私人臥房

	他走遍森林四周，調查著樹林，爬上了幾棵樹，最後選定一棵又高又健壯的落葉松。然後，他完全靠自己的點子來蓋房子，最終完成了一間高九公尺的專屬房間。

	 

◎再續沙漠傳奇的建築系學生

	這裡只是一支約二公尺多的煙囪座落在一棵樹與一塊水泥板旁，一旁還有兩塊約三十公分高的白色磚牆，沒別的了。但不久後，他開始描繪著利用煙囪蓋房子的點子……。

	 

◎藝術家在地底的家

	他原先只想要尋求一塊寧靜場所來寫作與繪畫。但力求精簡的生活態度，讓他捨棄了地面上的平房與圓屋，然後由聯通地道開始往地下發展，逐步挖掘溝通，最終形成如哈比人般溫馨的地洞居處。

	 

◎親手為廢棄建物賦予新生命

	這是個原作為儲存穀物的廢棄筒倉，規劃好架構後，一群大男人開始搜羅可利用廢材、大膽切割筒倉、架設永久性支撐、安置大扇窗戶、安裝電路系統……，穀倉就徹底變身了。

	 

◎他們將家族的渡假場地變得獨一無二

	他們的父母花了九天時間蓋了一間蒙古包小屋，但兄弟兩人成年後，決定再加蓋一間獨特的蒙古包。他們花了一個夏天的時間準備，用兩週時間便完成了，卻也迎來了逐年人數增加的「蒙古包大會」。

	 

真心推薦

洪育成  考工記工程顧問公司負責人

"
9789864082148,"


日本建築師現身說法，
解析感動人心、體貼入微的全能住宅設計法則

	一般人對於住宅多為情境的想像，但不知如何透過設計實踐。
	本書正是搭起居住者與設計者溝通的橋樑，
	透過描述122個舒適美好生活的情境，說明如何透過設計手法達成。
	不僅提供500張多樣化且精美的設計實景圖與手繪平面圖，也提供觀念和實際做法，
	有如空間設計的科普書，快速建立設計舒適住宅的核心觀念。

世上最美的風景，是叫做「家」的地方

	「家」這種建築，是依附各式各樣不同的生活方式與環境而存在，舉例來說，即使是在住宅密集的地區，也想出辦法讓居住者的眼睛可以望向天空這樣類似接近大自然的體驗，是住宅設計相當重要的一環，另一方面也要顧及保護居住者的個人隱私，以上種種都是為了建構家人之間良好互動關係。

	一個好的住宅除了能貼近居住者的生活方式和環境之外，也希望可以提供讓居住者看見「最美好的一處風景」，眺望窗外季節變換時更迭的景色，令人心底溫暖的陽光灑入屋內時，感受風在流動吹拂時，看見庭院的花草樹木……想來想去難道不是這些嗎？住在這個家中一天一天長大的小孩可愛的模樣，以及家人的每一個笑容……這些人們內心嚮往的幸福景象，都是在設計住宅時必須慎重思考的要素，如何透過空間設計實踐對生活的想像，感受到生活本質的美，本書將一一道出箇中巧妙。

"
4717702088880,"


友善土地，就是友善這塊土地上生活的人

	 

	舊料屋、木架黏土屋、紙磚屋、網室屋、土磚屋、土團屋、木屋、老屋綠改造……

	「不論是運用最新環保技術建造出的節能屋，

	還是就地取材甚至是廢料蓋出來的機能房，

	除了分享如何打造有機家屋、過減碳生活；

	更告訴您如何善待週遭土地、與環境共生，

	與鄰里建立社群關係，真正生活紮根於此！」

	用自然、有機的方式長出來的家屋，讓家人住得更幸福！

	 

◎收錄以傳統及回收材料，由屋主親自動手打造的友善土地的住宅。

◎收錄木架黏土屋、土團屋、紙磚屋，最綠色環保省能的自然建築。

◎收錄老屋翻新綠改造！潮溼陰暗的房子大變身為採光通風的家。

	 

	※自己動手做：房子是親手蓋的、菜是自己種的、傢俱是自己做的、舊料再生的、窗簾布是朋友染的，甚至連衣服，都可以是自己手縫的。

	 

	※在地素材：使用基地或周遭環境的素材。例如挖出來的石頭與土壤，當做日後的牆體材料。砍下的木頭做為日後的工具或傢俱。

	 

	※順應環境氣候：不同的屋主，以不同的方式來處理西晒、結露、東北季風及颱風等氣候問題。位於海邊、都市與深山，遇到的氣候狀況各不相同，也會有不同的解法，甚至化缺點為優勢。

	 

	※垃圾減量：老房子在拆除時，能夠不丟棄的材料就回收或送人。可以不拆除、堪用的部分就留著，使廢棄物減量、新舊材料並存。

	 

	※再生再利用：將看過的報紙經過處理變成紙磚、老房子拆下的木料、門窗成為素材，用過的材料經過再生、再處理，成為便宜又天然的建材。

	 

	在本書裡，有著一群走在趨勢前頭的人，最年輕的三十二歲、最年長的六十歲，他們要不是已經跳脫、要不就是從未參與過主流體制，他們憑著「日子就是要這樣過」的理直氣壯，去過自己理想中的生活。這次的旅程，對我來說，實在是大開眼界了。

	 

	他們大致上有一些共通點，生活簡樸、汗水淋漓、笑的開懷、不隨波逐流、對生命充滿好奇心與熱情。我想，他們都找到了青松所提到的「心安的節奏」，而遲早，大家都會慢慢跟上他們的腳步。

	 

「好舒服的風，起霧了／飄雨，飄到臉上／看那邊的霧，看鳥飛／晚上，躺在那裡，看月亮／然後，睡覺／就是這麼舒服！」

	 

	這是南投水里自己動手蓋房子的阿忠八歲的女兒愛真，爬上家裡屋頂漫走時，隨性自然的哼唱，天生的小詩人率真地唱出了每個人心裡對「家」最原初的想望。《蓋自然的家屋：友善土地，就是友善這塊土地上生活的人》便是在這份對「家屋」與自然連結的想望上，尋訪了十六位屋主及他們親自動手打造的自然家屋。

"
9789579559645,"

如果您是從事室內設計者，研讀本書必能大大提升您的設計功力！如果您只是一位素人，最近買了新房子，請先閱讀本書，您將可以為自己設計規劃出溫馨、理想的新家！（尤其是小資一族）當然您也可以說：「何必這麼麻煩？！請設計師幫忙搞定即可啊！」真的可以嗎？委託室內設計師雖可落得輕鬆，但仍請務必閱讀本書，唯有如此，您才有能力判斷該設計師的設計是否正確、是否理想、完美？正如生物學家達爾文所言：「看出問題，比解決問題還難。」換句話說，只要能找出問題在哪？解決的方法就變得容易多了。但是：如何才能看出問題呢？能看出問題的能力要如何培養呢？本書的宗旨就是要幫助您早日擁有這樣的能力。每一個空間都可以有很多種不同的設計方案，而不同的設計，自然會得到不同的效果。只要是「不差」的設計，一般人都會接受。但是「不差」並不是「很好」或是「極好」。《閱讀本書，才有能力分辨「不差」與「極好」》
                    
"
9789579072908,"


本套書組合：《一開始就不用收！家的最後一堂空間收納課（暢銷增訂版）》、《一輩子的家！這樣裝修最簡單》

	 

我的家問題好多、好難住，難道只能打掉重練嗎？

有了新房子即將要搬家，想要一勞永逸的好好收納？

一次解決家的問題！收納空間設計師朱俞君的裝修整理聖經

	 

《一開始就不用收！家的最後一堂空間收納課（暢銷增訂版）》：

換屋8次，親身實驗，台灣設計師一定要教你的收納術與選櫃法！

	 

	換屋8次，最具說服力的自宅經驗分享

	學會這堂課，從此只需「放回去」，不必再整理

	室內設計師教你「家」的整理術，裝潢前、後，必看的收納聖經！

	 

	◎最具說服力的自宅經驗分享，40坪換15坪，家中還多一兒，不藏私全剖析

	◎原來買對坪、選對櫃、放對位，家中凌亂全有解！

	◎濃縮再濃縮的收納要領+選櫃知識，終於有設計師肯說、肯教了

	◎你的苦，設計師都有過，跟著做一定會，2個黑翻紅空間STEP BY STEP照著做

	◎4個收出心得的真實案例，千萬宅裝垃圾，怎麼算都不划算

	◎從玄關到臥室，8大空間分點教，選櫃尺寸、放櫃位置有眉角

	◎賺很大！設計師私房櫃設計一次全公開

	◎3歲收玩具，6歲收文具，兒童收納從小教，日後成就大不同

	 

★你的苦，設計師都有過！學會這一堂，生活、生命不再亂糟糟！

	•不同階段住不同房，規劃對，不必硬ㄍㄧㄥ非買大坪數

	•有露有藏，櫃子做足量，空間還能一樣大

	•改造生活有步驟，跟著設計師做一次，一點都不難

	•櫃子好不好用大不同？原來設計師有私藏的最佳選擇

	•三歲收玩具，六歲收文具，改變孩子的人生從收納開始

	 

	關於收納，為什麼總是學不會、收不好？拼高房貸，卻用千萬宅裝垃圾？這樣的人生，怎麼算都不划算！從小住在香港的設計師朱俞君，最懂得如何在高房價中創造好生活，重點不在坪數，不在裝潢！與其硬ㄍㄧㄥ買大坪數塞東西，其實你該學會不同階段，住不同坪數，做不同規劃！

	 

	這是第一本居家設計師的空間收納書，結合專業裝修設計，與私人收納心得，堪稱軟硬體的完美結合。設計師教你，不同的物件，如何找出適當的櫃子來接納它！就算沒櫃子也沒關係，其他妙方她也一樣端得出來……不同的手法與概念，都讓設計師不藏私的教給你。

	 

《一輩子的家！這樣裝修最簡單》：

簡裝修大翻新！不必打掉重練，一次基礎裝修居家隨你改造

	 

	裝修焦慮症，退散！

	這是一本要讓你，跟著做就OK的超實用全齡裝修書！

	因為好用所以愛用，設計師直接幫你挑建材、配廚具、選家具、搭燈具

	 

	設計師朱俞君透過大量空間設計的的試驗與系統化的實作，發現「簡裝修」是一帖解方，透過系統化的思考與操作，只要做一次基礎打底，做好天、地、壁，再透過活動家具家飾、系統櫃等易調整、好變更的裝配，這樣的概念，就像是把家具、櫃體當作可抽換式的設備，之後再跟書中所提供的「打蛇七寸的關鍵設計」，就可以使整個家呈現一體感、實用感、就連精緻度都能完美掌握。

	 

	◆超安心！3大易裝修、好維護、超實用的風格居家

	◆最全面！全齡居家裝修，從風格、收納到年齡層需求，一次告訴你！

	◆抓重點！12個關鍵原則，讓你明白裝修可以很簡單

	◆很好收！收納法則大剖析！美型收納、隱收納、展示型收納！

	◆超讚嘆！「失能住宅」實例，擺脫好格局壞習慣，7~10天搶救你的家

	◆最詳細！家的風格規畫細部拆解，家具家飾如何搭，廚房浴室怎麼做。

	◆跟著挑！燈具、家具、窗簾達人也來教！選擇不用多家就可以有亮點。

	 

★不必打掉重練，簡裝修大翻新！

	只要一款天、地、壁，怎麼改如何搭都有型！ 

	如何讓家成為一起經歷不同生命歷程的伙伴？

	如何用最少的力氣、最大的效果，打造一個現在好住，以後也好住的空間？

	 

★7～10天，搶救失能宅

	裝修不複雜，你的生活就不複雜！

	「好格局，壞習慣」所造成的居家失能與混亂，其實都來自於屋主不知該如何維護、收納，以及不了解動線配置和生活運作彼此間的緊密關係，而讓原本條件不錯的住宅，變得困擾屋主生活的大麻煩。

	 

"
